Rank,Athlete,Nation,D,E,ND,Total
52,Yogeshwar Singh,India,4.7,8.766,,13.466
53,Javier Rojo,Mexico,5.1,8.366,,13.466
54,Carlo Hörr,Germany,5.2,8.166,,13.366
55,Sercan Demir,Turkey,6.2,7.166,,13.366
56,Nguyen Van Khanh Phong,Vietnam,5.3,8.033,,13.333
57,Felix Remuta,Germany,5.4,7.933,,13.333
58,Van Vi Luong,Vietnam,5.8,7.433,,13.233
59,Bernardo Almeida,Portugal,4.5,8.7,,13.2
60,Abhijeet Kumar,India,4.8,8.4,,13.2
61,Pavel Gulidov,Israel,5.2,7.966,,13.166
62,Hung Shih-Tung,Taiwan,5.1,8.033,,13.133
63,Andres Martinez,Colombia,5.2,7.9,,13.1
64,Ricardo Rudy,Austria,4,8.966,,12.966
65,Gytis Chasazyrovas,Lithuania,4.8,8.466,-0.3,12.966
66,Jose Nogueira,Portugal,3.9,9.033,,12.933
67,Teodor Trifonov,Bulgaria,4.2,8.666,,12.866
68,Szabolcs Batori,Hungary,4.3,8.566,,12.866
69,Benedek Tomcsanyi,Hungary,5.5,7.333,,12.833
70,Lee Junho,South Korea,4.7,8.1,,12.8
71,Kim Wanström,Sweden,4.4,8.3,,12.7
72,Guilherme Campos,Portugal,3.8,8.866,,12.666
73,Ryu Sunghyun,South Korea,5.4,7.266,,12.666
74,Alexander Benda,Austria,4.7,7.933,,12.633
75,Kristopher Bohorquez,Colombia,4.8,7.833,,12.633
76,Yazan Al Souliman,Syria,3.8,8.733,,12.533
77,Martin Gudmundsson,Iceland,3.9,8.6,,12.5
78,Valgard Reinhardsson,Iceland,4.4,8.066,,12.466
79,Ahmed Abdelrahman,Egypt,4.7,7.633,,12.333
80,Sviataslau Dranitski,Belarus,4.6,7.6,,12.2
81,Lin Guan-Yi,Taiwan,5.1,7.1,,12.2
82,Stefanos Tsolakidis,Greece,5.3,6.9,,12.2
83,Jonas Thorisson,Iceland,3.9,8.233,,12.133
84,Joshua Nathan,Great Britain,5.4,6.733,,12.133
85,Gagik Khachikyan,Armenia,3.9,8.166,,12.066
86,Ilfrat Imarjanov,Kazakhstan,4.7,7.666,-0.3,12.066
87,Robert Kirmes,Finland,4.5,7.466,,11.966
88,Frantisek Cerny,Czech Republic,4.5,7.266,,11.766
89,Trinh Hai Khang,Vietnam,5.1,6.6,,11.7
90,Pablo Broszio,Panama,3.6,7.933,,11.533
91,Tomas Kuzmickas,Lithuania,4.8,6.6,,11.4
92,Noah Kuavita,Belgium,5.7,5.6,,11.3
93,Nasser Al Samiri,Saudi Arabia,3.1,7.833,,10.933
94,Suphacheep Baobenmad,Thailand,4.4,6.233,,10.633
95,Joseph Cemlyn-Jones,Great Britain,5.1,4.833,,9.933
96,Ricards Plate,Latvia,4,5.166,,9.166
