iter	MultiClass
361	0.01494044073
362	0.01482312024
363	0.01480359977
364	0.01478467161
365	0.01469144531
366	0.01465411154
367	0.01460265544
368	0.01449327407
369	0.01442058471
370	0.01437830041
371	0.0142695033
372	0.01419447216
373	0.01405412975
374	0.01400196108
375	0.01398799089
376	0.01390801596
377	0.01383413684
378	0.01375318691
379	0.01364364024
380	0.01358423217
381	0.01348374645
382	0.0134480923
383	0.01338144198
384	0.01329516673
385	0.01323419513
386	0.01319793572
387	0.01314365841
388	0.01310382425
389	0.01299156317
390	0.01290525417
391	0.01282658427
392	0.01272930011
393	0.0126524646
394	0.01261970161
395	0.01251704739
396	0.01246579096
397	0.01243706243
398	0.01233696997
399	0.01228937554
400	0.01223522218
401	0.01216361357
402	0.01214391197
403	0.01210962723
404	0.01199033663
405	0.01192077124
406	0.01186745747
407	0.01180623016
408	0.01176192793
409	0.01171905629
410	0.0116539492
411	0.01162632216
412	0.0116166475
413	0.01154056845
414	0.01146979726
415	0.01141274109
416	0.01134802538
417	0.01129772411
418	0.01127422745
419	0.01125945827
420	0.01122080521
421	0.01116065769
422	0.0110424758
423	0.0109632406
424	0.01091788975
425	0.01084715629
426	0.01080116717
427	0.01070614577
428	0.01068946463
429	0.01061740286
430	0.01055979863
431	0.01046376698
432	0.01039754863
433	0.01035685688
434	0.01029512923
435	0.01026091549
436	0.01020061531
437	0.01015623699
438	0.01005944905
439	0.009999670144
440	0.009967521948
441	0.009947649064
442	0.009920984629
443	0.009900215431
444	0.009824322807
445	0.009774595144
446	0.009714121556
447	0.009699609026
448	0.009673967422
449	0.009666282129
450	0.009598311819
451	0.009574907859
452	0.009568674508
453	0.009502820134
454	0.00944606264
455	0.009415465374
456	0.009391252694
457	0.009346238242
458	0.0093120306
459	0.009285368269
460	0.0092567217
461	0.009205779801
462	0.00918272248
463	0.009144314722
464	0.009122268094
465	0.009106544418
466	0.009048522975
467	0.009017013577
468	0.008997809013
469	0.008939401128
470	0.00888576639
471	0.008866985122
472	0.008829086566
473	0.008784425397
474	0.008772783171
475	0.008718752693
476	0.008705967281
477	0.008664542193
478	0.00865295972
479	0.008626911721
480	0.008597017864
481	0.008581014932
482	0.008519184787
483	0.008506361403
484	0.00846903369
485	0.008411399922
486	0.008363757558
487	0.008344812343
488	0.008310714547
489	0.00828781189
490	0.008256628286
491	0.008229520088
492	0.008203387226
493	0.008185371801
494	0.008142349341
495	0.008039951097
496	0.008024287665
497	0.008011424954
498	0.008001459925
499	0.00798719984
