Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
125,mariya lastouskaya,BLR,11.866,10.7,9.933,11.433,43.932,qual,2018
126,anna subbotina,GEO,12.933,10.266,9.3,11.3,43.799,qual,2018
127,anastasija dubova,LAT,11.7,10.9,9.866,11.166,43.632,qual,2018
128,arianna castaneda,CRC,12.566,10.566,9.033,11.4,43.565,qual,2018
129,siiri saukkonen,FIN,12.6,10.566,8.333,11.833,43.332,qual,2018
130,meitar lavy,ISR,12.433,10.366,8.8,11.733,43.332,qual,2018
131,anastasia theocharous,CYP,12.133,9.133,10.9,11.0,43.166,qual,2018
132,sonja olafsdottir,ISL,11.766,10.366,10.066,10.666,42.864,qual,2018
133,aliaksandra netsiazhenka,BLR,11.8,11.266,8.1,11.533,42.699,qual,2018
134,grace mccallum,USA,14.6,14.1,0.0,13.8,42.5,qual,2018
135,mariangeles murillo,CRC,11.933,8.5,10.3,11.533,42.266,qual,2018
136,emilie winther,DEN,12.466,8.533,9.733,11.4,42.132,qual,2018
137,raegan rutty,CAY,12.1,9.4,9.466,11.166,42.132,qual,2018
138,rebeca andrade,BRA,14.566,14.333,12.633,0.0,41.532,qual,2018
139,yekaterina chuikina,KAZ,12.433,7.7,9.833,11.566,41.532,qual,2018
140,jelena stamenkovic,SRB,12.633,7.766,9.566,11.466,41.431,qual,2018
141,andjela djurdjevic,SRB,12.1,8.4,10.866,9.9,41.266,qual,2018
142,aliya mustafina,RUS,0.0,14.433,13.233,13.2,40.866,qual,2018
143,kim bui,none,13.5,14.066,0.0,13.133,40.699,qual,2018
144,sophie scheder,none,13.433,14.058,13.05,0.0,40.541,qual,2018
145,marine boyer,FRA,13.666,0.0,13.6,13.133,40.399,qual,2018
146,sabina turobova,UZB,12.066,8.666,8.533,11.066,40.331,qual,2018
147,shallon olsen,CAN,14.7,0.0,12.833,12.733,40.266,qual,2018
148,diana vasquez,BOL,13.2,8.666,8.766,9.4,40.032,qual,2018
149,alice kinsella,none,14.3,0.0,12.3,12.733,39.333,qual,2018
150,martina basile,ITA,13.833,0.0,12.233,13.233,39.299,qual,2018
151,sarah voss,none,14.0,0.0,13.133,12.0,39.133,qual,2018
152,tisha volleman,NED,0.0,12.833,12.766,13.433,39.032,qual,2018
153,jon jang mi,none,13.3,13.566,11.8,0.0,38.666,qual,2018
154,kiara richmon,JAM,12.566,8.566,7.466,10.033,38.631,qual,2018
155,chama temmami,ALG,9.6,8.566,10.533,9.866,38.565,qual,2018
156,nica ivanus,ROU,13.333,0.0,12.666,12.4,38.399,qual,2018
157,lorrane oliveira,BRA,0.0,13.166,12.066,13.033,38.265,qual,2018
158,leah griesser,none,0.0,13.4,13.033,11.733,38.166,qual,2018
159,carmen ghiciuc,ROU,13.333,11.8,12.7,0.0,37.833,qual,2018
160,maellyse brassart,BEL,13.566,0.0,11.266,12.833,37.665,qual,2018
161,lee eunju,SKR,0.0,12.7,12.633,12.166,37.499,qual,2018
162,rune hermans,BEL,0.0,13.0,11.866,12.533,37.399,qual,2018
163,argyro afrati,GRE,13.133,12.133,0.0,12.066,37.332,qual,2018
164,teja belak,SLO,13.633,11.983,11.666,0.0,37.282,qual,2018
165,nicolle castro,MEX,13.366,13.3,10.5,0.0,37.166,qual,2018
166,stefanie siegenthaler,SUI,12.466,12.2,12.5,0.0,37.166,qual,2018
167,mayra vaquie,ARG,13.366,0.0,11.666,12.033,37.065,qual,2018
168,laura bechdeju,ESP,13.4,0.0,11.233,12.066,36.699,qual,2018
169,caterina barloggio,SUI,0.0,12.266,12.2,12.2,36.666,qual,2018
170,wu sing-fen,none,13.133,0.0,11.5,11.333,35.966,qual,2018
171,alissa mörz,AUT,12.533,0.0,11.466,11.866,35.865,qual,2018
172,kim won yong,none,0.0,12.2,12.666,10.833,35.699,qual,2018
173,bianca frysak,AUT,12.5,11.266,0.0,11.9,35.666,qual,2018
174,evangelia monokrousou,GRE,12.666,0.0,10.9,12.0,35.566,qual,2018
175,sabina halova,CZE,12.533,0.0,11.266,11.666,35.465,qual,2018
176,sani mäkelä,FIN,13.766,0.0,9.333,12.133,35.232,qual,2018
177,göksu üctas sanli,TUR,13.266,0.0,10.766,10.6,34.632,qual,2018
178,mayerly vera,COL,12.866,10.9,10.566,0.0,34.332,qual,2018
179,paulina campos,MEX,0.0,11.266,10.8,11.933,33.999,qual,2018
180,ema kuklovska,SVK,12.133,0.0,10.9,10.833,33.866,qual,2018
181,sofia bjørnholdt,DEN,12.6,9.9,11.333,0.0,33.833,qual,2018
182,adela sajn,SLO,0.0,9.733,11.7,11.6,33.033,qual,2018
183,christina meixner,AUT,0.0,10.966,11.666,10.366,32.998,qual,2018
184,victoria kajø,DEN,0.0,9.033,10.966,11.066,31.065,qual,2018
185,lilia akhaimova,RUS,14.566,0.0,0.0,13.6,28.166,qual,2018
186,liu tingting,CHN,0.0,14.333,13.733,0.0,28.066,qual,2018
187,ana padurariu,CAN,0.0,13.833,13.966,0.0,27.799,qual,2018
188,jana el keky,QAT,10.133,0.0,8.8,8.633,27.566,qual,2018
189,sanne wevers,NED,0.0,13.333,14.033,0.0,27.366,qual,2018
190,sophie marois,CAN,14.2,0.0,0.0,12.9,27.1,qual,2018
191,thais fidelis,BRA,13.533,0.0,0.0,13.133,26.666,qual,2018
192,oksana chusovitina,UZB,14.3,0.0,12.266,0.0,26.566,qual,2018
193,liu jinru,CHN,14.3,0.0,0.0,12.133,26.433,qual,2018
194,alexandra eade,AUS,13.5,0.0,0.0,12.9,26.4,qual,2018
195,ri su ryon,none,13.1,0.0,0.0,12.766,25.866,qual,2018
196,angelina simakova,RUS,0.0,12.366,13.4,0.0,25.766,qual,2018
197,vasiliki millousi,GRE,0.0,12.8,12.933,0.0,25.733,qual,2018
198,sara peter,HUN,13.4,0.0,0.0,12.033,25.433,qual,2018
199,anina wildi,SUI,13.4,0.0,0.0,12.0,25.4,qual,2018
200,victoria mata,MEX,13.4,0.0,0.0,11.966,25.366,qual,2018
201,kirsten polderman,NED,13.366,0.0,0.0,11.766,25.132,qual,2018
202,senna deriks,BEL,13.533,11.466,0.0,0.0,24.999,qual,2018
203,sara davidsen,NOR,12.666,0.0,11.8,0.0,24.466,qual,2018
204,emma nedov,AUS,0.0,12.333,11.933,0.0,24.266,qual,2018
205,noemi makra,HUN,0.0,12.266,12.0,0.0,24.266,qual,2018
206,maria holbura,ROU,0.0,11.7,0.0,12.533,24.233,qual,2018
207,angelica mesa,COL,12.566,0.0,0.0,11.5,24.066,qual,2018
208,valentina pardo,COL,0.0,11.9,11.366,0.0,23.266,qual,2018
209,elisa hämmerle,AUT,0.0,10.466,12.5,0.0,22.966,qual,2018
210,ana derek,CRO,0.0,0.0,11.1,11.666,22.766,qual,2018
211,margret kristinsdottir,ISL,0.0,0.0,10.7,11.866,22.566,qual,2018
212,dominiqua belanyi,ISL,12.6,9.066,0.0,0.0,21.666,qual,2018
213,edel fosse,NOR,0.0,10.533,0.0,10.9,21.433,qual,2018
214,kara eaker,USA,0.0,0.0,14.466,0.0,14.466,qual,2018
215,jonna adlerteg,SWE,0.0,14.433,0.0,0.0,14.433,qual,2018
216,becky downie,none,0.0,14.4,0.0,0.0,14.4,qual,2018
217,juliette bossu,FRA,0.0,13.866,0.0,0.0,13.866,qual,2018
218,ham miju,SKR,13.3,0.0,0.0,0.0,13.3,qual,2018
219,tsz sum elizabeth chan,HKG,13.233,0.0,0.0,0.0,13.233,qual,2018
220,ofir netzer,ISR,13.233,0.0,0.0,0.0,13.233,qual,2018
221,martina rizzelli,ITA,0.0,12.8,0.0,0.0,12.8,qual,2018
222,paula raya,ESP,0.0,12.333,0.0,0.0,12.333,qual,2018
223,rosanna ojala,FIN,0.0,12.2,0.0,0.0,12.2,qual,2018
224,camila klesa,ARG,0.0,11.108,0.0,0.0,11.108,qual,2018
225,fang ko-ching,none,0.0,11.1,0.0,0.0,11.1,qual,2018
226,eliska firtova,CZE,0.0,11.066,0.0,0.0,11.066,qual,2018
227,ng yan yin,HKG,0.0,10.666,0.0,0.0,10.666,qual,2018
228,areej al khayat,SYR,10.525,0.0,0.0,0.0,10.525,qual,2018
229,alina circene,LAT,0.0,0.0,9.233,0.0,9.233,qual,2018
1,zhang jin,CHN,14.166,12.466,13.533,13.266,53.431,final,2018
2,elisabeth seitz,none,13.566,14.8,12.0,12.966,53.332,final,2018
3,jordan chiles,USA,14.666,12.9,11.733,13.633,52.932,final,2018
4,angelina melnikova,RUS,14.5,13.433,11.766,13.0,52.699,final,2018
5,sarah voss,none,14.433,13.333,12.4,12.3,52.466,final,2018
6,tisha volleman,NED,14.166,12.5,12.5,12.7,51.866,final,2018
7,nagi kajita,JPN,13.4,12.7,11.2,13.1,50.4,final,2018
8,lucy stanhope,none,14.366,11.233,10.366,12.3,48.265,final,2018
1,angelina melnikova,RUS,14.433,13.866,12.666,13.5,54.465,final,2018
2,margzetta frazier,USA,14.166,14.2,12.133,13.433,53.932,final,2018
3,alice kinsella,none,14.166,13.6,12.6,12.733,53.099,final,2018
4,jade chrobok,CAN,13.8,12.866,12.4,12.3,51.366,final,2018
5,hitomi hatakeda,JPN,13.633,13.9,10.6,13.0,51.133,final,2018
6,vera van pol,NED,13.333,13.366,12.133,12.2,51.032,final,2018
7,liu jieyu,CHN,13.366,11.8,11.166,12.5,48.832,final,2018
8,sarah voss,none,14.466,10.966,10.366,12.333,48.131,final,2018
1,mai murakami,JPN,14.566,13.7,13.7,14.566,56.532,final,2018
2,trinity thomas,USA,14.033,14.0,13.1,13.4,54.533,final,2018
3,mélanie de jesus dos santos,FRA,14.066,14.033,13.366,12.533,53.998,final,2018
4,angelina simakova,RUS,13.866,13.7,13.066,13.1,53.732,final,2018
5,elisabeth seitz,none,13.5,14.633,11.4,12.766,52.299,final,2018
6,aiko sugihara,JPN,14.0,13.5,11.233,13.2,51.933,final,2018
7,victoria-kayen woo,CAN,13.433,10.833,11.566,12.633,48.465,final,2018
