Rank,Athlete,Nation,D,E,ND,Total,year,round
52,Aneta Holasova,CZE,4.9,6.466,,11.366,2021,qual
53,Pamela Georgieva,BUL,4.6,6.733,,11.333,2021,qual
54,Yuliya Inshina,AZE,4.9,6.4,,11.3,2021,qual
55,Jasmin Mader,AUT,4.7,6.533,,11.233,2021,qual
56,Thelma Adalsteinsdottir,ISL,5.2,6.1,-0.1,11.2,2021,qual
57,Enni Kettunen,FIN,4.3,6.833,,11.133,2021,qual
58,Dominika Ponizilova,CZE,4.5,6.433,,10.933,2021,qual
59,Sara Davidsen,NOR,4.6,6.3,,10.9,2021,qual
60,Barbora Mokosova,SVK,4.2,6.533,,10.733,2021,qual
61,Aurelie Keller,LUX,4.4,6.433,-0.1,10.733,2021,qual
62,Gabriela Janik,POL,4.7,6.133,-0.1,10.733,2021,qual
63,Sofia Bjørnholdt,DEN,4.0,6.766,-0.1,10.666,2021,qual
64,Evangelia Monokrousou,GRE,4.8,5.966,-0.1,10.666,2021,qual
65,Mariana Marianito,POR,4.8,5.766,,10.566,2021,qual
66,Siiri Saukkonen,FIN,4.3,6.1,,10.4,2021,qual
67,Christina Zwicker,CRO,4.7,5.666,,10.366,2021,qual
68,Göksu Üctas Sanli,TUR,4.6,5.7,,10.3,2021,qual
69,Bianca Frysak,AUT,4.9,5.4,,10.3,2021,qual
70,Anna Subbotina,GEO,4.6,5.6,,10.2,2021,qual
71,Demet Mutlu,TUR,4.6,5.566,,10.166,2021,qual
72,Meaghan Smith,IRL,4.9,5.233,,10.133,2021,qual
73,Gloria Philassides,CYP,4.5,5.6,,10.1,2021,qual
74,Margret Kristinsdottir,ISL,4.4,5.6,-0.1,9.9,2021,qual
75,Sigridur Bergthorsdottir,ISL,4.5,5.4,,9.9,2021,qual
76,Karolina Takacova,SVK,4.6,5.066,,9.666,2021,qual
77,Leah Griesser,GER,5.0,4.633,,9.633,2021,qual
78,Ofir Netzer,ISR,4.2,5.366,,9.566,2021,qual
79,Linnea Wang,DEN,4.0,5.5,,9.5,2021,qual
80,Sarah Voss,GER,4.4,5.033,,9.433,2021,qual
81,Marija Ribalcenko,LAT,4.7,4.533,-0.1,9.133,2021,qual
82,Lucija Hribar,SLO,4.3,4.6,,8.9,2021,qual
83,Greta Banishka,BUL,4.1,4.7,,8.8,2021,qual
84,Thea Nygaard,NOR,4.7,4.1,,8.8,2021,qual
85,Victoria Kajø,DEN,4.3,4.0,,8.3,2021,qual
86,Linda Tugarinova,LAT,3.7,4.533,,8.233,2021,qual
87,Marina Nekrasova,AZE,1.6,7.666,-6.5,2.766,2021,qual
