Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual,round_unknown
6.0,5.6,7.55,0.0,13.15,2019,0,138,11,False,False,True
7.0,5.7,7.05,0.0,12.75,2019,0,257,55,False,False,True
8.0,5.1,7.0,0.0,12.1,2019,0,43,59,False,False,True
1.0,6.3,8.533,0.0,14.833,2019,0,103,12,True,False,False
2.0,6.1,8.266,0.0,14.366,2019,0,173,12,True,False,False
3.0,5.4,7.966,0.0,13.366,2019,0,113,2,True,False,False
4.0,6.0,7.166,0.0,13.166,2019,0,140,61,True,False,False
5.0,4.5,8.0,0.0,12.5,2019,0,227,2,True,False,False
6.0,5.1,7.266,0.0,12.366,2019,0,260,68,True,False,False
7.0,4.0,8.3,0.0,12.3,2019,0,249,65,True,False,False
8.0,5.2,6.8,0.0,12.0,2019,0,192,33,True,False,False
1.0,6.1,8.2,0.0,14.3,2019,0,173,12,False,True,False
2.0,6.2,7.633,0.0,13.833,2019,0,103,12,False,True,False
3.0,5.5,8.133,0.0,13.633,2019,0,113,2,False,True,False
4.0,6.0,7.233,0.0,13.233,2019,0,140,61,False,True,False
5.0,5.4,7.8,0.0,13.2,2019,0,192,33,False,True,False
6.0,4.6,7.833,0.0,12.433,2019,0,227,2,False,True,False
7.0,5.0,7.4,0.0,12.4,2019,0,260,68,False,True,False
8.0,4.0,8.333,0.0,12.333,2019,0,249,65,False,True,False
9.0,4.9,7.3,0.0,12.2,2019,0,97,37,False,True,False
1.0,6.1,8.5,0.0,14.6,2018,0,18,55,True,False,False
2.0,6.0,8.567,0.0,14.567,2018,0,224,69,True,False,False
3.0,5.9,8.433,0.0,14.333,2018,0,31,55,True,False,False
4.0,6.0,8.167,0.0,14.167,2018,0,13,69,True,False,False
5.0,5.5,8.1,0.0,13.6,2018,0,169,21,True,False,False
6.0,5.5,8.033,0.0,13.533,2018,0,130,8,True,False,False
7.0,5.7,7.8,0.0,13.5,2018,0,114,33,True,False,False
8.0,4.7,8.033,0.0,12.733,2018,0,117,12,True,False,False
1.0,6.5,8.666,0.0,15.166,2017,0,103,75,True,False,False
2.0,6.3,8.8,0.0,15.1,2017,0,85,75,True,False,False
3.0,6.3,8.733,0.0,15.033,2017,1,208,75,True,False,False
4.0,6.2,8.7,0.0,14.9,2017,1,19,75,True,False,False
5.0,6.1,8.666,0.0,14.766,2017,0,90,75,True,False,False
6.0,6.0,8.583,0.0,14.583,2017,0,75,75,True,False,False
7.0,6.2,8.366,0.0,14.566,2017,0,172,75,True,False,False
8.0,5.4,7.366,0.0,12.766,2017,0,40,75,True,False,False
1.0,6.5,8.7,0.0,15.2,2018,1,208,75,True,False,False
2.0,6.2,8.5,0.0,14.7,2018,0,238,75,True,False,False
3.0,6.2,8.4,0.0,14.6,2018,0,90,75,True,False,False
4.0,6.0,8.5,0.0,14.5,2018,0,172,75,True,False,False
5.0,5.8,8.633,0.0,14.433,2018,0,12,75,True,False,False
6.0,6.1,8.333,0.0,14.433,2018,0,200,75,True,False,False
7.0,6.1,7.233,0.0,13.333,2018,0,45,75,True,False,False
8.0,6.2,6.966,0.0,13.166,2018,0,140,75,True,False,False
1.0,6.5,8.733,0.0,15.233,2019,1,208,75,True,False,False
2.0,6.5,8.5,0.0,15.0,2019,0,45,75,True,False,False
3.0,6.4,8.4,0.0,14.8,2019,1,243,75,True,False,False
4.0,6.3,8.433,0.0,14.733,2019,0,31,75,True,False,False
5.0,6.2,8.5,0.0,14.7,2019,0,238,75,True,False,False
6.0,6.3,8.333,0.0,14.633,2019,0,70,75,True,False,False
7.0,5.9,8.5,0.0,14.4,2019,0,167,75,True,False,False
8.0,6.0,7.566,0.0,13.566,2019,0,90,75,True,False,False
1.0,6.1,8.366,0.0,14.466,2019,0,31,55,True,False,False
2.0,6.3,8.1,0.0,14.4,2019,0,45,22,True,False,False
3.0,5.9,8.333,0.0,14.233,2019,0,24,7,True,False,False
4.0,6.5,7.433,0.0,13.933,2019,1,208,6,True,False,False
5.0,5.7,7.766,0.0,13.466,2019,0,203,45,True,False,False
6.0,5.8,7.066,0.0,12.866,2019,0,169,21,True,False,False
1.0,6.3,8.133,0.0,14.433,2019,0,45,22,False,True,False
2.0,6.6,7.833,0.0,14.433,2019,1,208,6,False,True,False
3.0,6.2,8.1,0.0,14.3,2019,0,18,55,False,True,False
4.0,5.9,8.266,0.0,14.166,2019,0,24,7,False,True,False
5.0,5.7,8.4,0.0,14.1,2019,0,203,45,False,True,False
6.0,5.9,8.2,0.0,14.1,2019,0,31,55,False,True,False
7.0,6.1,8.0,0.0,14.1,2019,0,112,22,False,True,False
8.0,5.8,8.2,0.0,14.0,2019,0,169,21,False,True,False
9.0,6.2,7.733,0.0,13.933,2019,0,56,21,False,True,False
10.0,6.0,7.9,0.0,13.9,2019,0,75,68,False,True,False
11.0,5.9,7.966,0.0,13.866,2019,0,47,26,False,True,False
12.0,5.5,8.133,0.0,13.633,2019,0,105,50,False,True,False
13.0,5.7,7.833,0.0,13.533,2019,0,235,6,False,True,False
14.0,5.6,7.866,0.0,13.466,2019,0,274,26,False,True,False
15.0,5.8,7.633,0.0,13.433,2019,0,7,55,False,True,False
16.0,5.5,7.766,0.0,13.266,2019,0,20,68,False,True,False
17.0,5.1,7.7,0.0,12.8,2019,0,159,45,False,True,False
17.0,5.1,7.7,0.0,12.8,2019,0,72,53,False,True,False
19.0,5.2,7.533,0.0,12.733,2019,0,107,49,False,True,False
20.0,4.8,7.9,0.0,12.7,2019,0,78,14,False,True,False
21.0,5.2,7.366,0.0,12.566,2019,0,110,7,False,True,False
22.0,4.4,8.0,0.0,12.4,2019,0,87,39,False,True,False
23.0,5.0,7.3,0.0,12.3,2019,0,28,14,False,True,False
24.0,4.7,7.566,0.0,12.266,2019,0,96,29,False,True,False
25.0,5.1,7.066,0.0,12.166,2019,0,11,21,False,True,False
26.0,4.6,6.966,0.0,11.566,2019,0,62,59,False,True,False
27.0,4.0,7.533,0.0,11.533,2019,0,0,31,False,True,False
28.0,4.6,6.866,0.0,11.466,2019,0,206,66,False,True,False
29.0,5.5,5.533,0.0,11.033,2019,0,32,68,False,True,False
30.0,3.6,7.0,0.0,10.6,2019,0,58,41,False,True,False
31.0,5.2,5.2,0.0,10.4,2019,0,64,19,False,True,False
32.0,3.9,6.466,0.0,10.366,2019,0,46,3,False,True,False
33.0,1.3,8.666,0.0,9.966,2019,0,251,57,False,True,False
34.0,4.5,4.933,0.0,9.433,2019,0,136,61,False,True,False
35.0,3.7,5.333,0.0,9.033,2019,0,156,9,False,True,False
36.0,2.5,4.9,0.0,7.4,2019,0,93,25,False,True,False
1.0,6.3,8.375,0.0,14.675,2015,0,140,61,True,False,False
2.0,5.5,8.3,0.0,13.8,2015,0,152,4,True,False,False
3.0,5.6,7.875,0.0,13.475,2015,0,105,50,True,False,False
4.0,5.0,8.45,0.0,13.45,2015,0,80,26,True,False,False
5.0,5.3,8.0,0.0,13.3,2015,0,216,19,True,False,False
6.0,5.0,8.025,0.0,13.025,2015,0,57,58,True,False,False
7.0,5.8,6.8,0.0,12.6,2015,0,100,25,True,False,False
8.0,4.2,7.175,0.0,11.375,2015,0,247,57,True,False,False
1.0,6.5,8.533,0.0,15.033,2015,0,140,61,False,True,False
2.0,5.6,8.233,0.0,13.833,2015,0,105,50,False,True,False
3.0,6.0,7.466,0.0,13.466,2015,0,100,25,False,True,False
4.0,5.1,8.166,0.0,13.266,2015,0,216,19,False,True,False
5.0,4.9,8.3,0.0,13.2,2015,0,80,26,False,True,False
6.0,4.9,8.2,0.0,13.1,2015,0,57,58,False,True,False
7.0,4.9,8.133,0.0,13.033,2015,0,247,57,False,True,False
8.0,5.5,7.5,0.0,13.0,2015,0,152,4,False,True,False
9.0,4.9,7.933,0.0,12.833,2015,0,253,66,False,True,False
10.0,5.5,7.333,0.0,12.833,2015,0,191,49,False,True,False
11.0,5.4,7.3,0.0,12.7,2015,0,27,53,False,True,False
12.0,4.8,7.833,0.0,12.633,2015,0,255,32,False,True,False
13.0,4.9,7.666,0.0,12.566,2015,0,217,24,False,True,False
14.0,4.4,8.0,0.0,12.4,2015,0,48,26,False,True,False
15.0,4.1,8.166,0.0,12.266,2015,0,109,58,False,True,False
16.0,4.7,7.5,0.0,12.2,2015,0,84,66,False,True,False
17.0,5.3,6.666,0.0,11.966,2015,0,149,24,False,True,False
18.0,4.5,7.266,0.0,11.766,2015,0,77,46,False,True,False
19.0,4.7,6.966,0.0,11.666,2015,0,180,0,False,True,False
20.0,5.2,6.466,0.0,11.666,2015,0,219,14,False,True,False
21.0,4.5,7.066,0.0,11.566,2015,0,165,3,False,True,False
22.0,5.4,6.066,0.0,11.466,2015,0,38,25,False,True,False
23.0,4.0,7.333,0.0,11.333,2015,0,264,14,False,True,False
24.0,4.5,6.8,0.0,11.3,2015,0,4,0,False,True,False
25.0,5.6,5.433,0.0,11.033,2015,0,16,19,False,True,False
26.0,3.9,7.1,0.0,11.0,2015,0,135,3,False,True,False
27.0,3.5,7.466,0.0,10.966,2015,0,271,4,False,True,False
28.0,2.5,7.9,0.0,10.4,2015,0,74,39,False,True,False
29.0,2.6,7.666,0.0,10.266,2015,0,204,23,False,True,False
30.0,3.8,6.033,0.0,9.833,2015,0,35,20,False,True,False
31.0,2.7,7.0,0.0,9.7,2015,0,186,50,False,True,False
32.0,2.4,7.033,0.0,9.433,2015,0,23,39,False,True,False
33.0,3.8,4.7,0.0,8.5,2015,0,92,30,False,True,False
1.0,6.3,8.55,0.0,14.85,2014,0,157,56,True,False,False
2.0,6.3,8.4,0.0,14.7,2014,0,194,5,True,False,False
3.0,5.9,7.975,0.0,13.875,2014,0,220,73,True,False,False
4.0,5.3,8.35,0.0,13.65,2014,0,73,56,True,False,False
5.0,5.1,8.3,-0.1,13.3,2014,0,80,28,True,False,False
6.0,5.2,7.95,0.0,13.15,2014,0,153,16,True,False,False
7.0,5.6,7.225,0.0,12.825,2014,0,39,62,True,False,False
8.0,4.5,6.45,0.0,10.95,2014,0,236,52,True,False,False
9.0,5.5,5.275,0.0,10.775,2014,0,273,38,True,False,False
1.0,6.4,8.6,0.0,15.0,2014,0,157,56,False,True,False
2.0,5.7,8.5,0.0,14.2,2014,0,73,56,False,True,False
3.0,5.8,8.35,0.0,14.15,2014,0,39,62,False,True,False
4.0,6.1,7.9,0.0,14.0,2014,0,194,5,False,True,False
5.0,6.0,7.55,0.0,13.55,2014,0,220,73,False,True,False
6.0,5.6,8.0,-0.1,13.5,2014,0,80,28,False,True,False
7.0,5.8,7.5,0.0,13.3,2014,0,273,38,False,True,False
8.0,5.2,7.7,0.0,12.9,2014,0,153,16,False,True,False
9.0,5.8,7.2,-0.1,12.9,2014,0,68,48,False,True,False
10.0,5.0,7.8,0.0,12.8,2014,0,207,64,False,True,False
11.0,5.1,7.55,0.0,12.65,2014,0,133,62,False,True,False
12.0,4.8,7.75,0.0,12.55,2014,0,247,63,False,True,False
13.0,4.9,7.5,0.0,12.4,2014,0,25,10,False,True,False
14.0,5.3,7.0,0.0,12.3,2014,0,61,48,False,True,False
15.0,5.7,6.45,0.0,12.15,2014,0,162,5,False,True,False
16.0,5.0,7.1,0.0,12.1,2014,0,132,16,False,True,False
17.0,4.6,7.25,0.0,11.85,2014,0,251,63,False,True,False
18.0,5.2,6.55,0.0,11.75,2014,0,3,38,False,True,False
19.0,4.8,6.6,0.0,11.4,2014,0,145,10,False,True,False
20.0,5.6,5.75,0.0,11.35,2014,0,127,15,False,True,False
21.0,4.0,7.2,0.0,11.2,2014,0,256,28,False,True,False
22.0,5.1,6.05,0.0,11.15,2014,0,161,64,False,True,False
23.0,4.6,6.5,-0.1,11.0,2014,0,120,27,False,True,False
24.0,4.5,6.35,0.0,10.85,2014,0,236,52,False,True,False
25.0,4.8,5.95,0.0,10.75,2014,0,143,67,False,True,False
26.0,5.1,5.5,0.0,10.6,2014,0,71,67,False,True,False
27.0,3.0,6.8,0.0,9.8,2014,0,270,27,False,True,False
28.0,4.9,5.0,-0.1,9.8,2014,0,86,71,False,True,False
29.0,2.9,4.7,0.0,7.6,2014,0,1,52,False,True,False
1.0,6.1,8.275,0.0,14.375,2013,0,17,55,True,False,False
2.0,5.7,8.45,0.0,14.15,2013,0,139,72,True,False,False
3.0,5.9,7.65,0.0,13.55,2013,0,184,19,True,False,False
4.0,5.4,8.025,0.0,13.425,2013,0,132,14,True,False,False
5.0,6.2,7.1,0.0,13.3,2013,1,241,24,True,False,False
6.0,5.9,7.35,0.0,13.25,2013,0,101,55,True,False,False
7.0,5.3,7.0,0.0,12.3,2013,0,105,50,True,False,False
8.0,5.8,5.775,0.0,11.575,2013,0,123,61,True,False,False
1.0,6.1,8.8,0.0,14.9,2013,0,17,55,False,True,False
2.0,6.2,8.1,0.0,14.3,2013,1,241,24,False,True,False
3.0,5.8,8.4,0.0,14.2,2013,0,123,61,False,True,False
4.0,5.7,7.9,0.0,13.6,2013,0,184,19,False,True,False
5.0,5.3,7.9,0.0,13.2,2013,0,105,50,False,True,False
6.0,5.4,7.75,0.0,13.15,2013,0,132,14,False,True,False
7.0,5.8,7.3,0.0,13.1,2013,0,101,55,False,True,False
8.0,5.1,7.9,0.0,13.0,2013,0,139,72,False,True,False
9.0,6.0,7.0,0.0,13.0,2013,0,122,12,False,True,False
10.0,4.8,8.05,0.0,12.85,2013,0,82,50,False,True,False
11.0,6.1,6.7,0.0,12.8,2013,0,229,19,False,True,False
12.0,5.0,7.7,0.0,12.7,2013,0,209,45,False,True,False
13.0,5.0,7.7,0.0,12.7,2013,0,88,3,False,True,False
14.0,4.9,7.65,0.0,12.55,2013,0,128,60,False,True,False
15.0,5.0,7.55,0.0,12.55,2013,0,176,11,False,True,False
16.0,4.9,7.6,0.0,12.5,2013,0,165,3,False,True,False
17.0,4.6,7.7,0.0,12.3,2013,0,59,45,False,True,False
18.0,5.1,7.0,0.0,12.1,2013,0,234,58,False,True,False
19.0,4.8,7.1,0.0,11.9,2013,0,178,20,False,True,False
20.0,4.5,7.15,0.0,11.65,2013,0,129,72,False,True,False
21.0,4.5,7.1,0.0,11.6,2013,0,177,18,False,True,False
22.0,5.4,6.1,0.0,11.5,2013,0,51,24,False,True,False
23.0,5.2,5.9,0.0,11.1,2013,0,201,58,False,True,False
24.0,4.4,6.65,0.0,11.05,2013,0,43,59,False,True,False
25.0,4.5,5.8,0.0,10.3,2013,0,34,36,False,True,False
26.0,4.7,5.5,0.0,10.2,2013,0,126,36,False,True,False
27.0,3.1,6.9,0.0,10.0,2013,0,125,30,False,True,False
28.0,4.4,4.1,0.0,8.5,2013,0,244,42,False,True,False
29.0,4.7,3.45,0.0,8.15,2013,0,29,42,False,True,False
30.0,1.3,1.2,0.0,2.5,2013,0,153,14,False,True,False
1.0,6.6,8.8,0.0,15.4,2013,0,122,12,True,False,False
2.0,6.4,8.866,0.0,15.266,2013,0,155,69,True,False,False
3.0,6.5,8.533,0.0,15.033,2013,1,12,55,True,False,False
4.0,6.1,8.616,0.0,14.716,2013,0,238,69,True,False,False
5.0,6.4,8.283,0.0,14.683,2013,1,241,24,True,False,False
6.0,6.9,7.733,0.0,14.633,2013,0,267,12,True,False,False
7.0,6.3,8.033,0.0,14.333,2013,0,231,22,True,False,False
8.0,6.4,7.4,0.0,13.8,2013,0,45,22,True,False,False
1.0,6.9,8.733,0.0,15.633,2014,0,267,12,True,False,False
2.0,6.8,8.766,0.0,15.566,2014,0,122,12,True,False,False
3.0,6.4,8.883,0.0,15.283,2014,0,70,55,True,False,False
4.0,6.5,8.766,0.0,15.266,2014,0,40,69,True,False,False
5.0,6.6,8.566,0.0,15.166,2014,0,45,22,True,False,False
6.0,6.3,8.8,0.0,15.1,2014,1,12,55,True,False,False
7.0,6.3,8.033,0.0,14.333,2014,0,166,24,True,False,False
8.0,6.1,7.566,0.0,13.666,2014,0,231,22,True,False,False
1.0,6.9,8.466,0.0,15.366,2015,0,103,12,True,False,False
1.0,6.6,8.766,0.0,15.366,2015,0,265,55,True,False,False
1.0,6.7,8.666,0.0,15.366,2015,0,70,55,True,False,False
1.0,6.6,8.766,0.0,15.366,2015,1,175,69,True,False,False
5.0,6.4,8.733,0.0,15.133,2015,0,106,69,True,False,False
6.0,6.7,8.2,0.0,14.9,2015,0,237,12,True,False,False
7.0,6.3,8.466,0.0,14.766,2015,0,231,22,True,False,False
8.0,6.6,8.0,0.0,14.6,2015,1,241,24,True,False,False
1.0,6.5,9.125,0.0,15.625,2016,0,40,69,True,False,False
2.0,6.1,8.575,0.0,14.675,2016,0,158,2,True,False,False
3.0,6.0,8.6,0.0,14.6,2016,0,50,11,True,False,False
4.0,5.7,8.35,0.0,14.05,2016,0,174,11,True,False,False
5.0,6.2,7.8,0.0,14.0,2016,0,49,69,True,False,False
6.0,5.5,8.375,0.0,13.875,2016,0,147,2,True,False,False
7.0,5.0,8.275,0.0,13.275,2016,0,115,13,True,False,False
8.0,5.6,7.1,0.0,12.7,2016,0,202,35,True,False,False
1.0,6.0,9.25,0.0,15.25,2015,0,155,69,True,False,False
2.0,6.1,9.05,0.0,15.15,2015,0,42,69,True,False,False
3.0,5.8,8.5,0.0,14.3,2015,0,232,11,True,False,False
4.0,5.6,8.6,0.0,14.2,2015,0,98,33,True,False,False
5.0,5.7,8.35,0.0,14.05,2015,0,259,21,True,False,False
6.0,5.9,7.95,0.0,13.85,2015,0,192,33,True,False,False
7.0,5.8,7.65,0.0,13.45,2015,0,168,21,True,False,False
8.0,6.1,7.15,0.0,13.25,2015,0,127,11,True,False,False
1.0,6.0,8.4,0.0,14.4,2015,0,254,22,True,False,False
2.0,5.8,8.35,0.0,14.15,2015,0,91,22,True,False,False
3.0,5.6,8.05,0.0,13.65,2015,0,67,22,True,False,False
4.0,5.5,7.8,0.0,13.3,2015,0,14,22,True,False,False
5.0,4.8,8.35,0.0,13.15,2015,0,223,22,True,False,False
6.0,5.1,7.65,0.0,12.75,2015,0,226,22,True,False,False
7.0,5.3,6.75,0.0,12.05,2015,0,60,22,True,False,False
8.0,5.6,6.4,0.0,12.0,2015,0,131,22,True,False,False
1.0,6.4,8.575,0.0,14.975,2014,0,40,69,True,False,False
2.0,6.3,8.525,0.0,14.825,2014,1,175,69,True,False,False
3.0,5.6,7.5,0.0,13.1,2014,0,2,43,True,False,False
4.0,5.3,7.775,0.0,13.075,2014,0,163,8,True,False,False
5.0,5.4,7.625,0.0,13.025,2014,0,8,43,True,False,False
6.0,5.0,7.675,0.0,12.675,2014,0,179,13,True,False,False
7.0,5.8,6.375,0.0,12.175,2014,0,139,72,True,False,False
8.0,4.2,6.875,0.0,11.075,2014,0,181,8,True,False,False
1.0,6.0,8.8,0.0,14.8,2015,0,83,55,True,False,False
2.0,5.9,8.333,0.0,14.233,2015,0,41,35,True,False,False
3.0,5.7,8.4,0.0,14.1,2015,0,183,55,True,False,False
4.0,5.9,7.666,0.0,13.566,2015,0,146,22,True,False,False
4.0,5.6,7.966,0.0,13.566,2015,0,105,50,True,False,False
6.0,5.2,7.966,0.0,13.166,2015,0,113,2,True,False,False
7.0,5.8,7.2,0.0,13.0,2015,0,118,37,True,False,False
8.0,5.4,7.266,0.0,12.666,2015,0,99,37,True,False,False
1.0,6.0,8.8,0.0,14.8,2015,0,83,55,False,True,False
2.0,5.9,8.6,0.0,14.5,2015,0,183,55,False,True,False
3.0,5.8,8.15,0.0,13.95,2015,0,118,37,False,True,False
4.0,5.6,8.25,0.0,13.85,2015,0,105,50,False,True,False
5.0,5.3,8.5,0.0,13.8,2015,0,113,2,False,True,False
6.0,5.7,8.1,0.0,13.8,2015,0,41,35,False,True,False
7.0,5.8,8.0,0.0,13.8,2015,0,146,22,False,True,False
8.0,5.4,8.2,0.0,13.6,2015,0,99,37,False,True,False
9.0,5.1,8.4,0.0,13.5,2015,0,69,55,False,True,False
10.0,5.0,8.45,0.0,13.45,2015,0,266,35,False,True,False
11.0,5.2,8.05,0.0,13.25,2015,0,222,55,False,True,False
12.0,5.3,7.65,0.0,12.95,2015,0,104,42,False,True,False
13.0,4.6,7.95,0.0,12.55,2015,0,76,70,False,True,False
14.0,4.7,7.85,0.0,12.55,2015,0,252,42,False,True,False
15.0,5.4,7.15,0.0,12.55,2015,0,194,2,False,True,False
16.0,5.0,6.95,0.0,12.45,2015,0,95,2,False,True,False
17.0,5.3,7.05,0.0,12.35,2015,0,214,37,False,True,False
18.0,5.5,6.65,0.0,12.15,2015,0,205,35,False,True,False
19.0,5.5,6.6,0.0,12.1,2015,0,269,35,False,True,False
20.0,4.7,6.95,0.0,11.65,2015,0,187,43,False,True,False
21.0,4.8,6.85,0.0,11.65,2015,0,66,54,False,True,False
22.0,5.6,6.0,0.0,11.6,2015,0,37,20,False,True,False
23.0,4.5,6.9,0.0,11.4,2015,0,55,57,False,True,False
24.0,4.4,6.85,0.0,11.25,2015,0,239,3,False,True,False
25.0,4.5,6.2,0.0,10.7,2015,0,244,42,False,True,False
26.0,4.5,6.05,0.0,10.55,2015,0,213,42,False,True,False
27.0,5.2,5.35,0.0,10.55,2015,0,215,37,False,True,False
28.0,4.4,4.8,0.0,9.2,2015,0,240,46,False,True,False
29.0,3.9,5.1,0.0,9.0,2015,0,141,47,False,True,False
30.0,4.1,4.45,0.0,8.55,2015,0,89,45,False,True,False
31.0,2.2,5.55,0.0,7.75,2015,0,250,46,False,True,False
1.0,6.7,8.766,0.0,15.466,2015,0,70,55,True,False,False
2.0,6.7,8.533,0.0,15.233,2015,0,45,22,True,False,False
3.0,5.6,8.6,0.0,14.2,2015,0,233,45,True,False,False
4.0,5.9,8.2,0.0,14.1,2015,0,91,22,True,False,False
5.0,6.0,7.933,0.0,13.933,2015,0,192,33,True,False,False
6.0,5.7,8.066,0.0,13.766,2015,0,116,58,True,False,False
7.0,6.1,7.333,0.0,13.433,2015,0,182,55,True,False,False
8.0,5.8,5.866,0.0,11.666,2015,0,168,21,True,False,False
1.0,6.5,8.741,0.0,15.241,2015,0,70,55,False,True,False
2.0,6.7,8.533,0.0,15.233,2015,0,45,22,False,True,False
3.0,6.2,8.533,0.0,14.733,2015,0,182,55,False,True,False
4.0,5.6,8.633,0.0,14.233,2015,0,233,45,False,True,False
5.0,5.9,8.333,0.0,14.233,2015,0,183,55,False,True,False
6.0,5.9,8.3,0.0,14.2,2015,0,168,21,False,True,False
7.0,5.9,8.066,0.0,13.966,2015,0,91,22,False,True,False
8.0,6.0,7.966,0.0,13.966,2015,0,116,58,False,True,False
9.0,6.0,7.866,0.0,13.866,2015,0,192,33,False,True,False
10.0,5.4,8.366,0.0,13.766,2015,0,105,50,False,True,False
11.0,5.7,8.066,0.0,13.766,2015,0,98,33,False,True,False
12.0,5.3,8.366,0.0,13.666,2015,0,73,53,False,True,False
13.0,5.6,8.066,0.0,13.666,2015,0,191,49,False,True,False
14.0,5.4,8.2,0.0,13.6,2015,0,102,45,False,True,False
15.0,5.9,7.7,0.0,13.6,2015,0,210,26,False,True,False
16.0,5.7,7.766,0.0,13.466,2015,0,150,61,False,True,False
17.0,5.8,7.533,0.0,13.333,2015,0,170,21,False,True,False
18.0,5.6,7.7,0.0,13.3,2015,0,14,22,False,True,False
19.0,5.6,7.666,0.0,13.266,2015,0,38,25,False,True,False
20.0,5.5,7.7,0.0,13.2,2015,0,262,33,False,True,False
21.0,5.2,7.9,0.0,13.1,2015,0,124,58,False,True,False
22.0,5.0,8.033,0.0,13.033,2015,0,81,45,False,True,False
23.0,5.4,7.6,0.0,13.0,2015,0,54,33,False,True,False
24.0,5.1,7.866,0.0,12.966,2015,0,43,59,False,True,False
25.0,5.2,7.7,0.0,12.9,2015,0,137,58,False,True,False
26.0,6.1,6.766,0.0,12.866,2015,0,100,25,False,True,False
27.0,5.2,7.633,0.0,12.833,2015,0,53,58,False,True,False
28.0,5.3,7.5,0.0,12.8,2015,0,151,26,False,True,False
29.0,5.5,7.3,0.0,12.8,2015,0,160,53,False,True,False
30.0,5.9,6.9,0.0,12.8,2015,0,140,61,False,True,False
31.0,4.8,7.933,0.0,12.733,2015,0,121,1,False,True,False
32.0,4.9,7.833,0.0,12.733,2015,0,247,57,False,True,False
33.0,5.1,7.5,0.0,12.6,2015,0,198,24,False,True,False
34.0,5.8,6.8,0.0,12.6,2015,0,209,45,False,True,False
35.0,4.6,7.866,0.0,12.466,2015,0,197,17,False,True,False
36.0,4.7,7.766,0.0,12.466,2015,0,5,19,False,True,False
