Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	Number_Lost_Bags
1297.01	0.37	43		
1760.23	0.435	48		
1868.38	0.369	58		
1426.22	0.369	68		
1245.09	0.359	63		
1212.38	0.376	48		
1508.45	0.399	48		
1731.33	0.453	43		
1786.75	0.482	73		
1457	0.403	68		
1582.58	0.402	78		
1038.01	0.394	33		
1463.85	0.394	38		
2058.35	0.391	33		
1668.08	0.399	53		
1568.62	0.42	78		
2031.42	0.453	43		
2059.31	0.346	43		
1452.12	0.415	33		
1511.62	0.399	23		
1773.18	0.401	53		
1506.78	0.45	43		
1337.86	0.402	38		
1289.3	0.407	58		
2306.69	0.388	33		
1478.77	0.412	48		
1610.38	0.394	48		
1796.12	0.377	78		
1505.45	0.431	28		
1470.13	0.463	48		
1573.43	0.439	53		
1672.71	0.411	68		
1301.44	0.469	58		
1703.78	0.456	28		
1644.16	0.353	78		
1851.59	0.329	73		
1569.99	0.344	23		
1235.94	0.411	43		
1621.43	0.425	58		
1782.14	0.48	68		
1879.1	0.378	78		
1465.25	0.397	58		
1577.26	0.434	43		
1880.48	0.379	63		
1806.2	0.447	43		
1746.59	0.428	48		
1715.98	0.413	63		
1851.81	0.435	73		
1539.45	0.388	78		
1675.05	0.397	53		
1435.1	0.38	48		
1659.19	0.403	53		
1666.23	0.449	33		
1722.9	0.413	48		
1573.45	0.422	48		
1862.18	0.434	38		
1517.23	0.416	38		
1631.38	0.419	58		
1740.18	0.394	48		
1344.7	0.454	53		
1663.94	0.405	63		
1582.2	0.386	38		
1333.59	0.487	58		
1626.5	0.401	38		
1246.17	0.353	58		
1378.48	0.403	53		
1801.75	0.408	53		
1674.28	0.449	58		
1710.14	0.448	28		
1357.91	0.388	53		
2016.19	0.389	48		
1631.19	0.377	48		
1651.35	0.416	43		
1591.5	0.456	68		
1661.65	0.394	53		
1852.67	0.397	28		
2125.62	0.377	28		
1688.59	0.394	48		
1599.09	0.437	43		
1759.13	0.419	53		
1400.74	0.438	48		
2096.59	0.429	33		
1060.58	0.409	58		
1557.59	0.399	58		
1291.26	0.419	38		
1538.18	0.397	53		
1675.66	0.483	78		
2105.98	0.435	48		
2002.45	0.408	43		
1901.86	0.479	43		
2238.86	0.402	48		
1878.7	0.394	68		
1873.18	0.431	53		
1566.46	0.452	68		
1991.04	0.412	53		
1542.6	0.439	48		
1399.24	0.368	38		
1839.46	0.406	58		
1568.79	0.378	68		
1787.2	0.415	68		
1848.36	0.369	48		
1907.72	0.408	23		
1670.98	0.37	43		
1638.74	0.478	58		
2041.23	0.445	48		
2012.65	0.393	38		
1709.14	0.421	63		
1446.58	0.409	78		
1520.54	0.406	28		
1304.62	0.536	53		
1893.72	0.391	83		
1849.58	0.437	53		
1496.78	0.378	73		
1537.75	0.416	48		
1569.94	0.431	58		
1166.44	0.437	38		
1337.95	0.377	38		
1571.43	0.413	48		
1462.54	0.492	43		
1987.8	0.385	53		
1373.84	0.42	63		
1413.46	0.374	48		
1490.33	0.445	33		
1663.29	0.452	53		
1321.22	0.419	43		
1820.79	0.338	63		
1431.45	0.444	43		
1387.94	0.414	48		
1152.22	0.352	53		
1323.82	0.426	18		
1480.01	0.398	48		
1403.86	0.434	53		
1825.15	0.415	48		
2005.64	0.365	38		
1872.13	0.368	68		
1383.49	0.406	43		
1645.37	0.435	68		
1674.1	0.374	53		
1630.1	0.416	58		
1467	0.37	53		
1433.48	0.395	53		
1954.37	0.472	63		
1492.56	0.393	48		
1675.36	0.41	38		
1081.89	0.364	48		
1599.75	0.415	48		
1407.22	0.361	33		
1399.91	0.406	48		
1797.17	0.354	48		
1631.96	0.382	63		
1354.17	0.454	83		
1069.2	0.419	48		
1645.99	0.376	53		
1700.15	0.396	63		
1978.79	0.371	58		
1922.9	0.46	38		
1385.4	0.363	48		
1840.38	0.418	28		
2274.92	0.364	53		
2091.73	0.38	63		
1999.13	0.405	63		
1824.66	0.43			
1841.67	0.4			
1687.32	0.466			
1813.06	0.382			
2403.56	0.375			
1700.47	0.414			
1255.89	0.369			
1511.8	0.46			
1671.23	0.417			
1439.32	0.388			
1946.57	0.418			
1782.83	0.445			
1691.9	0.34			
1639.82	0.461			
1163.37	0.408			
2004.26	0.394			
1598.17	0.397			
1631.82	0.406			
1594.72	0.387			
1420.15	0.447			
1486.82	0.385			
1434.82	0.38			
1495.68	0.411			
1516.32	0.512			
1448.59	0.386			
1992.02	0.426			
1517.1	0.452			
1531.94	0.398			
1347.74	0.447			
1759.79	0.405			
1788.08	0.419			
1040.51	0.41			
1994.16	0.373			
1161.24	0.387			
1480.94	0.43			
1470.07	0.392			
1654.39	0.406			
1423.76	0.384			
1453.95	0.458			
1835.07	0.375			
1555.26	0.468			
1545.88	0.39			
1407.33	0.488			
1613.68	0.413			
1813.14	0.433			
1949.74	0.389			
1349.11	0.413			
1461.06	0.409			
1864.07	0.442			
1795.97	0.408			
2190.21	0.433			
1752.7	0.366			
1441.02	0.414			
1668.5	0.45			
1493.94	0.457			
1387.18	0.383			
1446.58	0.37			
1812.46	0.411			
1688.63	0.419			
1684.49	0.425			
1713.38	0.426			
1077.04	0.344			
1455.96	0.441			
869.5	0.336			
1961.96	0.391			
1343.5	0.412			
1782.64	0.454			
1805.06	0.4			
2125.86	0.408			
1494.65	0.411			
1161.35	0.453			
1447.39	0.399			
1704.42	0.401			
2151.84	0.353			
1990.06	0.359			
1688.64	0.381			
1408.62	0.453			
1322.02	0.388			
1721.84	0.458			
2092.69	0.385			
1523.74	0.429			
1453.14	0.404			
1740.97	0.367			
1183.58	0.381			
1565.36	0.494			
1513.82	0.404			
1923.95	0.401			
1194.11	0.42			
2213.17	0.424			
1471.59	0.452			
1622.74	0.421			
1577.18	0.397			
1495.13	0.383			
1676.32	0.364			
1931.9	0.433			
2126.94	0.416			
1593.66	0.426			
1247.44	0.44			
1056.26	0.403			
1773.27	0.452			
1812.59	0.377			
1666.36	0.424			
1583.62	0.45			
1680.91	0.402			
1110.17	0.375			
1734.61	0.438			
1376.5	0.385			
1515.38	0.444			
1673.69	0.395			
1894.34	0.401			
1636.87	0.404			
1655.92	0.431			
1566.82	0.379			
925.22	0.412			
1686.46	0.437			
1758.6	0.37			
1866.78	0.413			
1816.86	0.403			
1077.42	0.425			
1063.9	0.407			
2012.85	0.36			
1967.86	0.37			
1520.96	0.39			
1523.57	0.439			
1472.1	0.404			
1283.37	0.416			
1411.73	0.439			
2082.37	0.413			
1905.87	0.409			
1485.77	0.41			
1972.73	0.433			
1764.85	0.429			
1540.7	0.37			
1553.39	0.429			
1731.74	0.366			
2240.06	0.511			
1405.88	0.408			
1330.25	0.479			
1663.86	0.418			
1553.46	0.384			
1147.98	0.483			
1560.26	0.484			
1591.86	0.415			
1154.31	0.413			
1587.35	0.412			
1601.53	0.477			
2185.95	0.398			
1590.86	0.418			
1285.18	0.429			
1747.16	0.397			
1855.23	0.387			
1558.86	0.433			
1437.58	0.406			
1335.22	0.405			
1530.25	0.43			
1704.84	0.413			
1955.47	0.408			
1815.73	0.422			
1287.28	0.452			
1349.62	0.401			
1944.49	0.42			
1880.12	0.339			
2065	0.438			
1744.03	0.416			
1125.27	0.401			
1506.29	0.352			
1276.07	0.391			
1632.02	0.435			
2061.73	0.403			
1541.16	0.438			
2253.73	0.446			
1925.42	0.394			
1593.07	0.392			
2087.69	0.4			
1775.39	0.379			
1338.41	0.405			
1224.14	0.402			
1687.14	0.432			
1548.96	0.456			
1955.88	0.42			
1435.39	0.365			
2124.97	0.408			
1494.64	0.434			
1215.48	0.466			
1800.57	0.509			
1428.16	0.382			
1629.8	0.436			
1367.38	0.419			
1919.48	0.426			
1865.06	0.4			
1745.62	0.434			
1557.7	0.47			
1213.59	0.452			
1999.96	0.43			
1167.79	0.413			
2070.42	0.398			
1553.62	0.407			
1739.78	0.388			
1424.3	0.441			
1168.08	0.412			
1171.86	0.421			
1763.55	0.434			
1419.87	0.43			
1012.57	0.391			
1765.66	0.445			
1683.14	0.355			
1037.98	0.334			
1467.37	0.371			
1895.62	0.359			
1605.82	0.4			
1686.97	0.405			
1602.98	0.491			
1367	0.45			
2141.72	0.448			
1764.74	0.438			
1533.38	0.425			
1114.46	0.435			
1559.09	0.315			
1835.49	0.424			
1009.74	0.423			
1527.78	0.397			
2037.51	0.406			
1958.03	0.423			
1364.02	0.365			
1508.74	0.462			
1827.13	0.457			
1652.46	0.433			
1774.68	0.41			
1465.65	0.431			
2010.2	0.446			
1988.87	0.393			
2102.1	0.401			
1537.59	0.419			
1795.64	0.403			
1344.74	0.42			
1261.85	0.393			
1260.14	0.386			
1112.72	0.416			
1335.98	0.378			
1746.27	0.402			
1382.01	0.413			
1879.81	0.397			
1350.42	0.474			
1684.71	0.413			
1603.02	0.413			
1492.78	0.371			
1328.2	0.398			
1903.4	0.366			
2304.25	0.429			
2130.22	0.37			
1626.14	0.451			
2097.53	0.345			
1093.54	0.424			
1396.09	0.414			
1638.63	0.441			
1368.79	0.427			
1736.94	0.446			
1720.17	0.391			
1607.34	0.444			
2027.24	0.377			
1829.11	0.383			
1900.3	0.43			
1819.42	0.492			
1382.82	0.428			
1719.18	0.44			
1439.44	0.383			
1930.38	0.408			
1897.83	0.406			
1626.12	0.457			
1759.71	0.39			
1605.36	0.421			
1374.04	0.367			
1616.45	0.36			
1484.08	0.412			
2188.62	0.407			
832.46	0.417			
1425.22	0.422			
1620.99	0.39			
1822.45	0.432			
1953.15	0.403			
1192.17	0.391			
1383.14	0.405			
1909.91	0.42			
2027.95	0.36			
1819.18	0.385			
1759.32	0.395			
1897.05	0.379			
1910.16	0.397			
1345.78	0.446			
1535.26	0.392			
1781.94	0.518			
1828.84	0.363			
1756.42	0.428			
1941.79	0.426			
1642.94	0.385			
1962.06	0.482			
1677.39	0.429			
1308.13	0.402			
1498.02	0.426			
1627.95	0.489			
1729.11	0.397			
1321.94	0.421			
1924.73	0.371			
1150.96	0.412			
1643.52	0.394			
1464.14	0.379			
1858.55	0.445			
1395.85	0.418			
1960.93	0.375			
1792.17	0.372			
1662.47	0.449			
1882.73	0.388			
1872.9	0.426			
1335.03	0.364			
1606.44	0.42			
1102.84	0.405			
1676.29	0.505			
1566.22	0.431			
983.62	0.396			
1467.18	0.425			
1422.04	0.369			
1861.62	0.41			
1431.54	0.394			
1697.2	0.433			
1519.48	0.387			
2077.9	0.455			
1807	0.449			
1183.44	0.433			
1954.15	0.44			
1144.95	0.461			
1768.37	0.457			
1729.19	0.416			
1708.46	0.391			
1598.2	0.414			
1671.26	0.368			
1393.94	0.403			
1861.22	0.444			
1439.86	0.44			
1618.12	0.372			
1669.43	0.384			
1066.75	0.397			
1805.06	0.435			
1743.29	0.429			
1568.2	0.405			
1544.24	0.47			
1747.55	0.448			
1808.12	0.456			
1622.18	0.404			
883.34	0.45			
2134.26	0.403			
1531.74	0.427			
1244.03	0.443			
1382.58	0.412			
1516.34	0.357			
1638.06	0.466			
1708.32	0.43			
1457.36	0.413			
1581.22	0.43			
1471.42	0.408			
1749.37	0.407			
1324.38	0.368			
917.38	0.435			
1350.96	0.379			
1710.61	0.421			
1332.28	0.382			
1480.5	0.444			
1660.47	0.413			
1645.5	0.432			
1531.76	0.415			
1710.07	0.406			
1027.96	0.404			
1241.23	0.413			
1213.85	0.382			
1120.6	0.431			
1778.49	0.417			
1216.58	0.435			
1544.96	0.339			
1676.18	0.468			
1548.54	0.391			
1381.21	0.414			
1451.5	0.356			
1886.23	0.412			
2113.18	0.416			
1649.13	0.405			
1569.08	0.366			
1387.79	0.401			
1334.3	0.39			
1585.23	0.418			
1794.87	0.424			
1679.75	0.482			
1385.3	0.414			
1647.73	0.393			
1255.17	0.422			
1708.41	0.385			
1375.18	0.462			
1804.84	0.409			
1037.21	0.364			
1499.7	0.383			
1330.62	0.393			
1431.66	0.41			
1778.24	0.413			
1627.39	0.366			
1193.74	0.364			
1518.12	0.398			
1561.57	0.378			
1426.63	0.421			
1860.78	0.408			
1367.73	0.481			
1759.15	0.36			
2308.62	0.354			
1580.86	0.441			
1692.44	0.422			
1615.34	0.377			
1865.6	0.425			
1263.75	0.376			
1280.85	0.44			
1859.53	0.4			
2035.78	0.467			
1605.25	0.383			
1898.52	0.427			
1332.1	0.377			
1847.63	0.378			
1655.68	0.45			
1317.06	0.466			
1302.88	0.432			
1703.58	0.402			
1546.72	0.493			
1983.7	0.394			
1585.55	0.443			
2045.38	0.439			
1413.06	0.375			
2434.65	0.483			
1775.91	0.391			
1590.5	0.375			
1827.98	0.394			
998.71	0.403			
1516.9	0.378			
2145.6	0.434			
1717.18	0.367			
1614.67	0.436			
1884.49	0.488			
1168.52	0.404			
1389.55	0.461			
2169.5	0.411			
1768.8	0.401			
2091.06	0.365			
1637.83	0.46			
1247.17	0.404			
1748.74	0.459			
2062.33	0.418			
1575.73	0.46			
1521.98	0.446			
1495.23	0.394			
1229.78	0.431			
1365.53	0.438			
1345.43	0.347			
1092.53	0.388			
1621.5	0.398			
1593.58	0.434			
1762.48	0.387			
1657.65	0.396			
1409.6	0.421			
2659.59	0.336			
1488.19	0.338			
1483.38	0.443			
1603.1	0.387			
800.58	0.476			
1144.22	0.36			
1851.75	0.429			
1056.71	0.401			
2006.02	0.416			
1639.83	0.48			
1357.21	0.376			
2054.32	0.368			
1732	0.404			
1510.56	0.455			
1912.72	0.418			
2107.09	0.415			
1940.08	0.407			
1887.18	0.435			
1452.24	0.373			
1488.78	0.462			
1839.57	0.408			
1860.65	0.395			
1651.03	0.428			
2182.82	0.388			
1783.09	0.423			
1456.4	0.468			
1121.37	0.485			
1920.13	0.425			
1669.91	0.411			
2002.97	0.414			
1985.04	0.357			
1369.76	0.401			
1793.26	0.416			
1847.63	0.369			
2180.24	0.409			
1988.16	0.408			
1521.19	0.421			
1532.1	0.353			
1227.57	0.432			
927.43	0.38			
1846.95	0.437			
1467.54	0.373			
1485.47	0.379			
1651.23	0.474			
2109.42	0.341			
1179.51	0.381			
1791	0.445			
1648.49	0.418			
2057.56	0.433			
1804.07	0.408			
1980.5	0.357			
1740.51	0.401			
1434.43	0.394			
1479.29	0.428			
1381.08	0.409			
1787.81	0.377			
1033.69	0.372			
1275.95	0.381			
1823.85	0.391			
1617.32	0.38			
1116.63	0.387			
1762.98	0.484			
1772.89	0.478			
1998.85	0.426			
1668.44	0.441			
1303.07	0.391			
1657.14	0.427			
1371.9	0.402			
1528.6	0.381			
1505.25	0.393			
1719	0.553			
1199.93	0.412			
1701.34	0.427			
1885.24	0.405			
1955.02	0.538			
1643.66	0.42			
1195.14	0.418			
1138.12	0.364			
1343.1	0.486			
1606.94	0.45			
1504.35	0.426			
1965.68	0.46			
1695.96	0.426			
2042.24	0.492			
1973.68	0.497			
2133.44	0.39			
1789.99	0.373			
1669.29	0.441			
1849.98	0.38			
1546.74	0.379			
1709.11	0.44			
1622.12	0.469			
1640.1	0.325			
1801.62	0.421			
1604.3	0.444			
1676.93	0.416			
1590.74	0.386			
1500.36	0.374			
1291.38	0.418			
1599.96	0.412			
1736.18	0.455			
1844.86	0.41			
1681.39	0.413			
1439.96	0.42			
1793.05	0.484			
1911.04	0.411			
1963.91	0.45			
1491.18	0.462			
1206.19	0.395			
1402.26	0.4			
1578.98	0.425			
1603.89	0.455			
2289.38	0.37			
1726.19	0.408			
1098.34	0.39			
1794.41	0.379			
1959.68	0.421			
1356.52	0.392			
1268.56	0.388			
1694.93	0.38			
1937.13	0.421			
1384.18	0.46			
1901.03	0.385			
1813.26	0.387			
1808.73	0.449			
1538.5	0.405			
1497.08	0.375			
1666.38	0.371			
1397.23	0.391			
1214.58	0.391			
1957.13	0.408			
1526.22	0.406			
1654.89	0.451			
1722.94	0.422			
1178.47	0.359			
1269.62	0.374			
1671.32	0.432			
1118.98	0.368			
1674.61	0.389			
1549.06	0.438			
1628.7	0.441			
1719.94	0.435			
1667.09	0.435			
1859.21	0.428			
1837.37	0.383			
1784.07	0.369			
1822.36	0.503			
1683.95	0.403			
1710.62	0.429			
1922.05	0.381			
1426.38	0.406			
1367.77	0.49			
1630.37	0.382			
1358.65	0.389			
1820.7	0.409			
2215.26	0.396			
1843.78	0.419			
1154.62	0.413			
1325.51	0.365			
1387.26	0.391			
1269.09	0.391			
1945.69	0.425			
1455.57	0.38			
1099.32	0.407			
1426.46	0.38			
1507.18	0.434			
1900.66	0.469			
1935.18	0.398			
1188.98	0.467			
1537.36	0.385			
1871.78	0.392			
997.64	0.393			
1846.12	0.419			
1514.78	0.362			
1712.08	0.398			
1606.85	0.421			
1646.58	0.432			
1065.48	0.415			
1463.85	0.391			
1267.72	0.372			
1259.31	0.419			
1425.02	0.361			
1818.54	0.4			
1573.9	0.425			
1752.57	0.477			
1662.19	0.411			
1656.1	0.402			
1574.79	0.402			
1722.25	0.449			
1830.18	0.332			
1779.25	0.403			
1320.04	0.437			
2035.32	0.405			
1735.09	0.425			
1648.09	0.435			
1817.81	0.49			
1534.17	0.358			
2076.17	0.393			
1118.92	0.375			
1557.58	0.455			
1515.8	0.379			
1300.91	0.45			
834.94	0.398			
1401.38	0.393			
1811.46	0.413			
1116.22	0.412			
1791.42	0.383			
1502.67	0.441			
1917.47	0.407			
1695.58	0.401			
1791.76	0.35			
2036.45	0.395			
1868.73	0.427			
1789.35	0.372			
1387.44	0.375			
1880.3	0.435			
1840.38	0.395			
1303.82	0.461			
1621.02	0.423			
1321.62	0.425			
2318.57	0.432			
1479.74	0.404			
1848.38	0.389			
1994.06	0.452			
2150.5	0.383			
1529.45	0.419			
1436.96	0.37			
1632.35	0.47			
1649.5	0.418			
1240.94	0.47			
1605.93	0.437			
1400.64	0.357			
1704.89	0.385			
1401.71	0.435			
2049.55	0.34			
1149.56	0.412			
1135.04	0.401			
1639.7	0.438			
1027.6	0.452			
1808.1	0.42			
1744.15	0.387			
1790.88	0.352			
1587.44	0.425			
1777.97	0.473			
1663.62	0.406			
1879.02	0.418			
1440.38	0.352			
1400.6	0.463			
1643.89	0.352			
1505.19	0.437			
1711.7	0.431			
1472.98	0.384			
1870.82	0.373			
2077.21	0.394			
1514.54	0.408			
1780.5	0.437			
1486.96	0.406			
1601.34	0.422			
1237.08	0.443			
1371.86	0.425			
1480.73	0.393			
1844.26	0.404			
1263.44	0.387			
1884.56	0.396			
1638.76	0.409			
1032.83	0.36			
1548.74	0.481			
1627.34	0.427			
1899.36	0.402			
1795.26	0.391			
1802.6	0.438			
873.06	0.358			
1295.34	0.384			
1853.12	0.447			
1290.46	0.413			
1466.25	0.446			
1361.3	0.379			
1114.53	0.455			
1472.44	0.372			
2076.74	0.382			
1456.73	0.394			
1696.92	0.464			
1600.19	0.364			
1325.43	0.391			
1666.3	0.402			
2072.19	0.413			
1300.02	0.353			
1656.04	0.411			
1822.74	0.409			
1883.02	0.404			
1140.21	0.395			
1533.02	0.406			
1862.37	0.387			
1556.18	0.392			
1732.38	0.393			
1737.19	0.379			
2194.87	0.465			
1703.62	0.446			
1750.81	0.393			
2188.5	0.424			
1765.61	0.388			
1824.01	0.477			
1733.75	0.368			
1631.45	0.495			
1029.95	0.469			
1783.86	0.352			
1878.6	0.432			
1427	0.365			
1180.12	0.452			
1473.87	0.416			
1232.17	0.417			
1468.65	0.443			
827.3	0.424			
1852.29	0.45			
2193.35	0.409			
1323.92	0.416			
1807.65	0.424			
2164.41	0.424			
1342.31	0.42			
1476.8	0.436			
1772.95	0.406			
1792.27	0.438			
1717.25	0.5			
1970.3	0.427			
1872.21	0.452			
1321.86	0.419			
1732.46	0.445			
1574.31	0.457			
1890.88	0.415			
1503.19	0.422			
1932.83	0.388			
1709.86	0.412			
1036.56	0.397			
1598.39	0.437			
1717.18	0.41			
1177.18	0.354			
2002.52	0.423			
1251.58	0.377			
1727.18	0.45			
1740.76	0.373			
1986.94	0.431			
1484.88	0.436			
1187.79	0.391			
1613.88	0.478			
1620.82	0.427			
2068.06	0.421			
1264.21	0.404			
1362.14	0.433			
1125.22	0.432			
1247.06	0.39			
