Model,Price,Year,Mileage,Fuel Type
Nissan Micra Micra 1.2 DIG-S SR,"CHF 4,700",10.2012,"88,000 km",Petrol
Opel Insignia Insignia ST 2.0 Turbo Active Edition Aut.,"CHF 3,800",07.2013,"99,000 km",Petrol
VW T5 T5 2.5 TDI PD,"CHF 12,870",06.2009,"205,000 km",Diesel
Mercedes-Benz ML 500 ML 500 4Matic 7G-Tronic,"CHF 22,700",06.2013,"188,000 km",Petrol
Suzuki Ignis Ignis 1.5 16V GL Top 4x4,"CHF 6,980",07.2007,"117,000 km",Petrol
VW Golf R Golf 2.0 TSI R 4Motion DSG,"CHF 9,700",07.2010,"155,000 km",Petrol
Audi S6 S6 Avant 3.0 TDI quattro tiptronic,"CHF 44,900",07.2019,"111,000 km",Diesel/Electric
VW Golf Golf 1.6 TDI BlueMotion Technology Team DSG,"CHF 4,950",04.2010,"260,000 km",Diesel
BMW X5 X5 4.8is,"CHF 8,900",07.2004,"323,000 km",Petrol
Opel Meriva Meriva 1.6i-16 TP Cosmo,"CHF 3,900",04.2008,"100,000 km",Petrol
Mercedes-Benz GLE 350 GLE Coupé 350 d 4Matic 9G-Tronic,"CHF 64,000",04.2019,"52,000 km",Diesel
BMW M3 M3 Touring xDrive Competition M,"CHF 99,800",11.2023,100 km,Petrol
BMW X1 X1 xDrive 23i 48V M Sport,"CHF 48,800",09.2023,"23,400 km",Petrol/Electric
BMW M3 M3 Competition M xDrive,"CHF 86,800",05.2023,"24,600 km",Petrol
VW Polo Polo 1.2 TSI Comfortline DSG,"CHF 7,900",07.2013,"171,195 km",Petrol
BMW 335 335i xDrive Touring Steptronic,"CHF 10,900",09.2009,"154,448 km",Petrol
Suzuki SX4 SX4 1.6 16V GL Top Piz Sulai 4WD Automatic,"CHF 10,900",05.2010,"69,000 km",Petrol
Audi A6 A6 Avant 2.8 Ambition,"CHF 4,900",11.1999,"166,000 km",Petrol
Alfa Romeo 159 159 Sportwagon 1.9 JTD (Impression),"CHF 4,300",06.2010,"114,000 km",Diesel
Fiat Doblo Doblò 1.4 TB Easy,"CHF 8,945",12.2017,"128,190 km",Petrol
Mercedes-Benz E 300 E 300 Elégance 4Matic 7G-Tronic,"CHF 18,900",03.2013,"106,500 km",Petrol
Citroen C3 C3 Aircross 1.2i PureTech Shine,"CHF 12,500",11.2018,"70,900 km",Petrol
VW T6 Multivan T6 Multivan 2.0 TSI Highline DSG,"CHF 29,990",01.2016,"159,000 km",Petrol
Suzuki SX4 S-Cross SX4 S-Cross 1.4 16V Piz Sulai Top 4WD Automatic,"CHF 18,800",08.2017,"80,300 km",Petrol
Renault Mégane Mégane Grandtour 1.5 dCi Business EDC,"CHF 13,900",07.2020,"84,000 km",Diesel
Mercedes-Benz ML 320 ML 320 CDI 4Matic Edition7G-Tronic,"CHF 10,900",03.2008,"167,500 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi Panther Edition,"CHF 11,900",08.2019,"97,200 km",Petrol
Seat Altea XL Altea XL Freetrack 2.0 TDI,"CHF 4,990",02.2008,"173,000 km",Diesel
BMW X4 X4 M40i Steptronic,"CHF 39,900",06.2019,"116,000 km",Petrol
Ford Puma Puma 1.0 MHEV ST-Line X Automat,"CHF 23,800",02.2022,"40,000 km",Petrol/Electric
Hyundai i20 i20 1.0 T-GDi Vertex DCT,"CHF 15,900",06.2019,"74,000 km",Petrol
Ford Focus Focus 1.5 TDCi Trend+ Automatic,"CHF 9,800",07.2019,"115,000 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi MHEV ST Line X Automat,"CHF 19,700",09.2022,"22,500 km",Petrol/Electric
Mercedes-Benz GLC 250 GLC 250 d AMG Line 4Matic 9G-Tronic,"CHF 23,900",08.2017,"157,700 km",Diesel
BMW M340 M340i xDrive 48V Steptronic M Sport Pro,"CHF 64,800",09.2023,"3,000 km",Petrol/Electric
BMW M3 M3 Competition M xDrive,"CHF 84,800",04.2023,"23,000 km",Petrol
Ford Kuga Kuga 2.5 PHEV ST-Line X 2WD,"CHF 46,800",12.2023,"14,000 km",Petrol/Electric
Ds Automobiles DS3 DS 3 1.2 PureTech SO Chic,"CHF 6,899",03.2018,"113,998 km",Petrol
VW Golf Golf 1.5 eTSI  mHEV ACT Style DSG,"CHF 19,900",10.2020,"80,000 km",Petrol/Electric
BMW X4 X4 xDrive 35d M Sport Steptronic,"CHF 25,900",09.2017,"167,500 km",Diesel
BMW M3 M3 Cabriolet DSG,"CHF 56,900",04.2011,"98,100 km",Petrol
Citroen C1 C1 1.0i Chic (SX),"CHF 2,100",06.2010,"132,500 km",Petrol
Bentley Continental Continental GTC 4.0 V8,CHF 90,07.2012,"35,000 km",Petrol
Ford Ecosport EcoSport 1.5 TDCi Business,"CHF 7,900",09.2018,"57,600 km",Diesel
Toyota Hi-lux Hilux 2.5D 4WD Extra Cab Luna,"CHF 19,000",06.2012,"111,000 km",Diesel
KIA Picanto Picanto 1.0 CVVT Basic,"CHF 5,500",12.2015,"44,641 km",Petrol
Mercedes-Benz GLC 250 GLC 250 d AMG Line 4Matic 9G-Tronic,"CHF 26,000",01.2018,"139,000 km",Diesel
Toyota Carina Carina E 2.0 GLi Liftback,"CHF 4,500",07.1992,"85,960 km",Petrol
VW Polo Polo 1.0 BMT Trendline,"CHF 9,900",05.2019,"106,000 km",Petrol
Mercedes-Benz C 43 AMG C 43 AMG T 4 Matic,"CHF 72,800",02.2024,"7,000 km",Petrol/Electric
Mercedes-Benz B 220 B 220 Urban 4Matic 7G-DCT,"CHF 22,800",06.2015,"42,000 km",Petrol
Mercedes-Benz GLC 43 AMG GLC Coupé 43 AMG 4Matic 9G-Tronic,"CHF 69,800",03.2022,"32,000 km",Petrol
Volvo XC40 XC40 T2 Momentum Light Geartronic,"CHF 29,900",03.2021,"45,500 km",Petrol
Audi SQ5 SQ5 TDI quattro tiptronic,"CHF 61,900",07.2021,"41,000 km",Diesel
BMW X5M X5M Steptronic,"CHF 47,900",12.2016,"96,300 km",Petrol
Peugeot 308 308 1.2 Pure Tech Allure EAT8,"CHF 14,900",10.2019,"84,500 km",Petrol
VW Caddy Caddy 1.5 TSI Liberty DSG,"CHF 50,540",10.2024,150 km,Petrol/Electric
VW Touareg Touareg 3.0 TDI R Line Limited Tiptronic,"CHF 70,850",02.2023,"18,500 km",Diesel
VW T-ROC T-Roc 2.0 TSI Sport Selection DSG 4Motion,"CHF 23,950",11.2021,"99,600 km",Petrol
Mercedes-Benz A 200 A 200 AMG Line,"CHF 30,800",04.2020,"34,000 km",Petrol
KIA Stinger Stinger 3.3 T-GDi GT Automat AWD,"CHF 52,850",01.2024,850 km,Petrol
Seat Ateca Ateca 2.0 TSI FR 4Drive DSG,"CHF 24,890",10.2020,"69,500 km",Petrol
VW Tiguan Tiguan 2.0 TDI SCR Highline4Motion DSG,"CHF 25,500",02.2018,"85,900 km",Diesel
Ferrari F430 F430,"CHF 102,500",02.2005,"72,500 km",Petrol
Porsche GTS Macan GTS PDK,"CHF 64,990",06.2020,"68,900 km",Petrol
Skoda Superb Superb Combi 1.8 TSI Ambition DSG,"CHF 9,999",12.2011,"109,000 km",Petrol
Tesla Model Y Model Y Performance,"CHF 49,890",01.2023,"52,000 km",Electric
VW Caddy Caddy 1.5 TSI Liberty DSG,"CHF 43,900",10.2024,"6,500 km",Petrol/Electric
Mazda MX-5 MX-5 1.8i-16 GT-Cup,"CHF 12,900",05.2001,"97,800 km",Petrol
VW Passat Passat Variant 1.8 TSI BMT Highline DSG,"CHF 19,900",06.2017,"84,500 km",Petrol
Jeep Compass Compass 4x2 1.3 Turbo Night Eagle DKG,"CHF 28,890",08.2022,"25,343 km",Petrol
VW Passat Passat Variant 2.0 TDI Business  DSG,"CHF 29,890",08.2023,"12,100 km",Diesel
Mercedes-Benz GLC 43 AMG GLC Coupé 43 AMG 4Matic 9G-Tronic,"CHF 56,900",05.2020,"53,000 km",Petrol
Audi Q3 Q3 Sportback 35 TFSI Attraction S-tronic,"CHF 29,900",10.2020,"99,000 km",Petrol/Electric
Mazda 6 6 2.0 16V Exclusive,"CHF 1,990",09.2008,"236,000 km",Petrol
BMW 330 330e Steptronic M Sport,"CHF 44,500",03.2024,"10,400 km",Petrol
Mini Countryman Countryman John Cooper Works ALL4 Steptronic,"CHF 24,900",08.2017,"64,900 km",Petrol
Volvo XC90 XC90 D5 AWD R-Design Geartronic,"CHF 27,900",10.2017,"135,900 km",Diesel
Mercedes-Benz Vito Vito 115 combi K 2.2 CDI,"CHF 12,500",01.2009,"158,000 km",Diesel
Audi A5 A5 Avant 40 TFSI S-tronic quattro,"CHF 82,390",10.2024,12 km,Petrol/Electric
VW ID.3 ID.3 GTX 79 kWh GTX,"CHF 49,900",09.2024,"4,000 km",Electric
Audi Q2 Q2 2.0 TFSI sport quattro S-tronic,"CHF 25,900",07.2018,"62,000 km",Petrol
Audi Q3 Q3 45 TFSI e S line S-tronic,"CHF 33,900",07.2021,"84,000 km",Petrol/Electric
Skoda Enyaq iV Enyaq Coupé RS iV 80 4x4,"CHF 49,990",11.2023,"15,000 km",Electric
Cupra Formentor Formentor 2.0TSI 4Drive DSG,"CHF 35,800",07.2022,"10,900 km",Petrol
Seat Ibiza Ibiza 1.0 EcoTSI Style DSG,"CHF 20,400",01.2024,"24,500 km",Petrol
BMW X1 X1 xDrive 25e M Sport Steptronic,"CHF 35,500",10.2021,"27,200 km",Petrol/Electric
VW T6.1 T6.1 California 2.0 TDI Beach DSG,"CHF 61,900",10.2021,"23,300 km",Diesel
Skoda Kodiaq Kodiaq 2.0 TSI 4x4 SportLine,"CHF 39,990",11.2022,"45,500 km",Petrol
Hyundai i20 i20 1.4 Style,"CHF 6,900",05.2013,"133,100 km",Petrol
Cupra Ateca Ateca 2.0 TSI FR 4Drive DSG,"CHF 24,890",10.2020,"69,500 km",Petrol
Hyundai Kona Kona 1.6 GDi HEV Vertex DCT,"CHF 23,800",06.2020,"65,000 km",Petrol/Electric
Alfa Romeo Stelvio Stelvio 2.9 V6 Quadrifoglio Q4 Automatic,"CHF 62,500",04.2021,"57,500 km",Petrol
Hyundai Kona Kona 1.6 GDi HEV Amplia DCT,"CHF 36,070",12.2023,"8,600 km",Petrol/Electric
Mitsubishi Outlander Outlander 2.4 PHEV Diamond S-Edition 4WD Automatic,"CHF 24,950",12.2018,"58,400 km",Petrol/Electric
Hyundai Tucson Tucson 1.6 TGDI HEV Vertex 4WD,"CHF 37,700",03.2021,"32,100 km",Petrol/Electric
Hyundai i30 i30 N 2.0 T-GDi,"CHF 29,750",09.2019,"57,200 km",Petrol
BMW X3 X3 xDrive 20i Individual,"CHF 61,900",03.2024,"5,500 km",Petrol/Electric
Skoda Karoq Karoq 2.0 TDI Drive 4x4 DSG,"CHF 24,920",03.2020,"79,900 km",Diesel
Hyundai Bayon Bayon 1.0 T-GDi 48V MH Vertex DCT,"CHF 24,650",12.2021,"9,100 km",Petrol/Electric
Hyundai i30 i30 1.4 T-GDi Amplia,"CHF 18,650",12.2019,"32,100 km",Petrol
Hyundai i10 i10 1.0 T-GDI N Line,"CHF 23,140",03.2023,"17,400 km",Petrol
Hyundai Tucson Tucson 1.6 TGDI 48V Vertex DCT 4WD,"CHF 35,650",12.2021,"63,000 km",Petrol/Electric
BMW X3 X3 xDrive M Competition Steptronic,"CHF 66,900",09.2021,"50,000 km",Petrol
VW Golf GTI Golf 2.0 TSI GTI,"CHF 13,900",04.2010,"148,000 km",Petrol
Land Rover Range Rover Evoque Range Rover Evoque 2.2 SD4 Union Monochrome AT9,"CHF 14,900",12.2014,"146,000 km",Diesel
Mitsubishi L 200 Hubbrillenfahrzeug,"CHF 55,900",06.2014,"19,500 km",Diesel
Smart Fortwo fortwo passion,"CHF 6,800",05.2016,"68,670 km",Petrol
Dacia Sandero Sandero1.5dCi Stepway,"CHF 6,900",09.2017,"90,000 km",Diesel
Jeep  Wrangler 3V6 24V VVT 4 Door SAHARA,"CHF 61,850",01.2023,"2,500 km",8212 (ZH)
Dodge Viper Viper SRT-10,"CHF 99,950",01.2008,"12,800 km",Benzin bleifrei
Chrysler PT Cruiser PT Cruiser 2.4 Limited,"CHF 6,500",01.2007,"80,159 km",Benzin bleifrei
Toyota Corolla Corolla Touring Sports 2.0 HSD Trend e-CVT,"CHF 36,900",02.2023,"4,500 km",Petrol/Electric
Seat Ibiza Ibiza 1.0 EcoTSI Swiss FR,"CHF 11,000",10.2019,"103,000 km",Petrol
Renault Captur Captur 1.3 TCe Techno EDC,"CHF 19,700",12.2021,"65,200 km",Petrol/Electric
VW Golf Golf 1.5 TSI EVO Comfortline DSG,"CHF 19,990",11.2019,"88,000 km",Petrol
Dacia Duster Duster TCe 150 Ultimate 4x4,"CHF 17,490",04.2021,"48,000 km",Petrol
Audi A4 A4 Avant 2.0 TDI multitronic,"CHF 5,500",05.2012,"255,000 km",Diesel
Skoda Octavia Octavia 2.0 TDI Swiss Adventure 4x4,"CHF 4,690",09.2006,"245,000 km",Diesel
Dacia Dokker Dokker 1.5 dCi Ambiance,"CHF 8,400",10.2013,"126,000 km",Diesel
VW Caddy Caddy 1.4 TSI Trendline DSG,"CHF 5,700",02.2020,"375,000 km",Petrol
VW Golf Golf 2.0 TSI R DSG 4Motion,"CHF 36,900",03.2021,"47,500 km",Petrol
KIA cee'd Cee'd 1.6 16V Trend,"CHF 2,400",02.2010,"239,000 km",Petrol
Hyundai i30 i30 1.6 GDI Premium,"CHF 5,590",03.2012,"191,800 km",Petrol
Honda Jazz Jazz 1.4i Exclusive,"CHF 2,300",03.2009,"208,500 km",Petrol
BMW 325 325xi Touring,"CHF 1,900",10.2005,"381,000 km",Petrol
Mini Clubman Clubman Cooper S,"CHF 7,999",12.2011,"142,500 km",Petrol
BMW X5 X5 xDrive 50i Steptronic,"CHF 21,900",12.2014,"224,600 km",Petrol
Mazda 5 5 2.0 16V Exclusive Activematic,"CHF 2,900",10.2008,"158,000 km",Petrol
Hyundai Santa Fe Santa Fe 2.2 CRDI Swiss Plus Edition 4WD,"CHF 5,900",12.2011,"246,600 km",Diesel
Mercedes-Benz G 500 G 500 9G-Tronic,"CHF 159,800",11.2022,"13,052 km",Petrol
BMW 218 Active Tourer 218i Active Tourer,"CHF 11,499",12.2015,"83,000 km",Petrol
Iveco 35 35 S 18H A8,"CHF 84,900",05.2024,600 km,Diesel
BMW X3 X3 xDrive 20d Steptronic,"CHF 16,900",09.2014,"188,000 km",Diesel
Peugeot 208 208 1.2 PureTech GT Line EAT8,"CHF 16,880",11.2019,"75,000 km",Petrol
Subaru Legacy Legacy 3.0R AWD spec.B,"CHF 7,500",02.2006,"151,000 km",Petrol
Hyundai i20 i20 1.4 Style Automatic,"CHF 5,999",07.2012,"131,000 km",Petrol
Mercedes-Benz E 220 E 220d Swiss Star Avantgarde 4Matic 9G-Tronic,"CHF 36,800",03.2020,"59,000 km",Diesel
Opel Grandland X Grandland X 1.6CDTi Ultimate Automatik,"CHF 12,999",04.2018,"81,500 km",Diesel
Audi RS6 RS6 Avant 4.0 TFSI V8 performance quattro,"CHF 83,200",01.2016,"120,000 km",Petrol
Renault Trafic Trafic 1.6 dCi 120 2.9t Business L1H1,"CHF 12,900",09.2019,"171,000 km",Diesel
Ds Automobiles DS3 DS 3 Cabrio 1.6 THP Faubourg Addict,"CHF 7,980",06.2016,"76,000 km",Petrol
KIA cee'd Cee'd 1.6 GDi Turbo GT,"CHF 10,900",12.2014,"131,000 km",Petrol
Renault Grand Scénic Grand Scénic 1.3 16V Turbo Executive EDC,"CHF 32,900",05.2023,"11,300 km",Petrol
Mercedes-Benz GLC 350 GLC 350 d AMG Line 4Matic 9G-Tronic,"CHF 24,890",11.2017,"156,222 km",Diesel
Skoda Octavia Octavia Combi 2.0 TSI RS,"CHF 14,200",07.2014,"143,000 km",Petrol
VW Tiguan Tiguan 1.4TSI ACT Trendline 4Motion DSG,"CHF 24,880",10.2018,"25,000 km",Petrol
Skoda Roomster Roomster 1.2 TSI Noire,"CHF 5,850",12.2014,"136,000 km",Petrol
Audi A4 A4 Avant 35 TDI Attraction S-tronic,"CHF 27,400",06.2021,"31,000 km",Diesel
Volvo V90 V90 D5 AWD Inscription Geartronic Powerpulse,"CHF 19,990",12.2017,"154,000 km",Diesel
Audi Q3 Q3 1.4 TFSI sport S-tronic,"CHF 17,990",01.2017,"103,000 km",Petrol
Mini Clubman Clubman Cooper SD ALL4 Steptronic,"CHF 14,900",10.2016,"153,000 km",Diesel
Audi Q3 Q3 40 TFSI advanced quattro S-tronic,"CHF 27,880",07.2019,"82,000 km",Petrol
KIA Niro Niro 1.6GDi Plug-in Hybrid DCT,"CHF 16,800",12.2019,"127,000 km",Petrol/Electric
Ford Focus Focus 1.6i 16V Vita,"CHF 3,000",04.2002,Manual,1227 (GE)
Volvo V50 V50 D5 Summum Geartronic,"CHF 1,000",12.2009,"275,000 km",Diesel
Volvo XC70 XC70 2.4D AWD Summum Geartronic,"CHF 9,800",08.2010,"207,500 km",Diesel
Peugeot 207 207 SW 1.6 16V Trendy Clim,CHF 600,01.2010,"240,000 km",Petrol
Land Rover Defender Defender 90 SW 2.4Tdc,"CHF 17,500",04.2008,"211,000 km",Diesel
ISUZU KB KB 41 4x4,"CHF 1,660",03.1984,"57,000 km",Petrol
Jeep Grand Cherokee Gr.Cherokee 3.0 CRD Overland Automatic,"CHF 5,900",06.2010,"224,000 km",Diesel
Dacia Sandero Sandero 1.2,"CHF 1,000",07.2010,"211,000 km",Petrol
KIA Picanto PICANTO,"CHF 3,000",12.2006,"108,000 km",2525 (BE)
Land Rover Discovery Sport Discovery Sport 2.0 TD4 HSE Luxury,"CHF 6,500",11.2016,"209,000 km",Diesel
Hyundai i20 i20 1.2 Comfort,"CHF 1,300",06.2009,"207,000 km",Petrol
VW  GOLF,"CHF 10,900",03.2008,"213,000 km",Petrol
Mercedes-Benz Vito Vito 112CDI,"CHF 1,100",03.2002,"262,000 km",Diesel
Volvo V70 V70 2.4T,"CHF 1,100",05.2001,"264,000 km",Petrol
Peugeot 207 207 1.6 16V XT,"CHF 1,399",10.2007,"118,700 km",Petrol
Citroen C3 Picasso C3 Picasso 1.6 HDi Swiss Style EGS6,"CHF 7,800",12.2012,"144,000 km",Diesel
Toyota Yaris Yaris 1.3 Linea Luna,"CHF 2,500",10.2008,"179,000 km",Petrol
Mercedes-Benz A 170 A 170,"CHF 5,700",01.2011,"168,034 km",Diesel
Hyundai Getz GETZ,"CHF 3,200",08.2008,"110,613 km",Petrol
Skoda Octavia OCTAVIA,"CHF 1,300",07.2006,"550,000 km",Diesel
Audi A4 A4 Avant 2.0 TDI quattro,"CHF 3,990",07.2009,"263,000 km",Diesel
Ford KA KA 1.25 Ambiente,"CHF 1,500",08.2009,"165,700 km",Petrol
Dacia Duster Duster 1.6 Ambiance 4x4,"CHF 4,700",05.2015,"180,000 km",Petrol
Toyota Hi-lux Hilux RZN 173 XtraCab SR5,"CHF 9,942",05.1998,"301,000 km",Petrol
VW Passat Passat Variant 2.0 TDI Highline 4Motion DSG,"CHF 1,900",07.2010,"345,000 km",Diesel
Mercedes-Benz C 320 C 320 cdi avant-garde,"CHF 8,900",05.2009,"155,000 km",1033 (VD)
BMW X3 X3 xDrive 30d xLine Steptronic,"CHF 38,900",06.2020,"95,000 km",Diesel
BMW X1 X1 xDrive 25e M Sport Steptronic,"CHF 35,500",10.2021,"27,200 km",Petrol
Audi RS6 RS6 Avant 4.0 TFSI V8 performance quattro,"CHF 49,000",07.2015,"150,000 km",Petrol
Audi A7 A7 Sportback 3.0 TFSI quattro S-tronic,"CHF 13,900",07.2012,"200,000 km",Petrol
VW Polo Polo 1.2 6V Trendline,"CHF 2,900",11.2010,"162,000 km",Petrol
Ford S-Max S-Max 2.0i Ambiente,"CHF 1,300",08.2009,"197,000 km",Petrol
Mercedes-Benz Vito Vito 111 CDI L 4x4,"CHF 4,300",05.2009,"251,000 km",Diesel
Jaguar XF XF 2.7d V6 Luxury,"CHF 4,500",10.2008,"140,000 km",Diesel
Mini Cooper One Cabriolet,"CHF 1,330",10.2004,"212,000 km",Petrol
VW Golf Golf 1.4 TSI Trendline,"CHF 5,900",10.2009,"146,093 km",Petrol
Ford Focus Focus 1.0 SCTi Trend,"CHF 3,598",10.2012,"164,000 km",Petrol
Fiat Tipo Tipo 1.6MJ Station Wagon Pop Star DCT,"CHF 7,999",12.2016,"104,211 km",Diesel
Land Rover Range Rover Evoque Range Rover Evoque 2.0 TD4 HSE Dynamic AT9,"CHF 16,900",06.2017,"149,000 km",Diesel
Peugeot 5008 5008 1.2 Pure Tech Allure EAT8,"CHF 19,500",01.2019,"103,000 km",Petrol
KIA Picanto Picanto 1.0 _seven,"CHF 1,350",04.2011,"119,000 km",Petrol
Mini Cooper One,"CHF 4,500",10.2007,"92,000 km",Petrol
Audi A3 A3 1.9 TDI Start,"CHF 6,500",04.2009,"182,300 km",Diesel
Audi RS5 RS5 Coupé 4.2 FSI quattro S-tronic,"CHF 21,500",08.2011,"104,500 km",Petrol
VW Golf Golf 1.4 TSI GT,"CHF 1,890",06.2006,"243,200 km",Petrol
Audi A4 A4 Avant 1.8 TFSI quattro,"CHF 4,500",12.2012,"214,000 km",Petrol
Land Rover Discovery Discovery 3.0 TDV6 HSE Automatic,"CHF 2,900",10.2009,"221,000 km",Diesel
VW Amarok GEOCAR Condor plus 4x4 inkl. Differentialsperre,"CHF 89,900",05.2020,"58,000 km",Diesel
Toyota Proace Proace 2.0D Glass Van L1 Luna,"CHF 14,999",01.2017,"134,000 km",Diesel
Mercedes-Benz C 220 C 220 CDI Avantgarde 4Matic 7G-Tronic,"CHF 14,900",05.2014,"109,000 km",Diesel
Toyota RAV-4 RAV-4 2.0 16V Linea Sol,"CHF 5,000",10.2006,"271,000 km",Petrol
VW Touareg Touareg 3.0 TDI BlueMotion Technology Tiptronic,"CHF 9,980",08.2012,"235,000 km",Diesel
Mini Countryman Countryman Cooper D FWD Steptronic,"CHF 5,799",04.2012,"225,000 km",Diesel
Honda CR-Z CR-Z 1.5i Hybrid GT Plus,"CHF 3,900",07.2012,"102,000 km",Petrol/Electric
Peugeot 308 308 SW 1.2 THP Allure,"CHF 7,700",10.2015,"131,200 km",Petrol
Opel Meriva Meriva 1.8i 16V Enjoy,"CHF 4,200",03.2008,"73,000 km",Petrol
Citroen Berlingo Berlingo 1.2i PureTech Feel EAT8,"CHF 13,700",01.2020,"211,800 km",Petrol
Renault Kangoo Kangoo 1.5 dCi,CHF 900,03.2007,"201,000 km",Diesel
Infiniti FX FX30d S Premium AWD Automatic,"CHF 3,990",11.2011,"438,000 km",Diesel
Mercedes-Benz C 220 C 220 d Swiss Star AMG Line 4M 9G-Tronic,"CHF 27,800",07.2018,"98,700 km",Diesel
Peugeot 308 308 SW 1.5 BlueHDI Active Pack EAT8,"CHF 12,500",05.2021,"44,000 km",Diesel
Honda CR-V CR-V 2.0i MMD Hybrid Sport Line 4WD Automatic,"CHF 27,499",11.2021,"57,900 km",Petrol/Electric
Ford Streetka Streetka 1.6,"CHF 2,200",02.2005,"55,700 km",Petrol
Renault Clio Clio 1.4-16 RXE A,"CHF 2,900",04.2004,"220,000 km",Petrol
Mercedes-Benz GLA 250 GLA 250 AMG Line 4Matic 7G-DCT,"CHF 31,900",03.2019,"28,500 km",Petrol
Mercedes-Benz GLC 220 GLC Coupé 220 d AMG Line 4Matic 9G-Tronic,"CHF 54,900",06.2021,"48,400 km",Diesel
Mercedes-Benz GLA 250 GLA 250 Urban 4Matic 7G-DCT,"CHF 29,900",12.2018,"58,000 km",Petrol
Toyota Auris Auris 1.6 Linea Luna,"CHF 2,700",01.2008,"257,980 km",Petrol
Dacia Duster Duster 1.2 T Lauréate 4x4,"CHF 9,900",01.2018,"133,000 km",Petrol
Peugeot 207 207 SW 1.4 16V Active,"CHF 2,900",04.2011,"209,000 km",Petrol
Audi A3 A3 2.0 FSI Ambition,"CHF 7,500",11.2005,"139,800 km",Petrol
Peugeot 208 208 1.2 PureTech GT Line,"CHF 7,700",02.2016,"115,000 km",Petrol
Mercedes-Benz GLB 250 GLB 250 4Matic AMG Line 8G-Tronic,"CHF 17,800",05.2020,"200,000 km",Petrol
Ford Focus Focus 1.8i Carving,"CHF 2,300",02.2007,"164,750 km",Petrol
Mercedes-Benz V 250 V 250 d lang Avantgarde 4Matic G-Tronic,"CHF 59,999",04.2021,"36,000 km",Diesel
Seat Exeo Exeo ST 2.0 TSI Advantage,"CHF 5,800",07.2013,"167,900 km",Petrol
Ford Kuga Kuga 2.5 FHEV ST-Line X 4WD,"CHF 36,800",01.2024,"17,200 km",Petrol/Electric
Alfa Romeo Giulietta Giulietta 1.4 Turbo Sprint,"CHF 16,999",03.2021,"75,000 km",Petrol
Mitsubishi ASX ASX 2.2 DID Style 4WD Automatic,"CHF 15,500",02.2017,"88,100 km",Diesel
VW ID.7 ID.7 Tourer Pro 77 kWh Pro,"CHF 67,500",10.2024,"1,000 km",Electric
Mitsubishi Outlander Outlander 2.4 PHEV Diamond 4WD Automatic,"CHF 25,999",05.2019,"54,900 km",Petrol/Electric
Hyundai Kona Kona 2.0 T-GDi N DCT,"CHF 32,950",05.2022,"25,950 km",Petrol
Mitsubishi Outlander Outlander 2.4 PHEV Diamond 4WD Automatic,"CHF 29,999",12.2020,"49,500 km",Petrol/Electric
Mitsubishi ASX ASX 1.6 PHEV Intense,"CHF 36,999",02.2024,"4,000 km",Petrol/Electric
