Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Name,Total_Score
w,JPN,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,6.0,5.9,7.833,0.0,13.73,Urara ASHIKAWA,13.733
w,JPN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,85.0,3.9,6.333,0.0,0.0,Urara ASHIKAWA,10.233
w,JPN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,88.0,0.5,9.033,6.5,0.0,Urara ASHIKAWA,3.0329999999999995
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,45.0,5.0,7.666,0.0,12.666,Laura BECHDEJU,12.666
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,45.0,5.0,7.666,0.0,12.666,Laura BECHDEJU,12.666
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,62.0,4.8,7.5,0.0,12.3,Laura BECHDEJU,12.3
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,62.0,4.8,7.5,0.0,12.3,Laura BECHDEJU,12.3
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,56.0,5.3,7.4,0.0,12.7,Laura BECHDEJU,12.7
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,56.0,5.3,7.4,0.0,12.7,Laura BECHDEJU,12.7
w,ESP,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,52.0,4.6,8.933,0.0,13.533,Laura BECHDEJU,13.533
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,7.0,6.5,7.566,0.0,14.066,Simone BILES,14.065999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,7.0,6.5,7.566,0.0,14.066,Simone BILES,14.065999999999999
w,USA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,3.0,6.1,7.9,0.0,14.0,Simone BILES,14.0
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,2.0,6.7,7.733,0.3,14.133,Simone BILES,14.133
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,2.0,6.7,7.733,0.3,14.133,Simone BILES,14.133
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,10.0,6.2,8.366,0.0,14.566,Simone BILES,14.565999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,10.0,6.2,8.366,0.0,14.566,Simone BILES,14.565999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,4.0,6.0,9.266,0.3,14.966,Simone BILES,14.966
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,1.0,6.0,9.266,0.3,14.966,Simone BILES,14.966
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,1.0,5.8,9.6,0.3,15.4,Simone BILES,15.099999999999998
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,6.0,6.3,7.8,0.0,14.1,Elsabeth BLACK,14.1
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,6.0,6.3,7.8,0.0,14.1,Elsabeth BLACK,14.1
w,CAN,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,4.0,6.2,7.666,0.0,13.86,Elsabeth BLACK,13.866
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,63.0,5.3,6.966,0.0,12.266,Elsabeth BLACK,12.266
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,63.0,5.3,6.966,0.0,12.266,Elsabeth BLACK,12.266
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,54.0,5.7,7.1,0.0,12.8,Elsabeth BLACK,12.8
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,54.0,5.7,7.1,0.0,12.8,Elsabeth BLACK,12.8
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,13.0,5.4,9.133,0.0,14.533,Elsabeth BLACK,14.533
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,12.0,5.4,9.133,0.0,14.533,Elsabeth BLACK,14.533
w,CAN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,12.0,5.2,9.1,0.0,14.3,Elsabeth BLACK,14.3
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,22.0,5.8,7.666,0.0,13.466,Marine BOYER,13.466000000000001
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,22.0,5.8,7.666,0.0,13.466,Marine BOYER,13.466000000000001
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,44.0,5.1,7.733,0.1,12.733,Marine BOYER,12.732999999999999
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,44.0,5.1,7.733,0.1,12.733,Marine BOYER,12.732999999999999
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,84.0,4.3,6.1,0.0,10.4,Marine BOYER,10.399999999999999
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,84.0,4.3,6.1,0.0,10.4,Marine BOYER,10.399999999999999
w,FRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,46.0,4.6,9.133,0.0,13.733,Marine BOYER,13.732999999999999
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,33.0,4.9,8.133,0.0,13.033,Maellyse BRASSART,13.033
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,33.0,4.9,8.133,0.0,13.033,Maellyse BRASSART,13.033
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,39.0,4.6,8.166,0.0,12.766,Maellyse BRASSART,12.766
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,39.0,4.6,8.166,0.0,12.766,Maellyse BRASSART,12.766
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,36.0,5.3,8.066,0.0,13.366,Maellyse BRASSART,13.366
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,36.0,5.3,8.066,0.0,13.366,Maellyse BRASSART,13.366
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,45.0,5.4,8.466,0.1,13.766,Maellyse BRASSART,13.766
w,GER,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,13.0,4.8,7.8,0.0,12.6,Kim BUI,12.6
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,44.0,4.8,7.866,0.0,12.666,Kim BUI,12.666
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,44.0,4.8,7.866,0.0,12.666,Kim BUI,12.666
w,GER,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,13.0,5.3,7.866,0.0,13.166,Kim BUI,13.166
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,24.0,5.3,7.9,0.0,13.2,Kim BUI,13.2
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,24.0,5.3,7.9,0.0,13.2,Kim BUI,13.2
w,GER,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,11.0,5.7,8.066,0.0,13.766,Kim BUI,13.766000000000002
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,24.0,5.9,8.166,0.0,14.066,Kim BUI,14.066
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,24.0,5.9,8.166,0.0,14.066,Kim BUI,14.066
w,GER,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",VT,21.0,4.6,8.866,0.0,13.466,Kim BUI,13.466
w,GER,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,54.0,4.6,8.866,0.0,13.466,Kim BUI,13.466
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,32.0,5.2,7.866,0.0,13.066,Mc Grace CALLUM,13.065999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,16.0,5.6,7.966,0.1,13.466,Mc Grace CALLUM,13.466
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,22.0,5.8,8.3,0.0,14.1,Mc Grace CALLUM,14.100000000000001
w,USA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,23.0,5.1,6.433,0.0,11.533,Jade CAREY,11.533
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,41.0,5.4,7.466,0.0,12.866,Jade CAREY,12.866
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,41.0,5.4,7.466,0.0,12.866,Jade CAREY,12.866
w,USA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,3.0,6.3,7.766,0.1,13.966,Jade CAREY,13.966
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,3.0,6.2,7.9,0.0,14.1,Jade CAREY,14.100000000000001
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,3.0,6.2,7.9,0.3,14.1,Jade CAREY,13.8
w,USA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,1.0,6.3,8.066,0.0,14.36,Jade CAREY,14.366
w,USA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,15.0,5.5,8.0,0.0,13.5,Jade CAREY,13.5
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,20.0,5.8,8.333,0.0,14.133,Jade CAREY,14.133
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,20.0,5.8,8.333,0.0,14.133,Jade CAREY,14.133
w,USA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",VT,2.0,6.0,9.2,0.0,15.2,Jade CAREY,15.2
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,2.0,6.0,9.166,0.0,15.166,Jade CAREY,15.166
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,2.0,6.0,9.166,0.0,15.166,Jade CAREY,15.166
w,USA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT1,8.0,3.3,8.633,0.0,11.933,Jade CAREY,11.933
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,2.0,5.8,9.366,0.0,15.166,Jade CAREY,15.166
w,USA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT2,8.0,5.8,9.1,2.0,12.9,Jade CAREY,12.899999999999999
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,79.0,4.7,6.733,0.0,11.433,Simona CASTRO,11.433
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,79.0,4.7,6.733,0.0,11.433,Simona CASTRO,11.433
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,85.0,3.9,6.333,0.0,10.233,Simona CASTRO,10.233
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,85.0,3.9,6.333,0.0,10.2,Simona CASTRO,10.233
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,78.0,4.4,7.133,0.0,11.533,Simona CASTRO,11.533000000000001
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,78.0,4.4,7.133,0.0,11.533,Simona CASTRO,11.533000000000001
w,CHI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,69.0,4.6,8.6,0.0,13.2,Simona CASTRO,13.2
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,78.0,5.6,5.966,0.0,11.566,Jordan CHILES,11.565999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,78.0,5.6,5.966,0.0,11.566,Jordan CHILES,11.565999999999999
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,13.0,5.9,7.666,0.0,13.566,Jordan CHILES,13.566
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,13.0,5.9,7.666,0.0,13.566,Jordan CHILES,13.566
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,52.0,5.7,7.166,0.0,12.866,Jordan CHILES,12.866
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,52.0,5.7,7.166,0.0,12.866,Jordan CHILES,12.866
w,USA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,11.0,5.4,9.3,0.0,14.7,Jordan CHILES,14.700000000000001
w,UZB,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,14.0,5.8,8.8,0.1,14.5,Oksana CHUSOVITINA,14.500000000000002
w,UZB,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,14.0,5.2,8.733,0.1,13.833,Oksana CHUSOVITINA,13.833
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,48.0,5.3,7.3,0.0,12.6,Alice D AMATO,12.6
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,28.0,5.0,8.033,0.0,13.033,Alice D AMATO,13.033
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,18.0,5.9,8.333,0.0,14.233,Alice D AMATO,14.233
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,29.0,5.3,7.833,0.0,13.133,Asia D AMATO,13.133
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,76.0,5.1,7.033,0.3,11.833,Asia D AMATO,11.832999999999998
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,26.0,5.7,8.233,0.0,13.933,Asia D AMATO,13.933
w,ITA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,22.0,5.3,6.333,0.0,11.633,Alice D'AMATO,11.633
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,48.0,5.3,7.3,0.0,12.6,Alice D'AMATO,12.6
w,ITA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,17.0,5.0,7.966,0.0,12.966,Alice D'AMATO,12.966000000000001
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,28.0,5.0,8.033,0.0,13.033,Alice D'AMATO,13.033
w,ITA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,19.0,5.9,7.1,0.0,13.0,Alice D'AMATO,13.0
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,18.0,5.9,8.333,0.0,14.233,Alice D'AMATO,14.233
w,ITA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",VT,14.0,5.4,8.9,0.0,14.3,Alice D'AMATO,14.3
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,24.0,5.4,8.933,0.0,14.333,Alice D'AMATO,14.333
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,29.0,5.3,7.833,0.0,13.133,Asia D'AMATO,13.133
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,76.0,5.1,7.033,0.3,11.833,Asia D'AMATO,11.832999999999998
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,26.0,5.7,8.233,0.0,13.933,Asia D'AMATO,13.933
w,ITA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,32.0,5.4,8.833,0.0,14.233,Asia D'AMATO,14.233
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,90.0,4.8,4.133,0.0,8.933,Naveen DARIES,8.933
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,90.0,4.8,4.133,0.0,8.9,Naveen DARIES,8.933
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,77.0,4.5,7.566,0.3,11.766,Naveen DARIES,11.765999999999998
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,77.0,4.5,7.566,0.3,11.766,Naveen DARIES,11.765999999999998
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,62.0,5.0,7.366,0.0,12.366,Naveen DARIES,12.366
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,62.0,5.0,7.366,0.0,12.366,Naveen DARIES,12.366
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,66.0,4.6,8.7,0.0,13.3,Naveen DARIES,13.299999999999999
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,18.0,4.6,8.7,0.0,13.3,Naveen DARIES,13.299999999999999
w,RSA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,18.0,4.0,8.666,0.0,12.666,Naveen DARIES,12.666
w,CRO,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,74.0,4.7,6.933,0.0,11.633,Ana DEREK,11.633
w,CRO,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,58.0,4.7,7.733,0.0,12.433,Ana DEREK,12.433
w,BEL,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,6.0,5.4,7.966,0.0,13.366,Nina DERWAEL,13.366
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,15.0,5.4,8.366,0.0,13.766,Nina DERWAEL,13.766
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,15.0,5.4,8.366,0.0,13.766,Nina DERWAEL,13.766
w,BEL,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,9.0,5.0,8.433,0.0,13.433,Nina DERWAEL,13.433
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,12.0,5.0,8.566,0.0,13.566,Nina DERWAEL,13.566
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,12.0,5.0,8.566,0.0,13.566,Nina DERWAEL,13.566
w,BEL,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,2.0,6.7,8.566,0.0,15.266,Nina DERWAEL,15.266000000000002
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,1.0,6.7,8.666,0.0,15.366,Nina DERWAEL,15.366
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,1.0,6.7,8.666,0.0,15.366,Nina DERWAEL,15.366
w,BEL,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,1.0,6.7,8.5,0.0,15.2,Nina DERWAEL,15.2
w,BEL,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",VT,19.0,5.0,9.0,0.1,13.9,Nina DERWAEL,13.9
w,BEL,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,42.0,5.0,8.9,0.0,13.9,Nina DERWAEL,13.9
w,SRI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,80.0,5.1,6.166,0.0,11.266,BADALG.D. ELPITIYA,11.266
w,SRI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,84.0,4.5,5.8,0.0,10.3,BADALG.D. ELPITIYA,10.3
w,SRI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,82.0,4.8,6.066,0.0,10.866,BADALG.D. ELPITIYA,10.866
w,SRI,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,64.0,4.8,8.566,0.0,13.366,BADALG.D. ELPITIYA,13.366
