Name,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,4.0,5.3,8.166,0.0,13.466
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",HB,90.0,5.3,6.833,0.0,12.133
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,8.0,5.3,8.7,0.0,14.0
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PB,40.0,5.3,8.2,0.0,13.5
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,1.0,5.7,8.4,0.0,14.1
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,final,"Antalya, Turkey",PH,6.0,5.7,8.466,0.0,14.166
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PH,6.0,5.7,8.566,0.0,14.266
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",SR,26.0,4.7,8.8,0.0,13.5
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,10.0,4.7,8.566,0.0,13.266
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,18.0,4.8,8.866,0.1,13.566
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",VT,64.0,4.8,8.933,0.0,13.733
Yumin ABBADINI,ITA,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",FX,11.0,5.5,8.033,0.0,13.533
Yumin ABBADINI,ITA,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",HB,10.0,5.3,8.233,0.0,13.533
Yumin ABBADINI,ITA,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PH,15.0,6.4,7.033,0.0,13.433
Abdelrahman ABDELHALEEM,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",PH,9.0,5.6,8.5,0.0,14.1
Abdelrahman ABDELHALEEM,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PH,21.0,5.8,7.266,0.0,13.066
Ahmed ABDELRAHMAN,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",FX,33.0,5.1,7.266,0.3,12.066
Ahmed ABDELRAHMAN,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",FX,38.0,5.2,6.333,0.0,0.4
Ahmed ABDELRAHMAN,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PB,12.0,5.2,8.266,0.0,13.466
Ahmed ABDELRAHMAN,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PH,36.0,4.7,7.366,0.0,12.066
Ahmed ABDELRAHMAN,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",VT,17.0,5.6,7.833,0.0,13.433
Ahmed ABDELRAHMAN,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",VT,17.0,5.2,7.9,0.0,13.1
Ally Hamuda ABDULLAH,MAS,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",SR,46.0,4.8,5.133,0.0,9.933
Rasuljon ABDURAKHIMOV,UZB,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",HB,8.0,4.3,8.0,0.0,12.3
Rasuljon ABDURAKHIMOV,UZB,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",HB,5.0,4.6,8.75,0.0,13.35
Rasuljon ABDURAKHIMOV,UZB,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",PB,1.0,5.5,8.733,0.0,14.23
Rasuljon ABDURAKHIMOV,UZB,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",PB,1.0,5.5,9.0,0.0,14.5
Rasuljon ABDURAKHIMOV,UZB,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",SR,16.0,4.1,8.4,0.0,12.5
Rasuljon ABDURAKHIMOV,UZB,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",HB,27.0,4.5,8.033,0.0,12.533
Rasuljon ABDURAKHIMOV,UZB,2009-03-12 20:23:00,World Cup,final,"Baku, Azerbaijan",PB,7.0,5.9,8.366,0.0,14.266
Rasuljon ABDURAKHIMOV,UZB,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PB,8.0,5.9,8.366,0.0,14.266
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,104.0,5.3,6.3,0.0,11.6
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,101.0,3.8,7.266,0.0,11.066
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,56.0,6.0,7.166,0.0,13.166
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,89.0,3.8,7.7,0.0,11.5
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,55.0,4.7,8.333,0.0,13.033
Saba ABESADZE,GEO,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",VT,96.0,5.2,7.966,0.3,12.866
Saba ABESADZE,GEO,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PB,99.0,4.5,7.566,0.0,12.066
Saba ABESADZE,GEO,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,28.0,5.3,7.733,0.0,13.033
Saba ABESADZE,GEO,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PB,23.0,5.0,7.7,0.0,12.7
Saba ABESADZE,GEO,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,33.0,4.7,8.3,0.0,13.0
Saba ABESADZE,GEO,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",FX,27.0,4.9,7.866,0.0,12.766
Saba ABESADZE,GEO,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",FX,33.0,5.2,6.533,0.0,11.733
Saba ABESADZE,GEO,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PB,21.0,5.2,7.7,0.0,12.9
Saba ABESADZE,GEO,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",PB,18.0,5.7,7.166,0.0,12.866
Saba ABESADZE,GEO,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",PH,35.0,4.5,7.766,0.0,12.266
Ahmad ABU AL SOUD,JOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",PH,8.0,5.5,6.3,0.0,11.8
Ahmad ABU AL SOUD,JOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,6.0,5.9,8.7,0.0,14.6
Ahmad ABU AL SOUD,JOR,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PH,26.0,5.1,7.7,0.0,12.8
Ahmad ABU AL SOUD,JOR,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",PH,16.0,5.6,8.066,0.0,13.666
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",FX,14.0,4.3,8.2,0.0,12.5
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,19.0,4.3,8.0,0.0,12.3
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",HB,10.0,4.2,7.95,0.0,12.15
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",HB,7.0,4.2,7.65,0.0,11.85
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",HB,8.0,4.2,8.0,0.0,12.2
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",PB,9.0,4.5,8.4,0.0,12.9
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",PB,10.0,4.5,8.5,0.0,13.0
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",PH,9.0,4.1,7.7,0.0,11.8
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",PH,14.0,4.1,7.6,0.0,11.7
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",SR,10.0,4.0,7.8,0.0,11.8
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",SR,20.0,4.0,7.7,0.0,11.7
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",VT,14.0,4.0,9.0,0.0,13.0
Francisco ACUNA,CRC,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,22.0,4.0,8.9,0.0,12.9
Mohamed AFIFY,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",HB,35.0,4.2,7.266,0.0,11.466
Mohamed AFIFY,EGY,2009-03-12 20:23:00,World Cup,final,"Baku, Azerbaijan",PB,4.0,6.0,8.533,0.0,14.533
Mohamed AFIFY,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",PB,7.0,6.0,8.433,0.0,14.433
Mohamed AFIFY,EGY,2027-04-30 20:23:00,World Cup,final,"Cairo, Egypt",PB,2.0,6.0,8.066,0.0,14.066
Mohamed AFIFY,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",PB,3.0,6.0,8.033,0.0,14.033
Mohamed AFIFY,EGY,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",PB,15.0,5.8,7.333,0.0,13.133
Mohamed AFIFY,EGY,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",PH,24.0,5.3,7.4,0.0,12.7
Mohamed AFIFY,EGY,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",PH,34.0,5.3,7.0,0.0,12.3
Mohamed AFIFY,EGY,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",SR,26.0,4.9,7.9,0.0,12.8
Mahdi AHMAD KOHANI,IRI,2001-08-05 20:23:00,2023 FISU World University Games,final,"Chengdu, China",SR,8.0,6.0,7.766,0.0,13.76
Mahdi AHMAD KOHANI,IRI,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",SR,6.0,6.0,8.6,0.0,14.6
Mahdi AHMAD KOHANI,IRI,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",SR,2.0,6.0,8.766,0.0,14.766
Mahdi AHMAD KOHANI,IRI,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",SR,2.0,6.0,8.666,0.0,14.666
Mahdi AHMAD KOHANI,IRI,2001-03-04 20:23:00,World Cup,final,"Doha, Qatar",SR,6.0,6.0,8.6,0.0,14.6
Mahdi AHMAD KOHANI,IRI,2001-03-04 20:23:00,World Cup,qual,"Doha, Qatar",SR,5.0,6.0,8.666,0.0,14.666
Mahdi AHMAD KOHANI,IRI,2009-03-12 20:23:00,World Cup,final,"Baku, Azerbaijan",SR,2.0,6.0,8.5,0.0,14.5
Mahdi AHMAD KOHANI,IRI,2009-03-12 20:23:00,World Cup,qual,"Baku, Azerbaijan",SR,2.0,6.0,8.5,0.0,14.5
Muhammad Sharul AIMY,MAS,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,38.0,4.7,8.133,0.0,12.833
Muhammad Sharul AIMY,MAS,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,18.0,5.2,8.9,0.0,14.1
Muhammad Sharul AIMY,MAS,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,18.0,5.2,8.2,0.0,13.4
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",FX,3.0,5.8,8.0,0.0,13.8
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",FX,8.0,5.7,7.3,0.0,13.0
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",HB,16.0,4.8,7.65,0.0,12.45
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",PB,17.0,4.8,7.6,0.0,12.4
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",PH,21.0,4.5,6.5,0.0,11.0
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT,5.0,5.2,7.933,0.1,13.033
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,4.0,5.2,9.1,0.1,14.2
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT,5.0,5.2,8.966,0.0,14.166
Emil AKHMEJANOV,KAZ,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,4.0,5.2,8.95,0.0,14.15
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,102.0,5.1,6.733,0.2,11.633
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,17.0,5.2,8.433,0.0,13.633
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,87.0,5.5,6.7,0.0,12.2
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,79.0,4.6,7.3,0.0,11.9
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,44.0,4.8,8.366,0.0,13.166
Yordan ALEKSANDROV,BUL,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",VT,59.0,4.8,9.033,0.0,13.833
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",FX,61.0,4.9,8.166,0.0,13.066
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",HB,46.0,5.1,7.766,0.0,12.866
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PB,24.0,5.7,8.133,0.0,13.833
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PH,126.0,4.5,5.966,0.0,10.466
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",SR,91.0,4.6,8.033,0.0,12.633
Yordan ALEKSANDROV,BUL,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",VT,71.0,4.8,8.9,0.0,13.7
Yordan ALEKSANDROV,BUL,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",HB,2.0,5.3,8.433,0.0,13.733
Yordan ALEKSANDROV,BUL,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",HB,1.0,5.3,8.45,0.0,13.75
Yordan ALEKSANDROV,BUL,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",PB,2.0,5.7,8.533,0.0,14.23
Yordan ALEKSANDROV,BUL,2025-05-28 20:23:00,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",PB,3.0,5.7,8.7,0.0,14.4
Ahmed Riadh ALIOUAT,ALG,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",HB,18.0,4.6,8.233,0.0,12.833
Ahmed Riadh ALIOUAT,ALG,2027-04-30 20:23:00,World Cup,qual,"Cairo, Egypt",PB,11.0,4.9,8.433,0.0,13.333
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,51.0,5.1,8.333,0.3,13.133
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,57.0,3.9,8.766,0.0,12.666
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,106.0,3.3,6.933,0.0,10.233
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,100.0,3.5,7.366,0.0,10.866
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,109.0,3.2,6.333,0.3,9.233
Filipe ALMEIDA,POR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",VT,87.0,5.2,7.966,0.1,13.066
Joar AMBLIE,NOR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,82.0,3.7,8.8,0.0,12.5
Joar AMBLIE,NOR,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,66.0,4.3,8.566,0.0,12.866
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,77.0,4.8,7.866,0.0,12.666
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,39.0,4.8,8.433,0.0,13.233
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,36.0,5.1,8.566,0.0,13.666
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,73.0,3.9,8.1,0.0,12.0
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,95.0,4.0,8.166,0.0,12.166
Georgios ANGONAS,CYP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",VT,81.0,4.8,8.7,0.3,13.2
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",FX,71.0,4.5,7.466,0.4,11.566
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",HB,35.0,5.1,8.0,0.0,13.1
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",PB,26.0,4.8,8.633,0.0,13.433
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",PH,38.0,4.3,8.266,0.0,12.566
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",SR,43.0,4.2,8.533,0.0,12.733
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",VT,31.0,4.8,9.033,0.0,13.83
Georgios ANGONAS,CYP,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",VT,10.0,4.8,8.9,0.0,13.7
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",FX,95.0,4.4,8.066,0.0,12.466
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",HB,70.0,4.8,7.633,0.0,12.433
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PB,64.0,4.8,8.166,0.0,12.966
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PH,120.0,3.4,7.266,0.0,10.666
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",SR,88.0,4.2,8.466,0.0,12.666
Georgios ANGONAS,CYP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",VT,37.0,4.8,9.233,0.0,14.033
Yefferson ANTON,VEN,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,11.0,5.1,7.7,0.0,12.8
Yefferson ANTON,VEN,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",HB,26.0,4.2,6.6,0.0,10.8
Yefferson ANTON,VEN,2024-06-28 20:23:00,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",PB,22.0,4.4,7.8,0.0,12.2
