Date,Competition,Round,VT,UB,BB,FX,AA,Name
2022-04-09,City of Jesolo Trophy,AA,13.867,11.933,13.633,13.067,52.5,Tiana Sumanasekera
2022-03-31,March National Team Camp,AA,12.5,11.4,13.75,13.4,51.05,Tiana Sumanasekera
2022-03-18,DTB Pokal Team Challenge,EF,13.683,0.0,13.166,0.0,0.0,Tiana Sumanasekera
2022-03-18,DTB Pokal Team Challenge,AA,14.1,0.0,12.766,12.566,0.0,Tiana Sumanasekera
2022-02-24,Winter Cup,AA,13.7,9.5,13.85,13.35,50.4,Tiana Sumanasekera
2023-08-24,U.S. Championships,AA,14.2,11.55,13.85,13.15,52.75,Tiana Sumanasekera
2023-08-24,U.S. Championships,QF,14.1,12.8,13.3,12.95,53.15,Tiana Sumanasekera
2023-08-04,U.S. Classic,AA,14.15,11.55,13.5,12.9,52.1,Tiana Sumanasekera
2023-07-09,July National Team Camp,AA,14.0,12.45,13.6,13.2,53.25,Tiana Sumanasekera
2023-05-26,Pan American Championships,TF,14.233,0.0,13.967,13.7,0.0,Tiana Sumanasekera
2023-05-26,Pan American Championships,AA,13.933,12.633,13.737,13.567,53.9,Tiana Sumanasekera
2023-04-30,Pan American Trials,AA,14.25,12.9,13.45,13.1,53.7,Tiana Sumanasekera
2023-02-23,Winter Cup,AA,0.0,12.9,12.6,0.0,0.0,Tiana Sumanasekera
2021-10-18,World Championships,EF,0.0,0.0,13.333,13.833,0.0,Leanne Wong
2021-10-18,World Championships,AA,14.341,14.066,13.9,14.033,56.34,Leanne Wong
2021-10-18,World Championships,QF,14.366,13.683,13.7,14.0,55.749,Leanne Wong
2021-10-08,U.S. Worlds Trials,AA,14.25,12.25,13.1,13.8,53.4,Leanne Wong
2021-06-24,U.S. Olympic Trials,AA,14.7,13.8,14.0,14.233,56.733,Leanne Wong
2021-06-24,U.S. Olympic Trials,QF,14.7,13.666,11.5,13.933,53.799,Leanne Wong
2021-06-03,U.S. Championships,AA,14.55,14.0,12.7,13.6,54.85,Leanne Wong
2021-06-03,U.S. Championships,QF,14.75,12.7,13.65,14.2,55.3,Leanne Wong
2021-05-21,U.S. Classic,AA,14.2,11.9,14.45,13.55,54.1,Leanne Wong
2021-04-24,American Classic,AA,14.4,14.15,12.95,12.95,54.45,Leanne Wong
2021-03-13,March National Team Camp,AA,14.8,12.7,13.7,13.9,55.1,Leanne Wong
2022-10-29,World Championships,TF,0.0,13.766,0.0,0.0,0.0,Leanne Wong
2022-10-29,World Championships,QF,13.766,0.0,0.0,0.0,0.0,Leanne Wong
2022-10-21,U.S. Worlds Trials,EF,0.0,14.1,13.75,0.0,0.0,Leanne Wong
2022-10-21,U.S. Worlds Trials,AA,14.15,13.8,12.85,12.45,53.25,Leanne Wong
2022-08-18,U.S. Championships,AA,0.0,14.25,13.4,0.0,0.0,Leanne Wong
2022-08-18,U.S. Championships,QF,0.0,14.2,13.15,0.0,0.0,Leanne Wong
2022-07-29,U.S. Classic,AA,14.4,12.85,13.55,13.6,54.4,Leanne Wong
2023-08-24,U.S. Championships,AA,14.05,14.0,13.7,14.0,55.75,Leanne Wong
2023-08-24,U.S. Championships,QF,14.25,14.0,13.75,13.35,55.35,Leanne Wong
2023-08-04,U.S. Classic,AA,14.15,13.75,12.7,13.5,54.1,Leanne Wong
2023-07-09,July National Team Camp,AA,13.6,12.85,12.6,12.45,51.5,Leanne Wong
2023,U.S. Worlds Trials,EF,0.0,12.6,13.1,0.0,0.0,Kaliya Lincoln
2023,U.S. Worlds Trials,AA,14.25,12.45,13.8,13.85,54.35,Kaliya Lincoln
2023,U.S. Championships,AA,13.9,9.9,12.95,14.05,50.8,Kaliya Lincoln
2023,U.S. Championships,QF,14.1,12.3,13.25,14.35,54.0,Kaliya Lincoln
2023,U.S. Classic,AA,14.15,0.0,12.95,14.0,0.0,Kaliya Lincoln
2023,Winter Cup,AA,13.5,12.95,11.0,13.6,51.05,Kaliya Lincoln
2023,WOGA Classic,AA,0.0,13.3,0.0,0.0,0.0,Kaliya Lincoln
2023,Vegas Cup National Qualifier,AA,13.55,12.35,12.9,14.1,52.9,Kaliya Lincoln
