Rank,Athlete,Nation,D,E,ND,Total,round,year
22,oliver hegi,SUI,5.9,8.533,0.0,14.433,qual,2019
25,yul moldauer,USA,6.0,8.4,0.0,14.4,qual,2019
26,rasuljon abdurakhimov,UZB,5.6,8.733,0.0,14.333,qual,2019
27,epke zonderland,NED,5.9,8.433,0.0,14.333,qual,2019
28,samuel mikulak,USA,6.4,7.933,0.0,14.333,qual,2019
29,andrey likhovitskiy,BLR,5.5,8.766,0.0,14.266,qual,2019
30,jackson payne,CAN,5.8,8.466,0.0,14.266,qual,2019
30,lee jung-hyo,SKR,5.8,8.466,0.0,14.266,qual,2019
32,ivan stretovich,RUS,5.9,8.366,0.0,14.266,qual,2019
32,eddy yusof,SUI,5.9,8.366,0.0,14.266,qual,2019
34,ilias georgiou,CYP,5.4,8.7,0.0,14.1,qual,2019
35,robert tvorogal,LTU,5.6,8.5,0.0,14.1,qual,2019
36,joel plata,ESP,5.4,8.666,0.0,14.066,qual,2019
37,yevgen yudenkov,UKR,5.8,8.233,0.0,14.033,qual,2019
38,shane wiskus,USA,6.0,8.033,0.0,14.033,qual,2019
39,audrys nin reyes,DOM,5.3,8.725,0.0,14.025,qual,2019
40,yordan aleksandrov,BUL,5.5,8.508,0.0,14.008,qual,2019
41,max whitlock,none,5.3,8.7,0.0,14.0,qual,2019
42,nestor abad,ESP,5.5,8.5,0.0,14.0,qual,2019
43,cory paterson,CAN,5.6,8.4,0.0,14.0,qual,2019
43,kim han-sol,SKR,5.6,8.4,0.0,14.0,qual,2019
45,milad karimi,KAZ,5.8,8.2,0.0,14.0,qual,2019
46,lee chih kai,none,5.8,8.166,0.0,13.966,qual,2019
47,nikolaos iliopoulos,GRE,5.4,8.5,0.0,13.9,qual,2019
48,ludovico edalli,ITA,5.8,8.1,0.0,13.9,qual,2019
49,mikhail koudinov,NZL,5.9,8.0,0.0,13.9,qual,2019
50,wataru tanigawa,JPN,6.4,7.5,0.0,13.9,qual,2019
51,samuel zakutney,CAN,5.5,8.366,0.0,13.866,qual,2019
52,noah kuavita,BEL,5.6,8.266,0.0,13.866,qual,2019
53,rene cournoyer,CAN,5.2,8.6,0.0,13.8,qual,2019
54,andreas toba,none,5.3,8.5,0.0,13.8,qual,2019
55,david huddleston,BUL,5.4,8.4,0.0,13.8,qual,2019
56,vladyslav hryko,UKR,5.7,8.1,0.0,13.8,qual,2019
57,frank rijken,NED,5.6,8.166,0.0,13.766,qual,2019
58,james hall,none,5.8,7.966,0.0,13.766,qual,2019
58,daniel corral,MEX,5.8,7.966,0.0,13.766,qual,2019
60,yu chao wei,none,5.3,8.433,0.0,13.733,qual,2019
61,karl idesjö,SWE,5.4,8.333,0.0,13.733,qual,2019
62,cyril tommasone,FRA,5.3,8.4,0.0,13.7,qual,2019
63,tomas kuzmickas,LTU,5.1,8.566,0.0,13.666,qual,2019
64,artem dolgopyat,ISR,5.2,8.466,0.0,13.666,qual,2019
64,loo phay xing,MAS,5.2,8.466,0.0,13.666,qual,2019
66,vlad cotuna,ROU,5.6,8.033,0.0,13.633,qual,2019
67,alexander shatilov,ISR,5.0,8.6,0.0,13.6,qual,2019
68,akim mussayev,KAZ,5.2,8.4,0.0,13.6,qual,2019
69,francisco barretto,BRA,5.7,7.9,0.0,13.6,qual,2019
70,tang chia-hung,none,4.7,8.866,0.0,13.566,qual,2019
71,luka van den keybus,BEL,5.1,8.466,0.0,13.566,qual,2019
71,julien saleur,FRA,5.1,8.466,0.0,13.566,qual,2019
73,bart deurloo,NED,5.4,8.166,0.0,13.566,qual,2019
74,niccolo mozzato,ITA,5.5,8.066,0.0,13.566,qual,2019
75,le thanh tung,VIE,5.9,7.666,0.0,13.566,qual,2019
76,maxime gentges,BEL,5.1,8.433,0.0,13.533,qual,2019
77,matvei petrov,ALB,5.2,8.333,0.0,13.533,qual,2019
78,ibrahim colak,TUR,5.3,8.233,0.0,13.533,qual,2019
79,david belyavskiy,RUS,6.4,7.133,0.0,13.533,qual,2019
80,daniel radovesnicky,CZE,5.0,8.5,0.0,13.5,qual,2019
81,thierno diallo,ESP,5.4,8.4,-0.3,13.5,qual,2019
82,casimir schmidt,NED,5.1,8.4,0.0,13.5,qual,2019
83,tyson bull,AUS,5.4,8.1,0.0,13.5,qual,2019
84,lucas bitencourt,BRA,5.4,8.066,0.0,13.466,qual,2019
85,mitchell morgans,AUS,5.8,7.666,0.0,13.466,qual,2019
86,ryan sheppard,HUN,4.9,8.533,0.0,13.433,qual,2019
87,sofus heggemsnes,NOR,5.0,8.433,0.0,13.433,qual,2019
88,carlos calvo,COL,5.6,7.833,0.0,13.433,qual,2019
89,ivan tikhonov,AZE,5.2,8.2,0.0,13.4,qual,2019
89,tomas gonzalez,CHI,5.2,8.2,0.0,13.4,qual,2019
91,dzianis sanuvonh,BLR,4.8,8.566,0.0,13.366,qual,2019
92,oskar kirmes,FIN,5.3,8.066,0.0,13.366,qual,2019
93,hillal metidji,ALG,5.4,7.958,0.0,13.358,qual,2019
94,isaac cotto,PUR,4.9,8.45,0.0,13.35,qual,2019
95,jamorn prommanee,THA,5.3,8.033,0.0,13.333,qual,2019
96,jimmy verbaeys,BEL,5.6,7.733,0.0,13.333,qual,2019
97,lee jun-ho,SKR,5.4,7.925,0.0,13.325,qual,2019
98,loris frasca,FRA,4.9,8.366,0.0,13.266,qual,2019
99,andres martinez,COL,5.1,8.166,0.0,13.266,qual,2019
100,adickxon trejo,VEN,5.2,8.066,0.0,13.266,qual,2019
101,israel chiriboga,ECU,4.8,8.433,0.0,13.233,qual,2019
102,ilya yakauleu,BLR,4.9,8.333,0.0,13.233,qual,2019
103,antoine borello,FRA,5.2,8.033,0.0,13.233,qual,2019
104,joel alvarez,CHI,5.3,7.9,0.0,13.2,qual,2019
105,philipp herder,none,5.8,7.366,0.0,13.166,qual,2019
106,santiago mayol,ARG,4.9,8.233,0.0,13.133,qual,2019
107,ashish kumar,IND,4.9,8.2,0.0,13.1,qual,2019
108,david rumbutis,SWE,5.0,8.1,0.0,13.1,qual,2019
109,manrique larduet,CUB,5.5,7.6,0.0,13.1,qual,2019
110,rafael rosendi,CUB,5.8,7.3,0.0,13.1,qual,2019
111,david jessen,CZE,4.9,8.166,0.0,13.066,qual,2019
111,aditya rana,IND,4.9,8.166,0.0,13.066,qual,2019
113,giarnni regini-moran,none,5.7,7.366,0.0,13.066,qual,2019
114,isaac nunez,MEX,5.9,7.166,0.0,13.066,qual,2019
115,adam steele,IRL,4.3,8.733,0.0,13.033,qual,2019
116,matthias schwab,AUT,4.5,8.533,0.0,13.033,qual,2019
117,jesus moreto,PER,5.0,8.0,0.0,13.0,qual,2019
118,aleh tsiaselski,BLR,5.1,7.9,0.0,13.0,qual,2019
119,park min-soo,SKR,5.3,7.7,0.0,13.0,qual,2019
120,marios georgiou,CYP,5.6,7.4,0.0,13.0,qual,2019
121,marco lodadio,ITA,4.6,8.366,0.0,12.966,qual,2019
122,olegs ivanovs,LAT,4.7,8.266,0.0,12.966,qual,2019
123,stian skjerahaug,NOR,5.1,7.866,0.0,12.966,qual,2019
124,elias koski,FIN,4.7,8.233,0.0,12.933,qual,2019
125,robert kirmes,FIN,5.1,7.833,0.0,12.933,qual,2019
126,dawid weglarz,POL,5.2,7.733,0.0,12.933,qual,2019
127,filip sasnal,POL,4.2,8.7,0.0,12.9,qual,2019
128,eeli mikkola,FIN,4.4,8.5,0.0,12.9,qual,2019
129,ilyas azizov,KAZ,4.7,8.166,0.0,12.866,qual,2019
130,toma modoianu-zseder,ROU,4.8,8.066,0.0,12.866,qual,2019
131,benedek tomcsanyi,HUN,4.8,8.033,0.0,12.833,qual,2019
132,david vecsernyes,HUN,4.8,8.0,0.0,12.8,qual,2019
133,mohamed afify,EGY,5.2,7.6,0.0,12.8,qual,2019
134,arthur mariano,BRA,5.4,7.4,0.0,12.8,qual,2019
135,murad agharzayev,AZE,4.4,8.366,0.0,12.766,qual,2019
136,krisztofer meszaros,HUN,4.7,8.066,0.0,12.766,qual,2019
137,carlo macchini,ITA,4.8,7.966,0.0,12.766,qual,2019
138,bernardo almeida,POR,4.8,7.9,0.0,12.7,qual,2019
139,petrix barbosa,POR,5.8,6.858,0.0,12.658,qual,2019
140,artur davtyan,ARM,4.4,8.233,0.0,12.633,qual,2019
141,alexander benda,AUT,5.1,7.533,0.0,12.633,qual,2019
142,fabian de luna,MEX,5.2,7.433,0.0,12.633,qual,2019
143,michael reid,JAM,5.6,7.033,0.0,12.633,qual,2019
144,slavomir michnak,SVK,4.6,8.0,0.0,12.6,qual,2019
145,devy dyson,NZL,4.5,8.033,0.0,12.533,qual,2019
146,andres perez,PUR,5.0,7.5,0.0,12.5,qual,2019
147,uche eke,NGR,4.8,7.633,0.0,12.433,qual,2019
148,ahmed al dyani,QAT,5.4,6.966,0.0,12.366,qual,2019
149,ri wi chol,none,5.2,7.133,0.0,12.333,qual,2019
150,michael tone,AUS,4.6,7.7,0.0,12.3,qual,2019
150,hsu ping chien,none,4.6,7.7,0.0,12.3,qual,2019
152,abdulla azimov,UZB,4.9,7.366,0.0,12.266,qual,2019
153,karim rida,none,4.7,7.533,0.0,12.233,qual,2019
154,vinzenz höck,AUT,4.3,7.9,0.0,12.2,qual,2019
155,konstantin kuzovkov,GEO,4.5,7.7,0.0,12.2,qual,2019
156,pietro giachino,NOR,4.8,7.4,0.0,12.2,qual,2019
157,jose lopez,PUR,5.0,7.2,0.0,12.2,qual,2019
158,martin gudmundsson,ISL,3.7,8.466,0.0,12.166,qual,2019
159,tarik soto,CRC,4.3,7.866,0.0,12.166,qual,2019
160,bidzina sitchinava,GEO,4.7,7.466,0.0,12.166,qual,2019
161,daniel villafañe,ARG,4.9,7.233,0.0,12.133,qual,2019
162,ioane jimsheleishvili,GEO,4.4,7.7,0.0,12.1,qual,2019
163,joseph fox,TRI,4.4,7.666,0.0,12.066,qual,2019
164,vitalijs kardasovrs,LAT,4.6,7.433,0.0,12.033,qual,2019
165,reiss beckford,JAM,5.2,6.833,0.0,12.033,qual,2019
166,andres valverde,CRC,3.4,8.566,0.0,11.966,qual,2019
167,fabio chicas,ESA,4.0,7.966,0.0,11.966,qual,2019
168,kevin crovetto,MON,4.1,7.833,0.0,11.933,qual,2019
168,arian leon prado,PER,4.1,7.833,0.0,11.933,qual,2019
170,saleem naghouj,JOR,4.5,7.366,0.0,11.866,qual,2019
171,bojan dejanovic,SRB,4.3,7.5,0.0,11.8,qual,2019
172,yogeshwar singh,IND,4.7,7.066,0.0,11.766,qual,2019
173,enkhtulga altansukh,MGL,4.7,7.0,0.0,11.7,qual,2019
174,lukasz borkowski,POL,4.9,6.733,0.0,11.633,qual,2019
175,valgard reinhardsson,ISL,4.4,7.2,0.0,11.6,qual,2019
176,odin kalvø,NOR,4.3,7.266,0.0,11.566,qual,2019
177,yunus gündogdu,TUR,4.6,6.866,0.0,11.466,qual,2019
178,rihards trams,LAT,4.1,7.266,0.0,11.366,qual,2019
179,victor rostagno,URU,4.6,6.566,0.0,11.166,qual,2019
180,abellino rubio,GUA,4.9,6.0,0.0,10.9,qual,2019
181,razvan-denis marc,ROU,4.4,6.466,0.0,10.866,qual,2019
182,vlada rakovic,SRB,4.4,6.366,0.0,10.766,qual,2019
183,gerardo cabrera,URU,3.1,7.533,0.0,10.633,qual,2019
184,khabibullo ergashev,UZB,3.6,7.033,0.0,10.633,qual,2019
185,frantisek cerny,CZE,4.3,6.266,0.0,10.566,qual,2019
186,meshari al deriwish,KUW,2.5,7.666,0.0,10.166,qual,2019
187,petar vefic,SRB,4.1,5.933,0.0,10.033,qual,2019
188,manuel martinez,COL,5.2,5.133,-0.3,10.033,qual,2019
189,yerbol jantykov,KAZ,4.6,4.966,0.0,9.566,qual,2019
190,nabil zouhair,MAR,3.0,6.266,0.0,9.266,qual,2019
191,sabah al subaiei,KUW,1.7,7.2,-4.0,4.9,qual,2019
192,ali al jafar,KUW,1.7,6.433,-4.0,4.133,qual,2019
