Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
31,akash modi,USA,13.333,13.533,13.666,14.066,14.533,12.166,81.297,qual,2019
32,akim mussayev,KAZ,13.8,14.133,12.9,14.2,13.6,12.6,81.233,qual,2019
33,ferhat arican,TUR,13.3,13.833,12.533,13.3,14.933,13.333,81.232,qual,2019
34,joel plata,ESP,13.833,12.5,13.166,13.966,14.066,13.7,81.231,qual,2019
35,ahmet önder,TUR,13.933,10.9,13.933,13.733,14.8,13.733,81.032,qual,2019
36,artem dolgopyat,ISR,15.033,13.933,12.766,14.533,13.666,11.1,81.031,qual,2019
37,artur davtyan,ARM,13.666,13.466,13.8,14.533,12.633,12.8,80.898,qual,2019
38,niccolo mozzato,ITA,14,11.7,13,14.1,13.566,14.2,80.566,qual,2019
39,david huddleston,BUL,13.7,13.233,12.8,13.833,13.8,13.166,80.532,qual,2019
40,kakeru tanigawa,JPN,12.566,14.4,13.633,12.466,14.633,12.833,80.531,qual,2019
41,bart deurloo,NED,14,13.166,13.233,12.8,13.566,13.766,80.531,qual,2019
42,daniel corral,MEX,13.8,13.966,12.966,13.566,13.766,12.1,80.164,qual,2019
43,rene cournoyer,CAN,13.5,12.233,13.433,14.266,13.8,12.9,80.132,qual,2019
44,giarnni regini-moran,none,14.316,11.866,13.033,14.533,13.066,13.266,80.08,qual,2019
45,antoine borello,FRA,13.433,13.4,12.716,13.733,13.233,13.516,80.031,qual,2019
46,rasuljon abdurakhimov,UZB,13.5,12,13.133,14.2,14.333,12.633,79.799,qual,2019
47,marios georgiou,CYP,12.333,14.1,13.1,13.733,13,13.533,79.799,qual,2019
48,ivan tikhonov,AZE,13.466,13.033,13.433,13.433,13.4,13,79.765,qual,2019
49,david rumbutis,SWE,13.966,12.733,12.6,14.533,13.1,12.766,79.698,qual,2019
50,andrey likhovitskiy,BLR,13.266,12.7,12.933,13.066,14.266,13.466,79.697,qual,2019
51,sofus heggemsnes,NOR,13.433,12.2,13.166,14.158,13.433,13.233,79.623,qual,2019
52,david jessen,CZE,13.266,13.533,12.433,13.5,13.066,13.6,79.398,qual,2019
53,philipp herder,none,13.933,11.8,13.133,13.766,13.166,13.566,79.364,qual,2019
54,casimir schmidt,NED,14.033,12.9,13.666,13.166,13.5,12,79.265,qual,2019
55,tomas gonzalez,CHI,14,11.666,12.533,14.266,13.4,13.266,79.131,qual,2019
56,andrei muntean,ROU,11.833,10.633,14.333,14.383,14.433,13.333,78.948,qual,2019
57,karim rida,none,13.666,12.966,13.1,13.533,12.233,13.4,78.898,qual,2019
58,luka van den keybus,BEL,14.133,11.433,12.3,13.9,13.566,13.5,78.832,qual,2019
59,le thanh tung,VIE,13.3,11.633,12.333,14.9,13.566,13.1,78.832,qual,2019
60,santiago mayol,ARG,13.3,12.966,12.766,14.033,13.133,12.566,78.764,qual,2019
61,vinzenz höck,AUT,13,12.466,14.3,13.7,12.2,13.033,78.699,qual,2019
62,cory paterson,CAN,12.8,12.233,13.1,13.566,14,12.9,78.599,qual,2019
63,jimmy verbaeys,BEL,13.566,13.2,12.566,12.366,13.333,13.533,78.564,qual,2019
64,noah kuavita,BEL,12.966,10.933,12.733,14.4,13.866,13.566,78.464,qual,2019
65,yordan aleksandrov,BUL,13.433,11.566,12.733,13.8,14.008,12.866,78.406,qual,2019
66,audrys nin reyes,DOM,12.866,12.666,12.266,13.2,14.025,13.333,78.356,qual,2019
67,isaac nunez,MEX,13.4,12.166,12.133,13.8,13.066,13.6,78.165,qual,2019
68,andres martinez,COL,13.533,12.666,11.9,13.6,13.266,13.116,78.081,qual,2019
69,nikolaos iliopoulos,GRE,12.5,11.8,12.866,13.8,13.9,13.166,78.032,qual,2019
70,ryan sheppard,HUN,11.933,12.9,12.1,14.066,13.433,13.6,78.032,qual,2019
71,krisztofer meszaros,HUN,13.066,13.066,12.9,13.5,12.766,12.5,77.798,qual,2019
72,abdulla azimov,UZB,13.4,14,12.666,12.733,12.266,12.5,77.565,qual,2019
73,frank rijken,NED,12.533,12.633,12.7,12.566,13.766,13.366,77.564,qual,2019
74,mitchell morgans,AUS,13.308,11.333,12.791,13.866,13.466,12.766,77.53,qual,2019
75,dinh phuong thanh,VIE,12.433,12.933,12.033,13.5,14.466,12.1,77.465,qual,2019
76,adam steele,IRL,13.7,12.933,12.233,13.966,13.033,11.566,77.431,qual,2019
77,oskar kirmes,FIN,13.3,11.566,12.566,13.766,13.366,12.666,77.23,qual,2019
78,julien saleur,FRA,13.566,12.8,12.033,13.8,13.566,11.4,77.165,qual,2019
79,elias koski,FIN,13.066,12.966,11.566,13.733,12.933,12.8,77.064,qual,2019
80,dzianis sanuvonh,BLR,13.933,10.966,11.5,14.4,13.366,12.866,77.031,qual,2019
81,lucas bitencourt,BRA,13,12.666,11.433,14.3,13.466,12.133,76.998,qual,2019
82,michael tone,AUS,12.666,13.033,12.9,14.166,12.3,11.933,76.998,qual,2019
83,alexander benda,AUT,13.1,11.5,12.7,13.533,12.633,13.5,76.998,qual,2019
84,robert kirmes,FIN,13.633,11.933,12.166,13.833,12.933,12.4,76.898,qual,2019
85,mikhail koudinov,NZL,12.6,12.333,12.7,13.533,13.9,11.733,76.799,qual,2019
86,carlos calvo,COL,12,12.733,11.966,13.033,13.433,13.5,76.665,qual,2019
87,loo phay xing,MAS,11.833,12.466,12.433,13.7,13.666,12.566,76.664,qual,2019
88,hsu ping chien,none,12.5,12.1,12.8,13.8,12.3,13.133,76.633,qual,2019
89,petrix barbosa,POR,12.266,12.566,13.5,13.733,12.658,11.866,76.589,qual,2019
90,mohamed afify,EGY,12.533,12.233,12.333,13.7,12.8,12.7,76.299,qual,2019
91,andres perez,PUR,13.133,12.033,12.366,13.3,12.5,12.9,76.232,qual,2019
92,yogeshwar singh,IND,12.866,12.7,12.266,13.733,11.766,12.766,76.097,qual,2019
93,ilias georgiou,CYP,11.7,10.133,13.166,13.733,14.1,13.2,76.032,qual,2019
94,adickxon trejo,VEN,12.566,12.466,11.166,13.8,13.266,12.633,75.897,qual,2019
95,valgard reinhardsson,ISL,13.366,11.766,12.466,13.966,11.6,12.7,75.864,qual,2019
96,ilyas azizov,KAZ,12,12.566,12.5,13.533,12.866,12.266,75.731,qual,2019
97,matvei petrov,ALB,11.433,12.1,13.158,12.866,13.533,12.566,75.656,qual,2019
98,pietro giachino,NOR,13.266,12.466,12.866,12.7,12.2,12.1,75.598,qual,2019
99,stian skjerahaug,NOR,14.1,10.566,11.233,13.966,12.966,12.633,75.464,qual,2019
100,devy dyson,NZL,12.4,11.166,13.3,12.9,12.533,13.033,75.332,qual,2019
101,dawid weglarz,POL,13.2,12.366,11.5,13.466,12.933,11.733,75.198,qual,2019
102,karl idesjö,SWE,13.6,9.466,12.866,13.366,13.733,12.166,75.197,qual,2019
103,rafael rosendi,CUB,12.266,10.841,12.575,13.266,13.1,13.066,75.114,qual,2019
104,isaac cotto,PUR,12.066,12.6,12.766,13.933,13.35,10.366,75.081,qual,2019
105,daniel radovesnicky,CZE,12.966,10.6,11.733,13.333,13.5,12.9,75.032,qual,2019
106,ahmed al dyani,QAT,12.366,13.133,12.1,13.4,12.366,11.666,75.031,qual,2019
107,olegs ivanovs,LAT,12.833,10.3,12.266,13.866,12.966,12.733,74.964,qual,2019
108,benedek tomcsanyi,HUN,12.533,10.633,12.533,13.766,12.833,12.666,74.964,qual,2019
109,reiss beckford,JAM,12.933,10.866,12.966,13.666,12.033,12.433,74.897,qual,2019
110,fabian de luna,MEX,12.4,10.833,14.066,14,12.633,10.933,74.865,qual,2019
111,daniel villafañe,ARG,12.3,11,13.266,13.975,12.133,12.133,74.807,qual,2019
112,tomas kuzmickas,LTU,13.033,10.933,11.933,13.366,13.666,11.733,74.664,qual,2019
113,bernardo almeida,POR,13.066,9.9,12.733,13.666,12.7,12.533,74.598,qual,2019
114,bojan dejanovic,SRB,13,11.966,11.766,13.6,11.8,12.433,74.565,qual,2019
115,hillal metidji,ALG,12.366,12.8,11.466,14,13.358,10.566,74.556,qual,2019
116,khabibullo ergashev,UZB,13.133,12.666,12.866,12.333,10.633,12.666,74.297,qual,2019
117,murad agharzayev,AZE,13.033,11.133,12.133,13.733,12.766,11.4,74.198,qual,2019
118,konstantin kuzovkov,GEO,13.933,10.5,12.533,13.566,12.2,11.433,74.165,qual,2019
119,matthias schwab,AUT,13.133,9.533,12.066,13.6,13.033,12.7,74.065,qual,2019
120,lukasz borkowski,POL,12.833,11.533,12.566,13.766,11.633,11.666,73.997,qual,2019
121,filip sasnal,POL,12,11.533,12.566,12.666,12.9,12.2,73.865,qual,2019
122,ashish kumar,IND,13.5,10.1,12.766,12.4,13.1,11.766,73.632,qual,2019
123,rihards trams,LAT,12.866,11.5,11.833,13.633,11.366,12.366,73.564,qual,2019
124,israel chiriboga,ECU,12.633,12.2,12.2,12.1,13.233,11.166,73.532,qual,2019
125,joel alvarez,CHI,12.866,8.633,12.066,13.733,13.2,12.9,73.398,qual,2019
126,razvan-denis marc,ROU,13,11.4,12.333,13.4,10.866,12.233,73.232,qual,2019
127,jesus moreto,PER,12.6,11.8,11,13.416,13,11.333,73.149,qual,2019
128,aditya rana,IND,13,10.533,12.766,12.133,13.066,11.6,73.098,qual,2019
129,slavomir michnak,SVK,11.3,12.366,12.133,12.133,12.6,12.5,73.032,qual,2019
130,vlada rakovic,SRB,12.4,11.466,12.7,12.566,10.766,13.033,72.931,qual,2019
131,vitalijs kardasovs,LAT,12.966,10.6,11.3,13.633,12.033,12.133,72.665,qual,2019
132,bidzina sitchinava,GEO,12.7,11,11.933,12.933,12.166,11.833,72.565,qual,2019
133,enkhtulga altansukh,MGL,12.666,9.833,11.733,13.766,11.7,12.533,72.231,qual,2019
134,joseph fox,TRI,11.866,11.166,12.2,12.766,12.066,12.133,72.197,qual,2019
135,jamorn prommanee,THA,12.7,10.9,11.4,12.766,13.333,11.066,72.165,qual,2019
136,saleem naghouj,JOR,12.266,10.5,11.5,13.7,11.866,12.1,71.932,qual,2019
137,manuel martinez,COL,10.966,11.7,12.7,13.5,10.033,12.866,71.765,qual,2019
138,ioane jimsheleishvili,GEO,13.3,8.966,11.6,13.7,12.1,12,71.666,qual,2019
139,kevin crovetto,MON,11.633,11.2,11.4,12.9,11.933,12.1,71.166,qual,2019
140,toma modoianu-zseder,ROU,10.633,9.316,12.933,13.4,12.866,11.9,71.048,qual,2019
141,jose lopez,PUR,10.366,9.366,12.9,13.9,12.2,12.233,70.965,qual,2019
142,frantisek cerny,CZE,13.266,10.133,12.266,12.5,10.566,12.166,70.897,qual,2019
—,yuya kamoto,JPN,13.866,——,14.283,13.966,14.7,14.033,70.848,qual,2019
143,ri wi chol,none,13.166,9.8,11.633,13.8,12.333,10.033,70.765,qual,2019
144,victor rostagno,URU,13.2,9.066,12.633,12.266,11.166,12.066,70.397,qual,2019
—,eddy yusof,SUI,13.9,——,13.733,14.466,14.266,13.866,70.231,qual,2019
145,tarik soto,CRC,11.866,10.975,10.508,13.033,12.166,11.166,69.714,qual,2019
—,nicolau mir,ESP,14.533,——,13.1,14.366,14.433,13.266,69.698,qual,2019
146,petar vefic,SRB,13,9.5,11.066,13.433,10.033,12.566,69.598,qual,2019
147,andres valverde,CRC,12.233,11.166,11.1,13.433,11.966,9.066,68.964,qual,2019
—,arthur mariano,BRA,14.166,12.466,——,14.575,12.8,14.6,68.607,qual,2019
—,lee jun-ho,SKR,14.366,12.8,——,14.366,13.325,13.333,68.19,qual,2019
148,arian leon prado,PER,12.766,7.733,11.8,13.133,11.933,10.433,67.798,qual,2019
—,samuel zakutney,CAN,13.433,12.333,——,14.266,13.866,13.5,67.398,qual,2019
149,martin gudmundsson,ISL,11.666,5.333,11.5,13.4,12.166,12.2,66.265,qual,2019
—,ilya yakauleu,BLR,12.366,——,13.141,14.366,13.233,12.866,65.972,qual,2019
150,fabio chicas,ESA,10.833,10.366,10.733,12.2,11.966,8.966,65.064,qual,2019
—,yunus gündogdu,TUR,13.066,11.533,13.666,13.733,11.466,——,63.464,qual,2019
—,eeli mikkola,FIN,——,11.6,11.866,13,12.9,12.733,62.099,qual,2019
—,yerbol jantykov,KAZ,13.5,——,11.933,12.7,9.566,13.6,61.299,qual,2019
151,gerardo cabrera,URU,10.633,4.5,10.4,13.133,10.633,10.333,59.632,qual,2019
—,daiki hashimoto,JPN,14.433,14.883,——,14.766,——,14.366,58.448,qual,2019
152,meshari al deriwish,KUW,9.7,8.166,9.2,10.433,10.166,10.066,57.731,qual,2019
153,abellino rubio,GUA,10.233,3.6,11.033,11.3,10.9,10.433,57.499,qual,2019
154,nabil zouhair,MAR,11.766,2.4,10.633,12.7,9.266,9.033,55.798,qual,2019
155,ali al jafar,KUW,11.766,7,9.233,11.8,4.133,10.633,54.565,qual,2019
—,shane wiskus,USA,13.466,12.866,——,——,14.033,14.166,54.531,qual,2019
—,christian baumann,SUI,——,12.733,13.533,——,14.566,13.333,54.165,qual,2019
—,marco lodadio,ITA,13.533,——,14.666,12.8,12.966,——,53.965,qual,2019
—,park min-soo,SKR,——,12.966,13.766,——,13,13.9,53.632,qual,2019
—,gabriel swan,AUS,12.533,——,12.5,14.366,——,13.666,53.065,qual,2019
—,adria vera,ESP,——,13.033,12.9,14.433,——,12.5,52.866,qual,2019
—,francisco barretto,BRA,——,13.733,12.933,——,13.6,12.433,52.699,qual,2019
—,michel bletterman,NED,13.233,12.866,12.5,13.766,——,——,52.365,qual,2019
—,vladyslav hryko,UKR,13.633,13.166,——,——,13.8,11.133,51.732,qual,2019
—,yahor sharamkou,BLR,12.433,12.433,11.666,14.166,——,——,50.698,qual,2019
—,vlad cotuna,ROU,——,10.533,13,——,13.633,13.466,50.632,qual,2019
—,tikumporn surintornta,THA,13.466,——,11.766,12.866,——,12,50.098,qual,2019
—,jackson payne,CAN,——,10.633,12.766,——,14.266,12.4,50.065,qual,2019
—,mustafa arca,TUR,12.266,11.666,——,13.866,——,11.433,49.231,qual,2019
156,sabah al subaiei,KUW,11.233,6,3.516,11.766,4.9,9.1,46.515,qual,2019
—,zou jingyuan,CHN,——,14.958,14.3,——,14.633,——,43.891,qual,2019
—,lin chaopan,CHN,14.933,——,——,14.1,——,14.433,43.466,qual,2019
—,dominick cunningham,none,14.6,——,13.833,14.766,——,——,43.199,qual,2019
—,yang hak-seon,SKR,13.733,——,13.8,15.3,——,——,42.833,qual,2019
—,max whitlock,none,——,15.266,——,——,14,13.533,42.799,qual,2019
—,arthur zanetti,BRA,13.7,——,14.7,13.966,——,——,42.366,qual,2019
—,david belyavskiy,RUS,——,14.633,——,——,13.533,14.066,42.232,qual,2019
—,william emard,CAN,14.233,——,13.8,14.066,——,——,42.099,qual,2019
—,benjamin gischard,SUI,14.033,13.633,——,14.333,——,——,41.999,qual,2019
—,nick klessing,none,14.066,——,14.566,13.1,——,——,41.732,qual,2019
—,ibrahim colak,TUR,——,——,14.858,——,13.533,13.2,41.591,qual,2019
—,shiao yu-jan,none,13.333,14.683,——,13.441,——,——,41.457,qual,2019
—,wataru tanigawa,JPN,——,13.333,13.966,——,13.9,——,41.199,qual,2019
—,cyril tommasone,FRA,——,14.666,——,——,13.7,12.733,41.099,qual,2019
—,lukas dauser,none,——,12.266,——,——,15.033,13.7,40.999,qual,2019
—,yu chao wei,none,——,——,13.833,——,13.733,12.933,40.499,qual,2019
—,nicola bartolini,ITA,14.1,11.4,——,14.7,——,——,40.2,qual,2019
—,carlo macchini,ITA,——,13.1,——,——,12.766,14.2,40.066,qual,2019
—,david vecsernyes,HUN,——,13.433,——,——,12.8,13.7,39.933,qual,2019
—,james bacueti,AUS,13.3,11.833,——,14.666,——,——,39.799,qual,2019
—,daan kenis,BEL,13.433,——,——,14.166,——,12,39.599,qual,2019
—,samir aït saïd,FRA,11.366,——,14.7,13.5,——,——,39.566,qual,2019
—,thierno diallo,ESP,13.166,12.866,——,——,13.5,——,39.532,qual,2019
—,ahmed anis maoudj,ALG,13.4,——,11.633,14.3,——,——,39.333,qual,2019
—,maxime gentges,BEL,——,12.066,13.2,——,13.533,——,38.799,qual,2019
—,theodor gadderud,NOR,13.6,12.033,13.1,——,——,——,38.733,qual,2019
—,aleh tsiaselski,BLR,——,12.066,——,——,13,13.033,38.099,qual,2019
—,soma laszlo csorvasi,HUN,12.433,——,12.366,13,——,——,37.799,qual,2019
—,odin kalvø,NOR,——,——,——,13.933,11.566,12.233,37.732,qual,2019
—,kim vanström,SWE,13.4,11.366,——,——,——,12.233,36.999,qual,2019
—,uche eke,NGR,——,12.266,——,——,12.433,11.666,36.365,qual,2019
—,mohamed aziz trabelsi,TUN,11.1,——,——,13.466,——,9.966,34.532,qual,2019
—,nahel clement bouanane,MAR,9,4.533,——,11.8,——,7.633,32.966,qual,2019
—,igor radivilov,UKR,——,——,14.533,14.833,——,——,29.366,qual,2019
—,denis abliazin,RUS,——,——,14.6,14.366,——,——,28.966,qual,2019
—,marian dragulescu,ROU,14.066,——,——,14.616,——,——,28.682,qual,2019
—,trevor howard,USA,——,——,14.033,13.933,——,——,27.966,qual,2019
—,tyson bull,AUS,——,——,——,——,13.5,14.366,27.866,qual,2019
—,mohamed abdeldjalil bourguieg,ALG,12.9,——,——,14.3,——,——,27.2,qual,2019
—,randy leru,CUB,13.833,——,——,——,——,13.366,27.199,qual,2019
—,jim man hin,HKG,——,——,——,14.1,——,12.466,26.566,qual,2019
—,jorge vega,GUA,11.6,——,——,14.866,——,——,26.466,qual,2019
—,epke zonderland,NED,——,——,——,——,14.333,11.766,26.099,qual,2019
—,ri se gwang,none,——,12.033,——,13.833,——,——,25.866,qual,2019
—,michael reid,JAM,——,13.1,——,——,12.633,——,25.733,qual,2019
—,andrey medvedev,ISR,9.433,——,——,14.066,——,——,23.499,qual,2019
—,prosper okosun,NGR,9.433,0.166,——,12.333,——,——,21.932,qual,2019
—,caleb faulk,JAM,——,10,11.875,——,——,——,21.875,qual,2019
—,juan abad godoy,ECU,——,9.633,9.6,——,——,——,19.233,qual,2019
—,rhys mcclenaghan,IRL,——,15.2,——,——,——,——,15.2,qual,2019
—,shek wai hung,HKG,——,——,——,14.966,——,——,14.966,qual,2019
—,tin srbic,CRO,——,——,——,——,——,14.833,14.833,qual,2019
—,eleftherios petrounias,GRE,——,——,14.7,——,——,——,14.7,qual,2019
—,artur tovmasyan,ARM,——,——,14.566,——,——,——,14.566,qual,2019
—,federico molinari,ARG,——,——,14.5,——,——,——,14.5,qual,2019
—,mahdi ahmad kohani,IRI,——,——,14.433,——,——,——,14.433,qual,2019
—,ali zahran,EGY,——,——,14.4,——,——,——,14.4,qual,2019
—,nariman kurbanov,KAZ,——,14.3,——,——,——,——,14.3,qual,2019
—,emil soravuo,FIN,14.166,——,——,——,——,——,14.166,qual,2019
—,agus prayoko,INA,——,——,——,14.166,——,——,14.166,qual,2019
—,harutyun merdinyan,ARM,——,14.133,——,——,——,——,14.133,qual,2019
—,konstantinos konstantinidis,GRE,——,——,14.133,——,——,——,14.133,qual,2019
—,ng kiu chung,HKG,——,——,14.133,——,——,——,14.133,qual,2019
—,nikita simonov,AZE,——,——,13.866,——,——,——,13.866,qual,2019
—,tom nicolaou,CYP,——,——,——,13.8,——,——,13.8,qual,2019
—,rok klavora,SLO,13.8,——,——,——,——,——,13.8,qual,2019
—,majdi al hmood,JOR,13.6,——,——,——,——,——,13.6,qual,2019
—,christian riisberg,DEN,13.233,——,——,——,——,——,13.233,qual,2019
—,luka terbovsek,SLO,13.233,——,——,——,——,——,13.233,qual,2019
—,mauro nemcanin,CRO,——,12.866,——,——,——,——,12.866,qual,2019
—,jacob buus,DEN,——,——,——,——,——,12.833,12.833,qual,2019
—,joao fuglsig,DEN,——,——,——,12.766,——,——,12.766,qual,2019
—,saso bertoncelj,SLO,——,12.033,——,——,——,——,12.033,qual,2019
—,saeedreza keikha,IRI,——,11.883,——,——,——,——,11.883,qual,2019
—,robert seligman,CRO,——,11.333,——,——,——,——,11.333,qual,2019
—,yazan al souliman,SYR,11,——,——,——,——,——,11.0,qual,2019
—,ahmad abu al soud,JOR,——,10.5,——,——,——,——,10.5,qual,2019
