Name,Country,Date,Gender,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,5.8,8.4,0.0,14.2,14.2
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,5.8,8.5,0.0,14.3,14.3
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,5.1,6.166,0.0,11.266,11.266
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,5.2,7.566,0.0,12.766,12.766
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,5.3,7.933,0.0,13.233,13.233
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,4.9,7.666,0.0,12.566,12.566
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20.0,4.8,9.033,0.1,13.733,13.732999999999999
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,97.0,4.8,9.0,0.3,13.5,13.5
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,5.4,7.133,0.1,12.433,12.433000000000002
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,5.3,8.5,0.0,13.8,13.8
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,5.3,8.1,0.0,13.4,13.399999999999999
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,5.8,8.6,0.0,14.4,14.399999999999999
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,5.8,8.266,0.0,14.066,14.065999999999999
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,5.0,5.5,0.0,10.5,10.5
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,5.3,8.366,0.0,13.666,13.666
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,5.3,8.333,0.0,13.633,13.633
Nestor ABAD,ESP,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT1,36.0,5.2,9.2,0.3,14.1,14.099999999999998
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,5.4,7.233,0.0,12.633,12.633
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,4.6,8.0,0.1,12.5,12.5
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,5.3,8.1,0.0,13.4,13.399999999999999
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,5.3,8.366,0.0,13.666,13.666
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,5.3,8.433,0.0,13.733,13.733
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10.0,5.8,8.033,0.0,13.833,13.832999999999998
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23.0,5.8,8.1,0.0,13.9,13.899999999999999
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,12.0,4.7,8.3,0.0,13.0,13.0
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PH,28.0,5.0,8.233,0.0,13.233,13.233
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",SR,17.0,5.3,8.466,0.0,13.766,13.765999999999998
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,4.0,5.3,8.366,0.0,13.666,13.666
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT1,22.0,5.2,7.9,0.1,13.0,13.000000000000002
Nestor ABAD,ESP,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,69.0,4.8,9.0,0.1,13.7,13.700000000000001
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,17.0,5.1,8.466,0.0,13.566,13.565999999999999
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,34.0,5.1,8.566,0.0,13.666,13.666
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,24.0,5.1,5.1,0.3,9.9,9.899999999999999
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,27.0,5.6,8.0,0.0,13.6,13.6
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,20.0,5.3,7.766,0.0,13.066,13.065999999999999
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,52.0,5.3,8.4,0.0,13.7,13.7
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,7.0,5.5,8.166,0.0,13.666,13.666
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,15.0,5.5,8.466,0.0,13.966,13.966
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,13.0,4.7,8.466,0.0,13.166,13.166
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,60.0,4.7,8.3,0.0,13.0,13.0
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,18.0,4.8,9.066,0.0,13.866,13.866
Yumin ABBADINI,ITA,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,84.0,4.8,8.9,0.1,13.6,13.6
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",FX,19.0,5.4,8.433,0.0,13.833,13.833
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",HB,11.0,5.6,8.2,0.0,13.8,13.799999999999999
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,6.0,5.6,8.166,0.0,13.766,13.766
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PB,91.0,4.7,7.333,0.0,12.033,12.033000000000001
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PH,61.0,5.0,7.533,0.0,12.533,12.533000000000001
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,5.0,5.5,8.333,0.0,13.833,13.833
Yumin ABBADINI,ITA,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,13.0,5.0,8.366,0.0,13.366,13.366
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,11.0,5.5,8.266,0.0,13.766,13.766
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",FX,11.0,5.5,8.466,0.0,13.966,13.966
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,4.0,5.3,8.166,0.0,13.466,13.466000000000001
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",HB,90.0,5.3,6.833,0.0,12.133,12.133
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,8.0,5.3,8.7,0.0,14.0,14.0
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PB,40.0,5.3,8.2,0.0,13.5,13.5
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,1.0,5.7,8.4,0.0,14.1,14.100000000000001
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,final,"Antalya, Turkey",PH,6.0,5.7,8.466,0.0,14.166,14.166
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PH,6.0,5.7,8.566,0.0,14.266,14.266000000000002
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",SR,26.0,4.7,8.8,0.0,13.5,13.5
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,10.0,4.7,8.566,0.0,13.266,13.266000000000002
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT1,18.0,4.8,8.866,0.1,13.566,13.566
Yumin ABBADINI,ITA,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,64.0,4.8,8.933,0.0,13.733,13.733
Yumin ABBADINI,ITA,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,11.0,5.5,8.033,0.0,13.533,13.533
Yumin ABBADINI,ITA,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",HB,10.0,5.3,8.233,0.0,13.533,13.533000000000001
Yumin ABBADINI,ITA,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,15.0,6.4,7.033,0.0,13.433,13.433
Abdelrahman ABDELHALEEM,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,113.0,5.2,7.2,0.4,12.0,12.0
Abdelrahman ABDELHALEEM,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,68.0,4.6,8.166,0.0,12.766,12.766
Abdelrahman ABDELHALEEM,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,122.0,4.3,8.1,0.0,12.4,12.399999999999999
Abdelrahman ABDELHALEEM,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,5.2,7.566,0.0,12.766,12.766
Abdelrahman ABDELHALEEM,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,0.0,0.0,0.0,0.0,0.0,0.0
Abdelrahman ABDELHALEEM,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",PH,9.0,5.6,8.5,0.0,14.1,14.1
Abdelrahman ABDELHALEEM,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,21.0,5.8,7.266,0.0,13.066,13.065999999999999
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,116.0,5.4,7.433,0.9,11.933,11.933
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,61.0,4.4,8.566,0.0,12.966,12.966000000000001
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,92.0,5.2,7.8,0.0,13.0,13.0
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,37.0,4.9,8.266,0.0,13.166,13.166
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed ABDELRAHMAN,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,50.0,5.2,8.766,0.0,13.966,13.966000000000001
Ahmed ABDELRAHMAN,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,33.0,5.1,7.266,0.3,12.066,12.065999999999999
Ahmed ABDELRAHMAN,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,38.0,5.2,6.333,0.0,0.4,11.533000000000001
Ahmed ABDELRAHMAN,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,12.0,5.2,8.266,0.0,13.466,13.466000000000001
Ahmed ABDELRAHMAN,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,36.0,4.7,7.366,0.0,12.066,12.065999999999999
Ahmed ABDELRAHMAN,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT1,17.0,5.6,7.833,0.0,13.433,13.433
Ahmed ABDELRAHMAN,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT2,17.0,5.2,7.9,0.0,13.1,13.100000000000001
Ahmed ABDELRAHMAN,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT1,0.0,5.2,8.166,0.0,13.366,13.366
Ahmed ABDELRAHMAN,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT2,0.0,0.0,0.0,0.0,0.0,0.0
Ally Hamuda ABDULLAH,MAS,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",SR,46.0,4.8,5.133,0.0,9.933,9.933
Rasuljon ABDURAKHIMOV,UZB,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,39.0,4.6,8.666,0.0,13.266,13.266
Rasuljon ABDURAKHIMOV,UZB,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,28.0,6.0,8.233,0.0,14.233,14.233
Rasuljon ABDURAKHIMOV,UZB,2023-05-28,m,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",HB,8.0,4.3,8.0,0.0,12.3,12.3
Rasuljon ABDURAKHIMOV,UZB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",HB,5.0,4.6,8.75,0.0,13.35,13.35
Rasuljon ABDURAKHIMOV,UZB,2023-05-28,m,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",PB,1.0,5.5,8.733,0.0,14.23,14.233
Rasuljon ABDURAKHIMOV,UZB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",PB,1.0,5.5,9.0,0.0,14.5,14.5
Rasuljon ABDURAKHIMOV,UZB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",SR,16.0,4.1,8.4,0.0,12.5,12.5
Rasuljon ABDURAKHIMOV,UZB,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",HB,27.0,4.5,8.033,0.0,12.533,12.533
Rasuljon ABDURAKHIMOV,UZB,2023-03-12,m,FIG Apparatus World Cup 2023,final,"Baku, Azerbaijan",PB,7.0,5.9,8.366,0.0,14.266,14.266
Rasuljon ABDURAKHIMOV,UZB,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,8.0,5.9,8.366,0.0,14.266,14.266
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",FX,104.0,5.3,6.3,0.0,11.6,11.6
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",HB,101.0,3.8,7.266,0.0,11.066,11.065999999999999
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PB,56.0,6.0,7.166,0.0,13.166,13.166
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PH,89.0,3.8,7.7,0.0,11.5,11.5
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",SR,55.0,4.7,8.333,0.0,13.033,13.033000000000001
Saba ABESADZE,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT1,96.0,5.2,7.966,0.3,12.866,12.866
Saba ABESADZE,GEO,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PB,99.0,4.5,7.566,0.0,12.066,12.065999999999999
Saba ABESADZE,GEO,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PH,0.0,0.0,0.0,0.0,0.0,0.0
Saba ABESADZE,GEO,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",SR,0.0,0.0,0.0,0.0,0.0,0.0
Saba ABESADZE,GEO,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,27.0,4.9,7.866,0.0,12.766,12.766
Saba ABESADZE,GEO,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,28.0,5.3,7.733,0.0,13.033,13.033
Saba ABESADZE,GEO,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",FX,33.0,5.2,6.533,0.0,11.733,11.733
Saba ABESADZE,GEO,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,21.0,5.2,7.7,0.0,12.9,12.9
Saba ABESADZE,GEO,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PB,23.0,5.0,7.7,0.0,12.7,12.7
Saba ABESADZE,GEO,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PB,18.0,5.7,7.166,0.0,12.866,12.866
Saba ABESADZE,GEO,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,33.0,4.7,8.3,0.0,13.0,13.0
Saba ABESADZE,GEO,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PH,35.0,4.5,7.766,0.0,12.266,12.266
None ABIYURAFI,INA,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",HB,26.0,4.9,6.733,0.0,11.633,11.633
None ABIYURAFI,INA,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PB,29.0,4.8,6.2,0.3,10.7,10.7
None ABIYURAFI,INA,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PH,39.0,4.5,7.0,0.0,11.5,11.5
Ahmad ABU AL SOUD,JOR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PH,2.0,6.3,8.566,0.0,14.866,14.866
Ahmad ABU AL SOUD,JOR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,8.0,6.3,8.066,0.0,14.366,14.366
Ahmad ABU AL SOUD,JOR,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,26.0,5.1,7.7,0.0,12.8,12.8
Ahmad ABU AL SOUD,JOR,2023-02-26,m,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",PH,8.0,5.5,6.3,0.0,11.8,11.8
Ahmad ABU AL SOUD,JOR,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,6.0,5.9,8.7,0.0,14.6,14.6
Ahmad ABU AL SOUD,JOR,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PH,16.0,5.6,8.066,0.0,13.666,13.666
Ondine ACHAMPONG,ENG,,m,BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",VT1,0.0,5.0,9.15,0.0,14.15,14.15
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",FX,14.0,4.3,8.2,0.0,12.5,12.5
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,19.0,4.3,8.0,0.0,12.3,12.3
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",HB,10.0,4.2,7.95,0.0,12.15,12.15
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",HB,7.0,4.2,7.65,0.0,11.85,11.850000000000001
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",HB,8.0,4.2,8.0,0.0,12.2,12.2
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",PB,9.0,4.5,8.4,0.0,12.9,12.9
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",PB,10.0,4.5,8.5,0.0,13.0,13.0
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",PH,9.0,4.1,7.7,0.0,11.8,11.8
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",PH,14.0,4.1,7.6,0.0,11.7,11.7
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",SR,10.0,4.0,7.8,0.0,11.8,11.8
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",SR,20.0,4.0,7.7,0.0,11.7,11.7
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",VT1,14.0,4.0,9.0,0.0,13.0,13.0
Francisco ACUNA,CRC,2023-06-28,m,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT1,22.0,4.0,8.9,0.0,12.9,12.9
Karthik ADAPA,CAY,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,34.0,4.0,6.6,0.0,10.6,10.6
Karthik ADAPA,CAY,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,35.0,3.5,7.65,0.0,11.15,11.15
Karthik ADAPA,CAY,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PH,36.0,3.0,6.1,0.0,9.1,9.1
Karthik ADAPA,CAY,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",SR,33.0,3.2,7.1,0.3,10.0,10.0
Karthik ADAPA,CAY,,m,BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",VT1,0.0,2.8,8.8,0.0,11.6,11.600000000000001
Karthik ADAPA,CAY,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",hb,34.0,2.8,7.35,0.0,10.15,10.149999999999999
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,65.0,5.1,8.0,0.0,13.1,13.1
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,77.0,4.6,8.033,0.0,12.633,12.633
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,39.0,5.8,8.066,0.0,13.866,13.866
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,30.0,5.3,8.0,0.0,13.3,13.3
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,62.0,4.9,8.066,0.0,12.966,12.966000000000001
Mohamed AFIFY,EGY,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,79.0,4.8,8.966,0.1,13.666,13.665999999999999
Mohamed AFIFY,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",HB,35.0,4.2,7.266,0.0,11.466,11.466000000000001
Mohamed AFIFY,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,final,"Baku, Azerbaijan",PB,4.0,6.0,8.533,0.0,14.533,14.533
Mohamed AFIFY,EGY,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,7.0,6.0,8.433,0.0,14.433,14.433
Mohamed AFIFY,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",PB,2.0,6.0,8.066,0.0,14.066,14.066
Mohamed AFIFY,EGY,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",PB,3.0,6.0,8.033,0.0,14.033,14.033
