Tm,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SF,year
Philadelphia Phillies,4.18,162,6136,5424,677,1270,241,30,186,653,582,1520,0.234,0.314,0.393,0.707,2129,64,32,2018
Pittsburgh Pirates,4.3,161,6066,5447,692,1381,290,38,157,665,474,1229,0.254,0.317,0.407,0.725,2218,59,52,2018
San Diego Padres,3.81,162,6059,5486,617,1289,250,30,162,583,471,1523,0.235,0.297,0.38,0.677,2085,31,36,2018
Seattle Mariners,4.18,162,6087,5513,677,1402,256,32,176,644,430,1221,0.254,0.314,0.408,0.722,2250,70,41,2018
San Francisco Giants,3.72,162,6113,5541,603,1324,255,30,133,573,448,1467,0.239,0.3,0.368,0.667,2038,49,42,2018
St. Louis Cardinals,4.69,162,6200,5498,759,1369,248,9,205,725,525,1380,0.249,0.321,0.409,0.73,2250,80,48,2018
Tampa Bay Rays,4.42,162,6195,5475,716,1415,274,43,150,664,540,1388,0.258,0.333,0.406,0.74,2225,101,50,2018
Texas Rangers,4.55,162,6163,5453,737,1308,266,24,194,696,555,1484,0.24,0.318,0.404,0.722,2204,88,34,2018
Toronto Blue Jays,4.38,162,6076,5477,709,1336,320,16,217,680,499,1387,0.244,0.312,0.427,0.739,2339,58,37,2018
Washington Nationals,4.76,162,6288,5517,771,1402,284,25,191,737,631,1289,0.254,0.335,0.419,0.753,2309,59,40,2018
Arizona Diamondbacks,5.02,162,6315,5633,813,1419,288,40,220,778,540,1360,0.252,0.323,0.434,0.757,2447,70,40,2019
Atlanta Braves,5.28,162,6302,5560,855,1432,277,29,249,824,619,1467,0.258,0.336,0.452,0.789,2514,60,35,2019
Baltimore Orioles,4.5,162,6189,5596,729,1379,252,25,213,698,462,1435,0.246,0.31,0.415,0.725,2320,71,37,2019
Boston Red Sox,5.56,162,6475,5770,901,1554,345,27,245,857,590,1382,0.269,0.34,0.466,0.806,2688,49,44,2019
Chicago Cubs,5.02,162,6195,5461,814,1378,270,26,256,783,581,1460,0.252,0.331,0.452,0.783,2468,83,39,2019
Chicago White Sox,4.4,161,6042,5529,708,1443,260,20,182,676,378,1549,0.261,0.314,0.414,0.728,2289,66,32,2019
Cincinnati Reds,4.33,162,6100,5450,701,1328,235,27,227,679,492,1436,0.244,0.315,0.422,0.736,2298,89,33,2019
Cleveland Indians,4.75,162,6124,5425,769,1354,286,18,223,731,563,1332,0.25,0.323,0.432,0.756,2345,50,46,2019
Colorado Rockies,5.15,162,6288,5660,835,1502,323,41,224,803,489,1503,0.265,0.326,0.456,0.782,2579,43,43,2019
Detroit Tigers,3.61,161,6039,5549,582,1333,292,41,149,556,391,1595,0.24,0.294,0.388,0.682,2154,48,42,2019
Houston Astros,5.68,162,6394,5613,920,1538,323,28,288,891,645,1166,0.274,0.352,0.495,0.848,2781,66,57,2019
Kansas City Royals,4.27,162,6080,5496,691,1356,281,40,162,655,456,1405,0.247,0.309,0.401,0.71,2203,59,42,2019
Los Angeles Angels,4.75,162,6251,5542,769,1368,268,21,220,734,586,1276,0.247,0.324,0.422,0.746,2338,67,42,2019
Los Angeles Dodgers,5.47,162,6282,5493,886,1414,302,20,279,861,607,1356,0.257,0.338,0.472,0.81,2593,81,45,2019
Miami Marlins,3.8,162,6045,5512,615,1326,265,18,146,593,395,1469,0.241,0.298,0.375,0.673,2065,73,33,2019
Milwaukee Brewers,4.75,162,6309,5542,769,1366,279,17,250,744,629,1563,0.246,0.329,0.438,0.767,2429,72,38,2019
Minnesota Twins,5.8,162,6392,5732,939,1547,318,23,307,906,525,1334,0.27,0.338,0.494,0.832,2832,81,41,2019
New York Mets,4.88,162,6290,5624,791,1445,280,17,242,767,516,1384,0.257,0.328,0.442,0.77,2485,95,27,2019
New York Yankees,5.82,162,6245,5583,943,1493,290,17,306,904,569,1437,0.267,0.339,0.49,0.829,2735,49,33,2019
Oakland Athletics,5.22,162,6269,5561,845,1384,292,23,257,800,578,1338,0.249,0.327,0.448,0.776,2493,87,36,2019
Philadelphia Phillies,4.78,162,6261,5571,774,1369,311,26,215,742,562,1453,0.246,0.319,0.427,0.746,2377,57,34,2019
Pittsburgh Pirates,4.68,162,6228,5657,758,1497,315,38,163,722,425,1213,0.265,0.321,0.42,0.741,2377,63,34,2019
San Diego Padres,4.21,162,6019,5391,682,1281,224,24,219,652,504,1581,0.238,0.308,0.41,0.718,2210,55,31,2019
Seattle Mariners,4.68,162,6199,5500,758,1305,254,28,239,730,588,1581,0.237,0.316,0.424,0.74,2332,58,37,2019
San Francisco Giants,4.19,162,6170,5579,678,1332,300,26,167,655,475,1435,0.239,0.302,0.392,0.694,2185,50,42,2019
St. Louis Cardinals,4.72,162,6167,5449,764,1336,246,24,210,714,561,1420,0.245,0.322,0.415,0.737,2260,76,39,2019
Tampa Bay Rays,4.75,162,6285,5628,769,1427,291,29,217,730,542,1493,0.254,0.325,0.431,0.757,2427,73,34,2019
Texas Rangers,5.0,162,6204,5540,810,1374,296,24,223,765,534,1578,0.248,0.319,0.431,0.75,2387,67,44,2019
Toronto Blue Jays,4.48,162,6091,5493,726,1299,270,21,247,697,509,1514,0.236,0.305,0.428,0.733,2352,45,28,2019
Washington Nationals,5.39,162,6267,5512,873,1460,298,27,231,824,584,1308,0.265,0.342,0.454,0.796,2505,81,42,2019
Arizona Diamondbacks,4.19,162,6144,5489,679,1297,308,31,144,644,537,1465,0.236,0.309,0.382,0.692,2099,54,28,2021
Atlanta Braves,4.91,161,6056,5363,790,1307,269,20,239,762,549,1453,0.244,0.319,0.435,0.754,2333,67,43,2021
Baltimore Orioles,4.07,162,5983,5420,659,1296,266,15,195,632,451,1454,0.239,0.304,0.402,0.705,2177,65,31,2021
Boston Red Sox,5.12,162,6122,5495,829,1434,330,23,219,783,512,1386,0.261,0.328,0.449,0.777,2467,61,42,2021
Chicago Cubs,4.35,162,5972,5306,705,1255,225,26,210,672,502,1596,0.237,0.312,0.407,0.719,2162,92,30,2021
Chicago White Sox,4.91,162,6084,5357,796,1373,275,22,190,757,586,1389,0.256,0.336,0.422,0.758,2262,78,39,2021
Cincinnati Reds,4.85,162,6162,5423,786,1352,295,13,222,756,553,1425,0.249,0.328,0.431,0.759,2339,105,45,2021
Cleveland Indians,4.43,162,5907,5332,717,1269,248,22,203,686,453,1387,0.238,0.303,0.407,0.71,2170,64,36,2021
Colorado Rockies,4.59,161,6007,5374,739,1338,275,34,182,709,491,1356,0.249,0.317,0.414,0.731,2227,58,36,2021
Detroit Tigers,4.3,162,5979,5376,697,1299,236,37,179,675,490,1514,0.242,0.308,0.399,0.707,2146,44,50,2021
Houston Astros,5.33,162,6291,5593,863,1496,299,14,221,834,569,1222,0.267,0.339,0.444,0.783,2486,64,54,2021
Kansas City Royals,4.23,162,5993,5427,686,1349,251,29,163,647,421,1258,0.249,0.306,0.396,0.702,2147,55,52,2021
Los Angeles Angels,4.46,162,6019,5437,723,1331,265,23,190,691,464,1394,0.245,0.31,0.407,0.717,2212,59,25,2021
Los Angeles Dodgers,5.12,162,6239,5445,830,1330,247,24,237,799,613,1408,0.244,0.33,0.429,0.759,2336,104,45,2021
Miami Marlins,3.85,162,5929,5348,623,1244,226,23,158,594,450,1553,0.233,0.298,0.372,0.671,1990,65,30,2021
Milwaukee Brewers,4.56,162,6099,5362,738,1251,255,18,194,700,586,1465,0.233,0.317,0.396,0.713,2124,88,35,2021
Minnesota Twins,4.5,162,6078,5431,729,1311,271,17,228,690,525,1405,0.241,0.314,0.423,0.738,2300,70,42,2021
New York Mets,3.93,162,5856,5210,636,1243,228,18,176,604,495,1392,0.239,0.315,0.391,0.705,2035,94,23,2021
New York Yankees,4.39,162,6060,5331,711,1266,213,12,222,666,621,1482,0.237,0.322,0.407,0.729,2169,63,34,2021
Oakland Athletics,4.59,162,6104,5395,743,1284,271,19,199,698,545,1349,0.238,0.317,0.406,0.723,2190,98,49,2021
Philadelphia Phillies,4.53,162,6089,5366,734,1288,262,24,198,700,564,1402,0.24,0.318,0.408,0.726,2192,67,43,2021
Pittsburgh Pirates,3.76,162,5983,5336,609,1261,240,35,124,570,529,1328,0.236,0.309,0.364,0.673,1943,49,37,2021
San Diego Padres,4.5,162,6119,5384,729,1305,273,21,180,695,586,1324,0.242,0.321,0.401,0.722,2160,61,46,2021
Seattle Mariners,4.3,162,6010,5355,697,1209,233,11,199,673,535,1492,0.226,0.303,0.385,0.688,2061,72,36,2021
San Francisco Giants,4.96,162,6196,5462,804,1360,271,25,241,768,602,1461,0.249,0.329,0.44,0.769,2404,64,30,2021
St. Louis Cardinals,4.36,162,6001,5351,706,1303,261,22,198,678,478,1341,0.244,0.313,0.412,0.725,2202,86,44,2021
Tampa Bay Rays,5.29,162,6213,5507,857,1336,288,36,222,810,585,1542,0.243,0.321,0.429,0.75,2362,72,41,2021
Texas Rangers,3.86,162,5943,5405,625,1254,225,24,167,598,433,1381,0.232,0.294,0.375,0.67,2028,58,31,2021
Toronto Blue Jays,5.22,162,6070,5476,846,1455,285,13,262,816,496,1218,0.266,0.33,0.466,0.797,2552,51,35,2021
Washington Nationals,4.47,162,6113,5385,724,1388,272,20,182,686,573,1303,0.258,0.337,0.417,0.754,2246,84,31,2021
Arizona Diamondbacks,4.33,162,6027,5351,702,1232,262,24,173,658,531,1341,0.23,0.304,0.385,0.689,2061,60,50,2022
Atlanta Braves,4.87,162,6082,5509,789,1394,298,11,243,753,470,1498,0.253,0.317,0.443,0.761,2443,66,36,2022
Baltimore Orioles,4.16,162,6049,5429,674,1281,275,25,171,639,476,1390,0.236,0.305,0.39,0.695,2119,83,43,2022
Boston Red Sox,4.54,162,6144,5539,735,1427,352,12,155,704,478,1373,0.258,0.321,0.409,0.731,2268,63,50,2022
Chicago Cubs,4.06,162,6072,5425,657,1293,265,31,159,620,507,1448,0.238,0.311,0.387,0.698,2097,84,36,2022
Chicago White Sox,4.23,162,6123,5611,686,1435,272,9,149,654,388,1269,0.256,0.31,0.387,0.698,2172,73,35,2022
Cincinnati Reds,4.0,162,5978,5380,648,1264,235,18,156,618,452,1430,0.235,0.304,0.372,0.676,2003,92,33,2022
Cleveland Guardians,4.31,162,6163,5558,698,1410,273,31,127,662,450,1122,0.254,0.316,0.383,0.699,2126,81,52,2022
Colorado Rockies,4.31,162,6105,5540,698,1408,280,34,149,669,453,1330,0.254,0.315,0.398,0.713,2203,61,40,2022
Detroit Tigers,3.44,162,5870,5378,557,1240,235,27,110,530,380,1413,0.231,0.286,0.346,0.632,1859,58,44,2022
Houston Astros,4.55,162,6054,5409,737,1341,284,13,214,715,528,1179,0.248,0.319,0.424,0.743,2293,60,42,2022
Kansas City Royals,3.95,162,6010,5437,640,1327,247,38,138,613,460,1287,0.244,0.306,0.38,0.686,2064,48,44,2022
Los Angeles Angels,3.85,162,5977,5423,623,1265,219,31,190,600,449,1539,0.233,0.297,0.39,0.687,2116,54,25,2022
Los Angeles Dodgers,5.23,162,6247,5526,847,1418,325,31,212,812,607,1374,0.257,0.333,0.442,0.775,2441,56,53,2022
Miami Marlins,3.62,162,5949,5395,586,1241,248,20,144,554,436,1429,0.23,0.294,0.363,0.658,1961,70,36,2022
Milwaukee Brewers,4.48,162,6122,5417,725,1271,251,17,219,703,577,1464,0.235,0.315,0.409,0.724,2213,80,37,2022
Minnesota Twins,4.3,162,6113,5476,696,1356,269,18,178,668,518,1353,0.248,0.317,0.401,0.718,2195,62,46,2022
New York Mets,4.77,162,6176,5489,772,1422,272,27,171,735,510,1217,0.259,0.332,0.412,0.744,2261,112,44,2022
New York Yankees,4.98,162,6172,5422,807,1308,225,8,254,764,620,1391,0.241,0.325,0.426,0.751,2311,70,41,2022
Oakland Athletics,3.51,162,5863,5314,568,1147,249,15,137,537,433,1389,0.216,0.281,0.346,0.626,1837,59,33,2022
Philadelphia Phillies,4.61,162,6077,5496,747,1392,255,29,205,719,478,1363,0.253,0.317,0.422,0.739,2320,52,44,2022
Pittsburgh Pirates,3.65,162,5912,5331,591,1186,221,29,158,555,476,1497,0.222,0.291,0.364,0.655,1939,54,32,2022
San Diego Padres,4.35,162,6175,5468,705,1317,275,18,153,682,574,1327,0.241,0.318,0.382,0.7,2087,65,46,2022
Seattle Mariners,4.26,162,6117,5375,690,1236,229,19,197,663,596,1397,0.23,0.315,0.39,0.704,2094,89,45,2022
San Francisco Giants,4.42,162,6117,5392,716,1261,255,18,183,683,571,1462,0.234,0.315,0.39,0.705,2101,95,53,2022
St. Louis Cardinals,4.77,162,6165,5496,772,1386,290,21,197,739,537,1226,0.252,0.325,0.42,0.745,2309,80,45,2022
Tampa Bay Rays,4.11,162,6008,5412,666,1294,296,17,139,634,500,1395,0.239,0.309,0.377,0.686,2041,57,31,2022
Texas Rangers,4.36,162,6029,5478,707,1308,224,20,198,670,456,1446,0.239,0.301,0.395,0.696,2166,47,38,2022
Toronto Blue Jays,4.78,162,6158,5555,775,1464,307,12,200,756,500,1242,0.264,0.329,0.431,0.76,2395,55,33,2022
Washington Nationals,3.72,162,5998,5434,603,1351,252,20,136,579,442,1221,0.249,0.31,0.377,0.688,2051,60,37,2022
