Rank,Gymnast,vt,ub,bb,fx,Total,year
5,Mélanie de Jesus dos Santos,14.466,14.0,12.433,13.233,54.132,2017
6,Aiko Sugihara,14.033,13.533,12.566,13.833,53.965,2017
7,Giulia Steingruber,14.7,12.933,12.4,13.633,53.666,2017
8,Nina Derwael,13.533,14.966,11.633,13.366,53.498,2017
9,Elisabeth Seitz,13.7,14.566,12.433,12.766,53.465,2017
10,Tabea Alt,13.866,13.6,13.3,12.633,53.399,2017
11,Rune Hermans,13.3,13.9,12.033,13.066,52.299,2017
12,Lara Mori,13.433,13.466,12.266,13.0,52.165,2017
13,Georgia Godwin,13.266,13.5,12.366,12.9,52.032,2017
14,Diana Varinska,13.433,14.5,11.366,12.7,51.999,2017
15,Brooklyn Moors,12.966,13.2,12.266,13.533,51.965,2017
16,Angelina Melnikova,13.733,13.775,12.433,11.4,51.341,2017
17,Amy Tinkler,14.4,11.0,12.166,13.333,50.899,2017
18,Ana Filipa Martins,13.166,13.533,12.233,11.933,50.865,2017
19,Wang Yan,14.233,13.366,10.2,12.633,50.432,2017
20,Ana Pérez,12.833,13.733,10.1,12.6,49.266,2017
21,Marine Boyer,13.766,12.066,10.566,12.833,49.231,2017
22,Lee Eun-ju,13.233,13.2,11.5,11.266,49.199,2017
23,Ioana Crișan,13.566,10.766,11.6,13.033,48.965,2017
24,Thaís Fidélis,13.533,11.066,10.6,13.566,48.765,2017
1,Simone Biles,14.533,14.725,13.233,15.0,57.491,2018
2,Mai Murakami,14.566,13.566,13.666,14.0,55.798,2018
3,Morgan Hurd,14.6,14.333,12.933,13.866,55.732,2018
4,Nina Derwael,13.566,15.1,13.733,13.3,55.699,2018
5,Angelina Melnikova,14.166,14.433,13.466,13.633,55.698,2018
6,Mélanie de Jesus dos Santos,14.566,13.5,13.733,13.8,55.599,2018
7,Chen Yile,13.433,14.0,14.166,13.033,54.632,2018
8,Flávia Saraiva,14.533,13.0,13.0,13.833,54.366,2018
9,Luo Huan,13.466,14.4,13.466,13.0,54.332,2018
10,Asuka Teramoto,14.633,13.733,12.9,13.033,54.299,2018
11,Ellie Downie,14.4,13.9,12.7,13.233,54.233,2018
12,Ellie Black,14.4,12.9,13.6,13.233,54.133,2018
13,Irina Alexeeva,13.633,13.866,13.366,12.933,53.798,2018
14,Naomi Visser,13.466,13.8,13.033,13.033,53.332,2018
15,Jade Barbosa,14.5,13.333,12.933,12.1,52.866,2018
16,Lorette Charpy,13.333,12.9,13.0,12.833,52.066,2018
17,Denisa Golgotă,14.3,12.666,11.566,13.333,51.865,2018
18,Axelle Klinckaert,13.7,13.066,12.266,12.8,51.832,2018
19,Kelly Simm,13.9,13.9,11.533,12.466,51.799,2018
20,Zsófia Kovács,13.6,13.133,12.966,12.066,51.765,2018
21,Elisabeth Seitz,13.7,14.6,10.4,12.866,51.566,2018
22,Lara Mori,13.4,12.766,12.233,13.133,51.532,2018
23,Ana Pérez,13.566,12.9,12.366,12.5,51.332,2018
24,Brooklyn Moors,13.3,12.566,11.1,13.366,50.332,2018
1,Simone Biles,15.233,14.733,14.633,14.4,58.999,2019
2,Tang Xijing,14.166,14.533,14.6,13.6,56.899,2019
3,Angelina Melnikova,14.433,13.9,14.0,14.066,56.399,2019
4,Ellie Black,14.566,14.133,14.0,13.533,56.232,2019
5,Nina Derwael,13.6,15.2,13.733,13.5,56.033,2019
6,Elisabeth Seitz,14.6,14.866,13.233,13.3,55.999,2019
7,Flávia Saraiva,14.466,13.3,14.033,13.933,55.732,2019
8,Sunisa Lee,14.466,13.133,13.833,14.2,55.632,2019
9,Li Shijia,14.433,13.366,14.0,13.3,55.099,2019
10,Sarah Voss,14.5,13.666,13.866,12.866,54.898,2019
11,Aline Friess,14.966,13.6,13.066,13.166,54.798,2019
12,Alice Kinsella,14.266,13.766,13.8,12.933,54.765,2019
13,Asuka Teramoto,14.6,14.0,13.366,12.7,54.666,2019
14,Brooklyn Moors,14.166,13.266,13.5,13.566,54.498,2019
15,Diana Varinska,13.5,14.133,13.333,13.4,54.366,2019
16,Giorgia Villa,14.7,14.333,12.633,12.566,54.232,2019
17,Hitomi Hatakeda,13.8,13.866,13.533,12.733,53.932,2019
18,Giulia Steingruber,14.933,12.5,12.8,13.633,53.866,2019
19,Georgia Godwin,13.733,13.5,13.366,13.233,53.832,2019
20,Mélanie de Jesus dos Santos,14.633,11.933,13.5,13.5,53.566,2019
21,Cintia Rodríguez,13.333,13.7,11.833,12.6,51.466,2019
22,Lilia Akhaimova,14.533,12.066,11.4,13.466,51.465,2019
23,Naomi Visser,13.266,12.1,13.6,12.2,51.166,2019
24,Elisa Iorio,13.266,0.0,12.666,12.866,0.0,2019
