Name,Apparatus,Score
colt walker,SR,13.25
donnell whittenburg,SR,14.333
donnell whittenburg,SR,14.433
raydel gamboa,SR,11.9
donnell whittenburg,SR,14.9
khoi young,SR,13.2
ignacio yockers,SR,11.45
mike fletcher,SR,12.9
isaiah drake,SR,13.4
khoi young,SR,12.95
khoi young,SR,12.55
isaiah drake,SR,13.35
isaiah drake,SR,12.25
khoi young,SR,13.3
isaiah drake,SR,12.15
donnell whittenburg,SR,14.8
isaiah drake,SR,13.55
isaiah drake,SR,13.4
oliver zavel,SR,12.45
alex diab,SR,14.25
alex diab,SR,14.2
alex diab,SR,14.4
oliver zavel,SR,12.85
alex diab,SR,13.55
mike fletcher,SR,13.05
mike fletcher,SR,13.3
shane wiskus,SR,14.25
mike fletcher,SR,13.15
asher hong,SR,13.9
asher hong,SR,13.833
donnell whittenburg,SR,15.0
ian gunther,SR,13.8
donnell whittenburg,SR,14.75
ian gunther,SR,13.5
ian gunther,SR,13.6
shane wiskus,SR,13.9
ian gunther,SR,13.5
shane wiskus,SR,13.95
vitaliy guimaraes,SR,13.6
james friedman,SR,12.2
jack freeman,SR,12.8
shane wiskus,SR,13.95
shane wiskus,SR,13.9
colin flores,SR,12.65
colin flores,SR,12.95
asher hong,SR,14.75
kameron nelson,SR,12.6
alex tapanes,SR,12.3
riley loos,SR,13.9
vahe petrosyan,SR,12.35
alex diab,SR,14.35
brody malone,SR,14.2
brody malone,SR,13.9
yul moldauer,SR,13.8
brody malone,SR,14.1
rithik puri,SR,11.35
brody malone,SR,13.7
brody malone,SR,13.666
frederick nathaniel richard,SR,13.533
cole partridge,SR,12.5
riley loos,SR,14.1
riley loos,SR,13.95
riley loos,SR,13.6
frederick nathaniel richard,SR,13.766
fred richard,SR,13.55
fred richard,SR,13.45
riley loos,SR,14.1
riley loos,SR,14.35
troy lipis,SR,12.45
vahe petrosyan,SR,12.2
caleb melton,SR,11.7
toby liang,SR,12.4
brandon nguyen,SR,13.5
noah newfeld,SR,12.4
noah newfeld,SR,12.9
kameron nelson,SR,13.05
kameron nelson,SR,13.4
noah newfeld,SR,12.1
kameron nelson,SR,13.1
kameron nelson,SR,13.05
noah newfeld,SR,12.9
brandon nguyen,SR,13.35
yul moldauer,SR,14.0
caleb melton,SR,12.2
zachary nunez,SR,12.95
yul moldauer,SR,14.1
yul moldauer,SR,14.3
yul moldauer,SR,13.75
cole partridge,SR,11.7
yul moldauer,SR,13.8
yul moldauer,SR,14.15
cole partridge,SR,12.55
caleb melton,SR,12.05
fred richard,SR,11.95
toby liang,SR,12.7
asher hong,SR,13.95
michael jaroh,SR,13.25
joshua andrew karnes,SR,12.966
david shamah,SR,12.15
joshua andrew karnes,SR,12.866
daniel simmons,SR,12.7
daniel simmons,SR,13.0
paul juda,SR,13.75
paul juda,SR,14.15
michael jaroh,SR,13.5
landon simpson,SR,11.85
michael jaroh,SR,13.55
alex karadzhov,SR,12.9
landon simpson,SR,12.15
michael jaroh,SR,13.5
evan hymanson,SR,12.6
evan hymanson,SR,12.8
landon simpson,SR,12.1
landon simpson,SR,12.1
evan hymanson,SR,12.9
evan hymanson,SR,13.2
alex tapanes,SR,12.7
alex karadzhov,SR,12.85
garrett schooley,SR,12.85
toby liang,SR,12.45
nicolas kuebler,SR,13.05
fred richard,SR,13.35
ian lasic-ellis,SR,13.95
frederick richard,SR,14.05
ian lasic-ellis,SR,13.75
frederick richard,SR,13.95
ian lasic-ellis,SR,13.85
ian lasic-ellis,SR,13.65
riley loos,SR,14.1
riley loos,SR,14.0
ian sandoval,SR,11.85
joshua karnes,SR,12.35
anthony koppie,SR,12.55
ian sandoval,SR,12.1
anthony koppie,SR,13.1
anthony koppie,SR,13.15
noah sano,SR,12.55
joshua karnes,SR,13.1
noah sano,SR,12.55
garrett schooley,SR,12.85
joshua karnes,SR,12.25
alex diab,SR,14.2
javier alfonso,SR,13.0
chase davenport-mills,SR,12.5
taylor christopulos,SR,13.05
landen blixt,SR,12.45
brandon briones,SR,14.2
landen blixt,SR,11.85
michael artlip,SR,11.7
michael artlip,SR,12.4
caden clinton,SR,12.1
brandon briones,SR,14.25
caden clinton,SR,12.65
maxim bereznev,SR,12.85
garrett braunton,SR,12.95
taylor christopulos,SR,10.7
matt cormier,SR,13.5
cameron bock,SR,13.75
cameron bock,SR,13.6
chase davenport-mills,SR,12.7
jeremy bischoff,SR,13.2
michael artlip,SR,11.65
garrett braunton,SR,13.05
michael artlip,SR,13.05
asher cohen,SR,12.6
matt cormier,SR,12.05
taylor burkhart,SR,13.65
taylor burkhart,SR,13.8
asher cohen,SR,13.0
jeremy bischoff,SR,12.95
jeremy bischoff,SR,12.65
michael artlip,SR,12.35
landen blixt,SR,12.7
jeremy bischoff,SR,12.4
taylor burkhart,SR,12.95
taylor christopulos,SR,12.75
fuzzy benas,SR,13.4
fuzzy benas,SR,12.55
landen blixt,SR,13.05
landen blixt,SR,12.85
michael artlip,SR,12.55
landen blixt,SR,12.95
taylor christopulos,SR,12.9
maxim bereznev,SR,12.95
taylor troy christopulos,SR,13.366
cameron bock,SR,11.6
evan davis,SR,13.2
javier alfonso,SR,14.15
taylor burkhart,SR,13.3
javier alfonso,SR,14.0
javier alfonso,SR,14.1
garrett braunton,SR,13.6
matt cormier,SR,12.4
taylor burkhart,SR,13.6
fuzzy benas,SR,13.2
crew bold,SR,13.25
crew bold,SR,13.4
mathew davis,SR,12.85
matt cormier,SR,13.25
garrett braunton,SR,13.35
maxim bereznev,SR,12.6
maxim bereznev,SR,12.45
chase davenport-mills,SR,12.3
cameron bock,SR,13.7
cameron bock,SR,13.65
landen paul blixt,SR,12.5
maxim bereznev,SR,12.6
jeremy bischoff,SR,13.3
jeremy bischoff,SR,13.75
drake andrews,SR,12.85
taylor christopulos,SR,12.9
cole partridge,PH,9.5
paul juda,PH,13.05
vahe petrosyan,PH,12.6
jeremy bischoff,PH,12.05
cole partridge,PH,9.55
michael jaroh,PH,11.95
vahe petrosyan,PH,12.1
michael jaroh,PH,12.5
j.r. chou,PH,13.5
jeremy bischoff,PH,12.8
cole partridge,PH,11.5
j.r. chou,PH,13.85
joshua andrew karnes,PH,13.333
jeremy bischoff,PH,12.9
jeremy bischoff,PH,11.15
michael jaroh,PH,12.65
paul juda,PH,14.3
alex karadzhov,PH,12.35
fred richard,PH,11.5
rithik puri,PH,10.15
ian skirkey,PH,14.266
patrick hoopes,PH,11.95
asher hong,PH,12.4
frederick richard,PH,13.8
taylor christopulos,PH,13.5
taylor christopulos,PH,12.5
asher hong,PH,13.0
asher hong,PH,13.45
ian skirkey,PH,14.7
michael jaroh,PH,12.7
ian hunter skirkey,PH,13.533
blake sun,PH,11.966
asher hong,PH,12.6
ian sandoval,PH,12.1
ian sandoval,PH,12.25
maxim bereznev,PH,9.4
maxim bereznev,PH,10.5
patrick hoopes,PH,13.55
maxim bereznev,PH,10.95
fred richard,PH,13.25
patrick hoopes,PH,14.0
frederick richard,PH,13.6
frederick nathaniel richard,PH,14.166
taylor christopulos,PH,11.35
evan hymanson,PH,10.2
jeremy bischoff,PH,11.25
taylor christopulos,PH,13.5
evan hymanson,PH,10.0
frederick nathaniel richard,PH,13.4
jeremy bischoff,PH,11.7
evan hymanson,PH,12.4
evan hymanson,PH,11.15
fred richard,PH,14.25
fred richard,PH,12.25
patrick hoopes,PH,14.55
patrick hoopes,PH,13.05
joshua andrew karnes,PH,13.3
joshua karnes,PH,11.3
zachary nunez,PH,12.0
zachary nunez,PH,13.8
caleb melton,PH,12.4
caleb melton,PH,11.75
yul moldauer,PH,14.3
toby liang,PH,13.0
yul moldauer,PH,13.15
cameron bock,PH,13.4
garrett braunton,PH,10.3
cameron bock,PH,14.1
toby liang,PH,12.8
toby liang,PH,12.75
yul moldauer,PH,13.3
yul moldauer,PH,14.0
ian lasic-ellis,PH,13.4
yul moldauer,PH,13.7
yul moldauer,PH,13.85
ian lasic-ellis,PH,13.5
landen blixt,PH,12.8
caleb melton,PH,9.8
riley loos,PH,12.35
riley loos,PH,12.9
riley loos,PH,13.3
brody malone,PH,13.433
brody malone,PH,13.85
riley loos,PH,12.3
yul moldauer,PH,12.95
brody malone,PH,14.6
garrett braunton,PH,13.1
garrett braunton,PH,12.85
riley loos,PH,13.5
garrett braunton,PH,12.9
brody malone,PH,14.0
cameron bock,PH,13.05
evan manivong,PH,6.15
evan manivong,PH,11.55
riley loos,PH,13.6
cameron bock,PH,13.5
cameron bock,PH,13.9
stephen nedoroscik,PH,14.4
stephen nedoroscik,PH,15.233
stephen nedoroscik,PH,14.7
joshua karnes,PH,12.55
kameron nelson,PH,9.8
landen blixt,PH,11.35
noah newfeld,PH,11.6
noah newfeld,PH,12.75
noah newfeld,PH,13.05
noah newfeld,PH,11.3
landen blixt,PH,12.05
joshua karnes,PH,11.25
anthony koppie,PH,11.3
brandon nguyen,PH,13.1
brandon nguyen,PH,13.1
landen blixt,PH,12.45
taylor burkhart,PH,12.3
taylor burkhart,PH,11.8
alex karadzhov,PH,11.2
zachary nunez,PH,13.6
anthony koppie,PH,10.1
taylor burkhart,PH,13.6
stephen nedoroscik,PH,14.2
riley loos,PH,13.4
ian lasic-ellis,PH,13.65
ian lasic-ellis,PH,13.75
stephen nedoroscik,PH,14.85
stephen nedoroscik,PH,15.05
stephen nedoroscik,PH,14.65
robert neff,PH,12.15
taylor burkhart,PH,13.55
kameron nelson,PH,11.15
kameron nelson,PH,12.0
kameron nelson,PH,11.95
taylor burkhart,PH,12.7
nicolas kuebler,PH,12.95
landen blixt,PH,13.7
landen blixt,PH,13.6
anthony koppie,PH,4.65
kameron nelson,PH,12.2
taylor christopulos,PH,13.4
frederick richard,PH,12.15
asher hong,PH,13.45
jack freeman,PH,11.2
colt walker,PH,11.6
colt walker,PH,12.8
matt cormier,PH,12.45
matt cormier,PH,12.35
james friedman,PH,12.85
michael artlip,PH,11.0
colt walker,PH,12.75
colt walker,PH,13.9
matt cormier,PH,12.1
colt walker,PH,13.55
matt cormier,PH,8.95
brandon dang,PH,14.1
colin flores,PH,11.7
colin flores,PH,12.4
michael artlip,PH,12.95
michael artlip,PH,12.75
raydel gamboa,PH,11.85
landen paul blixt,PH,12.633
asher hong,PH,13.7
matt cormier,PH,11.3
blake sun,PH,13.6
blake sun,PH,13.1
ian gunther,PH,12.85
blake sun,PH,13.5
blake sun,PH,13.25
blake sun,PH,13.5
matt cormier,PH,10.0
ian gunther,PH,13.5
asher hong,PH,12.2
ian gunther,PH,12.55
alex tapanes,PH,13.05
alex tapanes,PH,11.15
colin van wicklen,PH,11.7
ian gunther,PH,13.2
fuzzy benas,PH,11.8
donnell whittenburg,PH,12.833
donnell whittenburg,PH,12.85
donnell whittenburg,PH,13.0
mike fletcher,PH,13.05
khoi young,PH,13.45
isaiah drake,PH,12.0
isaiah drake,PH,12.15
ignacio yockers,PH,14.5
khoi young,PH,13.55
drake andrews,PH,12.15
khoi young,PH,14.7
isaiah drake,PH,12.7
khoi young,PH,14.4
donnell whittenburg,PH,12.5
evan davis,PH,11.35
isaiah drake,PH,12.6
isaiah drake,PH,11.75
khoi young,PH,11.2
oliver zavel,PH,10.9
oliver zavel,PH,11.55
mathew davis,PH,12.55
chase davenport-mills,PH,12.4
ignacio yockers,PH,11.7
shane wiskus,PH,13.25
isaiah drake,PH,12.15
donnell whittenburg,PH,12.55
michael artlip,PH,11.5
mike fletcher,PH,13.35
mike fletcher,PH,12.5
shane wiskus,PH,13.15
shane wiskus,PH,13.5
chase davenport-mills,PH,11.9
chase davenport-mills,PH,11.9
mike fletcher,PH,13.35
shane wiskus,PH,13.65
will fleck,PH,12.8
will fleck,PH,12.25
shane wiskus,PH,12.85
michael artlip,PH,12.95
michael artlip,PH,12.15
blake sun,PH,13.95
vitaliy guimaraes,PH,14.35
brody malone,PH,13.766
kazuki hayashi,PH,9.6
garrett schooley,PH,13.0
david shamah,PH,12.9
maxim bereznev,PH,11.75
maxim bereznev,PH,11.45
fuzzy benas,PH,13.45
asher hong,PH,14.25
asher cohen,PH,11.0
asher cohen,PH,10.8
tyler shimizu,PH,11.25
fuzzy benas,PH,13.45
landon simpson,PH,11.9
landon simpson,PH,10.75
caden clinton,PH,13.15
landon simpson,PH,11.65
caden clinton,PH,12.85
dallas hale,PH,13.1
landon simpson,PH,11.55
dallas hale,PH,13.3
tyler shimizu,PH,13.2
dallas hale,PH,13.05
dallas hale,PH,13.45
daniel simmons,PH,12.45
daniel simmons,PH,12.75
garrett schooley,PH,12.7
asher hong,PH,14.133
ian skirkey,PH,14.55
ian skirkey,PH,10.95
asher hong,PH,13.3
noah sano,PH,10.4
noah sano,PH,11.2
ian skirkey,PH,14.45
oliver zavel,PB,12.7
noah sano,PB,12.95
yul moldauer,PB,14.3
yul moldauer,PB,15.15
cameron bock,PB,13.3
crew bold,PB,14.0
cameron bock,PB,13.4
cameron bock,PB,12.4
shane wiskus,PB,13.9
yul moldauer,PB,14.55
shane wiskus,PB,14.85
brody malone,PB,14.95
yul moldauer,PB,15.4
crew bold,PB,13.9
frederick richard,PB,14.7
maxim bereznev,PB,12.6
yul moldauer,PB,14.8
daniel simmons,PB,13.25
javier alfonso,PB,13.8
shane wiskus,PB,14.7
shane wiskus,PB,14.8
daniel simmons,PB,12.9
fred richard,PB,14.45
michael artlip,PB,12.65
maxim bereznev,PB,12.8
landen blixt,PB,13.8
javier alfonso,PB,12.55
fred richard,PB,12.4
maxim bereznev,PB,13.1
ian sandoval,PB,12.55
brody malone,PB,14.65
oliver zavel,PB,12.4
garrett schooley,PB,12.85
garrett schooley,PB,12.9
khoi young,PB,13.75
khoi young,PB,14.35
khoi young,PB,14.25
khoi young,PB,14.05
caleb melton,PB,11.95
caleb melton,PB,12.5
blake sun,PB,12.066
david shamah,PB,13.4
ian sandoval,PB,13.15
cameron bock,PB,14.95
caleb melton,PB,11.5
ignacio yockers,PB,11.95
donnell whittenburg,PB,13.45
yul moldauer,PB,13.85
tyler shimizu,PB,13.05
yul moldauer,PB,14.7
shane wiskus,PB,14.05
michael artlip,PB,13.25
brody malone,PB,13.966
michael artlip,PB,13.75
tyler shimizu,PB,13.1
noah sano,PB,11.75
frederick richard,PB,14.4
javier alfonso,PB,12.6
drake andrews,PB,11.4
donnell whittenburg,PB,13.9
jeremy bischoff,PB,14.5
jeremy bischoff,PB,12.8
zachary nunez,PB,13.4
curran phillips,PB,14.5
curran phillips,PB,15.4
alex tapanes,PB,12.55
alex tapanes,PB,11.65
zachary nunez,PB,13.35
zachary nunez,PB,12.25
rithik puri,PB,13.0
landen blixt,PB,13.85
donnell whittenburg,PB,13.666
fuzzy benas,PB,13.85
colin van wicklen,PB,13.7
jeremy bischoff,PB,13.05
frederick richard,PB,13.033
frederick richard,PB,14.9
landen blixt,PB,13.6
fuzzy benas,PB,13.75
fuzzy benas,PB,13.65
curran phillips,PB,15.5
cole partridge,PB,12.75
cole partridge,PB,12.8
jeremy bischoff,PB,13.2
blake sun,PB,14.2
curran phillips,PB,15.349999999999998
curran phillips,PB,15.3
blake sun,PB,11.4
vahe petrosyan,PB,13.8
vahe petrosyan,PB,12.45
blake sun,PB,14.85
blake sun,PB,15.15
curran phillips,PB,15.15
curran phillips,PB,15.55
curran phillips,PB,14.5
cole partridge,PB,13.1
jeremy bischoff,PB,13.65
blake sun,PB,14.8
colt walker,PB,14.866
brandon nguyen,PB,13.3
michael artlip,PB,13.25
kameron nelson,PB,13.25
landen blixt,PB,13.45
colt walker,PB,15.25
landen blixt,PB,13.85
landon simpson,PB,12.9
jeremy bischoff,PB,13.6
fred richard,PB,14.5
fred richard,PB,14.6
landon simpson,PB,13.45
brandon nguyen,PB,13.45
blake sun,PB,15.35
kameron nelson,PB,12.9
donnell whittenburg,PB,14.0
donnell whittenburg,PB,13.75
robert neff,PB,12.7
maxim bereznev,PB,10.35
maxim bereznev,PB,12.5
kameron nelson,PB,12.75
kameron nelson,PB,13.15
colt walker,PB,15.0
landon simpson,PB,13.2
landen paul blixt,PB,13.566
shane wiskus,PB,14.75
noah newfeld,PB,13.35
colt walker,PB,15.35
frederick nathaniel richard,PB,13.966
noah newfeld,PB,13.2
landen blixt,PB,12.4
colt walker,PB,14.7
noah newfeld,PB,13.45
noah newfeld,PB,12.7
frederick nathaniel richard,PB,13.9
landon simpson,PB,12.35
michael artlip,PB,11.3
colt walker,PB,14.95
kameron nelson,PB,13.25
michael artlip,PB,13.4
cameron bock,PB,14.6
brody malone,PB,14.366
will fleck,PB,12.9
ian lasic-ellis,PB,12.9
ian lasic-ellis,PB,13.95
raydel gamboa,PB,14.05
isaiah drake,PB,13.55
asher hong,PB,14.7
taylor christopulos,PB,13.55
will fleck,PB,12.8
taylor christopulos,PB,12.2
taylor burkhart,PB,13.5
patrick hoopes,PB,13.0
patrick hoopes,PB,13.05
nicolas kuebler,PB,13.2
mike fletcher,PB,13.15
james friedman,PB,11.85
taylor burkhart,PB,13.85
asher hong,PB,14.75
evan hymanson,PB,13.4
isaiah drake,PB,13.75
toby liang,PB,10.6
isaiah drake,PB,12.95
garrett braunton,PB,13.55
kazuki hayashi,PB,12.75
toby liang,PB,13.5
toby liang,PB,13.15
asher hong,PB,14.7
ian lasic-ellis,PB,13.3
ian lasic-ellis,PB,14.5
asher hong,PB,14.85
taylor christopulos,PB,12.95
chase davenport-mills,PB,10.95
spencer goodell,PB,13.75
asher hong,PB,14.25
anthony koppie,PB,11.75
evan hymanson,PB,12.6
matt cormier,PB,11.05
colin flores,PB,13.1
alex karadzhov,PB,13.3
alex karadzhov,PB,13.35
michael jaroh,PB,14.0
michael jaroh,PB,13.55
mike fletcher,PB,13.55
colin flores,PB,12.8
joshua andrew karnes,PB,13.466
chase davenport-mills,PB,10.2
michael jaroh,PB,12.75
j.r. chou,PB,14.65
taylor troy christopulos,PB,11.766
joshua andrew karnes,PB,14.533
paul juda,PB,13.5
paul juda,PB,13.15
matt cormier,PB,13.45
joshua karnes,PB,12.9
taylor burkhart,PB,14.15
taylor christopulos,PB,13.25
anthony koppie,PB,12.95
anthony koppie,PB,10.8
evan hymanson,PB,11.75
mike fletcher,PB,14.0
mike fletcher,PB,14.3
evan hymanson,PB,13.75
joshua karnes,PB,14.4
joshua karnes,PB,13.75
chase davenport-mills,PB,11.8
michael jaroh,PB,14.1
taylor christopulos,PB,11.65
taylor burkhart,PB,14.45
taylor burkhart,PB,12.2
jack freeman,PB,12.05
vitaliy guimaraes,PB,13.9
asher hong,PB,14.9
j.r. chou,PB,14.3
riley loos,PB,14.1
asher hong,PB,14.6
riley loos,PB,13.1
garrett braunton,PB,13.15
riley loos,PB,13.35
ian gunther,PB,12.1
ian gunther,PB,13.45
asher hong,PB,14.7
asher cohen,PB,13.1
dallas hale,PB,13.95
evan davis,PB,13.25
riley loos,PB,12.9
asher cohen,PB,13.1
isaiah drake,PB,13.5
isaiah drake,PB,13.5
garrett braunton,PB,13.4
garrett braunton,PB,12.3
dallas hale,PB,14.25
riley loos,PB,14.05
ian gunther,PB,12.9
riley loos,PB,14.3
asher hong,PB,14.9
dallas hale,PB,14.8
matt cormier,PB,12.4
matt cormier,PB,12.45
mathew davis,PB,11.7
caden clinton,PB,13.75
caden clinton,PB,12.7
ian gunther,PB,12.45
isaiah drake,PB,12.85
dallas hale,PB,14.8
jeremy bischoff,HB,13.05
vahe petrosyan,HB,11.75
taylor christopulos,HB,13.05
asher cohen,HB,12.1
matt cormier,HB,13.6
blake sun,HB,11.7
paul juda,HB,13.2
donnell whittenburg,HB,13.1
paul juda,HB,14.1
colt walker,HB,13.6
matt cormier,HB,11.3
michael jaroh,HB,13.65
asher cohen,HB,11.15
frederick nathaniel richard,HB,14.233
colt walker,HB,12.95
vahe petrosyan,HB,12.9
colin flores,HB,12.25
landon simpson,HB,12.7
landon simpson,HB,12.45
evan hymanson,HB,12.5
frederick nathaniel richard,HB,12.9
donnell whittenburg,HB,13.35
jeremy bischoff,HB,12.95
frederick richard,HB,14.0
blake sun,HB,11.6
colin flores,HB,10.35
asher hong,HB,11.5
curran phillips,HB,12.85
michael jaroh,HB,12.8
curran phillips,HB,13.85
asher hong,HB,13.2
curran phillips,HB,13.25
taylor christopulos,HB,13.1
matt cormier,HB,13.35
ian gunther,HB,13.05
alex tapanes,HB,9.0
curran phillips,HB,13.7
michael jaroh,HB,12.9
alex tapanes,HB,9.7
rithik puri,HB,11.65
michael jaroh,HB,13.1
curran phillips,HB,11.95
jack freeman,HB,13.35
jeremy bischoff,HB,12.85
asher hong,HB,10.3
curran phillips,HB,13.65
frederick nathaniel richard,HB,14.6
matt cormier,HB,12.95
evan hymanson,HB,12.75
michael artlip,HB,12.65
j.r. chou,HB,13.7
asher hong,HB,13.15
asher hong,HB,13.4
colt walker,HB,13.8
colt walker,HB,13.0
ian sandoval,HB,12.45
ian sandoval,HB,11.75
landen paul blixt,HB,13.3
daniel simmons,HB,12.2
asher hong,HB,10.45
daniel simmons,HB,12.3
taylor christopulos,HB,11.25
colt walker,HB,13.2
asher hong,HB,11.05
