"youtube"	"facebook"	"newspaper"	"sales"
"113"	210.84	18.48	2.88	16.92
"114"	251.52	24.72	12.84	19.08
"115"	93.84	56.16	41.4	17.52
"116"	90.12	42	63.24	15.12
"117"	167.04	17.16	30.72	14.64
"118"	91.68	0.96	17.76	11.28
"119"	150.84	44.28	95.04	19.08
"120"	23.28	19.2	26.76	7.92
"121"	169.56	32.16	55.44	18.6
"122"	22.56	26.04	60.48	8.4
"123"	268.8	2.88	18.72	13.92
"124"	147.72	41.52	14.88	18.24
"125"	275.4	38.76	89.04	23.64
"126"	104.64	14.16	31.08	12.72
"127"	9.36	46.68	60.72	7.92
"128"	96.24	0	11.04	10.56
"129"	264.36	58.8	3.84	29.64
"130"	71.52	14.4	51.72	11.64
"131"	0.84	47.52	10.44	1.92
"132"	318.24	3.48	51.6	15.24
"133"	10.08	32.64	2.52	6.84
"134"	263.76	40.2	54.12	23.52
"135"	44.28	46.32	78.72	12.96
"136"	57.96	56.4	10.2	13.92
"137"	30.72	46.8	11.16	11.4
"138"	328.44	34.68	71.64	24.96
"139"	51.6	31.08	24.6	11.52
"140"	221.88	52.68	2.04	24.84
"141"	88.08	20.4	15.48	13.08
"142"	232.44	42.48	90.72	23.04
"143"	264.6	39.84	45.48	24.12
"144"	125.52	6.84	41.28	12.48
"145"	115.44	17.76	46.68	13.68
"146"	168.36	2.28	10.8	12.36
"147"	288.12	8.76	10.44	15.84
"148"	291.84	58.8	53.16	30.48
"149"	45.6	48.36	14.28	13.08
"150"	53.64	30.96	24.72	12.12
"151"	336.84	16.68	44.4	19.32
"152"	145.2	10.08	58.44	13.92
"153"	237.12	27.96	17.04	19.92
"154"	205.56	47.64	45.24	22.8
"155"	225.36	25.32	11.4	18.72
"156"	4.92	13.92	6.84	3.84
"157"	112.68	52.2	60.6	18.36
"158"	179.76	1.56	29.16	12.12
"159"	14.04	44.28	54.24	8.76
"160"	158.04	22.08	41.52	15.48
"161"	207	21.72	36.84	17.28
"162"	102.84	42.96	59.16	15.96
"163"	226.08	21.72	30.72	17.88
"164"	196.2	44.16	8.88	21.6
"165"	140.64	17.64	6.48	14.28
"166"	281.4	4.08	101.76	14.28
"167"	21.48	45.12	25.92	9.6
"168"	248.16	6.24	23.28	14.64
"169"	258.48	28.32	69.12	20.52
"170"	341.16	12.72	7.68	18
"171"	60	13.92	22.08	10.08
"172"	197.4	25.08	56.88	17.4
"173"	23.52	24.12	20.4	9.12
"174"	202.08	8.52	15.36	14.04
"175"	266.88	4.08	15.72	13.8
"176"	332.28	58.68	50.16	32.4
"177"	298.08	36.24	24.36	24.24
"178"	204.24	9.36	42.24	14.04
"179"	332.04	2.76	28.44	14.16
"180"	198.72	12	21.12	15.12
"181"	187.92	3.12	9.96	12.6
"182"	262.2	6.48	32.88	14.64
"183"	67.44	6.84	35.64	10.44
"184"	345.12	51.6	86.16	31.44
"185"	304.56	25.56	36	21.12
"186"	246	54.12	23.52	27.12
"187"	167.4	2.52	31.92	12.36
"188"	229.32	34.44	21.84	20.76
"189"	343.2	16.68	4.44	19.08
"190"	22.44	14.52	28.08	8.04
"191"	47.4	49.32	6.96	12.96
"192"	90.6	12.96	7.2	11.88
"193"	20.64	4.92	37.92	7.08
"194"	200.16	50.4	4.32	23.52
"195"	179.64	42.72	7.2	20.76
"196"	45.84	4.44	16.56	9.12
"197"	113.04	5.88	9.72	11.64
"198"	212.4	11.16	7.68	15.36
"199"	340.32	50.4	79.44	30.6
"200"	278.52	10.32	10.44	16.08
