"ID","Price","Sqft","Bedroom","Bathroom","Airconditioning","Garage","Pool","YearBuild","Quality","Lot","AdjHighway"
"88",88,519000,3386,4,4,1,3,0,1994,1,24008,0
"89",89,625100,3648,4,4,1,3,0,1992,1,26604,0
"90",90,585444,3455,4,5,1,3,0,1995,1,22468,0
"91",91,399900,3321,3,4,1,3,1,1971,1,15012,0
"92",92,389900,2817,4,3,1,3,0,1996,1,31214,0
"93",93,649000,3210,3,5,1,3,0,1995,1,30033,0
"94",94,535000,3588,4,5,1,3,0,1987,1,22530,0
"95",95,640000,2705,3,3,1,3,0,1994,1,22196,0
"96",96,600000,2344,4,3,1,2,0,1925,1,86004,0
"97",97,582500,4264,5,4,1,4,0,1995,1,24983,0
"98",98,545000,2615,3,3,1,3,0,1996,1,21722,0
"99",99,480000,3608,6,4,1,3,0,1981,1,25219,0
"100",100,595000,2479,4,4,1,3,0,1989,1,29805,0
"101",101,610000,3251,3,4,1,3,1,1985,1,25570,0
"102",102,570000,2547,2,3,1,3,0,1996,1,21789,0
"103",103,479000,5032,7,3,1,3,0,1989,1,22000,0
"104",104,545000,4973,6,6,1,3,1,1987,1,56139,0
"105",105,335000,2582,4,3,1,2,0,1966,1,23256,0
"106",106,629000,3139,6,4,1,2,1,1977,1,21810,0
"107",107,505500,3516,4,4,1,3,0,1979,1,19867,0
"108",108,528750,2129,0,0,1,3,0,1992,1,37414,0
"109",109,370000,2936,4,4,1,3,0,1987,1,16437,0
"110",110,529000,3351,5,4,1,3,0,1994,1,24216,0
"111",111,490000,3136,4,4,1,3,0,1989,1,27158,0
"112",112,535000,3525,4,5,1,3,0,1996,1,27501,0
"113",113,612000,3917,6,5,1,3,0,1995,1,37972,0
"114",114,442500,2702,4,3,1,3,0,1991,1,39643,0
"115",115,500000,3644,3,4,1,3,0,1984,1,21895,0
"116",116,539000,3072,4,4,1,3,0,1992,1,25158,0
"117",117,545500,3233,4,4,1,3,0,1991,1,22961,0
"118",118,424000,2918,4,4,1,3,0,1988,1,22003,0
"119",119,325000,3266,4,3,1,3,0,1985,1,16640,0
"120",120,367000,2940,4,7,1,2,0,1988,1,22003,0
"121",121,470000,3430,3,4,1,2,1,1966,1,25018,0
"122",122,393000,2472,4,4,1,3,0,1987,1,21784,0
"123",123,530000,2878,4,4,1,3,0,1992,1,68351,0
"124",124,400000,2537,3,3,1,2,0,1993,1,11053,0
"125",125,403500,3858,4,4,1,3,0,1987,1,22224,0
"126",126,550000,2742,3,3,1,3,0,1991,1,22306,0
"127",127,380000,3460,5,4,1,2,0,1972,1,18571,0
"128",128,500000,3836,5,4,1,3,0,1982,1,48465,0
"129",129,465000,4453,7,5,1,2,0,1974,1,15595,0
"130",130,451500,4080,5,4,1,3,0,1983,1,22134,0
"131",131,336000,3301,3,4,1,2,0,1977,1,18741,0
"132",132,550000,3828,4,5,1,2,1,1975,1,17051,0
"133",133,450000,2973,4,3,1,2,0,1980,2,21999,0
"134",134,440000,2821,5,4,1,2,1,1962,2,32914,0
"135",135,515000,2950,5,3,1,2,0,1969,2,21598,0
"136",136,415000,2362,3,3,1,2,0,1977,2,21604,0
"137",137,380000,3092,3,4,1,2,0,1978,2,20081,0
"138",138,489500,2866,4,4,0,2,0,1982,2,22424,0
"139",139,478000,3369,5,4,1,3,0,1981,2,21161,0
"140",140,460000,3068,4,4,1,3,0,1988,2,18289,0
"141",141,379900,2380,3,3,1,3,0,1998,2,21999,0
"142",142,390000,2225,2,3,1,3,0,1997,2,38722,0
"143",143,338000,2655,3,3,1,2,0,1948,2,21960,0
"144",144,675000,3855,4,4,1,3,0,1996,2,35845,0
"145",145,440000,2892,4,4,1,2,0,1977,2,35839,0
"146",146,500000,3832,4,3,1,2,0,1952,2,28722,0
"147",147,470000,3164,6,4,1,2,0,1982,2,20505,0
"148",148,317500,2620,3,2,1,3,0,1925,2,12266,0
"149",149,430000,3076,6,4,1,3,0,1984,2,26648,0
"150",150,430000,4022,6,4,1,3,0,1986,2,18429,0
"151",151,475000,3377,4,3,1,3,0,1997,2,22495,0
"152",152,389000,2858,5,4,1,1,0,1989,2,23981,0
"153",153,400000,3540,4,4,1,3,1,1980,2,18012,0
"154",154,395000,3045,4,3,1,1,0,1991,2,34356,0
"155",155,395000,4150,4,3,0,3,0,1934,2,21778,0
"156",156,296000,1778,2,2,1,2,0,1991,2,24022,0
"157",157,387500,2412,2,3,1,3,0,1986,2,22676,0
"158",158,353000,2668,4,3,1,2,0,1978,2,18384,0
"159",159,350000,2274,4,3,1,3,0,1986,2,22049,0
"160",160,437632,2936,4,3,1,3,0,1980,2,22844,0
"161",161,447500,2526,2,2,1,0,0,1996,2,28248,0
"162",162,318500,2449,4,4,1,2,0,1985,2,22075,0
"163",163,352000,3131,4,4,1,2,0,1988,2,15209,0
"164",164,295000,2536,3,3,1,3,0,1987,2,39427,0
"165",165,313500,3314,2,3,1,3,0,1984,2,24339,0
"166",166,330000,2230,3,2,1,2,0,1986,2,24798,0
"167",167,400000,2631,4,4,0,2,0,1985,2,44885,0
"168",168,325000,2638,4,3,1,2,0,1978,2,25747,0
"169",169,340000,2756,4,3,1,2,1,1973,2,22546,0
"170",170,399900,3262,5,4,1,2,0,1978,2,25541,0
"171",171,249900,1936,4,4,1,3,0,1987,2,12850,0
"172",172,389000,3148,4,4,1,3,1,1969,2,16587,0
"173",173,364500,2616,3,4,1,2,0,1977,2,32655,0
"174",174,357500,3630,4,3,1,2,0,1969,2,23283,0
"175",175,295000,1954,3,3,1,3,1,1962,2,19300,0
"176",176,274500,1926,5,3,1,2,0,1986,2,26418,0
"177",177,259000,2556,3,2,1,2,0,1957,2,80886,0
"178",178,415000,2282,5,4,1,2,0,1987,2,23003,0
"179",179,443000,3314,3,4,1,3,0,1986,2,22012,0
"180",180,249000,2001,3,3,1,2,0,1981,2,23812,0
"181",181,330000,2607,5,2,1,2,0,1976,2,23139,0
"182",182,291000,2840,4,4,1,2,0,1965,2,23079,0
"183",183,418000,3036,3,5,0,2,0,1977,2,33746,0
"184",184,320000,2240,4,2,1,3,0,1974,2,18682,0
"185",185,264000,1788,3,3,0,2,0,1969,2,18484,0
"186",186,381000,2620,5,4,1,2,0,1965,2,28093,0
"187",187,250000,1480,3,3,1,2,0,1984,2,14230,0
"188",188,360000,2588,3,3,1,2,1,1968,2,19004,0
"189",189,369500,3138,4,4,1,2,0,1969,2,18190,0
"190",190,285400,2460,5,4,1,2,0,1979,2,27492,0
"191",191,409000,3566,4,4,1,2,0,1976,2,18044,0
"192",192,333000,2692,5,4,1,3,0,1984,2,22020,0
"193",193,362000,2958,5,4,1,3,0,1987,2,45200,0
"194",194,387500,3164,4,4,1,2,1,1966,2,23856,0
"195",195,239000,2058,3,3,1,2,0,1969,2,21046,0
"196",196,299900,2717,3,4,1,2,0,1983,2,22083,0
"197",197,335000,2920,4,3,1,3,0,1987,2,22434,0
"198",198,275000,2554,5,3,1,2,0,1960,2,21820,0
"199",199,328000,2805,3,4,1,2,0,1988,2,22582,0
"200",200,333000,2736,4,3,1,2,1,1979,2,29591,0
"201",201,397000,3516,5,7,1,3,0,1996,2,34795,0
"202",202,374800,3536,6,4,1,2,1,1978,2,19997,0
"203",203,520000,2138,5,3,1,3,0,1956,2,86830,0
"204",204,325000,2718,4,4,1,3,0,1978,2,22842,0
"205",205,295000,2178,5,3,1,2,0,1958,2,25891,0
"206",206,415000,3152,5,4,1,2,0,1980,2,24446,0
"207",207,224900,2611,3,3,1,2,0,1987,2,6924,0
"208",208,265000,2060,4,3,1,2,0,1981,2,13091,0
"209",209,299900,2448,4,4,1,3,0,1979,2,26790,0
"210",210,390000,4050,6,5,1,2,1,1966,2,18262,0
"211",211,271000,2414,3,3,1,2,0,1914,2,24357,0
"212",212,330000,3072,4,3,1,2,0,1966,2,16431,0
"213",213,350000,2525,3,3,1,3,0,1983,2,27138,0
"214",214,310000,2866,5,3,1,3,0,1961,2,25249,0
"215",215,340000,3246,4,4,1,3,0,1987,2,52218,0
"216",216,307000,2707,4,4,1,2,0,1992,2,22094,0
"217",217,304000,2300,5,3,1,2,0,1961,2,35824,0
"218",218,275900,1860,3,3,1,2,0,1957,2,40741,0
"219",219,315000,3636,5,3,1,2,0,1976,2,19776,0
"220",220,295000,1910,4,3,1,2,0,1968,2,30996,0
"221",221,251010,2280,4,2,1,2,0,1956,2,25543,0
"222",222,335000,3386,4,5,0,2,0,1965,2,38428,0
"223",223,343500,2324,5,4,1,3,0,1967,2,22435,0
"224",224,297000,1970,4,3,1,2,0,1972,2,25814,0
"225",225,281000,2062,3,3,1,2,1,1977,2,23608,0
"226",226,235000,2617,4,3,1,2,0,1985,2,8903,0
"227",227,237000,2612,4,3,1,2,0,1985,2,10144,0
"228",228,274900,2472,3,3,1,2,0,1969,2,22451,0
"229",229,229900,1922,4,2,1,2,0,1957,2,15791,0
"230",230,259000,1852,3,2,1,2,0,1984,2,22204,0
"231",231,245000,2239,3,3,1,2,0,1986,2,22216,0
"232",232,208000,2068,3,2,1,2,0,1979,2,34773,0
"233",233,421000,2101,3,3,0,2,0,1956,2,65499,0
"234",234,320000,2200,4,3,1,2,0,1968,2,31450,0
"235",235,256000,1972,3,3,0,2,0,1989,2,32027,0
"236",236,275000,2007,3,3,1,2,1,1959,2,21311,0
"237",237,222000,2612,4,3,1,2,0,1985,2,8229,0
"238",238,249900,2124,4,1,1,3,0,1974,2,21834,0
"239",239,273500,2612,4,3,1,2,0,1985,2,8924,0
"240",240,218500,2548,2,2,1,2,0,1984,2,10210,0
"241",241,377000,2767,3,3,1,3,0,1941,2,75232,0
"242",242,220000,2025,3,3,1,2,0,1989,2,19618,0
"243",243,192900,1956,4,2,1,2,0,1962,2,21779,0
"244",244,298750,2460,4,3,1,2,0,1967,2,23907,0
"245",245,315000,2764,3,3,1,3,0,1972,2,23947,0
"246",246,315000,2004,4,3,1,2,0,1967,2,24453,0
"247",247,465900,2852,4,3,1,2,1,1961,2,34040,0
"248",248,239500,2096,3,3,1,2,0,1977,2,15237,0
"249",249,276000,2330,3,3,1,2,0,1989,2,17433,0
"250",250,226000,2520,4,3,1,2,0,1978,2,12145,0
"251",251,235000,2528,3,3,1,2,0,1977,2,26469,0
"252",252,247000,2030,4,3,1,3,0,1988,2,23202,0
"253",253,182000,2208,2,2,1,2,0,1985,2,6734,0
"254",254,180000,1500,2,1,1,0,0,1938,2,39776,0
"255",255,249000,2078,5,3,1,2,0,1965,2,21512,0
"256",256,260000,2442,4,3,1,2,0,1969,2,21149,0
"257",257,219900,2612,3,3,1,2,0,1986,2,11288,0
"258",258,295000,2268,4,3,1,3,0,1972,2,23976,0
"259",259,290000,2734,4,3,1,2,0,1971,2,23488,0
"260",260,300000,2228,4,3,1,2,0,1982,2,21232,0
"261",261,354900,3000,5,4,1,3,0,1973,2,21643,0
"262",262,261000,2404,5,3,1,3,1,1973,2,17791,0
"263",263,174500,1840,3,2,1,2,0,1960,2,16356,0
"264",264,244900,2107,3,2,0,2,0,1947,2,30050,0
"265",265,274900,2788,4,3,1,2,0,1984,2,18960,0
"266",266,214000,2416,3,3,1,2,0,1984,2,15594,0
"267",267,283000,2430,3,4,1,3,0,1984,2,18164,0
"268",268,177900,1584,3,2,1,2,0,1989,2,13947,0
"269",269,237500,1873,3,3,1,2,0,1978,2,21998,0
"270",270,202150,1644,4,3,1,2,0,1976,2,19499,0
"271",271,235000,2400,4,3,1,2,0,1976,2,44347,0
"272",272,217000,2094,4,3,1,2,0,1984,2,18617,0
"273",273,285000,2561,3,3,1,3,0,1981,2,18985,0
"274",274,217500,1752,3,2,1,2,0,1976,2,24053,0
"275",275,210000,1738,5,3,1,2,0,1983,2,15206,0
"276",276,183340,2068,3,2,1,3,0,1977,2,24325,0
"277",277,252000,2428,4,3,1,2,0,1966,2,22727,0
"278",278,237000,2090,4,2,1,2,0,1969,2,22055,0
"279",279,205000,1820,3,2,1,2,0,1944,2,28023,0
"280",280,285000,3219,4,4,1,2,0,1944,2,28200,0
"281",281,210000,2654,3,5,1,2,0,1962,2,28882,0
"282",282,280000,1802,4,3,1,2,0,1956,2,27700,0
"283",283,207000,1765,3,2,1,2,0,1976,2,22983,0
"284",284,221000,2786,4,3,1,2,0,1976,2,22875,0
"285",285,257000,1794,3,2,1,2,0,1960,2,21691,0
"286",286,274000,2768,3,3,0,2,0,1921,2,26268,0
"287",287,262000,2288,3,2,1,2,0,1963,2,16975,0
"288",288,204400,2028,3,2,1,2,0,1951,2,26777,0
"289",289,254900,2620,5,3,1,2,0,1966,2,27989,0
"290",290,244000,1644,3,3,1,2,0,1980,2,32164,0
"291",291,213000,1888,3,2,1,3,0,1958,2,14757,0
"292",292,240000,2116,4,3,1,2,0,1964,2,22041,0
"293",293,235000,2313,4,3,1,2,0,1972,2,24705,0
"294",294,206000,1824,4,2,1,2,0,1959,2,14748,0
"295",295,237000,1942,4,3,1,2,0,1972,2,23105,0
"296",296,274000,2184,4,3,1,2,0,1977,2,19090,0
"297",297,275000,2578,3,3,1,2,0,1965,2,22299,0
"298",298,218400,2036,4,3,1,2,0,1960,2,21996,0
"299",299,156000,1384,2,1,0,2,0,1961,2,26706,0
"300",300,220000,1826,4,3,1,2,0,1952,2,19870,0
"301",301,171500,1681,3,2,1,1,0,1957,2,15985,0
"302",302,180000,1726,3,2,1,2,0,1962,2,26769,0
"303",303,204000,1910,3,2,1,2,0,1958,2,15423,0
"304",304,307000,2664,4,3,1,2,0,1962,2,22684,0
"305",305,265000,2116,3,3,1,2,0,1976,2,33344,0
"306",306,209900,2030,3,3,1,2,0,1959,2,21914,0
"307",307,173000,1940,3,2,0,2,0,1956,2,11610,0
"308",308,189000,1676,3,3,0,2,0,1965,2,21780,0
"309",309,222500,2120,3,2,1,2,1,1959,2,17883,0
"310",310,265000,2152,4,3,1,2,0,1987,2,26075,0
"311",311,264670,1984,4,3,1,2,0,1966,2,31204,0
"312",312,200750,1575,3,3,1,2,0,1957,2,25543,0
"313",313,227900,1798,3,3,1,2,0,1978,2,17820,0
"314",314,255000,2017,3,1,0,1,0,1958,2,86571,0
"315",315,208500,1904,3,3,1,2,0,1978,2,15559,0
"316",316,226900,1718,3,3,1,2,0,1976,2,49613,0
"317",317,215000,1776,4,2,0,1,0,1980,2,22839,0
"318",318,222950,2609,4,3,1,2,0,1961,2,26087,0
"319",319,239900,2226,3,3,1,2,0,1955,2,13520,0
"320",320,176000,1556,2,1,1,3,0,1959,2,15623,0
"321",321,228000,1764,2,2,1,2,0,1985,2,8105,0
"322",322,204900,1626,3,3,1,2,1,1968,2,15288,0
"323",323,258000,2012,5,3,1,2,0,1967,2,21303,0
"324",324,241850,2090,4,4,1,2,0,1963,2,22010,0
"325",325,198500,2192,4,2,1,2,0,1963,2,22851,0
"326",326,243000,2228,4,4,1,2,0,1965,2,21881,0
"327",327,187000,1825,4,2,1,2,0,1963,2,15810,0
"328",328,233000,2132,4,3,1,2,0,1966,2,17159,0
"329",329,205000,2160,3,2,1,2,0,1983,2,16555,0
"330",330,205000,1974,3,2,1,2,0,1954,2,26196,0
"331",331,189000,1696,3,3,1,2,0,1968,2,31851,0
"332",332,204900,2132,3,3,1,2,0,1969,2,23986,0
"333",333,239000,1814,4,3,1,2,1,1979,2,24698,0
"334",334,193000,1796,3,2,1,2,0,1963,2,29281,0
"335",335,260000,2268,5,3,1,2,0,1971,2,35240,0
"336",336,188000,1719,2,3,1,2,0,1960,2,22009,0
"337",337,190500,1704,3,2,1,2,0,1984,2,22583,0
"338",338,230000,2142,3,2,1,2,0,1959,2,22223,0
"339",339,240000,1705,4,2,1,2,0,1972,2,42322,0
"340",340,235000,1752,4,3,1,2,0,1978,2,39267,0
"341",341,275000,2554,5,3,1,2,1,1966,2,22381,0
"342",342,205000,1650,3,2,1,2,0,1965,2,27235,0
"343",343,280000,2816,5,3,1,2,0,1946,2,29109,0
"344",344,190000,1919,3,4,1,2,0,1938,2,20093,0
"345",345,232500,2080,3,2,1,2,0,1968,2,32021,0
"346",346,259500,2108,4,4,1,2,0,1978,2,24685,0
"347",347,275000,2480,3,3,1,2,0,1964,2,22144,0
"348",348,183900,1746,3,2,1,2,0,1974,2,52136,0
"349",349,290000,2703,3,3,0,4,0,1963,2,43599,0
"350",350,217950,1640,4,2,1,2,0,1979,2,21314,0
"351",351,220000,2196,4,3,1,2,0,1972,2,17899,0
"352",352,185000,1701,3,2,1,1,0,1982,2,21938,0
"353",353,288000,2250,3,2,1,2,0,1949,2,23684,0
"354",354,197500,2502,4,2,1,2,0,1964,2,23749,0
"355",355,179975,1762,4,3,1,2,0,1959,2,15742,0
"356",356,195000,2016,4,3,1,2,0,1963,2,18102,0
"357",357,228400,1904,3,3,1,2,1,1976,2,14945,0
"358",358,194750,1652,5,2,1,2,0,1960,2,24644,0
"359",359,195000,2042,4,3,0,2,0,1963,2,21849,0
"360",360,210000,2019,4,3,1,3,0,1960,2,14837,0
"361",361,239550,2791,5,3,1,3,0,1946,2,22863,0
"362",362,242000,2514,4,3,1,1,0,1953,2,17535,0
"363",363,185000,1746,3,2,1,2,0,1984,2,12386,0
"364",364,175000,1930,3,2,1,2,0,1956,2,15923,0
"365",365,165000,1552,3,1,1,3,0,1959,2,27068,0
"366",366,185000,1566,4,2,1,2,0,1993,2,13504,0
"367",367,173194,1669,3,2,1,2,0,1964,2,24643,0
"368",368,205150,1814,3,3,1,2,0,1978,2,18714,0
"369",369,214200,1794,3,3,1,3,0,1976,2,24308,0
"370",370,182500,1691,3,2,1,2,1,1968,2,21961,0
"371",371,205000,1834,4,3,1,2,0,1959,2,30726,0
"372",372,208000,1984,5,3,1,2,0,1961,2,22047,0
"373",373,225000,1966,4,3,1,2,0,1962,2,24871,0
"374",374,170000,1669,3,2,1,2,0,1967,2,21253,0
"375",375,216000,2132,4,3,1,2,0,1976,2,41332,0
"376",376,180000,2007,4,3,1,2,0,1959,2,15992,0
"377",377,169200,1964,4,2,1,2,0,1964,2,18162,0
"378",378,213000,2325,4,3,1,3,0,1973,2,16699,0
"379",379,210000,2196,4,3,1,2,0,1965,2,29329,0
"380",380,185000,2061,3,2,1,2,0,1956,2,25379,0
"381",381,179900,1828,3,2,1,2,0,1956,2,37150,0
"382",382,196000,1956,4,3,1,2,0,1968,2,20486,0
"383",383,219900,1852,6,3,1,2,0,1968,2,20800,0
"384",384,159900,1795,1,2,1,2,0,1980,2,26467,0
"385",385,170000,1580,2,1,0,1,0,1950,3,10799,0
"386",386,169900,1708,3,1,0,1,0,1950,3,11413,0
"387",387,189500,1700,4,2,0,2,0,1953,3,14023,0
"388",388,195000,1742,1,1,1,2,0,1961,3,18250,0
"389",389,215000,1890,4,2,1,2,0,1961,3,22110,0
"390",390,171000,1512,2,1,0,1,0,1956,3,14774,0
"391",391,179900,1840,3,1,0,2,0,1953,3,40832,0
"392",392,120000,1060,2,1,0,2,0,1947,3,15001,0
"393",393,175000,1540,3,2,0,2,0,1957,3,45458,0
"394",394,232900,1550,4,2,1,2,1,1962,3,14998,0
"395",395,229900,2787,4,2,1,1,0,1922,3,39558,0
"396",396,174900,1528,2,2,1,2,0,1982,3,25193,0
"397",397,168900,1928,2,2,0,2,0,1941,3,26393,0
"398",398,229500,2329,3,2,1,2,0,1960,3,28179,0
"399",399,236000,1940,4,3,1,2,0,1959,3,15073,0
"400",400,205500,2114,5,2,1,2,0,1966,3,14526,0
"401",401,212000,1799,3,2,1,2,0,1962,3,16210,0
"402",402,205000,1864,3,2,1,2,0,1940,3,25628,0
"403",403,193000,1581,3,2,1,2,0,1956,3,15064,0
"404",404,180000,1652,3,2,1,2,0,1959,3,21875,0
"405",405,184000,1592,4,2,0,2,0,1977,3,25943,0
"406",406,144900,1520,3,1,0,1,0,1953,3,36359,0
"407",407,255000,1792,2,2,1,2,0,1955,3,31257,0
"408",408,137000,1464,2,1,0,1,0,1957,3,14999,0
"409",409,178000,1702,3,2,0,2,0,1961,3,21898,0
"410",410,296000,2180,3,2,1,2,0,1952,3,29617,0
"411",411,186500,1486,2,2,1,2,0,1958,3,18479,0
"412",412,170000,1364,2,1,0,2,0,1942,3,26369,0
"413",413,219000,1540,4,2,1,2,0,1977,3,30691,0
"414",414,188000,1608,4,2,1,2,0,1969,3,19380,0
"415",415,195250,1668,3,1,1,2,0,1956,3,17060,0
"416",416,175000,1944,3,2,1,2,0,1951,3,43562,0
"417",417,215000,1883,4,2,1,2,1,1956,3,19932,0
"418",418,197500,2215,4,1,0,2,0,1948,3,25540,0
"419",419,249900,1916,2,2,1,2,0,1954,3,20576,0
"420",420,180000,1508,2,2,1,2,0,1959,3,32469,0
"421",421,174900,1809,3,1,1,2,0,1958,3,16782,0
"422",422,189900,1958,4,3,0,2,0,1935,3,22788,0
"423",423,154000,1592,2,1,1,2,0,1951,3,10332,0
"424",424,150000,1636,2,1,1,2,0,1950,3,10000,0
"425",425,189900,1800,3,2,0,2,0,1964,3,13566,0
"426",426,157000,1600,3,1,0,2,0,1950,3,10807,0
"427",427,182000,1550,3,1,1,2,0,1966,3,15100,0
"428",428,187650,1578,3,1,1,2,0,1958,3,14631,0
"429",429,175000,1644,3,1,1,2,0,1956,3,12999,0
"430",430,189900,1556,3,2,1,1,0,1959,3,19840,0
"431",431,175000,1672,3,1,1,2,0,1949,3,22617,0
"432",432,159900,1650,2,2,1,1,0,1957,3,14997,0
"433",433,184900,1676,3,2,0,2,0,1956,3,16156,0
"434",434,174900,1960,2,2,0,2,0,1947,3,16953,0
"435",435,143000,1649,3,1,1,1,0,1951,3,20096,0
"436",436,164900,1728,3,1,1,1,0,1950,3,10999,0
"437",437,173500,1586,3,2,1,1,0,1958,3,15862,0
"438",438,161800,1592,2,1,0,1,0,1951,3,18686,0
"439",439,148000,1514,2,2,1,1,0,1964,3,16209,0
"440",440,177000,1952,4,2,1,2,0,1963,3,24377,0
"441",441,149900,1550,3,1,1,2,0,1956,3,14311,0
"442",442,170000,1544,2,2,0,1,0,1957,3,14942,0
"443",443,142000,1566,3,1,0,1,0,1959,3,15228,0
"444",444,186900,1650,3,2,1,2,0,1961,3,22000,0
"445",445,152900,1392,2,2,0,2,0,1951,3,29199,0
"446",446,350000,2981,5,4,1,2,0,1950,3,49756,0
"447",447,130000,1412,2,1,0,1,0,1940,3,16752,0
