"","game1","game2","game3","game4","game5","game6","game7","game8","game9","game10"
"38",14676,25637,21347,23192,30857,27736,32766,18200,19783,20470
"39",24222,18989,20080,19152,28625,28292,30498,40969,23918,29110
"40",44598,28363,24585,19165,21720,14867,15565,22570,26915,25242
"41",22659,14084,28955,27757,34699,13862,23279,35501,25698,33305
"42",28445,25818,30485,14195,22960,28637,33046,29603,26162,31843
"43",25083,18368,24849,24017,27220,22715,28917,37368,14220,28504
"44",20663,21225,14102,23444,27007,16436,36631,20442,11327,24315
"45",39111,34577,32664,29733,27768,22371,15953,11662,17927,14303
"46",19072,29370,19691,15769,19166,14691,29822,15989,24127,28476
"47",32209,36363,14438,30547,21660,23916,33684,21357,29076,24438
"48",22059,33463,23652,23725,29178,30491,19459,31881,21184,19681
"49",11001,24127,26901,20755,32452,28720,25599,35846,15985,26713
"50",30074,19027,23458,24664,22329,25418,24071,20012,29569,21540
"51",21241,27888,35171,14432,26188,27384,25175,40361,32542,21792
"52",21248,30483,31043,29315,21371,28234,24539,36099,19870,25195
"53",18849,19106,25024,23599,22006,34298,25524,32912,19112,23526
"54",16576,33645,19111,33845,19052,24433,7749,23518,25088,13485
"55",23273,22920,13962,30391,17722,23686,28385,21847,29466,25773
"56",33929,21023,18036,27152,23830,23228,27979,27909,25112,28808
"57",29526,30001,30794,32763,24180,22359,17636,23574,19438,27467
"58",23806,21655,19137,25364,21416,17446,16539,31607,20936,20426
"59",23249,21548,22336,23124,21381,18436,29288,24347,16337,29836
"60",14560,22592,23274,19369,26726,15967,34115,27204,35199,28865
"61",14873,28885,27692,31157,31449,27749,28789,21517,34505,14416
"62",13716,17249,30458,18353,22695,25496,22096,12491,32005,24539
"63",28182,25029,21818,25613,29892,15960,18056,32809,19566,25093
"64",16431,29127,28565,23378,34324,21935,23248,31608,27751,30111
"65",33797,26463,28896,21153,27786,23144,32656,24714,25180,24978
"66",12792,19043,36783,29239,25238,24048,24026,27632,29684,19112
"67",24150,17462,22425,28052,16318,31117,32071,24938,26611,33052
"68",21498,19377,18087,19148,20731,27231,19338,23353,25926,17268
"69",33514,32846,14170,22095,22760,26014,17962,22742,29698,30947
"70",26375,27021,21116,22340,31970,25390,20905,34806,21490,31779
"71",28487,27275,23135,30318,15148,19068,23535,25936,25612,23275
"72",23240,27816,21024,11857,25023,30177,30881,23249,24633,34071
"73",21138,24214,27911,21128,22216,28403,20659,27735,17812,12890
"74",28718,24202,22390,21869,30953,18487,30758,18765,24172,23711
"75",28442,14341,23461,24168,28346,31734,19107,26961,27686,32102
"76",24468,31881,25520,23229,28073,26699,27307,31028,23284,23575
"77",23777,31434,36701,30786,31230,35613,21570,16178,18337,26526
"78",25140,8704,32111,23681,24659,27439,17143,20759,31203,36836
"79",29125,29429,14750,31315,31739,22872,26129,30542,37916,18341
"80",31177,33262,30488,26761,24089,25989,30211,18531,17666,20731
"81",16455,14983,33275,19481,21973,18191,28076,28167,32129,22227
"82",32446,25822,17202,31908,34080,29812,22416,16931,25224,16925
"83",14115,29224,23205,22606,21140,32893,15490,22333,28397,26741
"84",21306,24627,23844,35098,25615,21070,32119,17365,28228,32385
"85",18005,26945,30705,31704,34143,36508,26201,19916,20458,29170
"86",15562,28001,18070,19448,27051,21462,20029,21017,33498,16770
"87",25653,22199,42770,24053,35916,30182,15601,28092,29177,25152
"88",13289,38472,23873,16592,32490,23517,26473,20327,14254,23994
"89",29505,24897,25165,26332,27391,23430,23180,20598,16708,16349
"90",20282,20545,22654,17705,19657,33989,27231,26566,24852,19493
"91",21448,22774,25527,24791,35838,22958,20506,15165,18992,40574
"92",26819,30452,26247,26068,24005,28342,33666,30408,23667,25637
"93",16304,31831,35882,15933,24891,19718,17815,31412,32000,37179
"94",28001,14063,27934,20836,23805,26451,25422,29764,21067,20935
"95",26102,30266,22646,20986,18939,20495,23298,18005,29147,12660
"96",24074,16330,32296,21932,31771,22482,23723,18876,6505,34876
"97",16532,40390,26953,21606,29193,30284,23633,25817,36060,16567
"98",24705,29764,16515,14260,33126,20513,18775,24782,21673,21646
"99",16480,19552,30085,27996,21173,39493,33885,20566,24413,5581
"100",30742,28356,22013,23836,25518,31105,19180,31398,29533,20780
"101",23278,36046,24059,16661,16161,24582,26435,26502,23413,13147
"102",22300,30558,11080,28683,16161,23685,16579,29923,21443,27531
"103",20199,17900,15942,18064,22870,33312,28417,21169,26438,18995
"104",21308,25946,41104,26376,25601,11184,32055,32490,15260,24984
"105",19976,25713,21993,31152,26306,25513,27326,14094,17952,33199
"106",26143,27442,16566,38033,21762,27921,23430,30539,19534,30902
"107",31018,20255,15051,27405,10911,29382,29531,29731,22947,35943
"108",24111,19170,22665,17418,17330,26226,25279,21767,23687,24068
"109",23162,35615,21441,29136,22959,18630,19364,25941,21569,25949
"110",27044,29412,18851,33180,13508,13456,31814,32447,18054,27979
"111",17008,34555,25371,24124,22937,17516,30060,24987,27951,20115
"112",22417,26419,14474,19283,21226,28376,19280,18432,27469,20402
"113",31040,14806,22695,20147,21850,29289,29212,20387,13737,20376
"114",33003,24878,19708,25052,29936,36087,28247,19057,38662,25528
"115",33526,32810,12772,34845,24340,19972,25448,25487,25154,24112
"116",34017,31192,27024,21511,32469,29143,22497,22061,23546,24081
"117",27342,30341,26350,14924,27161,31656,17162,13671,29762,22692
"118",28089,23575,35449,32225,28935,30035,30752,31814,19445,34561
"119",16504,12109,23890,28803,27414,28533,25652,21414,25893,35868
"120",23373,28002,27983,32371,18463,22769,26750,22491,26108,23494
"121",19244,15278,29935,25652,29565,11162,31384,27059,22271,28227
"122",26678,28789,28177,25994,25859,21363,27739,21795,32875,25641
"123",33668,22901,23782,30059,31805,18195,30039,31590,22356,29228
"124",21095,21818,23937,20813,33851,24734,22448,15166,25391,20327
"125",22502,22850,14912,27745,26217,27411,19831,13763,36628,33421
"126",22204,16291,23835,24682,12486,23234,25425,35082,18298,39417
"127",32530,24581,22714,27361,32593,33586,26055,20261,31577,31242
"128",21405,18621,24187,27075,23587,18702,19879,29891,29079,26990
"129",21028,24022,18217,30360,14230,23506,23531,21144,39770,38273
"130",21894,27660,26968,27677,27936,20963,11995,22305,29017,21507
"131",26943,20284,26307,27859,25419,18754,31998,24560,17289,20867
"132",25546,19943,13967,18804,24313,25394,33805,20853,19568,20745
"133",30785,19686,24106,37405,17220,19918,22173,15250,26092,12430
"134",22541,19651,20603,31678,29095,35511,31099,25840,21128,26279
"135",26653,23211,16027,29329,20036,17383,25202,22492,30694,22463
"136",31703,26736,26202,23642,32159,22263,21027,26256,26207,36992
"137",24657,29821,24735,34207,28400,28894,26715,19512,21344,28345
"138",18793,32378,17246,17892,18134,25553,31564,15625,22565,25440
"139",15486,23450,23813,31232,29003,17142,18159,20508,12315,17981
"140",29821,22551,29520,29779,20445,22233,36426,22908,26312,31869
"141",24258,25884,17554,37025,20368,17926,21581,35528,14347,23741
"142",17595,18817,25161,27856,35018,22627,27618,8392,25858,34888
"143",28042,24445,24080,21494,27855,27639,33917,12282,25131,21438
"144",23332,23260,20625,26761,20696,15609,31509,23429,23798,24733
"145",18073,28699,26965,16796,26662,23462,29934,23557,26653,33050
"146",35809,18538,24307,16793,27865,26836,21582,19219,39171,24887
"147",26786,19872,34045,32314,25701,25558,30119,23489,24111,13792
"148",27759,41871,26917,17586,30053,28580,27197,25558,28570,22199
"149",15383,28416,26542,31496,17685,15816,15087,29717,31351,20568
"150",24166,16480,30211,15250,25858,29262,24667,26030,21165,21023
"151",25472,24691,23435,34397,22767,35451,18406,30197,28208,16634
"152",33976,17545,18839,21612,18561,22853,21523,24450,22834,10335
"153",22484,22793,21620,16661,21205,34665,23563,21428,24025,8781
"154",17732,28634,26684,22261,25102,38237,11613,29514,28611,28748
"155",30455,24116,30867,27712,30700,17726,27856,32596,25639,18937
"156",32073,13970,17726,20366,22899,35087,11256,24971,23779,29199
"157",26808,15020,22052,22841,35014,30648,34736,30346,21813,31122
"158",31691,26173,33091,25815,34326,24166,24275,29513,26987,15385
"159",20363,18262,27345,18271,24600,30973,11271,24179,29924,19123
"160",29027,29212,23126,24286,26346,18257,31490,32569,29909,28114
"161",21313,41966,34001,24770,19999,27650,22828,22640,25988,23358
"162",27858,29386,20582,32826,27519,34032,13557,31655,24847,25482
"163",25546,27131,15727,24753,25508,29894,22929,25289,23751,26372
"164",17409,15271,20588,14908,33785,34461,8999,25234,31471,15861
"165",23651,23279,26602,26278,28115,37029,31409,21856,29378,31430
"166",30305,24406,12748,37322,28689,35617,33067,26969,31231,29301
"167",29388,30413,34215,17767,13277,22420,28234,22277,23297,26587
"168",20681,22152,24252,18624,36789,14368,30457,13725,17179,32048
"169",25863,29317,28180,27100,22930,26993,14266,16055,18147,26255
"170",25972,25049,22367,31811,24242,21831,29908,14095,26034,25827
"171",29889,16200,27635,29044,21393,36907,26049,35607,23146,27656
"172",19992,35293,23587,32068,26946,25385,34361,27066,17554,18683
"173",22417,36387,13724,24570,38397,27505,32079,35166,30690,28594
"174",15791,13557,18188,25200,24180,32680,25857,19995,21923,13568
"175",34041,14923,30866,32084,32842,26142,20041,30927,26024,20588
"176",26095,29931,25604,29577,24525,28947,21864,19747,21370,33346
"177",23120,22396,29666,23286,40126,28619,35403,28230,14575,32580
"178",28419,18802,28393,30901,19550,17247,29636,20406,29643,31145
"179",30094,26196,16981,27164,25834,19997,24008,18688,26206,13172
"180",23133,27746,14716,20094,22543,31653,37354,24423,18247,25301
"181",23897,26424,21575,29073,16207,18173,19062,29757,26518,20488
"182",21485,33546,19418,31677,34639,17486,34807,23669,34093,24166
"183",15769,19332,21526,28660,24921,16439,31159,26270,21929,30712
"184",33937,21729,17657,14391,28757,22712,29443,37048,32465,21750
"185",15418,35546,35275,20619,33736,31291,29796,21623,25709,22738
"186",30508,23714,31711,25098,18140,31421,26946,21071,20323,19276
"187",24851,32206,29289,22384,29653,15150,29044,33264,31170,21364
"188",21675,23312,17609,32845,13793,24099,23899,24531,24752,31988
"189",22316,36717,30187,31431,14420,20359,25730,19911,19066,33501
"190",12722,20373,28434,23941,19291,34987,26692,13336,22352,34474
"191",36881,29014,25192,11692,33599,20524,27718,17791,28604,9589
"192",38747,20711,28908,13362,26239,37664,31539,27468,22123,23939
"193",43234,22474,21688,21248,18149,27381,26042,32152,27651,17403
"194",23102,25581,38510,18695,23592,29761,21236,22272,20752,14251
"195",6727,24415,17219,26147,29866,20589,24372,20826,25018,19940
"196",20895,30075,21255,30308,26356,21633,21711,26982,20479,31990
"197",23329,21718,23324,26272,26093,17755,34327,14573,22724,31791
"198",24853,19621,22659,18528,30787,29537,23327,18698,18316,33113
"199",29731,11512,25287,40150,18901,14676,11488,23660,20395,30578
"200",17259,21578,30767,23727,21799,25013,22919,22084,26300,18109
"201",27666,25071,24944,23185,27954,21383,20906,26720,25993,19947
"202",20067,16423,25808,28779,31723,30533,37651,29778,8956,23630
"203",25316,25994,24013,38332,29681,30427,17242,12531,29576,14388
"204",12444,31245,29355,19760,20908,20101,35520,16044,24167,28555
"205",24798,23755,23855,37341,21092,20813,31276,24700,35481,27401
"206",28335,37473,20865,33013,21414,24595,18288,26863,27474,16175
"207",16984,28898,23952,13041,23017,27479,18476,25288,21140,33386
"208",26248,28503,43141,31548,23628,22201,27518,22509,32011,29760
"209",27284,27010,27763,24677,27077,26337,14620,19233,22424,26329
"210",29096,27053,31042,19309,23652,11902,31379,20901,21142,36023
"211",29168,18541,27755,18160,25831,32393,35983,26910,29643,21222
"212",20391,20121,32582,17106,20117,33759,27880,15477,26432,22561
"213",29951,18010,33633,26344,35969,22765,25476,21389,25982,23834
"214",23245,28697,28366,11967,14231,28529,15564,31138,25455,24331
"215",15029,20976,29803,31606,17507,30303,31550,14908,22693,25693
"216",23157,20906,27612,26504,38535,21201,25729,19433,19746,23385
"217",29097,33582,22735,20233,26562,32488,29673,24814,15353,21038
"218",30562,31141,17697,26049,21079,37090,26341,17289,27900,22120
"219",22825,26845,31896,19223,40096,30533,14240,15477,24742,23440
"220",27325,28862,14779,31871,22668,23814,40553,32722,23536,25037
"221",21028,22919,33038,28554,29313,22531,31977,30412,26275,23419
"222",20009,17856,16915,21326,27850,21898,29219,26704,20757,25596
"223",26566,20687,35727,31837,23337,27710,33950,24801,24718,13512
"224",24921,25356,18099,25026,19698,29026,25029,23913,27303,19283
"225",22797,26888,20744,27576,20617,25160,28390,17175,28554,31323
"226",23623,20191,21808,28210,21598,10778,34951,36235,11648,16892
"227",20882,29813,28497,15282,22411,30988,26038,26988,26112,35044
"228",23146,37076,19046,15858,21164,20153,22406,23533,16636,21033
"229",40607,28826,23564,37872,31181,31818,24936,25650,31635,19595
"230",23175,26382,23599,26349,34303,35790,19762,25397,21488,25547
"231",23984,30276,25827,28086,27367,15492,28532,25950,21831,15456
"232",20047,18861,32266,29495,29723,26120,23444,20512,23381,34548
"233",27396,23894,23871,24782,32910,22776,20415,26268,27329,30712
"234",20443,27655,24259,20750,18468,16428,24976,20772,23245,22023
"235",37397,34955,20810,37543,18705,32440,26864,21205,19812,30755
"236",30775,19285,29802,29817,20373,12044,24106,22683,21839,33793
"237",25213,27753,25300,33872,29056,28583,16173,27120,29965,24600
"238",38503,28354,18975,30399,25910,23192,25307,26749,26468,25496
"239",24757,29540,35323,23641,25657,28229,25463,22229,29595,35019
"240",30453,28308,17618,23919,16686,25370,17831,32302,27586,22259
"241",33145,23067,18360,25229,29462,16503,20043,31670,21591,34629
"242",30486,26715,22823,20077,25785,26287,27940,28130,31635,28048
"243",17611,21424,31425,21121,29321,22996,32710,24368,24310,22484
"244",17433,25511,25642,36960,16912,20845,6778,32887,27128,27875
"245",34869,29561,29634,23075,31298,19945,25308,34245,31502,7832
"246",23818,30142,21368,26218,28809,27186,24824,18857,26782,19079
"247",20532,30093,29858,25598,29129,24985,22841,32129,12576,14682
"248",24679,21545,26813,21558,33979,17448,24483,34330,22150,14883
"249",36056,26333,23850,19816,22216,31796,22760,31223,23019,32648
"250",22998,33193,20282,28956,28641,38532,29574,14799,24329,23812
"251",21806,22780,32025,22212,23187,33348,22302,19920,24803,25910
"252",33485,14081,25360,32073,23103,29569,22105,29547,20079,35704
"253",27076,27557,17147,24352,32470,27687,22684,25340,28512,22308
"254",20306,34579,15083,19909,24222,22264,24526,31546,17649,31532
"255",41355,28711,22201,17277,29711,28379,28695,24296,24710,24082
"256",26058,30567,26879,27436,18270,21480,27023,27932,22808,22961
"257",23340,13193,30240,29283,29518,26550,21103,23454,23784,29566
"258",15834,35940,25237,27135,24115,12422,23896,35223,34905,33056
"259",33408,24274,26846,21875,26508,31060,31814,23426,15980,30555
"260",32631,38736,19845,25390,31381,23042,35658,15139,20305,25092
"261",25571,30947,27569,31709,20562,12616,27338,22087,11652,17881
"262",28661,34084,27172,34890,25536,29371,28329,30077,23134,30106
"263",31155,26897,20634,21682,22819,20197,24034,35716,13323,16976
"264",28763,17682,20932,26888,30217,30337,23821,21393,23957,19659
"265",26508,24206,26177,27238,22367,18120,25556,28966,30043,31636
"266",28552,25230,25863,24369,18731,16094,25992,18771,27727,28844
"267",38071,29149,25734,24152,20334,24888,24322,23095,24090,27835
"268",26779,27305,16984,27730,22266,21478,21817,29884,22185,20625
"269",23194,34620,25550,30587,27056,23596,29037,31233,32946,27355
"270",25152,23894,26253,29922,32942,30937,24645,24732,29032,20296
"271",19375,27621,27167,29622,24410,32732,27601,19634,21002,27487
"272",27781,23304,27761,21480,39371,23552,19842,28002,25831,22337
"273",21396,29234,16901,18054,35208,26243,32606,13295,26701,21244
"274",28544,33974,24909,32655,22681,34081,32770,25992,29132,27065
"275",27040,25974,29720,24336,22568,27970,22494,10188,30044,33111
"276",32336,34119,26696,15691,22172,28509,18884,24588,21145,29653
"277",25305,24523,35307,27938,22229,25959,31183,31780,27676,25741
"278",31107,25239,30149,29838,20938,16763,29041,28336,22641,23802
"279",27680,29110,30403,27833,26995,30721,29499,26820,26330,33374
"280",42517,25642,24599,18141,21463,27871,21759,39990,22019,22404
"281",23340,19873,33909,15416,27249,32963,16297,31674,20933,21308
"282",23563,17295,23398,21918,22071,25150,33526,28149,36953,24212
"283",23715,28238,23849,15041,17677,34820,33363,29562,29241,19443
"284",32712,27453,18324,30136,19566,18873,18798,23221,14463,28870
"285",27932,18716,32647,25779,26325,28479,26895,26652,23280,26238
"286",29197,27803,19801,30310,24065,19325,23418,14115,27754,35985
"287",26091,28649,22046,19248,21113,23125,27874,29086,25514,24819
"288",28105,23219,25802,30204,23628,23298,24892,24695,24094,26379
"289",32906,14320,24243,31883,27862,23466,25555,40059,27441,25859
"290",27484,36700,24401,27753,21854,25637,12069,31540,29383,30144
"291",32573,26840,26150,28119,19214,13869,19832,19942,27371,16571
"292",16894,21506,29779,24619,23449,27780,27520,32417,20103,29645
"293",18964,20416,21589,31655,20983,20269,23308,24988,26800,24816
"294",22947,30595,11484,21555,28622,16484,25048,28657,25054,12229
"295",26632,23842,19654,28474,25902,23044,24610,11659,25237,19695
"296",30844,22320,20222,19823,20713,30852,24525,21282,32872,25459
"297",26438,30986,18171,27308,27984,27970,32352,13077,29781,22936
"298",19601,24600,23216,25261,26543,30435,24282,23623,12351,32024
"299",20593,23394,20568,20885,30436,38565,32408,33126,25502,25981
"300",27106,29468,22171,23965,24130,15457,29409,31904,19947,19832
"301",21771,27979,16348,18324,18912,28404,23715,22247,36568,33154
"302",27661,17468,25106,10608,24674,33180,23126,22237,27354,35545
"303",20911,23768,25998,28329,27379,22670,24316,25921,33171,31182
"304",20103,24369,14455,26215,29244,27708,27821,28127,30904,28556
"305",16811,21161,24645,31784,23186,25429,25969,20761,30006,28263
"306",27618,26796,16886,16254,24742,28454,30163,22816,27902,20688
"307",25583,14897,41193,24281,34198,26610,17047,26981,29668,28855
"308",34517,28998,29361,24669,16242,19318,22201,26009,28881,29520
"309",19535,18300,24093,24223,30143,21203,17160,18290,29003,24160
"310",21313,27746,26202,22724,32292,31304,21878,23344,20070,18065
"311",25689,23572,18867,20160,28989,22589,40827,27253,15339,23441
"312",16396,19702,27197,31787,17959,23728,13075,29392,37111,29891
"313",33867,20372,11674,17018,27628,21084,31658,24642,30004,25914
"314",25938,31377,21551,26584,25769,26405,17261,21696,22410,21266
"315",22264,30950,29345,25273,25239,24865,27986,20809,27432,25357
"316",29267,33162,30864,32121,29764,25412,13820,39181,25812,24815
"317",17453,26579,22590,21263,21945,26033,21216,29676,24658,20779
"318",32124,27091,38773,34490,21589,28142,35118,16445,25538,26149
"319",16770,16892,23415,29535,26065,24530,28037,13913,27151,21697
"320",19692,22392,15723,25851,23020,21578,26199,34723,36505,29703
"321",34199,31574,20823,33251,10769,23645,25864,26497,23640,21860
"322",25783,26587,27085,26811,32038,18394,25223,22313,36893,28890
"323",21721,23217,20344,19079,35008,31484,18677,22455,20636,15018
"324",21556,33258,23476,30954,22781,21959,28436,33484,25978,17096
"325",28796,32295,22965,32231,21079,28441,25016,24849,25766,21313
"326",20035,21142,23844,30921,15533,18953,29552,11690,24155,19600
"327",32789,27910,21995,23945,16257,9740,32352,17438,22418,25207
"328",22756,27448,22218,26463,15534,29606,26837,25739,36347,17607
"329",32101,26455,23180,15638,19114,28502,24186,32895,26777,22012
"330",25056,19814,20789,24523,25699,20788,25659,26158,24623,32053
"331",34844,20482,27158,22958,28819,26624,14820,27067,28183,31608
"332",17332,35689,19386,32126,32141,17559,19738,18795,28147,24170
"333",29000,20342,24149,18768,25715,24149,28468,33105,23347,25529
"334",29779,23933,12507,24992,31662,25560,28332,28805,18803,30751
"335",19005,17483,31313,22668,27251,30889,25395,23598,22139,29947
"336",28868,23221,24989,24645,30499,24457,25704,28359,19565,22727
"337",18453,23492,19140,7955,31755,32234,22679,32872,22445,35532
"338",21694,30911,24336,25745,10197,17237,24687,13720,25316,27450
"339",15776,21592,25069,31710,24054,22931,23600,23955,29016,28215
"340",22768,19407,22143,14210,24317,29574,27496,20384,27546,17899
"341",24250,21589,28922,31574,22440,28968,25815,29648,32612,26782
"342",24244,30790,30799,20333,21588,30523,27780,20884,30426,28919
"343",33597,24714,14227,27423,31926,20443,18539,31057,22523,25864
"344",22177,16602,34620,26235,28788,31937,28421,28671,16394,28670
"345",37646,26112,20135,29648,32409,32826,27458,23326,26872,21171
"346",34195,28067,31768,32419,24363,28869,25505,23408,10686,21450
"347",25196,31489,15284,19586,30780,29878,26784,20605,31992,17368
"348",24923,29675,19644,27521,19473,25720,18636,30297,20406,33058
"349",21455,22025,33084,39186,23324,29262,20975,24494,25126,35062
"350",33632,35259,32224,19816,18803,23471,32943,20406,36202,24581
"351",22742,24317,26735,33745,30935,28371,30644,26565,17679,28845
"352",30187,27890,22511,29949,17248,38253,21036,20076,34731,22407
"353",20151,19250,31926,27597,18401,18461,30110,21688,20662,24360
"354",12918,16282,27070,14994,25236,22849,33254,20564,21468,23992
"355",26262,19559,30133,26490,25204,30328,31706,19566,21082,18442
"356",28155,26030,18161,23891,27851,21597,21682,17922,21027,30020
"357",15652,27660,21033,31512,26429,26335,27121,18558,29402,22306
"358",9477,35564,31516,30541,28093,17506,27560,23152,17107,18346
"359",18229,15183,36970,29077,16342,30984,29144,19747,21255,22244
"360",33982,26535,21025,34243,35510,21631,21214,17207,24810,21616
"361",23382,20053,31245,36472,36552,29574,19760,24825,21718,20938
"362",22749,35546,26212,36288,25600,24377,13624,25914,24088,18548
"363",28124,40382,16889,22529,20877,22821,21620,18422,28951,21789
"364",28345,24639,19709,25554,31264,15124,37205,14635,22497,25768
"365",25118,14657,17402,23357,27330,22242,31701,29328,15217,19700
"366",28326,26103,26107,24387,33752,22177,35925,27678,26726,18240
"367",22949,39950,22122,23758,16367,21358,16893,31266,32680,26637
"368",25237,17467,35892,23967,20752,28303,35992,26485,19149,23382
"369",36845,13770,26331,28799,27909,17612,28138,31461,24274,25800
"370",38808,35295,23445,31399,19451,26176,27047,31854,33415,27249
"371",35861,27158,29816,27343,32189,41697,30905,21144,18834,27725
"372",22714,15894,22809,29515,25552,30085,25821,21899,31808,13761
"373",37637,20800,23189,28549,6307,20998,23120,12421,27005,20174
"374",26151,21023,30407,26789,26698,19865,28228,19601,21444,20320
"375",22664,27108,21513,30925,16615,20364,26776,26601,28199,24670
"376",22049,27657,22963,29030,10505,21869,12980,20981,24380,23172
"377",23222,22008,22131,29266,28623,20637,34025,30758,35098,27990
"378",28635,22930,25965,33648,27804,26983,27747,22997,18153,24280
"379",20402,20862,12325,35334,34060,22542,17157,32279,24015,23706
"380",28747,33569,19669,25032,24235,13446,23149,17334,27313,23293
"381",24396,26855,25697,21578,25280,22792,30059,24610,25690,27213
"382",33117,24190,31009,20783,33026,20542,19459,35293,31515,19145
"383",26817,22320,20415,32524,27433,29418,19803,32623,32151,31949
"384",16952,21819,25709,19501,24701,33439,22439,18557,27157,23907
"385",24976,31938,25658,25548,27352,18722,27339,27383,29832,16634
"386",36630,14729,24360,20099,26921,31064,12021,21098,12172,27463
"387",27524,30563,22604,36031,32385,27157,25382,24175,23284,32516
"388",29021,20354,18141,18152,17279,2780,23596,20934,21926,33848
"389",32585,18182,21854,21660,13071,24271,24489,24687,24118,23599
"390",26979,29688,38609,32984,20805,29213,20034,29714,18503,14441
"391",23983,23805,17889,27001,29316,22963,26283,21063,35190,16270
"392",23454,19251,23506,20499,28047,20402,20298,16281,28095,15977
"393",36286,26360,26324,23241,40607,26953,26903,12651,16001,21274
"394",25929,19162,20188,15597,27060,22327,16447,21790,24089,19295
"395",15150,33349,24627,23670,24026,27021,31490,31181,22879,31452
"396",23708,26101,30703,31501,16030,21136,33572,22675,24575,24585
"397",24399,27006,17051,29680,20277,29383,21727,29574,25384,25769
"398",27959,27369,21782,26695,24982,26237,16710,25098,25639,26341
"399",23205,30088,33961,21080,16978,29926,22068,26543,25699,24283
"400",27807,16378,28186,19823,17528,28874,22963,28343,25778,34333
