Rank,D_Score,E_Score,Penalty,Score,year,Name,nation,Round_AAfinal,Round_TeamFinal,Round_final,Round_qual
4.0,4.2,0.0,0.0,13.25,2023,145,28,False,False,True,False
6.0,4.2,0.0,0.0,13.25,2023,145,28,False,False,False,True
4.0,3.8,0.0,0.0,12.7,2023,145,28,False,False,True,False
6.0,3.8,0.0,0.0,12.3,2023,145,28,False,False,False,True
106.0,3.4,8.433,0.0,11.833,2023,97,19,False,False,False,True
40.0,3.4,8.3,0.0,11.7,2023,469,64,False,False,False,True
17.0,4.2,9.166,0.0,13.366,2023,288,70,False,False,False,True
68.0,3.8,8.6,0.0,12.4,2022,485,49,False,False,False,True
88.0,3.6,8.566,0.0,12.166,2023,485,49,False,False,False,True
38.0,4.2,8.833,0.0,13.033,2023,99,76,False,False,False,True
6.0,3.8,8.666,0.0,12.466,2023,99,76,False,False,True,False
8.0,3.8,8.666,0.0,12.466,2023,99,76,False,False,False,True
9.0,5.0,9.033,0.0,14.033,2022,149,10,True,False,False,False
26.0,4.8,8.866,0.0,13.666,2022,149,10,False,False,False,True
4.0,4.8,9.233,0.0,14.033,2022,149,10,False,False,True,False
6.0,5.0,8.833,0.0,13.833,2022,149,10,False,False,False,True
45.0,4.2,8.9,0.1,13.0,2023,289,4,False,False,False,True
89.0,3.4,8.5,0.0,11.9,2022,142,53,False,False,False,True
26.0,3.6,8.133,0.1,11.633,2022,142,53,False,False,False,True
100.0,3.4,8.5,0.0,11.9,2023,142,53,False,False,False,True
129.0,3.6,8.4,0.0,12.0,2022,171,0,False,False,False,True
30.0,0.0,0.0,0.0,0.0,2022,171,0,False,False,False,True
22.0,4.2,9.0,0.0,13.2,2022,345,27,False,False,False,True
18.0,4.2,9.133,0.0,13.333,2023,345,27,False,False,False,True
15.0,4.2,9.066,0.0,13.266,2022,317,7,True,False,False,False
40.0,4.2,9.1,0.0,13.3,2022,317,7,False,False,False,True
32.0,4.2,8.766,0.0,12.966,2022,317,7,False,False,False,True
22.0,4.2,8.833,0.1,12.933,2022,317,7,False,True,False,False
9.0,4.2,9.133,0.0,13.333,2023,317,7,True,False,False,False
18.0,4.2,9.133,0.0,13.333,2023,317,7,False,False,False,True
8.0,4.2,9.1,0.0,13.3,2023,317,7,False,False,False,True
8.0,0.0,0.0,0.0,0.0,2023,317,7,False,False,False,True
20.0,4.2,8.65,0.0,12.85,2022,153,28,False,False,False,True
49.0,3.2,8.65,0.0,11.85,2022,49,28,False,False,False,True
12.0,4.6,8.4,0.1,13.1,2022,349,28,False,False,False,True
12.0,3.8,8.5,0.0,12.3,2022,349,28,False,False,False,True
57.0,4.2,8.8,0.0,13.0,2022,186,3,False,False,False,True
17.0,4.2,8.966,0.0,13.166,2022,419,3,True,False,False,False
48.0,4.2,8.966,0.0,13.166,2022,419,3,False,False,False,True
28.0,4.2,8.9,0.0,13.1,2022,262,32,False,False,False,True
17.0,4.2,9.066,0.0,13.266,2022,262,32,False,True,False,False
8.0,4.2,8.8,0.0,13.0,2023,119,35,False,False,False,True
2.0,4.6,8.566,0.3,12.866,2023,119,35,False,False,True,False
2.0,4.4,8.933,0.0,13.333,2023,119,35,False,False,True,False
8.0,3.4,8.6,0.0,12.0,2023,119,35,False,False,False,True
4.0,4.2,8.767,0.0,12.967,2023,119,35,False,False,False,True
2.0,4.6,8.667,0.0,13.267,2023,119,35,False,False,True,False
4.0,3.8,8.733,0.0,12.533,2023,119,35,False,False,False,True
2.0,4.4,8.633,0.0,13.033,2023,119,35,False,False,True,False
0.0,4.2,8.9,0.0,13.1,2022,467,78,True,False,False,False
0.0,6.4,9.8,0.5,15.7,2023,454,78,False,False,False,True
0.0,5.6,9.25,0.0,14.85,2023,454,78,False,False,True,False
14.0,4.2,8.0,0.0,12.2,2023,99,76,False,False,False,True
14.0,3.8,8.566,0.0,12.366,2023,99,76,False,False,False,True
0.0,5.0,9.1,0.0,14.1,2022,459,78,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,459,78,False,False,True,False
0.0,5.0,8.9,0.1,13.8,2022,459,78,True,False,False,False
0.0,5.0,9.35,0.0,14.35,2023,459,78,False,False,False,True
0.0,5.0,9.25,0.0,14.25,2023,459,78,False,False,True,False
0.0,5.0,8.6,0.1,13.5,2022,101,78,False,False,False,True
0.0,5.0,8.6,0.0,13.6,2022,101,78,False,False,True,False
0.0,4.6,9.1,0.0,13.7,2022,101,78,True,False,False,False
0.0,4.6,9.0,0.0,13.6,2023,101,78,False,False,False,True
0.0,4.6,8.8,0.0,13.4,2023,101,78,False,False,True,False
0.0,4.6,8.95,0.0,13.55,2023,101,78,True,False,False,False
7.0,4.6,8.666,0.0,13.266,2023,55,3,False,False,False,True
6.0,4.6,9.033,0.0,13.633,2023,55,3,False,False,True,False
7.0,3.4,8.7,0.0,12.1,2023,55,3,False,False,False,True
6.0,3.4,8.8,0.0,12.2,2023,55,3,False,False,True,False
21.0,4.2,8.6,0.1,12.7,2023,209,25,False,False,False,True
15.0,3.6,8.066,0.3,11.366,2023,209,25,False,False,False,True
23.0,4.2,8.1,0.0,12.3,2023,426,16,False,False,False,True
2.0,5.6,9.133,0.0,14.733,2022,212,78,True,False,False,False
2.0,5.6,9.0,0.0,14.6,2022,212,78,False,False,False,True
1.0,5.0,9.3,0.0,14.3,2022,212,78,False,False,True,False
1.0,5.0,9.366,0.0,14.366,2022,212,78,False,False,False,True
16.0,4.2,9.0,0.0,13.2,2022,277,25,True,False,False,False
45.0,4.2,9.0,0.0,13.2,2022,277,25,False,False,False,True
93.0,4.2,7.6,0.0,11.8,2022,277,25,False,False,False,True
20.0,4.2,8.8,0.0,13.0,2022,277,25,False,True,False,False
12.0,4.2,9.033,0.0,13.233,2023,277,25,True,False,False,False
27.0,4.2,8.966,0.0,13.166,2023,277,25,False,False,False,True
6.0,4.2,9.0,0.0,13.2,2023,277,25,False,False,True,False
4.0,4.2,8.933,0.0,13.133,2023,277,25,False,False,False,True
6.0,3.4,8.7,0.0,12.1,2023,277,25,False,False,True,False
4.0,3.8,8.666,0.0,12.466,2023,277,25,False,False,False,True
45.0,3.2,8.75,0.0,11.95,2022,102,28,False,False,False,True
55.0,4.2,8.766,0.1,12.866,2023,96,70,False,False,False,True
35.0,3.6,8.9,0.0,12.5,2022,393,28,False,False,False,True
12.0,3.6,8.566,0.0,12.166,2023,104,34,False,False,False,True
12.0,3.4,8.6,0.0,12.0,2023,104,34,False,False,False,True
115.0,3.8,7.6,0.0,11.4,2023,183,17,False,False,False,True
27.0,3.4,8.5,0.0,11.9,2023,91,24,False,False,False,True
3.0,5.0,9.466,0.0,14.466,2022,230,78,False,False,False,True
2.0,4.8,9.4,0.0,14.2,2022,230,78,False,False,True,False
2.0,4.8,9.366,0.0,14.166,2022,230,78,False,False,False,True
32.0,3.4,8.6,0.0,12.0,2023,124,47,False,False,False,True
8.0,3.6,8.3,0.0,11.9,2023,392,79,False,False,True,False
5.0,4.0,8.833,0.0,12.833,2023,392,79,False,False,False,True
3.0,4.4,8.566,0.1,12.866,2023,392,79,False,False,True,False
3.0,4.0,8.7,0.0,12.7,2023,392,79,False,False,False,True
8.0,3.4,8.7,0.0,12.1,2023,392,79,False,False,True,False
5.0,4.4,8.9,0.0,13.3,2023,392,79,False,False,False,True
3.0,4.4,8.766,0.0,13.166,2023,392,79,False,False,True,False
3.0,4.4,8.633,0.0,13.033,2023,392,79,False,False,False,True
2.0,5.0,8.733,0.1,13.633,2023,392,79,False,False,True,False
2.0,4.0,8.833,0.0,12.833,2023,392,79,False,False,False,True
3.0,4.0,8.7,0.0,12.7,2023,392,79,False,False,True,False
4.0,4.0,8.633,0.0,12.633,2023,392,79,False,False,False,True
2.0,4.4,8.833,0.0,13.233,2023,392,79,False,False,True,False
2.0,4.4,8.8,0.0,13.2,2023,392,79,False,False,False,True
3.0,4.4,8.733,0.0,13.133,2023,392,79,False,False,True,False
4.0,4.4,8.766,0.0,13.166,2023,392,79,False,False,False,True
10.0,3.8,8.633,0.0,12.433,2023,306,70,False,False,False,True
10.0,3.4,8.5,0.0,11.9,2023,306,70,False,False,False,True
53.0,3.6,8.2,0.0,11.8,2022,223,28,False,False,False,True
124.0,3.6,8.466,0.0,12.066,2022,416,57,False,False,False,True
39.0,3.4,8.366,0.0,11.76,2023,299,64,False,False,False,True
30.0,4.6,8.666,0.1,13.166,2023,294,63,False,False,False,True
110.0,3.2,8.366,0.1,11.466,2022,318,61,False,False,False,True
79.0,3.6,8.733,0.0,12.333,2023,318,61,False,False,False,True
17.0,3.2,8.533,0.0,11.733,2023,318,61,False,False,False,True
17.0,3.2,8.5,0.0,11.7,2023,318,61,False,False,False,True
78.0,4.2,8.533,0.3,12.433,2023,75,35,False,False,False,True
0.0,5.6,9.2,0.0,14.8,2022,212,78,False,False,False,True
0.0,5.6,9.05,0.0,14.65,2022,212,78,False,False,True,False
0.0,5.6,8.35,0.0,13.95,2023,212,78,False,False,False,True
0.0,5.6,8.95,0.0,14.55,2023,212,78,False,False,True,False
0.0,5.0,8.9,0.0,13.9,2023,133,78,False,False,False,True
0.0,5.0,8.6,0.0,13.6,2023,133,78,False,False,True,False
0.0,5.0,8.5,0.1,13.4,2023,133,78,True,False,False,False
13.0,3.6,8.4,0.0,12.0,2023,104,34,False,False,False,True
13.0,3.4,8.733,0.0,12.133,2023,104,34,False,False,False,True
0.0,5.0,9.35,0.0,14.35,2022,230,78,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,230,78,False,False,True,False
0.0,5.0,9.3,0.0,14.3,2023,230,78,False,False,False,True
0.0,5.0,9.25,0.0,14.25,2023,230,78,False,False,True,False
0.0,4.2,8.7,0.0,12.9,2023,110,78,True,False,False,False
0.0,4.6,7.6,0.3,11.9,2023,390,78,True,False,False,False
0.0,4.2,8.45,0.0,12.65,2022,8,78,True,False,False,False
6.0,5.0,9.166,0.0,14.166,2022,20,42,True,False,False,False
10.0,5.0,9.233,0.0,14.233,2022,20,42,False,False,False,True
11.0,5.0,8.666,0.0,13.666,2022,20,42,False,False,False,True
5.0,5.0,9.1,0.0,14.1,2022,20,42,False,True,False,False
4.0,5.0,9.0,0.0,14.0,2023,20,42,True,False,False,False
5.0,5.0,9.0,0.0,14.0,2023,20,42,False,False,False,True
8.0,5.0,8.766,0.0,13.766,2022,67,42,False,False,False,True
8.0,5.0,8.833,0.0,13.833,2022,67,42,False,True,False,False
2.0,4.8,8.533,0.0,13.333,2022,67,42,False,False,True,False
3.0,4.8,8.8,0.0,13.6,2022,67,42,False,False,False,True
7.0,5.0,8.933,0.0,13.933,2023,67,42,False,False,False,True
2.0,4.8,8.7,0.3,13.2,2023,67,42,False,False,True,False
3.0,4.2,8.7,0.0,12.9,2023,67,42,False,False,False,True
2.0,5.0,9.1,0.0,14.1,2023,67,42,False,False,True,False
1.0,5.0,9.133,0.0,14.133,2023,67,42,False,False,False,True
2.0,4.2,8.9,0.0,13.1,2023,67,42,False,False,True,False
1.0,4.8,9.1,0.0,13.9,2023,67,42,False,False,False,True
20.0,3.6,8.5,0.0,12.1,2023,170,22,False,False,False,True
20.0,3.4,8.533,0.0,11.933,2023,170,22,False,False,False,True
0.0,4.4,7.466,0.3,11.566,2023,27,56,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,27,56,False,False,False,True
90.0,4.2,8.466,0.0,12.666,2022,379,64,False,False,False,True
7.0,3.8,8.6,0.1,12.3,2022,379,64,False,False,True,False
7.0,3.8,8.95,0.0,12.75,2022,379,64,False,False,False,True
10.0,4.2,0.0,0.0,12.75,2023,190,28,False,False,False,True
10.0,3.8,0.0,0.0,12.55,2023,190,28,False,False,False,True
36.0,3.6,0.0,0.1,11.8,2023,313,28,False,False,False,True
23.0,4.2,8.6,0.0,12.8,2022,225,28,False,False,False,True
103.0,3.2,8.466,0.1,11.566,2022,229,54,False,False,False,True
71.0,4.2,8.566,0.1,12.666,2023,229,54,False,False,False,True
22.0,0.0,8.566,0.0,0.0,2023,229,54,False,False,False,True
22.0,3.2,8.566,0.0,11.766,2023,229,54,False,False,False,True
35.0,3.2,8.3,1.0,10.5,2023,374,62,False,False,False,True
41.0,3.2,8.466,0.0,11.66,2023,275,1,False,False,False,True
36.0,4.6,8.8,0.0,13.4,2022,281,10,False,False,False,True
2.0,4.0,8.9,0.0,12.9,2022,281,10,False,False,True,False
2.0,4.0,8.9,0.0,12.9,2022,281,10,False,False,False,True
5.0,5.4,9.033,0.0,14.433,2022,117,27,False,False,False,True
3.0,5.0,8.933,0.1,13.833,2022,117,27,False,False,True,False
3.0,5.0,9.166,0.0,14.166,2022,117,27,False,False,False,True
1.0,5.4,8.966,0.0,14.366,2023,117,27,False,False,False,True
1.0,4.2,9.1,0.0,13.3,2023,117,27,False,False,True,False
1.0,4.2,9.166,0.0,13.366,2023,117,27,False,False,False,True
1.0,5.4,8.933,0.0,14.333,2023,117,27,False,False,True,False
7.0,5.4,7.533,0.3,12.633,2023,117,27,False,False,False,True
1.0,5.4,9.0,0.0,14.4,2023,117,27,False,False,True,False
1.0,5.4,8.533,0.1,13.833,2023,117,27,False,False,False,True
1.0,4.2,8.833,0.0,13.033,2023,117,27,False,False,True,False
7.0,4.2,8.4,0.0,12.6,2023,117,27,False,False,False,True
1.0,4.2,9.0,0.0,13.2,2023,117,27,False,False,True,False
1.0,4.2,8.766,0.0,12.966,2023,117,27,False,False,False,True
15.0,3.6,8.3,0.0,11.9,2023,244,62,True,False,False,False
8.0,4.2,8.65,0.0,12.85,2023,244,62,False,False,False,True
107.0,4.2,8.3,0.1,12.4,2022,381,62,False,False,False,True
16.0,4.2,7.65,0.0,11.85,2023,465,62,True,False,False,False
19.0,4.2,8.35,0.0,12.55,2023,465,62,False,False,False,True
102.0,3.4,8.466,0.0,11.866,2023,166,17,False,False,False,True
7.0,4.2,8.6,0.0,12.8,2022,470,28,False,False,True,False
18.0,4.2,8.7,0.0,12.9,2022,470,28,False,False,False,True
7.0,3.6,8.75,0.0,12.35,2022,470,28,False,False,True,False
18.0,3.6,8.65,0.0,12.25,2022,470,28,False,False,False,True
13.0,3.6,8.3,0.0,11.9,2022,470,38,False,False,False,True
21.0,4.2,8.5,0.1,12.6,2023,226,10,False,False,False,True
21.0,3.4,7.7,0.1,11.0,2023,226,10,False,False,False,True
23.0,4.2,8.6,0.0,12.8,2022,415,28,False,False,False,True
88.0,3.6,8.566,0.0,12.166,2023,141,18,False,False,False,True
8.0,4.2,8.9,0.0,13.1,2023,458,12,False,False,False,True
19.0,3.4,7.7,0.0,11.1,2023,279,16,True,False,False,False
29.0,3.4,8.4,0.0,11.8,2023,279,16,False,False,False,True
25.0,4.2,8.3,0.3,12.2,2023,214,43,False,False,False,True
35.0,3.2,0.0,0.0,11.85,2023,118,28,False,False,False,True
65.0,4.2,8.3,0.0,12.5,2022,62,63,False,False,False,True
0.0,5.0,9.2,0.0,14.2,2022,257,78,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,257,78,False,False,True,False
0.0,5.0,9.0,0.0,14.0,2023,257,78,False,False,False,True
0.0,5.0,9.1,0.0,14.1,2023,257,78,False,False,True,False
0.0,5.0,9.3,0.0,14.3,2022,32,78,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,32,78,False,False,True,False
0.0,4.2,8.95,0.0,13.15,2022,32,78,True,False,False,False
0.0,5.0,8.85,0.0,13.85,2023,32,78,False,False,False,True
0.0,5.0,9.0,0.0,14.0,2023,32,78,False,False,True,False
0.0,5.0,8.85,0.0,13.85,2023,32,78,True,False,False,False
0.0,5.0,7.35,0.0,12.35,2022,460,78,True,False,False,False
0.0,4.2,9.0,0.0,13.2,2023,29,78,True,False,False,False
16.0,3.6,8.733,0.0,12.333,2023,28,3,True,False,False,False
38.0,3.2,8.566,0.0,11.76,2023,28,3,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,362,69,False,False,False,True
19.0,3.6,7.666,0.1,11.166,2023,18,33,False,False,False,True
19.0,3.4,8.4,0.0,11.8,2023,18,33,False,False,False,True
95.0,4.2,8.4,0.0,12.6,2022,131,47,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,61,15,False,False,False,True
104.0,3.6,8.266,0.0,11.866,2023,237,56,False,False,False,True
13.0,4.2,8.766,0.0,12.966,2023,237,56,False,False,False,True
11.0,4.2,8.633,0.0,12.833,2023,237,56,False,False,False,True
13.0,3.4,8.7,0.0,12.1,2023,237,56,False,False,False,True
11.0,3.4,8.666,0.0,12.066,2023,237,56,False,False,False,True
133.0,3.2,8.566,0.0,11.766,2022,25,72,False,False,False,True
104.0,3.2,8.366,0.0,11.566,2022,25,72,False,False,False,True
66.0,4.6,8.466,0.1,12.966,2022,375,52,False,False,False,True
21.0,4.4,8.666,0.0,13.066,2022,375,52,False,False,False,True
11.0,4.6,8.25,0.3,12.55,2023,375,52,True,False,False,False
4.0,4.6,9.05,0.0,13.65,2023,375,52,False,False,False,True
4.0,4.4,8.8,0.0,13.2,2023,375,52,False,False,False,True
7.0,4.2,8.55,0.0,12.75,2023,188,13,True,False,False,False
12.0,4.2,8.6,0.0,12.8,2023,188,13,False,False,False,True
14.0,4.2,8.566,0.0,12.766,2023,188,13,False,False,False,True
14.0,4.0,7.433,0.1,11.333,2023,188,13,False,False,False,True
33.0,4.2,9.366,0.0,13.566,2022,333,42,False,False,False,True
6.0,4.6,9.0,0.0,13.6,2023,333,42,True,False,False,False
14.0,4.6,8.966,0.0,13.566,2023,333,42,False,False,False,True
1.0,4.6,8.9,0.0,13.5,2023,333,42,False,False,True,False
1.0,4.6,9.033,0.0,13.633,2023,333,42,False,False,False,True
1.0,4.2,8.866,0.1,12.966,2023,333,42,False,False,True,False
1.0,4.2,8.933,0.0,13.133,2023,333,42,False,False,False,True
2.0,5.0,9.0,0.0,14.0,2023,421,28,False,False,True,False
2.0,5.0,8.9,0.0,13.9,2023,421,28,False,False,False,True
2.0,3.8,8.666,0.1,12.366,2023,421,28,False,False,True,False
2.0,3.8,8.7,0.0,12.5,2023,421,28,False,False,False,True
14.0,4.2,8.8,0.0,13.0,2022,355,28,False,False,False,True
1.0,5.0,0.0,0.0,13.9,2023,422,28,False,False,True,False
2.0,5.0,0.0,0.0,14.1,2023,422,28,False,False,False,True
1.0,3.8,0.0,0.0,12.65,2023,422,28,False,False,True,False
2.0,3.8,0.0,0.3,11.85,2023,422,28,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,35,2,True,False,False,False
31.0,3.4,8.4,0.1,11.7,2023,35,2,False,False,False,True
9.0,4.2,8.7,0.0,12.9,2023,35,2,False,False,False,True
0.0,4.2,8.85,0.0,13.05,2023,231,78,True,False,False,False
16.0,4.6,9.3,0.0,13.9,2022,185,28,False,False,False,True
18.0,4.2,8.7,0.0,12.9,2022,185,28,False,False,False,True
15.0,4.6,8.866,0.0,13.466,2022,185,28,False,False,False,True
18.0,4.6,0.0,0.0,13.65,2023,185,28,False,False,False,True
18.0,0.0,0.0,0.0,0.0,2023,185,28,False,False,False,True
24.0,4.6,7.766,0.3,12.066,2023,185,28,True,False,False,False
10.0,4.6,9.133,0.0,13.733,2023,185,28,False,False,False,True
105.0,4.2,8.233,0.0,12.433,2022,158,25,False,False,False,True
46.0,4.2,8.6,0.0,12.8,2022,158,25,False,False,False,True
24.0,4.2,9.0,0.0,13.2,2023,271,25,False,False,False,True
5.0,4.4,8.666,0.0,13.066,2023,271,25,False,False,True,False
6.0,4.4,8.6,0.0,13.0,2023,271,25,False,False,False,True
5.0,3.6,8.933,0.0,12.533,2023,271,25,False,False,True,False
6.0,3.2,8.6,0.0,11.8,2023,271,25,False,False,False,True
4.0,4.4,8.733,0.0,13.133,2023,271,25,False,False,True,False
6.0,4.4,8.566,0.0,12.966,2023,271,25,False,False,False,True
4.0,3.6,8.9,0.0,12.5,2023,271,25,False,False,True,False
6.0,3.6,8.866,0.0,12.466,2023,271,25,False,False,False,True
26.0,3.6,8.633,0.0,12.23,2023,90,25,False,False,False,True
10.0,4.2,8.9,0.0,13.1,2022,264,28,False,False,False,True
10.0,3.4,8.55,0.0,11.95,2022,264,28,False,False,False,True
18.0,4.2,8.8,0.0,13.0,2023,312,27,False,False,False,True
18.0,0.0,0.0,0.0,0.0,2023,312,27,False,False,False,True
23.0,4.4,8.6,0.0,13.0,2022,24,27,True,False,False,False
29.0,5.4,8.366,0.1,13.666,2022,24,27,False,False,False,True
11.0,4.4,8.8,0.3,12.9,2022,24,27,False,False,False,True
1.0,5.4,8.933,0.0,14.333,2022,24,27,False,False,False,True
3.0,5.4,8.833,0.0,14.233,2022,24,27,False,True,False,False
3.0,4.4,8.833,0.0,13.233,2022,24,27,False,False,True,False
4.0,4.4,8.5,0.0,12.9,2022,24,27,False,False,False,True
15.0,4.2,8.433,0.0,12.633,2023,76,4,True,False,False,False
22.0,4.2,8.5,0.0,12.7,2023,76,4,False,False,False,True
23.0,4.2,8.433,0.0,12.633,2023,76,4,True,False,False,False
63.0,4.2,8.566,0.0,12.766,2023,76,4,False,False,False,True
39.0,4.6,8.733,0.0,13.333,2022,267,45,False,False,False,True
112.0,3.6,8.7,0.0,12.3,2022,404,15,False,False,False,True
82.0,3.6,8.566,0.0,12.166,2022,404,15,False,False,False,True
0.0,5.0,8.15,0.1,13.05,2022,5,78,False,False,False,True
0.0,5.0,8.9,0.0,13.9,2022,5,78,False,False,True,False
0.0,5.0,8.7,0.0,13.7,2022,5,78,True,False,False,False
0.0,5.0,8.85,0.0,13.85,2023,5,78,False,False,False,True
0.0,5.0,8.9,0.0,13.9,2023,5,78,False,False,True,False
0.0,5.0,8.9,0.0,13.9,2023,5,78,True,False,False,False
7.0,4.2,8.667,0.0,12.867,2023,282,27,False,False,True,False
6.0,4.2,9.033,0.0,13.233,2023,282,27,False,False,False,True
7.0,3.4,8.467,0.0,11.867,2023,282,27,False,False,True,False
6.0,3.4,8.567,0.0,11.967,2023,282,27,False,False,False,True
0.0,5.0,8.75,0.0,13.75,2022,157,78,True,False,False,False
6.0,4.2,9.05,0.0,13.25,2022,222,28,False,False,False,True
