Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Ondine ACHAMPONG,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,15.0,5.7,7.266,0.0,12.966,12.966000000000001
Ondine ACHAMPONG,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,16.0,5.3,8.033,0.0,13.333,13.332999999999998
Ondine ACHAMPONG,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,51.0,5.8,7.033,0.0,12.833,12.833
Ondine ACHAMPONG,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,3.0,5.0,9.466,0.0,14.466,14.466
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4.0,5.1,7.7,0.0,12.8,12.8
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,1.0,5.9,7.75,0.0,13.65,13.65
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,12.0,5.2,7.6,0.3,12.5,12.5
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.6,7.3,0.0,12.9,12.899999999999999
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,7.0,5.6,7.5,0.0,13.1,13.1
Ondine ACHAMPONG,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,1.0,5.0,9.25,0.0,14.25,14.25
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",BB,2.0,5.5,7.9,0.0,13.4,13.4
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,7.0,5.5,7.766,0.0,13.266,13.266
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,4.0,5.7,8.0,0.0,13.7,13.7
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,25.0,5.3,7.566,0.2,12.666,12.666
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,43.0,5.8,6.433,0.0,12.233,12.233
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,24.0,5.6,6.833,0.0,12.433,12.433
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,4.0,5.0,8.933,0.0,13.933,13.933
Ondine ACHAMPONG,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,7.0,5.0,8.9,0.0,13.9,13.9
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",BB,1.0,5.7,8.1,0.0,13.8,13.8
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,2.0,5.5,8.3,0.0,13.8,13.8
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",FX,8.0,5.2,6.75,0.0,11.95,11.95
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4.0,5.3,7.9,0.0,13.2,13.2
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.8,8.3,0.0,14.1,14.100000000000001
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,2.0,5.7,8.0,0.0,13.7,13.7
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,16.0,5.0,0.0,0.0,14.3,5.0
Ondine ACHAMPONG,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT2,16.0,0.0,0.0,0.0,0.0,0.0
Ondine ACHAMPONG,w,GBR,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",BB,4.0,5.9,7.633,0.0,13.533,13.533000000000001
Ondine ACHAMPONG,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,4.0,5.7,7.666,0.0,13.366,13.366
Ondine ACHAMPONG,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8.0,5.3,7.866,0.0,13.166,13.166
Ondine ACHAMPONG,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,6.0,5.0,8.966,0.0,13.966,13.966
Ondine ACHAMPONG,w,ENG,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,4.0,5.7,6.8,0.0,12.5,12.5
Ondine ACHAMPONG,w,ENG,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,4.0,5.7,7.6,0.0,13.3,13.3
Ondine ACHAMPONG,w,ENG,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,1.0,5.3,8.05,0.0,13.35,13.350000000000001
Ondine ACHAMPONG,w,ENG,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,2.0,5.3,7.733,0.0,13.033,13.033
Ondine ACHAMPONG,w,ENG,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,11.0,5.3,7.25,0.0,12.55,12.55
Ondine ACHAMPONG,w,ENG,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,3.0,6.0,7.25,0.0,13.25,13.25
Ondine ACHAMPONG,w,ENG,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,4.0,6.0,7.433,0.0,13.433,13.433
Ondine ACHAMPONG,w,ENG,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,2.0,6.1,7.65,0.0,13.75,13.75
Ondine ACHAMPONG,w,ENG,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,1.0,5.0,8.9,0.0,13.9,13.9
Thelma ADALSTEINSDOTTIR,w,ISL,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,69.0,4.7,7.0,0.1,11.6,11.6
Thelma ADALSTEINSDOTTIR,w,ISL,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,127.0,3.7,7.733,0.0,11.433,11.433
Thelma ADALSTEINSDOTTIR,w,ISL,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,108.0,4.2,6.833,0.0,11.033,11.033000000000001
Thelma ADALSTEINSDOTTIR,w,ISL,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,126.0,3.8,8.266,0.0,12.066,12.065999999999999
Thelma ADALSTEINSDOTTIR,w,ISL,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,35.0,4.7,7.533,0.0,12.233,12.233
Thelma ADALSTEINSDOTTIR,w,ISL,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,91.0,3.6,7.533,0.0,11.133,11.133000000000001
Thelma ADALSTEINSDOTTIR,w,ISL,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,57.0,4.1,7.633,0.0,11.733,11.733
Thelma ADALSTEINSDOTTIR,w,ISL,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,69.0,3.8,8.533,0.0,12.333,12.332999999999998
Thelma ADALSTEINSDOTTIR,w,ISL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,57.0,4.8,6.466,0.1,11.166,11.166
Thelma ADALSTEINSDOTTIR,w,ISL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,78.0,4.5,7.066,0.0,11.566,11.565999999999999
Thelma ADALSTEINSDOTTIR,w,ISL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",UB,54.0,4.3,7.933,0.0,12.233,12.233
Thelma ADALSTEINSDOTTIR,w,ISL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,82.0,3.8,8.5,0.0,12.3,12.3
Jess ADAMSON,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,54.0,4.3,5.4,0.0,9.7,9.7
Jess ADAMSON,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,52.0,4.0,6.45,0.0,10.45,10.45
Jess ADAMSON,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,24.0,3.7,7.6,0.0,11.3,11.3
Jess ADAMSON,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,44.0,3.6,8.4,0.0,12.0,12.0
Ruba ALDAOUD,w,JOR,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT1,23.0,3.2,8.6,0.0,11.8,11.8
Ruba ALDAOUD,w,JOR,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT2,23.0,1.6,8.566,0.0,10.166,10.166
Mei AMORELLI,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,22.0,4.2,7.3,0.0,11.5,11.5
Mei AMORELLI,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,31.0,4.3,6.7,0.0,11.0,11.0
Mei AMORELLI,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,35.0,3.4,6.5,0.0,9.9,9.9
Mei AMORELLI,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,30.0,3.4,0.0,0.0,12.1,3.4
Lobar AMRILLAEVA,w,UZB,2023-05-28,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",BB,26.0,4.9,5.433,0.1,10.233,10.233
Lobar AMRILLAEVA,w,UZB,2023-05-28,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",FX,18.0,4.6,6.333,0.0,10.933,10.933
Lobar AMRILLAEVA,w,UZB,2023-05-28,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",UB,16.0,4.3,6.133,0.0,10.433,10.433
Lobar AMRILLAEVA,w,UZB,2023-05-28,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT1,9.0,3.8,8.566,0.0,12.366,12.366
Lobar AMRILLAEVA,w,UZB,2023-05-28,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT2,9.0,3.4,8.733,0.0,12.133,12.133000000000001
Lobar AMRILLAEVA,w,UZB,2023-03-12,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,17.0,4.9,7.2,0.0,12.1,12.100000000000001
Lobar AMRILLAEVA,w,UZB,2023-03-12,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,21.0,4.9,7.166,0.1,11.966,11.966000000000001
Lobar AMRILLAEVA,w,UZB,2023-03-12,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",UB,28.0,3.6,6.3,0.0,9.9,9.9
Anastasija ANANJEVA,w,LAT,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,117.0,4.7,3.533,0.0,8.233,8.233
Anastasija ANANJEVA,w,LAT,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,101.0,4.4,6.4,0.0,10.8,10.8
Anastasija ANANJEVA,w,LAT,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,111.0,2.7,5.933,0.0,8.633,8.633
Anastasija ANANJEVA,w,LAT,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,87.0,3.8,8.266,0.0,12.066,12.065999999999999
Anastasija ANANJEVA,w,LAT,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT2,24.0,3.4,8.5,0.0,11.9,11.9
Anastasija ANANJEVA,w,LAT,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,72.0,4.6,6.1,0.0,10.7,10.7
Anastasija ANANJEVA,w,LAT,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,64.0,4.3,7.5,0.0,11.8,11.8
Anastasija ANANJEVA,w,LAT,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",UB,103.0,3.4,6.7,0.0,10.1,10.1
Anastasija ANANJEVA,w,LAT,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,93.0,3.8,8.633,0.3,12.133,12.133
Anastasija ANANJEVA,w,LAT,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT2,15.0,3.4,8.433,0.0,11.833,11.833
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",BB,3.0,6.0,7.533,0.0,13.533,13.533000000000001
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",BB,8.0,6.0,6.733,0.0,12.733,12.733
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,8.0,5.8,7.6,0.0,13.4,13.399999999999999
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,2.0,6.1,8.3,0.0,14.4,14.4
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",FX,3.0,5.9,7.833,0.0,13.733,13.733
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,2.0,6.1,8.1,0.0,14.2,14.2
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",UB,5.0,6.2,7.6,0.0,13.8,13.8
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",UB,8.0,5.7,7.1,0.0,12.8,12.8
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,3.0,6.1,8.566,0.0,14.666,14.666
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,1.0,5.6,9.566,0.0,15.166,15.166
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,1.0,5.6,9.466,0.0,15.066,15.065999999999999
Rebeca ANDRADE,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,12.0,3.0,8.466,0.0,11.466,11.466
Angela ANDREOLI,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,21.0,6.1,6.566,0.0,12.666,12.666
Angela ANDREOLI,w,ITA,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",FX,3.0,5.8,8.066,0.0,13.866,13.866
Angela ANDREOLI,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,3.0,5.6,8.033,0.0,13.633,13.633
Angela ANDREOLI,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,26.0,4.6,8.533,0.0,13.133,13.133
Angela ANDREOLI,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT2,13.0,4.0,8.633,0.0,12.633,12.633
Angela ANDREOLI,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,11.0,5.5,7.5,0.0,13.0,13.0
Angela ANDREOLI,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,43.0,4.6,8.733,0.3,13.033,13.033
Angela ANDREOLI,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT2,10.0,3.8,8.466,0.0,12.266,12.265999999999998
Minea Aino Maija ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",BB,25.0,4.4,6.933,0.0,11.333,11.333
Minea Aino Maija ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",UB,35.0,2.4,7.9,0.0,10.3,10.3
Minea Aino Maija ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",VT1,26.0,3.6,8.633,0.0,12.23,12.232999999999999
Misella ANTILA,w,FIN,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,25.0,4.3,7.366,0.0,11.666,11.666
Misella ANTILA,w,FIN,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,27.0,4.3,6.3,0.1,10.5,10.5
Misella Alli Helena ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",BB,26.0,4.2,7.066,0.0,11.266,11.266
Misella Alli Helena ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",FX,41.0,4.6,6.266,0.3,10.566,10.565999999999999
Misella Alli Helena ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",UB,41.0,4.2,5.733,0.5,9.433,9.433
Misella Alli Helena ANTILA,w,FIN,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",VT1,37.0,3.2,8.666,0.0,11.86,11.866
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",BB,8.0,5.2,5.1,0.0,10.3,10.3
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,5.0,5.2,7.3,0.0,12.5,12.5
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",FX,5.0,4.7,8.2,0.0,12.9,12.899999999999999
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,7.0,4.7,7.95,0.0,12.65,12.65
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,19.0,4.6,7.05,0.0,11.65,11.649999999999999
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",VT1,6.0,5.0,7.05,0.3,12.35,11.75
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,3.0,5.0,8.85,0.0,13.85,13.85
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",VT2,6.0,4.4,8.45,0.0,12.85,12.85
Shannon ARCHER,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT2,3.0,4.4,8.5,0.0,12.9,12.9
Shannon ARCHER,w,SCO,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,3.0,5.2,7.5,0.0,12.7,12.7
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,16.0,5.3,6.65,0.0,11.95,11.95
Shannon ARCHER,w,SCO,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,13.0,4.6,6.9,0.0,11.5,11.5
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,15.0,4.5,7.9,0.0,12.4,12.4
Shannon ARCHER,w,SCO,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,12.0,5.0,6.4,0.0,11.4,11.4
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,8.0,4.8,7.566,0.0,12.366,12.366
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,11.0,4.8,7.45,0.0,12.25,12.25
Shannon ARCHER,w,SCO,,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,3.0,5.0,8.7,0.0,13.7,13.7
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",VT2,3.0,4.4,8.5,0.0,12.9,12.9
Shannon ARCHER,w,SCO,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",VT2,1.0,4.4,8.7,0.0,13.1,13.1
Dildora ARIPOVA,w,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,0.0,0.0,0.0,0.0,0.0,0.0
Dildora ARIPOVA,w,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,0.0,0.0,0.0,0.0,0.0,0.0
Dildora ARIPOVA,w,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,135.0,4.6,5.333,0.0,9.933,9.933
Dildora ARIPOVA,w,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,0.0,0.0,0.0,0.0,0.0,0.0
Dildora ARIPOVA,w,UZB,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,30.0,4.3,5.833,0.0,10.133,10.133
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",BB,8.0,5.0,6.066,0.0,11.066,11.065999999999999
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,7.0,5.2,7.766,0.0,12.966,12.966000000000001
Dildora ARIPOVA,w,UZB,2023-03-04,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,31.0,5.0,6.033,0.0,11.033,11.033000000000001
Dildora ARIPOVA,w,UZB,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,26.0,4.4,6.666,0.0,11.066,11.066
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,15.0,4.6,8.0,0.3,12.3,12.299999999999999
Dildora ARIPOVA,w,UZB,2023-03-04,FIG Apparatus World Cup 2023,final,"Doha, Qatar",FX,4.0,5.0,7.566,0.0,12.566,12.565999999999999
Dildora ARIPOVA,w,UZB,2023-03-04,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",FX,2.0,5.0,7.866,0.0,12.866,12.866
Dildora ARIPOVA,w,UZB,2023-04-30,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",UB,8.0,4.9,7.2,0.0,12.1,12.100000000000001
Dildora ARIPOVA,w,UZB,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,8.0,5.0,7.5,0.0,12.5,12.5
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",UB,22.0,5.0,5.7,0.0,10.7,10.7
Dildora ARIPOVA,w,UZB,2023-03-04,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,22.0,4.5,3.866,0.5,7.866,7.866
Dildora ARIPOVA,w,UZB,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT1,18.0,4.2,7.633,0.1,11.733,11.733
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT1,8.0,4.2,8.466,0.3,12.366,12.366
Dildora ARIPOVA,w,UZB,2023-02-26,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT1,8.0,4.2,8.566,0.0,12.766,12.766000000000002
