Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
simone biles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,6.4,9.8,0.5,15.7,15.700000000000005
simone biles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.6,9.25,0.0,14.85,14.85
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,6.3,7.15,0.0,13.45,13.45
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.8,7.15,0.0,12.95,12.95
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.4,8.0,0.1,13.3,13.3
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.6,7.85,0.0,13.45,13.45
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,5.6,8.25,0.0,13.85,13.85
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.5,8.4,0.0,13.9,13.9
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.0,9.1,0.0,14.1,14.1
skye blakely,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.0,9.3,0.0,14.3,14.3
skye blakely,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,3.0,6.0,7.5,0.0,13.5,13.5
skye blakely,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,2.0,5.4,7.85,0.0,13.25,13.25
skye blakely,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,7.0,5.0,8.15,0.0,13.15,13.15
skye blakely,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,5.0,8.9,0.1,13.8,13.8
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,6.1,7.95,0.0,14.05,14.05
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,6.1,8.1,0.0,14.2,14.2
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.6,7.4,0.1,12.9,12.9
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.7,6.8,0.3,12.2,12.2
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.9,8.5,0.0,14.4,14.4
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.9,8.5,0.0,14.4,14.4
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.0,9.35,0.0,14.35,14.35
skye blakely,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.0,9.25,0.0,14.25,14.25
skye blakely,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,1.0,5.9,7.6,0.1,13.4,13.4
skye blakely,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,8.0,5.9,7.25,0.0,13.15,13.15
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.2,7.5,0.0,12.7,12.7
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.1,7.25,0.0,12.35,12.35
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,4.8,7.3,0.0,12.1,12.1
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,4.8,7.55,0.2,12.15,12.15
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,5.9,6.4,0.0,12.3,12.3
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.7,7.7,0.0,13.4,13.4
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.0,8.6,0.1,13.5,13.5
charlotte booth,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.0,8.6,0.0,13.6,13.6
charlotte booth,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,24.0,4.9,5.7,0.0,10.6,10.6
charlotte booth,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,18.0,4.7,7.4,0.0,12.1,12.1
charlotte booth,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,15.0,5.5,7.15,0.0,12.65,12.65
charlotte booth,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.6,9.1,0.0,13.7,13.7
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,4.8,7.7,0.0,12.5,12.5
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,4.8,6.5,0.0,11.3,11.3
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.1,7.4,0.0,12.5,12.5
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,4.9,6.4,0.1,11.2,11.2
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.4,7.7,0.0,13.1,13.1
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.4,7.95,0.0,13.35,13.35
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,4.6,9.0,0.0,13.6,13.6
charlotte booth,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,4.6,8.8,0.0,13.4,13.4
charlotte booth,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,12.0,4.9,7.15,0.0,12.05,12.05
charlotte booth,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,22.0,4.8,7.25,0.3,11.75,11.75
charlotte booth,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,2.0,5.7,8.05,0.0,13.75,13.75
charlotte booth,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,4.6,8.95,0.0,13.55,13.55
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",BB,11.0,5.2,7.433,0.0,12.633,12.633
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,11.0,5.4,7.733,0.0,13.133,13.133
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,3.0,6.1,8.066,0.0,14.166,14.166
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",FX,3.0,5.9,7.833,0.0,13.733,13.733
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,5.0,6.1,7.966,0.0,14.066,14.066
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",UB,15.0,5.4,7.766,0.0,13.166,13.166
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,32.0,5.4,7.933,0.0,13.333,13.333
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,2.0,5.6,9.133,0.0,14.733,14.733
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,2.0,5.6,9.0,0.0,14.6,14.6
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",VT2,1.0,5.0,9.3,0.0,14.3,14.3
jade carey,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,1.0,5.0,9.366,0.0,14.366,14.366
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,83.0,5.2,6.166,0.0,11.366,11.366
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",FX,2.0,5.8,8.033,0.0,13.833,13.832999999999998
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,4.0,5.8,8.3,0.0,14.1,14.1
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,18.0,5.9,8.166,0.0,14.066,14.066
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,3.0,5.0,9.466,0.0,14.466,14.466
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",VT2,2.0,4.8,9.4,0.0,14.2,14.2
jordan chiles,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,2.0,4.8,9.366,0.0,14.166,14.166
jade carey,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.6,7.6,0.0,13.2,13.2
jade carey,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.8,7.5,0.0,13.3,13.3
jade carey,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.9,8.15,0.0,14.05,14.05
jade carey,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.9,7.95,0.0,13.85,13.85
jade carey,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,5.5,8.1,0.0,13.6,13.6
jade carey,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.5,7.95,0.0,13.45,13.45
jade carey,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.6,9.2,0.0,14.8,14.8
jade carey,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.6,9.05,0.0,14.65,14.65
jade carey,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,5.7,6.45,0.0,12.15,12.15
jade carey,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,5.7,6.35,0.0,12.05,12.05
jade carey,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.9,7.45,0.0,13.35,13.35
jade carey,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.8,7.4,0.1,13.1,13.1
jade carey,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.1,6.95,0.0,12.05,12.05
jade carey,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.4,7.85,0.0,13.25,13.25
jade carey,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.6,8.35,0.0,13.95,13.95
jade carey,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.6,8.95,0.0,14.55,14.55
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,5.2,7.0,0.0,12.2,12.2
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,5.2,7.2,0.0,12.4,12.4
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.4,7.7,0.2,12.9,12.900000000000002
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.3,7.55,0.1,12.75,12.75
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.0,7.0,0.0,12.0,12.0
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.0,7.75,0.0,12.75,12.75
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.0,8.9,0.0,13.9,13.9
dulcy caylor,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.0,8.6,0.0,13.6,13.6
dulcy caylor,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,13.0,5.6,6.35,0.0,11.95,11.95
dulcy caylor,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,20.0,5.3,6.85,0.3,11.85,11.849999999999998
dulcy caylor,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,7.0,5.3,8.05,0.0,13.35,13.35
dulcy caylor,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,5.0,8.5,0.1,13.4,13.4
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.4,8.2,0.0,13.6,13.6
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.4,8.05,0.0,13.45,13.45
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.6,8.35,0.0,13.95,13.95
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.6,8.3,0.0,13.9,13.9
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,5.9,8.35,0.0,14.25,14.25
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.8,8.3,0.0,14.1,14.1
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.0,9.35,0.0,14.35,14.35
jordan chiles,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.0,9.3,0.0,14.3,14.3
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,5.2,7.8,0.0,13.0,13.0
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,5.1,7.0,0.0,12.1,12.1
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.6,7.6,0.1,13.1,13.1
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.7,8.15,0.0,13.85,13.85
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.9,8.3,0.0,14.2,14.2
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.8,7.15,0.0,12.95,12.95
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.0,9.3,0.0,14.3,14.3
jordan chiles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.0,9.25,0.0,14.25,14.25
chloe cho,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,30.0,4.8,4.6,0.0,9.4,9.4
chloe cho,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,26.0,4.8,6.6,0.0,11.4,11.4
chloe cho,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,19.0,4.4,7.6,0.0,12.0,12.0
chloe cho,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,4.2,8.7,0.0,12.9,12.9
norah christian,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,27.0,5.1,5.3,0.0,10.4,10.4
norah christian,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,24.0,5.1,6.75,0.4,11.45,11.45
norah christian,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,28.0,4.8,6.4,0.0,11.2,11.2
norah christian,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,4.6,7.6,0.3,11.9,11.9
adriana consoli,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,22.0,4.7,6.05,0.0,10.75,10.75
adriana consoli,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.2,8.45,0.0,12.65,12.65
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.5,8.3,0.0,13.8,13.8
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.5,8.05,0.0,13.55,13.55
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.5,8.35,0.0,13.85,13.85
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.4,8.25,0.0,13.65,13.65
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,5.6,8.5,0.0,14.1,14.1
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.5,8.0,0.0,13.5,13.5
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.0,9.2,0.0,14.2,14.2
kayla dicello,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.0,9.3,0.0,14.3,14.3
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,5.5,6.2,0.0,11.7,11.7
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,5.7,7.05,0.0,12.75,12.75
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.5,8.0,0.0,13.5,13.5
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.5,8.25,0.0,13.75,13.75
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.2,7.1,0.0,12.3,12.3
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.6,8.2,0.0,13.8,13.8
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.0,9.0,0.0,14.0,14.0
kayla dicello,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.0,9.1,0.0,14.1,14.1
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.2,7.45,0.0,12.65,12.65
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.3,7.0,0.0,12.3,12.3
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.2,7.95,0.0,13.15,13.15
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.2,7.95,0.0,13.15,13.15
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,4.9,6.65,0.0,11.55,11.55
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,5.0,7.3,0.0,12.3,12.3
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,5.0,9.3,0.0,14.3,14.3
amelia disidore,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,5.0,9.3,0.0,14.3,14.3
amelia disidore,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,22.0,4.7,6.45,0.0,11.15,11.15
amelia disidore,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,16.0,4.9,7.45,0.0,12.35,12.35
amelia disidore,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,23.0,4.4,5.65,0.0,10.05,10.05
amelia disidore,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.2,8.95,0.0,13.15,13.15
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,5.8,7.5,0.0,13.3,13.3
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,5.5,6.8,0.0,12.3,12.3
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.6,7.85,0.1,13.35,13.35
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.5,7.95,0.0,13.45,13.45
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,5.1,7.45,0.0,12.55,12.55
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,5.0,7.75,0.0,12.75,12.75
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,5.0,8.85,0.0,13.85,13.85
amelia disidore,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,5.0,9.0,0.0,14.0,14.0
amelia disidore,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,16.0,5.7,6.2,0.1,11.8,11.8
amelia disidore,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,4.0,5.7,7.5,0.0,13.2,13.2
amelia disidore,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,27.0,5.4,5.9,0.0,11.3,11.3
amelia disidore,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,5.0,8.85,0.0,13.85,13.85
gabby disidore,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,32.0,4.3,5.05,0.0,9.35,9.35
skylar draser,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,18.0,5.3,6.85,0.0,12.15,12.15
skylar draser,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,21.0,4.5,7.15,0.0,11.65,11.65
skylar draser,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,13.0,5.1,7.7,0.0,12.8,12.8
skylar draser,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,5.0,7.35,0.0,12.35,12.35
amari drayton,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,29.0,5.2,4.45,0.0,9.65,9.65
amari drayton,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,23.0,5.1,6.4,0.0,11.5,11.5
amari drayton,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",UB,20.0,5.0,6.85,0.0,11.85,11.85
amari drayton,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,4.2,9.0,0.0,13.2,13.2
jordis eichman,w,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",BB,5.0,5.4,7.55,0.0,12.95,12.95
