mID,title,year,Doc,Com,Hor,Adv,Wes,Dra,Ani,War,Chi,Cri,Thr,Sci,Mys,Rom,Fil,Fan,Act,Mus
65,Bio-Dome,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Lawnmower Man 2: Beyond Cyberspace,1996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
67,Two Bits,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,French Twist (Gazon maudit),1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Friday,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,From Dusk Till Dawn,1996,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
71,Fair Game,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,Kicking and Screaming,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,"Mis�rables, Les",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,Bed of Roses,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
75,Big Bully,1996,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,Screamers,1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
77,Nico Icon,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"Crossing Guard, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,"Juror, The",1996,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,"White Balloon, The (Badkonake Sefid )",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,Things to Do in Denver when You're Dead,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
82,Antonia's Line (Antonia),1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,Once Upon a Time... When We Were Colored,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Last Summer in the Hamptons,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,Angels and Insects,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
86,White Squall,1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,Dunston Checks In,1996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Black Sheep,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Nick of Time,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90,"Journey of August King, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Mary Reilly,1996,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,Vampire in Brooklyn,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Beautiful Girls,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Broken Arrow,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
96,In the Bleak Midwinter,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Hate (Haine, La)",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,Shopping,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
99,Heidi Fleiss: Hollywood Madam,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,City Hall,1996,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
101,Bottle Rocket,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Mr. Wrong,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Unforgettable,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,Happy Gilmore,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"Bridges of Madison County, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
106,Nobody Loves Me (Keiner liebt mich),1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,Muppet Treasure Island,1996,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,Catwalk,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Headless Body in Topless Bar,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Braveheart,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
111,Taxi Driver,1976,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
112,Rumble in the Bronx,1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
113,Before and After,1996,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
114,Margaret's Museum,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,Happiness Is in the Field,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Anne Frank Remembered,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"Young Poisoner's Handbook, The",1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,If Lucy Fell,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,"Steal Big, Steal Little",1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Race the Sun,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,"Boys of St. Vincent, The",1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,Boomerang,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,Chungking Express,1994,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
124,"Star Maker, The (Uomo delle stelle, L')",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,Flirting With Disaster,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"NeverEnding Story III, The",1994,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
127,"Silence of the Palace, The (Saimt el Qusur)",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,Jupiter's Wife,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Pie in the Sky,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,Angela,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,Frankie Starlight,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132,Jade,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,Nueba Yol,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,Sonic Outlaws,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Down Periscope,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,From the Journals of Jean Seberg,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Man of the Year,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"Neon Bible, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,Target,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
140,Up Close and Personal,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
141,"Birdcage, The",1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Shadows (Cienie),1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,Gospa,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,"Brothers McMullen, The",1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Bad Boys,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,"Amazing Panda Adventure, The",1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,"Basketball Diaries, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,"Awfully Big Adventure, An",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,Amateur,1994,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
150,Apollo 13,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,Rob Roy,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
152,"Addiction, The",1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Batman Forever,1995,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
154,Belle de jour,1967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Beyond Rangoon,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
156,Blue in the Face,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Canadian Bacon,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Casper,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
159,Clockers,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,Congo,1995,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
161,Crimson Tide,1995,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
162,Crumb,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Desperado,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
164,Devil in a Blue Dress,1995,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
165,Die Hard: With a Vengeance,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
166,"Doom Generation, The",1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,Feast of July,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,First Knight,1995,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
169,Free Willy 2: The Adventure Home,1995,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
170,Hackers,1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
171,Jeffrey,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Johnny Mnemonic,1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
173,Judge Dredd,1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
174,Jury Duty,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Kids,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176,Living in Oblivion,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Lord of Illusions,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Love & Human Remains,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Mad Love,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
180,Mallrats,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Mighty Morphin Power Rangers: The Movie,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
182,Moonlight and Valentino,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
183,Mute Witness,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,Nadja,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,"Net, The",1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
186,Nine Months,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Party Girl,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"Prophecy, The",1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Reckless,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Safe,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,"Scarlet Letter, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,"Show, The",1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Showgirls,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
194,Smoke,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,Something to Talk About,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
196,Species,1995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,"Stars Fell on Henrietta, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,Strange Days,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
200,"Tie That Binds, The",1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,Three Wishes,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,Total Eclipse,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Under Siege 2: Dark Territory,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,Unstrung Heroes,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,Unzipped,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"Walk in the Clouds, A",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
208,Waterworld,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,White Man's Burden,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,Wild Bill,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"Browning Version, The",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,Bushwhacked,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Burnt By the Sun (Utomlyonnye solntsem),1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,Before the Rain (Pred dozhdot),1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,Before Sunrise,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
216,Billy Madison,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,"Babysitter, The",1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
218,Boys on the Side,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,"Cure, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,Castle Freak,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Circle of Friends,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
223,Clerks,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Don Juan DeMarco,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
225,Disclosure,1994,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
226,Dream Man,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,Drop Zone,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,Destiny Turns on the Radio,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Death and the Maiden,1994,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
230,Dolores Claiborne,1994,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
231,Dumb & Dumber,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Eat Drink Man Woman,1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233,Exotica,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,Exit to Eden,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Ed Wood,1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,French Kiss,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,Forget Paris,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,Far From Home: The Adventures of Yellow Dog,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
239,"Goofy Movie, A",1995,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
240,Hideaway,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,Fluke,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
242,Farinelli: il castrato,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
243,Gordy,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Gumby: The Movie,1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
245,"Glass Shield, The",1994,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
246,Hoop Dreams,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Heavenly Creatures,1994,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
248,Houseguest,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Immortal Beloved,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
250,Heavyweights,1994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,"Hunted, The",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,I.Q.,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
253,Interview with the Vampire,1994,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
254,Jefferson in Paris,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
255,"Jerky Boys, The",1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Junior,1994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,Just Cause,1995,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
258,"Kid in King Arthur's Court, A",1995,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
259,Kiss of Death,1995,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
260,Star Wars: Episode IV - A New Hope,1977,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
261,Little Women,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
262,"Little Princess, A",1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
263,Ladybird Ladybird,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
264,"Enfer, L'",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,Like Water for Chocolate (Como agua para chocolate),1992,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
266,Legends of the Fall,1994,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
267,Major Payne,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Little Odessa,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,My Crazy Life (Mi vida loca),1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
270,Love Affair,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
271,Losing Isaiah,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
272,"Madness of King George, The",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
273,Mary Shelley's Frankenstein,1994,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
274,Man of the House,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Mixed Nuts,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Milk Money,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
277,Miracle on 34th Street,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
