Rank,D_Score,E_Score,Penalty,Score,Apparatus_code,Country_code,Name_code
56.0,6.0,7.166,0.0,13.166,2,31,454
89.0,3.8,7.7,0.0,11.5,3,31,454
55.0,4.7,8.333,0.0,13.033,4,31,454
96.0,5.2,7.966,0.3,12.866,5,31,454
99.0,4.5,7.566,0.0,12.066,2,31,454
28.0,5.3,7.733,0.0,13.033,0,31,454
23.0,5.0,7.7,0.0,12.7,2,31,454
33.0,4.7,8.3,0.0,13.0,3,31,454
33.0,5.2,6.533,0.0,11.733,0,31,454
18.0,5.7,7.166,0.0,12.866,2,31,454
35.0,4.5,7.766,0.0,12.266,3,31,454
8.0,5.5,6.3,0.0,11.8,3,43,13
6.0,5.9,8.7,0.0,14.6,3,43,13
16.0,5.6,8.066,0.0,13.666,3,43,13
14.0,4.3,8.2,0.0,12.5,0,16,160
19.0,4.3,8.0,0.0,12.3,0,16,160
10.0,4.2,7.95,0.0,12.15,1,16,160
7.0,4.2,7.65,0.0,11.85,1,16,160
8.0,4.2,8.0,0.0,12.2,1,16,160
9.0,4.5,8.4,0.0,12.9,2,16,160
10.0,4.5,8.5,0.0,13.0,2,16,160
9.0,4.1,7.7,0.0,11.8,3,16,160
14.0,4.1,7.6,0.0,11.7,3,16,160
10.0,4.0,7.8,0.0,11.8,4,16,160
20.0,4.0,7.7,0.0,11.7,4,16,160
14.0,4.0,9.0,0.0,13.0,5,16,160
22.0,4.0,8.9,0.0,12.9,5,16,160
15.0,5.8,7.333,0.0,13.133,2,23,357
34.0,5.3,7.0,0.0,12.3,3,23,357
8.0,7.766,6.0,0.0,13.76,4,37,312
6.0,8.6,6.0,0.0,14.6,4,37,312
2.0,6.0,8.766,0.0,14.766,4,37,312
2.0,6.0,8.666,0.0,14.666,4,37,312
6.0,6.0,8.6,0.0,14.6,4,37,312
5.0,6.0,8.666,0.0,14.666,4,37,312
38.0,4.7,8.133,0.0,12.833,3,51,360
18.0,5.2,8.9,0.0,14.1,5,51,360
18.0,5.2,8.2,0.0,13.4,5,51,360
3.0,8.0,5.8,0.0,13.8,0,45,138
8.0,7.3,5.7,0.0,13.0,0,45,138
16.0,7.65,4.8,0.0,12.45,1,45,138
17.0,7.6,4.8,0.0,12.4,2,45,138
21.0,6.5,4.5,0.0,11.0,3,45,138
5.0,7.933,5.2,0.1,13.033,5,45,138
4.0,9.1,5.2,0.1,14.2,5,45,138
5.0,8.966,5.2,0.0,14.166,5,45,138
4.0,8.95,5.2,0.0,14.15,5,45,138
102.0,5.1,6.733,0.2,11.633,0,11,542
17.0,5.2,8.433,0.0,13.633,1,11,542
87.0,5.5,6.7,0.0,12.2,2,11,542
79.0,4.6,7.3,0.0,11.9,3,11,542
44.0,4.8,8.366,0.0,13.166,4,11,542
59.0,4.8,9.033,0.0,13.833,5,11,542
61.0,4.9,8.166,0.0,13.066,0,11,542
46.0,5.1,7.766,0.0,12.866,1,11,542
24.0,5.7,8.133,0.0,13.833,2,11,542
126.0,4.5,5.966,0.0,10.466,3,11,542
91.0,4.6,8.033,0.0,12.633,4,11,542
71.0,4.8,8.9,0.0,13.7,5,11,542
2.0,8.433,5.3,0.0,13.733,1,11,542
1.0,8.45,5.3,0.0,13.75,1,11,542
2.0,8.533,5.7,0.0,14.23,2,11,542
3.0,8.7,5.7,0.0,14.4,2,11,542
51.0,5.1,8.333,0.3,13.133,0,62,157
57.0,3.9,8.766,0.0,12.666,1,62,157
106.0,3.3,6.933,0.0,10.233,2,62,157
100.0,3.5,7.366,0.0,10.866,3,62,157
109.0,3.2,6.333,0.3,9.233,4,62,157
87.0,5.2,7.966,0.1,13.066,5,62,157
82.0,3.7,8.8,0.0,12.5,2,56,231
66.0,4.3,8.566,0.0,12.866,4,56,231
77.0,4.8,7.866,0.0,12.666,0,19,170
39.0,4.8,8.433,0.0,13.233,1,19,170
36.0,5.1,8.566,0.0,13.666,2,19,170
73.0,3.9,8.1,0.0,12.0,3,19,170
95.0,4.0,8.166,0.0,12.166,4,19,170
81.0,4.8,8.7,0.3,13.2,5,19,170
95.0,4.4,8.066,0.0,12.466,0,19,170
70.0,4.8,7.633,0.0,12.433,1,19,170
64.0,4.8,8.166,0.0,12.966,2,19,170
120.0,3.4,7.266,0.0,10.666,3,19,170
88.0,4.2,8.466,0.0,12.666,4,19,170
37.0,4.8,9.233,0.0,14.033,5,19,170
71.0,7.466,4.5,0.4,11.566,0,19,170
35.0,8.0,5.1,0.0,13.1,1,19,170
26.0,8.633,4.8,0.0,13.433,2,19,170
38.0,8.266,4.3,0.0,12.566,3,19,170
43.0,8.533,4.2,0.0,12.733,4,19,170
31.0,9.033,4.8,0.0,13.83,5,19,170
10.0,8.9,4.8,0.0,13.7,5,19,170
11.0,5.1,7.7,0.0,12.8,0,79,540
26.0,4.2,6.6,0.0,10.8,1,79,540
22.0,4.4,7.8,0.0,12.2,2,79,540
22.0,3.8,6.85,0.0,10.65,3,79,540
25.0,4.1,7.0,0.0,11.1,4,79,540
31.0,4.0,7.9,0.0,11.9,5,79,540
14.0,4.7,8.0,0.0,12.7,0,63,350
14.0,3.9,8.0,0.0,11.9,1,63,350
24.0,3.8,8.2,0.0,12.0,2,63,350
27.0,3.8,7.05,0.0,10.85,4,63,350
25.0,5.2,7.65,0.1,12.75,5,63,350
14.0,5.2,9.1,0.1,14.2,0,75,150
43.0,4.7,8.433,0.0,13.133,1,75,150
19.0,4.7,8.0,0.0,12.7,1,75,150
7.0,6.5,7.2,0.0,13.7,2,75,150
5.0,6.5,8.2,0.0,14.7,2,75,150
2.0,6.5,8.7,0.0,15.2,2,75,150
5.0,5.8,8.466,0.0,14.266,3,75,150
7.0,5.8,8.5,0.0,14.3,3,75,150
3.0,5.9,8.366,0.0,14.266,3,75,150
21.0,5.2,9.233,0.0,14.433,5,75,150
14.0,5.2,9.1,0.1,14.2,5,75,150
47.0,4.4,8.433,0.0,12.833,1,75,150
2.0,6.5,8.433,0.0,14.933,2,75,150
1.0,6.5,8.6,0.0,15.1,2,75,150
12.0,5.8,8.0,0.0,13.8,3,75,150
38.0,5.2,8.933,0.1,14.033,5,75,150
26.0,4.4,8.55,0.0,12.95,1,75,150
3.0,6.5,7.766,0.0,14.266,2,75,150
8.0,6.5,7.85,0.0,14.35,2,75,150
4.0,5.8,8.133,0.0,13.933,3,75,150
6.0,5.8,8.0,0.0,13.8,3,75,150
25.0,5.2,8.8,0.1,13.9,5,75,150
5.0,6.5,8.0,0.0,14.5,2,75,150
3.0,6.5,8.2,0.0,14.7,2,75,150
16.0,5.8,8.033,0.0,13.833,3,75,150
3.0,6.5,8.233,0.0,14.733,2,75,150
3.0,6.5,8.233,0.0,14.733,2,75,150
9.0,5.8,8.333,0.0,14.133,3,75,150
65.0,4.5,8.333,0.0,12.833,0,5,319
95.0,3.8,7.833,0.0,11.633,1,5,319
73.0,4.2,8.5,0.0,12.7,2,5,319
21.0,5.3,8.266,0.0,13.566,3,5,319
58.0,4.9,8.1,0.0,13.0,4,5,319
85.0,4.0,9.1,0.0,13.1,5,5,319
37.0,7.6,5.0,0.0,12.6,3,5,319
6.0,5.8,7.866,0.3,13.366,0,75,7
7.0,5.8,8.466,0.0,14.266,0,75,7
1.0,6.0,9.233,0.0,15.233,0,75,7
60.0,4.7,7.933,0.0,12.633,1,75,7
3.0,5.4,8.5,0.0,13.9,1,75,7
15.0,5.6,8.533,0.0,14.133,2,75,7
13.0,5.6,8.266,0.0,13.866,2,75,7
27.0,5.0,8.3,0.0,13.3,3,75,7
23.0,5.0,7.033,0.0,12.033,3,75,7
2.0,6.3,8.733,0.0,15.033,4,75,7
2.0,6.3,8.633,0.0,14.933,4,75,7
1.0,6.3,8.5,0.0,14.8,4,75,7
1.0,6.0,9.2,0.0,15.2,5,75,7
1.0,6.0,9.233,0.0,15.233,5,75,7
11.0,5.6,8.2,0.3,13.5,5,75,7
3.0,5.8,8.133,0.0,13.933,0,75,7
16.0,5.8,8.066,0.1,13.766,0,75,7
5.0,4.7,8.733,0.0,13.433,1,75,7
21.0,4.7,8.5,0.0,13.2,1,75,7
3.0,5.6,8.7,0.0,14.3,2,75,7
17.0,5.6,8.4,0.0,14.0,2,75,7
9.0,5.0,8.166,0.0,13.166,3,75,7
59.0,5.1,7.6,0.0,12.7,3,75,7
1.0,6.3,8.633,0.0,14.933,4,75,7
1.0,6.3,8.733,0.0,15.033,4,75,7
1.0,6.3,8.733,0.0,15.033,4,75,7
3.0,6.0,9.1,0.0,15.1,5,75,7
3.0,6.0,9.066,0.1,14.966,5,75,7
5.0,5.6,8.033,0.1,13.533,5,75,7
7.0,4.8,9.1,0.0,13.9,5,75,7
20.0,7.833,5.8,0.1,13.533,0,75,7
12.0,8.4,5.4,0.0,13.8,1,75,7
18.0,8.166,5.6,0.0,13.766,2,75,7
60.0,7.2,4.4,0.0,11.6,3,75,7
3.0,8.633,6.3,0.0,14.93,4,75,7
5.0,8.533,6.3,0.0,14.833,4,75,7
22.0,8.866,5.6,0.3,14.16,5,75,7
5.0,7.9,5.6,0.0,13.5,5,75,7
6.0,9.166,4.8,0.0,13.966,5,75,7
14.0,5.8,8.3,0.1,14.0,0,75,7
14.0,5.0,8.5,0.0,13.5,1,75,7
25.0,5.6,8.05,0.0,13.65,2,75,7
22.0,5.1,7.8,0.0,12.9,3,75,7
1.0,6.3,8.3,0.0,14.6,4,75,7
4.0,6.3,8.1,0.0,14.4,4,75,7
3.0,5.6,8.1,0.1,13.6,5,75,7
3.0,5.6,9.65,0.0,15.25,5,75,7
3.0,4.8,9.333,0.0,14.133,5,75,7
3.0,4.8,9.3,0.0,14.1,5,75,7
5.0,6.3,8.166,0.0,14.466,4,75,7
3.0,6.3,8.333,0.0,14.633,4,75,7
14.0,6.0,9.133,0.3,14.833,5,75,7
14.0,5.6,7.933,0.3,13.233,5,75,7
4.0,5.8,8.2,0.1,13.9,0,75,7
6.0,5.8,7.9,0.1,13.6,0,75,7
4.0,5.4,8.366,0.0,13.766,1,75,7
7.0,5.0,8.633,0.0,13.633,1,75,7
8.0,5.6,8.466,0.0,14.066,2,75,7
8.0,5.6,8.4,0.0,14.0,2,75,7
2.0,6.3,8.733,0.0,15.033,4,75,7
2.0,6.3,8.6,0.0,14.9,4,75,7
15.0,5.6,9.166,0.0,14.766,5,75,7
15.0,4.8,7.933,0.0,12.733,5,75,7
33.0,5.1,5.15,0.6,9.65,0,58,438
27.0,4.3,6.2,0.0,10.5,1,58,438
32.0,4.7,4.65,0.0,9.35,2,58,438
8.0,4.6,6.25,0.0,10.85,3,58,438
9.0,4.6,7.75,0.0,12.35,3,58,438
28.0,4.3,6.45,0.0,10.75,4,58,438
26.0,4.0,8.6,0.0,12.6,5,58,438
14.0,4.9,7.75,0.0,12.65,0,10,224
31.0,3.2,4.25,0.0,7.45,1,10,224
22.0,3.5,8.65,0.0,12.15,2,10,224
17.0,4.1,7.95,0.0,12.05,3,10,224
31.0,3.2,6.75,0.3,9.65,4,10,224
8.0,5.6,8.133,0.0,13.733,4,3,47
6.0,6.0,8.633,0.0,14.633,4,3,47
7.0,6.0,8.433,0.0,14.433,4,3,47
5.0,5.9,8.766,0.0,14.666,4,3,47
4.0,8.933,5.9,0.0,14.83,4,3,47
7.0,8.666,5.9,0.0,14.566,4,3,47
1.0,8.8,5.9,0.0,14.7,4,3,47
1.0,8.35,5.9,0.0,14.25,4,3,47
3.0,6.0,8.533,0.0,14.533,4,3,47
5.0,6.0,8.533,0.0,14.533,4,3,47
4.0,6.0,8.733,0.0,14.733,4,3,47
3.0,6.0,8.766,0.0,14.766,4,3,47
28.0,8.266,5.0,0.0,13.266,0,78,49
65.0,7.666,4.0,0.0,11.666,1,78,49
66.0,7.333,4.6,0.0,11.933,2,78,49
71.0,7.3,3.7,0.0,11.0,3,78,49
36.0,7.966,5.1,0.0,13.066,4,78,49
23.0,8.933,5.2,0.0,14.13,5,78,49
7.0,9.066,4.8,0.0,13.866,5,78,49
11.0,8.1,4.7,0.0,12.8,0,78,2
2.0,8.4,6.1,0.0,14.5,3,78,2
7.0,7.5,6.1,0.0,13.6,3,78,2
1.0,6.2,8.666,0.0,14.866,3,78,2
4.0,6.1,8.7,0.0,14.8,3,78,2
12.0,5.8,8.2,0.0,14.0,3,78,2
37.0,7.366,5.8,0.1,13.066,0,45,201
15.0,5.8,7.333,0.0,13.133,0,45,201
31.0,8.533,4.7,0.0,13.233,1,45,201
11.0,4.7,8.433,0.0,13.133,1,45,201
46.0,7.633,5.1,0.0,12.733,2,45,201
15.0,4.8,8.4,0.0,13.2,2,45,201
22.0,7.266,5.8,0.0,13.066,3,45,201
8.0,5.3,8.233,0.0,13.533,3,45,201
54.0,8.533,4.0,0.0,12.533,4,45,201
16.0,4.0,8.6,0.0,12.6,4,45,201
10.0,4.8,9.233,0.0,14.033,5,45,201
29.0,9.133,4.8,0.0,13.93,5,45,201
20.0,4.8,7.766,0.0,12.566,1,45,201
12.0,5.1,8.5,0.0,13.6,2,45,201
13.0,5.7,8.233,0.0,13.933,3,45,201
31.0,4.4,6.366,0.0,10.766,1,45,201
25.0,5.1,6.833,0.0,11.933,2,45,201
6.0,6.0,8.1,0.0,14.1,3,45,201
8.0,5.9,8.266,0.0,14.166,3,45,201
1.0,5.3,8.5,0.0,13.8,1,25,368
1.0,5.3,8.35,0.0,13.65,1,25,368
11.0,5.0,7.0,0.0,12.0,3,25,368
2.0,5.7,8.35,0.0,14.05,4,25,368
2.0,5.7,8.3,0.0,14.0,4,25,368
6.0,6.0,7.85,0.0,13.85,2,75,151
2.0,6.5,8.466,0.0,14.966,2,75,151
13.0,5.8,7.5,0.0,13.3,3,75,151
5.0,6.5,7.1,0.0,13.6,2,75,151
1.0,6.5,8.6,0.0,15.1,2,75,151
4.0,5.8,7.4,0.0,13.2,3,75,151
4.0,5.8,7.85,0.0,13.65,3,75,151
43.0,4.9,8.5,0.0,13.4,0,20,98
83.0,4.2,8.033,0.0,12.233,1,20,98
83.0,4.3,8.333,0.0,12.633,2,20,98
93.0,4.0,7.766,0.0,11.766,3,20,98
90.0,4.1,8.533,0.0,12.633,4,20,98
94.0,4.4,8.966,0.1,13.266,5,20,98
62.0,5.4,7.666,0.1,12.966,0,35,282
14.0,5.6,8.133,0.0,13.733,1,35,282
5.0,5.6,8.266,0.0,13.866,1,35,282
26.0,5.8,8.166,0.0,13.966,2,35,282
16.0,6.1,7.733,0.0,13.833,2,35,282
52.0,4.9,7.933,0.0,12.833,3,35,282
19.0,4.9,8.2,0.0,13.1,3,35,282
57.0,4.4,8.6,0.0,13.0,4,35,282
63.0,4.8,9.066,0.1,13.766,5,35,282
89.0,5.2,7.466,0.1,12.566,0,35,282
8.0,5.1,7.4,0.0,12.5,1,35,282
4.0,5.5,8.366,0.0,13.866,1,35,282
53.0,5.9,7.3,0.0,13.2,2,35,282
62.0,4.9,7.733,0.0,12.633,3,35,282
48.0,4.6,8.6,0.0,13.2,4,35,282
109.0,4.4,8.733,0.1,13.033,5,35,282
33.0,5.1,5.0,0.3,9.8,0,10,426
16.0,4.2,8.15,0.0,12.35,1,10,426
12.0,5.0,8.05,0.0,13.05,2,10,426
5.0,4.6,7.53,0.0,12.133,3,10,426
6.0,4.7,7.95,0.0,12.65,3,10,426
6.0,4.9,8.17,0.0,13.066,4,10,426
7.0,4.9,8.3,0.0,13.2,4,10,426
6.0,5.2,8.93,0.1,14.233,5,10,426
4.0,5.2,9.3,0.0,14.5,5,10,426
6.0,5.2,7.87,0.0,13.066,5,10,426
4.0,4.8,8.4,0.1,13.3,5,10,426
18.0,5.4,7.1,0.0,12.5,0,10,426
20.0,4.0,8.0,0.0,12.0,1,10,426
13.0,4.6,8.3,0.0,12.9,2,10,426
4.0,5.0,7.6,0.0,12.6,3,10,426
6.0,5.0,8.1,0.0,13.1,3,10,426
11.0,4.8,8.25,0.0,13.05,4,10,426
5.0,5.4,8.27,0.0,13.666,0,10,139
2.0,5.4,8.55,0.0,13.95,0,10,139
15.0,3.9,8.45,0.0,12.35,1,10,139
14.0,4.2,8.7,0.0,12.9,2,10,139
16.0,4.8,6.3,0.0,11.1,3,10,139
25.0,5.6,7.3,0.3,13.2,5,10,139
25.0,5.2,9.1,0.0,14.3,5,10,139
39.0,5.2,7.8,0.0,13.0,2,9,166
6.0,5.5,7.033,0.0,12.533,3,9,166
9.0,5.2,8.3,0.0,13.5,3,9,166
33.0,5.0,8.1,0.0,13.1,4,9,166
4.0,5.9,8.4,0.0,14.3,0,41,375
1.0,5.9,8.6,0.0,14.5,0,41,375
5.0,5.2,9.3,0.0,14.5,0,41,375
36.0,4.4,8.866,0.0,13.266,1,41,375
20.0,4.4,8.266,0.0,12.666,1,41,375
39.0,5.0,8.633,0.0,13.633,2,41,375
19.0,5.0,8.733,0.0,13.733,2,41,375
20.0,5.2,8.366,0.0,13.566,3,41,375
13.0,5.2,8.166,0.0,13.366,3,41,375
68.0,4.3,8.533,0.0,12.833,4,41,375
26.0,5.2,9.2,0.1,14.3,5,41,375
5.0,5.2,9.3,0.0,14.5,5,41,375
12.0,5.2,9.3,0.1,14.4,5,41,375
117.0,5.1,6.666,0.0,11.766,0,35,479
84.0,4.8,8.8,0.0,13.6,5,35,479
19.0,5.7,5.1,0.0,10.8,0,35,479
16.0,7.75,4.6,0.0,12.35,3,35,479
20.0,5.85,4.5,0.0,10.35,4,35,479
4.0,8.4,5.2,0.0,13.6,1,70,87
2.0,8.4,5.2,0.0,13.6,1,70,87
14.0,7.35,5.9,0.0,13.25,2,70,87
5.0,8.466,5.2,0.0,13.666,4,70,87
7.0,8.25,5.2,0.0,13.45,4,70,87
23.0,5.6,6.8,0.3,12.1,0,10,90
24.0,4.6,7.0,0.0,11.6,1,10,90
31.0,4.9,6.05,0.0,10.95,2,10,90
23.0,4.6,5.85,0.0,10.45,3,10,90
21.0,4.2,8.15,0.0,12.35,4,10,90
33.0,5.6,7.9,0.0,13.5,0,5,23
31.0,5.1,8.266,0.0,13.366,1,5,23
54.0,4.7,8.466,0.0,13.166,2,5,23
66.0,4.1,8.166,0.0,12.266,3,5,23
66.0,4.3,8.566,0.0,12.866,4,5,23
61.0,4.8,9.0,0.0,13.8,5,5,23
98.0,4.8,7.133,0.0,11.933,1,5,23
102.0,4.8,7.2,0.0,12.0,2,5,23
115.0,3.5,7.533,0.0,11.033,3,5,23
117.0,4.3,7.566,0.0,11.866,4,5,23
119.0,4.8,7.666,0.1,12.366,5,5,23
94.0,6.2,6.133,0.2,12.133,0,17,56
41.0,6.2,7.333,0.1,13.433,0,17,56
97.0,5.6,8.0,0.4,13.2,5,17,56
20.0,5.2,8.633,0.1,13.733,5,17,56
8.0,6.3,6.5,0.2,12.6,0,17,56
4.0,6.3,7.7,0.0,14.0,0,17,56
35.0,5.2,7.866,0.3,12.766,5,17,56
35.0,5.2,7.933,0.1,13.033,5,17,56
17.0,6.1,6.9,0.1,12.9,0,17,56
22.0,5.2,7.933,0.0,13.133,5,17,56
22.0,5.2,8.8,0.0,14.0,5,17,56
74.0,4.2,8.166,0.0,12.366,1,27,76
11.0,6.3,7.966,0.0,14.266,2,27,76
5.0,6.3,8.433,0.0,14.733,2,27,76
45.0,5.0,8.0,0.0,13.0,3,27,76
73.0,5.2,7.6,0.0,12.8,4,27,76
17.0,5.2,8.033,0.0,13.233,4,27,76
5.0,6.2,8.166,0.0,14.366,2,27,76
7.0,5.8,8.6,0.0,14.4,2,27,76
113.0,4.7,6.4,0.0,11.1,3,27,76
30.0,5.2,8.266,0.0,13.466,4,27,76
69.0,4.8,9.0,0.1,13.7,5,27,76
32.0,6.2,7.25,0.0,13.45,2,27,78
36.0,4.8,7.2,0.0,12.0,3,27,78
32.0,5.2,7.95,0.0,13.15,4,27,78
36.0,4.8,8.9,0.1,13.6,5,27,78
29.0,4.8,7.466,0.3,11.966,5,60,251
29.0,5.2,7.866,0.0,13.066,5,60,251
28.0,3.8,8.133,0.0,11.933,1,60,252
8.0,5.6,7.866,0.3,13.166,5,60,252
4.0,5.6,8.966,0.0,14.566,5,60,252
8.0,5.2,8.7,0.1,13.8,5,60,252
4.0,5.2,9.1,0.0,14.3,5,60,252
23.0,4.9,7.833,0.0,12.733,0,60,252
15.0,3.8,8.6,0.0,12.4,1,60,252
27.0,4.2,7.1,0.1,11.2,0,79,516
17.0,4.4,7.3,0.0,11.7,1,79,516
23.0,5.0,7.15,0.0,12.15,2,79,516
13.0,4.4,7.4,0.0,11.8,3,79,516
16.0,4.0,8.05,0.0,12.05,4,79,516
28.0,3.2,9.2,0.0,12.4,5,79,516
12.0,5.0,8.35,0.1,13.25,0,10,72
18.0,4.4,7.9,0.0,12.3,1,10,72
3.0,5.7,8.4,0.0,14.1,2,10,72
3.0,5.7,8.6,0.0,14.3,2,10,72
11.0,4.8,7.6,0.0,12.4,3,10,72
15.0,4.3,8.45,0.0,12.75,4,10,72
22.0,4.8,8.45,0.1,13.35,5,10,72
66.0,6.966,5.2,0.1,12.066,0,32,529
38.0,8.166,4.7,0.0,12.866,1,32,529
55.0,7.666,4.8,0.0,12.466,2,32,529
25.0,7.766,5.2,0.0,12.966,3,32,529
63.0,8.1,4.0,0.0,12.1,4,32,529
64.0,8.466,4.8,0.1,13.166,5,32,529
59.0,7.533,5.4,0.6,12.333,0,77,288
29.0,8.5,4.8,0.0,13.3,1,77,288
24.0,8.266,5.3,0.0,13.566,2,77,288
35.0,7.533,5.1,0.0,12.633,3,77,288
55.0,8.1,4.4,0.0,12.5,4,77,288
4.0,9.5,5.2,0.0,14.7,5,77,288
1.0,5.6,8.3,0.0,13.9,4,15,281
3.0,5.6,7.5,0.0,13.1,4,15,281
63.0,5.1,7.8,0.0,12.9,4,68,305
110.0,5.4,6.7,0.0,12.1,4,68,305
41.0,5.1,6.433,0.0,11.533,4,68,305
35.0,4.1,6.766,0.0,10.866,4,68,305
6.0,8.133,5.5,0.1,13.53,0,41,298
7.0,8.433,5.7,0.0,14.133,0,41,298
9.0,5.5,7.866,0.0,13.366,0,41,298
22.0,7.833,5.6,0.0,13.433,1,41,298
5.0,5.4,8.5,0.0,13.9,1,41,298
21.0,8.4,5.3,0.0,13.7,2,41,298
11.0,5.3,8.566,0.0,13.866,2,41,298
28.0,7.333,5.6,0.0,12.933,3,41,298
6.0,5.6,8.266,0.0,13.866,3,41,298
42.0,7.933,4.9,0.0,12.833,4,41,298
12.0,4.5,8.6,0.0,13.1,4,41,298
12.0,5.2,8.633,0.0,13.833,5,41,298
67.0,7.966,5.2,0.1,13.066,5,41,298
13.0,7.95,4.3,0.0,12.25,0,17,152
108.0,4.9,6.033,0.1,10.833,0,68,384
21.0,5.3,7.966,0.0,13.266,0,68,384
34.0,5.3,6.333,0.0,11.633,0,68,384
120.0,5.0,6.3,0.3,11.0,0,49,423
82.0,3.9,8.4,0.0,12.3,1,49,423
108.0,4.5,7.166,0.0,11.666,2,49,423
128.0,4.2,5.7,0.0,9.9,3,49,423
95.0,4.2,8.333,0.0,12.533,4,49,423
82.0,4.8,8.833,0.0,13.633,5,49,423
47.0,5.3,6.466,0.3,11.466,0,49,423
26.0,4.8,7.833,0.0,12.633,2,49,423
36.0,4.4,7.6,0.0,12.0,4,49,423
14.0,5.5,8.0,0.0,13.5,0,32,406
27.0,5.5,8.1,0.0,13.6,0,32,406
12.0,5.0,8.233,0.0,13.233,1,32,406
22.0,5.0,8.2,0.0,13.2,1,32,406
14.0,5.4,8.266,0.0,13.666,2,32,406
12.0,5.7,8.5,0.0,14.2,2,32,406
3.0,5.6,8.366,0.0,13.966,3,32,406
14.0,5.6,8.066,0.0,13.666,3,32,406
57.0,4.6,8.5,0.0,13.1,4,32,406
18.0,4.6,8.266,0.0,12.866,4,32,406
13.0,4.8,9.133,0.0,13.933,5,32,406
43.0,4.8,9.166,0.0,13.966,5,32,406
51.0,4.7,6.6,0.0,11.3,0,29,406
29.0,5.0,7.85,0.0,12.85,1,29,406
50.0,4.8,7.35,0.0,12.15,2,29,406
18.0,5.4,7.55,0.0,12.95,3,29,406
44.0,4.5,8.4,0.0,12.9,4,29,406
38.0,4.8,8.75,0.0,13.55,5,29,406
11.0,5.0,8.2,0.0,13.2,1,32,406
23.0,5.5,8.133,0.0,13.633,3,32,406
32.0,5.2,6.15,0.0,11.35,0,10,188
30.0,3.0,8.2,0.0,11.2,1,10,188
20.0,3.7,8.5,0.0,12.2,2,10,188
20.0,4.1,6.6,0.0,10.7,3,10,188
31.0,3.7,7.3,0.0,11.0,4,10,188
28.0,5.2,7.4,0.3,12.9,5,10,188
28.0,4.0,8.25,0.3,12.55,5,10,188
109.0,4.4,7.6,0.0,12.0,0,68,270
86.0,4.5,7.733,0.0,12.233,1,68,270
