Name,Country,Competition,Location,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Nestor ABAD,ESP,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,SR,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,VT,22.0,5.2,7.9,0.1,13.0
Nestor ABAD,ESP,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,69.0,4.8,9.0,0.1,13.7
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",qual,FX,19.0,5.4,8.433,0.0,13.833
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",qual,HB,11.0,5.6,8.2,0.0,13.8
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",TeamFinal,HB,6.0,5.6,8.166,0.0,13.766
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",qual,PB,91.0,4.7,7.333,0.0,12.033
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",qual,PH,61.0,5.0,7.533,0.0,12.533
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",TeamFinal,PH,5.0,5.5,8.333,0.0,13.833
Yumin ABBADINI,ITA,2022 Senior European Championships,"Munich, Germany",TeamFinal,SR,13.0,5.0,8.366,0.0,13.366
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,FX,11.0,5.5,8.266,0.0,13.766
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,FX,11.0,5.5,8.466,0.0,13.966
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,HB,4.0,5.3,8.166,0.0,13.466
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,HB,90.0,5.3,6.833,0.0,12.133
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,PB,8.0,5.3,8.7,0.0,14.0
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,PB,40.0,5.3,8.2,0.0,13.5
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,PH,1.0,5.7,8.4,0.0,14.1
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",final,PH,6.0,5.7,8.466,0.0,14.166
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,PH,6.0,5.7,8.566,0.0,14.266
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,SR,26.0,4.7,8.8,0.0,13.5
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,SR,10.0,4.7,8.566,0.0,13.266
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,VT,18.0,4.8,8.866,0.1,13.566
Yumin ABBADINI,ITA,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,64.0,4.8,8.933,0.0,13.733
Ally Hamuda ABDULLAH,MAS,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,SR,46.0,4.8,5.133,0.0,9.933
Rasuljon ABDURAKHIMOV,UZB,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,HB,8.0,8.0,4.3,0.0,12.3
Rasuljon ABDURAKHIMOV,UZB,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,HB,5.0,8.75,4.6,0.0,13.35
Rasuljon ABDURAKHIMOV,UZB,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,PB,1.0,8.733,5.5,0.0,14.23
Rasuljon ABDURAKHIMOV,UZB,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,PB,1.0,9.0,5.5,0.0,14.5
Rasuljon ABDURAKHIMOV,UZB,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,SR,16.0,8.4,4.1,0.0,12.5
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,FX,104.0,5.3,6.3,0.0,11.6
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,HB,101.0,3.8,7.266,0.0,11.066
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,PB,56.0,6.0,7.166,0.0,13.166
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,PH,89.0,3.8,7.7,0.0,11.5
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,SR,55.0,4.7,8.333,0.0,13.033
Saba ABESADZE,GEO,2022 Senior European Championships,"Munich, Germany",qual,VT,96.0,5.2,7.966,0.3,12.866
Saba ABESADZE,GEO,2023 10th Senior European Championships,"Antalya, Turkey",qual,PB,99.0,4.5,7.566,0.0,12.066
Saba ABESADZE,GEO,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,FX,28.0,5.3,7.733,0.0,13.033
Saba ABESADZE,GEO,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PB,23.0,5.0,7.7,0.0,12.7
Saba ABESADZE,GEO,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PH,33.0,4.7,8.3,0.0,13.0
Saba ABESADZE,GEO,World Cup,"Doha, Qatar",qual,FX,33.0,5.2,6.533,0.0,11.733
Saba ABESADZE,GEO,World Cup,"Doha, Qatar",qual,PB,18.0,5.7,7.166,0.0,12.866
Saba ABESADZE,GEO,World Cup,"Doha, Qatar",qual,PH,35.0,4.5,7.766,0.0,12.266
Ahmad ABU AL SOUD,JOR,FIG Apparatus World Cup 2023,"Cottbus, Germany",final,PH,8.0,5.5,6.3,0.0,11.8
Ahmad ABU AL SOUD,JOR,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PH,6.0,5.9,8.7,0.0,14.6
Ahmad ABU AL SOUD,JOR,World Cup,"Doha, Qatar",qual,PH,16.0,5.6,8.066,0.0,13.666
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,FX,14.0,4.3,8.2,0.0,12.5
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,FX,19.0,4.3,8.0,0.0,12.3
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,HB,10.0,4.2,7.95,0.0,12.15
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",final,HB,7.0,4.2,7.65,0.0,11.85
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,HB,8.0,4.2,8.0,0.0,12.2
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,PB,9.0,4.5,8.4,0.0,12.9
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,PB,10.0,4.5,8.5,0.0,13.0
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,PH,9.0,4.1,7.7,0.0,11.8
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,PH,14.0,4.1,7.6,0.0,11.7
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,SR,10.0,4.0,7.8,0.0,11.8
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,SR,20.0,4.0,7.7,0.0,11.7
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",AAfinal,VT,14.0,4.0,9.0,0.0,13.0
Francisco ACUNA,CRC,Central American and Caribbean Games,"San Salvador, El Salvador",qual,VT,22.0,4.0,8.9,0.0,12.9
Mohamed AFIFY,EGY,World Cup,"Doha, Qatar",qual,PB,15.0,5.8,7.333,0.0,13.133
Mohamed AFIFY,EGY,World Cup,"Doha, Qatar",qual,PH,34.0,5.3,7.0,0.0,12.3
Mahdi AHMAD KOHANI,IRI,2023 FISH World University Games,"Chengdu, China",final,SR,8.0,7.766,6.0,0.0,13.76
Mahdi AHMAD KOHANI,IRI,2023 FISH World University Games,"Chengdu, China",qual,SR,6.0,8.6,6.0,0.0,14.6
Mahdi AHMAD KOHANI,IRI,FIG Apparatus World Cup 2023,"Cottbus, Germany",final,SR,2.0,6.0,8.766,0.0,14.766
Mahdi AHMAD KOHANI,IRI,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,SR,2.0,6.0,8.666,0.0,14.666
Mahdi AHMAD KOHANI,IRI,World Cup,"Doha, Qatar",final,SR,6.0,6.0,8.6,0.0,14.6
Mahdi AHMAD KOHANI,IRI,World Cup,"Doha, Qatar",qual,SR,5.0,6.0,8.666,0.0,14.666
Muhammad Sharul AIMY,MAS,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PH,38.0,4.7,8.133,0.0,12.833
Muhammad Sharul AIMY,MAS,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,VT,18.0,5.2,8.9,0.0,14.1
Muhammad Sharul AIMY,MAS,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,VT,18.0,5.2,8.2,0.0,13.4
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,FX,3.0,8.0,5.8,0.0,13.8
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,FX,8.0,7.3,5.7,0.0,13.0
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,HB,16.0,7.65,4.8,0.0,12.45
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,PB,17.0,7.6,4.8,0.0,12.4
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,PH,21.0,6.5,4.5,0.0,11.0
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,VT,5.0,7.933,5.2,0.1,13.033
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,VT,4.0,9.1,5.2,0.1,14.2
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,VT,5.0,8.966,5.2,0.0,14.166
Emil AKHMEJANOV,KAZ,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,VT,4.0,8.95,5.2,0.0,14.15
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,FX,102.0,5.1,6.733,0.2,11.633
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,HB,17.0,5.2,8.433,0.0,13.633
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,PB,87.0,5.5,6.7,0.0,12.2
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,PH,79.0,4.6,7.3,0.0,11.9
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,SR,44.0,4.8,8.366,0.0,13.166
Yordan ALEKSANDROV,BUL,2022 Senior European Championships,"Munich, Germany",qual,VT,59.0,4.8,9.033,0.0,13.833
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,FX,61.0,4.9,8.166,0.0,13.066
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,HB,46.0,5.1,7.766,0.0,12.866
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,PB,24.0,5.7,8.133,0.0,13.833
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,PH,126.0,4.5,5.966,0.0,10.466
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,SR,91.0,4.6,8.033,0.0,12.633
Yordan ALEKSANDROV,BUL,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,71.0,4.8,8.9,0.0,13.7
Yordan ALEKSANDROV,BUL,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,HB,2.0,8.433,5.3,0.0,13.733
Yordan ALEKSANDROV,BUL,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,HB,1.0,8.45,5.3,0.0,13.75
Yordan ALEKSANDROV,BUL,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",final,PB,2.0,8.533,5.7,0.0,14.23
Yordan ALEKSANDROV,BUL,2023 Varna World Challenge Cup Results,"Varna, Bulgaria",qual,PB,3.0,8.7,5.7,0.0,14.4
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,FX,51.0,5.1,8.333,0.3,13.133
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,HB,57.0,3.9,8.766,0.0,12.666
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,PB,106.0,3.3,6.933,0.0,10.233
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,PH,100.0,3.5,7.366,0.0,10.866
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,SR,109.0,3.2,6.333,0.3,9.233
Filipe ALMEIDA,POR,2022 Senior European Championships,"Munich, Germany",qual,VT,87.0,5.2,7.966,0.1,13.066
Joar AMBLIE,NOR,2022 Senior European Championships,"Munich, Germany",qual,PB,82.0,3.7,8.8,0.0,12.5
Joar AMBLIE,NOR,2022 Senior European Championships,"Munich, Germany",qual,SR,66.0,4.3,8.566,0.0,12.866
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,FX,77.0,4.8,7.866,0.0,12.666
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,HB,39.0,4.8,8.433,0.0,13.233
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,PB,36.0,5.1,8.566,0.0,13.666
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,PH,73.0,3.9,8.1,0.0,12.0
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,SR,95.0,4.0,8.166,0.0,12.166
Georgios ANGONAS,CYP,2022 Senior European Championships,"Munich, Germany",qual,VT,81.0,4.8,8.7,0.3,13.2
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,FX,95.0,4.4,8.066,0.0,12.466
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,HB,70.0,4.8,7.633,0.0,12.433
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,PB,64.0,4.8,8.166,0.0,12.966
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,PH,120.0,3.4,7.266,0.0,10.666
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,SR,88.0,4.2,8.466,0.0,12.666
Georgios ANGONAS,CYP,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,37.0,4.8,9.233,0.0,14.033
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,FX,71.0,7.466,4.5,0.4,11.566
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,HB,35.0,8.0,5.1,0.0,13.1
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,PB,26.0,8.633,4.8,0.0,13.433
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,PH,38.0,8.266,4.3,0.0,12.566
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,SR,43.0,8.533,4.2,0.0,12.733
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,VT,31.0,9.033,4.8,0.0,13.83
Georgios ANGONAS,CYP,2023 FISH World University Games,"Chengdu, China",qual,VT,10.0,8.9,4.8,0.0,13.7
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,FX,11.0,5.1,7.7,0.0,12.8
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,HB,26.0,4.2,6.6,0.0,10.8
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,PB,22.0,4.4,7.8,0.0,12.2
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,PH,22.0,3.8,6.85,0.0,10.65
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,SR,25.0,4.1,7.0,0.0,11.1
Yefferson ANTON,VEN,Central American and Caribbean Games,"San Salvador, El Salvador",qual,VT,31.0,4.0,7.9,0.0,11.9
Miguel AQUINO III,PUR,Central American and Caribbean Games,"San Salvador, El Salvador",qual,FX,14.0,4.7,8.0,0.0,12.7
Miguel AQUINO III,PUR,Central American and Caribbean Games,"San Salvador, El Salvador",qual,HB,14.0,3.9,8.0,0.0,11.9
Miguel AQUINO III,PUR,Central American and Caribbean Games,"San Salvador, El Salvador",qual,PB,24.0,3.8,8.2,0.0,12.0
Miguel AQUINO III,PUR,Central American and Caribbean Games,"San Salvador, El Salvador",qual,SR,27.0,3.8,7.05,0.0,10.85
Miguel AQUINO III,PUR,Central American and Caribbean Games,"San Salvador, El Salvador",qual,VT,25.0,5.2,7.65,0.1,12.75
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,FX,14.0,5.2,9.1,0.1,14.2
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",qual,HB,43.0,4.7,8.433,0.0,13.133
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,HB,19.0,4.7,8.0,0.0,12.7
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",final,PB,7.0,6.5,7.2,0.0,13.7
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",qual,PB,5.0,6.5,8.2,0.0,14.7
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,PB,2.0,6.5,8.7,0.0,15.2
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",final,PH,5.0,5.8,8.466,0.0,14.266
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",qual,PH,7.0,5.8,8.5,0.0,14.3
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,PH,3.0,5.9,8.366,0.0,14.266
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",qual,VT,21.0,5.2,9.233,0.0,14.433
Ferhat ARICAN,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,VT,14.0,5.2,9.1,0.1,14.2
Ferhat ARICAN,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,HB,47.0,4.4,8.433,0.0,12.833
Ferhat ARICAN,TUR,2023 10th Senior European Championships,"Antalya, Turkey",final,PB,2.0,6.5,8.433,0.0,14.933
Ferhat ARICAN,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,PB,1.0,6.5,8.6,0.0,15.1
Ferhat ARICAN,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,PH,12.0,5.8,8.0,0.0,13.8
Ferhat ARICAN,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,38.0,5.2,8.933,0.1,14.033
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",qual,HB,26.0,4.4,8.55,0.0,12.95
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",final,PB,3.0,6.5,7.766,0.0,14.266
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",qual,PB,8.0,6.5,7.85,0.0,14.35
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",final,PH,4.0,5.8,8.133,0.0,13.933
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",qual,PH,6.0,5.8,8.0,0.0,13.8
Ferhat ARICAN,TUR,EnBW DTB Pokal Team Challenge 2023,"Stuttgart, Germany",qual,VT,25.0,5.2,8.8,0.1,13.9
Ferhat ARICAN,TUR,FIG Apparatus World Cup 2023,"Cottbus, Germany",final,PB,5.0,6.5,8.0,0.0,14.5
Ferhat ARICAN,TUR,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PB,3.0,6.5,8.2,0.0,14.7
Ferhat ARICAN,TUR,FIG Apparatus World Cup 2023,"Cottbus, Germany",qual,PH,16.0,5.8,8.033,0.0,13.833
Ferhat ARICAN,TUR,World Cup,"Doha, Qatar",final,PB,3.0,6.5,8.233,0.0,14.733
Ferhat ARICAN,TUR,World Cup,"Doha, Qatar",qual,PB,3.0,6.5,8.233,0.0,14.733
Ferhat ARICAN,TUR,World Cup,"Doha, Qatar",qual,PH,9.0,5.8,8.333,0.0,14.133
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,FX,65.0,4.5,8.333,0.0,12.833
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,HB,95.0,3.8,7.833,0.0,11.633
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,PB,73.0,4.2,8.5,0.0,12.7
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,PH,21.0,5.3,8.266,0.0,13.566
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,SR,58.0,4.9,8.1,0.0,13.0
Manuel Helmut ARNOLD,AUT,2022 Senior European Championships,"Munich, Germany",qual,VT,85.0,4.0,9.1,0.0,13.1
Manuel Helmut ARNOLD,AUT,2023 FISH World University Games,"Chengdu, China",qual,PH,37.0,7.6,5.0,0.0,12.6
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",final,FX,6.0,5.8,7.866,0.3,13.366
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,FX,7.0,5.8,8.466,0.0,14.266
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,FX,1.0,6.0,9.233,0.0,15.233
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,HB,60.0,4.7,7.933,0.0,12.633
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,HB,3.0,5.4,8.5,0.0,13.9
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,PB,15.0,5.6,8.533,0.0,14.133
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,PB,13.0,5.6,8.266,0.0,13.866
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,PH,27.0,5.0,8.3,0.0,13.3
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,PH,23.0,5.0,7.033,0.0,12.033
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",final,SR,2.0,6.3,8.733,0.0,15.033
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,SR,2.0,6.3,8.633,0.0,14.933
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,SR,1.0,6.3,8.5,0.0,14.8
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,VT,1.0,6.0,9.2,0.0,15.2
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",TeamFinal,VT,1.0,6.0,9.233,0.0,15.233
Adem ASIL,TUR,2022 Senior European Championships,"Munich, Germany",qual,VT,11.0,5.6,8.2,0.3,13.5
Adem ASIL,TUR,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,FX,3.0,5.8,8.133,0.0,13.933
Adem ASIL,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,FX,16.0,5.8,8.066,0.1,13.766
Adem ASIL,TUR,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,HB,5.0,4.7,8.733,0.0,13.433
Adem ASIL,TUR,2023 10th Senior European Championships,"Antalya, Turkey",qual,HB,21.0,4.7,8.5,0.0,13.2
Adem ASIL,TUR,2023 10th Senior European Championships,"Antalya, Turkey",AAfinal,PB,3.0,5.6,8.7,0.0,14.3
