Name,Country,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",FX,78.0,4.5,7.066,0.0,11.566
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",UB,54.0,4.3,7.933,0.0,12.233
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",VT,82.0,3.8,8.5,0.0,12.3
Jess ADAMSON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,54.0,4.3,5.4,0.0,9.7
Jess ADAMSON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,52.0,4.0,6.45,0.0,10.45
Jess ADAMSON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,24.0,3.7,7.6,0.0,11.3
Jess ADAMSON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,44.0,3.6,8.4,0.0,12.0
Ruba ALDAOUD,JOR,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,23.0,3.2,8.6,0.0,11.8
Ruba ALDAOUD,JOR,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,23.0,1.6,8.566,0.0,10.166
Mei AMORELLI,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,22.0,4.2,7.3,0.0,11.5
Mei AMORELLI,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,31.0,4.3,6.7,0.0,11.0
Mei AMORELLI,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,35.0,3.4,6.5,0.0,9.9
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",BB,26.0,4.9,5.433,0.1,10.233
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",FX,18.0,4.6,6.333,0.0,10.933
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",UB,16.0,4.3,6.133,0.0,10.433
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,9.0,3.8,8.566,0.0,12.366
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,9.0,3.4,8.733,0.0,12.133
Lobar AMRILLAEVA,UZB,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,17.0,4.9,7.2,0.0,12.1
Lobar AMRILLAEVA,UZB,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,21.0,4.9,7.166,0.1,11.966
Lobar AMRILLAEVA,UZB,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",UB,28.0,3.6,6.3,0.0,9.9
Anastasija ANANJEVA,LAT,2022 Senior European Championships,qual,"Munich, Germany",BB,117.0,4.7,3.533,0.0,8.233
Anastasija ANANJEVA,LAT,2022 Senior European Championships,qual,"Munich, Germany",FX,101.0,4.4,6.4,0.0,10.8
Anastasija ANANJEVA,LAT,2022 Senior European Championships,qual,"Munich, Germany",UB,111.0,2.7,5.933,0.0,8.633
Anastasija ANANJEVA,LAT,2022 Senior European Championships,qual,"Munich, Germany",VT,87.0,3.8,8.266,0.0,12.066
Anastasija ANANJEVA,LAT,2022 Senior European Championships,qual,"Munich, Germany",VT,24.0,3.4,8.5,0.0,11.9
Anastasija ANANJEVA,LAT,2023 Senior European Championships,qual,"Antalya, Turkey",BB,72.0,4.6,6.1,0.0,10.7
Anastasija ANANJEVA,LAT,2023 Senior European Championships,qual,"Antalya, Turkey",FX,64.0,4.3,7.5,0.0,11.8
Anastasija ANANJEVA,LAT,2023 Senior European Championships,qual,"Antalya, Turkey",UB,103.0,3.4,6.7,0.0,10.1
Anastasija ANANJEVA,LAT,2023 Senior European Championships,qual,"Antalya, Turkey",VT,93.0,3.8,8.633,0.3,12.133
Anastasija ANANJEVA,LAT,2023 Senior European Championships,qual,"Antalya, Turkey",VT,15.0,3.4,8.433,0.0,11.833
Angela ANDREOLI,ITA,2022 Senior European Championships,qual,"Munich, Germany",BB,21.0,6.1,6.566,0.0,12.666
Angela ANDREOLI,ITA,2022 Senior European Championships,final,"Munich, Germany",FX,3.0,5.8,8.066,0.0,13.866
Angela ANDREOLI,ITA,2022 Senior European Championships,qual,"Munich, Germany",FX,3.0,5.6,8.033,0.0,13.633
Angela ANDREOLI,ITA,2022 Senior European Championships,qual,"Munich, Germany",VT,26.0,4.6,8.533,0.0,13.133
Angela ANDREOLI,ITA,2022 Senior European Championships,qual,"Munich, Germany",VT,13.0,4.0,8.633,0.0,12.633
Angela ANDREOLI,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",FX,11.0,5.5,7.5,0.0,13.0
Angela ANDREOLI,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",VT,43.0,4.6,8.733,0.3,13.033
Angela ANDREOLI,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",VT,10.0,3.8,8.466,0.0,12.266
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",BB,25.0,4.4,6.933,0.0,11.333
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",UB,35.0,2.4,7.9,0.0,10.3
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",VT,26.0,3.6,8.633,0.0,12.23
Misella ANTILA,FIN,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,25.0,4.3,7.366,0.0,11.666
Misella ANTILA,FIN,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,27.0,4.3,6.3,0.1,10.5
Misella Alli Helena ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",BB,26.0,4.2,7.066,0.0,11.266
Misella Alli Helena ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",FX,41.0,4.6,6.266,0.3,10.566
Misella Alli Helena ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",UB,41.0,4.2,5.733,0.5,9.433
Misella Alli Helena ANTILA,FIN,2023 FISU World University Games,qual,"Chengdu, China",VT,37.0,3.2,8.666,0.0,11.86
Shannon ARCHER,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,8.0,5.2,5.1,0.0,10.3
Shannon ARCHER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,5.0,5.2,7.3,0.0,12.5
Shannon ARCHER,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",FX,5.0,4.7,8.2,0.0,12.9
Shannon ARCHER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,7.0,4.7,7.95,0.0,12.65
Shannon ARCHER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,19.0,4.6,7.05,0.0,11.65
Shannon ARCHER,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",VT,6.0,5.0,7.05,0.3,12.35
Shannon ARCHER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,3.0,5.0,8.85,0.0,13.85
Shannon ARCHER,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",VT,6.0,4.4,8.45,0.0,12.85
Shannon ARCHER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,3.0,4.4,8.5,0.0,12.9
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,30.0,4.3,5.833,0.0,10.133
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",BB,8.0,5.0,6.066,0.0,11.066
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,7.0,5.2,7.766,0.0,12.966
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,31.0,5.0,6.033,0.0,11.033
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,26.0,4.4,6.666,0.0,11.066
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,15.0,4.6,8.0,0.3,12.3
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,final,"Doha, Qatar",FX,4.0,5.0,7.566,0.0,12.566
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",FX,2.0,5.0,7.866,0.0,12.866
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",UB,8.0,4.9,7.2,0.0,12.1
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,8.0,5.0,7.5,0.0,12.5
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",UB,22.0,5.0,5.7,0.0,10.7
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,22.0,4.5,3.866,0.5,7.866
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,18.0,4.2,7.633,0.1,11.733
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,8.0,4.2,8.466,0.3,12.366
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,8.0,4.2,8.566,0.0,12.766
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",VT,12.0,4.2,8.433,0.1,12.533
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,18.0,3.8,8.633,0.0,12.433
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,8.0,3.8,8.666,0.0,12.466
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,8.0,3.8,8.533,0.0,12.333
Dildora ARIPOVA,UZB,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",VT,12.0,3.8,8.7,0.0,12.5
Valeria ARRAIZ,VEN,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",BB,9.0,4.2,7.35,0.0,11.55
Valeria ARRAIZ,VEN,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,12.0,4.3,7.7,0.0,12.0
Valeria ARRAIZ,VEN,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",UB,28.0,4.1,5.7,0.0,9.8
Valeria ARRAIZ,VEN,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,22.0,3.6,8.75,0.0,12.35
Valeria ARRAIZ,VEN,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,10.0,3.6,8.6,0.0,12.2
Sona ARTAMONOVA,CZE,2023 Senior European Championships,qual,"Antalya, Turkey",BB,22.0,4.8,7.3,0.0,12.1
Sona ARTAMONOVA,CZE,2023 Senior European Championships,qual,"Antalya, Turkey",FX,90.0,4.6,6.933,0.3,11.233
Sona ARTAMONOVA,CZE,2023 Senior European Championships,qual,"Antalya, Turkey",UB,68.0,3.8,7.766,0.0,11.566
Sona ARTAMONOVA,CZE,2023 Senior European Championships,qual,"Antalya, Turkey",VT,80.0,3.6,8.7,0.0,12.3
Sona ARTAMONOVA,CZE,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,11.0,4.6,8.066,0.0,12.666
Sona ARTAMONOVA,CZE,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,13.0,4.8,7.766,0.1,12.466
Urara ASHIKAWA,JPN,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",BB,2.0,5.8,8.266,0.0,14.066
Urara ASHIKAWA,JPN,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,4.0,5.5,7.633,0.0,13.133
Urara ASHIKAWA,JPN,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,10.0,4.5,8.166,0.0,12.666
Amelie ATTWOOD,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,36.0,4.7,5.85,0.0,10.55
Amelie ATTWOOD,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,41.0,4.3,7.05,0.0,11.35
Amelie ATTWOOD,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,43.0,3.2,7.0,0.0,10.2
Amelie ATTWOOD,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,49.0,3.2,8.65,0.0,11.85
Nada AWAD,EGY,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,25.0,4.4,6.033,0.0,10.433
Nada AWAD,EGY,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,33.0,4.2,6.3,0.6,9.9
Nada AWAD,EGY,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,28.0,4.5,6.3,0.0,10.8
Caleigh Anders,RSA,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",UB,5.0,4.7,7.1,0.0,11.8
Caleigh Anders,RSA,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",UB,5.0,4.7,7.167,0.0,11.867
Wong Hiu Ying Angel,HKG,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",BB,12.0,4.5,6.9,0.1,11.3
Tatiana BACHURINA,CYP,2022 Senior European Championships,qual,"Munich, Germany",BB,52.0,4.5,7.266,0.0,11.766
Tatiana BACHURINA,CYP,2022 Senior European Championships,qual,"Munich, Germany",FX,94.0,4.3,7.1,0.3,11.1
Tatiana BACHURINA,CYP,2022 Senior European Championships,qual,"Munich, Germany",UB,79.0,4.5,6.5,0.0,11.0
Tatiana BACHURINA,CYP,2022 Senior European Championships,qual,"Munich, Germany",VT,98.0,3.2,8.466,0.0,11.666
Csenge Maria BACSKAY,HUN,2022 Senior European Championships,qual,"Munich, Germany",BB,77.0,4.6,6.533,0.0,11.133
Csenge Maria BACSKAY,HUN,2022 Senior European Championships,qual,"Munich, Germany",VT,19.0,4.6,8.7,0.0,13.3
Csenge Maria BACSKAY,HUN,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT,9.0,4.6,9.2,0.0,13.8
Csenge Maria BACSKAY,HUN,2022 Senior European Championships,qual,"Munich, Germany",VT,9.0,4.4,8.7,0.0,13.1
Sacha BAILEY,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,35.0,4.6,6.0,0.0,10.6
Sacha BAILEY,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,40.0,4.2,7.15,0.0,11.35
Sacha BAILEY,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,44.0,3.3,6.9,0.0,10.2
Sacha BAILEY,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,41.0,3.4,8.7,0.0,12.1
Sacha BAILEY,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,41.0,3.6,7.75,0.0,11.35
Sacha BAILEY,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,31.0,4.2,6.4,0.0,10.6
Sacha BAILEY,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,39.0,4.4,5.8,0.1,10.1
Sacha BAILEY,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,39.0,3.3,6.15,0.0,9.45
Shannon BAKER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,40.0,4.0,6.3,0.0,10.3
Shannon BAKER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,27.0,4.7,7.1,0.1,11.7
Shannon BAKER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,30.0,3.9,7.0,0.0,10.9
Shannon BAKER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,47.0,3.6,8.35,0.0,11.95
Shannon BAKER,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,19.0,5.1,6.55,0.0,11.65
Shannon BAKER,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,16.0,4.6,7.1,0.0,11.7
Shannon BAKER,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,38.0,4.2,5.3,0.0,9.5
Adela BALCOVA,SVK,2022 Senior European Championships,qual,"Munich, Germany",UB,76.0,3.5,7.6,0.0,11.1
Adela BALCOVA,SVK,2023 Senior European Championships,qual,"Antalya, Turkey",BB,76.0,4.3,6.133,0.0,10.433
Adela BALCOVA,SVK,2023 Senior European Championships,qual,"Antalya, Turkey",FX,106.0,4.4,6.266,0.0,10.666
Adela BALCOVA,SVK,2023 Senior European Championships,qual,"Antalya, Turkey",UB,98.0,3.5,6.733,0.0,10.233
Adela BALCOVA,SVK,2023 Senior European Championships,qual,"Antalya, Turkey",VT,97.0,3.4,8.6,0.0,12.0
Gabriela BARBOSA,BRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",FX,34.0,4.3,7.1,0.0,11.4
Gabriela BARBOSA,BRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",UB,25.0,4.8,7.45,0.0,12.25
Gabriela BARBOSA,BRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT,31.0,4.2,8.45,0.0,12.65
Ana BARBOSU,ROU,2022 Senior European Championships,final,"Munich, Germany",BB,8.0,5.3,6.566,0.3,11.566
Ana BARBOSU,ROU,2022 Senior European Championships,qual,"Munich, Germany",BB,1.0,5.6,7.933,0.0,13.533
Ana BARBOSU,ROU,2022 Senior European Championships,final,"Munich, Germany",FX,4.0,5.6,8.033,0.0,13.633
Ana BARBOSU,ROU,2022 Senior European Championships,qual,"Munich, Germany",FX,10.0,5.4,7.866,0.0,13.266
Ana BARBOSU,ROU,2022 Senior European Championships,qual,"Munich, Germany",UB,12.0,5.9,7.6,0.0,13.5
Ana BARBOSU,ROU,2022 Senior European Championships,qual,"Munich, Germany",VT,50.0,4.2,8.633,0.1,12.733
Ana BARBOSU,ROU,2023 Senior European Championships,AAfinal,"Antalya, Turkey",BB,8.0,5.8,7.133,0.0,12.933
Ana BARBOSU,ROU,2023 Senior European Championships,qual,"Antalya, Turkey",BB,9.0,5.3,7.5,0.0,12.8
Ana BARBOSU,ROU,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,19.0,5.3,6.733,0.0,12.033
Ana BARBOSU,ROU,2023 Senior European Championships,final,"Antalya, Turkey",FX,7.0,5.5,7.3,0.0,12.8
Ana BARBOSU,ROU,2023 Senior European Championships,qual,"Antalya, Turkey",FX,7.0,5.5,7.733,0.0,13.233
Ana BARBOSU,ROU,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,11.0,6.0,7.133,0.0,13.133
Ana BARBOSU,ROU,2023 Senior European Championships,qual,"Antalya, Turkey",UB,13.0,6.2,7.4,0.0,13.6
Ana BARBOSU,ROU,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,8.0,4.6,8.8,0.0,13.4
Ana BARBOSU,ROU,2023 Senior European Championships,qual,"Antalya, Turkey",VT,98.0,4.6,7.633,0.3,11.933
Sydney BARROS,PUR,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,13.0,5.2,6.75,0.0,11.95
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,9.0,5.1,7.6,0.0,12.7
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,10.0,4.8,7.266,0.0,12.066
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,10.0,4.8,7.9,0.0,12.7
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,15.0,4.7,7.5,0.1,12.1
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",FX,4.0,4.7,7.833,0.0,12.533
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,3.0,4.7,8.033,0.0,12.733
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",FX,15.0,4.7,7.2,0.4,11.5
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",UB,24.0,4.5,6.7,0.0,11.2
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,26.0,4.2,6.833,0.0,11.033
Aida BAUYRZHANOVA,KAZ,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,13.0,4.3,6.8,0.0,11.1
Teja BELAK,SLO,2022 Senior European Championships,qual,"Munich, Germany",VT,117.0,4.0,7.6,0.3,11.3
Arianna BELARDELLI,ITA,FIG Apparatus World Cup 2023,final,"Baku, Azerbaijan",FX,2.0,5.3,7.8,0.3,12.8
Arianna BELARDELLI,ITA,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,7.0,5.3,7.533,0.4,12.433
Arianna BELARDELLI,ITA,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",UB,10.0,5.1,7.733,0.0,12.833
Ellie BELBIN,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,36.0,4.1,6.1,0.0,10.2
Ellie BELBIN,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,22.0,4.3,7.15,0.0,11.45
Ellie BELBIN,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,42.0,4.1,5.15,0.0,9.25
Cecilie BERGHOLT,DEN,2023 Senior European Championships,qual,"Antalya, Turkey",BB,95.0,4.2,5.533,0.0,9.733
Cecilie BERGHOLT,DEN,2023 Senior European Championships,qual,"Antalya, Turkey",FX,109.0,4.3,6.266,0.0,10.566
Cecilie BERGHOLT,DEN,2023 Senior European Championships,qual,"Antalya, Turkey",UB,75.0,3.4,7.9,0.0,11.3
Cecilie BERGHOLT,DEN,2023 Senior European Championships,qual,"Antalya, Turkey",VT,106.0,3.4,8.433,0.0,11.833
Zadie BERKIN EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,52.0,4.3,5.45,0.0,9.75
Zadie BERKIN EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,49.0,2.4,7.35,0.0,9.75
Tamsyn Sanchez BESSIT,RSA,2023 FISU World University Games,qual,"Chengdu, China",BB,33.0,4.4,6.0,0.0,10.4
