Name,Country,Gender,Date,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jade CAREY,USA,w,2021-07-25,qual,UE,20.0,5.8,8.333,0.0,14.133
Jade CAREY,USA,w,2021-07-25,qual,UE,20.0,5.8,8.333,0.0,14.133
Jade CAREY,USA,w,2021-07-29,final,VT,2.0,6.0,9.2,0.0,15.2
Jade CAREY,USA,w,2021-07-25,qual,VT,2.0,6.0,9.166,0.0,15.166
Jade CAREY,USA,w,2021-07-25,qual,VT1,2.0,6.0,9.166,0.0,15.166
Jade CAREY,USA,w,2021-08-01,final,VT1,8.0,3.3,8.633,0.0,11.933
Jade CAREY,USA,w,2021-07-25,qual,VT2,2.0,5.8,9.366,0.0,15.166
Jade CAREY,USA,w,2021-08-01,final,VT2,8.0,5.8,9.1,2.0,12.9
Jordan CHILES,USA,w,2021-07-25,qual,BB,78.0,5.6,5.966,0.0,11.566
Jordan CHILES,USA,w,2021-07-25,qual,BB,78.0,5.6,5.966,0.0,11.566
Jordan CHILES,USA,w,2021-07-25,qual,FX,13.0,5.9,7.666,0.0,13.566
Jordan CHILES,USA,w,2021-07-25,qual,FX,13.0,5.9,7.666,0.0,13.566
Jordan CHILES,USA,w,2021-07-25,qual,UE,52.0,5.7,7.166,0.0,12.866
Jordan CHILES,USA,w,2021-07-25,qual,UE,52.0,5.7,7.166,0.0,12.866
Jordan CHILES,USA,w,2021-07-25,qual,VT,11.0,5.4,9.3,0.0,14.7
Sunisa LEE,USA,w,2021-07-29,final,BB,2.0,6.1,7.733,0.0,13.833
Sunisa LEE,USA,w,2021-07-25,qual,BB,3.0,6.2,8.0,0.0,14.2
Sunisa LEE,USA,w,2021-07-25,qual,BB,3.0,6.2,8.0,0.0,14.2
Sunisa LEE,USA,w,2021-08-01,final,BB,5.0,6.4,7.466,0.0,13.86
Sunisa LEE,USA,w,2021-07-29,final,FX,5.0,5.6,8.1,0.0,13.7
Sunisa LEE,USA,w,2021-07-25,qual,FX,18.0,5.6,7.833,0.0,13.433
Sunisa LEE,USA,w,2021-07-25,qual,FX,18.0,5.6,7.833,0.0,13.433
Sunisa LEE,USA,w,2021-07-29,final,UE,1.0,6.8,8.5,0.0,15.3
Sunisa LEE,USA,w,2021-07-25,qual,UE,2.0,6.6,8.6,0.0,15.2
Sunisa LEE,USA,w,2021-07-25,qual,UE,2.0,6.6,8.6,0.0,15.2
Sunisa LEE,USA,w,2021-08-01,final,UE,3.0,6.2,8.3,0.0,14.5
Sunisa LEE,USA,w,2021-07-29,final,VT,5.0,5.4,9.2,0.0,14.6
Sunisa LEE,USA,w,2021-07-25,qual,VT,24.0,5.4,8.933,0.0,14.333
CALLUM Mc,USA,w,2021-07-25,qual,BB,32.0,5.2,7.866,0.0,13.066
CALLUM Mc,USA,w,2021-07-25,qual,FX,16.0,5.6,7.966,0.1,13.466
CALLUM Mc,USA,w,2021-07-25,qual,UE,22.0,5.8,8.3,0.0,14.1
CALLUM Mc,USA,w,2021-07-25,qual,VT,13.0,5.4,9.133,0.0,14.533
Mykayla SKINNER,USA,w,2021-07-25,qual,BB,27.0,6.1,7.133,0.0,13.233
Mykayla SKINNER,USA,w,2021-07-25,qual,BB,27.0,6.1,7.133,0.0,13.233
Mykayla SKINNER,USA,w,2021-07-25,qual,FX,14.0,6.0,7.566,0.0,13.566
Mykayla SKINNER,USA,w,2021-07-25,qual,FX,14.0,6.0,7.566,0.0,13.566
Mykayla SKINNER,USA,w,2021-07-25,qual,UE,31.0,5.8,7.866,0.0,13.666
Mykayla SKINNER,USA,w,2021-07-25,qual,UE,31.0,5.8,7.866,0.0,13.666
Mykayla SKINNER,USA,w,2021-07-25,qual,VT,7.0,6.0,8.933,0.0,14.933
Mykayla SKINNER,USA,w,2021-07-25,qual,VT1,4.0,6.0,8.933,0.0,14.933
Mykayla SKINNER,USA,w,2021-08-01,final,VT1,2.0,6.0,9.033,0.0,15.033
Mykayla SKINNER,USA,w,2021-07-25,qual,VT2,4.0,5.8,9.0,0.0,14.8
Mykayla SKINNER,USA,w,2021-08-01,final,VT2,2.0,5.8,9.0,0.0,14.8
