Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
EGY,2023 Baku World Cup,qual,PH,36.0,4.7,7.366,0.0,12.066,2023,ahmed abdelrahman
GEO,2022 Senior European Championships,qual,PH,89.0,3.8,7.7,0.0,11.5,2022,saba abesadze
GEO,2023 Cottbus World Cup,qual,PH,33.0,4.7,8.3,0.0,13.0,2023,saba abesadze
GEO,2023 Doha World Cup,qual,PH,35.0,4.5,7.766,0.0,12.266,2023,saba abesadze
INA,2023 Doha World Cup,qual,PH,39.0,4.5,7.0,0.0,11.5,2023,none abiyurafi
JOR,2022 51st FIG Artistic Gymnastics World Championships,final,PH,2.0,6.3,8.566,0.0,14.866,2022,ahmad abu al soud
JOR,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,8.0,6.3,8.066,0.0,14.366,2022,ahmad abu al soud
JOR,2023 Baku World Cup,qual,PH,26.0,5.1,7.7,0.0,12.8,2023,ahmad abu al soud
JOR,2023 Cottbus World Cup,final,PH,8.0,5.5,6.3,0.0,11.8,2023,ahmad abu al soud
JOR,2023 Cottbus World Cup,qual,PH,6.0,5.9,8.7,0.0,14.6,2023,ahmad abu al soud
JOR,2023 Doha World Cup,qual,PH,16.0,5.6,8.066,0.0,13.666,2023,ahmad abu al soud
CRC,2023 Central American and Caribbean Games,AAfinal,PH,9.0,4.1,7.7,0.0,11.8,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,PH,14.0,4.1,7.6,0.0,11.7,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,PH,36.0,3.0,6.1,0.0,9.1,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,30.0,5.3,8.0,0.0,13.3,2022,mohamed afify
EGY,2023 Cairo World Cup,qual,PH,24.0,5.3,7.4,0.0,12.7,2023,mohamed afify
EGY,2023 Doha World Cup,qual,PH,34.0,5.3,7.0,0.0,12.3,2023,mohamed afify
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,PH,41.0,2.2,3.9,4.0,2.1,2022,shishir ahmed
MAS,2023 Cottbus World Cup,qual,PH,38.0,4.7,8.133,0.0,12.833,2023,muhammad sharul aimy
MAS,BIRMINGHAM 2022 Commonwealth Games,qual,PH,23.0,4.2,7.8,0.0,12.0,2022,muhammad sharul aimy
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,138.0,3.4,4.133,3.0,4.533,2022,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,PH,21.0,4.5,6.5,0.0,11.0,2023,emil akhmejanov
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,132.0,3.4,6.1,0.0,9.5,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,PH,79.0,4.6,7.3,0.0,11.9,2022,yordan aleksandrov
BUL,2023 Senior European Championships,qual,PH,126.0,4.5,5.966,0.0,10.466,2023,yordan aleksandrov
POR,2022 Senior European Championships,qual,PH,100.0,3.5,7.366,0.0,10.866,2022,filipe almeida
CHI,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,123.0,4.2,6.166,0.0,10.366,2022,joel alvarez
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,100.0,3.6,8.166,0.0,11.766,2022,georgios angonas
CYP,2022 Senior European Championships,qual,PH,73.0,3.9,8.1,0.0,12.0,2022,georgios angonas
CYP,2023 FISU World University Games,qual,PH,38.0,4.3,8.266,0.0,12.566,2023,georgios angonas
CYP,2023 Senior European Championships,qual,PH,120.0,3.4,7.266,0.0,10.666,2023,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,AAfinal,PH,12.0,3.9,8.65,0.0,12.55,2022,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,PH,33.0,4.1,6.6,0.0,10.7,2022,georgios angonas
VEN,2023 Central American and Caribbean Games,qual,PH,22.0,3.8,6.85,0.0,10.65,2023,yefferson anton
TUR,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,44.0,5.4,7.6,0.0,13.0,2022,ferhat arican
TUR,2022 Senior European Championships,final,PH,5.0,5.8,8.466,0.0,14.266,2022,ferhat arican
TUR,2022 Senior European Championships,qual,PH,7.0,5.8,8.5,0.0,14.3,2022,ferhat arican
TUR,2022 Senior European Championships,TeamFinal,PH,3.0,5.9,8.366,0.0,14.266,2022,ferhat arican
TUR,2023 Cottbus World Cup,qual,PH,16.0,5.8,8.033,0.0,13.833,2023,ferhat arican
TUR,2023 Doha World Cup,qual,PH,9.0,5.8,8.333,0.0,14.133,2023,ferhat arican
TUR,2023 Senior European Championships,qual,PH,12.0,5.8,8.0,0.0,13.8,2023,ferhat arican
TUR,EnBW DTB Pokal Team Challenge 2023,final,PH,4.0,5.8,8.133,0.0,13.933,2023,ferhat arican
TUR,EnBW DTB Pokal Team Challenge 2023,qual,PH,6.0,5.8,8.0,0.0,13.8,2023,ferhat arican
AUT,2022 Senior European Championships,qual,PH,21.0,5.3,8.266,0.0,13.566,2022,manuel helmut arnold
AUT,2023 FISU World University Games,qual,PH,37.0,5.0,7.6,0.0,12.6,2023,manuel helmut arnold
TUR,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,48.0,5.0,7.933,0.0,12.933,2022,adem asil
TUR,2022 Senior European Championships,qual,PH,27.0,5.0,8.3,0.0,13.3,2022,adem asil
TUR,2022 Senior European Championships,TeamFinal,PH,23.0,5.0,7.033,0.0,12.033,2022,adem asil
TUR,2023 FISU World University Games,qual,PH,60.0,4.4,7.2,0.0,11.6,2023,adem asil
TUR,2023 Senior European Championships,AAfinal,PH,9.0,5.0,8.166,0.0,13.166,2023,adem asil
TUR,2023 Senior European Championships,qual,PH,59.0,5.1,7.6,0.0,12.7,2023,adem asil
TUR,EnBW DTB Pokal Team Challenge 2023,qual,PH,22.0,5.1,7.8,0.0,12.9,2023,adem asil
PAN,2023 Central American and Caribbean Games,final,PH,8.0,4.6,6.25,0.0,10.85,2023,richard atencio
PAN,2023 Central American and Caribbean Games,qual,PH,9.0,4.6,7.75,0.0,12.35,2023,richard atencio
GBR,2023 British Gymnastics Championships,qual,PH,17.0,4.1,7.95,0.0,12.05,2023,jaydon attygalle
UZB,2023 FISU World University Games,qual,PH,71.0,3.7,7.3,0.0,11.0,2023,asadbek azamov
UZB,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,9.0,6.1,8.2,0.0,14.3,2022,abdulla azimov
UZB,2023 Cottbus World Cup,final,PH,1.0,6.2,8.666,0.0,14.866,2023,abdulla azimov
UZB,2023 Cottbus World Cup,qual,PH,4.0,6.1,8.7,0.0,14.8,2023,abdulla azimov
UZB,2023 Doha World Cup,qual,PH,12.0,5.8,8.2,0.0,14.0,2023,abdulla azimov
UZB,2023 Varna World Challenge Cup,final,PH,2.0,6.1,8.4,0.0,14.5,2023,abdulla azimov
UZB,2023 Varna World Challenge Cup,qual,PH,7.0,6.1,7.5,0.0,13.6,2023,abdulla azimov
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,39.0,5.3,7.8,0.0,13.1,2022,ilyas azizov
KAZ,2023 Baku World Cup,qual,PH,18.0,6.0,7.166,0.0,13.166,2023,ilyas azizov
KAZ,2023 Cottbus World Cup,qual,PH,13.0,5.7,8.233,0.0,13.933,2023,ilyas azizov
KAZ,2023 Doha World Cup,final,PH,6.0,6.0,8.1,0.0,14.1,2023,ilyas azizov
KAZ,2023 Doha World Cup,qual,PH,8.0,5.9,8.266,0.0,14.166,2023,ilyas azizov
KAZ,2023 FISU World University Games,qual,PH,22.0,5.8,7.266,0.0,13.066,2023,ilyas azizov
KAZ,2023 FISU World University Games,AAfinal,PH,8.0,5.3,8.233,0.0,13.533,2023,ilyas azizov
NOR,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866,2022,fredrik aas
NOR,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866,2022,fredrik aas
ESP,2023 Tel Aviv World Challenge Cup,qual,PH,11.0,5.0,7.0,0.0,12.0,2023,nestor abad
EGY,2022 Cairo World Cup,qual,PH,25.0,5.4,6.766,0.0,12.166,2022,abdelrahman abdelhaleem
GEO,2022 Baku World Cup,qual,PH,29.0,4.7,7.933,0.0,12.633,2022,saba abesadze
EGY,2022 Cairo World Cup,qual,PH,40.0,4.6,5.766,0.0,10.366,2022,mohamed afify
MAS,2022 Baku World Cup,qual,PH,42.0,4.2,6.133,0.0,10.333,2022,muhammad sharul aimy
none,2023 Osijek World Challenge Cup,qual,PH,22.0,4.8,7.8,0.0,12.6,2023,emil akhmejanov
USA,2023 Winter Cup,AAfinal,PH,21.0,4.0,8.15,0.0,12.15,2023,drake andrews
ALG,2022 Doha World Cup,qual,PH,21.0,4.9,7.266,0.0,12.166,2022,mohamed aouicha
TUR,2022 Baku World Cup,qual,PH,21.0,5.8,7.2,0.0,13.0,2022,ferhat arican
TUR,2022 Cairo World Cup,qual,PH,17.0,5.8,7.266,0.0,13.066,2022,ferhat arican
TUR,2022 Cottbus World Cup,qual,PH,15.0,5.4,8.033,0.0,13.433,2022,ferhat arican
TUR,2023 Osijek World Challenge Cup,qual,PH,13.0,5.8,7.5,0.0,13.3,2023,ferhat arican
TUR,2023 Tel Aviv World Challenge Cup,final,PH,4.0,5.8,7.4,0.0,13.2,2023,ferhat arican
TUR,2023 Tel Aviv World Challenge Cup,qual,PH,4.0,5.8,7.85,0.0,13.65,2023,ferhat arican
USA,2022 Winter Cup,AAfinal,PH,30.0,4.7,6.8,0.0,11.5,2022,michael artlip
USA,2023 Winter Cup,AAfinal,PH,27.0,4.3,6.7,0.0,11.0,2023,michael artlip
UZB,2022 Baku World Cup,qual,PH,8.0,5.8,8.166,0.0,13.966,2022,abdulla azimov
UZB,2022 Baku World Cup,final,PH,8.0,6.1,7.3,0.0,13.4,2022,abdulla azimov
UZB,2022 Cairo World Cup,qual,PH,7.0,6.1,7.933,0.0,14.033,2022,abdulla azimov
UZB,2022 Cairo World Cup,final,PH,7.0,5.8,7.266,0.0,13.066,2022,abdulla azimov
UZB,2022 Doha World Cup,qual,PH,15.0,5.5,7.533,0.0,13.033,2022,abdulla azimov
KAZ,2022 Cairo World Cup,final,PH,4.0,5.7,8.366,0.0,14.066,2022,ilyas azizov
KAZ,2022 Cairo World Cup,qual,PH,6.0,5.7,8.333,0.0,14.033,2022,ilyas azizov
AUS,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,116.0,4.8,6.266,0.0,11.066,2022,james bacueti
AUS,BIRMINGHAM 2022 Commonwealth Games,qual,PH,30.0,5.2,5.95,0.0,11.15,2022,james bacueti
CZE,2023 Senior European Championships,qual,PH,93.0,4.0,7.766,0.0,11.766,2023,daniel bago
SCO,BIRMINGHAM 2022 Commonwealth Games,AAfinal,PH,9.0,4.8,8.1,0.0,12.9,2022,frank baines
SCO,BIRMINGHAM 2022 Commonwealth Games,qual,PH,17.0,4.7,7.95,0.0,12.65,2022,frank baines
HUN,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,17.0,4.9,7.8,0.0,12.7,2022,krisztian balazs
HUN,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,74.0,4.9,7.4,0.0,12.3,2022,krisztian balazs
HUN,2022 Senior European Championships,qual,PH,52.0,4.9,7.933,0.0,12.833,2022,krisztian balazs
HUN,2022 Senior European Championships,TeamFinal,PH,19.0,4.9,8.2,0.0,13.1,2022,krisztian balazs
HUN,2023 Senior European Championships,qual,PH,62.0,4.9,7.733,0.0,12.633,2023,krisztian balazs
GBR,2022 British Gymnastics Championships,final,PH,5.0,4.6,7.53,0.0,12.133,2022,raekwon baptiste
GBR,2022 British Gymnastics Championships,qual,PH,6.0,4.7,7.95,0.0,12.65,2022,raekwon baptiste
GBR,2023 British Gymnastics Championships,final,PH,4.0,5.0,7.6,0.0,12.6,2023,raekwon baptiste
GBR,2023 British Gymnastics Championships,qual,PH,6.0,5.0,8.1,0.0,13.1,2023,raekwon baptiste
GBR,2022 British Gymnastics Championships,qual,PH,16.0,4.8,6.3,0.0,11.1,2022,emil barber
BRA,EnBW DTB Pokal Team Challenge 2023,final,PH,6.0,5.5,7.033,0.0,12.533,2023,gabriel barbosa
BRA,EnBW DTB Pokal Team Challenge 2023,qual,PH,9.0,5.2,8.3,0.0,13.5,2023,gabriel barbosa
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,78.0,5.0,7.266,0.0,12.266,2022,nicola bartolini
ITA,2022 Senior European Championships,qual,PH,20.0,5.2,8.366,0.0,13.566,2022,nicola bartolini
ITA,2022 Senior European Championships,TeamFinal,PH,13.0,5.2,8.166,0.0,13.366,2022,nicola bartolini
ITA,2023 Baku World Cup,qual,PH,23.0,5.4,7.6,0.0,13.0,2023,nicola bartolini
HUN,2023 Varna World Challenge Cup,qual,PH,16.0,4.6,7.75,0.0,12.35,2023,szabolcs batori
GBR,2023 British Gymnastics Championships,qual,PH,23.0,4.6,5.85,0.0,10.45,2023,clayton bell
AUT,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,73.0,4.4,7.9,0.0,12.3,2022,alexander benda
AUT,2022 Senior European Championships,qual,PH,66.0,4.1,8.166,0.0,12.266,2022,alexander benda
AUT,2023 Senior European Championships,qual,PH,115.0,3.5,7.533,0.0,11.033,2023,alexander benda
FRA,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,54.0,5.0,7.766,0.0,12.766,2022,cameron lie bernard
FRA,2022 Senior European Championships,qual,PH,45.0,5.0,8.0,0.0,13.0,2022,cameron lie bernard
FRA,2023 Baku World Cup,qual,PH,34.0,5.0,7.133,0.0,12.133,2023,cameron lie bernard
FRA,2023 Senior European Championships,qual,PH,113.0,4.7,6.4,0.0,11.1,2023,cameron lie bernard
FRA,EnBW DTB Pokal Team Challenge 2023,qual,PH,36.0,4.8,7.2,0.0,12.0,2023,cameron-lie bernard
VEN,2023 Central American and Caribbean Games,qual,PH,13.0,4.4,7.4,0.0,11.8,2023,victor betancourt
GBR,2022 British Gymnastics Championships,qual,PH,11.0,4.8,7.6,0.0,12.4,2022,brinn bevan
WAL,BIRMINGHAM 2022 Commonwealth Games,qual,PH,18.0,4.8,7.7,0.0,12.5,2022,brinn bevan
GER,2023 FISU World University Games,qual,PH,25.0,5.2,7.766,0.0,12.966,2023,willi leonhard binder
USA,2023 FISU World University Games,qual,PH,35.0,5.1,7.533,0.0,12.633,2023,landen paul blixt
ITA,2023 FISU World University Games,qual,PH,28.0,5.6,7.333,0.0,12.933,2023,lorenzo bonicelli
ITA,2023 FISU World University Games,AAfinal,PH,6.0,5.6,8.266,0.0,13.866,2023,lorenzo bonicelli
LUX,2023 Senior European Championships,qual,PH,128.0,4.2,5.7,0.0,9.9,2023,quentin brandenburger
GER,2023 Baku World Cup,qual,PH,30.0,6.1,6.566,0.0,12.666,2023,pascal brendel
GER,2023 Cottbus World Cup,qual,PH,23.0,5.5,8.133,0.0,13.633,2023,pascal brendel
GER,2023 Senior European Championships,AAfinal,PH,3.0,5.6,8.366,0.0,13.966,2023,pascal brendel
GER,2023 Senior European Championships,qual,PH,14.0,5.6,8.066,0.0,13.666,2023,pascal brendel
GE1,EnBW DTB Pokal Team Challenge 2023,qual,PH,18.0,5.4,7.55,0.0,12.95,2023,pascal brendel
GBR,2022 British Gymnastics Championships,qual,PH,20.0,4.1,6.6,0.0,10.7,2022,henry brooker
SLO,2023 Baku World Cup,qual,PH,17.0,5.0,8.233,0.0,13.233,2023,kevin george buckley
SLO,2023 Cairo World Cup,qual,PH,25.0,5.0,7.666,0.0,12.666,2023,kevin george buckley
SLO,2023 Senior European Championships,qual,PH,27.0,5.0,8.266,0.0,13.266,2023,kevin george buckley
AUS,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,81.0,4.0,8.2,0.0,12.2,2022,tyson bull
AUS,BIRMINGHAM 2022 Commonwealth Games,qual,PH,15.0,4.3,8.5,0.0,12.8,2022,tyson bull
TUR,2023 Cairo World Cup,qual,PH,23.0,5.3,7.433,0.0,12.733,2023,hasan bulut
TUR,2023 Cottbus World Cup,qual,PH,59.0,4.9,4.533,0.0,9.433,2023,hasan bulut
TUR,2023 Senior European Championships,qual,PH,30.0,5.2,8.0,0.0,13.2,2023,hasan bulut
ROU,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,24.0,3.2,6.966,0.0,10.166,2022,gabriel burtanete
ROU,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,66.0,4.4,8.066,0.0,12.466,2022,gabriel burtanete
ROU,2022 Senior European Championships,qual,PH,56.0,4.4,8.3,0.0,12.7,2022,gabriel burtanete
ROU,2023 Senior European Championships,AAfinal,PH,15.0,4.4,8.333,0.0,12.733,2023,gabriel burtanete
ROU,2023 Senior European Championships,qual,PH,52.0,4.4,8.433,0.0,12.833,2023,gabriel burtanete
ROU,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,101.0,4.0,7.766,0.0,11.766,2022,robert burtanete
ROU,2022 Senior European Championships,qual,PH,63.0,4.1,8.366,0.0,12.466,2022,robert burtanete
ROU,2023 Baku World Cup,qual,PH,46.0,4.4,6.533,0.0,10.933,2023,robert burtanete
ROU,2023 Senior European Championships,qual,PH,60.0,4.7,7.966,0.0,12.666,2023,robert burtanete
HUN,2022 Baku World Cup,qual,PH,33.0,5.4,6.633,0.0,12.033,2022,krisztian balazs
HUN,2022 Cairo World Cup,qual,PH,35.0,5.1,6.266,0.0,11.366,2022,krisztian balazs
HUN,2022 Doha World Cup,qual,PH,24.0,5.1,6.933,0.0,12.033,2022,krisztian balazs
HUN,2022 Baku World Cup,qual,PH,40.0,4.6,6.366,0.0,10.966,2022,szabolcs batori
USA,2022 Winter Cup,AAfinal,PH,27.0,4.5,7.3,0.0,11.8,2022,fuzzy benas
USA,2023 Winter Cup,AAfinal,PH,28.0,4.5,6.45,0.0,10.95,2023,maxim bereznev
USA,2022 Winter Cup,AAfinal,PH,25.0,5.1,6.95,0.0,12.05,2022,jeremy bischoff
USA,2023 Winter Cup,AAfinal,PH,26.0,4.9,6.25,0.0,11.15,2023,jeremy bischoff
USA,2022 Winter Cup,AAfinal,PH,31.0,5.1,6.55,0.3,11.35,2022,landen blixt
USA,2023 Winter Cup,AAfinal,PH,16.0,4.6,8.2,0.0,12.8,2023,landen blixt
USA,2023 Winter Cup,AAfinal,PH,13.0,5.1,7.95,0.0,13.05,2023,cameron bock
USA,2022 Winter Cup,AAfinal,PH,15.0,4.9,8.0,0.0,12.9,2022,garrett braunton
USA,2023 Winter Cup,AAfinal,PH,29.0,3.7,6.6,0.0,10.3,2023,garrett braunton
TUR,2022 Baku World Cup,qual,PH,35.0,4.9,6.9,0.0,11.8,2022,hasan bulut
USA,2022 Winter Cup,AAfinal,PH,5.0,5.0,8.6,0.0,13.6,2022,taylor burkhart
COL,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,31.0,5.6,7.7,0.0,13.3,2022,jossimar orlando calvo moreno
COL,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,23.0,4.8,5.6,0.0,10.4,2022,none calvo moreno jo
POR,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,137.0,2.8,5.6,3.0,5.4,2022,guilherme campos
POR,2022 Senior European Championships,qual,PH,97.0,3.4,7.533,0.0,10.933,2022,guilherme campos
POR,2023 Senior European Championships,qual,PH,103.0,3.5,8.033,0.0,11.533,2023,guilherme campos
ESP,EnBW DTB Pokal Team Challenge 2023,qual,PH,54.0,4.0,5.15,0.0,9.15,2023,jan carreres macia
ESP,2023 Baku World Cup,qual,PH,32.0,5.0,7.466,0.0,12.466,2023,daniel carrion caro
ESP,2023 Senior European Championships,qual,PH,69.0,4.6,7.866,0.0,12.466,2023,daniel carrion caro
GBR,2022 British Gymnastics Championships,qual,PH,28.0,2.3,6.9,3.0,6.2,2022,lorenzo carrozzo
GBR,2023 British Gymnastics Championships,qual,PH,22.0,5.0,5.5,0.0,10.5,2023,hamish carter
SCO,BIRMINGHAM 2022 Commonwealth Games,qual,PH,14.0,5.3,7.55,0.0,12.85,2022,hamish carter
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,13.0,4.8,8.033,0.0,12.833,2022,lorenzo minh casali
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,36.0,4.8,8.366,0.0,13.166,2022,lorenzo minh casali
ITA,2022 Senior European Championships,qual,PH,51.0,4.8,8.033,0.0,12.833,2022,lorenzo minh casali
ITA,2023 Senior European Championships,AAfinal,PH,14.0,4.8,8.0,0.0,12.8,2023,lorenzo minh casali
ITA,2023 Senior European Championships,qual,PH,87.0,5.2,6.7,0.0,11.9,2023,lorenzo minh casali
GBR,2022 British Gymnastics Championships,qual,PH,12.0,4.8,7.3,0.0,12.1,2022,joe cemlyn jones
GBR,2023 British Gymnastics Championships,qual,PH,9.0,4.8,7.75,0.0,12.55,2023,joe cemlyn jones
WAL,BIRMINGHAM 2022 Commonwealth Games,qual,PH,16.0,4.5,8.25,0.0,12.75,2022,joseph cemlyn jones
GBR,2022 British Gymnastics Championships,qual,PH,22.0,4.3,6.3,0.0,10.6,2022,kelvin cham
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,133.0,4.0,5.433,0.0,9.433,2022,michalis chari
CYP,2022 Senior European Championships,qual,PH,96.0,3.6,7.466,0.0,11.066,2022,michalis chari
CYP,2023 Senior European Championships,qual,PH,79.0,3.6,8.5,0.0,12.1,2023,michalis chari
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,PH,28.0,3.9,7.3,0.0,11.2,2022,michalis chari
LTU,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,135.0,4.1,4.933,0.0,9.033,2022,gytis chasazyrovas
LTU,2022 Senior European Championships,qual,PH,18.0,6.0,7.633,0.0,13.633,2022,gytis chasazyrovas
LTU,2023 Cairo World Cup,qual,PH,30.0,5.0,7.066,0.0,12.066,2023,gytis chasazyrovas
LTU,2023 Cottbus World Cup,qual,PH,48.0,5.5,6.533,0.0,12.033,2023,gytis chasazyrovas
LTU,2023 Doha World Cup,qual,PH,14.0,5.8,8.033,0.0,13.833,2023,gytis chasazyrovas
LTU,2023 Senior European Championships,qual,PH,34.0,5.8,7.4,0.0,13.2,2023,gytis chasazyrovas
UKR,2023 FISU World University Games,qual,PH,73.0,4.1,6.733,0.0,10.833,2023,nazar chepurnyi
GBR,2023 British Gymnastics Championships,qual,PH,18.0,4.0,7.55,0.0,11.55,2023,ryan cirino
CAN,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,11.0,5.7,8.5,0.0,14.2,2022,zachary clay
IRL,2022 51st FIG Artistic Gymnastics World Championships,final,PH,1.0,6.4,8.9,0.0,15.3,2022,mc rhys clenaghan
IRL,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,1.0,6.3,8.933,0.0,15.233,2022,mc rhys clenaghan
NIR,BIRMINGHAM 2022 Commonwealth Games,final,PH,2.0,5.6,8.533,0.0,14.133,2022,mc rhys clenaghan
NIR,BIRMINGHAM 2022 Commonwealth Games,qual,PH,2.0,5.7,8.65,0.0,14.35,2022,mc rhys clenaghan
DOM,2023 Central American and Caribbean Games,qual,PH,27.0,3.6,6.1,0.3,9.4,2023,wilfry contreras
DOM,2023 Cottbus World Cup,qual,PH,62.0,3.0,5.633,0.0,8.633,2023,wilfry contreras
DOM,2023 Doha World Cup,qual,PH,49.0,3.9,5.6,0.0,9.5,2023,wilfry contreras
WAL,BIRMINGHAM 2022 Commonwealth Games,AAfinal,PH,15.0,5.0,6.8,0.0,11.8,2022,joshua cook
WAL,BIRMINGHAM 2022 Commonwealth Games,qual,PH,19.0,5.0,7.3,0.0,12.3,2022,joshua cook
GBR,2022 British Gymnastics Championships,qual,PH,13.0,4.3,7.75,0.0,12.05,2022,elliott cooper
BRA,EnBW DTB Pokal Team Challenge 2023,qual,PH,29.0,5.0,7.4,0.0,12.4,2023,patrick correa
GBR,2022 British Gymnastics Championships,qual,PH,31.0,3.1,6.0,4.0,5.1,2022,euan cox
MON,2023 Senior European Championships,qual,PH,130.0,2.6,6.8,3.0,6.4,2023,kevin crovetto
IRL,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,91.0,4.2,7.833,0.0,12.033,2022,dominick cunningham
IRL,2022 Senior European Championships,qual,PH,84.0,4.2,7.533,0.0,11.733,2022,dominick cunningham
IRL,2023 Senior European Championships,qual,PH,89.0,4.5,7.366,0.0,11.866,2023,dominick cunningham
BEL,2022 Senior European Championships,qual,PH,48.0,5.1,7.8,0.0,12.9,2022,nicola cuyle
BEL,2023 Cairo World Cup,qual,PH,29.0,5.8,6.333,0.0,12.133,2023,nicola cuyle
LTU,2022 Baku World Cup,qual,PH,34.0,5.5,6.333,0.0,11.833,2022,gytis chasazyrovas
none,2023 Osijek World Challenge Cup,qual,PH,25.0,5.5,6.5,0.0,12.0,2023,gytis chasazyrovas
USA,2023 Winter Cup,AAfinal,PH,8.0,4.7,8.7,0.0,13.4,2023,taylor christopulos
USA,2022 Winter Cup,AAfinal,PH,24.0,4.2,7.9,0.0,12.1,2022,matt cormier
USA,2023 Winter Cup,AAfinal,PH,33.0,4.2,4.75,0.0,8.95,2023,matt cormier
MGL,2023 Baku World Cup,qual,PH,13.0,5.7,7.866,0.0,13.566,2023,enkhtuvshin damdindorj
MGL,2023 Cottbus World Cup,qual,PH,21.0,5.7,8.0,0.0,13.7,2023,enkhtuvshin damdindorj
