Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Shannon ARCHER,GBR,w,2022-03-27,2022 British Gymnastics Championships,final,VT2,6.0,4.4,8.45,0.0,12.85
Shannon ARCHER,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT2,3.0,4.4,8.5,0.0,12.9
Shannon ARCHER,SCO,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,VT,3.0,5.0,8.7,0.0,13.7
Shannon ARCHER,SCO,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,VT2,3.0,4.4,8.5,0.0,12.9
Shannon ARCHER,SCO,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,VT2,1.0,4.4,8.7,0.0,13.1
Dildora ARIPOVA,UZB,w,2023-04-30,2023 Cairo World Cup,qual,VT1,18.0,4.2,7.633,0.1,11.733
Dildora ARIPOVA,UZB,w,2023-04-30,2023 Cairo World Cup,qual,VT2,18.0,3.8,8.633,0.0,12.433
Dildora ARIPOVA,UZB,w,2023-02-26,2023 Cottbus World Cup,final,VT1,8.0,4.2,8.466,0.3,12.366
Dildora ARIPOVA,UZB,w,2023-02-26,2023 Cottbus World Cup,qual,VT1,8.0,4.2,8.566,0.0,12.766
Dildora ARIPOVA,UZB,w,2023-02-26,2023 Cottbus World Cup,final,VT2,8.0,3.8,8.666,0.0,12.466
Dildora ARIPOVA,UZB,w,2023-02-26,2023 Cottbus World Cup,qual,VT2,8.0,3.8,8.533,0.0,12.333
Dildora ARIPOVA,UZB,w,2023-03-04,2023 Doha World Cup,qual,VT1,12.0,4.2,8.433,0.1,12.533
Dildora ARIPOVA,UZB,w,2023-03-04,2023 Doha World Cup,qual,VT2,12.0,3.8,8.7,0.0,12.5
Valeria ARRAIZ,VEN,w,2023-06-28,2023 Central American and Caribbean Games,qual,VT1,22.0,3.6,8.75,0.0,12.35
Valeria ARRAIZ,VEN,w,2023-06-28,2023 Central American and Caribbean Games,qual,VT2,10.0,3.6,8.6,0.0,12.2
Sona ARTAMONOVA,CZE,w,2023-04-16,2023 Senior European Championships,qual,VT1,80.0,3.6,8.7,0.0,12.3
Amelie ATTWOOD,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,49.0,3.2,8.65,0.0,11.85
Tatiana BACHURINA,CYP,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,138.0,3.2,8.4,0.0,11.6
Tatiana BACHURINA,CYP,w,2022-08-14,2022 Senior European Championships,qual,VT1,98.0,3.2,8.466,0.0,11.666
Tatiana BACHURINA,CYP,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,VT,16.0,3.2,8.55,0.0,11.75
Csenge Maria BACSKAY,HUN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,51.0,4.6,8.5,0.0,13.1
Csenge Maria BACSKAY,HUN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,17.0,4.4,8.6,0.0,13.0
Csenge Maria BACSKAY,HUN,w,2022-08-14,2022 Senior European Championships,qual,VT1,19.0,4.6,8.7,0.0,13.3
Csenge Maria BACSKAY,HUN,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,9.0,4.6,9.2,0.0,13.8
Csenge Maria BACSKAY,HUN,w,2022-08-14,2022 Senior European Championships,qual,VT2,9.0,4.4,8.7,0.0,13.1
Sacha BAILEY,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,41.0,3.4,8.7,0.0,12.1
Sacha BAILEY,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT2,41.0,3.6,7.75,0.0,11.35
Shannon BAKER,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,47.0,3.6,8.35,0.0,11.95
Adela BALCOVA,SVK,w,2023-04-16,2023 Senior European Championships,qual,VT1,97.0,3.4,8.6,0.0,12.0
Gabriela BARBOSA,BRA,w,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,VT1,31.0,4.2,8.45,0.0,12.65
Gabriela BARBOSA,BRA,w,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,VT2,31.0,0.0,0.0,0.0,0.0
Ana BARBOSU,ROU,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,19.0,4.2,8.9,0.0,13.1
Ana BARBOSU,ROU,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,57.0,4.2,8.8,0.0,13.0
Ana BARBOSU,ROU,w,2022-08-14,2022 Senior European Championships,qual,VT1,50.0,4.2,8.633,0.1,12.733
Ana BARBOSU,ROU,w,2023-04-16,2023 Senior European Championships,AAfinal,VT1,8.0,4.6,8.8,0.0,13.4
Ana BARBOSU,ROU,w,2023-04-16,2023 Senior European Championships,qual,VT1,98.0,4.6,7.633,0.3,11.933
Aida BAUYRZHANOVA,KAZ,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,134.0,3.4,8.366,0.0,11.766
Teja BELAK,SLO,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,99.0,5.0,7.566,0.0,12.566
Teja BELAK,SLO,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,15.0,4.6,9.066,0.0,13.666
Teja BELAK,SLO,w,2022-08-14,2022 Senior European Championships,qual,VT1,117.0,4.0,7.6,0.3,11.3
Cecilie BERGHOLT,DEN,w,2023-04-16,2023 Senior European Championships,qual,VT1,106.0,3.4,8.433,0.0,11.833
Tamsyn Sanchez BESSIT,RSA,w,2023-08-05,2023 FISU World University Games,qual,VT1,40.0,3.4,8.3,0.0,11.7
Lena BICKEL,SUI,w,2023-04-16,2023 Senior European Championships,qual,VT1,17.0,4.2,9.166,0.0,13.366
Ula BIKINAITE,LTU,w,2022-08-14,2022 Senior European Championships,qual,VT1,68.0,3.8,8.6,0.0,12.4
Ula BIKINAITE,LTU,w,2023-04-16,2023 Senior European Championships,qual,VT1,88.0,3.6,8.566,0.0,12.166
Ceren BINER,TUR,w,2023-04-16,2023 Senior European Championships,qual,VT1,38.0,4.2,8.833,0.0,13.033
Ceren BINER,TUR,w,2023-04-16,2023 Senior European Championships,final,VT2,6.0,3.8,8.666,0.0,12.466
Ceren BINER,TUR,w,2023-04-16,2023 Senior European Championships,qual,VT2,8.0,3.8,8.666,0.0,12.466
Elsabeth BLACK,CAN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,9.0,5.0,9.033,0.0,14.033
Elsabeth BLACK,CAN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,26.0,4.8,8.866,0.0,13.666
Elsabeth BLACK,CAN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,VT2,4.0,4.8,9.233,0.0,14.033
Elsabeth BLACK,CAN,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,6.0,5.0,8.833,0.0,13.833
Leni BOHLE,AUT,w,2023-04-16,2023 Senior European Championships,qual,VT1,45.0,4.2,8.9,0.1,13.0
Ella BORG,MLT,w,2022-08-14,2022 Senior European Championships,qual,VT1,89.0,3.4,8.5,0.0,11.9
Ella BORG,MLT,w,2022-08-14,2022 Senior European Championships,qual,VT2,26.0,3.6,8.133,0.1,11.633
Ella BORG,MLT,w,2023-04-16,2023 Senior European Championships,qual,VT1,100.0,3.4,8.5,0.0,11.9
Fatma Zohra BOUKHATEM,ALG,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,129.0,3.6,8.4,0.0,12.0
Marine BOYER,FRA,w,2022-08-14,2022 Senior European Championships,qual,VT1,22.0,4.2,9.0,0.0,13.2
Marine BOYER,FRA,w,2023-04-16,2023 Senior European Championships,qual,VT1,18.0,4.2,9.133,0.0,13.333
Maellyse BRASSART,BEL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,15.0,4.2,9.066,0.0,13.266
Maellyse BRASSART,BEL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,40.0,4.2,9.1,0.0,13.3
Maellyse BRASSART,BEL,w,2022-08-14,2022 Senior European Championships,qual,VT1,32.0,4.2,8.766,0.0,12.966
Maellyse BRASSART,BEL,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,22.0,4.2,8.833,0.1,12.933
Maellyse BRASSART,BEL,w,2023-04-16,2023 Senior European Championships,AAfinal,VT1,9.0,4.2,9.133,0.0,13.333
Maellyse BRASSART,BEL,w,2023-04-16,2023 Senior European Championships,qual,VT1,18.0,4.2,9.133,0.0,13.333
Maellyse BRASSART,BEL,w,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,VT1,8.0,4.2,9.1,0.0,13.3
Maellyse BRASSART,BEL,w,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,VT2,8.0,0.0,0.0,0.0,0.0
Emily BREMNER,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,20.0,4.2,8.65,0.0,12.85
Anna BRIDGE,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,49.0,3.2,8.65,0.0,11.85
Megan BRIDGE,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,12.0,4.6,8.4,0.1,13.1
Megan BRIDGE,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT2,12.0,3.8,8.5,0.0,12.3
Georgia Rose BROWN,AUS,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,57.0,4.2,8.8,0.0,13.0
Romi BROWN,AUS,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,17.0,4.2,8.966,0.0,13.166
Romi BROWN,AUS,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,48.0,4.2,8.966,0.0,13.166
Kim BUI,GER,w,2022-08-14,2022 Senior European Championships,qual,VT1,28.0,4.2,8.9,0.0,13.1
Kim BUI,GER,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,17.0,4.2,9.066,0.0,13.266
Csenge Bacskay,HUN,w,2022-04-03,2022 Baku World Cup,final,VT1,2.0,4.6,8.733,0.0,13.333
Csenge Bacskay,HUN,w,2022-04-03,2022 Baku World Cup,qual,VT1,4.0,4.6,8.766,0.0,13.366
Csenge Bacskay,HUN,w,2022-04-03,2022 Baku World Cup,final,VT2,2.0,4.4,8.8,0.0,13.2
Csenge Bacskay,HUN,w,2022-04-03,2022 Baku World Cup,qual,VT2,4.0,4.4,8.7,0.0,13.1
Csenge Bacskay,HUN,w,2022-03-20,2022 Cairo World Cup,final,VT1,6.0,4.6,8.866,0.1,13.366
Csenge Bacskay,HUN,w,2022-03-20,2022 Cairo World Cup,qual,VT1,6.0,4.2,8.766,0.0,12.966
Csenge Bacskay,HUN,w,2022-03-20,2022 Cairo World Cup,final,VT2,6.0,3.4,8.533,0.0,11.933
Csenge Bacskay,HUN,w,2022-03-20,2022 Cairo World Cup,qual,VT2,6.0,3.4,8.466,0.0,11.866
Csenge Bacskay,HUN,w,2022-03-05,2022 Doha World Cup,qual,VT1,2.0,4.6,8.766,0.0,13.366
Csenge Bacskay,HUN,w,2022-03-05,2022 Doha World Cup,final,VT1,2.0,4.6,8.7,0.0,13.3
Csenge Bacskay,HUN,w,2022-03-05,2022 Doha World Cup,final,VT2,2.0,4.4,8.6,0.0,13.0
Csenge Bacskay,HUN,w,2022-03-05,2022 Doha World Cup,qual,VT2,2.0,4.4,8.3,0.0,12.7
Csenge Bacskay,HUN,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT1,8.0,4.2,8.8,0.0,13.0
Csenge Bacskay,HUN,w,2023-06-11,2023 Osijek World Challenge Cup,final,VT1,2.0,4.6,8.566,0.3,12.866
Csenge Bacskay,HUN,w,2023-06-11,2023 Osijek World Challenge Cup,final,VT2,2.0,4.4,8.933,0.0,13.333
Csenge Bacskay,HUN,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT2,8.0,3.4,8.6,0.0,12.0
Csenge Bacskay,HUN,w,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,VT1,4.0,4.2,8.767,0.0,12.967
Csenge Bacskay,HUN,w,2023-06-04,2023 Tel Aviv World Challenge Cup,final,VT1,2.0,4.6,8.667,0.0,13.267
Csenge Bacskay,HUN,w,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,VT2,4.0,3.8,8.733,0.0,12.533
Csenge Bacskay,HUN,w,2023-06-04,2023 Tel Aviv World Challenge Cup,final,VT2,2.0,4.4,8.633,0.0,13.033
Teja Belak,SLO,w,2022-04-03,2022 Baku World Cup,qual,VT1,2.0,5.0,8.766,0.0,13.766
Teja Belak,SLO,w,2022-04-03,2022 Baku World Cup,final,VT1,3.0,5.0,8.7,0.0,13.7
Teja Belak,SLO,w,2022-04-03,2022 Baku World Cup,qual,VT2,2.0,4.6,8.666,0.3,12.966
Teja Belak,SLO,w,2022-04-03,2022 Baku World Cup,final,VT2,3.0,4.6,7.666,0.1,12.166
Teja Belak,SLO,w,2022-03-20,2022 Cairo World Cup,qual,VT1,14.0,0.0,0.0,0.0,0.0
Teja Belak,SLO,w,2022-03-20,2022 Cairo World Cup,qual,VT2,14.0,4.6,7.666,0.0,12.266
Ceren Biner,TUR,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT1,14.0,4.2,8.0,0.0,12.2
Ceren Biner,TUR,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT2,14.0,3.8,8.566,0.0,12.366
Annabelle Burrows,AUS,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT1,7.0,4.6,8.666,0.0,13.266
Annabelle Burrows,AUS,w,2023-06-11,2023 Osijek World Challenge Cup,final,VT1,6.0,4.6,9.033,0.0,13.633
Annabelle Burrows,AUS,w,2023-06-11,2023 Osijek World Challenge Cup,qual,VT2,7.0,3.4,8.7,0.0,12.1
Annabelle Burrows,AUS,w,2023-06-11,2023 Osijek World Challenge Cup,final,VT2,6.0,3.4,8.8,0.0,12.2
Dorina Böczögö,HUN,w,2022-03-05,2022 Doha World Cup,final,VT1,6.0,4.2,8.8,0.0,13.0
Dorina Böczögö,HUN,w,2022-03-05,2022 Doha World Cup,qual,VT1,6.0,4.2,8.766,0.0,12.966
Dorina Böczögö,HUN,w,2022-03-05,2022 Doha World Cup,qual,VT2,6.0,3.6,8.333,0.1,11.833
Dorina Böczögö,HUN,w,2022-03-05,2022 Doha World Cup,final,VT2,6.0,3.6,8.6,0.0,12.2
Irene CALLE GIL,ESP,w,2023-08-05,2023 FISU World University Games,qual,VT1,21.0,4.2,8.6,0.1,12.7
Irene CALLE GIL,ESP,w,2023-08-05,2023 FISU World University Games,qual,VT2,15.0,3.6,8.066,0.3,11.366
Sabrina CARDERO,CUB,w,2023-06-28,2023 Central American and Caribbean Games,qual,VT1,23.0,4.2,8.1,0.0,12.3
Jade CAREY,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,2.0,5.6,9.133,0.0,14.733
Jade CAREY,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,2.0,5.6,9.0,0.0,14.6
Jade CAREY,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,VT2,1.0,5.0,9.3,0.0,14.3
Jade CAREY,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,1.0,5.0,9.366,0.0,14.366
Laura CASABUENA,ESP,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,16.0,4.2,9.0,0.0,13.2
Laura CASABUENA,ESP,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,45.0,4.2,9.0,0.0,13.2
Laura CASABUENA,ESP,w,2022-08-14,2022 Senior European Championships,qual,VT1,93.0,4.2,7.6,0.0,11.8
Laura CASABUENA,ESP,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,20.0,4.2,8.8,0.0,13.0
Laura CASABUENA,ESP,w,2023-02-26,2023 Cottbus World Cup,final,VT1,6.0,4.2,9.0,0.0,13.2
Laura CASABUENA,ESP,w,2023-02-26,2023 Cottbus World Cup,qual,VT1,4.0,4.2,8.933,0.0,13.133
Laura CASABUENA,ESP,w,2023-02-26,2023 Cottbus World Cup,final,VT2,6.0,3.4,8.7,0.0,12.1
Laura CASABUENA,ESP,w,2023-02-26,2023 Cottbus World Cup,qual,VT2,4.0,3.8,8.666,0.0,12.466
Laura CASABUENA,ESP,w,2023-04-16,2023 Senior European Championships,AAfinal,VT1,12.0,4.2,9.033,0.0,13.233
Laura CASABUENA,ESP,w,2023-04-16,2023 Senior European Championships,qual,VT1,27.0,4.2,8.966,0.0,13.166
Charlotte CASSIDY,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,45.0,3.2,8.75,0.0,11.95
Caterina CEREGHETTI,SUI,w,2023-04-16,2023 Senior European Championships,qual,VT1,55.0,4.2,8.766,0.1,12.866
Olivia CHAM,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,35.0,3.6,8.9,0.0,12.5
Cheuk Lam CHAN,HKG,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT1,12.0,3.6,8.566,0.0,12.166
Cheuk Lam CHAN,HKG,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT2,12.0,3.4,8.6,0.0,12.0
Georgia CHARALAMPOUS,CYP,w,2023-04-16,2023 Senior European Championships,qual,VT1,115.0,3.8,7.6,0.0,11.4
Carmina CHAVEZ,ESA,w,2023-06-28,2023 Central American and Caribbean Games,qual,VT1,27.0,3.4,8.5,0.0,11.9
Jordan CHILES,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,3.0,5.0,9.466,0.0,14.466
Jordan CHILES,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,VT2,2.0,4.8,9.4,0.0,14.2
Jordan CHILES,USA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,2.0,4.8,9.366,0.0,14.166
Dasol CHOI,KOR,w,2023-08-05,2023 FISU World University Games,qual,VT1,32.0,3.4,8.6,0.0,12.0
Oksana CHUSOVITINA,UZB,w,2023-04-30,2023 Cairo World Cup,final,VT1,8.0,3.6,8.3,0.0,11.9
Oksana CHUSOVITINA,UZB,w,2023-04-30,2023 Cairo World Cup,qual,VT1,5.0,4.0,8.833,0.0,12.833
Oksana CHUSOVITINA,UZB,w,2023-04-30,2023 Cairo World Cup,final,VT2,8.0,3.4,8.7,0.0,12.1
Oksana CHUSOVITINA,UZB,w,2023-04-30,2023 Cairo World Cup,qual,VT2,5.0,4.4,8.9,0.0,13.3
Oksana CHUSOVITINA,UZB,w,2023-02-26,2023 Cottbus World Cup,final,VT1,3.0,4.4,8.566,0.1,12.866
Oksana CHUSOVITINA,UZB,w,2023-02-26,2023 Cottbus World Cup,qual,VT1,3.0,4.0,8.7,0.0,12.7
Oksana CHUSOVITINA,UZB,w,2023-02-26,2023 Cottbus World Cup,final,VT2,3.0,4.4,8.766,0.0,13.166
Oksana CHUSOVITINA,UZB,w,2023-02-26,2023 Cottbus World Cup,qual,VT2,3.0,4.4,8.633,0.0,13.033
Oksana CHUSOVITINA,UZB,w,2023-03-12,2023 Baku World Cup,final,VT1,2.0,5.0,8.733,0.1,13.633
Oksana CHUSOVITINA,UZB,w,2023-03-12,2023 Baku World Cup,qual,VT1,2.0,4.0,8.833,0.0,12.833
Oksana CHUSOVITINA,UZB,w,2023-03-12,2023 Baku World Cup,final,VT2,2.0,4.4,8.833,0.0,13.233
Oksana CHUSOVITINA,UZB,w,2023-03-12,2023 Baku World Cup,qual,VT2,2.0,4.4,8.8,0.0,13.2
Oksana CHUSOVITINA,UZB,w,2023-03-04,2023 Doha World Cup,final,VT1,3.0,4.0,8.7,0.0,12.7
Oksana CHUSOVITINA,UZB,w,2023-03-04,2023 Doha World Cup,qual,VT1,4.0,4.0,8.633,0.0,12.633
Oksana CHUSOVITINA,UZB,w,2023-03-04,2023 Doha World Cup,final,VT2,3.0,4.4,8.733,0.0,13.133
Oksana CHUSOVITINA,UZB,w,2023-03-04,2023 Doha World Cup,qual,VT2,4.0,4.4,8.766,0.0,13.166
Lou Anne CITHERLET,SUI,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT1,10.0,3.8,8.633,0.0,12.433
Lou Anne CITHERLET,SUI,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT2,10.0,3.4,8.5,0.0,11.9
Jerusha CLARKE,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,53.0,3.6,8.2,0.0,11.8
Reece COBB,NZL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,124.0,3.6,8.466,0.0,12.066
Lisa CONRADIE,RSA,w,2023-08-05,2023 FISU World University Games,qual,VT1,39.0,3.4,8.366,0.0,11.76
Lilia COSMAN,ROU,w,2023-04-16,2023 Senior European Championships,qual,VT1,30.0,4.6,8.666,0.1,13.166
Mafalda COSTA,POR,w,2022-08-14,2022 Senior European Championships,qual,VT1,110.0,3.2,8.366,0.1,11.466
Mafalda COSTA,POR,w,2023-03-12,2023 Baku World Cup,qual,VT1,17.0,3.2,8.533,0.0,11.733
Mafalda COSTA,POR,w,2023-03-12,2023 Baku World Cup,qual,VT2,17.0,3.2,8.5,0.0,11.7
Mafalda COSTA,POR,w,2023-04-16,2023 Senior European Championships,qual,VT1,79.0,3.6,8.733,0.0,12.333
Bettina Lili CZIFRA,HUN,w,2023-04-16,2023 Senior European Championships,qual,VT1,78.0,4.2,8.533,0.3,12.433
Cheuk Lam Chan,HKG,w,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,VT1,13.0,3.6,8.4,0.0,12.0
Cheuk Lam Chan,HKG,w,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,VT2,13.0,3.4,8.733,0.0,12.133
Chan Cheuk Lam Charlie,HKG,w,2022-03-20,2022 Cairo World Cup,qual,VT1,12.0,3.6,8.333,0.0,11.933
Chan Cheuk Lam Charlie,HKG,w,2022-03-20,2022 Cairo World Cup,qual,VT2,12.0,3.4,8.433,0.0,11.833
Oksana Chusovitina,UZB,w,2022-04-03,2022 Baku World Cup,final,VT1,1.0,5.0,8.333,0.0,13.333
Oksana Chusovitina,UZB,w,2022-04-03,2022 Baku World Cup,qual,VT1,3.0,5.0,8.5,0.0,13.5
Oksana Chusovitina,UZB,w,2022-04-03,2022 Baku World Cup,final,VT2,1.0,4.4,8.8,0.0,13.2
Oksana Chusovitina,UZB,w,2022-04-03,2022 Baku World Cup,qual,VT2,3.0,4.4,8.766,0.0,13.166
Oksana Chusovitina,UZB,w,2022-03-20,2022 Cairo World Cup,final,VT1,2.0,4.0,8.7,0.0,12.7
Oksana Chusovitina,UZB,w,2022-03-20,2022 Cairo World Cup,qual,VT1,1.0,4.0,8.666,0.0,12.666
Oksana Chusovitina,UZB,w,2022-03-20,2022 Cairo World Cup,qual,VT2,1.0,4.4,8.7,0.0,13.1
Oksana Chusovitina,UZB,w,2022-03-20,2022 Cairo World Cup,final,VT2,2.0,4.4,8.8,0.0,13.2
Oksana Chusovitina,UZB,w,2022-03-05,2022 Doha World Cup,qual,VT1,3.0,4.0,8.666,0.0,12.666
