Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
8.0,Romi BROWN,AUS,5.2,8.266,0.0,13.466,2022,AAfinal
24.0,Romi BROWN,AUS,5.3,8.266,0.0,13.566,2022,qual
6.0,Romi BROWN,AUS,5.3,8.1,0.0,13.4,2022,qual
20.0,Romi BROWN,AUS,5.0,7.4,0.0,12.4,2023,qual
5.0,Kim BUI,GER,5.9,8.166,0.0,14.066,2022,final
4.0,Kim BUI,GER,5.9,8.3,0.0,14.2,2022,qual
11.0,Kim BUI,GER,5.6,7.833,0.0,13.433,2022,TeamFinal
22.0,Csenge Bacskay,HUN,4.5,6.733,0.0,11.233,2022,qual
13.0,Csenge Bacskay,HUN,3.1,7.0,0.0,10.1,2022,qual
6.0,Csenge Bacskay,HUN,5.3,7.6,0.0,12.9,2023,qual
6.0,Csenge Bacskay,HUN,5.1,7.366,0.0,12.466,2023,final
8.0,Csenge Bacskay,HUN,4.9,6.767,0.0,11.667,2023,qual
7.0,Csenge Bacskay,HUN,4.0,5.267,0.0,9.267,2023,final
18.0,Jade Barbosa,unknown,5.1,6.066,0.0,11.166,2023,qual
10.0,Sydney Barros,USA,5.7,7.3,0.0,13.0,2022,AAfinal
19.0,Daniela Batrona,UKR,5.1,6.633,0.0,11.733,2022,qual
2.0,Daniela Batrona,UKR,5.3,6.8,0.0,12.1,2022,qual
4.0,Daniela Batrona,UKR,5.0,6.233,0.0,11.233,2022,final
3.0,Daniela Batrona,UKR,5.3,7.266,0.0,12.566,2022,qual
4.0,Daniela Batrona,UKR,5.3,7.666,0.0,12.966,2022,final
2.0,Daniela Batrona,UKR,5.3,7.533,0.0,12.833,2022,qual
3.0,Daniela Batrona,UKR,5.3,7.166,0.0,12.466,2022,final
5.0,Ceren Biner,TUR,4.8,7.733,0.0,12.533,2023,final
8.0,Ceren Biner,TUR,4.8,7.7,0.0,12.5,2023,qual
7.0,Skye Blakely,USA,5.0,8.15,0.0,13.15,2022,AAfinal
8.0,Skye Blakely,USA,5.9,7.25,0.0,13.15,2023,AAfinal
15.0,Charlotte Booth,USA,5.5,7.15,0.0,12.65,2022,AAfinal
2.0,Charlotte Booth,USA,5.7,8.05,0.0,13.75,2023,AAfinal
8.0,Ella Borg,MLT,3.4,5.5,0.0,8.9,2022,final
7.0,Ella Borg,MLT,3.5,6.533,0.0,10.033,2022,qual
13.0,Annabelle Burrows,AUS,4.2,7.766,0.0,11.966,2023,qual
23.0,Irene CALLE GIL,ESP,4.1,7.466,0.0,11.566,2023,qual
82.0,Paulina CAMPOS,MEX,5.5,6.566,0.0,12.066,2022,qual
1.0,Paulina CAMPOS,MEX,5.5,7.9,0.0,13.4,2023,final
2.0,Paulina CAMPOS,MEX,5.5,7.75,0.0,13.25,2023,qual
32.0,Sabrina CARDERO,CUB,3.5,5.15,0.0,8.65,2023,qual
15.0,Jade CAREY,USA,5.4,7.766,0.0,13.166,2022,AAfinal
32.0,Jade CAREY,USA,5.4,7.933,0.0,13.333,2022,qual
89.0,Brisa CARRARO,ARG,4.8,7.033,0.0,11.833,2022,qual
22.0,Laura CASABUENA,ESP,4.9,7.4,0.0,12.3,2022,AAfinal
60.0,Laura CASABUENA,ESP,4.9,7.766,0.0,12.666,2022,qual
23.0,Laura CASABUENA,ESP,5.2,7.8,0.0,13.0,2022,qual
20.0,Laura CASABUENA,ESP,5.2,7.7,0.0,12.9,2022,TeamFinal
16.0,Laura CASABUENA,ESP,5.0,6.633,0.0,11.633,2023,qual
14.0,Laura CASABUENA,ESP,5.0,7.9,0.0,12.9,2023,AAfinal
21.0,Laura CASABUENA,ESP,5.0,8.133,0.0,13.133,2023,qual
46.0,Charlotte CASSIDY,GBR,4.4,5.6,0.0,10.0,2022,qual
67.0,Caterina CEREGHETTI,SUI,5.1,6.533,0.0,11.633,2023,qual
60.0,Olivia CHAM,GBR,3.9,4.85,0.0,8.75,2022,qual
86.0,Georgia CHARALAMPOUS,CYP,3.6,7.366,0.0,10.966,2023,qual
3.0,Lorette CHARPY,FRA,6.2,7.966,0.0,14.166,2022,final
9.0,Lorette CHARPY,FRA,6.0,7.833,0.0,13.833,2022,qual
14.0,Lorette CHARPY,FRA,5.6,7.666,0.0,13.266,2022,TeamFinal
25.0,Carmina CHAVEZ,ESA,1.3,8.65,0.0,9.95,2023,qual
34.0,Yuet Yung CHEONG,SGP,2.8,6.7,0.0,9.5,2022,qual
18.0,Jordan CHILES,USA,5.9,8.166,0.0,14.066,2022,qual
44.0,Dasol CHOI,KOR,4.2,4.566,0.0,8.766,2023,qual
22.0,Oksana CHUSOVITINA,UZB,3.9,7.433,0.0,11.333,2023,qual
20.0,Oksana CHUSOVITINA,UZB,3.5,6.666,0.3,9.866,2023,qual
13.0,Lou Anne CITHERLET,SUI,4.1,7.366,0.0,11.466,2023,qual
53.0,Jerusha CLARKE,GBR,3.3,6.05,0.0,9.35,2022,qual
88.0,Reece COBB,NZL,4.2,7.633,0.0,11.833,2022,qual
27.0,Lisa CONRADIE,RSA,3.9,7.0,0.0,10.9,2023,qual
35.0,Lilia COSMAN,ROU,5.3,7.366,0.0,12.666,2023,qual
114.0,Mafalda COSTA,POR,3.3,4.9,0.0,8.2,2022,qual
30.0,Mafalda COSTA,POR,4.1,4.466,0.3,8.266,2023,qual
72.0,Mafalda COSTA,POR,4.2,7.233,0.0,11.433,2023,qual
20.0,Lara CRNJAC,SLO,4.3,7.533,0.0,11.833,2023,qual
16.0,Karen CUBILLOS,COL,4.3,7.45,0.0,11.75,2023,qual
42.0,Bettina Lili CZIFRA,HUN,5.1,7.466,0.0,12.566,2023,qual
7.0,Dulcy Caylor,USA,5.3,8.05,0.0,13.35,2023,AAfinal
1.0,Lorette Charpy,FRA,5.7,8.166,0.0,13.866,2022,final
2.0,Lorette Charpy,FRA,5.7,8.033,0.0,13.733,2022,qual
19.0,Chloe Cho,USA,4.4,7.6,0.0,12.0,2023,AAfinal
28.0,Norah Christian,USA,4.8,6.4,0.0,11.2,2023,AAfinal
10.0,Reece Cobb,NZL,4.4,7.366,0.0,11.766,2022,qual
22.0,Adriana Consoli,USA,4.7,6.05,0.0,10.75,2022,AAfinal
17.0,Lara Crnjac,SLO,3.6,7.733,0.0,11.333,2023,qual
12.0,Alice D AMATO,ITA,6.1,7.166,0.0,13.266,2022,AAfinal
9.0,Alice D AMATO,ITA,6.3,8.1,0.0,14.4,2022,qual
2.0,Alice D AMATO,ITA,6.1,8.3,0.0,14.4,2022,final
1.0,Alice D AMATO,ITA,6.2,8.366,0.0,14.566,2022,qual
1.0,Alice D AMATO,ITA,6.2,8.433,0.0,14.633,2022,TeamFinal
1.0,Alice D AMATO,ITA,6.2,8.433,0.0,14.633,2023,final
1.0,Alice D AMATO,ITA,6.2,8.266,0.0,14.466,2023,qual
1.0,Alice D AMATO,ITA,6.2,8.3,0.0,14.5,2023,final
1.0,Alice D AMATO,ITA,6.2,8.3,0.0,14.5,2023,qual
1.0,Alice D AMATO,ITA,6.1,8.3,0.0,14.4,2023,AAfinal
1.0,Alice D AMATO,ITA,6.2,8.266,0.0,14.466,2023,final
8.0,Asia D AMATO,ITA,6.0,7.9,0.0,13.9,2022,qual
7.0,Asia D AMATO,ITA,6.0,8.0,0.0,14.0,2022,TeamFinal
7.0,Asia D AMATO,ITA,6.0,8.166,0.0,14.166,2023,qual
71.0,Naveen DARIES,RSA,5.1,7.266,0.0,12.366,2022,qual
5.0,Naveen DARIES,RSA,5.1,7.7,0.0,12.8,2022,AAfinal
13.0,Naveen DARIES,RSA,4.9,7.15,0.0,12.05,2022,qual
8.0,Grace DAVIES,GBR,4.7,7.05,0.0,11.75,2023,final
5.0,Grace DAVIES,GBR,5.0,7.95,0.0,12.95,2023,qual
44.0,Mabelle DAWSON,GBR,4.6,4.35,0.0,8.95,2023,qual
54.0,Jessica DAYKIN,GBR,4.3,5.05,0.0,9.35,2022,qual
109.0,Joana DE FREITAS,MON,3.4,5.566,0.0,8.966,2022,qual
94.0,Joana DE FREITAS,MON,3.5,6.866,0.0,10.366,2023,qual
29.0,Natalia DELGADO,PUR,2.9,6.85,0.0,9.75,2023,qual
30.0,Lara Albertina DEMARSICO,ARG,4.4,6.333,0.0,10.733,2023,qual
48.0,Laurie DENOMMEE,CAN,4.9,7.966,0.0,12.866,2022,qual
7.0,Laurie DENOMMEE,CAN,4.9,7.55,0.0,12.45,2022,AAfinal
10.0,Laurie DENOMMEE,CAN,4.9,7.55,0.0,12.45,2022,qual
3.0,Nina DERWAEL,BEL,6.3,8.4,0.0,14.7,2022,final
2.0,Nina DERWAEL,BEL,6.3,8.4,0.0,14.7,2022,qual
12.0,Karelys DIAZ,PUR,4.2,7.25,0.0,11.45,2023,AAfinal
18.0,Karelys DIAZ,PUR,4.3,7.05,0.0,11.35,2023,qual
120.0,Nicole DIAZ,PUR,3.9,6.866,0.0,10.766,2022,qual
11.0,Stella DIAZ,PUR,4.4,7.25,0.0,11.65,2023,AAfinal
6.0,Stella DIAZ,PUR,4.4,7.65,0.0,12.05,2023,final
9.0,Stella DIAZ,PUR,4.4,7.95,0.0,12.35,2023,qual
118.0,Evangelina DIMITRIOU,CYP,2.1,5.133,0.0,7.233,2023,qual
35.0,Tara DONNELLY,GBR,3.4,7.25,0.0,10.65,2022,qual
13.0,Tara DONNELLY,IOM,4.1,7.0,0.0,11.1,2022,AAfinal
25.0,Tara DONNELLY,IOM,4.1,6.95,0.0,11.05,2022,qual
110.0,Geffen DOR,ISR,4.2,4.766,0.0,8.966,2022,qual
18.0,Geffen DOR,ISR,3.5,6.466,0.0,9.966,2023,qual
6.0,Jessica DOWLING,CAN,5.4,7.333,0.0,12.733,2023,final
6.0,Jessica DOWLING,CAN,5.4,7.366,0.0,12.766,2023,qual
8.0,Jessica DOWLING,CAN,5.5,5.566,0.0,11.066,2023,final
6.0,Jessica DOWLING,CAN,5.4,7.233,0.0,12.633,2023,qual
2.0,Rebecca DOWNIE,GBR,5.7,7.9,0.0,13.6,2022,qual
1.0,Rebecca DOWNIE,GBR,5.9,8.45,0.0,14.35,2023,final
1.0,Rebecca DOWNIE,GBR,5.9,8.35,0.0,14.25,2023,qual
2.0,Rebecca DOWNIE,GBR,6.3,7.933,0.0,14.233,2023,final
4.0,Rebecca DOWNIE,GBR,6.3,8.066,0.0,14.366,2023,qual
19.0,Eliska DRNCOVA,CZE,4.9,6.366,0.0,11.266,2023,qual
47.0,Eliska DRNCOVA,CZE,4.9,7.533,0.0,12.433,2023,qual
1.0,Siyu DU,CHN,5.8,8.033,0.0,13.833,2023,final
1.0,Siyu DU,CHN,6.2,8.166,0.0,14.366,2023,qual
18.0,Lauren DUCAS,CUB,2.3,5.25,0.0,7.55,2023,AAfinal
31.0,Lauren DUCAS,CUB,3.6,5.2,0.0,8.8,2023,qual
34.0,Jamilia DUFFUS,JAM,3.3,3.75,0.0,7.05,2023,qual
41.0,Courtney DUNBAR,GBR,1.7,7.6,0.0,9.3,2023,qual
41.0,Antonia DUTA,ROU,4.9,7.5,0.0,12.4,2022,qual
3.0,Margaux Dandois,BEL,5.1,7.733,0.0,12.833,2023,qual
3.0,Margaux Dandois,BEL,5.1,7.1,0.0,12.2,2023,final
5.0,Naveen Daries,RSA,4.7,6.433,0.0,11.133,2022,final
5.0,Naveen Daries,RSA,4.8,6.8,0.0,11.6,2022,qual
1.0,Laurie Denommée,CAN,4.9,7.8,0.0,12.7,2022,qual
2.0,Laurie Denommée,CAN,4.9,7.133,0.0,12.033,2022,final
23.0,Amelia Disidore,USA,4.4,5.65,0.0,10.05,2022,AAfinal
27.0,Amelia Disidore,USA,5.4,5.9,0.0,11.3,2023,AAfinal
32.0,Gabby Disidore,USA,4.3,5.05,0.0,9.35,2023,AAfinal
13.0,Skylar Draser,USA,5.1,7.7,0.0,12.8,2022,AAfinal
20.0,Amari Drayton,USA,5.0,6.85,0.0,11.85,2023,AAfinal
31.0,Amanda EDWARDS,AUS,3.4,7.266,0.0,10.666,2023,qual
16.0,Amanda EDWARDS,AUS,3.4,7.6,0.0,11.0,2023,AAfinal
65.0,Martina EISENEGGER,SUI,5.0,6.666,0.0,11.666,2023,qual
113.0,Darja ELBE,LAT,1.8,6.4,0.0,8.2,2022,qual
17.0,None ELPITIYA BADALG D,SRI,4.6,5.9,0.0,10.5,2022,AAfinal
14.0,Milka Gehani ELPITIYA BADALGE DONA,SRI,4.8,7.2,0.0,12.0,2022,qual
36.0,Fien ENGHELS,BEL,5.4,7.2,0.0,12.6,2022,qual
22.0,Fien ENGHELS,BEL,5.5,7.133,0.0,12.633,2022,TeamFinal
10.0,Fien ENGHELS,BEL,5.8,8.133,0.0,13.933,2023,qual
3.0,Fien ENGHELS,BEL,5.5,8.166,0.0,13.666,2023,final
4.0,Fien ENGHELS,BEL,5.4,8.45,0.0,13.85,2023,qual
42.0,Dohyun EOM,KOR,5.5,7.566,0.0,13.066,2022,qual
16.0,Julie ERICHSEN,NOR,5.0,6.766,0.0,11.766,2023,qual
6.0,Julie ERICHSEN,NOR,5.0,7.566,0.0,12.566,2023,final
8.0,Julie ERICHSEN,NOR,5.0,7.7,0.0,12.7,2023,qual
40.0,Julie ERICHSEN,NOR,5.0,7.566,0.0,12.566,2023,qual
84.0,Alva ERIKSSON,SWE,4.7,7.333,0.0,12.033,2022,qual
52.0,Alva ERIKSSON,SWE,4.4,7.533,0.0,11.933,2022,qual
45.0,Natalia ESCALERA,MEX,5.7,7.266,0.0,12.966,2022,qual
15.0,Natalia ESCALERA,MEX,5.0,6.0,0.0,11.0,2023,AAfinal
5.0,Natalia ESCALERA,MEX,5.8,6.3,0.0,12.1,2023,final
1.0,Natalia ESCALERA,MEX,5.8,7.75,0.0,13.55,2023,qual
9.0,Ginna ESCOBAR,COL,4.4,7.4,0.0,11.8,2023,AAfinal
8.0,Ginna ESCOBAR,COL,4.4,5.35,0.0,9.75,2023,final
8.0,Ginna ESCOBAR,COL,4.3,8.05,0.0,12.35,2023,qual
20.0,Ginna ESCOBAR BETANCUR,COL,4.4,7.066,0.0,11.466,2023,qual
19.0,Manila ESPOSITO,ITA,5.7,8.266,0.0,13.966,2022,qual
17.0,Manila ESPOSITO,ITA,5.5,7.0,0.0,12.5,2023,AAfinal
52.0,Manila ESPOSITO,ITA,5.6,6.666,0.0,12.266,2023,qual
12.0,Ruby EVAN,GBR,4.6,7.7,0.0,12.3,2023,qual
38.0,Mia EVANS,GBR,4.3,6.25,0.0,10.55,2022,qual
20.0,Mia EVANS,WAL,4.2,7.4,0.0,11.6,2022,qual
10.0,Ruby EVANS,GBR,4.6,7.65,0.0,12.25,2023,qual
26.0,Amika EVERY,ARU,2.1,7.7,0.0,9.8,2023,qual
12.0,Jordis Eichman,USA,5.3,7.6,0.0,12.9,2023,AAfinal
16.0,Georgia Mae FENTON,GBR,5.8,8.333,0.0,14.133,2022,qual
2.0,Georgia Mae FENTON,GBR,5.3,8.15,0.0,13.45,2022,final
3.0,Georgia Mae FENTON,GBR,5.3,8.2,0.0,13.5,2022,qual
6.0,Georgia Mae FENTON,GBR,5.6,8.033,0.0,13.633,2022,final
7.0,Georgia Mae FENTON,GBR,5.8,8.1,0.0,13.9,2022,qual
9.0,Georgia Mae FENTON,GBR,5.7,8.0,0.0,13.7,2022,TeamFinal
2.0,Georgia Mae FENTON,GBR,6.0,8.3,0.0,14.3,2023,final
6.0,Georgia Mae FENTON,GBR,5.8,7.15,0.0,12.95,2023,qual
3.0,Georgia Mae FENTON,GBR,5.8,8.0,0.0,13.8,2023,AAfinal
10.0,Georgia Mae FENTON,GBR,5.8,8.133,0.0,13.933,2023,qual
1.0,Georgia Mae FENTON,ENG,5.7,8.2,0.0,13.9,2022,final
1.0,Georgia Mae FENTON,ENG,5.8,8.2,0.0,14.0,2022,qual
69.0,Emma FERNANDEZ,ESP,5.0,7.5,0.0,12.5,2022,qual
54.0,Emma FERNANDEZ,ESP,5.0,6.833,0.0,11.833,2022,qual
9.0,Evie FLAGE DONOVAN,GBR,4.8,7.5,0.0,12.3,2023,qual
7.0,Laia FONT,ESP,5.2,5.9,0.0,11.1,2023,final
8.0,Laia FONT,ESP,5.2,7.166,0.0,12.366,2023,qual
19.0,Carla FONT ESTRUCH,ESP,4.7,7.166,0.0,11.866,2023,qual
51.0,Kirsty FOWLER,GBR,4.1,5.9,0.3,9.7,2022,qual
24.0,Alice FRANCOY,BEL,4.6,6.566,0.0,11.166,2023,qual
18.0,Aline FRIESS,FRA,5.3,7.7,0.0,13.0,2022,AAfinal
34.0,Aline FRIESS,FRA,5.3,7.933,0.0,13.233,2022,qual
38.0,Aline FRIESS,FRA,5.4,7.1,0.0,12.5,2022,qual
13.0,Aline FRIESS,FRA,5.5,7.766,0.0,13.266,2022,TeamFinal
10.0,Aline FRIESS,FRA,5.5,6.633,0.0,12.133,2023,qual
7.0,Bianca FRYSAK,AUT,4.8,7.633,0.0,12.433,2023,final
11.0,Bianca FRYSAK,AUT,5.0,7.466,0.0,12.466,2023,qual
14.0,Bianca FRYSAK,AUT,4.9,6.5,0.0,11.4,2023,AAfinal
20.0,Bianca FRYSAK,AUT,4.8,7.233,0.0,12.033,2023,AAfinal
36.0,Bianca FRYSAK,AUT,4.8,7.833,0.0,12.633,2023,qual
25.0,Kokoro FUKASAWA,JPN,6.2,7.3,0.0,13.5,2022,qual
12.0,Kokoro FUKASAWA,JPN,5.8,5.7,0.0,11.5,2023,qual
13.0,Kokoro FUKASAWA,JPN,5.3,7.066,0.0,12.366,2023,qual
122.0,Petra FURAC,CRO,4.0,6.666,0.0,10.666,2022,qual
85.0,Petra FURAC,CRO,4.0,6.666,0.0,10.666,2022,qual
6.0,Addison Fatta,USA,5.4,7.8,0.0,13.2,2022,AAfinal
10.0,Addison Fatta,USA,5.4,7.55,0.0,12.95,2023,AAfinal
18.0,eMjae Frazier,USA,4.7,7.5,0.0,12.2,2022,AAfinal
3.0,Jennifer GADIROVA,GBR,5.2,7.9,0.0,13.1,2022,final
5.0,Jennifer GADIROVA,GBR,5.2,8.0,0.0,13.2,2022,qual
13.0,Jessica GADIROVA,GBR,5.6,7.633,0.0,13.233,2022,AAfinal
40.0,Jessica GADIROVA,GBR,5.6,7.566,0.0,13.166,2022,qual
4.0,Jessica GADIROVA,GBR,5.3,7.6,0.0,12.9,2022,final
4.0,Jessica GADIROVA,GBR,5.3,7.95,0.0,13.25,2022,qual
29.0,Jessica GADIROVA,GBR,5.7,7.133,0.0,12.833,2022,qual
4.0,Jessica GADIROVA,GBR,5.7,8.5,0.0,14.2,2023,final
4.0,Jessica GADIROVA,GBR,5.7,7.8,0.0,13.5,2023,qual
