Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
3.0,Anna Dementyeva,RUS,6.0,8.275,-0.1,14.175,2013,final
4.0,Noel van Klaveren,NED,5.1,8.425,0.0,13.525,2013,final
5.0,Maria Paula Vargas,ESP,5.8,7.525,0.0,13.325,2013,final
6.0,Filipa Martins,POR,4.9,8.175,0.0,13.075,2013,final
7.0,Oksana Chusovitina,UZB,5.5,7.65,-0.1,13.05,2013,final
8.0,Dilnoza Abdusalimova,UZB,5.1,7.85,-0.1,12.85,2013,final
1.0,Anastasia Grishina,RUS,5.6,8.45,0.0,14.05,2013,qual
2.0,Noel van Klaveren,NED,5.4,8.45,0.0,13.85,2013,qual
3.0,Vasiliki Millousi,GRE,5.3,8.5,0.0,13.8,2013,qual
4.0,Oksana Chusovitina,UZB,5.4,8.25,0.0,13.65,2013,qual
5.0,Anna Dementyeva,RUS,6.1,7.55,0.0,13.65,2013,qual
6.0,Maria Paula Vargas,ESP,5.8,7.8,0.0,13.6,2013,qual
7.0,Filipa Martins,POR,5.3,8.5,-0.5,13.3,2013,qual
8.0,Dilnoza Abdusalimova,UZB,5.1,8.05,-0.1,13.05,2013,qual
9.0,Kristyna Palesova,CZE,5.3,7.7,0.0,13.0,2013,qual
10.0,Huang Huidan,CHN,5.7,7.4,-0.1,13.0,2013,qual
11.0,Maija Leinonen,FIN,4.9,8.0,0.0,12.9,2013,qual
12.0,Hiu Ying Angel Wong,HKG,4.6,8.2,0.0,12.8,2013,qual
13.0,Elisa Hämmerle,AUT,5.2,7.7,-0.1,12.8,2013,qual
14.0,Jessica Lopez,VEN,5.7,6.95,0.0,12.65,2013,qual
15.0,Silvia Colussi Pelaez,ESP,5.8,6.65,0.0,12.45,2013,qual
16.0,Chantysha Netteb,NED,5.0,7.35,0.0,12.35,2013,qual
17.0,Ida Gustafsson,SWE,5.3,6.9,0.0,12.2,2013,qual
18.0,Cagla Akyol,GER,5.5,6.55,0.0,12.05,2013,qual
19.0,Pauline Schäfer,GER,4.6,7.35,0.0,11.95,2013,qual
20.0,Emma Lunn,IRL,5.0,6.85,-0.1,11.75,2013,qual
21.0,Teja Belak,SLO,5.5,6.15,0.0,11.65,2013,qual
22.0,Inna Vassilyeva,KAZ,4.7,6.55,0.0,11.25,2013,qual
23.0,Nim Yan Choi,HKG,4.4,6.7,0.0,11.1,2013,qual
24.0,Ekaterina Kislinskaya,POR,4.5,6.6,0.0,11.1,2013,qual
25.0,Miriam Fouad El Hajj,EGY,5.2,5.9,0.0,11.1,2013,qual
26.0,Maegan Chant,CAN,5.5,5.6,0.0,11.1,2013,qual
27.0,Lisa Ecker,AUT,5.2,5.85,0.0,11.05,2013,qual
28.0,Barbora Mokosova,SVK,4.8,6.15,0.0,10.95,2013,qual
29.0,Ang Tracie,MAS,5.0,5.9,0.0,10.9,2013,qual
30.0,India McPeak,IRL,4.8,5.75,0.0,10.55,2013,qual
31.0,Ivet Rojas,VEN,5.3,5.2,-0.1,10.4,2013,qual
32.0,Jana Sikulova,CZE,5.0,5.0,0.0,10.0,2013,qual
33.0,Farida Ahmed Shokry,EGY,4.1,5.55,0.0,9.65,2013,qual
34.0,Paula Tiitta,FIN,4.5,5.15,0.0,9.65,2013,qual
1.0,Larisa Iordache,eu,6.0,8.0,0.0,14.0,2020,final
2.0,Silviana Sfiringu,eu,6.0,7.8,0.0,13.8,2020,final
3.0,Anastasiia Motak,eu,5.8,7.4,0.1,13.1,2020,final
4.0,Anastasiia Bachynska,eu,5.7,7.4,0.0,13.1,2020,final
5.0,Elina Vihrova,eu,5.2,7.55,0.0,12.75,2020,final
6.0,Bilge Tarhan,eu,5.1,7.55,0.0,12.65,2020,final
7.0,Christina Zwicker,eu,4.7,7.4,0.0,12.1,2020,final
8.0,Elisa Hämmerle,eu,4.3,5.6,0.0,9.9,2020,final
1.0,Li Qi,CHN,6.0,8.333,0.0,14.333,2019,Final
2.0,Nina Derwael,BEL,5.2,8.433,0.0,13.633,2019,Final
3.0,Marine Boyer,FRA,5.7,7.633,0.0,13.333,2019,Final
4.0,Adela Sajn,SLO,4.9,7.933,0.0,12.833,2019,Final
5.0,Aneta Holasova,CZE,5.0,7.8,0.0,12.8,2019,Final
6.0,Ting Hua-Tien,TPE,5.5,6.9,0.0,12.4,2019,Final
7.0,Yumika Nakamura,JPN,5.0,6.8,0.0,11.8,2019,Final
8.0,Soyoka Hanawa,JPN,5.5,5.966,0.0,11.466,2019,Final
1.0,Nina Derwael,BEL,5.3,8.266,0.0,13.566,2019,Qual
2.0,Marine Boyer,FRA,5.7,7.666,0.0,13.366,2019,Qual
3.0,Li Qi,CHN,5.7,7.7,-0.1,13.3,2019,Qual
4.0,Yumika Nakamura,JPN,5.0,7.9,0.0,12.9,2019,Qual
5.0,Ting Hua-Tien,TPE,5.3,7.5,0.0,12.8,2019,Qual
6.0,Adela Sajn,SLO,4.9,7.866,0.0,12.766,2019,Qual
7.0,Soyoka Hanawa,JPN,5.9,6.8,0.0,12.7,2019,Qual
8.0,Aneta Holasova,CZE,5.1,7.566,0.0,12.666,2019,Qual
9.0,Marta Pihan-Kulesza,POL,5.2,7.433,0.0,12.633,2019,Qual
10.0,Varvara Zubova,RUS,5.6,6.933,0.0,12.533,2019,Qual
11.0,Diana Varinska,UKR,5.3,7.0,0.0,12.3,2019,Qual
12.0,Csenge Bacskay,HUN,5.0,7.266,0.0,12.266,2019,Qual
13.0,Lai Pin-Ju,TPE,5.1,7.166,0.0,12.266,2019,Qual
14.0,Gabriela Janik,POL,4.6,7.533,-0.1,12.033,2019,Qual
15.0,Coline Devillard,FRA,5.0,6.833,0.0,11.833,2019,Qual
16.0,Elisa Hämmerle,AUT,4.7,7.1,0.0,11.8,2019,Qual
17.0,Emily Thomas,GBR,4.8,6.966,0.0,11.766,2019,Qual
18.0,Phoebe Jakubczyk,GBR,4.9,6.8,0.0,11.7,2019,Qual
19.0,An Chang Ok,PRK,4.9,6.7,0.0,11.6,2019,Qual
20.0,Kim Son Hyang,PRK,5.3,6.4,-0.1,11.6,2019,Qual
21.0,Kim Bui,GER,4.9,6.666,-0.1,11.466,2019,Qual
22.0,Ominakhon Khalilova,UZB,4.5,6.933,0.0,11.433,2019,Qual
23.0,Lucie Jirikova,CZE,4.5,6.666,0.0,11.166,2019,Qual
24.0,Lara Mori,ITA,5.3,5.633,0.0,10.933,2019,Qual
25.0,Zhao Shiting,CHN,5.5,5.4,-0.1,10.8,2019,Qual
26.0,Marina Nekrasova,AZE,5.1,5.733,-0.1,10.733,2019,Qual
27.0,Demet Mutlu,TUR,4.9,5.766,0.0,10.666,2019,Qual
28.0,Tutya Yilmaz,TUR,4.8,5.7,0.0,10.5,2019,Qual
29.0,Lisa Katharina Hill,GER,4.2,5.5,0.0,9.7,2019,Qual
30.0,Zoja Szekely,HUN,5.1,4.566,-0.1,9.566,2019,Qual
31.0,Ana Derek,CRO,4.4,4.233,0.0,8.633,2019,Qual
1.0,Hitomi Hatakeda,JPN,5.3,7.7,,13.0,2019,final
2.0,Lara Mori,ITA,5.6,7.25,,12.85,2019,final
3.0,Uliana Perebinosova,RUS,4.8,8.0,,12.8,2019,final
4.0,Aiko Sugihara,JPN,5.6,6.95,,12.55,2019,final
5.0,Carlotta Ferlito,ITA,4.8,7.6,,12.4,2019,final
6.0,Ng Yan Yin,HKG,5.0,7.1,,12.1,2019,final
7.0,Jessica Dowling,CAN,4.9,7.15,,12.05,2019,final
8.0,Barbora Mokosova,SVK,4.6,6.95,,11.55,2019,final
1.0,Emma Malabuyo,USA,6.0,8.3,0.0,14.3,2018,final
2.0,Ragan Smith,USA,6.0,8.2,0.0,14.2,2018,final
3.0,Angelina Melnikova,RUS,5.6,7.567,0.0,13.167,2018,final
4.0,Jade Barbosa,BRA,5.8,7.167,-0.1,12.867,2018,final
5.0,Martina Basile,ITA,5.3,7.267,0.0,12.567,2018,final
6.0,Nica Ivanus,ROU,5.0,6.5,0.0,11.5,2018,final
7.0,Lara Mori,ITA,5.2,6.2,-0.1,11.3,2018,final
8.0,Anastasia Iliankova,RUS,5.0,6.1,0.0,11.1,2018,final
1.0,Sui Lu,CHN,6.6,9.266,0.0,15.866,2011,final
2.0,Yao Jinnan,CHN,6.3,8.933,0.0,15.233,2011,final
3.0,Jordyn Wieber,USA,6.2,8.933,0.0,15.133,2011,final
4.0,Aly Raisman,USA,6.4,8.666,0.0,15.066,2011,final
5.0,Amelia Racea,ROU,5.9,8.633,0.0,14.533,2011,final
6.0,Yulia Inshina,RUS,5.7,8.825,0.0,14.525,2011,final
7.0,Cătălina Ponor,ROU,5.7,8.541,0.0,14.241,2011,final
8.0,Viktoria Komova,RUS,5.9,7.866,0.0,13.766,2011,final
1.0,Aliya Mustafina,RUS,6.0,8.9,0.0,14.9,2013,final
2.0,Kyla Ross,USA,6.0,8.833,0.0,14.833,2013,final
3.0,Simone Biles,USA,6.1,8.233,0.0,14.333,2013,final
4.0,Vanessa Ferrari,ITA,5.7,8.6,0.0,14.3,2013,final
5.0,Carlotta Ferlito,ITA,5.9,8.383,0.0,14.283,2013,final
6.0,Shang Chunsong,CHN,6.2,7.933,0.0,14.133,2013,final
7.0,Larisa Iordache,ROU,6.3,7.633,0.0,13.933,2013,final
8.0,Anna Rodionova,RUS,5.7,7.4,0.0,13.1,2013,final
1.0,Simone Biles,USA,6.4,8.7,0.0,15.1,2014,final
2.0,Bai Yawen,CHN,6.2,8.833,0.0,15.033,2014,final
3.0,Aliya Mustafina,RUS,5.5,8.666,0.0,14.166,2014,final
4.0,Asuka Teramoto,JPN,5.6,8.5,0.0,14.1,2014,final
5.0,Larisa Iordache,ROU,6.2,7.866,0.0,14.066,2014,final
6.0,Kyla Ross,USA,5.6,8.266,0.0,13.866,2014,final
7.0,Elsabeth Black,CAN,6.3,7.4,0.0,13.7,2014,final
8.0,Yao Jinnan,CHN,5.7,7.666,0.0,13.366,2014,final
1.0,Simone Biles,USA,6.4,8.958,0.0,15.358,2015,final
2.0,Sanne Wevers,NED,5.7,8.633,0.0,14.333,2015,final
3.0,Pauline Schäfer,GER,5.8,8.333,0.0,14.133,2015,final
4.0,Viktoria Komova,RUS,5.7,8.233,0.0,13.933,2015,final
5.0,Wang Yan,CHN,6.4,7.233,0.0,13.633,2015,final
6.0,Seda Tutkhalyan,RUS,6.0,7.5,0.0,13.5,2015,final
7.0,Ellie Black,CAN,6.0,7.466,0.0,13.466,2015,final
8.0,Eythora Thorsdottir,NED,5.7,7.033,0.0,12.733,2015,final
1.0,Pauline Schäfer,,5.5,8.033,0.0,13.533,2017,final
2.0,Morgan Hurd,,5.7,7.8,-0.1,13.4,2017,final
3.0,Tabea Alt,,5.7,7.6,0.0,13.3,2017,final
4.0,Mai Murakami,,5.4,7.666,0.0,13.066,2017,final
5.0,Elena Eremina,,5.4,7.566,0.0,12.966,2017,final
6.0,Asuka Teramoto,,5.6,7.366,0.0,12.966,2017,final
7.0,Liu Tingting,,5.5,7.366,-0.1,12.766,2017,final
8.0,Ellie Black,,5.7,6.7,0.0,12.4,2017,final
1.0,Liu Tingting,,6.3,8.233,0.0,14.533,2018,final
2.0,Ana Padurariu,,6.0,8.1,0.0,14.1,2018,final
3.0,Simone Biles,,6.2,7.4,0.0,13.6,2018,final
4.0,Nina Derwael,,5.4,8.066,0.0,13.466,2018,final
5.0,Ellie Black,,4.8,8.233,0.0,13.033,2018,final
6.0,Kara Eaker,,6.2,6.733,0.1,12.833,2018,final
7.0,Sanne Wevers,,5.3,7.366,0.0,12.666,2018,final
8.0,Zhang Jin,,5.3,6.2,0.0,11.5,2018,final
1.0,Simone Biles,,6.4,8.666,0.0,15.066,2019,final
2.0,Liu Tingting,,6.2,8.233,0.0,14.433,2019,final
3.0,Li Shijia,,6.1,8.3,0.1,14.3,2019,final
4.0,Kara Eaker,,5.9,8.1,0.0,14.0,2019,final
5.0,Mélanie de Jesus dos Santos,,5.5,8.466,0.0,13.966,2019,final
6.0,Flávia Saraiva,,5.7,7.7,0.0,13.4,2019,final
7.0,Sarah Voss,,5.4,7.866,0.0,13.266,2019,final
8.0,Ana Padurariu,,5.6,6.333,0.0,11.933,2019,final
100.0,Jana ABDELSALAM,EGY,4.8,6.2,0.0,11.0,2022,qual
22.0,Jana ABDELSALAM,EGY,4.8,6.733,0.0,11.533,2023,qual
8.0,Jana ABDELSALAM,EGY,4.8,6.566,0.0,11.366,2023,final
9.0,Jana ABDELSALAM,EGY,4.7,7.466,0.0,12.166,2023,qual
4.0,Jana ABDELSALAM,EGY,5.0,8.0,0.0,13.0,2023,final
6.0,Jana ABDELSALAM,EGY,5.0,7.933,0.0,12.933,2023,qual
41.0,Ayesha ABDULLAHI,GBR,3.7,6.5,0.0,10.2,2022,qual
36.0,Kumudi Imanya ABEYRATNE,SRI,3.9,5.2,0.0,9.1,2022,qual
116.0,Jana ABOELHASAN,EGY,4.6,5.9,0.0,10.5,2022,qual
15.0,Ondine ACHAMPONG,GBR,5.7,7.266,0.0,12.966,2022,qual
4.0,Ondine ACHAMPONG,GBR,5.1,7.7,0.0,12.8,2022,final
1.0,Ondine ACHAMPONG,GBR,5.9,7.75,0.0,13.65,2022,qual
2.0,Ondine ACHAMPONG,GBR,5.5,7.9,0.0,13.4,2022,final
7.0,Ondine ACHAMPONG,GBR,5.5,7.766,0.0,13.266,2022,qual
4.0,Ondine ACHAMPONG,GBR,5.7,8.0,0.0,13.7,2022,TeamFinal
1.0,Ondine ACHAMPONG,GBR,5.7,8.1,0.0,13.8,2023,final
2.0,Ondine ACHAMPONG,GBR,5.5,8.3,0.0,13.8,2023,qual
4.0,Ondine ACHAMPONG,GBR,5.9,7.633,0.0,13.533,2023,final
4.0,Ondine ACHAMPONG,GBR,5.7,7.666,0.0,13.366,2023,qual
4.0,Ondine ACHAMPONG,ENG,5.7,6.8,0.0,12.5,2022,AAfinal
4.0,Ondine ACHAMPONG,ENG,5.7,7.6,0.0,13.3,2022,qual
69.0,Thelma ADALSTEINSDOTTIR,ISL,4.7,7.0,0.1,11.6,2022,qual
35.0,Thelma ADALSTEINSDOTTIR,ISL,4.7,7.533,0.0,12.233,2022,qual
57.0,Thelma ADALSTEINSDOTTIR,ISL,4.8,6.466,0.1,11.166,2023,qual
54.0,Jess ADAMSON,GBR,4.3,5.4,0.0,9.7,2022,qual
22.0,Mei AMORELLI,GBR,4.2,7.3,0.0,11.5,2023,qual
17.0,Lobar AMRILLAEVA,UZB,4.9,7.2,0.0,12.1,2023,qual
26.0,Lobar AMRILLAEVA,UZB,4.9,5.433,0.1,10.233,2023,qual
117.0,Anastasija ANANJEVA,LAT,4.7,3.533,0.0,8.233,2022,qual
72.0,Anastasija ANANJEVA,LAT,4.6,6.1,0.0,10.7,2023,qual
3.0,Rebeca ANDRADE,BRA,6.0,7.533,0.0,13.533,2022,AAfinal
8.0,Rebeca ANDRADE,BRA,6.0,6.733,0.0,12.733,2022,final
8.0,Rebeca ANDRADE,BRA,5.8,7.6,0.0,13.4,2022,qual
21.0,Angela ANDREOLI,ITA,6.1,6.566,0.0,12.666,2022,qual
25.0,Minea Aino Maija ANTILA,FIN,4.4,6.933,0.0,11.333,2023,qual
25.0,Misella ANTILA,FIN,4.3,7.366,0.0,11.666,2023,qual
26.0,Misella Alli Helena ANTILA,FIN,4.2,7.066,0.0,11.266,2023,qual
8.0,Shannon ARCHER,GBR,5.2,5.1,0.0,10.3,2022,final
5.0,Shannon ARCHER,GBR,5.2,7.3,0.0,12.5,2022,qual
3.0,Shannon ARCHER,SCO,5.2,7.5,0.0,12.7,2022,AAfinal
16.0,Shannon ARCHER,SCO,5.3,6.65,0.0,11.95,2022,qual
30.0,Dildora ARIPOVA,UZB,4.3,5.833,0.0,10.133,2023,qual
8.0,Dildora ARIPOVA,UZB,5.0,6.066,0.0,11.066,2023,final
7.0,Dildora ARIPOVA,UZB,5.2,7.766,0.0,12.966,2023,qual
31.0,Dildora ARIPOVA,UZB,5.0,6.033,0.0,11.033,2023,qual
9.0,Valeria ARRAIZ,VEN,4.2,7.35,0.0,11.55,2023,qual
11.0,Sona ARTAMONOVA,CZE,4.6,8.066,0.0,12.666,2023,qual
22.0,Sona ARTAMONOVA,CZE,4.8,7.3,0.0,12.1,2023,qual
2.0,Urara ASHIKAWA,JPN,5.8,8.266,0.0,14.066,2023,final
4.0,Urara ASHIKAWA,JPN,5.5,7.633,0.0,13.133,2023,qual
36.0,Amelie ATTWOOD,GBR,4.7,5.85,0.0,10.55,2022,qual
25.0,Nada AWAD,EGY,4.4,6.033,0.0,10.433,2023,qual
14.0,Jana Abdelsalam,EGY,4.8,5.966,0.0,10.766,2022,qual
17.0,Ciena Alipio,USA,5.6,6.65,0.0,12.25,2022,AAfinal
26.0,Wong Hiu Ying Angel,HKG,4.5,6.5,0.3,10.7,2022,qual
13.0,Wong Hiu Ying Angel,HKG,4.5,6.933,0.1,11.333,2022,qual
15.0,Wong Hiu Ying Angel,HKG,4.6,6.633,0.0,11.233,2022,qual
4.0,Wong Hiu Ying Angel,HKG,4.7,7.166,0.0,11.866,2022,qual
3.0,Wong Hiu Ying Angel,HKG,4.8,7.533,0.0,12.333,2022,final
12.0,Wong Hiu Ying Angel,HKG,4.5,6.9,0.1,11.3,2023,qual
15.0,Dildora Aripova,UZB,4.8,7.333,0.0,12.133,2022,qual
15.0,Dildora Aripova,UZB,4.7,5.8,0.0,10.5,2022,qual
92.0,Tatiana BACHURINA,CYP,4.7,6.433,0.0,11.133,2022,qual
52.0,Tatiana BACHURINA,CYP,4.5,7.266,0.0,11.766,2022,qual
12.0,Tatiana BACHURINA,CYP,4.5,6.7,0.0,11.2,2022,AAfinal
30.0,Tatiana BACHURINA,CYP,4.0,6.2,0.1,10.1,2022,qual
82.0,Csenge Maria BACSKAY,HUN,4.7,6.666,0.0,11.366,2022,qual
77.0,Csenge Maria BACSKAY,HUN,4.6,6.533,0.0,11.133,2022,qual
35.0,Sacha BAILEY,GBR,4.6,6.0,0.0,10.6,2022,qual
31.0,Sacha BAILEY,GBR,4.2,6.4,0.0,10.6,2023,qual
40.0,Shannon BAKER,GBR,4.0,6.3,0.0,10.3,2022,qual
19.0,Shannon BAKER,GBR,5.1,6.55,0.0,11.65,2023,qual
76.0,Adela BALCOVA,SVK,4.3,6.133,0.0,10.433,2023,qual
10.0,Ana BARBOSU,ROU,5.6,7.133,0.0,12.733,2022,AAfinal
34.0,Ana BARBOSU,ROU,5.7,6.8,0.0,12.5,2022,qual
8.0,Ana BARBOSU,ROU,5.3,6.566,0.3,11.566,2022,final
1.0,Ana BARBOSU,ROU,5.6,7.933,0.0,13.533,2022,qual
8.0,Ana BARBOSU,ROU,5.8,7.133,0.0,12.933,2023,AAfinal
9.0,Ana BARBOSU,ROU,5.3,7.5,0.0,12.8,2023,qual
97.0,Aida BAUYRZHANOVA,KAZ,4.9,6.166,0.0,11.066,2022,qual
9.0,Aida BAUYRZHANOVA,KAZ,5.1,7.6,0.0,12.7,2023,qual
10.0,Aida BAUYRZHANOVA,KAZ,4.8,7.266,0.0,12.066,2023,qual
10.0,Aida BAUYRZHANOVA,KAZ,4.8,7.9,0.0,12.7,2023,qual
36.0,Ellie BELBIN,GBR,4.1,6.1,0.0,10.2,2023,qual
95.0,Cecilie BERGHOLT,DEN,4.2,5.533,0.0,9.733,2023,qual
52.0,Zadie BERKIN EVANS,GBR,4.3,5.45,0.0,9.75,2022,qual
33.0,Tamsyn Sanchez BESSIT,RSA,4.4,6.0,0.0,10.4,2023,qual
90.0,Lena BICKEL,SUI,5.1,4.9,0.0,10.0,2023,qual
57.0,Ula BIKINAITE,LTU,4.3,7.333,0.0,11.633,2022,qual
120.0,Ula BIKINAITE,LTU,4.0,4.166,0.1,8.066,2023,qual
4.0,Elsabeth BLACK,CAN,5.8,7.633,0.0,13.433,2022,AAfinal
2.0,Elsabeth BLACK,CAN,5.5,8.066,0.0,13.566,2022,final
9.0,Elsabeth BLACK,CAN,5.5,7.766,0.0,13.266,2022,qual
5.0,Skye BLAKELY,USA,6.2,7.1,0.0,13.3,2022,final
2.0,Skye BLAKELY,USA,6.0,7.733,0.0,13.733,2022,qual
84.0,Leni BOHLE,AUT,4.8,5.366,0.0,10.166,2023,qual
138.0,Ella BORG,MLT,4.4,5.2,0.0,9.6,2022,qual
105.0,Ella BORG,MLT,4.4,5.1,0.0,9.5,2022,qual
101.0,Ella BORG,MLT,4.4,5.033,0.0,9.433,2023,qual
145.0,Fatma Zohra BOUKHATEM,ALG,4.2,4.3,0.0,8.5,2022,qual
4.0,Marine BOYER,FRA,5.5,7.8,0.0,13.3,2022,final
4.0,Marine BOYER,FRA,5.7,7.966,0.0,13.666,2022,qual
12.0,Marine BOYER,FRA,5.5,7.5,0.0,13.0,2022,qual
9.0,Marine BOYER,FRA,5.6,7.266,0.0,12.866,2022,TeamFinal
2.0,Marine BOYER,FRA,5.8,8.066,0.0,13.866,2023,final
2.0,Marine BOYER,FRA,5.6,8.033,0.0,13.633,2023,qual
17.0,Marine BOYER,FRA,5.5,6.866,0.0,12.366,2023,qual
58.0,Jacinta BRACKLEY,GBR,4.7,4.45,0.0,9.15,2022,qual
19.0,Maellyse BRASSART,BEL,5.2,6.533,0.0,11.733,2022,AAfinal
59.0,Maellyse BRASSART,BEL,5.1,6.733,0.0,11.833,2022,qual
3.0,Maellyse BRASSART,BEL,5.6,7.8,0.0,13.4,2023,AAfinal
58.0,Maellyse BRASSART,BEL,5.2,5.933,0.0,11.133,2023,qual
2.0,Maellyse BRASSART,BEL,5.3,7.833,0.0,13.133,2023,final
3.0,Maellyse BRASSART,BEL,5.4,7.9,0.0,13.3,2023,qual
18.0,Emily BREMNER,GBR,4.7,6.85,0.1,11.45,2022,qual
20.0,Emily BREMNER,SCO,4.7,6.8,0.0,11.5,2022,qual
66.0,Anna BRIDGE,GBR,4.0,2.75,0.0,6.75,2022,qual
45.0,Megan BRIDGE,GBR,4.0,6.05,0.0,10.05,2022,qual
23.0,Romi BROWN,AUS,4.7,6.5,0.0,11.2,2022,AAfinal
42.0,Romi BROWN,AUS,4.7,7.566,0.0,12.266,2022,qual
13.0,Romi BROWN,AUS,4.8,7.8,0.0,12.6,2023,qual
17.0,Kim BUI,GER,4.9,7.933,0.0,12.833,2022,qual
7.0,Csenge Bacskay,HUN,4.6,6.933,0.0,11.533,2022,qual
8.0,Csenge Bacskay,HUN,4.4,6.733,0.0,11.133,2022,final
6.0,Sydney Barros,USA,5.5,7.6,0.0,13.1,2022,AAfinal
3.0,Daniela Batrona,UKR,5.4,7.5,0.0,12.9,2022,final
1.0,Daniela Batrona,UKR,5.5,7.933,0.0,13.433,2022,qual
1.0,Daniela Batrona,UKR,5.2,7.6,0.0,12.8,2022,qual
3.0,Daniela Batrona,UKR,4.9,7.266,0.0,12.166,2022,final
1.0,Daniela Batrona,UKR,5.5,7.7,0.0,13.2,2022,final
1.0,Daniela Batrona,UKR,5.5,7.8,0.0,13.3,2022,qual
11.0,Daniela Batrona,UKR,5.4,5.533,0.0,10.933,2022,qual
14.0,Aida Bauyrzhanova,KAZ,4.9,7.266,0.0,12.166,2022,qual
10.0,Aida Bauyrzhanova,KAZ,4.9,6.666,0.0,11.566,2022,qual
9.0,Aida Bauyrzhanova,KAZ,5.0,6.1,0.0,11.1,2022,qual
25.0,Teja Belak,SLO,4.2,6.7,0.0,10.9,2022,qual
9.0,Teja Belak,SLO,4.7,7.0,0.0,11.7,2022,qual
15.0,Miriam Bernhard,AUT,4.6,7.066,0.0,11.666,2023,qual
25.0,Ceren Biner,TUR,5.6,4.866,0.0,10.466,2023,qual
3.0,Skye Blakely,USA,6.0,7.5,0.0,13.5,2022,AAfinal
1.0,Skye Blakely,USA,5.9,7.6,0.1,13.4,2023,AAfinal
24.0,Charlotte Booth,USA,4.9,5.7,0.0,10.6,2022,AAfinal
12.0,Charlotte Booth,USA,4.9,7.15,0.0,12.05,2023,AAfinal
12.0,Ella Borg,MLT,4.4,6.466,0.0,10.866,2022,qual
1.0,Marine Boyer,FRA,5.4,8.433,0.0,13.833,2023,qual
1.0,Marine Boyer,FRA,5.4,8.167,0.0,13.567,2023,final
