Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
3.0,Anastasiia Motak,eu,5.4,8.85,0.0,14.25,4.8,8.65,0.0,13.45,13.85,2020.0,final
4.0,Csenge Bácksay,eu,5.0,8.7,0.0,13.7,4.8,8.8,0.0,13.6,13.65,2020.0,final
5.0,Ioana Stănciulescu,eu,5.4,8.75,0.0,14.15,4.2,8.8,0.0,13.0,13.575,2020.0,final
6.0,Dilara Yurtdaş,eu,4.6,9.0,0.0,13.6,4.6,8.75,0.0,13.35,13.475,2020.0,final
7.0,Elina Vihrova,eu,4.6,8.8,0.0,13.4,4.6,8.5,0.0,13.1,13.25,2020.0,final
8.0,Tijana Korent,eu,4.6,8.6,0.0,13.2,4.6,8.65,0.0,13.25,13.225,2020.0,final
1.0,Oksana Chusovitina,UZB,5.8,9.125,0.0,14.925,5.5,9.325,0.0,14.825,14.875,2015.0,2015
2.0,Tjasa Kysselef,SLO,5.0,8.9,0.0,13.9,5.0,9.1,0.0,14.1,14.0,2015.0,2015
3.0,Teja Belak,SLO,5.3,8.95,0.0,14.25,5.3,8.65,-0.3,13.65,13.95,2015.0,2015
4.0,Paula Plichta,POL,5.0,8.65,0.0,13.65,5.2,8.55,0.0,13.75,13.7,2015.0,2015
5.0,Pauline Tratz,GER,5.0,9.075,0.0,14.075,4.4,8.9,0.0,13.3,13.687,2015.0,2015
6.0,Boglarka Devai,HUN,5.0,8.875,0.0,13.875,4.6,8.8,0.0,13.4,13.637,2015.0,2015
7.0,Argyro Afrati,GRE,4.8,9.05,0.0,13.85,5.0,8.4,0.0,13.4,13.625,2015.0,2015
7.0,Ana Perez,ESP,5.0,8.95,0.0,13.95,4.6,8.7,0.0,13.3,13.625,2015.0,2015
110.0,Jana ABDELSALAM,EGY,4.2,8.433,0.3,0.0,0.0,0.0,0.0,0.0,12.333,2022,qual
138.0,Jana ABOELHASAN,EGY,3.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.6,2022,qual
3.0,Ondine ACHAMPONG,GBR,5.0,9.466,0.0,0.0,0.0,0.0,0.0,0.0,14.466,2022,qual
1.0,Ondine ACHAMPONG,GBR,5.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,14.25,2022,qual
4.0,Ondine ACHAMPONG,GBR,5.0,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.933,2022,qual
7.0,Ondine ACHAMPONG,GBR,5.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2022,TeamFinal
6.0,Ondine ACHAMPONG,GBR,5.0,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.966,2023,qual
1.0,Ondine ACHAMPONG,ENG,5.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2022,AAfinal
126.0,Thelma ADALSTEINSDOTTIR,ISL,3.8,8.266,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2022,qual
69.0,Thelma ADALSTEINSDOTTIR,ISL,3.8,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2022,qual
82.0,Thelma ADALSTEINSDOTTIR,ISL,3.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2023,qual
44.0,Jess ADAMSON,GBR,3.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2022,qual
23.0,Ruba ALDAOUD,JOR,3.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2023,qual
23.0,Ruba ALDAOUD,JOR,1.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,10.166,2023,qual
9.0,Lobar AMRILLAEVA,UZB,3.8,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.366,2023,qual
9.0,Lobar AMRILLAEVA,UZB,3.4,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.133,2023,qual
87.0,Anastasija ANANJEVA,LAT,3.8,8.266,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2022,qual
24.0,Anastasija ANANJEVA,LAT,3.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2022,qual
93.0,Anastasija ANANJEVA,LAT,3.8,8.633,0.3,0.0,0.0,0.0,0.0,0.0,12.133,2023,qual
15.0,Anastasija ANANJEVA,LAT,3.4,8.433,0.0,0.0,0.0,0.0,0.0,0.0,11.833,2023,qual
1.0,Rebeca ANDRADE,BRA,5.6,9.566,0.0,0.0,0.0,0.0,0.0,0.0,15.166,2022,AAfinal
1.0,Rebeca ANDRADE,BRA,5.6,9.466,0.0,0.0,0.0,0.0,0.0,0.0,15.066,2022,qual
12.0,Rebeca ANDRADE,BRA,3.0,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.466,2022,qual
26.0,Angela ANDREOLI,ITA,4.6,8.533,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2022,qual
13.0,Angela ANDREOLI,ITA,4.0,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2022,qual
43.0,Angela ANDREOLI,ITA,4.6,8.733,0.3,0.0,0.0,0.0,0.0,0.0,13.033,2023,qual
10.0,Angela ANDREOLI,ITA,3.8,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2023,qual
26.0,Minea Aino Maija ANTILA,FIN,3.6,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.23,2023,qual
37.0,Misella Alli Helena ANTILA,FIN,3.2,8.666,0.0,0.0,0.0,0.0,0.0,0.0,11.86,2023,qual
6.0,Shannon ARCHER,GBR,5.0,7.05,0.3,0.0,0.0,0.0,0.0,0.0,12.35,2022,final
3.0,Shannon ARCHER,GBR,5.0,8.85,0.0,0.0,0.0,0.0,0.0,0.0,13.85,2022,qual
6.0,Shannon ARCHER,GBR,4.4,8.45,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2022,final
3.0,Shannon ARCHER,GBR,4.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
3.0,Shannon ARCHER,SCO,5.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.7,2022,AAfinal
3.0,Shannon ARCHER,SCO,4.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,final
1.0,Shannon ARCHER,SCO,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
18.0,Dildora ARIPOVA,UZB,4.2,7.633,0.1,0.0,0.0,0.0,0.0,0.0,11.733,2023,qual
18.0,Dildora ARIPOVA,UZB,3.8,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.433,2023,qual
8.0,Dildora ARIPOVA,UZB,4.2,8.466,0.3,0.0,0.0,0.0,0.0,0.0,12.366,2023,final
8.0,Dildora ARIPOVA,UZB,4.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.766,2023,qual
8.0,Dildora ARIPOVA,UZB,3.8,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.466,2023,final
8.0,Dildora ARIPOVA,UZB,3.8,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2023,qual
12.0,Dildora ARIPOVA,UZB,4.2,8.433,0.1,0.0,0.0,0.0,0.0,0.0,12.533,2023,qual
12.0,Dildora ARIPOVA,UZB,3.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2023,qual
22.0,Valeria ARRAIZ,VEN,3.6,8.75,0.0,0.0,0.0,0.0,0.0,0.0,12.35,2023,qual
10.0,Valeria ARRAIZ,VEN,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
80.0,Sona ARTAMONOVA,CZE,3.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2023,qual
49.0,Amelie ATTWOOD,GBR,3.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,11.85,2022,qual
138.0,Tatiana BACHURINA,CYP,3.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.6,2022,qual
98.0,Tatiana BACHURINA,CYP,3.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.666,2022,qual
16.0,Tatiana BACHURINA,CYP,3.2,8.55,0.0,0.0,0.0,0.0,0.0,0.0,11.75,2022,AAfinal
51.0,Csenge Maria BACSKAY,HUN,4.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
17.0,Csenge Maria BACSKAY,HUN,4.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
19.0,Csenge Maria BACSKAY,HUN,4.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,qual
9.0,Csenge Maria BACSKAY,HUN,4.6,9.2,0.0,0.0,0.0,0.0,0.0,0.0,13.8,2022,TeamFinal
9.0,Csenge Maria BACSKAY,HUN,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
41.0,Sacha BAILEY,GBR,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2022,qual
41.0,Sacha BAILEY,GBR,3.6,7.75,0.0,0.0,0.0,0.0,0.0,0.0,11.35,2022,qual
47.0,Shannon BAKER,GBR,3.6,8.35,0.0,0.0,0.0,0.0,0.0,0.0,11.95,2022,qual
97.0,Adela BALCOVA,SVK,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
31.0,Gabriela BARBOSA,BRA,4.2,8.45,0.0,0.0,0.0,0.0,0.0,0.0,12.65,2023,qual
31.0,Gabriela BARBOSA,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
19.0,Ana BARBOSU,ROU,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,AAfinal
57.0,Ana BARBOSU,ROU,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
50.0,Ana BARBOSU,ROU,4.2,8.633,0.1,0.0,0.0,0.0,0.0,0.0,12.733,2022,qual
8.0,Ana BARBOSU,ROU,4.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2023,AAfinal
98.0,Ana BARBOSU,ROU,4.6,7.633,0.3,0.0,0.0,0.0,0.0,0.0,11.933,2023,qual
134.0,Aida BAUYRZHANOVA,KAZ,3.4,8.366,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2022,qual
99.0,Teja BELAK,SLO,5.0,7.566,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2022,qual
15.0,Teja BELAK,SLO,4.6,9.066,0.0,0.0,0.0,0.0,0.0,0.0,13.666,2022,qual
117.0,Teja BELAK,SLO,4.0,7.6,0.3,0.0,0.0,0.0,0.0,0.0,11.3,2022,qual
106.0,Cecilie BERGHOLT,DEN,3.4,8.433,0.0,0.0,0.0,0.0,0.0,0.0,11.833,2023,qual
40.0,Tamsyn Sanchez BESSIT,RSA,3.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,11.7,2023,qual
17.0,Lena BICKEL,SUI,4.2,9.166,0.0,0.0,0.0,0.0,0.0,0.0,13.366,2023,qual
68.0,Ula BIKINAITE,LTU,3.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2022,qual
88.0,Ula BIKINAITE,LTU,3.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2023,qual
38.0,Ceren BINER,TUR,4.2,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2023,qual
6.0,Ceren BINER,TUR,3.8,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.466,2023,final
8.0,Ceren BINER,TUR,3.8,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.466,2023,qual
9.0,Elsabeth BLACK,CAN,5.0,9.033,0.0,0.0,0.0,0.0,0.0,0.0,14.033,2022,AAfinal
26.0,Elsabeth BLACK,CAN,4.8,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.666,2022,qual
4.0,Elsabeth BLACK,CAN,4.8,9.233,0.0,0.0,0.0,0.0,0.0,0.0,14.033,2022,final
6.0,Elsabeth BLACK,CAN,5.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.833,2022,qual
45.0,Leni BOHLE,AUT,4.2,8.9,0.1,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
89.0,Ella BORG,MLT,3.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2022,qual
26.0,Ella BORG,MLT,3.6,8.133,0.1,0.0,0.0,0.0,0.0,0.0,11.633,2022,qual
100.0,Ella BORG,MLT,3.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2023,qual
129.0,Fatma Zohra BOUKHATEM,ALG,3.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2022,qual
22.0,Marine BOYER,FRA,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,qual
18.0,Marine BOYER,FRA,4.2,9.133,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2023,qual
15.0,Maellyse BRASSART,BEL,4.2,9.066,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2022,AAfinal
40.0,Maellyse BRASSART,BEL,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,qual
32.0,Maellyse BRASSART,BEL,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2022,qual
22.0,Maellyse BRASSART,BEL,4.2,8.833,0.1,0.0,0.0,0.0,0.0,0.0,12.933,2022,TeamFinal
9.0,Maellyse BRASSART,BEL,4.2,9.133,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2023,AAfinal
18.0,Maellyse BRASSART,BEL,4.2,9.133,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2023,qual
8.0,Maellyse BRASSART,BEL,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2023,qual
8.0,Maellyse BRASSART,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
20.0,Emily BREMNER,GBR,4.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2022,qual
49.0,Anna BRIDGE,GBR,3.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,11.85,2022,qual
12.0,Megan BRIDGE,GBR,4.6,8.4,0.1,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
12.0,Megan BRIDGE,GBR,3.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2022,qual
57.0,Georgia Rose BROWN,AUS,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
17.0,Romi BROWN,AUS,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2022,AAfinal
48.0,Romi BROWN,AUS,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2022,qual
28.0,Kim BUI,GER,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
17.0,Kim BUI,GER,4.2,9.066,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2022,TeamFinal
2.0,Csenge Bacskay,HUN,4.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2022,final
4.0,Csenge Bacskay,HUN,4.6,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.366,2022,qual
2.0,Csenge Bacskay,HUN,4.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,final
4.0,Csenge Bacskay,HUN,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
6.0,Csenge Bacskay,HUN,4.6,8.866,0.1,0.0,0.0,0.0,0.0,0.0,13.366,2022,final
6.0,Csenge Bacskay,HUN,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2022,qual
6.0,Csenge Bacskay,HUN,3.4,8.533,0.0,0.0,0.0,0.0,0.0,0.0,11.933,2022,final
6.0,Csenge Bacskay,HUN,3.4,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2022,qual
2.0,Csenge Bacskay,HUN,4.6,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.366,2022,qual
2.0,Csenge Bacskay,HUN,4.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,final
2.0,Csenge Bacskay,HUN,4.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,final
2.0,Csenge Bacskay,HUN,4.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,qual
8.0,Csenge Bacskay,HUN,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
2.0,Csenge Bacskay,HUN,4.6,8.566,0.3,0.0,0.0,0.0,0.0,0.0,12.866,2023,final
2.0,Csenge Bacskay,HUN,4.4,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2023,final
8.0,Csenge Bacskay,HUN,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
4.0,Csenge Bacskay,HUN,4.2,8.767,0.0,0.0,0.0,0.0,0.0,0.0,12.967,2023,qual
2.0,Csenge Bacskay,HUN,4.6,8.667,0.0,0.0,0.0,0.0,0.0,0.0,13.267,2023,final
4.0,Csenge Bacskay,HUN,3.8,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.533,2023,qual
2.0,Csenge Bacskay,HUN,4.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2023,final
2.0,Teja Belak,SLO,5.0,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.766,2022,qual
3.0,Teja Belak,SLO,5.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.7,2022,final
2.0,Teja Belak,SLO,4.6,8.666,0.3,0.0,0.0,0.0,0.0,0.0,12.966,2022,qual
3.0,Teja Belak,SLO,4.6,7.666,0.1,0.0,0.0,0.0,0.0,0.0,12.166,2022,final
14.0,Teja Belak,SLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,qual
14.0,Teja Belak,SLO,4.6,7.666,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2022,qual
14.0,Ceren Biner,TUR,4.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
14.0,Ceren Biner,TUR,3.8,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.366,2023,qual
7.0,Annabelle Burrows,AUS,4.6,8.666,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2023,qual
6.0,Annabelle Burrows,AUS,4.6,9.033,0.0,0.0,0.0,0.0,0.0,0.0,13.633,2023,final
7.0,Annabelle Burrows,AUS,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2023,qual
6.0,Annabelle Burrows,AUS,3.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,final
6.0,Dorina Böczögö,HUN,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,final
6.0,Dorina Böczögö,HUN,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2022,qual
6.0,Dorina Böczögö,HUN,3.6,8.333,0.1,0.0,0.0,0.0,0.0,0.0,11.833,2022,qual
6.0,Dorina Böczögö,HUN,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2022,final
21.0,Irene CALLE GIL,ESP,4.2,8.6,0.1,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
15.0,Irene CALLE GIL,ESP,3.6,8.066,0.3,0.0,0.0,0.0,0.0,0.0,11.366,2023,qual
23.0,Sabrina CARDERO,CUB,4.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2023,qual
2.0,Jade CAREY,USA,5.6,9.133,0.0,0.0,0.0,0.0,0.0,0.0,14.733,2022,AAfinal
2.0,Jade CAREY,USA,5.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,2022,qual
1.0,Jade CAREY,USA,5.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2022,final
1.0,Jade CAREY,USA,5.0,9.366,0.0,0.0,0.0,0.0,0.0,0.0,14.366,2022,qual
16.0,Laura CASABUENA,ESP,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,AAfinal
45.0,Laura CASABUENA,ESP,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,qual
93.0,Laura CASABUENA,ESP,4.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2022,qual
20.0,Laura CASABUENA,ESP,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,TeamFinal
6.0,Laura CASABUENA,ESP,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2023,final
4.0,Laura CASABUENA,ESP,4.2,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2023,qual
6.0,Laura CASABUENA,ESP,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2023,final
4.0,Laura CASABUENA,ESP,3.8,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.466,2023,qual
12.0,Laura CASABUENA,ESP,4.2,9.033,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2023,AAfinal
27.0,Laura CASABUENA,ESP,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,qual
45.0,Charlotte CASSIDY,GBR,3.2,8.75,0.0,0.0,0.0,0.0,0.0,0.0,11.95,2022,qual
55.0,Caterina CEREGHETTI,SUI,4.2,8.766,0.1,0.0,0.0,0.0,0.0,0.0,12.866,2023,qual
35.0,Olivia CHAM,GBR,3.6,8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2022,qual
12.0,Cheuk Lam CHAN,HKG,3.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2023,qual
