Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
34.0,Gabriela BARBOSA,BRA,4.3,7.1,0.0,11.4,2023,qual
22.0,Ana BARBOSU,ROU,5.2,6.733,0.0,11.933,2022,AAfinal
19.0,Ana BARBOSU,ROU,5.6,7.7,0.0,13.3,2022,qual
4.0,Ana BARBOSU,ROU,5.6,8.033,0.0,13.633,2022,final
10.0,Ana BARBOSU,ROU,5.4,7.866,0.0,13.266,2022,qual
19.0,Ana BARBOSU,ROU,5.3,6.733,0.0,12.033,2023,AAfinal
7.0,Ana BARBOSU,ROU,5.5,7.3,0.0,12.8,2023,final
7.0,Ana BARBOSU,ROU,5.5,7.733,0.0,13.233,2023,qual
13.0,Sydney BARROS,PUR,5.2,6.75,0.0,11.95,2023,qual
69.0,Aida BAUYRZHANOVA,KAZ,4.5,7.833,0.0,12.333,2022,qual
15.0,Aida BAUYRZHANOVA,KAZ,4.7,7.5,0.1,12.1,2023,qual
4.0,Aida BAUYRZHANOVA,KAZ,4.7,7.833,0.0,12.533,2023,final
3.0,Aida BAUYRZHANOVA,KAZ,4.7,8.033,0.0,12.733,2023,qual
15.0,Aida BAUYRZHANOVA,KAZ,4.7,7.2,0.4,11.5,2023,qual
2.0,Arianna BELARDELLI,ITA,5.3,7.8,0.3,12.8,2023,final
7.0,Arianna BELARDELLI,ITA,5.3,7.533,0.4,12.433,2023,qual
22.0,Ellie BELBIN,GBR,4.3,7.15,0.0,11.45,2023,qual
109.0,Cecilie BERGHOLT,DEN,4.3,6.266,0.0,10.566,2023,qual
26.0,Tamsyn Sanchez BESSIT,RSA,4.5,6.966,0.0,11.466,2023,qual
10.0,Lena BICKEL,SUI,5.3,7.733,0.0,13.033,2023,qual
113.0,Ula BIKINAITE,LTU,3.6,5.966,0.0,9.566,2022,qual
114.0,Ula BIKINAITE,LTU,3.6,6.533,0.0,10.133,2023,qual
51.0,Ceren BINER,TUR,4.7,7.333,0.0,12.033,2023,qual
11.0,Elsabeth BLACK,CAN,5.0,8.333,0.0,13.333,2022,AAfinal
20.0,Elsabeth BLACK,CAN,5.0,8.266,0.0,13.266,2022,qual
11.0,Skye BLAKELY,USA,5.7,7.9,0.0,13.6,2022,qual
115.0,Ella BORG,MLT,4.4,7.4,0.1,11.7,2022,qual
88.0,Ella BORG,MLT,4.4,7.066,0.2,11.266,2022,qual
94.0,Ella BORG,MLT,4.3,6.966,0.1,11.166,2023,qual
126.0,Fatma Zohra BOUKHATEM,ALG,4.5,6.966,0.0,11.466,2022,qual
17.0,Marine BOYER,FRA,5.2,8.1,0.0,13.3,2022,qual
38.0,Marine BOYER,FRA,4.8,7.866,0.3,12.366,2022,qual
15.0,Marine BOYER,FRA,4.8,7.9,0.0,12.7,2022,TeamFinal
1.0,Marine BOYER,FRA,4.9,7.933,0.0,12.833,2023,final
1.0,Marine BOYER,FRA,4.9,8.066,0.0,12.966,2023,qual
17.0,Marine BOYER,FRA,4.9,7.833,0.0,12.733,2023,qual
56.0,Jacinta BRACKLEY,GBR,3.6,6.65,0.0,10.25,2022,qual
13.0,Maellyse BRASSART,BEL,5.0,8.133,0.0,13.133,2022,AAfinal
37.0,Maellyse BRASSART,BEL,5.0,7.9,0.0,12.9,2022,qual
69.0,Maellyse BRASSART,BEL,4.7,7.0,0.0,11.7,2022,qual
17.0,Maellyse BRASSART,BEL,4.9,7.766,0.1,12.566,2022,TeamFinal
12.0,Maellyse BRASSART,BEL,4.9,7.566,0.0,12.466,2023,AAfinal
47.0,Maellyse BRASSART,BEL,4.9,7.2,0.0,12.1,2023,qual
9.0,Maellyse BRASSART,BEL,4.9,7.85,0.0,12.75,2023,qual
43.0,Emily BREMNER,GBR,4.6,6.6,0.0,11.2,2022,qual
18.0,Emily BREMNER,SCO,4.8,7.25,0.0,12.05,2022,qual
58.0,Anna BRIDGE,GBR,3.3,6.85,0.0,10.15,2022,qual
63.0,Megan BRIDGE,GBR,1.1,8.45,6.5,3.05,2022,qual
21.0,Valentina BROSTELLA,PAN,4.2,7.35,0.1,11.45,2023,qual
132.0,Georgia Rose BROWN,AUS,4.3,6.833,0.0,11.133,2022,qual
24.0,Romi BROWN,AUS,4.8,6.633,0.0,11.433,2022,AAfinal
47.0,Romi BROWN,AUS,5.0,7.733,0.0,12.733,2022,qual
8.0,Romi BROWN,AUS,4.7,7.066,0.0,11.766,2022,final
5.0,Romi BROWN,AUS,5.1,7.65,0.0,12.75,2022,qual
16.0,Kim BUI,GER,5.3,7.566,0.0,12.866,2022,qual
10.0,Kim BUI,GER,5.3,7.733,0.0,13.033,2022,TeamFinal
11.0,Hanna Balzsay,HUN,4.2,7.933,0.0,12.133,2023,qual
13.0,Sydney Barros,USA,5.4,7.2,0.0,12.6,2022,AAfinal
12.0,Daniela Batrona,UKR,5.0,7.4,0.1,12.3,2022,qual
4.0,Daniela Batrona,UKR,4.6,7.666,0.0,12.266,2022,final
3.0,Daniela Batrona,UKR,4.8,7.766,0.0,12.566,2022,qual
10.0,Daniela Batrona,UKR,4.6,6.8,0.0,11.4,2022,qual
2.0,Daniela Batrona,UKR,4.9,7.766,0.0,12.666,2022,final
5.0,Daniela Batrona,UKR,4.8,7.366,0.0,12.166,2022,qual
11.0,Aida Bauyrzhanova,KAZ,4.7,7.633,0.0,12.333,2022,qual
7.0,Aida Bauyrzhanova,KAZ,4.7,7.166,0.3,11.566,2022,final
6.0,Aida Bauyrzhanova,KAZ,4.5,7.666,0.1,12.066,2022,qual
6.0,Aida Bauyrzhanova,KAZ,4.3,7.4,0.0,11.7,2022,final
7.0,Aida Bauyrzhanova,KAZ,4.5,7.433,0.0,11.933,2022,qual
23.0,Miriam Bernhard,AUT,4.2,6.333,0.0,10.533,2023,qual
8.0,Ceren Biner,TUR,4.8,7.5,0.0,12.3,2023,qual
6.0,Ceren Biner,TUR,4.6,7.666,0.0,12.266,2023,final
2.0,Skye Blakely,USA,5.4,7.85,0.0,13.25,2022,AAfinal
18.0,Charlotte Booth,USA,4.7,7.4,0.0,12.1,2022,AAfinal
22.0,Charlotte Booth,USA,4.8,7.25,0.3,11.75,2023,AAfinal
10.0,Ella Borg,MLT,4.5,6.9,0.0,11.4,2022,qual
4.0,Marine Boyer,FRA,4.9,8.133,0.0,13.033,2023,final
6.0,Marine Boyer,FRA,4.9,7.8,0.1,12.6,2023,qual
4.0,Annabelle Burrows,AUS,4.8,7.9,0.0,12.7,2023,qual
5.0,Annabelle Burrows,AUS,4.6,7.733,0.0,12.333,2023,final
2.0,Dorina Böczögö,HUN,4.9,8.1,0.0,13.0,2022,qual
2.0,Dorina Böczögö,HUN,4.9,8.266,0.0,13.166,2022,final
1.0,Dorina Böczögö,HUN,4.8,7.933,0.0,12.733,2022,final
4.0,Dorina Böczögö,HUN,4.9,7.666,0.1,12.466,2022,qual
3.0,Dorina Böczögö,HUN,4.9,7.633,0.1,12.433,2022,final
3.0,Dorina Böczögö,HUN,4.9,7.666,0.0,12.566,2022,qual
17.0,Irene CALLE GIL,ESP,4.4,7.633,0.0,12.033,2023,qual
93.0,Paulina CAMPOS,MEX,4.2,7.833,0.0,12.033,2022,qual
34.0,Sabrina CARDERO,CUB,4.2,5.75,0.1,9.85,2023,qual
3.0,Jade CAREY,USA,6.1,8.066,0.0,14.166,2022,AAfinal
3.0,Jade CAREY,USA,5.9,7.833,0.0,13.733,2022,final
5.0,Jade CAREY,USA,6.1,7.966,0.0,14.066,2022,qual
12.0,Laura CASABUENA,ESP,5.1,8.233,0.0,13.333,2022,AAfinal
24.0,Laura CASABUENA,ESP,5.1,8.1,0.0,13.2,2022,qual
21.0,Laura CASABUENA,ESP,4.9,7.833,0.0,12.733,2022,qual
16.0,Laura CASABUENA,ESP,5.1,7.566,0.0,12.666,2022,TeamFinal
8.0,Laura CASABUENA,ESP,4.8,7.366,0.0,12.166,2023,final
7.0,Laura CASABUENA,ESP,5.0,8.0,0.0,13.0,2023,qual
8.0,Laura CASABUENA,ESP,5.2,7.5,0.0,12.7,2023,AAfinal
6.0,Laura CASABUENA,ESP,5.2,7.833,0.0,13.033,2023,final
9.0,Laura CASABUENA,ESP,5.2,7.9,0.0,13.1,2023,qual
55.0,Charlotte CASSIDY,GBR,4.4,6.2,0.3,10.3,2022,qual
38.0,Caterina CEREGHETTI,SUI,4.8,7.4,0.0,12.2,2023,qual
21.0,Olivia CHAM,GBR,4.4,7.5,0.0,11.9,2022,qual
30.0,Cheuk Lam CHAN,HKG,4.0,7.3,0.0,11.3,2023,qual
25.0,Cheuk Lam CHAN,HKG,3.4,7.633,0.0,11.033,2023,qual
17.0,Cheuk Lam CHAN,HKG,3.4,7.533,0.0,10.933,2023,qual
19.0,Cheuk Lam CHAN,HKG,3.4,7.3,0.0,10.7,2023,qual
117.0,Georgia CHARALAMPOUS,CYP,3.5,6.366,0.0,9.866,2023,qual
17.0,Carmina CHAVEZ,ESA,3.9,7.75,0.0,11.65,2023,qual
2.0,Jordan CHILES,USA,5.8,8.033,0.0,13.833,2022,final
4.0,Jordan CHILES,USA,5.8,8.3,0.0,14.1,2022,qual
40.0,Dasol CHOI,KOR,4.3,6.566,0.1,10.766,2023,qual
22.0,Oksana CHUSOVITINA,UZB,4.0,7.3,0.0,11.3,2023,qual
20.0,Jerusha CLARKE,GBR,5.0,6.95,0.0,11.95,2022,qual
117.0,Reece COBB,NZL,4.1,7.666,0.1,11.666,2022,qual
38.0,Lisa CONRADIE,RSA,3.1,7.7,0.0,10.8,2023,qual
61.0,Mafalda COSTA,POR,4.5,7.3,0.0,11.8,2022,qual
20.0,Mafalda COSTA,POR,4.7,7.3,0.0,12.0,2023,qual
54.0,Mafalda COSTA,POR,4.6,7.366,0.0,11.966,2023,qual
43.0,Bettina Lili CZIFRA,HUN,5.0,7.133,0.0,12.133,2023,qual
20.0,Dulcy Caylor,USA,5.3,6.85,0.3,11.85,2023,AAfinal
17.0,Cheuk Lam Chan,HKG,3.4,7.433,0.0,10.833,2023,qual
6.0,Lorette Charpy,FRA,4.9,7.666,0.0,12.566,2022,qual
6.0,Lorette Charpy,FRA,4.7,7.966,0.0,12.666,2022,final
26.0,Chloe Cho,USA,4.8,6.6,0.0,11.4,2023,AAfinal
24.0,Norah Christian,USA,5.1,6.75,0.4,11.45,2023,AAfinal
9.0,Reece Cobb,NZL,4.2,7.466,0.2,11.466,2022,qual
15.0,Alice D AMATO,ITA,5.0,8.066,0.0,13.066,2022,AAfinal
9.0,Alice D AMATO,ITA,5.4,8.2,0.0,13.6,2022,qual
8.0,Alice D AMATO,ITA,5.4,8.1,0.0,13.5,2022,qual
4.0,Alice D AMATO,ITA,5.4,8.033,0.1,13.333,2022,TeamFinal
2.0,Alice D AMATO,ITA,5.4,8.1,0.0,13.5,2023,final
2.0,Alice D AMATO,ITA,5.4,8.166,0.0,13.566,2023,qual
4.0,Alice D AMATO,ITA,5.2,8.133,0.2,13.133,2023,final
3.0,Alice D AMATO,ITA,5.2,8.266,0.0,13.466,2023,qual
5.0,Alice D AMATO,ITA,5.4,7.7,0.0,13.1,2023,AAfinal
5.0,Alice D AMATO,ITA,5.4,8.033,0.0,13.433,2023,final
5.0,Alice D AMATO,ITA,5.4,7.966,0.0,13.366,2023,qual
5.0,Asia D AMATO,ITA,5.4,8.166,0.0,13.566,2022,qual
2.0,Asia D AMATO,ITA,5.4,8.166,0.0,13.566,2022,TeamFinal
15.0,Asia D AMATO,ITA,4.9,7.233,0.3,11.833,2023,qual
12.0,Margaux DANDOIS,BEL,5.0,7.066,0.0,12.066,2023,qual
72.0,Naveen DARIES,RSA,4.8,7.7,0.2,12.3,2022,qual
5.0,Naveen DARIES,RSA,4.8,7.9,0.0,12.7,2022,AAfinal
7.0,Naveen DARIES,RSA,4.7,7.8,0.3,12.2,2022,final
10.0,Naveen DARIES,RSA,4.8,7.75,0.0,12.55,2022,qual
11.0,Grace DAVIES,GBR,5.1,7.05,0.1,12.05,2023,qual
38.0,Mabelle DAWSON,GBR,4.4,5.9,0.1,10.2,2023,qual
37.0,Jessica DAYKIN,GBR,5.1,6.65,0.3,11.45,2022,qual
105.0,Joana DE FREITAS,MON,4.1,6.333,0.0,10.433,2022,qual
33.0,Joana DE FREITAS,MON,4.1,6.666,0.0,10.766,2023,qual
26.0,Joana DE FREITAS,MON,4.1,6.833,0.0,10.933,2023,qual
83.0,Joana DE FREITAS,MON,4.1,7.3,0.0,11.4,2023,qual
33.0,Natalia DELGADO,PUR,4.5,5.65,0.0,10.15,2023,qual
28.0,Lara Albertina DEMARSICO,ARG,4.1,7.266,0.0,11.366,2023,qual
22.0,Laurie DENOMMEE,CAN,5.3,7.966,0.0,13.266,2022,qual
2.0,Laurie DENOMMEE,CAN,5.0,8.15,0.0,13.15,2022,AAfinal
7.0,Laurie DENOMMEE,CAN,5.0,7.65,0.0,12.65,2022,qual
20.0,Ana DEREK,CRO,5.1,7.666,0.0,12.766,2022,qual
7.0,Karelys DIAZ,PUR,4.5,7.6,0.0,12.1,2023,AAfinal
8.0,Karelys DIAZ,PUR,4.5,7.5,0.3,11.7,2023,final
10.0,Karelys DIAZ,PUR,4.6,7.45,0.0,12.05,2023,qual
106.0,Nicole DIAZ,PUR,4.4,7.433,0.0,11.833,2022,qual
12.0,Stella DIAZ,PUR,4.3,6.85,0.0,11.15,2023,AAfinal
24.0,Stella DIAZ,PUR,4.2,7.05,0.0,11.25,2023,qual
73.0,Evangelina DIMITRIOU,CYP,4.3,7.366,0.0,11.666,2023,qual
42.0,Tara DONNELLY,GBR,4.5,6.8,0.0,11.3,2022,qual
15.0,Tara DONNELLY,IOM,4.7,7.0,0.4,11.3,2022,AAfinal
23.0,Tara DONNELLY,IOM,4.7,7.2,0.3,11.6,2022,qual
78.0,Geffen DOR,ISR,4.2,7.333,0.1,11.433,2022,qual
11.0,Geffen DOR,ISR,4.4,7.2,0.0,11.6,2023,qual
9.0,Jessica DOWLING,CAN,4.9,7.533,0.3,12.133,2023,qual
7.0,Jessica DOWLING,CAN,4.9,7.233,0.1,12.033,2023,final
7.0,Jessica DOWLING,CAN,4.9,7.4,0.2,12.1,2023,qual
10.0,Rebecca DOWNIE,GBR,4.4,8.1,0.0,12.5,2022,qual
53.0,Eliska DRNCOVA,CZE,4.5,7.466,0.0,11.966,2023,qual
16.0,Siyu DU,CHN,4.1,7.933,0.0,12.033,2023,qual
15.0,Lauren DUCAS,CUB,4.1,6.8,0.0,10.9,2023,AAfinal
26.0,Lauren DUCAS,CUB,4.2,6.9,0.0,11.1,2023,qual
36.0,Jamilia DUFFUS,JAM,3.5,4.55,0.0,8.05,2023,qual
28.0,Courtney DUNBAR,GBR,3.9,7.3,0.0,11.2,2023,qual
83.0,Antonia DUTA,ROU,5.0,6.633,0.3,11.333,2022,qual
8.0,Margaux Dandois,BEL,4.9,7.367,0.0,12.267,2023,final
3.0,Margaux Dandois,BEL,4.9,8.167,0.0,13.067,2023,qual
8.0,Naveen Daries,RSA,4.6,7.0,0.0,11.4,2022,final
7.0,Naveen Daries,RSA,4.6,7.5,0.1,12.0,2022,qual
3.0,Laurie Denommée,CAN,5.0,7.566,0.0,12.566,2022,final
1.0,Laurie Denommée,CAN,5.0,7.933,0.0,12.933,2022,qual
16.0,Amelia Disidore,USA,4.9,7.45,0.0,12.35,2022,AAfinal
4.0,Amelia Disidore,USA,5.7,7.5,0.0,13.2,2023,AAfinal
21.0,Skylar Draser,USA,4.5,7.15,0.0,11.65,2022,AAfinal
23.0,Amari Drayton,USA,5.1,6.4,0.0,11.5,2023,AAfinal
5.0,Antonia Duta,ROU,5.0,7.666,0.1,12.566,2022,qual
4.0,Antonia Duta,ROU,5.0,7.833,0.0,12.833,2022,final
18.0,Amanda EDWARDS,AUS,4.5,7.666,0.3,11.866,2023,qual
7.0,Amanda EDWARDS,AUS,4.5,7.633,0.0,12.133,2023,AAfinal
143.0,Milka Gehani ELPITIYA BADALGE DONA,SRI,3.1,7.9,4.3,6.7,2022,qual
30.0,Milka Gehani ELPITIYA BADALGE DONA,SRI,4.6,6.35,0.3,10.65,2022,qual
28.0,Alexandra EMEINIDOU,GRE,4.1,7.266,0.0,11.366,2023,qual
53.0,Dohyun EOM,KOR,5.0,7.633,0.0,12.633,2022,qual
115.0,Antea ERCEGOVIC,CRO,3.2,7.366,0.6,9.966,2023,qual
81.0,Alva ERIKSSON,SWE,4.6,7.7,0.1,12.2,2022,qual
51.0,Alva ERIKSSON,SWE,4.4,7.7,0.1,12.0,2022,qual
42.0,Natalia ESCALERA,MEX,5.1,7.733,0.0,12.833,2022,qual
2.0,Natalia ESCALERA,MEX,5.2,7.75,0.1,12.85,2023,AAfinal
2.0,Natalia ESCALERA,MEX,5.2,8.2,0.0,13.4,2023,final
2.0,Natalia ESCALERA,MEX,5.2,8.15,0.1,13.25,2023,qual
8.0,Ginna ESCOBAR,COL,4.6,7.35,0.0,11.95,2023,AAfinal
7.0,Ginna ESCOBAR,COL,4.9,7.1,0.0,12.0,2023,final
6.0,Ginna ESCOBAR,COL,4.9,7.55,0.0,12.45,2023,qual
14.0,Manila ESPOSITO,ITA,5.4,8.066,0.0,13.466,2022,qual
2.0,Manila ESPOSITO,ITA,5.5,8.166,0.1,13.566,2023,final
4.0,Manila ESPOSITO,ITA,5.5,8.133,0.3,13.333,2023,qual
22.0,Manila ESPOSITO,ITA,5.4,6.7,0.3,11.8,2023,AAfinal
26.0,Manila ESPOSITO,ITA,5.4,7.266,0.1,12.566,2023,qual
3.0,Ruby EVAN,GBR,5.4,8.066,0.0,13.466,2023,final
2.0,Ruby EVAN,GBR,5.4,8.1,0.0,13.5,2023,qual
8.0,Mia EVANS,GBR,4.7,8.05,0.0,12.75,2022,final
8.0,Mia EVANS,GBR,4.8,7.9,0.1,12.6,2022,qual
33.0,Mia EVANS,WAL,4.6,6.5,0.7,10.4,2022,qual
5.0,Ruby EVANS,GBR,5.4,7.9,0.3,13.0,2023,final
7.0,Ruby EVANS,GBR,5.4,7.45,0.4,12.45,2023,qual
20.0,Amika EVERY,ARU,1.4,8.3,6.5,3.2,2023,AAfinal
32.0,Amika EVERY,ARU,4.4,5.85,0.0,10.25,2023,qual
14.0,Jordis Eichman,USA,5.2,7.4,0.1,12.5,2023,AAfinal
6.0,Georgia Mae FENTON,GBR,4.5,8.45,0.1,12.85,2022,final
6.0,Georgia Mae FENTON,GBR,4.6,8.05,0.0,12.65,2022,qual
3.0,Georgia Mae FENTON,GBR,5.1,8.4,0.0,13.5,2023,final
2.0,Georgia Mae FENTON,GBR,5.1,8.35,0.0,13.45,2023,qual
9.0,Georgia Mae FENTON,GBR,4.9,7.733,0.0,12.633,2023,AAfinal
12.0,Georgia Mae FENTON,GBR,5.1,7.8,0.0,12.9,2023,qual
13.0,Georgia Mae FENTON,ENG,4.7,7.75,0.0,12.45,2022,qual
59.0,Emma FERNANDEZ,ESP,5.0,7.7,0.1,12.6,2022,qual
23.0,Emma FERNANDEZ,ESP,4.9,7.8,0.0,12.7,2022,qual
23.0,Emma FERNANDEZ,ESP,4.7,6.766,0.0,11.466,2022,TeamFinal
9.0,Laia FONT,ESP,5.1,7.7,0.0,12.8,2023,qual
50.0,Laia FONT,ESP,5.0,7.333,0.3,12.033,2023,qual
27.0,Carla FONT ESTRUCH,ESP,4.2,7.233,0.0,11.433,2023,qual
48.0,Kirsty FOWLER,GBR,4.2,6.8,0.3,10.7,2022,qual
14.0,Claudia FRAGAPANE,ENG,5.2,7.25,0.0,12.45,2022,qual
3.0,Léa FRANCERIES,FRA,5.2,7.8,0.0,13.0,2023,qual
25.0,Alice FRANCOY,BEL,4.5,6.9,0.3,11.1,2023,qual
17.0,Aline FRIESS,FRA,5.2,7.7,0.1,12.8,2022,AAfinal
28.0,Aline FRIESS,FRA,5.3,7.8,0.0,13.1,2022,qual
17.0,Aline FRIESS,FRA,4.9,7.9,0.0,12.8,2022,qual
5.0,Bianca FRYSAK,AUT,4.4,7.966,0.0,12.36,2023,final
12.0,Bianca FRYSAK,AUT,4.4,7.866,0.0,12.266,2023,qual
13.0,Bianca FRYSAK,AUT,4.5,7.566,0.3,11.766,2023,AAfinal
21.0,Bianca FRYSAK,AUT,4.3,7.566,0.0,11.866,2023,AAfinal
61.0,Bianca FRYSAK,AUT,4.3,7.566,0.0,11.866,2023,qual
134.0,Petra FURAC,CRO,4.2,6.9,0.1,11.0,2022,qual
104.0,Petra FURAC,CRO,3.4,7.033,0.0,10.433,2022,qual
20.0,Addison Fatta,USA,4.6,7.2,0.0,11.8,2022,AAfinal
7.0,Addison Fatta,USA,5.2,7.9,0.0,13.1,2023,AAfinal
1.0,eMjae Frazier,USA,5.7,7.8,0.0,13.5,2022,AAfinal
7.0,Jennifer GADIROVA,GBR,5.3,7.966,0.1,13.166,2022,final
8.0,Jennifer GADIROVA,GBR,5.3,8.3,0.0,13.6,2022,qual
2.0,Jennifer GADIROVA,GBR,5.3,8.65,0.0,13.95,2022,final
2.0,Jennifer GADIROVA,GBR,5.3,8.4,0.0,13.7,2022,qual
5.0,Jennifer GADIROVA,GBR,5.3,8.166,0.0,13.466,2022,final
6.0,Jennifer GADIROVA,GBR,5.3,8.233,0.0,13.533,2022,qual
8.0,Jennifer GADIROVA,GBR,5.3,7.933,0.1,13.133,2022,TeamFinal
1.0,Jessica GADIROVA,GBR,6.0,8.4,0.0,14.4,2022,AAfinal
1.0,Jessica GADIROVA,GBR,6.0,8.2,0.0,14.2,2022,final
3.0,Jessica GADIROVA,GBR,5.9,8.3,0.1,14.1,2022,qual
1.0,Jessica GADIROVA,GBR,5.8,8.8,0.0,14.6,2022,final
1.0,Jessica GADIROVA,GBR,5.7,8.35,0.0,14.05,2022,qual
1.0,Jessica GADIROVA,GBR,5.7,8.3,0.0,14.0,2022,final
2.0,Jessica GADIROVA,GBR,5.6,8.166,0.0,13.766,2022,qual
5.0,Jessica GADIROVA,GBR,5.7,7.833,0.3,13.233,2022,TeamFinal
1.0,Jessica GADIROVA,GBR,5.8,8.133,0.0,13.933,2023,AAfinal
1.0,Jessica GADIROVA,GBR,5.8,8.2,0.0,14.0,2023,final
1.0,Jessica GADIROVA,GBR,5.8,8.1,0.0,13.9,2023,qual
142.0,Samira GAHRAMANOVA,AZE,3.6,5.9,0.3,9.2,2022,qual
107.0,Samira GAHRAMANOVA,AZE,4.3,5.966,0.0,10.266,2022,qual
20.0,Samira GAHRAMANOVA,AZE,4.5,7.033,0.1,11.433,2023,qual
113.0,Samira GAHRAMANOVA,AZE,4.0,6.4,0.0,10.4,2023,qual
17.0,Samira GAHRAMANOVA,AZE,4.4,6.766,0.1,11.066,2023,qual
38.0,Kaushini GAMAGE,SRI,2.7,5.15,0.0,7.85,2022,qual
60.0,Ellie GARGETT,GBR,3.1,6.95,0.0,10.05,2022,qual
