Rank,VT,UB,BB,FX,AA,year,medal,Name,Nation,round_final,round_qual
79,13.4,11.733,11.133,11.133,47.399,2018,0,329,79,FALSE,TRUE
80,12.766,11.766,11.1,11.733,47.365,2018,0,224,27,FALSE,TRUE
81,11.266,11.833,11.8,12.366,47.265,2018,0,215,20,FALSE,TRUE
82,13.066,11.833,10.5,11.8,47.199,2018,0,80,69,FALSE,TRUE
83,12.966,12.233,9.933,12,47.132,2018,0,139,15,FALSE,TRUE
84,13.2,11.133,10.9,11.8,47.033,2018,0,24,54,FALSE,TRUE
85,11.833,11.8,12.166,11.2,46.999,2018,0,223,52,FALSE,TRUE
86,12.7,11.833,9.933,12.4,46.866,2018,0,252,36,FALSE,TRUE
87,12.333,11.3,11.6,11.633,46.866,2018,0,39,61,FALSE,TRUE
88,12.966,9.966,11.866,12.033,46.831,2018,0,127,47,FALSE,TRUE
89,13.133,10.833,11.166,11.633,46.765,2018,0,3,37,FALSE,TRUE
90,13.133,11.466,10.5,11.633,46.732,2018,0,266,61,FALSE,TRUE
91,13.433,11.5,9.833,11.933,46.699,2018,0,263,24,FALSE,TRUE
92,13.066,11.85,10.8,10.866,46.582,2018,0,91,73,FALSE,TRUE
93,13.533,9.733,11.1,12.166,46.532,2018,0,332,65,FALSE,TRUE
94,12.366,12.133,9.933,11.8,46.232,2018,0,148,16,FALSE,TRUE
95,13.166,10.933,12.233,9.8,46.132,2018,0,261,63,FALSE,TRUE
96,12.566,11.233,11.3,10.966,46.065,2018,0,165,0,FALSE,TRUE
97,13.266,10.991,9.5,12.133,45.89,2018,0,86,55,FALSE,TRUE
98,12.9,9.5,11.833,11.633,45.866,2018,0,343,69,FALSE,TRUE
99,12.633,10.266,11.266,11.7,45.865,2018,0,152,73,FALSE,TRUE
100,12.6,11.666,10.1,11.466,45.832,2018,0,349,56,FALSE,TRUE
101,13.333,11.533,9.666,11.266,45.798,2018,0,228,70,FALSE,TRUE
102,12.5,11.1,10.466,11.7,45.766,2018,0,238,57,FALSE,TRUE
103,11.766,11.1,10.9,12,45.766,2018,0,60,57,FALSE,TRUE
104,12.633,10.1,10.8,12.133,45.666,2018,0,119,27,FALSE,TRUE
105,12.1,11.1,10.366,11.766,45.332,2018,0,328,37,FALSE,TRUE
106,12.333,9.366,11.133,12.4,45.232,2018,0,155,30,FALSE,TRUE
107,12.733,11.766,9.4,11.3,45.199,2018,0,348,69,FALSE,TRUE
108,12.7,11.233,9.033,12.2,45.166,2018,0,173,51,FALSE,TRUE
109,12.033,11.7,10.166,11.266,45.165,2018,0,216,65,FALSE,TRUE
110,12.666,10.266,9.966,12.2,45.098,2018,0,237,57,FALSE,TRUE
111,12.166,9.3,11.933,11.633,45.032,2018,0,5,43,FALSE,TRUE
112,13.2,10.633,8.966,12.2,44.999,2018,0,322,47,FALSE,TRUE
113,12.825,11.408,9.833,10.816,44.882,2018,0,295,41,FALSE,TRUE
114,12.733,10.233,11.433,10.433,44.832,2018,0,38,47,FALSE,TRUE
115,12.666,10.733,9.066,12.266,44.731,2018,0,327,51,FALSE,TRUE
116,12.1,9.8,11.566,11.2,44.666,2018,0,220,40,FALSE,TRUE
117,13.066,8.066,11.433,12.066,44.631,2018,0,4,1,FALSE,TRUE
118,13.4,9.4,10.333,11.4,44.533,2018,0,78,52,FALSE,TRUE
119,12.366,9.733,11.233,11.066,44.398,2018,0,82,80,FALSE,TRUE
120,13.166,8.233,11.133,11.7,44.232,2018,0,159,52,FALSE,TRUE
121,12.133,11.3,10.5,10.1,44.033,2018,0,9,66,FALSE,TRUE
122,12.5,11.133,8.5,11.866,43.999,2018,0,256,21,FALSE,TRUE
123,12.966,8.266,10.766,11.966,43.964,2018,0,27,31,FALSE,TRUE
124,13.033,9.7,9.233,11.966,43.932,2018,0,123,30,FALSE,TRUE
125,11.866,10.7,9.933,11.433,43.932,2018,0,244,7,FALSE,TRUE
126,12.933,10.266,9.3,11.3,43.799,2018,0,45,29,FALSE,TRUE
127,11.7,10.9,9.866,11.166,43.632,2018,0,34,44,FALSE,TRUE
128,12.566,10.566,9.033,11.4,43.565,2018,0,52,16,FALSE,TRUE
129,12.6,10.566,8.333,11.833,43.332,2018,0,310,27,FALSE,TRUE
130,12.433,10.366,8.8,11.733,43.332,2018,0,254,38,FALSE,TRUE
131,12.133,9.133,10.9,11,43.166,2018,0,32,19,FALSE,TRUE
132,11.766,10.366,10.066,10.666,42.864,2018,0,315,37,FALSE,TRUE
133,11.8,11.266,8.1,11.533,42.699,2018,0,14,7,FALSE,TRUE
134,14.6,14.1,0,13.8,42.5,2018,0,144,76,FALSE,TRUE
135,11.933,8.5,10.3,11.533,42.266,2018,0,239,16,FALSE,TRUE
136,12.466,8.533,9.733,11.4,42.132,2018,0,115,21,FALSE,TRUE
137,12.1,9.4,9.466,11.166,42.132,2018,0,288,12,FALSE,TRUE
138,14.566,14.333,12.633,0,41.532,2018,1,289,9,FALSE,TRUE
139,12.433,7.7,9.833,11.566,41.532,2018,0,353,43,FALSE,TRUE
140,12.633,7.766,9.566,11.466,41.431,2018,0,167,66,FALSE,TRUE
141,12.1,8.4,10.866,9.9,41.266,2018,0,36,66,FALSE,TRUE
142,0,14.433,13.233,13.2,40.866,2018,0,20,62,FALSE,TRUE
143,13.5,14.066,0,13.133,40.699,2018,0,184,80,FALSE,TRUE
144,13.433,14.058,13.05,0,40.541,2018,0,317,80,FALSE,TRUE
145,13.666,0,13.6,13.133,40.399,2018,0,243,28,FALSE,TRUE
146,12.066,8.666,8.533,11.066,40.331,2018,0,298,77,FALSE,TRUE
147,14.7,0,12.833,12.733,40.266,2018,0,309,11,FALSE,TRUE
148,13.2,8.666,8.766,9.4,40.032,2018,0,95,8,FALSE,TRUE
149,14.3,0,12.3,12.733,39.333,2018,0,16,80,FALSE,TRUE
150,13.833,0,12.233,13.233,39.299,2018,0,247,39,FALSE,TRUE
151,14,0,13.133,12,39.133,2018,0,307,80,FALSE,TRUE
152,0,12.833,12.766,13.433,39.032,2018,0,331,49,FALSE,TRUE
153,13.3,13.566,11.8,0,38.666,2018,0,169,80,FALSE,TRUE
154,12.566,8.566,7.466,10.033,38.631,2018,0,183,40,FALSE,TRUE
155,9.6,8.566,10.533,9.866,38.565,2018,0,77,0,FALSE,TRUE
156,13.333,0,12.666,12.4,38.399,2018,0,269,60,FALSE,TRUE
157,0,13.166,12.066,13.033,38.265,2018,0,212,9,FALSE,TRUE
158,0,13.4,13.033,11.733,38.166,2018,0,198,80,FALSE,TRUE
159,13.333,11.8,12.7,0,37.833,2018,0,71,60,FALSE,TRUE
160,13.566,0,11.266,12.833,37.665,2018,0,221,6,FALSE,TRUE
161,0,12.7,12.633,12.166,37.499,2018,0,199,64,FALSE,TRUE
162,0,13,11.866,12.533,37.399,2018,0,296,6,FALSE,TRUE
163,13.133,12.133,0,12.066,37.332,2018,0,50,30,FALSE,TRUE
164,13.633,11.983,11.666,0,37.282,2018,0,325,65,FALSE,TRUE
165,13.366,13.3,10.5,0,37.166,2018,0,270,48,FALSE,TRUE
166,12.466,12.2,12.5,0,37.166,2018,0,318,68,FALSE,TRUE
167,13.366,0,11.666,12.033,37.065,2018,0,251,1,FALSE,TRUE
168,13.4,0,11.233,12.066,36.699,2018,0,196,26,FALSE,TRUE
169,0,12.266,12.2,12.2,36.666,2018,0,74,68,FALSE,TRUE
170,13.133,0,11.5,11.333,35.966,2018,0,350,80,FALSE,TRUE
171,12.533,0,11.466,11.866,35.865,2018,0,19,4,FALSE,TRUE
172,0,12.2,12.666,10.833,35.699,2018,0,188,80,FALSE,TRUE
173,12.5,11.266,0,11.9,35.666,2018,0,62,4,FALSE,TRUE
174,12.666,0,10.9,12,35.566,2018,0,122,30,FALSE,TRUE
175,12.533,0,11.266,11.666,35.465,2018,0,297,20,FALSE,TRUE
176,13.766,0,9.333,12.133,35.232,2018,0,302,27,FALSE,TRUE
177,13.266,0,10.766,10.6,34.632,2018,0,145,73,FALSE,TRUE
178,12.866,10.9,10.566,0,34.332,2018,0,250,15,FALSE,TRUE
179,0,11.266,10.8,11.933,33.999,2018,0,281,48,FALSE,TRUE
180,12.133,0,10.9,10.833,33.866,2018,0,113,69,FALSE,TRUE
181,12.6,9.9,11.333,0,33.833,2018,0,313,21,FALSE,TRUE
182,0,9.733,11.7,11.6,33.033,2018,0,1,65,FALSE,TRUE
183,0,10.966,11.666,10.366,32.998,2018,0,81,4,FALSE,TRUE
184,0,9.033,10.966,11.066,31.065,2018,0,345,21,FALSE,TRUE
185,14.566,0,0,13.6,28.166,2018,0,206,62,FALSE,TRUE
186,0,14.333,13.733,0,28.066,2018,0,210,14,FALSE,TRUE
187,0,13.833,13.966,0,27.799,2018,0,26,11,FALSE,TRUE
188,10.133,0,8.8,8.633,27.566,2018,0,164,59,FALSE,TRUE
189,0,13.333,14.033,0,27.366,2018,0,303,49,FALSE,TRUE
190,14.2,0,0,12.9,27.1,2018,0,316,11,FALSE,TRUE
191,13.533,0,0,13.133,26.666,2018,0,326,9,FALSE,TRUE
192,14.3,0,12.266,0,26.566,2018,0,276,77,FALSE,TRUE
193,14.3,0,0,12.133,26.433,2018,0,209,14,FALSE,TRUE
194,13.5,0,0,12.9,26.4,2018,0,13,3,FALSE,TRUE
195,13.1,0,0,12.766,25.866,2018,0,290,80,FALSE,TRUE
196,0,12.366,13.4,0,25.766,2018,0,43,62,FALSE,TRUE
197,0,12.8,12.933,0,25.733,2018,0,341,30,FALSE,TRUE
198,13.4,0,0,12.033,25.433,2018,0,305,33,FALSE,TRUE
199,13.4,0,0,12,25.4,2018,0,44,68,FALSE,TRUE
200,13.4,0,0,11.966,25.366,2018,0,346,48,FALSE,TRUE
201,13.366,0,0,11.766,25.132,2018,0,190,49,FALSE,TRUE
202,13.533,11.466,0,0,24.999,2018,0,308,6,FALSE,TRUE
203,12.666,0,11.8,0,24.466,2018,0,304,51,FALSE,TRUE
204,0,12.333,11.933,0,24.266,2018,0,117,3,FALSE,TRUE
205,0,12.266,12,0,24.266,2018,0,273,33,FALSE,TRUE
206,0,11.7,0,12.533,24.233,2018,0,233,60,FALSE,TRUE
207,12.566,0,0,11.5,24.066,2018,0,40,15,FALSE,TRUE
208,0,11.9,11.366,0,23.266,2018,0,339,15,FALSE,TRUE
209,0,10.466,12.5,0,22.966,2018,0,104,4,FALSE,TRUE
210,0,0,11.1,11.666,22.766,2018,0,23,17,FALSE,TRUE
211,0,0,10.7,11.866,22.566,2018,0,231,37,FALSE,TRUE
212,12.6,9.066,0,0,21.666,2018,0,99,37,FALSE,TRUE
213,0,10.533,0,10.9,21.433,2018,0,101,51,FALSE,TRUE
214,0,0,14.466,0,14.466,2018,0,175,76,FALSE,TRUE
215,0,14.433,0,0,14.433,2018,0,170,70,FALSE,TRUE
216,0,14.4,0,0,14.4,2018,0,61,80,FALSE,TRUE
217,0,13.866,0,0,13.866,2018,0,174,28,FALSE,TRUE
218,13.3,0,0,0,13.3,2018,0,146,64,FALSE,TRUE
219,13.233,0,0,0,13.233,2018,0,337,32,FALSE,TRUE
220,13.233,0,0,0,13.233,2018,0,275,38,FALSE,TRUE
221,0,12.8,0,0,12.8,2018,0,249,39,FALSE,TRUE
222,0,12.333,0,0,12.333,2018,0,280,26,FALSE,TRUE
223,0,12.2,0,0,12.2,2018,0,293,27,FALSE,TRUE
224,0,11.108,0,0,11.108,2018,0,68,1,FALSE,TRUE
225,0,11.1,0,0,11.1,2018,0,126,80,FALSE,TRUE
226,0,11.066,0,0,11.066,2018,0,107,20,FALSE,TRUE
227,0,10.666,0,0,10.666,2018,0,268,32,FALSE,TRUE
228,10.525,0,0,0,10.525,2018,0,49,71,FALSE,TRUE
229,0,0,9.233,0,9.233,2018,0,17,44,FALSE,TRUE
1,14.166,12.466,13.533,13.266,53.431,2018,0,356,14,TRUE,FALSE
2,13.566,14.8,12,12.966,53.332,2018,0,106,80,TRUE,FALSE
3,14.666,12.9,11.733,13.633,52.932,2018,0,171,76,TRUE,FALSE
4,14.5,13.433,11.766,13,52.699,2018,1,41,62,TRUE,FALSE
5,14.433,13.333,12.4,12.3,52.466,2018,0,307,80,TRUE,FALSE
6,14.166,12.5,12.5,12.7,51.866,2018,0,331,49,TRUE,FALSE
7,13.4,12.7,11.2,13.1,50.4,2018,0,262,42,TRUE,FALSE
8,14.366,11.233,10.366,12.3,48.265,2018,0,217,80,TRUE,FALSE
1,14.433,13.866,12.666,13.5,54.465,2018,1,41,62,TRUE,FALSE
2,14.166,14.2,12.133,13.433,53.932,2018,0,232,76,TRUE,FALSE
3,14.166,13.6,12.6,12.733,53.099,2018,0,16,80,TRUE,FALSE
4,13.8,12.866,12.4,12.3,51.366,2018,0,162,11,TRUE,FALSE
5,13.633,13.9,10.6,13,51.133,2018,0,150,42,TRUE,FALSE
6,13.333,13.366,12.133,12.2,51.032,2018,0,342,49,TRUE,FALSE
7,13.366,11.8,11.166,12.5,48.832,2018,0,207,14,TRUE,FALSE
8,14.466,10.966,10.366,12.333,48.131,2018,0,307,80,TRUE,FALSE
1,14.566,13.7,13.7,14.566,56.532,2018,0,222,42,TRUE,FALSE
2,14.033,14,13.1,13.4,54.533,2018,0,336,76,TRUE,FALSE
3,14.066,14.033,13.366,12.533,53.998,2018,0,260,28,TRUE,FALSE
4,13.866,13.7,13.066,13.1,53.732,2018,0,43,62,TRUE,FALSE
5,13.5,14.633,11.4,12.766,52.299,2018,0,106,80,TRUE,FALSE
6,14,13.5,11.233,13.2,51.933,2018,0,6,42,TRUE,FALSE
7,13.433,10.833,11.566,12.633,48.465,2018,0,347,11,TRUE,FALSE
1,15.066,14.733,14.8,14.833,59.432,2019,0,312,76,FALSE,TRUE
2,14.566,15,13.4,14.2,57.166,2019,1,319,76,FALSE,TRUE
3,14.6,14.6,13.616,13.966,56.782,2019,0,255,28,FALSE,TRUE
4,14.433,14.7,13.366,14.1,56.599,2019,1,41,62,FALSE,TRUE
5,14.566,14.641,12.933,13.766,55.906,2019,0,144,76,FALSE,TRUE
6,13.566,14.766,14.3,13.233,55.865,2019,0,210,14,FALSE,TRUE
7,14.466,14.166,14.5,12.6,55.732,2019,0,203,14,FALSE,TRUE
8,13.5,15.141,13.2,13.6,55.441,2019,0,271,6,FALSE,TRUE
9,14.2,14.266,13.533,13.2,55.199,2019,0,109,11,FALSE,TRUE
10,14.6,14.8,12.833,12.766,54.999,2019,0,106,80,FALSE,TRUE
11,14.566,12.833,13.7,13.833,54.932,2019,0,131,9,FALSE,TRUE
12,14.733,13.366,12.9,13.933,54.932,2019,0,206,62,FALSE,TRUE
13,14.666,14.3,12.533,12.9,54.399,2019,0,140,39,FALSE,TRUE
14,14.366,13.766,13.6,12.4,54.132,2019,0,307,80,FALSE,TRUE
15,14.3,13.966,13.433,12.433,54.132,2019,0,16,80,FALSE,TRUE
16,14.633,13.966,12.966,12.566,54.131,2019,0,55,42,FALSE,TRUE
17,15,13.566,12.7,12.733,53.999,2019,0,18,28,FALSE,TRUE
18,13.4,14.7,13.033,12.666,53.799,2019,0,31,62,FALSE,TRUE
19,15.066,12.4,12.766,13.5,53.732,2019,0,141,68,FALSE,TRUE
20,14.366,14.133,12.633,12.4,53.532,2019,0,105,39,FALSE,TRUE
21,14.266,14.633,11.733,12.866,53.498,2019,0,324,14,FALSE,TRUE
22,13.866,13.566,12.866,13.033,53.331,2019,0,136,3,FALSE,TRUE
23,14.033,13.733,12.966,12.5,53.232,2019,0,150,42,FALSE,TRUE
24,13.933,13.466,12.466,13.366,53.231,2019,0,264,49,FALSE,TRUE
25,13.9,13.333,12.133,13.566,52.932,2019,0,65,11,FALSE,TRUE
26,13.5,13.733,12.966,12.7,52.899,2019,0,94,74,FALSE,TRUE
27,13.533,13.866,12.6,12.8,52.799,2019,0,83,26,FALSE,TRUE
28,13.333,14.133,12.433,12.6,52.499,2019,0,200,64,FALSE,TRUE
29,14.5,14,11.833,12.1,52.433,2019,0,54,39,FALSE,TRUE
30,14.433,14.2,11.566,12.233,52.432,2019,0,357,33,FALSE,TRUE
31,14.2,13.3,12.366,12.566,52.432,2019,0,248,1,FALSE,TRUE
32,13.666,13.833,11.5,13.2,52.199,2019,0,28,26,FALSE,TRUE
33,14.933,12.366,11.833,13.066,52.198,2019,0,354,64,FALSE,TRUE
34,14.4,11.466,13.333,12.966,52.165,2019,0,124,49,FALSE,TRUE
35,13.866,13.1,11.966,13.233,52.165,2019,0,33,74,FALSE,TRUE
36,14.4,12.866,12,12.766,52.032,2019,0,0,1,FALSE,TRUE
37,13.533,14.333,11.566,12.5,51.932,2019,0,137,80,FALSE,TRUE
38,14.466,12.666,12.366,12.433,51.931,2019,0,110,80,FALSE,TRUE
39,13.5,13.5,12.3,12.5,51.8,2019,0,347,11,FALSE,TRUE
40,14.9,12.666,11.9,12.3,51.766,2019,0,12,48,FALSE,TRUE
41,13.6,12.966,12.466,12.466,51.498,2019,0,151,68,FALSE,TRUE
42,13.766,13.991,9.9,13.8,51.457,2019,0,294,26,FALSE,TRUE
43,13.6,13.133,11.733,12.766,51.232,2019,0,221,6,FALSE,TRUE
44,13.366,13.966,11.266,12.6,51.198,2019,0,64,33,FALSE,TRUE
45,13.733,13.9,10.366,13.033,51.032,2019,0,204,49,FALSE,TRUE
46,13.633,12.733,12.833,11.833,51.032,2019,0,326,9,FALSE,TRUE
47,13.5,12.35,12.566,12.566,50.982,2019,0,88,40,FALSE,TRUE
48,13.533,12.8,13.1,11.466,50.899,2019,0,117,3,FALSE,TRUE
49,13.566,12.966,11.3,13.066,50.898,2019,0,42,74,FALSE,TRUE
50,14.2,12.933,11.1,12.633,50.866,2019,0,187,80,FALSE,TRUE
51,13.533,12.233,12.733,12.366,50.766,2019,0,37,20,FALSE,TRUE
52,13.766,13.233,11.533,12.166,50.698,2019,0,114,80,FALSE,TRUE
53,14.366,11.8,11.733,12.733,50.632,2019,0,229,18,FALSE,TRUE
54,13.3,12.233,12.733,12.366,50.632,2019,0,233,60,FALSE,TRUE
55,13.333,12.866,11.933,12.4,50.532,2019,0,104,4,FALSE,TRUE
56,13.833,12.666,11.733,12.066,50.298,2019,0,154,60,FALSE,TRUE
57,12.9,14.066,10.5,12.6,50.066,2019,0,35,7,FALSE,TRUE
58,14.133,12.666,10.933,12.266,49.998,2019,0,30,48,FALSE,TRUE
59,13.433,12.833,11.066,12.566,49.898,2019,0,127,47,FALSE,TRUE
60,13.466,12.366,11.466,12.533,49.831,2019,0,226,24,FALSE,TRUE
61,13.433,12.633,11.733,12,49.799,2019,0,267,73,FALSE,TRUE
62,13.533,12.666,11.466,12.1,49.765,2019,0,4,1,FALSE,TRUE
63,13.5,13.1,11.366,11.766,49.732,2019,0,58,69,FALSE,TRUE
64,13.433,12.666,11.733,11.9,49.732,2019,0,166,4,FALSE,TRUE
65,13.533,12.233,11.966,11.966,49.698,2019,0,130,57,FALSE,TRUE
66,13.1,13.033,11,12.4,49.533,2019,0,22,80,FALSE,TRUE
67,13.433,10.6,12.4,13.033,49.466,2019,0,23,17,FALSE,TRUE
68,13.233,13.1,11.3,11.833,49.466,2019,0,66,61,FALSE,TRUE
69,13.566,11.633,11.366,12.866,49.431,2019,0,100,33,FALSE,TRUE
70,13.133,12.3,12.1,11.866,49.399,2019,0,266,61,FALSE,TRUE
71,13.366,11.466,12.6,11.966,49.398,2019,0,71,60,FALSE,TRUE
72,14.033,12.266,10.533,12.5,49.332,2019,0,186,80,FALSE,TRUE
73,12.5,11.933,12.333,12.566,49.332,2019,0,120,64,FALSE,TRUE
74,13.633,12.333,11.433,11.8,49.199,2019,0,25,48,FALSE,TRUE
75,13.433,12.7,11.033,11.933,49.099,2019,0,170,70,FALSE,TRUE
76,13.333,10.8,11.933,13,49.066,2019,0,145,73,FALSE,TRUE
77,14.033,12.2,11.833,11,49.066,2019,0,92,60,FALSE,TRUE
78,12.933,12.633,11.933,11.533,49.032,2019,0,318,68,FALSE,TRUE
79,13.666,12.633,10.233,12.3,48.832,2019,0,134,56,FALSE,TRUE
79,13.633,11.3,11.233,12.633,48.799,2019,0,202,9,FALSE,TRUE
80,13.533,12.133,11.4,11.633,48.699,2019,0,129,24,FALSE,TRUE
81,13.4,12.133,10.841,12.233,48.607,2019,0,311,13,FALSE,TRUE
82,13.433,11.333,11.5,12.333,48.599,2019,0,205,38,FALSE,TRUE
83,13.4,11.966,11.5,11.733,48.599,2019,0,172,51,FALSE,TRUE
84,13.433,11.333,11.5,12.3,48.566,2019,0,51,54,FALSE,TRUE
85,12.933,12.1,12.133,11.333,48.499,2019,0,98,20,FALSE,TRUE
86,13,11.533,12.1,11.866,48.499,2019,0,59,57,FALSE,TRUE
87,14.833,11.2,11.1,11.3,48.433,2019,0,276,77,FALSE,TRUE
88,12.633,12.433,11.466,11.866,48.398,2019,0,330,80,FALSE,TRUE
89,11.666,12.066,12.333,12.333,48.398,2019,0,168,70,FALSE,TRUE
90,13.4,12.633,11.266,11,48.299,2019,0,322,47,FALSE,TRUE
91,13.466,11.966,10.5,12.333,48.265,2019,0,338,73,FALSE,TRUE
92,13.5,11.833,11.433,11.433,48.199,2019,0,128,24,FALSE,TRUE
93,14.3,12.2,10.3,11.366,48.166,2019,0,242,5,FALSE,TRUE
94,13.433,11.766,11.633,11.266,48.098,2019,0,323,63,FALSE,TRUE
95,13.4,11.3,11.266,12.1,48.066,2019,0,253,36,FALSE,TRUE
