Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual
7.0,4.9,7.7,0.0,12.6,2013,0,132,4,False,False,True
8.0,5.2,7.6,-0.3,12.5,2013,0,49,22,False,False,True
9.0,4.8,7.65,-0.1,12.35,2013,0,130,14,False,False,True
10.0,5.1,7.25,0.0,12.35,2013,0,124,54,False,False,True
11.0,5.4,7.0,-0.3,12.1,2013,0,104,49,False,False,True
12.0,4.7,7.35,-0.1,11.95,2013,0,85,43,False,False,True
13.0,5.0,7.05,-0.1,11.95,2013,0,217,59,False,False,True
14.0,4.6,7.3,0.0,11.9,2013,0,180,18,False,False,True
15.0,4.4,7.45,0.0,11.85,2013,0,43,53,False,False,True
16.0,4.4,7.45,0.0,11.85,2013,0,77,59,False,False,True
17.0,4.8,7.0,-0.2,11.6,2013,0,88,60,False,False,True
18.0,4.5,7.35,-0.4,11.45,2013,0,237,52,False,False,True
19.0,4.8,6.65,-0.3,11.15,2013,0,34,31,False,False,True
20.0,4.6,6.55,0.0,11.15,2013,0,97,26,False,False,True
21.0,5.2,6.05,-0.1,11.15,2013,0,221,45,False,False,True
22.0,5.2,5.85,0.0,11.05,2013,0,233,17,False,False,True
23.0,5.0,6.0,-0.1,10.9,2013,0,205,16,False,False,True
24.0,4.8,5.75,0.0,10.55,2013,0,28,36,False,False,True
25.0,5.0,5.6,-0.4,10.2,2013,0,178,16,False,False,True
26.0,4.7,6.0,-0.7,10.0,2013,0,224,18,False,False,True
1.0,6.5,8.5,0.0,15.0,2013,1,245,58,False,True,False
2.0,6.2,8.433,0.0,14.633,2013,0,267,29,False,True,False
3.0,6.1,8.5,0.0,14.6,2013,0,159,47,False,True,False
4.0,6.2,8.266,0.0,14.466,2013,0,179,30,False,True,False
5.0,5.7,8.633,0.0,14.333,2013,0,155,58,False,True,False
5.0,6.1,8.233,0.0,14.333,2013,0,117,52,False,True,False
7.0,6.1,7.633,0.0,13.733,2013,0,236,47,False,True,False
8.0,5.7,7.966,0.1,13.566,2013,0,91,10,False,True,False
1.0,6.4,8.933,0.0,15.333,2014,1,245,58,False,True,False
2.0,6.3,8.5,0.0,14.8,2014,0,159,47,False,True,False
3.0,6.2,8.533,0.0,14.733,2014,0,12,49,False,True,False
4.0,6.5,8.2,0.0,14.7,2014,0,202,58,False,True,False
5.0,6.3,8.366,0.0,14.666,2014,0,267,29,False,True,False
6.0,5.8,8.433,0.0,14.233,2014,0,160,3,False,True,False
7.0,5.7,8.2,0.0,13.9,2014,0,102,29,False,True,False
8.0,6.0,7.4,0.3,13.1,2014,0,64,20,False,True,False
1.0,6.8,9.0,0.0,15.8,2015,1,245,58,False,True,False
2.0,6.4,8.7,0.0,15.1,2015,0,154,49,False,True,False
3.0,6.2,8.8,0.0,15.0,2015,0,177,58,False,True,False
4.0,6.4,8.533,0.0,14.933,2015,0,243,11,False,True,False
4.0,6.3,8.633,0.0,14.933,2015,0,234,30,False,True,False
6.0,6.0,8.733,0.0,14.733,2015,0,92,20,False,True,False
7.0,6.2,8.366,-0.1,14.466,2015,0,64,20,False,True,False
8.0,5.4,8.7,0.0,14.1,2015,0,165,39,False,True,False
1.0,5.7,8.75,0.0,14.45,2015,1,16,20,False,True,False
2.0,6.1,8.45,-0.3,14.25,2015,0,64,20,False,True,False
3.0,5.4,8.8,0.0,14.2,2015,0,170,20,False,True,False
4.0,5.0,8.55,0.0,13.55,2015,0,29,20,False,True,False
0.0,5.6,7.95,0.0,13.55,2015,0,145,20,False,True,False
6.0,5.2,8.2,0.0,13.4,2015,0,229,20,False,True,False
7.0,4.6,8.35,0.0,12.95,2015,0,129,20,False,True,False
8.0,5.0,8.0,-0.1,12.9,2015,0,231,20,False,True,False
1.0,6.8,9.25,0.0,16.05,2015,1,245,58,False,True,False
2.0,6.0,8.9,0.0,14.9,2015,0,102,29,False,True,False
3.0,6.3,8.85,-0.3,14.85,2015,1,14,58,False,True,False
4.0,5.7,8.65,0.0,14.25,2015,0,91,10,False,True,False
5.0,5.6,8.55,0.0,14.15,2015,0,126,10,False,True,False
6.0,5.7,8.2,0.0,13.9,2015,0,193,29,False,True,False
7.0,5.1,8.2,0.0,13.2,2015,0,37,19,False,True,False
8.0,5.1,7.95,0.0,12.75,2015,0,50,19,False,True,False
1.0,6.2,8.9,0.0,15.1,2016,1,14,58,False,True,False
2.0,5.9,8.925,0.0,14.825,2016,0,47,58,False,True,False
3.0,6.1,8.3,0.0,14.4,2016,0,242,10,False,True,False
4.0,5.7,8.25,0.0,13.95,2016,0,204,30,False,True,False
5.0,5.3,8.525,0.0,13.825,2016,0,116,3,False,True,False
6.0,5.6,8.15,0.0,13.75,2016,0,195,10,False,True,False
7.0,5.1,8.1,0.0,13.2,2016,0,95,3,False,True,False
8.0,5.3,7.825,-0.1,13.025,2016,0,66,41,False,True,False
1.0,6.4,8.35,0.0,14.75,2014,0,202,58,False,True,False
2.0,5.7,8.775,0.0,14.475,2014,0,136,60,False,True,False
3.0,6.2,8.2,0.0,14.4,2014,0,273,13,False,True,False
4.0,5.3,8.7,0.0,14.0,2014,0,68,8,False,True,False
5.0,5.3,7.95,0.0,13.25,2014,0,127,8,False,True,False
6.0,5.6,7.3,0.0,12.9,2014,0,175,58,False,True,False
7.0,5.0,6.55,0.0,11.55,2014,0,15,37,False,True,False
8.0,5.2,5.5,0.0,10.7,2014,0,196,1,False,True,False
1.0,5.8,8.4,0.0,14.2,2015,0,228,49,False,True,False
2.0,5.6,8.533,0.0,14.133,2015,0,69,49,False,True,False
3.0,5.8,8.166,0.0,13.966,2015,0,145,20,False,True,False
4.0,5.4,8.133,0.0,13.533,2015,0,41,30,False,True,False
5.0,5.4,8.033,0.0,13.433,2015,0,208,30,False,True,False
6.0,5.1,8.3,0.0,13.4,2015,0,106,36,False,True,False
7.0,5.1,8.166,0.0,13.266,2015,0,77,59,False,True,False
8.0,5.4,7.266,0.0,12.666,2015,0,107,43,False,True,False
1.0,5.9,8.2,0.0,14.1,2015,0,228,49,False,False,True
2.0,5.8,8.1,0.0,13.9,2015,0,145,20,False,False,True
3.0,5.6,8.3,-0.1,13.8,2015,0,69,49,False,False,True
4.0,5.5,8.2,0.0,13.7,2015,0,41,30,False,False,True
5.0,5.3,8.25,0.0,13.55,2015,0,106,36,False,False,True
6.0,5.5,8.05,0.0,13.55,2015,0,107,43,False,False,True
7.0,5.4,8.1,0.0,13.5,2015,0,208,30,False,False,True
8.0,5.5,8.0,0.0,13.5,2015,0,13,49,False,False,True
9.0,5.2,8.15,0.0,13.35,2015,0,271,30,False,False,True
10.0,5.2,8.05,0.0,13.25,2015,0,220,32,False,False,True
11.0,5.2,8.0,0.0,13.2,2015,0,77,59,False,False,True
12.0,4.6,8.4,0.0,13.0,2015,0,185,49,False,False,True
13.0,5.1,7.9,0.0,13.0,2015,0,121,32,False,False,True
14.0,4.9,8.0,0.0,12.9,2015,0,63,48,False,False,True
15.0,4.9,8.05,-0.1,12.85,2015,0,235,30,False,False,True
16.0,4.9,7.9,0.0,12.8,2015,0,103,32,False,False,True
17.0,4.9,7.8,0.0,12.7,2015,0,219,32,False,False,True
18.0,4.6,8.05,0.0,12.65,2015,0,251,36,False,False,True
19.0,4.9,7.9,-0.4,12.4,2015,0,99,3,False,False,True
20.0,4.9,7.8,-0.3,12.4,2015,0,259,36,False,False,True
21.0,4.9,7.375,0.0,12.275,2015,0,188,37,False,False,True
22.0,4.4,7.7,0.0,12.1,2015,0,246,4,False,False,True
23.0,4.7,7.55,-0.3,11.95,2015,0,215,36,False,False,True
24.0,4.6,7.45,-0.2,11.85,2015,0,247,40,False,False,True
25.0,4.3,7.25,0.0,11.55,2015,0,257,40,False,False,True
26.0,3.8,7.5,0.0,11.3,2015,0,53,51,False,False,True
27.0,3.9,7.4,-0.3,11.0,2015,0,90,39,False,False,True
28.0,1.1,8.25,-6.0,3.35,2015,0,138,41,False,False,True
1.0,6.3,8.433,0.0,14.733,2015,0,154,49,False,True,False
2.0,6.3,8.333,0.0,14.633,2015,0,64,20,False,True,False
3.0,6.0,8.466,0.0,14.466,2015,0,117,52,False,True,False
4.0,6.0,8.3,0.0,14.3,2015,0,102,29,False,True,False
5.0,6.0,8.233,0.0,14.233,2015,0,192,42,False,True,False
6.0,5.9,8.1,0.0,14.0,2015,1,16,20,False,True,False
7.0,5.8,8.233,-0.1,13.933,2015,0,184,49,False,True,False
8.0,5.5,8.366,0.0,13.866,2015,0,26,47,False,True,False
1.0,6.0,8.333,0.0,14.333,2015,0,117,52,False,False,True
2.0,6.1,8.166,0.0,14.266,2015,0,154,49,False,False,True
3.0,5.9,8.3,0.0,14.2,2015,1,16,20,False,False,True
4.0,5.9,8.233,0.0,14.133,2015,0,192,42,False,False,True
5.0,5.9,8.166,0.0,14.066,2015,0,184,49,False,False,True
6.0,6.0,8.3,-0.3,14.0,2015,0,102,29,False,False,True
7.0,6.1,8.166,-0.3,13.966,2015,0,64,20,False,False,True
8.0,5.4,8.4,0.0,13.8,2015,0,26,47,False,False,True
9.0,5.6,8.3,-0.1,13.8,2015,0,105,39,False,False,True
10.0,5.2,8.466,0.0,13.666,2015,0,61,19,False,False,True
11.0,5.5,8.166,0.0,13.666,2015,0,162,47,False,False,True
12.0,5.6,7.966,0.0,13.566,2015,0,107,43,False,False,True
13.0,5.7,7.825,0.0,13.525,2015,0,267,29,False,False,True
14.0,5.2,8.266,0.0,13.466,2015,0,137,54,False,False,True
15.0,5.3,8.133,0.0,13.433,2015,0,226,22,False,False,True
16.0,5.6,8.1,-0.3,13.4,2015,0,92,20,False,False,True
17.0,5.3,8.1,0.0,13.4,2015,0,52,29,False,False,True
18.0,5.0,8.383,0.0,13.383,2015,0,50,19,False,False,True
19.0,5.5,7.8,0.0,13.3,2015,0,19,17,False,False,True
20.0,5.7,7.533,0.0,13.233,2015,0,193,29,False,False,True
21.0,5.3,8.2,-0.4,13.1,2015,0,84,39,False,False,True
22.0,5.0,8.2,-0.1,13.1,2015,0,171,19,False,False,True
23.0,5.5,7.566,0.0,13.066,2015,0,74,47,False,False,True
24.0,5.1,7.866,0.0,12.966,2015,0,270,14,False,False,True
25.0,5.3,7.733,-0.1,12.933,2015,0,30,57,False,False,True
26.0,5.1,7.766,0.0,12.866,2015,0,134,52,False,False,True
27.0,5.2,7.733,-0.1,12.833,2015,0,141,42,False,False,True
28.0,5.4,7.8,-0.4,12.8,2015,0,153,57,False,False,True
29.0,4.7,8.033,0.0,12.733,2015,0,123,2,False,False,True
30.0,4.9,7.833,0.0,12.733,2015,0,93,26,False,False,True
31.0,5.0,7.733,0.0,12.733,2015,0,277,43,False,False,True
32.0,4.8,7.9,0.0,12.7,2015,0,252,26,False,False,True
33.0,4.8,7.866,0.0,12.666,2015,0,5,17,False,False,True
34.0,4.8,7.833,0.0,12.633,2015,0,114,28,False,False,True
35.0,4.7,7.866,0.0,12.566,2015,0,261,28,False,False,True
