Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
104,luciana alvarado,CRC,13.466,11.933,11.266,11.1,47.765,qual,2019
105,lucie jirikova,CZE,13,11.9,10.9,11.933,47.733,qual,2019
106,tjasa kysselef,SLO,13.8,10.333,11.266,12.3,47.699,qual,2019
107,tracie ang,MAS,12.533,12.233,10,12.633,47.399,qual,2019
108,chiara bunce,SVK,13.266,10.9,11.266,11.8,47.232,qual,2019
109,elina vihrova,LAT,13.333,12.1,9.6,12.166,47.199,qual,2019
110,irina sazonova,ISL,13.366,12.2,9.666,11.966,47.198,qual,2019
111,franchesca santi,CHI,14.3,10.666,10.975,11.166,47.107,qual,2019
112,maria tronrud,NOR,12.733,11.9,11.033,11.433,47.099,qual,2019
113,marlies männersdorfer,AUT,13.333,10.6,11.333,11.766,47.032,qual,2019
114,milka gehani,SRI,13.4,10.75,10.733,12.133,47.016,qual,2019
115,karelys diaz,PUR,13.5,11.4,10.066,12,46.966,qual,2019
116,heika del sol salas,CRC,12.7,12.266,10.833,11.166,46.965,qual,2019
117,elvira katsali,GRE,12.1,10.266,12.266,12.2,46.832,qual,2019
118,ioanna xoulogi,GRE,12.5,11.066,10.566,12.666,46.798,qual,2019
119,maija leinonen,FIN,12.566,11.866,11.1,11.266,46.798,qual,2019
120,nitta nieminen,FIN,13.066,11.7,11.633,10.3,46.699,qual,2019
121,sandra collantes,PER,13.566,11.166,9.3,12.566,46.598,qual,2019
122,ana palacios,GUA,14.033,11.333,10.066,11.166,46.598,qual,2019
123,lai chin,none,13.166,9.7,12.233,11.466,46.565,qual,2019
124,kate molloy,IRL,12.533,10.833,11.133,11.833,46.332,qual,2019
125,julie søderstrøm,NOR,13.133,10.733,10.433,11.9,46.199,qual,2019
126,fabiola diaz,PER,13.233,10.033,12.3,10.5,46.066,qual,2019
127,pranati nayak,IND,14.2,10.566,9.933,11.133,45.832,qual,2019
128,nancy taman,EGY,13.9,11.433,10.166,10.3,45.799,qual,2019
129,fang ko-ching,none,13.4,11.766,8.666,11.933,45.765,qual,2019
130,paula mejias,PUR,11.433,10.566,10.933,12.7,45.632,qual,2019
131,tran doan quynh nam,VIE,12.933,10.133,10.533,11.866,45.465,qual,2019
132,pranati das,IND,13,9.916,10.866,11.466,45.248,qual,2019
133,mammule rankoe,RSA,11.3,11.6,11.033,11.3,45.233,qual,2019
134,egle stalinkeviciute,LTU,12.666,10.966,9.4,12.2,45.232,qual,2019
135,katriel de sousa,VEN,13,10.666,9.766,11.8,45.232,qual,2019
136,agata vostruchovaite,LTU,13.466,10.833,9.933,10.966,45.198,qual,2019
137,celeste mordenti,LUX,13.1,10.5,10.033,11.4,45.033,qual,2019
138,camila montoya,CRC,13.4,10.733,9.633,11.266,45.032,qual,2019
139,anastasija dubova,LAT,12.233,10.133,11.466,11.166,44.998,qual,2019
140,angelica mesa,COL,12.166,11.733,9.666,11.333,44.898,qual,2019
141,rifda irfanaluthfi,INA,13.266,11.333,8.733,11.5,44.832,qual,2019
142,gloria philassides,CYP,12.333,10.033,10.7,11.733,44.799,qual,2019
143,nataly rodriguez,COL,13.233,11.366,9.066,11.133,44.798,qual,2019
144,teja belak,SLO,14.333,7.833,11.466,11.133,44.765,qual,2019
145,kiara richmon,JAM,12.8,11.466,9.233,11.133,44.632,qual,2019
146,alexa grande,ESA,13.3,9.033,10.833,11.366,44.532,qual,2019
147,do thi van anh,VIE,13.3,9.6,9.533,11.7,44.133,qual,2019
148,ominakhon khalilova,UZB,12.333,8.633,10.966,12.033,43.965,qual,2019
149,kaylee cole,BOL,13.366,10.5,8.533,11.5,43.899,qual,2019
150,kimberly del valle,GUA,13.2,10.2,8.933,11.533,43.866,qual,2019
151,indira ulmasova,UZB,13.2,8.666,10.433,11.533,43.832,qual,2019
152,annabel agba,NGR,13.133,9.8,10.316,10.575,43.824,qual,2019
153,meitar lavy,ISR,13,9.7,9.366,11.5,43.566,qual,2019
154,laney madsen,BUL,13.4,7.566,11.233,11.333,43.532,qual,2019
155,rosanna ojala,FIN,11.333,10.333,10.4,11.433,43.499,qual,2019
156,victoria gilberg,DEN,12.7,9.1,10.2,11.133,43.133,qual,2019
157,aleksandra rajcic,SRB,11.833,11.9,9.733,9.666,43.132,qual,2019
158,raegan rutty,CAY,12.1,10,10.166,10.8,43.066,qual,2019
159,paola ruano,ESA,12.9,9.333,9.7,11.1,43.033,qual,2019
160,sofia nair,ALG,12.933,8.133,10.433,11.466,42.965,qual,2019
161,anahit assadourian,ARM,11.966,9.766,9.833,11.4,42.965,qual,2019
162,maria villegas,COL,11.6,11.366,9.008,10.933,42.907,qual,2019
163,marcela bonifasi,GUA,12.033,9.966,9.3,11.4,42.699,qual,2019
164,emilie winther,DEN,12.2,10.5,9.166,10.7,42.566,qual,2019
165,victoria kajø,DEN,12.233,9.4,10.366,10.2,42.199,qual,2019
166,marija ribalcenko,LAT,11.9,10.033,9.6,10.6,42.133,qual,2019
167,pierina cedres,URU,12.4,9.166,8.6,11.233,41.399,qual,2019
167,kim bui,none,13.666,14.2,0,13,40.866,qual,2019
168,kristina zivadinovic,SRB,12.466,6.641,10.433,11.2,40.74,qual,2019
168,georgia-rose brown,AUS,13.566,13.633,0,13.3,40.499,qual,2019
169,milca leon,VEN,12.8,8.666,9.566,9.433,40.465,qual,2019
169,lorette charpy,FRA,0,14.166,12.6,13.233,39.999,qual,2019
169,marine boyer,FRA,13.733,0,13.166,12.966,39.865,qual,2019
169,akari matsumura,JPN,14.1,0,12.633,12.933,39.666,qual,2019
170,laura rodriguez,PAN,12,8.466,9.066,10,39.532,qual,2019
170,margaux daveloose,BEL,0,13.166,12.9,13.366,39.432,qual,2019
170,senna deriks,BEL,13.566,13.733,12.1,0,39.399,qual,2019
170,alba petisco,ESP,13.633,12.833,12.366,0,38.832,qual,2019
170,nagi kajita,JPN,0,13.533,11.9,13.166,38.599,qual,2019
170,aleksandra shchekoldina,RUS,14.5,0,12,11.866,38.366,qual,2019
170,ri su ryon,none,14.466,12.433,0,10.866,37.765,qual,2019
170,valeriia osipova,UKR,13.866,0,11.933,11.9,37.699,qual,2019
170,talia folino,AUS,13.566,0,11.233,12.483,37.282,qual,2019
171,dianne soria,BOL,11.9,7.483,7.666,10.2,37.249,qual,2019
171,elsa garcia,MEX,14,0,10.666,12.466,37.132,qual,2019
172,cloe godoy,PAN,11.1,4.5,10.5,10.566,36.666,qual,2019
173,camil betances,DOM,12.366,6.633,8.1,9.5,36.599,qual,2019
173,noemi makra,HUN,0,13.133,11.166,12.133,36.432,qual,2019
173,caterina barloggio,SUI,0,12.866,11.2,12.066,36.132,qual,2019
173,sandra jessenova,CZE,13.333,0,10.908,11.566,35.807,qual,2019
174,bianca leon,PUR,0,11.366,10.333,11.6,33.299,qual,2019
175,tienna nguyen,VIE,12.5,8.033,9.733,DNS,30.266,qual,2019
176,jade carey,USA,15.3,0,0,14.2,29.5,qual,2019
177,claire pontlevoy,FRA,14.3,14.4,0,0,28.7,qual,2019
178,alice d’amato,ITA,14.5,14.133,0,0,28.633,qual,2019
179,chen yile,CHN,0,14.366,14.266,0,28.632,qual,2019
180,tisha volleman,NED,14.4,0,0,13.533,27.933,qual,2019
181,becky downie,none,0,14.8,13.1,0,27.9,qual,2019
182,shallon olsen,CAN,14.833,0,0,12.691,27.524,qual,2019
183,qi qi,CHN,14.533,0,0,12.966,27.499,qual,2019
184,kara eaker,USA,0,14,13.466,0,27.466,qual,2019
185,aiko sugihara,JPN,14.033,13.266,0,0,27.299,qual,2019
186,yamilet a peña,DOM,14.433,11.566,1.191,DNS,27.19,qual,2019
187,ana padurariu,CAN,0,13.433,13.5,0,26.933,qual,2019
188,ayelen tarabini,ARG,14.2,12.7,0,0,26.9,qual,2019
189,sanne wevers,NED,0,13.633,13.2,0,26.833,qual,2019
190,taeja james,none,13.766,0,0,12.5,26.266,qual,2019
191,jade vansteenkiste,BEL,14.1,0,0,12.2,26.2,qual,2019
192,ham miju,SKR,14.066,0,0,12,26.066,qual,2019
193,lee eunju,SKR,0,12.8,12.033,0,24.833,qual,2019
194,gaya giladi,ISR,13.333,DNS,DNS,11.433,24.766,qual,2019
195,desiree carofiglio,ITA,0,0,11.266,13.4,24.666,qual,2019
196,mariana pitrez,POR,12.766,11.233,DNS,DNS,23.999,qual,2019
197,luna fernandez,ARG,0,0,11.233,12.433,23.666,qual,2019
198,kate mcdonald,AUS,0,11.2,12.166,0,23.366,qual,2019
199,chahed sakr,TUN,12.5,DNS,DNS,9.566,22.066,qual,2019
200,aruna budda reddy,IND,DNS,8.925,10.2,DNS,19.125,qual,2019
201,sandra contreras,DOM,0,0,7.433,9.4,16.833,qual,2019
202,daria spiridonova,RUS,0,15.016,0,0,15.016,qual,2019
203,sara peter,HUN,14.466,0,0,0,14.466,qual,2019
204,jade barbosa,BRA,14.133,0,0,0,14.133,qual,2019
205,frida esparza,MEX,0,13.766,0,0,13.766,qual,2019
206,lorrane oliveira,BRA,0,13.633,0,0,13.633,qual,2019
207,anny wu,SUI,13.433,0,0,0,13.433,qual,2019
208,kim won yong,none,0,0,13.066,0,13.066,qual,2019
209,marina gonzalez,ESP,0,0,0,12.733,12.733,qual,2019
210,elizabeth chan tsz sum,HKG,12.733,0,0,0,12.733,qual,2019
211,pauline schäfer,none,0,0,11.8,0,11.8,qual,2019
212,anna-maria kanyai,CZE,0,11.033,0,0,11.033,qual,2019
213,ng yan yin,HKG,0,0,10.566,0,10.566,qual,2019
214,yana fedorova,UKR,0,10.4,0,0,10.4,qual,2019
215,giulianna pino,ECU,0,0,8.333,0,8.333,qual,2019
216,amenaghawon melvin,NGR,0,0,5.733,0,5.733,qual,2019
1,morgan hurd,USA,14.233,14.3,12.933,13.633,55.099,final,2019
2,ellie black,CAN,14.5,13.533,13.733,13.266,55.032,final,2019
3,asuka teramoto,JPN,14.6,13.266,13.333,13.6,54.799,final,2019
4,aiko sugihara,JPN,14.1,12.866,13.0,12.0,51.966,final,2019
5,carolyne pedro,BRA,13.5,12.566,12.233,12.933,51.132,final,2019
6,liu jingxing,CHN,13.1,12.333,13.6,11.5,50.533,final,2019
7,lee yunseo,SKR,13.166,12.133,11.933,12.266,49.498,final,2019
8,ksenia klimenko,RUS,12.1,10.966,12.833,12.833,48.732,final,2019
9,carina kröll,none,13.033,10.766,11.4,12.533,47.732,final,2019
1,simone biles,USA,15.4,14.3,14.2,14.9,58.8,final,2019
2,ana padurariu,CAN,13.533,14.066,14.333,13.2,55.132,final,2019
3,elisabeth seitz,none,14.5,14.233,12.466,13.2,54.399,final,2019
4,lorette charpy,FRA,13.566,13.933,13.666,12.566,53.731,final,2019
5,aliya mustafina,RUS,14.4,14.2,11.6,13.2,53.4,final,2019
6,hitomi hatakeda,JPN,13.933,13.566,12.9,12.3,52.699,final,2019
7,kim bui,none,13.533,13.8,11.8,13.033,52.166,final,2019
8,zsofia kovacs,HUN,13.933,12.9,13.0,11.333,51.166,final,2019
9,carolyne pedro,BRA,13.733,11.833,9.866,12.333,47.765,final,2019
1,aliya mustafina,RUS,14.366,14.366,11.866,12.966,53.564,final,2019
2,riley mccusker,USA,13.133,14.4,12.166,13.366,53.065,final,2019
3,thais fidelis,BRA,13.566,12.233,12.933,13.1,51.832,final,2019
4,carolann heduit,FRA,13.366,13.9,11.666,12.7,51.632,final,2019
5,victoria-kayen woo,CAN,13.666,12.033,12.6,12.8,51.099,final,2019
6,leah griesser,none,13.133,12.566,11.3,12.8,49.799,final,2019
7,ellie downie,none,14.3,10.5,11.5,13.033,49.333,final,2019
8,nagi kajita,JPN,13.033,11.766,11.366,12.833,48.998,final,2019
9,liu jieyu,CHN,13.033,9.933,12.2,12.7,47.866,final,2019
1,simone biles,USA,15.233,14.733,14.633,14.4,58.999,final,2019
2,tang xijing,CHN,14.166,14.533,14.6,13.6,56.899,final,2019
3,angelina melnikova,RUS,14.433,13.9,14.0,14.066,56.399,final,2019
4,ellie black,CAN,14.566,14.133,14.0,13.533,56.232,final,2019
5,nina derwael,BEL,13.6,15.2,13.733,13.5,56.033,final,2019
6,elisabeth seitz,none,14.6,14.866,13.233,13.3,55.999,final,2019
7,flavia saraiva,BRA,14.466,13.3,14.033,13.933,55.732,final,2019
8,sunisa lee,USA,14.466,13.133,13.833,14.2,55.632,final,2019
9,li shijia,CHN,14.433,13.366,14.0,13.3,55.099,final,2019
10,sarah voss,none,14.5,13.666,13.866,12.866,54.898,final,2019
11,aline friess,FRA,14.966,13.6,13.066,13.166,54.798,final,2019
12,alice kinsella,none,14.266,13.766,13.8,12.933,54.765,final,2019
13,asuka teramoto,JPN,14.6,14.0,13.366,12.7,54.666,final,2019
14,brooklyn moors,CAN,14.166,13.266,13.5,13.566,54.498,final,2019
15,diana varinska,UKR,13.5,14.133,13.333,13.4,54.366,final,2019
16,giorgia villa,ITA,14.7,14.333,12.633,12.566,54.232,final,2019
17,hitomi hatakeda,JPN,13.8,13.866,13.533,12.733,53.932,final,2019
18,giulia steingruber,SUI,14.933,12.5,12.8,13.633,53.866,final,2019
19,georgia godwin,AUS,13.733,13.5,13.366,13.233,53.832,final,2019
20,melanie de jesus dos santos,FRA,14.633,11.933,13.5,13.5,53.566,final,2019
21,cintia rodriguez,ESP,13.333,13.7,11.833,12.6,51.466,final,2019
22,lilia akhaimova,RUS,14.533,12.066,11.4,13.466,51.465,final,2019
23,naomi visser,NED,13.266,12.1,13.6,12.2,51.166,final,2019
24,elisa iorio,ITA,13.266,0.0,12.666,12.866,0.0,final,2019
