ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000632035,SINGLE_HOUSE,L,1227450,294,TRUE,200,7.5,2024,Nunningen,4208
4000632021,SINGLE_HOUSE,L,1249500,322,TRUE,200,7.5,2024,Nunningen,4208
4000542615,CHALET,L,7791000,950,TRUE,,7,,Grund b. Gstaad,3783
4000515799,CHALET,L,,466,TRUE,790,37,1997,Zermatt,3920
4000502770,SINGLE_HOUSE,L,1308300,724,TRUE,170,8.5,1980,Eschenz,8264
4000499981,ROW_HOUSE,L,1793400,125,TRUE,280,8.5,2025,Glarus,8750
4000497844,MULTIPLE_DWELLING,L,7203000,1543,TRUE,,,1991,Glarus Nord,8753
4000463245,VILLA,L,4189500,1730,TRUE,520,11,1991,Novazzano,6883
4000411831,BIFAMILIAR_HOUSE,L,2058000,950,,220,7,1985,Eglisau,8193
4000376757,RUSTICO,L,5806500,53664,,390,17,,Vogorno,6632
4000366897,BIFAMILIAR_HOUSE,L,2609250,268,TRUE,220,7.5,2024,Givrins,1271
4000332726,SINGLE_HOUSE,L,,304,TRUE,260,9.5,2024,Oberglatt ZH,8154
4000327352,ROW_HOUSE,L,1837500,158,,220,9.5,2025,Gelterkinden,4460
4000293616,SINGLE_HOUSE,L,,2563,TRUE,470,11.5,1991,Rothenburg,6023
4000201820,VILLA,L,1308300,240,TRUE,,8.5,2024,Mendrisio,6852
4000189781,SINGLE_HOUSE,L,2881200,680,TRUE,350,11.5,1987,Pfeffingen,4148
4000167484,SINGLE_HOUSE,L,,1000,TRUE,,10,1988,Seewen SZ,6423
3003556692,FARM_HOUSE,L,2205000,960,,630,12.5,1920,Mülligen,5243
3003556507,BIFAMILIAR_HOUSE,L,1352400,250,TRUE,250,8.5,2024,Mülligen,5243
3003509371,SINGLE_HOUSE,L,3270750,909,TRUE,,11,2004,Weggis,6353
3003445584,SINGLE_HOUSE,L,,500,TRUE,470,8.5,2023,Weisslingen,8484
3002748982,SINGLE_HOUSE,L,1227450,,,143,5,2022,Mühlau,5642
3002584460,VILLA,L,,1549,TRUE,1180,37,1932,Zürich,8044
4000835051,MULTIPLE_DWELLING,M,2646000,490,,250,15,1925,Winterthur,8400
4000654760,SINGLE_HOUSE,M,1543500,622,,190,8.5,1989,Leutwil,5725
4000834354,SINGLE_HOUSE,M,,570,TRUE,290,8.5,1978,Heiden,9410
4000833858,SINGLE_HOUSE,M,2719500,388,TRUE,250,9.5,2008,Obfelden,8912
4000833676,CHALET,L,1249500,814,,240,7.5,,Saxon,1907
4000833677,SINGLE_HOUSE,L,874650,603,,150,7.5,,Saxon,1907
4000488703,SINGLE_HOUSE,M,2778300,445,,170,7,2005,Vernier,1214
4000694358,SINGLE_HOUSE,L,,242,,600,19.5,1660,Celerina/Schlarigna,7505
4000832611,SINGLE_HOUSE,M,4116000,800,TRUE,290,11.5,1904,Château-d’Œx,1660
4000811084,ROW_HOUSE,L,4704000,296,TRUE,,8.5,1999,Oberwil b. Zug,6317
4000788677,SINGLE_HOUSE,L,7203000,910,TRUE,230,8.5,,Einsiedeln,8840
4000731182,BIFAMILIAR_HOUSE,L,2344650,1817,TRUE,250,7.5,2023,St. Antönien,7246
4000753432,CHALET,L,4483500,5107,TRUE,790,11.5,,Troistorrents,1872
4000747576,BIFAMILIAR_HOUSE,L,1168650,766,TRUE,290,13,,Oberbuchsiten,4625
4000788674,SINGLE_HOUSE,L,1756650,628,,170,7.5,,Eclagnens,1376
4000725518,SINGLE_HOUSE,L,0,859,TRUE,370,10,,Grenchen,2540
4000815334,BIFAMILIAR_HOUSE,L,808500,189,,220,7.5,,Turbenthal,8488
4000820340,SINGLE_HOUSE,L,1896300,211,,,,,Torricella,6808
4000753428,MULTIPLE_DWELLING,L,1462650,356,,,24.5,,Hundwil,9064
4000768579,SINGLE_HOUSE,L,661500,906,TRUE,180,8.5,,Pagig,7028
4000753424,ROW_HOUSE,L,1102500,233,,220,7.5,,Wahlen b. Laufen,4246
4000831907,SINGLE_HOUSE,L,2719500,220,,310,8.5,,Montagnola,6926
4000787051,FARM_HOUSE,L,2866500,2186,,470,16.5,,Untersteckholz,4916
4000818062,SINGLE_HOUSE,L,514500,446,,76,5,,Malvaglia,6713
4000809758,VILLA,L,2940000,834,TRUE,740,19,,Corcelles NE,2035
4000788664,SINGLE_HOUSE,L,1690500,724,TRUE,190,8.5,,Wildhaus,9658
4000723591,SINGLE_HOUSE,L,338100,145,,168,5.5,,Arosio,6939
4000788662,SINGLE_HOUSE,L,1173060,732,,330,9.5,,Tramelan,2720
4000772767,VILLA,L,1411200,717,,400,10,,Vernayaz,1904
4000756204,SINGLE_HOUSE,L,1999200,843,,250,9,,Chabrey,1589
4000772766,SINGLE_HOUSE,L,557130,413,,180,8.5,,Bonfol,2944
4000804453,SINGLE_HOUSE,L,220500,90,,,5,,Moghegno,6677
4000723588,SINGLE_HOUSE,L,837900,97,TRUE,240,7,,Pianezzo,6582
4000778599,FARM_HOUSE,L,411600,1029,,300,11.5,,Bonfol,2944
4000731143,SINGLE_HOUSE,L,514500,150,TRUE,,6,,Miège,3972
4000758052,BIFAMILIAR_HOUSE,L,2190300,1709,TRUE,340,9.5,,Gibswil,8498
4000794231,ROW_HOUSE,L,1984500,156,TRUE,220,9,,Würenlos,5436
4000831903,ROW_HOUSE,L,1168650,297,,440,11,,Buttes,2115
4000747537,ROW_HOUSE,L,955500,198,,140,7,,Goldach,9403
4000820296,MULTIPLE_DWELLING,L,1014300,404,,270,13.5,,Scharans,7412
4000753397,TERRACE_HOUSE,L,968730,266,,172,7.5,,Gossau SG,9200
4000758032,CHALET,L,1389150,958,TRUE,200,9.5,,Pragg-Jenaz,7231
4000826998,BIFAMILIAR_HOUSE,L,3461850,262,,400,11,,Speicher,9042
4000820285,CHALET,L,1014300,699,TRUE,220,10,,La Tzoumaz,1918
4000753394,SINGLE_HOUSE,L,292530,117,,161,10,,Sobrio,6749
4000831901,SINGLE_HOUSE,L,1462650,802,TRUE,220,9.5,,Hägglingen,5607
4000820281,SINGLE_HOUSE,L,955500,1550,,140,7.5,,Vendlincourt,2943
4000772758,VILLA,L,3954300,425,TRUE,360,9.5,2024,Bogis-Bossey,1279
4000747520,MULTIPLE_DWELLING,L,1609650,854,,570,21.5,,Aarwangen,4912
4000768563,SINGLE_HOUSE,L,1234800,965,,330,11.5,,Bévilard,2735
4000741943,SINGLE_HOUSE,L,2043300,1330,TRUE,620,23,,Rebeuvelier,2832
4000772751,VILLA,L,3822000,425,TRUE,360,9.5,2024,Bogis-Bossey,1279
4000772750,BIFAMILIAR_HOUSE,L,3822000,425,TRUE,360,9.5,2024,Bogis-Bossey,1279
4000756171,SINGLE_HOUSE,L,602700,1148,,220,11.5,,Les Pontins,2610
4000787003,BIFAMILIAR_HOUSE,L,1465590,737,,220,8.5,,Auenstein,5105
4000753382,CHALET,L,1205400,400,TRUE,240,10,,Mase,1968
4000756169,SINGLE_HOUSE,L,1646400,511,TRUE,220,8.5,,Seedorf BE,3267
4000784111,BIFAMILIAR_HOUSE,L,1719900,240,,190,7.5,,Aesch BL,4147
4000731111,SINGLE_HOUSE,L,1014300,1389,TRUE,360,11,1970,Némiaz (Chamoson),1955
4000826961,SINGLE_HOUSE,L,5130300,732,TRUE,290,11.5,,Speicher,9042
4000794222,SINGLE_HOUSE,L,1464120,628,TRUE,200,8.5,,Reinach AG,5734
4000786994,SINGLE_HOUSE,L,1749300,790,,230,9,,Le Bry,1645
4000826932,SINGLE_HOUSE,L,1278900,460,TRUE,360,11.5,,Salins,1991
4000753371,CHALET,L,1308300,188,TRUE,170,9.5,,Trin Mulin,7016
4000747495,BIFAMILIAR_HOUSE,L,0,290,,230,8.5,2012,Wahlen b. Laufen,4246
4000756154,SINGLE_HOUSE,L,3675000,,TRUE,,15,2024,Aclens,1123
4000784108,SINGLE_HOUSE,L,1764000,1173,TRUE,190,9,,Venthône,3973
4000772741,SINGLE_HOUSE,L,1764000,109,TRUE,150,7.5,,Muralto,6600
4000741916,SINGLE_HOUSE,L,1087800,1424,,200,8.5,,Bourrignon,2803
4000799266,SINGLE_HOUSE,L,926100,700,,230,7.5,,Savagnier,2065
4000772739,VILLA,L,3895500,425,TRUE,360,9.5,2024,Bogis-Bossey,1279
4000815272,SINGLE_HOUSE,L,970200,212,,157,5.5,2024,Zeglingen,4495
4000757951,BIFAMILIAR_HOUSE,L,1014300,351,TRUE,220,5,,Thalheim AG,5112
4000813434,SINGLE_HOUSE,S,1747830,,TRUE,,,2023,Leissigen,3706
4000813454,SINGLE_HOUSE,S,1543350,550,TRUE,190,9.5,,Därstetten,3763
4000831410,ROW_HOUSE,L,2381400,378,FALSE,,12.5,2019,Clarmont,1127
4000727349,ROW_HOUSE,L,1808100,147,TRUE,210,9.5,1970,Bottmingen,4103
4000793012,MULTIPLE_DWELLING,L,2131500,950,TRUE,450,13,1985,Hölstein,4434
4000562267,SINGLE_HOUSE,L,1249500,59,TRUE,154,5.5,1985,Morcote,6922
4000829718,SINGLE_HOUSE,L,4483500,,FALSE,,8.5,1927,Lausanne,1005
4000830738,TERRACE_HOUSE,M,2543100,,TRUE,200,7.5,,Eggenwil,5445
4000825564,SINGLE_HOUSE,L,2190300,238,,290,9.5,2024,Sissach,4450
4000830010,SINGLE_HOUSE,M,2937060,712,TRUE,220,8.5,2012,Aesch LU,6287
4000829988,VILLA,L,,658,TRUE,340,9,,Ronco sopra Ascona,6622
4000815406,BIFAMILIAR_HOUSE,L,3087000,,TRUE,180,8.5,2025,Mies-Tannay,1295
4000829352,CHALET,M,,6667,TRUE,950,15,1970,Ollon VD,1867
4000727412,SINGLE_HOUSE,M,1161300,779,TRUE,,8.5,1954,Sonceboz-Sombeval,2605
4000138733,SINGLE_HOUSE,M,1173060,732,TRUE,,9.5,1800,Tramelan,2720
4000827133,FARM_HOUSE,M,720300,493,,180,8.5,,Riein,7128
4000826274,VILLA,S,2763600,333,,270,8.5,2025,Weggis,6353
4000826273,VILLA,S,2643060,478,,240,8.5,2025,Weggis,6353
4000766365,ROW_HOUSE,L,3601500,554,TRUE,,11,2004,Meinier,1252
4000707190,SINGLE_HOUSE,L,1911000,681,TRUE,190,8.5,1989,Ascona,6612
3003306593,SINGLE_HOUSE,L,1852200,544,,200,8.5,,Reigoldswil,4418
4000594950,SINGLE_HOUSE,L,0,533,,200,8.5,,Reigoldswil,4418
4000594630,SINGLE_HOUSE,L,1830150,508,,200,8.5,,Reigoldswil,4418
4000816508,SINGLE_HOUSE,S,1572900,463,TRUE,240,7,2022,Preonzo,6523
4000790877,BIFAMILIAR_HOUSE,M,2719500,649,TRUE,240,8.5,2006,Lugnorre,1789
4000821854,SINGLE_HOUSE,M,3035550,1782,TRUE,220,,1966,Blonay,1807
4000738398,ROW_HOUSE,L,3351600,680,TRUE,,9,2006,Thônex,1226
4000821041,ROW_HOUSE,M,1984500,220,TRUE,170,7.5,1977,Reinach,4153
4000820673,SINGLE_HOUSE,M,1029000,470,,140,4.5,2017,Densbüren,5026
4000820007,BIFAMILIAR_HOUSE,M,,714,TRUE,240,7,2008,Liestal,4410
4000819867,BIFAMILIAR_HOUSE,M,,500,,190,8.5,1850,Horgen,8810
4000819707,SINGLE_HOUSE,L,1161300,,,170,8.5,1970,Wila,8492
4000819847,SINGLE_HOUSE,M,1756650,765,,200,8.5,1981,Kleindöttingen,5314
4000819840,SINGLE_HOUSE,M,2484300,617,TRUE,230,8.5,2017,Bichelsee-Balterswil,8362
4000819574,SINGLE_HOUSE,M,1308300,652,TRUE,190,8.5,1773,Henniez,1525
4000818987,ROW_HOUSE,M,2381400,187,TRUE,250,9.5,1991,Hausen am Albis,8915
4000818954,BIFAMILIAR_HOUSE,M,720300,849,TRUE,170,7.5,,Schwaderloch,5326
4000817793,SINGLE_HOUSE,M,1881600,147,,220,8.5,2005,Therwil,4106
4000809213,SINGLE_HOUSE,S,1158360,336,FALSE,163,6,1952,Burgdorf,3400
4000816645,SINGLE_HOUSE,M,3050250,500,TRUE,160,4.5,2023,Marin-Epagnier,2074
4000816446,SINGLE_HOUSE,M,1749300,1108,TRUE,220,8.5,1977,Dussg,8374
4000795996,SINGLE_HOUSE,S,1433250,308,TRUE,220,7,2018,Claro,6702
4000814058,RUSTIC_HOUSE,M,145530,679,,136,5,,Menzonio,6692
4000571129,ROW_HOUSE,L,5130300,754,TRUE,310,7.5,,Rüschlikon,8803
4000748667,SINGLE_HOUSE,S,3219300,450,,,17,1890,Russin,1281
4000813237,BIFAMILIAR_HOUSE,M,2881200,223,TRUE,190,8.5,,Horgen,8810
4000621057,SINGLE_HOUSE,S,4733400,833,,,10,2024,Bernex,1233
4000812083,SINGLE_HOUSE,M,2278500,362,TRUE,180,8.5,1984,Bülach,8180
4000808421,SINGLE_HOUSE,M,1999200,836,,300,8.5,1985,Wiezikon b. Sirnach,8372
4000263561,VILLA,M,9555000,,,1370,16.5,2006,Lugano,6900
4000808089,SINGLE_HOUSE,M,2484300,1066,TRUE,360,12.5,1977,Sonvico,6968
4000538380,VILLA,M,0,,,540,9,1970,Montagnola,6926
4000807274,SINGLE_HOUSE,L,2925300,661,,300,11.5,1970,Wettingen,5430
4000805980,SINGLE_HOUSE,L,1315650,324,,140,7.5,,Baden,5400
4000806852,ROW_HOUSE,M,2190300,224,TRUE,230,8.5,2009,Illnau,8308
4000806086,MULTIPLE_DWELLING,M,2344650,1498,TRUE,290,12.5,1940,Melide,6815
4000805771,SINGLE_HOUSE,M,2469600,366,,240,8.5,1994,Stallikon,8143
4000805643,ROW_HOUSE,M,1837500,179,TRUE,190,7.5,1932,Basel,4057
4000805616,CHALET,M,,700,TRUE,190,11,1995,Obersaxen,7134
4000803642,SINGLE_HOUSE,M,1909530,300,TRUE,220,8.5,2024,Villmergen,5612
4000801693,ROW_HOUSE,L,3454500,353,TRUE,310,9,2008,Hermance,1248
4000801526,SINGLE_HOUSE,M,1462650,,TRUE,290,9.5,2004,Ponte Tresa,6988
4000800576,BIFAMILIAR_HOUSE,L,2352000,1239,,430,,1820,Lengnau,5426
4000798531,SINGLE_HOUSE,M,1896300,745,TRUE,290,8.5,2011,Botterens,1652
4000796484,SINGLE_HOUSE,M,,1114,TRUE,160,7.5,1964,Nyon,1260
4000795285,SINGLE_HOUSE,M,,268,,,7.5,,Obergösgen,4653
4000332510,BIFAMILIAR_HOUSE,M,1543500,,TRUE,170,8.5,2024,Orbe,1350
4000792887,BIFAMILIAR_HOUSE,M,1411200,173,TRUE,190,8.5,2024,Schaffhausen,8200
4000791472,SINGLE_HOUSE,M,5865300,901,TRUE,400,13.5,1957,Uitikon Waldegg,8142
4000790132,VILLA,M,6762000,1614,TRUE,400,14,1990,Lugano,6900
4000789623,BIFAMILIAR_HOUSE,M,1984500,327,,,9,1988,Embrach,8424
4000788286,SINGLE_HOUSE,M,2182950,1000,TRUE,220,8.5,2004,Ollon,1867
4000788084,SINGLE_HOUSE,M,2646000,600,TRUE,390,9.5,2005,Trachslau,8840
4000786694,BIFAMILIAR_HOUSE,M,1146600,255,TRUE,190,8.5,1992,Lützelflüh-Goldbach,3432
4000485256,ROW_HOUSE,M,1734600,170,FALSE,180,8.5,1980,Bonstetten,8906
4000784351,VILLA,M,25725000,2000,TRUE,1020,9,2012,Gommiswald,8737
3003003691,ROW_HOUSE,L,2190300,112,TRUE,180,8.5,2023,Bern,3018
3003003690,BIFAMILIAR_HOUSE,L,2271150,,TRUE,180,8.5,2023,Bern,3018
4000782089,BIFAMILIAR_HOUSE,M,4498200,448,TRUE,270,8.5,2004,Wallisellen,8304
4000782074,SINGLE_HOUSE,M,,786,TRUE,290,11.5,1983,Bülach,8180
4000782069,SINGLE_HOUSE,M,1602300,499,TRUE,180,7,1830,Densbüren,5026
4000781245,CHALET,M,2572500,278,TRUE,170,7.5,1929,Arosa,7050
4000781099,ROW_HOUSE,M,1881600,179,,250,8.5,1843,Hinwil,8340
3002091888,SINGLE_HOUSE,M,733530,107,TRUE,180,7.5,,Castel San Pietro,6874
4000780817,ROW_HOUSE,M,1514100,276,TRUE,190,8.5,1978,Neftenbach,8413
4000779984,BIFAMILIAR_HOUSE,M,1984500,248,TRUE,240,8.5,2024,Niederlenz,5702
4000548906,VILLA,M,2344650,,TRUE,190,8.5,2026,Le Mont-sur-Lausanne,1052
4000777347,VILLA,M,2344650,,TRUE,190,8.5,2026,Lausanne,1004
4000775102,BIFAMILIAR_HOUSE,M,1844850,434,TRUE,200,9,1993,Hofstetten-Flüh,4114
4000288020,SINGLE_HOUSE,S,896700,868,TRUE,,7,1947,Couvet,2108
4000774635,SINGLE_HOUSE,M,1367100,791,TRUE,190,11,1968,Jegenstorf,3303
4000554082,CHALET,S,1115730,350,TRUE,150,7.5,1975,Grächen,3924
4000771310,RUSTIC_HOUSE,M,,2173,,,2,,Rasa,6655
4000769652,BIFAMILIAR_HOUSE,M,1784580,320,TRUE,330,8.5,2024,Kaltenbach,8259
4000766450,BIFAMILIAR_HOUSE,M,1830150,217,TRUE,300,8.5,2000,Marthalen,8460
4000764877,MULTIPLE_DWELLING,M,4998000,1587,TRUE,,,1988,Kaufdorf,3126
4000764568,VILLA,L,,841,TRUE,880,15,2024,Lugano,6900
4000740956,SINGLE_HOUSE,L,2734200,250,,190,8.5,2024,Zufikon,5621
4000762737,SINGLE_HOUSE,M,,756,TRUE,340,9,2022,Klosters,7250
4000762023,MULTIPLE_DWELLING,M,3160500,426,,,,1943,Bern,3007
4000758513,TERRACE_HOUSE,M,,193,TRUE,270,8.5,1968,Oberrohrdorf,5452
4000757745,BIFAMILIAR_HOUSE,M,2778300,422,TRUE,400,9.5,2024,Lengnau,5426
4000757387,SINGLE_HOUSE,M,,450,TRUE,230,8.5,1995,Orselina,6644
4000754798,SINGLE_HOUSE,M,1205400,491,TRUE,154,8.5,1952,Gränichen,5722
4000685739,VILLA,S,1462650,1186,TRUE,250,9.5,1985,Bullet,1453
4000751766,VILLA,M,,592,TRUE,650,37,1906,St. Gallen,9000
4000750001,SINGLE_HOUSE,M,1984500,582,TRUE,230,7.5,2008,Pampigny,1142
4000749892,TERRACE_HOUSE,M,1741950,448,TRUE,220,7.5,2002,Wohlen AG,5610
4000746500,SINGLE_HOUSE,M,3381000,1000,TRUE,330,9.5,2014,Eschlikon TG,8360
4000745557,BIFAMILIAR_HOUSE,M,3498600,251,TRUE,280,9.5,1982,Zürich,8041
4000745355,SINGLE_HOUSE,M,1447950,,FALSE,,7,,Büren an der Aare,3294
4000744229,VILLA,M,,800,TRUE,630,11.5,,Meilen,8706
4000740280,ROW_HOUSE,M,,248,TRUE,280,9.5,1929,Zürich,8057
4000733520,MULTIPLE_DWELLING,M,2462250,1335,TRUE,,,1847,Gebertingen,8725
4000730933,SINGLE_HOUSE,M,1764000,504,TRUE,140,6,1961,Aigle,1860
4000730588,ROW_HOUSE,M,1959510,452,TRUE,470,10,1988,Morbio Inferiore,6834
4000729559,ROW_HOUSE,M,4189500,600,TRUE,250,11,1995,Vésenaz,1222
4000728425,VILLA,M,7276500,,TRUE,310,9.5,1960,Meilen,8706
4000726496,BIFAMILIAR_HOUSE,M,1881600,437,TRUE,280,9.5,2023,Kaltbrunn,8722
4000719506,SINGLE_HOUSE,L,3263400,352,,350,9.5,,Horgen,8810
4000719508,SINGLE_HOUSE,L,5659500,352,,350,9.5,,Horgen,8810
4000725252,ROW_HOUSE,M,,157,TRUE,290,9.5,2006,Giebenach,4304
4000725095,BIFAMILIAR_HOUSE,M,1352400,509,TRUE,190,7,1970,Seltisberg,4411
4000725087,SINGLE_HOUSE,M,1403850,,,220,8.5,2024,Känerkinden,4447
