TIME_PERIOD;GEO;INDICATOR;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2020;CH070;Total;164885;0.3;A
2020;CH011;1;235177;0.8;A
2020;CH011;2;4398;10.5;A
2020;CH011;3;41630;2.9;A
2020;CH011;4;65999;2;A
2020;CH011;5;13073;5.5;A
2020;CH011;Total;360277;0.3;A
2020;CH012;1;63572;2.2;A
2020;CH012;2;595;30.4;U
2020;CH012;3;38277;2.9;A
2020;CH012;4;46186;2.3;A
2020;CH012;5;7055;7.8;A
2020;CH012;Total;155685;0.4;A
2020;CH024;1;53727;1.8;A
2020;CH024;2;1056;21.4;A
2020;CH024;3;8742;6;A
2020;CH024;4;16336;3.9;A
2020;CH024;5;2153;13.5;A
2020;CH024;Total;82014;0.5;A
2020;CH013;1;148838;1.1;A
2020;CH013;2;8119;7.8;A
2020;CH013;3;17834;4.7;A
2020;CH013;4;18246;4.1;A
2020;CH013;5;6957;8.9;A
2020;CH013;Total;199994;0.5;A
2020;CH025;1;14582;6.1;A
2020;CH025;2;198;72.2;U
2020;CH025;3;2419;17.7;A
2020;CH025;4;13760;5.6;A
2020;CH025;5;1854;20.5;A
2020;CH025;Total;32813;1.3;A
2020;CH;1;2232548;0.4;A
2020;CH;2;109858;2.6;A
2020;CH;3;456787;1.1;A
2020;CH;4;941043;0.6;A
2020;CH;5;120438;2.3;A
2020;CH;Total;3860675;0.1;A
2021;CH040;1;450042;0.9;A
2021;CH040;2;50555;4.1;A
2021;CH040;3;79097;3;A
2021;CH040;4;116256;2.1;A
2021;CH040;5;12527;8.1;A
2021;CH040;Total;708476;0.3;A
2021;CH021;1;270169;1.3;A
2021;CH021;2;10504;9.7;A
2021;CH021;3;54225;3.7;A
2021;CH021;4;132102;1.9;A
2021;CH021;5;18418;6.9;A
2021;CH021;Total;485417;0.3;A
2021;CH061;1;111351;1.3;A
2021;CH061;2;5358;9.5;A
2021;CH061;3;23444;3.8;A
2021;CH061;4;39391;2.5;A
2021;CH061;5;5398;8.9;A
2021;CH061;Total;184941;0.3;A
2021;CH062;1;6891;8.8;A
2021;CH062;2;697;37.9;U
2021;CH062;3;2016;18.8;A
2021;CH062;4;5700;9.2;A
2021;CH062;5;719;36.8;U
2021;CH062;Total;16022;2.1;A
2021;CH063;1;40018;3.2;A
2021;CH063;2;650;37.2;U
2021;CH063;3;10758;8.3;A
2021;CH063;4;18090;5.3;A
2021;CH063;5;2260;18.9;A
2021;CH063;Total;71776;0.7;A
2021;CH064;1;8458;8.4;A
2021;CH064;2;;;Q
2021;CH064;3;2732;18.2;A
2021;CH064;4;4634;9.9;A
2021;CH064;5;792;32.8;U
2021;CH064;Total;16682;2.7;A
2021;CH065;1;10936;6.8;A
2021;CH065;2;245;56;U
2021;CH065;3;3662;13.2;A
2021;CH065;4;4189;11.6;A
2021;CH065;5;766;32.7;U
2021;CH065;Total;19798;1.9;A
2021;CH051;1;8885;8.1;A
2021;CH051;2;136;82.2;U
2021;CH051;3;1781;22.1;A
2021;CH051;4;7182;8.6;A
2021;CH051;5;526;44.6;U
2021;CH051;Total;18509;1.9;A
2021;CH066;1;36059;2.1;A
2021;CH066;2;1023;19.7;A
2021;CH066;3;9933;5.4;A
2021;CH066;4;7927;5.8;A
2021;CH066;5;1191;16.9;A
2021;CH066;Total;56133;0.6;A
2021;CH022;1;73638;2.6;A
2021;CH022;2;678;42.7;U
2021;CH022;3;14489;7.3;A
2021;CH022;4;43271;3.2;A
2021;CH022;5;7398;10.4;A
2021;CH022;Total;139474;0.6;A
2021;CH023;1;61941;2.9;A
2021;CH023;2;1550;26.3;A
2021;CH023;3;10395;8.7;A
2021;CH023;4;49423;2.9;A
2021;CH023;5;3209;15.2;A
2021;CH023;Total;126518;0.6;A
2021;CH031;1;71304;2.3;A
2021;CH031;2;10005;9.9;A
2021;CH031;3;6928;11.6;A
2021;CH031;4;8722;8.8;A
2021;CH031;5;1144;28.9;A
2021;CH031;Total;98103;0.8;A
2021;CH032;1;66697;2.8;A
2021;CH032;2;3166;17.2;A
2021;CH032;3;13971;7.5;A
2021;CH032;4;44513;3.3;A
2021;CH032;5;3263;16;A
2021;CH032;Total;131609;0.6;A
2021;CH052;1;20790;5;A
2021;CH052;2;623;39.3;U
2021;CH052;3;3734;14.4;A
2021;CH052;4;12407;6;A
2021;CH052;5;1242;25.1;A
2021;CH052;Total;38796;1.4;A
2021;CH053;1;12053;6.7;A
2021;CH053;2;281;62.5;U
2021;CH053;3;2146;19;A
2021;CH053;4;9404;6.7;A
2021;CH053;5;567;40.5;U
2021;CH053;Total;24452;1.5;A
2021;CH054;1;2527;16.8;A
2021;CH054;2;;;Q
2021;CH054;3;529;41.5;U
2021;CH054;4;3251;11.9;A
2021;CH054;5;375;54;U
2021;CH054;Total;6747;2.3;A
2021;CH055;1;129110;1.8;A
2021;CH055;2;3253;17.5;A
2021;CH055;3;26059;5.4;A
2021;CH055;4;65512;2.7;A
2021;CH055;5;5523;11.9;A
2021;CH055;Total;229456;0.4;A
2021;CH056;1;47181;3.4;A
2021;CH056;2;1613;26.7;A
2021;CH056;3;15076;6.9;A
2021;CH056;4;26833;4.5;A
2021;CH056;5;3957;15.2;A
2021;CH056;Total;94660;0.8;A
2021;CH033;1;153110;1.3;A
2021;CH033;2;3894;11.4;A
2021;CH033;3;40388;3;A
2021;CH033;4;102252;1.5;A
2021;CH033;5;8183;6.7;A
2021;CH033;Total;307827;0.3;A
2021;CH057;1;64457;1.9;A
2021;CH057;2;1201;20.4;A
2021;CH057;3;13579;5.2;A
2021;CH057;4;43156;2.3;A
2021;CH057;5;3456;10.9;A
2021;CH057;Total;125849;0.4;A
2021;CH070;1;90014;1.6;A
2021;CH070;2;523;35.3;U
2021;CH070;3;23272;3.9;A
2021;CH070;4;41334;2.6;A
2021;CH070;5;11291;5.8;A
2021;CH070;Total;166434;0.3;A
2021;CH011;1;238577;0.9;A
2021;CH011;2;4381;10.2;A
2021;CH011;3;42481;2.9;A
2021;CH011;4;66841;2;A
2021;CH011;5;13441;5.5;A
2021;CH011;Total;365721;0.3;A
2021;CH012;1;63341;3.3;A
2021;CH012;2;483;52.8;U
2021;CH012;3;38988;4.2;A
2021;CH012;4;48659;3.4;A
2021;CH012;5;7320;11.6;A
2021;CH012;Total;158790;0.6;A
2021;CH024;1;53463;1.9;A
2021;CH024;2;1085;21.6;A
2021;CH024;3;9983;6;A
2021;CH024;4;15917;4.1;A
2021;CH024;5;2140;13.5;A
2021;CH024;Total;82589;0.6;A
2021;CH013;1;149859;1.2;A
2021;CH013;2;8260;7.6;A
2021;CH013;3;18595;4.7;A
2021;CH013;4;19247;4.1;A
2021;CH013;5;6634;8.8;A
2021;CH013;Total;202595;0.6;A
2021;CH025;1;14937;6.1;A
2021;CH025;2;155;70.6;U
2021;CH025;3;2677;16.6;A
2021;CH025;4;13792;5.5;A
2021;CH025;5;1625;22.1;A
2021;CH025;Total;33185;1.2;A
2021;CH;1;2255808;0.4;A
2021;CH;2;110449;2.7;A
2021;CH;3;470937;1.1;A
2021;CH;4;950004;0.7;A
2021;CH;5;123361;2.3;A
2021;CH;Total;3910559;0.1;A
2022;CH040;1;459464;0.9;A
2022;CH040;2;51206;4.1;A
2022;CH040;3;79380;3;A
2022;CH040;4;112419;2.2;A
2022;CH040;5;13244;8.2;A
2022;CH040;Total;715714;0.3;A
2022;CH021;1;275454;1.3;A
2022;CH021;2;9881;10;A
2022;CH021;3;54605;3.7;A
2022;CH021;4;131365;1.9;A
2022;CH021;5;16947;7;A
2022;CH021;Total;488252;0.3;A
2022;CH061;1;113685;1.3;A
2022;CH061;2;5614;8.7;A
2022;CH061;3;24216;3.6;A
2022;CH061;4;38325;2.5;A
2022;CH061;5;5560;8.8;A
2022;CH061;Total;187400;0.3;A
2022;CH062;1;7585;7.8;A
2022;CH062;2;630;38.3;U
2022;CH062;3;2150;17.1;A
2022;CH062;4;5339;8.9;A
2022;CH062;5;552;36.4;U
2022;CH062;Total;16255;1.8;A
2022;CH063;1;41137;3.2;A
2022;CH063;2;844;35.2;U
2022;CH063;3;10626;8;A
2022;CH063;4;17225;5.4;A
2022;CH063;5;2493;18;A
2022;CH063;Total;72325;0.7;A
2022;CH064;1;8104;8.1;A
2022;CH064;2;102;93;
2022;CH064;3;2635;16.2;A
2022;CH064;4;5268;9.9;A
2022;CH064;5;764;34.5;U
2022;CH064;Total;16873;1.9;A
2022;CH065;1;11797;6.2;A
2022;CH065;2;202;62.2;U
2022;CH065;3;3759;13.4;A
2022;CH065;4;3744;12.7;A
2022;CH065;5;580;36.7;U
2022;CH065;Total;20083;1.7;A
2022;CH051;1;8902;8.6;A
2022;CH051;2;238;72.8;U
2022;CH051;3;1272;27.6;A
2022;CH051;4;7513;8.7;A
2022;CH051;5;759;37.8;U
2022;CH051;Total;18684;1.8;A
2022;CH066;1;36444;2.1;A
2022;CH066;2;1077;19.9;A
2022;CH066;3;10060;5.4;A
2022;CH066;4;7540;5.9;A
2022;CH066;5;1549;15.3;A
2022;CH066;Total;56670;0.6;A
2022;CH022;1;75677;2.4;A
2022;CH022;2;511;40.9;U
2022;CH022;3;15609;7;A
2022;CH022;4;43692;3.2;A
2022;CH022;5;6591;11.2;A
2022;CH022;Total;142080;0.6;A
2022;CH023;1;63432;3;A
2022;CH023;2;1339;27.1;A
2022;CH023;3;9904;9;A
2022;CH023;4;49047;3;A
2022;CH023;5;4126;14.5;A
2022;CH023;Total;127848;0.7;A
2022;CH031;1;72952;2.2;A
2022;CH031;2;8804;10.2;A
2022;CH031;3;6354;11.8;A
2022;CH031;4;8892;8.9;A
2022;CH031;5;1564;25.2;A
2022;CH031;Total;98566;0.8;A
2022;CH032;1;67454;2.8;A
2022;CH032;2;3544;16.2;A
2022;CH032;3;13256;7.5;A
2022;CH032;4;44544;3.2;A
2022;CH032;5;3823;14.8;A
2022;CH032;Total;132621;0.6;A
2022;CH052;1;21482;4.6;A
2022;CH052;2;651;37.4;U
2022;CH052;3;3925;14;A
2022;CH052;4;12396;6.6;A
2022;CH052;5;1032;27.8;A
2022;CH052;Total;39486;1.1;A
2022;CH053;1;11534;7.1;A
2022;CH053;2;460;48.9;U
2022;CH053;3;2621;18.4;A
2022;CH053;4;9448;7.2;A
2022;CH053;5;524;40.9;U
2022;CH053;Total;24587;1.6;A
2022;CH054;1;2914;15.1;A
2022;CH054;2;;;Q
2022;CH054;3;488;45.8;U
2022;CH054;4;3116;13.7;A
2022;CH054;5;307;49.4;U
2022;CH054;Total;6826;3.7;A
2022;CH055;1;130068;1.9;A
2022;CH055;2;3808;16.7;A
2022;CH055;3;26145;5.3;A
2022;CH055;4;66770;2.8;A
2022;CH055;5;6088;12.1;A
2022;CH055;Total;232880;0.5;A
2022;CH056;1;48629;3.5;A
2022;CH056;2;1403;25.8;A
2022;CH056;3;14755;7.4;A
2022;CH056;4;26320;4.6;A
2022;CH056;5;4273;15.8;A
2022;CH056;Total;95381;0.8;A
2022;CH033;1;156707;1.3;A
2022;CH033;2;3733;11.5;A
2022;CH033;3;40840;2.9;A
2022;CH033;4;102379;1.5;A
2022;CH033;5;7879;6.7;A
2022;CH033;Total;311538;0.3;A
2022;CH057;1;66123;1.9;A
2022;CH057;2;1262;19.7;A
2022;CH057;3;13781;5.1;A
2022;CH057;4;43327;2.2;A
2022;CH057;5;3075;10.8;A
2022;CH057;Total;127568;0.4;A
2022;CH070;1;90476;1.6;A
2022;CH070;2;468;34.8;U
2022;CH070;3;25346;3.8;A
2022;CH070;4;40268;2.6;A
2022;CH070;5;11628;5.8;A
2022;CH070;Total;168186;0.3;A
2022;CH011;1;239561;0.9;A
2022;CH011;2;5096;9.8;A
2022;CH011;3;44984;2.7;A
2022;CH011;4;66462;2;A
2022;CH011;5;13568;5.5;A
2022;CH011;Total;369672;0.3;A
2022;CH012;1;66040;3.2;A
2022;CH012;2;533;47.8;U
2022;CH012;3;40386;4;A
2022;CH012;4;46655;3.4;A
2022;CH012;5;8121;10.9;A
2022;CH012;Total;161735;0.6;A
2022;CH024;1;54381;1.8;A
2022;CH024;2;936;23.1;A
2022;CH024;3;10213;5.7;A
2022;CH024;4;15356;4.1;A
2022;CH024;5;2304;13.1;A
2022;CH024;Total;83190;0.6;A
2022;CH013;1;151245;1.1;A
2022;CH013;2;8503;7.7;A
2022;CH013;3;20184;4.5;A
2022;CH013;4;18763;4.1;A
2022;CH013;5;7258;9;A
2022;CH013;Total;205953;0.6;A
2022;CH025;1;15117;6.3;A
2022;CH025;2;281;62;U
2022;CH025;3;2516;18.1;A
2022;CH025;4;13697;5.7;A
2022;CH025;5;1783;21.8;A
2022;CH025;Total;33394;1.2;A
2022;CH;1;2296363;0.4;A
2022;CH;2;111127;2.7;A
2022;CH;3;480012;1.1;A
2022;CH;4;939871;0.7;A
2022;CH;5;126393;2.3;A
2022;CH;Total;3953767;0.1;A
