TIME_PERIOD;GEO;INDICATOR_1;INDICATOR_2;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2020;CH;3;6;3159;12.5;A
2020;CH;3;Total;456787;1.1;A
2020;CH;4;1;168382;2.2;A
2020;CH;4;2;365078;0.9;A
2020;CH;4;3;138108;1.4;A
2020;CH;4;4;181694;1.1;A
2020;CH;4;5;63707;1.9;A
2020;CH;4;6;24074;4.2;A
2020;CH;4;Total;941043;0.6;A
2020;CH;5;1;36548;5.3;A
2020;CH;5;2;36311;3.8;A
2020;CH;5;3;22021;4.3;A
2020;CH;5;4;15265;4.6;A
2020;CH;5;5;6401;7.1;A
2020;CH;5;6;3892;11.3;A
2020;CH;5;Total;120438;2.3;A
2020;CH;Total;1;1407914;0.2;A
2020;CH;Total;2;1266283;0.2;A
2020;CH;Total;3;498169;0.3;A
2020;CH;Total;4;477195;0.3;A
2020;CH;Total;5;150005;0.9;A
2020;CH;Total;6;61109;2.7;A
2020;CH;Total;Total;3860675;0.1;A
2021;CH;1;1;1024781;0.6;A
2021;CH;1;2;650449;0.7;A
2021;CH;1;3;271248;1;A
2021;CH;1;4;215833;1.1;A
2021;CH;1;5;65019;2.3;A
2021;CH;1;6;28477;4.8;A
2021;CH;1;Total;2255808;0.4;A
2021;CH;2;1;45800;5;A
2021;CH;2;2;30648;4.6;A
2021;CH;2;3;13687;6.5;A
2021;CH;2;4;14450;5.7;A
2021;CH;2;5;4590;10.5;A
2021;CH;2;6;1274;23.6;A
2021;CH;2;Total;110449;2.7;A
2021;CH;3;1;158342;2.4;A
2021;CH;3;2;191228;1.5;A
2021;CH;3;3;53590;2.8;A
2021;CH;3;4;52416;2.6;A
2021;CH;3;5;11878;5.7;A
2021;CH;3;6;3484;13;A
2021;CH;3;Total;470937;1.1;A
2021;CH;4;1;176621;2.2;A
2021;CH;4;2;368117;1;A
2021;CH;4;3;137267;1.5;A
2021;CH;4;4;181795;1.1;A
2021;CH;4;5;63055;2;A
2021;CH;4;6;23149;4.6;A
2021;CH;4;Total;950004;0.7;A
2021;CH;5;1;36652;5.5;A
2021;CH;5;2;38645;3.8;A
2021;CH;5;3;22587;4.5;A
2021;CH;5;4;15623;4.7;A
2021;CH;5;5;6301;7.5;A
2021;CH;5;6;3554;12;A
2021;CH;5;Total;123361;2.3;A
2021;CH;Total;1;1442196;0.2;A
2021;CH;Total;2;1279087;0.2;A
2021;CH;Total;3;498379;0.3;A
2021;CH;Total;4;480117;0.3;A
2021;CH;Total;5;150842;1;A
2021;CH;Total;6;59938;2.9;A
2021;CH;Total;Total;3910559;0.1;A
2022;CH;1;1;1048457;0.6;A
2022;CH;1;2;659157;0.7;A
2022;CH;1;3;275520;1;A
2022;CH;1;4;219707;1.1;A
2022;CH;1;5;64671;2.3;A
2022;CH;1;6;28852;4.6;A
2022;CH;1;Total;2296363;0.4;A
2022;CH;2;1;45628;4.9;A
2022;CH;2;2;31341;4.5;A
2022;CH;2;3;13687;6.4;A
2022;CH;2;4;14994;5.5;A
2022;CH;2;5;4166;11.2;A
2022;CH;2;6;1310;23;A
2022;CH;2;Total;111127;2.7;A
2022;CH;3;1;161256;2.4;A
2022;CH;3;2;196118;1.5;A
2022;CH;3;3;54387;2.8;A
2022;CH;3;4;53133;2.6;A
2022;CH;3;5;12121;5.6;A
2022;CH;3;6;2997;13.4;A
2022;CH;3;Total;480012;1.1;A
2022;CH;4;1;174710;2.3;A
2022;CH;4;2;362501;1;A
2022;CH;4;3;135631;1.5;A
2022;CH;4;4;179981;1.1;A
2022;CH;4;5;64232;2;A
2022;CH;4;6;22816;4.6;A
2022;CH;4;Total;939871;0.7;A
2022;CH;5;1;40149;5.3;A
2022;CH;5;2;37785;3.9;A
2022;CH;5;3;22234;4.4;A
2022;CH;5;4;15786;4.7;A
2022;CH;5;5;6520;7.4;A
2022;CH;5;6;3920;11.8;A
2022;CH;5;Total;126393;2.3;A
2022;CH;Total;1;1470200;0.2;A
2022;CH;Total;2;1286901;0.2;A
2022;CH;Total;3;501459;0.3;A
2022;CH;Total;4;483601;0.3;A
2022;CH;Total;5;151711;1;A
2022;CH;Total;6;59895;2.9;A
2022;CH;Total;Total;3953767;0.1;A
