ArticleId,Category
1219,sport
1720,tech
1015,business
1459,entertainment
633,politics
1384,sport
242,tech
1334,business
1456,entertainment
1298,politics
1567,sport
205,tech
385,business
795,entertainment
1083,politics
1953,sport
1987,tech
1748,business
1869,entertainment
34,politics
604,sport
142,tech
1832,business
1865,entertainment
862,politics
1191,sport
22,tech
1883,business
737,entertainment
1262,politics
1601,sport
1404,tech
1296,business
2163,entertainment
1168,politics
438,sport
1888,tech
694,business
1663,entertainment
861,politics
704,sport
1010,tech
2039,business
854,entertainment
1562,politics
1422,sport
874,tech
1272,business
1405,entertainment
2049,politics
620,sport
2022,tech
925,business
1573,entertainment
1187,politics
1471,sport
504,tech
576,business
222,entertainment
95,politics
332,sport
1895,tech
2106,business
1181,entertainment
776,politics
9,sport
808,tech
1002,business
784,entertainment
845,politics
1416,sport
1762,tech
525,business
596,entertainment
1800,politics
1341,sport
113,tech
134,business
270,entertainment
1324,politics
12,sport
782,tech
1357,business
1608,entertainment
1134,politics
276,sport
41,tech
1705,business
732,entertainment
968,politics
1006,sport
1140,tech
966,business
1399,entertainment
586,politics
868,sport
1698,tech
452,business
600,entertainment
354,politics
1281,sport
914,tech
1430,business
554,entertainment
1659,politics
1727,sport
640,tech
691,business
1531,entertainment
1389,politics
1545,sport
462,tech
2101,business
1907,entertainment
1373,politics
1787,sport
2202,tech
961,business
680,entertainment
1059,politics
626,sport
1961,tech
1048,business
336,entertainment
719,politics
1563,sport
963,tech
179,business
1438,entertainment
1189,politics
2126,sport
895,tech
2005,business
819,entertainment
23,politics
457,sport
1423,tech
100,business
1448,entertainment
97,politics
172,sport
1918,tech
938,business
752,entertainment
2222,politics
2038,sport
24,tech
1325,business
409,entertainment
624,politics
1367,sport
621,tech
1302,business
505,entertainment
2057,politics
265,sport
262,tech
2176,business
1304,entertainment
1539,politics
700,sport
2124,tech
2203,business
781,entertainment
1558,politics
1419,sport
1311,tech
124,business
664,entertainment
282,politics
1700,sport
1107,tech
922,business
652,entertainment
713,politics
1068,sport
1116,tech
869,business
1703,entertainment
1668,politics
501,sport
2053,tech
908,business
1306,entertainment
348,politics
149,sport
1173,tech
6,business
1180,entertainment
107,politics
1629,sport
131,tech
1046,business
698,entertainment
751,politics
1501,sport
73,tech
1463,business
1856,entertainment
1074,politics
2225,sport
1313,tech
933,business
1136,entertainment
779,politics
1315,sport
1628,tech
432,business
546,entertainment
1779,politics
1514,sport
1365,tech
1776,business
109,entertainment
235,politics
162,sport
2071,tech
412,business
1092,entertainment
1352,politics
294,sport
1973,tech
493,business
45,entertainment
2189,politics
1417,sport
2140,tech
1265,business
1353,entertainment
830,politics
448,sport
535,tech
1656,business
996,entertainment
1246,politics
161,sport
1267,tech
138,business
1575,entertainment
1810,politics
2065,sport
768,tech
1507,business
1520,entertainment
71,politics
1484,sport
163,tech
1171,business
769,entertainment
77,politics
1252,sport
532,tech
1975,business
178,entertainment
1237,politics
1899,sport
676,tech
2008,business
1807,entertainment
481,politics
17,sport
837,tech
523,business
2099,entertainment
1957,politics
1470,sport
1151,tech
489,business
823,entertainment
1743,politics
1035,sport
2103,tech
1230,business
1636,entertainment
103,politics
927,sport
379,tech
1789,business
278,entertainment
887,politics
1300,sport
394,tech
625,business
1770,entertainment
1959,politics
1371,sport
1359,tech
921,business
404,entertainment
422,politics
503,sport
1773,tech
2174,business
1086,entertainment
1986,politics
2007,sport
13,tech
796,business
585,entertainment
1200,politics
642,sport
237,tech
1826,business
43,entertainment
1594,politics
594,sport
1084,tech
1859,business
524,entertainment
463,politics
1085,sport
668,tech
2132,business
1970,entertainment
260,politics
141,sport
468,tech
269,business
414,entertainment
2097,politics
1420,sport
1472,tech
1757,business
243,entertainment
1142,politics
1295,sport
1660,tech
1635,business
2200,entertainment
2146,politics
5,sport
1256,tech
2090,business
1816,entertainment
1991,politics
1310,sport
1162,tech
499,business
285,entertainment
1216,politics
745,sport
421,tech
2068,business
1145,entertainment
681,politics
556,sport
1063,tech
55,business
910,entertainment
2066,politics
1025,sport
2154,tech
64,business
2218,entertainment
2013,politics
1105,sport
669,tech
827,business
1335,entertainment
1426,politics
2196,sport
368,tech
1535,business
1672,entertainment
599,politics
2085,sport
1577,tech
724,business
568,entertainment
2018,politics
1543,sport
308,tech
1356,business
573,entertainment
1746,politics
1290,sport
272,tech
139,business
2191,entertainment
1255,politics
1699,sport
1616,tech
1619,business
1032,entertainment
287,politics
2194,sport
928,tech
584,business
1722,entertainment
1685,politics
1828,sport
692,tech
1393,business
540,entertainment
1317,politics
152,sport
650,tech
191,business
1719,entertainment
1564,politics
350,sport
116,tech
1000,business
36,entertainment
1225,politics
2155,sport
553,tech
551,business
1724,entertainment
1512,politics
1923,sport
373,tech
1704,business
206,entertainment
471,politics
