"","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10"
"201",9,6,18,12,3,0,1,2,0,0
"202",0,1,0,0,0,3,2,0,3,11
"203",6,3,1,1,4,1,7,1,2,5
"204",1,6,1,3,5,12,2,1,4,3
"205",5,1,1,1,3,3,0,2,2,2
"206",1,0,0,2,2,1,3,0,9,4
"207",0,1,0,0,4,4,14,4,1,2
"208",0,0,0,1,2,0,0,3,2,4
"209",0,9,1,5,5,3,0,4,1,0
"210",1,0,3,1,1,1,3,1,2,1
"211",7,3,0,0,5,0,0,1,5,8
"212",3,3,1,1,0,2,1,1,0,7
"213",0,1,4,0,0,1,0,0,6,3
"214",2,3,0,10,1,1,0,0,5,2
"215",5,5,2,8,8,0,3,7,0,0
"216",0,3,3,5,1,3,1,2,2,17
"217",2,0,1,1,2,0,3,0,0,0
"218",8,2,0,5,5,2,2,0,1,6
"219",0,0,0,0,1,3,9,2,0,0
"220",2,2,3,2,2,4,1,0,2,3
"221",2,0,13,6,0,2,3,1,8,2
"222",1,2,3,2,2,0,1,1,0,2
"223",0,0,0,6,1,0,1,1,0,0
"224",3,2,0,1,0,0,1,4,3,7
"225",1,1,3,0,1,9,0,0,3,7
"226",4,2,2,1,1,5,4,0,1,6
"227",2,5,2,0,3,2,4,2,2,4
"228",0,3,3,2,2,4,4,5,1,0
"229",0,2,4,0,2,4,2,5,0,0
"230",2,1,3,4,0,0,1,2,0,0
"231",8,4,4,3,0,0,1,2,1,0
"232",1,1,1,0,5,0,1,0,0,0
"233",1,0,0,0,0,0,11,2,0,0
"234",7,7,1,4,7,0,5,0,8,0
"235",0,1,2,1,2,0,1,1,0,0
"236",0,1,4,2,2,0,2,2,4,0
"237",1,4,0,1,0,10,0,0,1,1
"238",1,4,0,1,1,2,7,4,1,2
"239",1,3,13,2,1,1,0,0,1,0
"240",0,1,0,1,0,0,1,1,2,14
"241",0,6,1,6,4,2,1,2,2,5
"242",5,6,2,12,2,2,2,4,0,3
"243",5,1,5,0,6,0,1,2,0,0
"244",9,2,3,0,1,1,8,3,0,0
"245",4,0,0,4,0,0,6,2,3,1
"246",0,3,1,6,2,1,1,2,0,1
"247",1,2,2,1,2,1,1,7,0,2
"248",7,5,22,8,0,7,2,0,1,5
"249",1,0,0,2,3,1,0,0,2,0
"250",0,1,1,2,0,1,0,0,2,2
"251",2,6,6,1,1,1,1,0,2,0
"252",4,1,2,4,1,6,3,0,3,0
"253",0,1,0,0,1,0,3,2,1,0
"254",0,0,1,0,0,2,2,1,2,1
"255",2,2,6,14,7,0,3,7,1,0
"256",0,4,0,0,0,1,4,1,0,4
"257",0,5,2,8,0,0,3,3,1,0
"258",4,3,0,1,6,7,0,0,1,1
"259",4,3,1,5,0,3,5,0,0,11
"260",0,6,0,1,6,1,7,3,4,3
"261",9,8,2,11,0,4,2,1,4,6
"262",0,0,0,0,0,2,6,0,0,4
"263",3,3,0,6,2,8,1,1,0,1
"264",3,1,2,10,4,3,0,0,1,1
"265",0,5,6,0,6,2,5,2,6,8
"266",2,0,1,3,4,1,0,7,13,2
"267",2,4,0,2,6,5,2,6,3,2
"268",8,1,0,1,5,9,2,5,7,5
"269",1,1,0,14,0,2,0,0,0,3
"270",0,4,0,1,4,0,2,0,19,2
"271",4,6,3,0,0,1,0,4,0,0
"272",7,2,0,3,4,0,0,0,0,2
"273",8,0,2,3,5,0,13,4,2,3
"274",2,2,7,3,3,3,9,0,0,1
"275",5,0,1,1,3,0,2,0,0,2
"276",0,0,0,0,1,0,1,2,2,4
"277",0,1,0,3,0,9,3,0,0,0
"278",0,4,3,7,1,5,1,1,3,2
"279",0,0,0,7,1,0,2,4,1,0
"280",1,1,6,4,1,7,1,0,2,0
"281",2,0,3,1,1,0,0,0,4,4
"282",8,4,1,0,5,0,5,5,10,3
"283",3,3,11,1,0,0,9,9,2,3
"284",9,0,0,1,1,4,4,1,9,0
"285",1,2,0,1,5,0,2,1,8,0
"286",0,0,0,1,1,0,8,2,2,0
"287",0,2,2,3,3,17,0,1,1,2
"288",1,6,5,3,4,0,0,0,4,4
"289",0,0,0,0,2,2,0,0,3,0
"290",1,1,4,0,0,1,1,0,4,5
"291",6,5,0,2,2,0,1,0,1,4
"292",4,1,6,3,2,8,1,4,3,1
"293",3,2,0,1,0,1,1,3,2,8
"294",0,1,1,2,0,0,0,0,2,0
"295",1,0,0,0,4,0,0,2,0,1
"296",0,0,4,5,0,6,6,4,1,0
"297",0,5,4,1,1,1,0,10,6,3
"298",0,3,3,0,0,0,0,0,4,3
"299",6,2,2,0,1,9,1,0,0,1
"300",2,0,0,5,4,1,17,3,1,7
"301",1,2,2,0,0,0,0,0,6,0
"302",0,1,12,2,8,3,0,0,7,0
"303",2,1,1,1,4,4,2,2,5,1
"304",4,3,1,0,1,7,3,8,0,0
"305",0,2,1,10,2,10,0,1,12,0
"306",0,5,0,8,1,1,0,6,2,1
"307",2,1,3,3,0,0,1,3,1,0
"308",0,0,5,1,6,0,2,2,2,2
"309",0,1,6,0,1,2,0,0,2,0
"310",1,0,1,0,4,3,1,5,0,3
"311",0,6,2,0,3,0,7,2,0,0
"312",5,0,2,1,0,1,1,0,2,4
"313",1,0,0,5,1,4,4,0,0,2
"314",7,2,1,1,11,0,1,2,2,3
"315",0,4,3,3,0,5,0,4,5,1
"316",2,19,2,6,0,0,4,8,1,0
"317",1,5,0,8,2,4,0,2,7,5
"318",3,4,3,2,0,3,3,1,0,5
"319",2,1,0,4,0,2,0,1,0,5
"320",1,1,3,0,1,2,0,1,3,3
"321",4,0,2,3,2,2,1,2,0,1
"322",1,3,1,2,1,0,0,3,1,1
"323",0,2,2,0,1,4,0,2,3,2
"324",0,0,0,0,4,1,1,0,9,0
"325",1,0,1,1,1,0,1,2,0,1
"326",5,1,1,0,3,0,5,1,12,0
"327",5,1,4,2,1,0,3,5,6,1
"328",2,3,1,0,1,3,1,4,3,2
"329",0,0,3,0,1,1,0,1,5,6
"330",0,3,1,4,2,0,1,1,0,5
"331",8,1,3,1,0,2,0,7,2,1
"332",0,1,1,1,2,5,0,7,0,0
"333",0,2,7,3,1,0,6,3,6,1
"334",0,0,1,1,9,1,3,1,4,2
"335",0,1,3,0,5,9,4,12,3,3
"336",1,9,6,7,3,3,0,0,4,2
"337",1,1,1,4,7,1,3,8,0,7
"338",1,3,4,3,1,0,1,10,2,0
"339",1,2,3,5,6,2,0,2,5,0
"340",1,0,3,1,0,3,0,2,0,2
"341",0,2,4,4,2,0,4,5,1,5
"342",2,2,3,5,3,0,1,0,10,4
"343",1,0,3,5,0,0,1,1,7,3
"344",4,0,0,1,1,2,1,0,0,2
"345",1,3,2,2,1,0,5,0,0,4
"346",0,2,1,0,9,2,3,2,1,0
"347",7,2,1,0,3,0,2,4,1,2
"348",2,4,1,13,2,6,3,8,19,5
"349",1,0,2,1,0,1,4,0,2,0
"350",3,7,2,1,2,4,3,0,0,0
"351",0,4,0,10,0,0,7,1,5,4
"352",5,0,0,3,4,2,12,0,4,3
"353",2,4,1,1,2,6,0,8,5,0
"354",1,0,0,1,2,3,4,0,0,1
"355",4,0,0,0,1,1,0,0,0,1
"356",4,3,3,0,7,1,2,8,5,0
"357",4,6,2,7,1,5,0,2,2,0
"358",0,8,2,1,0,1,0,0,0,4
"359",2,3,2,1,2,3,5,1,2,12
"360",1,8,3,1,2,1,2,3,3,5
"361",3,4,2,4,7,5,0,1,11,2
"362",2,1,3,1,8,1,0,2,5,0
"363",0,1,0,0,13,0,0,1,11,0
"364",0,7,10,0,1,3,6,3,0,8
"365",2,0,2,5,0,2,0,1,1,2
"366",4,0,1,0,3,1,0,4,0,1
"367",1,4,3,1,2,5,2,7,2,2
"368",1,0,0,0,0,7,4,2,4,2
"369",21,0,1,8,3,4,0,2,2,0
"370",5,2,1,1,3,1,1,0,1,0
"371",2,0,0,0,4,19,4,4,1,1
"372",1,2,1,5,2,0,3,8,1,1
"373",6,0,0,7,0,1,1,0,0,2
"374",0,1,0,3,3,0,0,0,0,1
"375",0,3,2,4,3,2,1,0,1,4
"376",3,2,2,0,7,1,1,0,3,3
"377",1,5,1,3,3,0,4,0,2,2
"378",1,1,2,1,2,7,1,1,0,0
"379",0,0,0,0,2,0,1,0,7,8
"380",1,0,0,2,7,9,0,7,1,3
"381",1,1,3,4,6,1,4,4,4,0
"382",2,6,7,20,5,2,2,0,0,0
"383",0,2,1,2,2,1,1,6,2,14
"384",0,2,2,2,1,0,2,4,1,0
"385",5,0,1,4,0,0,2,2,5,3
"386",0,4,2,4,0,11,1,2,6,0
"387",0,3,7,2,6,1,0,1,2,4
"388",4,6,2,1,2,0,0,1,1,2
"389",7,5,0,0,2,1,2,0,1,1
"390",7,0,3,2,2,1,9,0,0,1
"391",0,0,5,5,1,3,0,0,8,3
"392",4,14,1,6,6,2,3,0,1,0
"393",1,0,6,0,0,1,0,3,0,2
"394",0,1,3,0,0,4,1,1,0,0
"395",1,6,6,1,1,0,0,4,6,1
"396",2,0,0,0,8,4,12,0,0,1
"397",7,2,9,0,1,1,6,1,1,1
"398",1,2,4,11,3,1,1,0,1,0
"399",1,0,1,1,2,14,2,5,5,0
"400",7,2,3,1,4,0,0,0,3,2
"401",0,2,5,1,0,0,3,0,10,0
"402",18,3,18,1,2,8,1,5,0,0
"403",7,2,1,0,2,4,0,1,0,0
"404",5,0,0,1,1,3,3,1,1,0
"405",1,2,1,0,2,0,2,2,1,5
"406",3,4,0,2,6,3,10,0,7,2
"407",7,1,4,1,0,2,5,1,4,3
"408",1,1,4,2,0,2,6,0,0,0
"409",1,14,0,1,5,0,2,0,2,3
"410",4,0,0,3,1,2,3,0,1,2
"411",4,0,5,2,0,0,1,0,0,2
"412",0,6,4,5,2,7,1,2,11,1
"413",6,1,2,0,1,3,1,1,1,3
"414",1,2,1,1,2,6,4,2,3,3
"415",6,10,0,0,7,7,0,4,1,2
"416",2,6,3,8,2,0,1,0,5,7
"417",0,3,0,1,0,2,1,2,3,9
"418",5,2,1,12,0,5,1,2,4,9
"419",0,1,0,1,0,0,3,1,0,4
"420",1,1,0,2,3,2,5,1,0,0
"421",1,3,5,7,0,2,1,0,7,0
"422",2,0,1,5,4,10,3,2,0,0
"423",0,1,1,0,2,2,0,5,0,0
"424",4,1,2,2,0,0,1,2,1,0
"425",3,2,2,1,4,1,0,2,5,5
"426",0,6,0,7,3,2,3,0,12,3
"427",6,6,1,0,1,2,0,6,3,0
"428",1,9,1,1,1,4,0,16,0,19
"429",2,3,1,2,0,1,1,1,0,7
"430",1,4,0,3,6,1,1,3,2,1
"431",1,10,5,0,1,3,1,0,1,8
"432",4,2,2,5,0,0,4,9,0,2
"433",6,1,1,1,0,7,2,0,1,6
"434",1,4,0,1,1,0,2,1,1,0
"435",1,0,0,0,0,0,0,0,0,4
"436",5,3,1,3,2,2,1,2,2,2
"437",0,5,0,5,7,2,1,4,1,0
"438",2,2,2,1,2,1,1,0,0,1
"439",2,0,0,2,0,1,5,2,6,2
"440",1,3,1,0,0,3,1,1,8,0
"441",5,7,1,7,0,3,4,1,4,2
"442",2,7,0,2,0,5,16,1,0,11
"443",1,0,0,2,2,9,6,0,8,2
"444",1,3,4,0,0,0,1,0,0,3
"445",5,2,1,3,0,1,2,2,2,1
"446",1,3,2,3,2,2,1,0,0,2
"447",6,1,9,3,2,0,3,1,4,3
"448",1,0,1,0,0,0,3,3,1,1
"449",0,0,0,3,6,1,0,0,7,6
"450",9,2,0,1,7,0,0,3,2,1
"451",1,1,1,2,2,2,1,0,7,2
"452",1,6,3,4,3,0,1,2,0,0
"453",0,1,4,1,0,1,1,3,0,8
"454",0,1,5,4,1,9,0,0,3,1
"455",0,1,0,2,3,2,0,1,1,1
"456",2,2,0,0,7,4,0,0,0,2
"457",0,1,7,0,1,2,0,1,0,2
"458",9,2,5,2,2,0,0,0,3,2
"459",6,2,1,2,3,0,3,0,0,0
"460",0,8,2,3,5,0,3,9,0,0
"461",0,0,0,6,0,2,6,18,1,1
"462",2,6,0,11,8,0,3,1,7,8
"463",0,2,3,4,0,0,6,1,1,1
"464",0,1,0,14,10,3,0,1,0,0
"465",1,0,1,1,1,8,8,5,3,3
"466",1,1,1,3,0,1,4,0,0,2
"467",3,2,0,6,0,0,2,2,3,3
"468",3,1,2,1,2,4,6,1,1,3
"469",0,1,7,0,2,5,0,0,8,1
"470",1,1,5,1,1,4,0,5,3,0
"471",0,8,0,0,0,6,1,0,0,0
"472",2,2,2,0,6,1,2,6,2,3
"473",1,7,1,5,0,2,1,0,7,1
"474",4,1,13,3,3,11,1,5,2,2
"475",1,0,10,0,0,0,0,0,0,7
"476",1,0,2,0,13,2,0,2,5,10
"477",6,8,1,0,1,4,0,3,0,1
"478",1,0,9,1,1,6,0,8,0,0
"479",0,1,0,1,0,2,0,1,0,0
"480",3,0,0,3,2,0,0,3,0,1
"481",0,1,0,4,5,7,9,4,3,4
"482",0,1,0,5,2,1,3,0,0,5
"483",1,13,0,2,2,1,2,1,6,1
"484",1,1,2,1,2,8,2,10,3,1
"485",1,4,5,2,0,1,2,5,5,3
"486",3,7,2,2,0,0,3,2,2,9
"487",1,3,1,1,3,3,2,0,0,1
"488",3,2,0,1,6,0,3,5,0,9
"489",0,4,3,3,0,10,6,2,2,0
"490",1,2,0,0,1,2,1,4,0,6
"491",0,3,1,1,1,2,0,1,7,0
"492",0,2,0,1,0,2,0,3,2,8
"493",0,0,0,3,1,4,0,8,0,2
"494",1,1,4,1,1,6,0,1,0,7
"495",0,4,6,0,2,5,3,0,0,4
"496",0,2,1,0,3,0,1,0,2,0
"497",3,2,5,7,3,1,1,0,4,4
"498",0,2,4,12,2,0,0,0,0,0
"499",0,0,0,1,1,2,2,3,3,7
"500",0,2,0,0,1,5,3,0,1,0
"501",2,4,4,0,0,3,0,1,0,0
"502",3,4,2,3,0,3,0,1,0,1
"503",9,1,2,2,3,1,0,1,3,2
"504",0,4,2,2,0,3,3,3,0,1
"505",0,0,5,2,1,5,11,0,0,0
"506",0,0,7,1,0,2,0,1,0,2
"507",7,1,6,3,1,5,0,6,1,4
"508",0,1,0,0,1,0,2,1,7,0
"509",3,4,5,2,4,1,4,0,2,4
"510",2,0,0,5,3,4,3,0,2,6
"511",0,2,2,3,2,0,1,1,0,8
"512",0,0,2,4,0,2,1,2,6,1
"513",10,1,1,1,2,4,0,4,5,3
"514",4,0,1,1,4,1,2,0,0,0
"515",4,2,0,1,1,0,5,0,7,10
"516",2,0,3,0,2,0,0,1,0,4
"517",5,0,5,1,2,2,3,6,4,0
"518",4,6,0,1,1,1,3,0,3,0
"519",0,0,3,3,6,0,0,0,2,0
"520",0,1,1,2,8,1,2,5,2,0
"521",1,7,1,0,2,3,0,4,9,0
"522",7,0,0,2,2,3,2,2,0,1
"523",1,3,0,0,3,7,0,4,2,4
"524",1,2,13,4,6,0,6,11,0,0
"525",4,2,0,2,1,4,5,1,4,7
"526",0,9,3,5,9,2,0,0,0,0
"527",2,3,2,2,0,0,5,1,2,1
"528",0,1,1,4,2,3,1,0,2,0
"529",1,0,5,3,5,3,5,1,0,8
"530",8,3,0,3,0,3,4,2,3,5
"531",0,3,2,4,2,1,2,2,3,1
"532",2,1,6,0,2,6,2,10,0,1
"533",2,1,1,3,0,10,1,7,0,1
"534",4,9,2,0,2,0,4,6,0,8
"535",2,1,0,3,4,0,3,0,1,0
"536",2,2,1,1,7,1,7,1,6,8
"537",10,6,2,1,1,1,0,6,7,4
"538",3,2,4,2,0,6,0,1,3,5
"539",0,0,3,5,0,0,3,2,2,0
"540",6,0,2,0,1,6,0,0,2,0
"541",6,0,1,0,1,1,3,0,2,4
"542",8,2,2,0,3,2,1,1,1,5
"543",7,0,0,5,4,1,9,6,2,1
"544",6,1,0,5,2,12,3,2,5,5
"545",0,4,2,1,18,1,0,2,1,9
"546",1,4,4,0,8,1,2,0,3,1
"547",6,0,3,0,0,1,7,8,0,0
"548",4,3,1,0,0,0,0,0,5,2
"549",2,0,1,0,2,0,5,3,0,3
"550",0,7,1,2,1,4,3,0,1,0
"551",4,1,10,3,0,7,6,6,10,0
"552",2,2,1,1,0,1,5,1,0,2
"553",2,0,2,2,0,5,1,3,5,1
"554",0,1,0,2,3,3,9,1,0,1
"555",9,1,0,0,3,4,0,5,2,0
"556",2,9,1,1,1,0,0,1,0,4
"557",0,3,1,6,11,1,1,6,2,0
"558",0,0,3,0,3,1,2,1,3,0
"559",1,4,6,1,0,1,4,0,0,0
"560",0,5,5,1,0,2,4,0,0,0
"561",1,3,0,1,0,0,0,1,0,0
"562",3,2,0,2,6,0,0,0,4,0
"563",4,0,4,1,0,1,0,0,5,5
"564",0,0,3,5,1,8,3,2,4,0
"565",1,0,3,2,0,3,2,0,5,0
"566",0,8,0,6,3,1,0,3,4,1
"567",4,1,0,0,4,7,4,6,8,2
"568",0,5,8,1,3,1,2,0,0,0
"569",0,4,3,4,0,2,8,8,0,1
"570",0,0,0,1,2,8,10,3,0,4
"571",1,3,0,3,0,1,4,2,5,5
"572",6,0,3,0,4,4,0,1,2,1
"573",4,3,0,0,4,0,0,7,3,1
"574",2,0,1,4,1,2,1,2,1,0
"575",0,2,4,3,0,1,2,3,1,3
"576",0,2,2,0,0,1,0,3,1,0
"577",0,1,0,0,5,7,2,1,1,1
"578",1,7,1,4,2,2,4,1,1,2
"579",3,1,1,2,1,2,9,0,1,1
"580",3,4,6,8,6,2,3,4,1,0
"581",0,4,2,0,8,7,9,4,4,0
"582",5,0,1,3,1,1,0,1,0,10
"583",1,3,7,0,0,1,0,0,2,0
"584",0,0,3,0,2,6,1,3,0,2
"585",6,4,0,2,0,2,4,3,12,2
"586",1,4,0,3,0,4,2,1,5,6
"587",1,1,3,0,0,14,0,1,7,2
"588",0,2,0,1,4,0,3,0,1,1
"589",1,1,2,2,0,5,7,0,1,1
"590",1,0,1,0,1,1,1,11,0,2
"591",0,1,2,3,1,0,0,6,1,3
"592",3,6,1,2,0,6,3,0,2,2
"593",10,13,4,0,1,0,2,2,3,1
"594",0,2,3,1,2,1,0,0,0,6
"595",1,0,6,0,2,3,7,2,9,1
"596",1,0,8,3,1,0,0,0,2,3
"597",1,6,0,0,2,8,1,1,1,2
"598",3,1,3,1,3,1,2,2,0,13
"599",0,2,2,5,1,1,8,1,0,4
"600",2,0,15,5,1,2,3,0,0,0
"601",3,0,6,0,3,1,1,1,3,0
"602",4,1,0,5,0,0,1,8,1,3
"603",0,3,1,7,8,7,2,0,3,1
"604",0,0,7,1,0,3,2,7,1,2
"605",9,0,4,1,1,0,2,1,0,2
