Rank,Athlete,Nation,D,E,ND,Total,year,round
47,Stefanie Siegenthaler,SUI,5.0,6.7,,11.7,2021,qual
48,Margaux Daveloose,BEL,5.1,6.6,,11.7,2021,qual
49,Anastasiia Motak,UKR,5.3,6.5,-0.1,11.7,2021,qual
50,Gudrun Hardardottir,ISL,4.7,6.966,,11.666,2021,qual
51,Beatriz Cardoso,POR,4.9,6.766,,11.666,2021,qual
52,Alice D’Amato,ITA,5.0,6.666,,11.666,2021,qual
53,Elena Gerasimova,RUS,5.5,6.1,,11.6,2021,qual
54,Megan Ryan,IRL,4.9,6.691,,11.591,2021,qual
55,Freja Petersen,DEN,4.9,6.625,,11.525,2021,qual
56,Jessica Gadirova,GBR,4.7,6.733,,11.433,2021,qual
57,Ana Derek,CRO,4.7,6.7,,11.4,2021,qual
58,Hildur Gudmundsdottir,ISL,4.4,7.033,-0.1,11.333,2021,qual
59,Julie Søderstrøm,NOR,4.5,6.833,,11.333,2021,qual
60,Noémie Louon,BEL,5.0,6.333,,11.333,2021,qual
61,Camille Rasmussen,DEN,4.8,6.5,,11.3,2021,qual
62,Christina Zwicker,CRO,4.7,6.566,,11.266,2021,qual
63,Ofir Netzer,ISR,4.5,6.7,,11.2,2021,qual
64,Magdalini Tsiori,GRE,4.4,7.266,-0.5,11.166,2021,qual
65,Lilli Habisreutinger,SUI,5.0,6.233,-0.1,11.133,2021,qual
66,Lea Bernards,FIN,4.4,6.633,,11.033,2021,qual
67,Margret Kristinsdottir,ISL,4.6,6.466,-0.1,10.966,2021,qual
68,Jasmin Mader,AUT,4.4,6.533,,10.933,2021,qual
69,Ganna Metelitsa,BLR,4.5,6.433,,10.933,2021,qual
70,Juliane Tøssebro,orway,4.4,6.5,,10.9,2021,qual
71,Anina Wildi,SUI,4.8,6.1,,10.9,2021,qual
72,Anna Locmele,LAT,3.9,6.966,,10.866,2021,qual
73,Anastasiya Alistratava,BLR,5.0,5.966,-0.1,10.866,2021,qual
74,Francisca Cancela,POR,4.4,6.433,,10.833,2021,qual
75,Anastasiya Smantsar,BLR,4.7,6.166,-0.1,10.766,2021,qual
76,Yelyzaveta Hubareva,UKR,5.1,5.733,-0.1,10.733,2021,qual
77,Agata Vostruchovaite,LTU,4.4,6.333,-0.1,10.633,2021,qual
78,Marina Nekrasova,AZE,4.9,5.733,,10.633,2021,qual
79,Sarah Voss,GER,4.8,5.8,,10.6,2021,qual
80,Noga Shalit,ISR,4.7,5.833,,10.533,2021,qual
81,Jutta Verkest,BEL,5.3,5.166,,10.466,2021,qual
82,Astrid Breckmann,DEN,4.5,5.9,,10.4,2021,qual
83,Cemre Kendirci,TUR,4.8,5.566,,10.366,2021,qual
84,Josephine Sørensen,DEN,4.6,5.85,-0.1,10.35,2021,qual
85,Lucija Hribar,SLO,4.1,6.233,,10.333,2021,qual
86,Iida Haapala,FIN,4.6,5.666,,10.266,2021,qual
87,Celeste Mordenti,LUX,4.6,5.6,,10.2,2021,qual
88,Emelie Westlund,SWE,4.8,5.133,,9.933,2021,qual
89,Diana Varinska,UKR,4.2,5.633,,9.833,2021,qual
90,Sara Sulekic,CRO,4.5,5.341,-0.1,9.741,2021,qual
91,Rafaela Ferreira,POR,4.2,5.533,,9.733,2021,qual
92,Antonia Duta,ROU,4.9,4.733,,9.633,2021,qual
93,Emilia Kulczynska,POL,4.8,4.8,,9.6,2021,qual
94,Chrysa Balami,GRE,5.1,4.433,-0.1,9.433,2021,qual
95,Lola Schleich,LUX,3.8,5.3,,9.1,2021,qual
96,Edel Fosse,NOR,4.1,4.866,,8.966,2021,qual
97,Arina Olenova,LAT,4.5,4.466,,8.966,2021,qual
98,Elvira Katsali,GRE,4.9,4.366,-0.4,8.866,2021,qual
99,Milana Minakovskaya,AZE,4.7,4.108,-0.1,8.708,2021,qual
100,Marija Ribalcenko,LAT,4.7,4.066,-0.1,8.666,2021,qual
