Name,BB,FX,UB,VT
ella murphy,0.0,0.0,12.4,0.0
elle mueller,0.0,0.0,13.383333333333333,0.0
emjae frazier,0.0,0.0,12.2,0.0
eveylynn lowe,0.0,0.0,12.075,0.0
gabby disidore,0.0,0.0,9.35,0.0
jade carey,0.0,0.0,13.249500000000001,0.0
jordan chiles,0.0,0.0,13.4332,0.0
jordis eichman,0.0,0.0,12.9,0.0
joscelyn roberson,0.0,0.0,11.22,0.0
kaliya lincoln,0.0,0.0,12.95,0.0
karis german,0.0,0.0,12.9,0.0
katelyn jong,0.0,0.0,13.138666666666666,0.0
katelyn rosen,0.0,0.0,12.075,0.0
kayla dicello,0.0,0.0,13.210999999999999,0.0
kelise woolford,0.0,0.0,12.4,0.0
konnor mcclain,0.0,0.0,12.45,0.0
lauren little,0.0,0.0,13.45,0.0
leanne wong,0.0,0.0,13.708,0.0
leigh anne elliott,0.0,0.0,12.25,0.0
levi jung-ruivivar,0.0,0.0,12.6,0.0
lexi zeiss,0.0,0.0,12.9,0.0
malea milton,0.0,0.0,12.0,0.0
marissa neal,0.0,0.0,11.433333333333332,0.0
michelle pineda,0.0,0.0,12.35,0.0
myli lew,0.0,0.0,13.65,0.0
nola matthews,0.0,0.0,13.7375,0.0
norah christian,0.0,0.0,12.05,0.0
paityn walker,0.0,0.0,13.55,0.0
shilese jones,0.0,0.0,14.655000000000001,0.0
simone biles,0.0,0.0,14.23325,0.0
skye blakely,0.0,0.0,13.469800000000001,0.0
skylar draser,0.0,0.0,12.8,0.0
sydney barros,0.0,0.0,13.0,0.0
tiana sumanasekera,0.0,0.0,12.450000000000001,0.0
zoe miller,0.0,0.0,14.380714285714285,0.0
addison fatta,0.0,12.45,0.0,0.0
alicia zhou,0.0,12.775,0.0,0.0
amari drayton,0.0,11.5,0.0,0.0
amelia disidore,0.0,12.933333333333332,0.0,0.0
annalisa milton,0.0,11.274999999999999,0.0,0.0
ashlee sullivan,0.0,12.950000000000001,0.0,0.0
avery king,0.0,12.45,0.0,0.0
avery moll,0.0,12.45,0.0,0.0
brooke pierson,0.0,11.983333333333334,0.0,0.0
brynn torry,0.0,11.85,0.0,0.0
camryn richardson,0.0,11.65,0.0,0.0
charlotte booth,0.0,12.216666666666667,0.0,0.0
chloe cho,0.0,11.825,0.0,0.0
christiane popovich,0.0,12.3,0.0,0.0
ciena alipio,0.0,11.85,0.0,0.0
dulcy caylor,0.0,12.25,0.0,0.0
ella murphy,0.0,12.4,0.0,0.0
elle mueller,0.0,12.875,0.0,0.0
emjae frazier,0.0,13.5,0.0,0.0
eveylynn lowe,0.0,12.725000000000001,0.0,0.0
gabriella van frayen,0.0,12.1,0.0,0.0
jade carey,0.0,13.988333333333335,0.0,0.0
jordan chiles,0.0,13.6665,0.0,0.0
jordis eichman,0.0,12.5,0.0,0.0
joscelyn roberson,0.0,13.631125,0.0,0.0
kaliya lincoln,0.0,13.90825,0.0,0.0
karis german,0.0,13.15,0.0,0.0
katelyn jong,0.0,13.153200000000002,0.0,0.0
katelyn rosen,0.0,12.85,0.0,0.0
kayla dicello,0.0,13.56225,0.0,0.0
kelise woolford,0.0,11.5,0.0,0.0
konnor mcclain,0.0,13.15,0.0,0.0
leanne wong,0.0,13.35,0.0,0.0
leigh anne elliott,0.0,9.0,0.0,0.0
levi jung-ruivivar,0.0,12.5915,0.0,0.0
lexi zeiss,0.0,13.075,0.0,0.0
malea milton,0.0,11.2,0.0,0.0
marissa neal,0.0,11.983333333333334,0.0,0.0
michelle pineda,0.0,12.75,0.0,0.0
nola matthews,0.0,13.05,0.0,0.0
norah christian,0.0,11.274999999999999,0.0,0.0
paityn walker,0.0,11.05,0.0,0.0
shilese jones,0.0,13.6732,0.0,0.0
simone biles,0.0,14.67475,0.0,0.0
skye blakely,0.0,13.425,0.0,0.0
skylar draser,0.0,11.65,0.0,0.0
sydney barros,0.0,12.6,0.0,0.0
tiana sumanasekera,0.0,12.95,0.0,0.0
zoe miller,0.0,12.0125,0.0,0.0
addison fatta,0.0,0.0,0.0,13.09125
ashlee sullivan,0.0,0.0,0.0,13.1
jade carey,0.0,0.0,0.0,14.555333333333332
jordan chiles,0.0,0.0,0.0,14.2597
joscelyn roberson,0.0,0.0,0.0,14.041300000000001
kayla dicello,0.0,0.0,0.0,14.133
leanne wong,0.0,0.0,0.0,13.624625
nola matthews,0.0,0.0,0.0,13.1
shilese jones,0.0,0.0,0.0,14.233
simone biles,0.0,0.0,0.0,14.8196
zoe miller,0.0,0.0,0.0,13.9
