name,Rank,D_Score,E_Score,Penalty,Score,Apparatus
mike fletcher,37.0,4.666666666666667,7.066666666666666,0.0,11.733333333333334,hb
samuel phillips,44.5,4.7,6.9,0.0,11.6,hb
kazuki hayashi,39.5,4.8,6.800000000000001,0.0,11.6,hb
izaiha mlay,49.5,4.55,6.675,0.0,11.225,hb
ryan swatscheno,45.5,3.75,7.425,0.0,11.175,hb
rithik puri,29.5,4.55,6.574999999999999,0.0,11.125,hb
colin flores,47.0,4.45,6.625,0.0,11.075,hb
will fleck,53.0,4.1,6.725,0.0,10.825,hb
garrett braunton,29.5,4.85,5.65,0.0,10.5,hb
khoi young,4.125,5.425,9.339375,0.025,14.739375,vt
curran phillips,5.5,5.2,9.525,0.0,14.725,vt
paul juda,4.4,5.279999999999999,9.2897,0.02,14.549700000000001,vt
donnell whittenburg,6.666666666666667,5.466666666666666,9.022,0.0,14.488666666666667,vt
brody malone,13.75,5.2,9.25825,0.0,14.45825,vt
asher hong,8.571428571428571,5.828571428571428,8.665071428571428,0.1,14.393642857142856,vt
landen blixt,9.0,5.066666666666666,9.299999999999999,0.0,14.366666666666667,vt
joshua andrew karnes,15.5,5.6,8.883,0.15,14.332999999999998,vt
kazuki hayashi,16.0,5.2,9.100000000000001,0.0,14.3,vt
frederick nathaniel richard,12.333333333333334,5.2,9.158166666666666,0.06666666666666667,14.2915,vt
isaiah drake,11.5,5.2,9.025,0.0,14.225,vt
riley loos,7.666666666666667,5.599999999999999,8.65,0.03333333333333333,14.216666666666667,vt
kameron nelson,5.8,5.2,9.086400000000001,0.07999999999999999,14.206399999999999,vt
taylor burkhart,6.181818181818182,5.327272727272727,8.954545454545455,0.0818181818181818,14.2,vt
michael artlip,14.333333333333334,4.933333333333334,9.283333333333333,0.03333333333333333,14.183333333333332,vt
colt walker,18.5,5.199999999999999,8.95,0.0,14.15,vt
yul moldauer,21.0,5.0,9.125,0.05,14.075,vt
cameron bock,15.0,5.2,8.872,0.03333333333333333,14.038666666666666,vt
daniel simmons,22.5,5.2,8.774999999999999,0.0,13.975000000000001,vt
tyler flores,21.5,4.8,9.15,0.0,13.95,vt
zachary nunez,23.5,5.0,8.925,0.0,13.925,vt
jeremy bischoff,22.333333333333332,4.8,9.1,0.0,13.9,vt
matt cormier,19.666666666666668,5.333333333333333,8.683333333333332,0.13333333333333333,13.883333333333333,vt
aidan cuy,25.5,5.0,8.8,0.0,13.8,vt
michael jaroh,24.666666666666668,5.2,8.666666666666666,0.09999999999999999,13.766666666666666,vt
mike fletcher,23.0,5.2,8.600000000000001,0.05,13.75,vt
caleb melton,20.5,5.2,8.475,0.05,13.625,vt
ian gunther,33.5,4.8,8.8,0.05,13.55,vt
connor mccool,30.5,5.2,8.399999999999999,0.05,13.55,vt
toby liang,38.5,5.0,8.575,0.05,13.525,vt
colin flores,35.0,5.0,8.5,0.0,13.5,vt
evan hymanson,37.0,4.666666666666667,8.65,0.0,13.316666666666668,vt
ian lasic-ellis,28.0,5.0,8.425,0.15,13.275,vt
izaiha mlay,42.5,4.8,8.75,0.3,13.25,vt
ryan swatscheno,49.0,4.8,7.875,0.05,12.625,vt
donnell whittenburg,3.9,5.9799999999999995,8.4398,0.0,14.4198,sr
alex diab,4.833333333333333,6.1000000000000005,8.044166666666667,0.0,14.144166666666665,sr
asher hong,6.0,5.955555555555556,8.044222222222222,0.0,13.999777777777778,sr
shane wiskus,5.666666666666667,5.5,8.466666666666667,0.0,13.966666666666667,sr
riley loos,4.5,5.65,8.3125,0.0,13.9625,sr
yul moldauer,9.0,5.825,8.0625,0.0,13.8875,sr
javier alfonso,6.0,5.533333333333334,8.35,0.0,13.883333333333333,sr
brody malone,9.0,5.766666666666667,7.991499999999999,0.0,13.758166666666666,sr
ian lasic-ellis,7.666666666666667,5.05,8.6805,0.0,13.7305,sr
colt walker,10.166666666666666,5.233333333333333,8.469166666666666,0.08333333333333333,13.619166666666667,sr
paul juda,17.5,5.2,8.4165,0.0,13.6165,sr
frederick nathaniel richard,19.0,5.2,8.34975,0.0,13.54975,sr
michael jaroh,12.0,4.875,8.525,0.0,13.4,sr
taylor burkhart,15.166666666666666,4.95,8.241666666666667,0.0,13.191666666666668,sr
fuzzy benas,15.0,4.800000000000001,8.375,0.0,13.175,sr
ian gunther,22.333333333333332,5.400000000000001,7.75,0.0,13.15,sr
khoi young,16.0,4.6,8.466666666666667,0.0,13.066666666666668,sr
garrett braunton,15.5,4.9,8.1,0.0,13.0,sr
colin flores,22.0,4.45,8.524999999999999,0.0,12.975,sr
cameron bock,14.2,4.84,8.1232,0.0,12.9632,sr
isaiah drake,20.25,4.8,8.125,0.0,12.925,sr
joshua andrew karnes,27.0,4.6,8.315999999999999,0.0,12.916,sr
jeremy bischoff,20.2,4.959999999999999,7.95,0.0,12.91,sr
mike fletcher,24.0,4.533333333333333,8.35,0.0,12.883333333333333,sr
evan hymanson,22.0,4.65,8.15,0.0,12.8,sr
daniel simmons,19.5,4.6,8.15,0.0,12.75,sr
troy lipis,20.333333333333332,5.8,6.916666666666667,0.0,12.716666666666667,sr
fred richard,21.5,4.85,7.800000000000001,0.0,12.649999999999999,sr
matt cormier,26.25,4.675,7.9375,0.0,12.6125,sr
joshua karnes,20.5,4.699999999999999,7.9,0.0,12.6,sr
vahe petrosyan,32.5,4.300000000000001,8.283000000000001,0.0,12.583,sr
michael artlip,18.666666666666668,4.1000000000000005,8.466666666666667,0.0,12.566666666666668,sr
toby liang,31.5,4.4,8.15,0.0,12.55,sr
noah newfeld,23.0,4.8,7.7,0.0,12.5,sr
kameron nelson,30.666666666666668,4.733333333333333,7.733333333333333,0.0,12.466666666666667,sr
landen blixt,32.25,4.25,8.175,0.0,12.425,sr
aidan cuy,37.0,4.3,8.0,0.0,12.3,sr
rithik puri,24.0,4.85,7.25,0.0,12.1,sr
kazuki hayashi,42.5,4.3,7.65,0.0,11.95,sr
caleb melton,30.5,4.05,7.574999999999999,0.0,11.625,sr
izaiha mlay,50.0,4.25,6.65,0.0,10.899999999999999,sr
ryan swatscheno,51.0,3.65,7.075,0.0,10.725000000000001,sr
paul juda,12.0,5.65,8.562249999999999,0.025,14.187249999999999,fx
yul moldauer,6.0,5.640000000000001,8.513200000000001,0.0,14.153200000000002,fx
connor mccool,4.333333333333333,5.966666666666666,8.116666666666667,0.0,14.083333333333334,fx
khoi young,4.666666666666667,5.5,8.533333333333333,0.0,14.033333333333333,fx
frederick nathaniel richard,7.833333333333333,5.983333333333333,8.063666666666668,0.016666666666666666,14.030333333333333,fx
asher hong,10.875,6.0125,7.895625,0.0625,13.845625,fx
taylor burkhart,9.428571428571429,6.0,7.728571428571429,0.014285714285714287,13.714285714285714,fx
joshua andrew karnes,13.5,5.3,8.383,0.0,13.683,fx
javier alfonso,11.0,4.966666666666667,8.683333333333334,0.0,13.65,fx
donnell whittenburg,10.375,6.2,7.537375,0.1,13.637375,fx
samuel phillips,15.5,5.5,8.375,0.25,13.625,fx
riley loos,8.0,5.725,7.924875,0.025,13.624875,fx
taylor christopulos,11.5,5.5,8.125,0.05,13.575,fx
cameron bock,12.4,5.340000000000001,8.2432,0.04,13.543199999999999,fx
brody malone,29.25,5.9,7.6747499999999995,0.05,13.52475,fx
jack freeman,11.666666666666666,5.400000000000001,8.083333333333334,0.0,13.483333333333334,fx
ian lasic-ellis,8.0,5.6499999999999995,7.8053333333333335,0.0,13.455333333333334,fx
daniel simmons,18.5,5.3,8.225000000000001,0.1,13.425,fx
isaiah drake,14.5,5.4,8.0,0.0,13.4,fx
shane wiskus,12.0,5.733333333333333,7.866666666666666,0.19999999999999998,13.4,fx
kameron nelson,6.0,6.0,7.275,0.025,13.25,fx
alex diab,9.5,5.7,7.675,0.15,13.225000000000001,fx
toby liang,19.5,5.0,8.15,0.0,13.15,fx
michael artlip,17.0,5.0,8.183333333333334,0.03333333333333333,13.15,fx
fred richard,16.0,5.85,7.225,0.0,13.075,fx
kazuki hayashi,21.0,5.4,7.65,0.0,13.05,fx
jeremy bischoff,16.5,5.625,7.375,0.0,13.0,fx
colin flores,24.0,4.800000000000001,8.275,0.1,12.975000000000001,fx
landen blixt,26.5,5.35,7.74575,0.175,12.92075,fx
colt walker,38.8,5.4399999999999995,7.4232,0.06000000000000001,12.803199999999999,fx
ian gunther,25.0,5.066666666666666,7.683333333333334,0.0,12.75,fx
joshua karnes,17.5,5.3,7.199999999999999,0.0,12.5,fx
garrett braunton,19.5,5.55,6.95,0.0,12.5,fx
caleb melton,26.5,5.6,6.9,0.05,12.45,fx
matt cormier,23.0,5.725,6.7375,0.175,12.2875,fx
rithik puri,23.0,5.15,7.175000000000001,0.05,12.275,fx
evan hymanson,31.0,5.375,7.0625,0.19999999999999998,12.2375,fx
mike fletcher,35.666666666666664,5.0,6.966666666666666,0.0,11.966666666666667,fx
noah newfeld,26.5,5.050000000000001,6.975,0.15,11.875,fx
michael jaroh,35.25,4.95,6.9125,0.0,11.8625,fx
ryan swatscheno,44.5,4.6,6.65,0.0,11.25,fx
curran phillips,2.111111111111111,6.733333333333333,8.029555555555556,0.0,14.762888888888888,pb
asher hong,7.0,6.0,8.579444444444444,0.0,14.579444444444444,pb
shane wiskus,5.0,6.1,8.3875,0.0,14.4875,pb
brody malone,8.142857142857142,5.914285714285714,8.571142857142856,0.0,14.48542857142857,pb
colt walker,9.166666666666666,6.083333333333333,8.374666666666666,0.0,14.458,pb
yul moldauer,5.142857142857143,6.457142857142856,7.928428571428571,0.0,14.385571428571428,pb
joshua karnes,6.25,5.825,8.4,0.0,14.225,pb
frederick nathaniel richard,8.5,5.966666666666666,8.199833333333332,0.0,14.1665,pb
cameron bock,9.6,5.8,8.3166,0.0,14.1166,pb
paul juda,7.333333333333333,5.133333333333334,8.960666666666667,0.0,14.094,pb
joshua andrew karnes,14.5,6.0,7.999499999999999,0.0,13.9995,pb
ian lasic-ellis,10.4,5.6,8.3032,0.0,13.903200000000002,pb
khoi young,19.25,5.55,8.32075,0.0,13.870750000000001,pb
fuzzy benas,11.5,5.25,8.6,0.0,13.85,pb
donnell whittenburg,14.714285714285714,5.671428571428572,8.171285714285714,0.0,13.842714285714285,pb
taylor burkhart,10.25,5.525,8.3,0.0,13.825,pb
fred richard,13.666666666666666,5.633333333333333,8.066666666666666,0.0,13.700000000000001,pb
zachary nunez,13.5,5.05,8.625,0.0,13.675,pb
blake sun,14.2,6.16,7.5132,0.0,13.6732,pb
riley loos,12.2,5.42,8.15,0.0,13.569999999999999,pb
garrett braunton,17.0,5.449999999999999,7.9,0.0,13.350000000000001,pb
isaiah drake,16.333333333333332,5.033333333333333,8.299999999999999,0.0,13.333333333333334,pb
daniel simmons,21.5,5.1,8.2,0.0,13.3,pb
noah newfeld,18.0,5.3,7.975,0.0,13.274999999999999,pb
landen blixt,19.0,4.975,8.279,0.0,13.254000000000001,pb
michael jaroh,22.0,5.0249999999999995,8.225000000000001,0.0,13.25,pb
jeremy bischoff,21.25,5.6,7.65,0.0,13.25,pb
taylor christopulos,21.0,4.9,8.15,0.0,13.05,pb
rithik puri,21.5,4.9,8.125,0.0,13.025,pb
mike fletcher,30.333333333333332,5.233333333333333,7.783333333333334,0.0,13.016666666666666,pb
evan hymanson,21.5,5.225,7.7875,0.0,13.0125,pb
javier alfonso,26.333333333333332,5.033333333333333,7.95,0.0,12.983333333333334,pb
aidan cuy,32.0,4.8,8.15,0.0,12.95,pb
kazuki hayashi,31.0,4.95,7.925,0.0,12.875,pb
ian gunther,22.0,5.366666666666667,7.483333333333334,0.0,12.85,pb
will fleck,39.0,4.2,8.525,0.0,12.725,pb
tyler flores,41.0,4.6,8.05,0.0,12.65,pb
michael artlip,26.75,4.375,8.1625,0.0,12.5375,pb
kameron nelson,40.333333333333336,5.033333333333334,7.3999999999999995,0.0,12.433333333333332,pb
matt cormier,36.5,5.05,7.275,0.0,12.325,pb
caleb melton,27.0,4.800000000000001,7.475,0.0,12.275,pb
colin flores,50.0,4.8,7.375,0.0,12.175,pb
toby liang,29.0,4.550000000000001,7.55,0.0,12.1,pb
drake andrews,37.5,5.0,7.075,0.0,12.075,pb
vahe petrosyan,47.5,5.0,6.8,0.0,11.8,pb
izaiha mlay,56.0,4.35,7.375,0.0,11.725000000000001,pb
ignacio yockers,55.0,4.449999999999999,7.0,0.0,11.45,pb
stephen nedoroscik,3.0,6.414285714285714,7.840285714285714,0.0,14.254571428571428,ph
ian skirkey,3.5,6.4,7.6165,0.0,14.0165,ph
khoi young,6.333333333333333,6.116666666666667,7.872,0.0,13.988666666666667,ph
frederick nathaniel richard,9.0,5.9,7.9198,0.0,13.8198,ph
brody malone,8.285714285714286,5.8,7.945,0.0,13.745000000000001,ph
zachary nunez,4.5,5.4,8.25,0.0,13.649999999999999,ph
patrick hoopes,4.666666666666667,6.433333333333334,7.1499999999999995,0.0,13.583333333333334,ph
brandon dang,7.0,6.3,7.25,0.0,13.55,ph
joshua andrew karnes,13.0,5.55,7.766500000000001,0.0,13.316500000000001,ph
cameron bock,9.333333333333334,5.383333333333333,7.9165,0.0,13.299833333333334,ph
taylor christopulos,9.5,4.75,8.524999999999999,0.0,13.275,ph
paul juda,14.5,5.4,7.833,0.0,13.233,ph
blake sun,12.8,5.38,7.8432,0.0,13.2232,ph
asher hong,20.11111111111111,5.677777777777778,7.4462222222222225,0.0,13.124,ph
ian lasic-ellis,12.4,5.14,7.9532,0.0,13.093200000000001,ph
mike fletcher,14.666666666666666,4.8999999999999995,8.049999999999999,0.0,12.950000000000001,ph
colt walker,14.0,5.425000000000001,7.512499999999999,0.0,12.9375,ph
shane wiskus,13.333333333333334,5.333333333333333,7.583333333333333,0.0,12.916666666666666,ph
yul moldauer,25.833333333333332,5.6000000000000005,7.269333333333333,0.0,12.869333333333332,ph
toby liang,15.5,4.199999999999999,8.65,0.0,12.85,ph
michael jaroh,18.25,5.15,7.6875,0.0,12.8375,ph
vahe petrosyan,21.0,5.5,7.241499999999999,0.0,12.7415,ph
ian gunther,20.666666666666668,5.6000000000000005,7.05,0.0,12.65,ph
riley loos,18.666666666666668,5.483333333333333,7.158333333333334,0.0,12.641666666666666,ph
ignacio yockers,19.0,6.366666666666667,6.25,0.0,12.616666666666667,ph
fred richard,15.666666666666666,5.8,6.7,0.0,12.5,ph
landen blixt,23.75,4.949999999999999,7.50825,0.075,12.38325,ph
jeremy bischoff,19.2,5.2,7.0,0.0,12.2,ph
noah newfeld,17.0,5.1,7.075,0.0,12.175,ph
taylor burkhart,24.0,4.88,7.24,0.0,12.120000000000001,ph
fuzzy benas,26.0,4.95,7.15,0.0,12.100000000000001,ph
colin flores,24.0,4.25,7.85,0.0,12.1,ph
donnell whittenburg,31.333333333333332,4.933333333333334,7.083166666666667,0.0,12.0165,ph
isaiah drake,28.5,4.8,7.1125,0.0,11.9125,ph
michael artlip,25.75,4.65,7.0875,0.0,11.7375,ph
joshua karnes,18.25,5.425,6.2375,0.0,11.6625,ph
garrett braunton,22.0,4.300000000000001,7.3,0.0,11.600000000000001,ph
will fleck,36.5,4.6,6.875,0.0,11.475,ph
matt cormier,35.5,4.4,6.375,0.0,10.775,ph
evan hymanson,34.75,4.175,6.5875,0.0,10.7625,ph
caleb melton,33.5,4.75,5.699999999999999,0.0,10.45,ph
rithik puri,32.0,4.5,5.825,0.0,10.325,ph
kameron nelson,32.0,3.6,6.699999999999999,0.0,10.3,ph
tyler flores,47.0,4.4,5.625,0.0,10.024999999999999,ph
kazuki hayashi,48.0,3.85,5.975,0.0,9.825,ph
drake andrews,47.5,3.4,7.925000000000001,2.0,9.325,ph
izaiha mlay,53.5,3.3499999999999996,5.0,0.0,8.350000000000001,ph
