Name,Country,Competition,Location,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,"Liverpool, England",final,FX,8.0,5.2,6.75,0.0,11.95
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,FX,4.0,5.3,7.9,0.0,13.2
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,"Liverpool, England",final,UB,5.0,5.8,8.3,0.0,14.1
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,UB,2.0,5.7,8.0,0.0,13.7
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,VT,16.0,5.0,9.3,0.0,14.3
Ondine ACHAMPONG,GBR,2023 Senior European Championships,"Antalya, Turkey",final,BB,4.0,5.9,7.633,0.0,13.533
Ondine ACHAMPONG,GBR,2023 Senior European Championships,"Antalya, Turkey",qual,BB,4.0,5.7,7.666,0.0,13.366
Ondine ACHAMPONG,GBR,2023 Senior European Championships,"Antalya, Turkey",qual,FX,8.0,5.3,7.866,0.0,13.166
Ondine ACHAMPONG,GBR,2023 Senior European Championships,"Antalya, Turkey",qual,VT,6.0,5.0,8.966,0.0,13.966
Barbara ACHONDO ANDINO,CHI,2022 Osijek World Challenge Cup,"Osijek, Croatia",qual,FX,13.0,4.7,7.333,0.1,11.933
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,BB,17.0,3.6,7.6,0.1,11.1
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,BB,31.0,3.8,7.233,0.0,11.033
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,FX,10.0,4.5,7.833,0.0,12.333
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",final,FX,8.0,4.4,7.9,0.1,12.2
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,FX,10.0,4.6,8.033,0.0,12.633
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,UB,24.0,3.4,4.866,0.0,8.266
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,UB,26.0,4.2,7.233,0.0,11.433
Barbara ACHONDO ANDINO,CHI,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,VT,24.0,3.2,8.2,0.0,11.4
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,"Munich, Germany",qual,BB,35.0,4.7,7.533,0.0,12.233
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,"Munich, Germany",qual,FX,91.0,3.6,7.533,0.0,11.133
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,"Munich, Germany",qual,UB,57.0,4.1,7.633,0.0,11.733
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,"Munich, Germany",qual,VT,69.0,3.8,8.533,0.0,12.333
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,"Antalya, Turkey",qual,BB,57.0,4.8,6.466,0.1,11.166
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,"Antalya, Turkey",qual,FX,78.0,4.5,7.066,0.0,11.566
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,"Antalya, Turkey",qual,UB,54.0,4.3,7.933,0.0,12.233
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,"Antalya, Turkey",qual,VT,82.0,3.8,8.5,0.0,12.3
Jess ADAMSON,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,BB,54.0,4.3,5.4,0.0,9.7
Jess ADAMSON,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,FX,52.0,4.0,6.45,0.0,10.45
Jess ADAMSON,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,UB,24.0,3.7,7.6,0.0,11.3
Jess ADAMSON,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,VT,44.0,3.6,8.4,0.0,12.0
Ruba ALDAOUD,JOR,2023 Cairo World Cup,"Cairo, Egypt",qual,VT,23.0,3.2,8.6,0.0,11.8
Ruba ALDAOUD,JOR,2023 Cairo World Cup,"Cairo, Egypt",qual,VT,23.0,1.6,8.566,0.0,10.166
Katyna ALICEA,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,BB,48.0,4.3,4.3,0.0,8.6
Ciena ALIPIO,USA,2022 U.S. Classic,"West Valley City, Utah",AAfinal,BB,12.0,4.6,6.8,0.0,11.4
Ciena ALIPIO,USA,2022 U.S. Classic,"West Valley City, Utah",AAfinal,FX,6.0,4.5,7.7,0.0,12.2
Ciena ALIPIO,USA,2022 U.S. Classic,"West Valley City, Utah",AAfinal,UB,11.0,4.6,7.85,0.0,12.45
Ciena ALIPIO,USA,2022 Winter Cup,"Frisco, Texas",AAfinal,BB,17.0,5.6,6.65,0.0,12.25
Ciena ALIPIO,USA,2022 Winter Cup,"Frisco, Texas",AAfinal,FX,19.0,5.0,6.85,0.0,11.85
Ciena ALIPIO,USA,2022 Winter Cup,"Frisco, Texas",AAfinal,UB,11.0,4.6,8.3,0.0,12.9
Alejandra ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,BB,22.0,4.3,7.266,0.0,11.566
Alejandra ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,FX,44.0,4.3,6.2,0.1,10.4
Alejandra ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,UB,37.0,3.6,7.333,0.0,10.933
Alejandra Sofia ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,BB,24.0,4.3,4.833,0.0,9.133
Alejandra Sofia ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,FX,23.0,4.5,6.766,0.0,11.266
Alejandra Sofia ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,UB,21.0,3.5,7.1,0.0,10.6
Alejandra Sofia ALVAREZ DIAZ,PUR,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",AAfinal,VT,17.0,4.2,8.433,0.0,12.633
Namuunaa AMGALAN,MGL,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,BB,38.0,4.5,4.433,0.0,8.933
Namuunaa AMGALAN,MGL,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,FX,38.0,3.5,5.967,0.0,9.467
Mei AMORELLI,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,BB,22.0,4.2,7.3,0.0,11.5
Mei AMORELLI,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,FX,31.0,4.3,6.7,0.0,11.0
Mei AMORELLI,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,UB,35.0,3.4,6.5,0.0,9.9
Mei AMORELLI,GBR,2023 British Gymnastics Championships,"Liverpool, England",qual,VT,30.0,3.4,8.7,0.0,12.1
Lobar AMRILLAEVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,BB,25.0,4.8,6.367,0.0,11.167
Lobar AMRILLAEVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,FX,22.0,4.7,6.567,0.0,11.267
Lobar AMRILLAEVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,UB,30.0,3.6,6.033,0.0,9.633
Lobar AMRILLAEVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,BB,37.0,4.3,6.166,0.0,10.466
Lobar AMRILLAEVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,FX,12.0,4.8,7.933,0.0,12.733
Lobar AMRILLAEVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,UB,32.0,4.3,6.166,0.0,10.466
Lobar AMRILLAEVA,UZB,2023 Baku World Cup,"Baku, Azerbaijan",qual,BB,17.0,4.9,7.2,0.0,12.1
Lobar AMRILLAEVA,UZB,2023 Baku World Cup,"Baku, Azerbaijan",qual,FX,21.0,4.9,7.166,0.1,11.966
Lobar AMRILLAEVA,UZB,2023 Baku World Cup,"Baku, Azerbaijan",qual,UB,28.0,3.6,6.3,0.0,9.9
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup,"Varna, Bulgaria",qual,BB,26.0,4.9,5.433,0.1,10.233
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup,"Varna, Bulgaria",qual,FX,18.0,4.6,6.333,0.0,10.933
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup,"Varna, Bulgaria",qual,UB,16.0,4.3,6.133,0.0,10.433
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup,"Varna, Bulgaria",qual,VT,9.0,3.8,8.566,0.0,12.366
Lobar AMRILLAEVA,UZB,2023 Varna World Challenge Cup,"Varna, Bulgaria",qual,VT,9.0,3.4,8.733,0.0,12.133
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,BB,19.0,5.2,6.7,0.0,11.9
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,BB,9.0,5.1,6.933,0.0,12.033
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,FX,12.0,5.1,7.566,0.1,12.566
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,FX,14.0,5.0,6.4,0.3,11.1
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",final,UB,1.0,6.1,8.166,0.0,14.266
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,UB,3.0,6.0,7.933,0.0,13.933
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,UB,2.0,6.1,7.533,0.0,13.633
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,VT,1.0,5.6,8.2,0.3,13.5
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",final,VT,1.0,5.0,9.033,0.1,13.933
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,VT,1.0,5.6,8.366,0.1,13.866
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",final,VT,1.0,5.6,8.666,0.1,14.166
Changok AN,PRK,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,VT,1.0,5.0,8.9,0.1,13.8
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,BB,13.0,4.8,7.4,0.0,12.2
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,BB,7.0,4.9,7.633,0.0,12.533
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,FX,15.0,5.2,7.2,0.0,12.4
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,FX,8.0,5.2,6.933,0.0,12.133
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",qual,UB,19.0,4.3,7.033,0.0,11.333
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,UB,6.0,4.2,7.366,0.0,11.566
Yeonjeong AN,KOR,HANGZHOU 2022 19th Asian Games,"Hangzhou, China",AAfinal,VT,6.0,4.2,8.533,0.0,12.733
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",qual,BB,22.0,4.1,3.95,0.0,8.05
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",final,FX,7.0,4.4,7.45,0.0,11.85
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",qual,FX,8.0,4.1,7.55,0.0,11.65
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",qual,VT,8.0,3.8,8.25,0.0,12.05
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",final,VT,8.0,3.6,8.2,0.1,11.7
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",final,VT,8.0,3.4,8.6,0.0,12.0
Anastasija ANANJEVA,LAT,2022 Mersin World Challenge Cup,"Mersin, Turkey",qual,VT,8.0,3.4,8.4,0.0,11.8
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,BB,117.0,4.7,3.533,0.0,8.233
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,FX,101.0,4.4,6.4,0.0,10.8
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,UB,111.0,2.7,5.933,0.0,8.633
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,VT,87.0,3.8,8.266,0.0,12.066
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,VT,24.0,3.8,8.266,0.0,12.066
Anastasija ANANJEVA,LAT,2022 Senior European Championships,"Munich, Germany",qual,VT,24.0,3.4,8.5,0.0,11.9
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,BB,72.0,4.6,6.1,0.0,10.7
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,FX,64.0,4.3,7.5,0.0,11.8
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,UB,103.0,3.4,6.7,0.0,10.1
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,VT,93.0,3.8,8.633,0.3,12.133
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,VT,15.0,3.8,8.633,0.3,12.133
Anastasija ANANJEVA,LAT,2023 Senior European Championships,"Antalya, Turkey",qual,VT,15.0,3.4,8.433,0.0,11.833
Caleigh ANDERS,RSA,2023 Tel Aviv World Challenge Cup,"Tel Aviv, Israel",final,UB,5.0,4.7,7.1,0.0,11.8
Caleigh ANDERS,RSA,2023 Tel Aviv World Challenge Cup,"Tel Aviv, Israel",qual,UB,5.0,4.7,7.167,0.0,11.867
Rebeca ANDRADE,BRA,2022 Paris World Challenge Cup,"Paris, France",qual,UB,1.0,6.2,8.4,0.0,14.6
Rebeca ANDRADE,BRA,2022 Paris World Challenge Cup,"Paris, France",final,UB,2.0,6.1,8.55,0.0,14.65
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",final,BB,1.0,6.1,8.066,0.0,14.166
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,BB,2.0,5.8,7.766,0.0,13.566
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",final,UB,2.0,6.1,8.233,0.0,14.333
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,UB,2.0,6.1,8.2,0.0,14.3
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",final,VT,1.0,5.6,9.733,0.0,15.333
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,VT,1.0,5.6,9.5,0.0,15.1
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",final,VT,1.0,5.0,9.633,0.0,14.633
Rebeca ANDRADE,BRA,SANTIAGO 2023 XIX Pan American Games,"Santiago, Chile",qual,VT,1.0,5.0,9.533,0.0,14.533
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",qual,BB,21.0,6.1,6.566,0.0,12.666
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",final,FX,3.0,5.8,8.066,0.0,13.866
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",qual,FX,3.0,5.6,8.033,0.0,13.633
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",qual,VT,26.0,4.6,8.533,0.0,13.133
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",qual,VT,13.0,4.6,8.533,0.0,13.133
Angela ANDREOLI,ITA,2022 Senior European Championships,"Munich, Germany",qual,VT,13.0,4.0,8.633,0.0,12.633
Angela ANDREOLI,ITA,2023 Senior European Championships,"Antalya, Turkey",qual,FX,11.0,5.5,7.5,0.0,13.0
Angela ANDREOLI,ITA,2023 Senior European Championships,"Antalya, Turkey",qual,VT,43.0,4.6,8.733,0.3,13.033
Angela ANDREOLI,ITA,2023 Senior European Championships,"Antalya, Turkey",qual,VT,10.0,4.6,8.733,0.3,13.033
Angela ANDREOLI,ITA,2023 Senior European Championships,"Antalya, Turkey",qual,VT,10.0,3.8,8.466,0.0,12.266
Leigh ANNE ELLIOTT,USA,2023 Core Hydration Classic,"Hoffman Estates, Illinois",AAfinal,BB,33.0,4.3,5.4,0.0,9.7
Leigh ANNE ELLIOTT,USA,2023 Core Hydration Classic,"Hoffman Estates, Illinois",AAfinal,FX,26.0,4.5,4.5,0.0,9.0
Leigh ANNE ELLIOTT,USA,2023 Core Hydration Classic,"Hoffman Estates, Illinois",AAfinal,UB,23.0,4.9,7.35,0.0,12.25
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,BB,25.0,4.4,6.933,0.0,11.333
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,UB,35.0,2.4,7.9,0.0,10.3
Minea Aino Maija ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,VT,26.0,3.6,8.633,0.0,12.233
Misella ANTILA,FIN,2023 Cottbus World Cup,"Cottbus, Germany",qual,BB,25.0,4.3,7.366,0.0,11.666
Misella ANTILA,FIN,2023 Cottbus World Cup,"Cottbus, Germany",qual,FX,27.0,4.3,6.3,0.1,10.5
Misella ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,BB,26.0,4.2,7.066,0.0,11.266
Misella ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,FX,41.0,4.6,6.266,0.3,10.566
Misella ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,UB,41.0,4.2,5.733,0.5,9.433
Misella ANTILA,FIN,2023 FISU World University Games,"Chengdu, China",qual,VT,37.0,3.2,8.666,0.0,11.866
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",final,BB,8.0,5.2,5.1,0.0,10.3
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,BB,5.0,5.2,7.3,0.0,12.5
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",final,FX,5.0,4.7,8.2,0.0,12.9
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,FX,7.0,4.7,7.95,0.0,12.65
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,UB,19.0,4.6,7.05,0.0,11.65
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",final,VT,6.0,5.0,7.65,0.3,12.35
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,VT,3.0,5.0,8.85,0.0,13.85
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",final,VT,6.0,4.4,8.45,0.0,12.85
Shannon ARCHER,GBR,2022 British Gymnastics Championships,"Liverpool, England",qual,VT,3.0,4.4,8.5,0.0,12.9
Dildora ARIPOVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,BB,15.0,4.4,7.533,0.0,11.933
Dildora ARIPOVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",final,FX,4.0,5.0,8.2,0.0,13.2
Dildora ARIPOVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,FX,12.0,4.9,7.767,0.1,12.567
Dildora ARIPOVA,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,"Doha, Qatar",qual,UB,23.0,4.6,6.467,0.0,11.067
Dildora ARIPOVA,UZB,2022 Cairo World Cup,"Cairo, Egypt",qual,BB,15.0,4.7,5.8,0.0,10.5
Dildora ARIPOVA,UZB,2022 Cairo World Cup,"Cairo, Egypt",final,FX,2.0,4.9,7.7,0.0,12.6
Dildora ARIPOVA,UZB,2022 Cairo World Cup,"Cairo, Egypt",qual,FX,2.0,4.9,7.833,0.0,12.733
Dildora ARIPOVA,UZB,2022 Cairo World Cup,"Cairo, Egypt",final,UB,8.0,4.6,5.866,0.0,10.466
Dildora ARIPOVA,UZB,2022 Cairo World Cup,"Cairo, Egypt",qual,UB,6.0,4.8,6.533,0.0,11.333
Dildora ARIPOVA,UZB,2022 Varna World Challenge Cup,"Varna, Bulgaria",qual,BB,21.0,4.7,6.1,0.0,10.8
Dildora ARIPOVA,UZB,2022 Varna World Challenge Cup,"Varna, Bulgaria",qual,FX,1.0,5.0,8.15,0.0,13.15
Dildora ARIPOVA,UZB,2022 Varna World Challenge Cup,"Varna, Bulgaria",final,FX,8.0,4.3,7.5,0.3,11.5
Dildora ARIPOVA,UZB,2022 Varna World Challenge Cup,"Varna, Bulgaria",qual,UB,10.0,4.8,7.45,0.0,12.25
Dildora ARIPOVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,BB,10.0,4.8,7.733,0.0,12.533
Dildora ARIPOVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,FX,22.0,4.6,7.4,0.0,12.0
Dildora ARIPOVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,qual,UB,11.0,5.0,7.233,0.0,12.233
Dildora ARIPOVA,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,Singapore,final,UB,8.0,4.9,5.733,0.0,10.633
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",qual,BB,30.0,4.3,5.833,0.0,10.133
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",qual,FX,26.0,4.4,6.666,0.0,11.066
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",final,UB,8.0,4.9,7.2,0.0,12.1
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",qual,UB,8.0,5.0,7.5,0.0,12.5
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",qual,VT,18.0,4.2,7.633,0.1,11.733
Dildora ARIPOVA,UZB,2023 Cairo World Cup,"Cairo, Egypt",qual,VT,18.0,3.8,8.633,0.0,12.433
Dildora ARIPOVA,UZB,2023 Cottbus World Cup,"Cottbus, Germany",final,BB,8.0,5.0,6.066,0.0,11.066
Dildora ARIPOVA,UZB,2023 Cottbus World Cup,"Cottbus, Germany",qual,BB,7.0,5.2,7.766,0.0,12.966
