"","season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","bikers"
"38",1,"Jan",2,"14",0,0,0,"light rain/snow",0.36,0.3485,0.76,0.194,4,55,59
"39",1,"Jan",2,"15",0,0,0,"light rain/snow",0.34,0.3333,0.81,0.1642,19,55,74
"40",1,"Jan",2,"16",0,0,0,"light rain/snow",0.34,0.3333,0.71,0.1642,9,67,76
"41",1,"Jan",2,"17",0,0,0,"clear",0.34,0.3333,0.57,0.194,7,58,65
"42",1,"Jan",2,"18",0,0,0,"cloudy/misty",0.36,0.3333,0.46,0.3284,10,43,53
"43",1,"Jan",2,"19",0,0,0,"clear",0.32,0.2879,0.42,0.4478,1,29,30
"44",1,"Jan",2,"20",0,0,0,"clear",0.3,0.2727,0.39,0.3582,5,17,22
"45",1,"Jan",2,"21",0,0,0,"clear",0.26,0.2273,0.44,0.3284,11,20,31
"46",1,"Jan",2,"22",0,0,0,"clear",0.24,0.2121,0.44,0.2985,0,9,9
"47",1,"Jan",2,"23",0,0,0,"clear",0.22,0.2273,0.47,0.1642,0,8,8
"48",1,"Jan",3,"0",0,1,1,"clear",0.22,0.197,0.44,0.3582,0,5,5
"49",1,"Jan",3,"1",0,1,1,"clear",0.2,0.1667,0.44,0.4179,0,2,2
"50",1,"Jan",3,"4",0,1,1,"clear",0.16,0.1364,0.47,0.3881,0,1,1
"51",1,"Jan",3,"5",0,1,1,"clear",0.16,0.1364,0.47,0.2836,0,3,3
"52",1,"Jan",3,"6",0,1,1,"clear",0.14,0.1061,0.5,0.3881,0,30,30
"53",1,"Jan",3,"7",0,1,1,"clear",0.14,0.1364,0.5,0.194,1,63,64
"54",1,"Jan",3,"8",0,1,1,"clear",0.14,0.1212,0.5,0.2836,1,153,154
"55",1,"Jan",3,"9",0,1,1,"clear",0.16,0.1364,0.43,0.3881,7,81,88
"56",1,"Jan",3,"10",0,1,1,"clear",0.18,0.1667,0.43,0.2537,11,33,44
"57",1,"Jan",3,"11",0,1,1,"clear",0.2,0.1818,0.4,0.3284,10,41,51
"58",1,"Jan",3,"12",0,1,1,"clear",0.22,0.2121,0.35,0.2985,13,48,61
"59",1,"Jan",3,"13",0,1,1,"clear",0.24,0.2121,0.35,0.2836,8,53,61
"60",1,"Jan",3,"14",0,1,1,"clear",0.26,0.2424,0.3,0.2836,11,66,77
"61",1,"Jan",3,"15",0,1,1,"clear",0.26,0.2424,0.3,0.2537,14,58,72
"62",1,"Jan",3,"16",0,1,1,"clear",0.26,0.2424,0.3,0.2537,9,67,76
"63",1,"Jan",3,"17",0,1,1,"clear",0.24,0.2273,0.3,0.2239,11,146,157
"64",1,"Jan",3,"18",0,1,1,"clear",0.24,0.2576,0.32,0.1045,9,148,157
"65",1,"Jan",3,"19",0,1,1,"clear",0.2,0.2576,0.47,0,8,102,110
"66",1,"Jan",3,"20",0,1,1,"clear",0.2,0.2273,0.47,0.1045,3,49,52
"67",1,"Jan",3,"21",0,1,1,"clear",0.18,0.197,0.64,0.1343,3,49,52
"68",1,"Jan",3,"22",0,1,1,"clear",0.14,0.1515,0.69,0.1343,0,20,20
"69",1,"Jan",3,"23",0,1,1,"clear",0.18,0.2121,0.55,0.1045,1,11,12
"70",1,"Jan",4,"0",0,2,1,"clear",0.16,0.1818,0.55,0.1045,0,5,5
"71",1,"Jan",4,"1",0,2,1,"clear",0.16,0.1818,0.59,0.1045,0,2,2
"72",1,"Jan",4,"2",0,2,1,"clear",0.14,0.1515,0.63,0.1343,0,1,1
"73",1,"Jan",4,"4",0,2,1,"clear",0.14,0.1818,0.63,0.0896,0,2,2
"74",1,"Jan",4,"5",0,2,1,"clear",0.12,0.1515,0.68,0.1045,0,4,4
"75",1,"Jan",4,"6",0,2,1,"clear",0.12,0.1515,0.74,0.1045,0,36,36
"76",1,"Jan",4,"7",0,2,1,"clear",0.12,0.1515,0.74,0.1343,2,92,94
"77",1,"Jan",4,"8",0,2,1,"clear",0.14,0.1515,0.69,0.1642,2,177,179
"78",1,"Jan",4,"9",0,2,1,"clear",0.16,0.1515,0.64,0.2239,2,98,100
"79",1,"Jan",4,"10",0,2,1,"cloudy/misty",0.16,0.1364,0.69,0.3284,5,37,42
"80",1,"Jan",4,"11",0,2,1,"clear",0.22,0.2121,0.51,0.2985,7,50,57
"81",1,"Jan",4,"12",0,2,1,"clear",0.22,0.2273,0.51,0.1642,12,66,78
"82",1,"Jan",4,"13",0,2,1,"clear",0.24,0.2273,0.56,0.194,18,79,97
"83",1,"Jan",4,"14",0,2,1,"clear",0.26,0.2576,0.52,0.2239,9,54,63
"84",1,"Jan",4,"15",0,2,1,"clear",0.28,0.2727,0.52,0.2537,17,48,65
"85",1,"Jan",4,"16",0,2,1,"clear",0.3,0.2879,0.49,0.2537,15,68,83
"86",1,"Jan",4,"17",0,2,1,"clear",0.28,0.2727,0.48,0.2239,10,202,212
"87",1,"Jan",4,"18",0,2,1,"clear",0.26,0.2576,0.48,0.194,3,179,182
"88",1,"Jan",4,"19",0,2,1,"clear",0.24,0.2576,0.48,0.1045,2,110,112
"89",1,"Jan",4,"20",0,2,1,"clear",0.24,0.2576,0.48,0.1045,1,53,54
"90",1,"Jan",4,"21",0,2,1,"clear",0.22,0.2727,0.64,0,0,48,48
"91",1,"Jan",4,"22",0,2,1,"clear",0.22,0.2576,0.64,0.0896,1,34,35
"92",1,"Jan",4,"23",0,2,1,"clear",0.2,0.2273,0.69,0.0896,2,9,11
"93",1,"Jan",5,"0",0,3,1,"clear",0.2,0.2576,0.64,0,0,6,6
"94",1,"Jan",5,"1",0,3,1,"clear",0.16,0.197,0.74,0.0896,0,6,6
"95",1,"Jan",5,"2",0,3,1,"clear",0.16,0.197,0.74,0.0896,0,2,2
"96",1,"Jan",5,"4",0,3,1,"clear",0.24,0.2273,0.48,0.2239,0,2,2
"97",1,"Jan",5,"5",0,3,1,"clear",0.22,0.2273,0.47,0.1642,0,3,3
"98",1,"Jan",5,"6",0,3,1,"clear",0.2,0.197,0.47,0.2239,0,33,33
"99",1,"Jan",5,"7",0,3,1,"clear",0.18,0.1818,0.43,0.194,1,87,88
"100",1,"Jan",5,"8",0,3,1,"clear",0.2,0.1818,0.4,0.2985,3,192,195
"101",1,"Jan",5,"9",0,3,1,"clear",0.22,0.197,0.37,0.3284,6,109,115
"102",1,"Jan",5,"10",0,3,1,"clear",0.22,0.197,0.37,0.3284,4,53,57
"103",1,"Jan",5,"11",0,3,1,"clear",0.26,0.2273,0.33,0.3284,12,34,46
"104",1,"Jan",5,"12",0,3,1,"clear",0.26,0.2273,0.33,0.3284,5,74,79
"105",1,"Jan",5,"13",0,3,1,"clear",0.28,0.2576,0.3,0.2985,6,65,71
"106",1,"Jan",5,"14",0,3,1,"clear",0.3,0.2879,0.28,0.194,10,52,62
"107",1,"Jan",5,"15",0,3,1,"clear",0.3,0.2879,0.28,0.194,7,55,62
"108",1,"Jan",5,"16",0,3,1,"clear",0.3,0.3182,0.28,0.0896,4,85,89
"109",1,"Jan",5,"17",0,3,1,"clear",0.24,0.2273,0.38,0.194,4,186,190
"110",1,"Jan",5,"18",0,3,1,"clear",0.24,0.2424,0.38,0.1343,3,166,169
"111",1,"Jan",5,"19",0,3,1,"clear",0.24,0.2576,0.38,0.1045,5,127,132
"112",1,"Jan",5,"20",0,3,1,"clear",0.22,0.2273,0.47,0.1642,7,82,89
"113",1,"Jan",5,"21",0,3,1,"clear",0.2,0.197,0.51,0.194,3,40,43
"114",1,"Jan",5,"22",0,3,1,"clear",0.18,0.197,0.55,0.1343,1,41,42
"115",1,"Jan",5,"23",0,3,1,"clear",0.2,0.2576,0.47,0,1,18,19
"116",1,"Jan",6,"0",0,4,1,"clear",0.18,0.2424,0.55,0,0,11,11
"117",1,"Jan",6,"1",0,4,1,"clear",0.16,0.2273,0.64,0,0,4,4
"118",1,"Jan",6,"2",0,4,1,"clear",0.16,0.2273,0.64,0,0,2,2
"119",1,"Jan",6,"4",0,4,1,"cloudy/misty",0.16,0.197,0.64,0.0896,0,1,1
"120",1,"Jan",6,"5",0,4,1,"cloudy/misty",0.14,0.1818,0.69,0.0896,0,4,4
"121",1,"Jan",6,"6",0,4,1,"cloudy/misty",0.14,0.1667,0.63,0.1045,0,36,36
"122",1,"Jan",6,"7",0,4,1,"cloudy/misty",0.16,0.2273,0.59,0,0,95,95
"123",1,"Jan",6,"8",0,4,1,"clear",0.16,0.2273,0.59,0,3,216,219
"124",1,"Jan",6,"9",0,4,1,"cloudy/misty",0.18,0.2424,0.51,0,6,116,122
"125",1,"Jan",6,"10",0,4,1,"clear",0.2,0.2576,0.47,0,3,42,45
"126",1,"Jan",6,"11",0,4,1,"clear",0.22,0.2576,0.44,0.0896,2,57,59
"127",1,"Jan",6,"12",0,4,1,"clear",0.26,0.2879,0.35,0,6,78,84
"128",1,"Jan",6,"13",0,4,1,"clear",0.26,0.2727,0.35,0.1045,12,55,67
"129",1,"Jan",6,"14",0,4,1,"clear",0.28,0.2727,0.36,0.1642,11,59,70
"130",1,"Jan",6,"15",0,4,1,"clear",0.28,0.2727,0.36,0,8,54,62
"131",1,"Jan",6,"16",0,4,1,"clear",0.26,0.2576,0.38,0.1642,12,74,86
"132",1,"Jan",6,"17",0,4,1,"clear",0.22,0.2273,0.51,0.1642,9,163,172
"133",1,"Jan",6,"18",0,4,1,"clear",0.22,0.2273,0.51,0.1343,5,158,163
"134",1,"Jan",6,"19",0,4,1,"clear",0.22,0.2576,0.55,0.0896,3,109,112
"135",1,"Jan",6,"20",0,4,1,"clear",0.2,0.2121,0.51,0.1642,3,66,69
"136",1,"Jan",6,"21",0,4,1,"cloudy/misty",0.22,0.2121,0.55,0.2239,0,48,48
"137",1,"Jan",6,"22",0,4,1,"cloudy/misty",0.22,0.2121,0.51,0.2836,1,51,52
"138",1,"Jan",6,"23",0,4,1,"cloudy/misty",0.2,0.197,0.59,0.194,4,19,23
"139",1,"Jan",7,"0",0,5,1,"cloudy/misty",0.2,0.197,0.64,0.194,4,13,17
"140",1,"Jan",7,"1",0,5,1,"cloudy/misty",0.2,0.197,0.69,0.2239,2,5,7
"141",1,"Jan",7,"2",0,5,1,"cloudy/misty",0.2,0.197,0.69,0.2239,0,1,1
"142",1,"Jan",7,"4",0,5,1,"cloudy/misty",0.2,0.2121,0.69,0.1343,0,1,1
"143",1,"Jan",7,"5",0,5,1,"light rain/snow",0.22,0.2727,0.55,0,0,5,5
"144",1,"Jan",7,"6",0,5,1,"cloudy/misty",0.2,0.2576,0.69,0,8,26,34
"145",1,"Jan",7,"7",0,5,1,"clear",0.2,0.2121,0.69,0.1343,8,76,84
"146",1,"Jan",7,"8",0,5,1,"clear",0.2,0.197,0.51,0.2537,20,190,210
"147",1,"Jan",7,"9",0,5,1,"clear",0.2,0.1818,0.47,0.2985,9,125,134
"148",1,"Jan",7,"10",0,5,1,"clear",0.22,0.197,0.37,0.3284,16,47,63
"149",1,"Jan",7,"11",0,5,1,"cloudy/misty",0.2,0.197,0.4,0.2239,19,48,67
"150",1,"Jan",7,"12",0,5,1,"cloudy/misty",0.2,0.197,0.37,0.2537,9,50,59
"151",1,"Jan",7,"13",0,5,1,"cloudy/misty",0.2,0.1818,0.37,0.2836,9,64,73
"152",1,"Jan",7,"14",0,5,1,"cloudy/misty",0.2,0.197,0.4,0.2537,7,43,50
"153",1,"Jan",7,"15",0,5,1,"cloudy/misty",0.2,0.2121,0.37,0.1642,9,63,72
"154",1,"Jan",7,"16",0,5,1,"cloudy/misty",0.2,0.2121,0.37,0.1642,5,82,87
"155",1,"Jan",7,"17",0,5,1,"cloudy/misty",0.2,0.2576,0.37,0,9,178,187
"156",1,"Jan",7,"18",0,5,1,"clear",0.2,0.2273,0.4,0.0896,7,116,123
"157",1,"Jan",7,"19",0,5,1,"clear",0.16,0.197,0.55,0.0896,3,92,95
"158",1,"Jan",7,"20",0,5,1,"clear",0.18,0.2121,0.47,0.1045,1,50,51
"159",1,"Jan",7,"21",0,5,1,"clear",0.18,0.197,0.47,0.1343,0,39,39
"160",1,"Jan",7,"22",0,5,1,"cloudy/misty",0.18,0.197,0.43,0.1642,2,34,36
"161",1,"Jan",7,"23",0,5,1,"cloudy/misty",0.18,0.197,0.51,0.1642,1,14,15
"162",1,"Jan",8,"0",0,6,0,"cloudy/misty",0.18,0.197,0.51,0.1642,1,24,25
"163",1,"Jan",8,"1",0,6,0,"cloudy/misty",0.18,0.2121,0.55,0.0896,1,15,16
"164",1,"Jan",8,"2",0,6,0,"cloudy/misty",0.18,0.2424,0.55,0,3,13,16
"165",1,"Jan",8,"3",0,6,0,"light rain/snow",0.18,0.197,0.55,0.1642,0,7,7
"166",1,"Jan",8,"4",0,6,0,"light rain/snow",0.18,0.197,0.55,0.1642,0,1,1
"167",1,"Jan",8,"5",0,6,0,"cloudy/misty",0.16,0.1667,0.74,0.1642,0,5,5
"168",1,"Jan",8,"6",0,6,0,"cloudy/misty",0.16,0.1667,0.74,0.1642,0,2,2
"169",1,"Jan",8,"7",0,6,0,"cloudy/misty",0.16,0.1818,0.74,0.1045,1,8,9
"170",1,"Jan",8,"8",0,6,0,"light rain/snow",0.16,0.1818,0.93,0.1045,0,15,15
"171",1,"Jan",8,"9",0,6,0,"light rain/snow",0.16,0.1818,0.93,0.1045,0,20,20
"172",1,"Jan",8,"10",0,6,0,"cloudy/misty",0.18,0.197,0.8,0.1642,5,56,61
"173",1,"Jan",8,"11",0,6,0,"cloudy/misty",0.2,0.1818,0.69,0.3881,2,60,62
"174",1,"Jan",8,"12",0,6,0,"cloudy/misty",0.2,0.1818,0.59,0.3582,8,90,98
"175",1,"Jan",8,"13",0,6,0,"clear",0.2,0.1818,0.44,0.3284,7,95,102
"176",1,"Jan",8,"14",0,6,0,"clear",0.2,0.1667,0.32,0.4925,12,83,95
"177",1,"Jan",8,"15",0,6,0,"clear",0.2,0.1667,0.32,0.4478,5,69,74
"178",1,"Jan",8,"16",0,6,0,"clear",0.18,0.1364,0.29,0.4478,8,68,76
"179",1,"Jan",8,"17",0,6,0,"clear",0.16,0.1212,0.37,0.5522,5,64,69
"180",1,"Jan",8,"18",0,6,0,"clear",0.14,0.1212,0.39,0.2985,3,52,55
"181",1,"Jan",8,"19",0,6,0,"clear",0.14,0.1212,0.36,0.2537,4,26,30
"182",1,"Jan",8,"20",0,6,0,"clear",0.12,0.1212,0.36,0.2537,0,28,28
"183",1,"Jan",8,"21",0,6,0,"clear",0.12,0.1061,0.39,0.3582,2,35,37
"184",1,"Jan",8,"22",0,6,0,"clear",0.12,0.1061,0.36,0.3881,1,33,34
"185",1,"Jan",8,"23",0,6,0,"clear",0.1,0.0606,0.39,0.4478,0,22,22
"186",1,"Jan",9,"0",0,0,0,"clear",0.1,0.0758,0.42,0.3881,1,24,25
"187",1,"Jan",9,"1",0,0,0,"clear",0.1,0.0606,0.42,0.4627,0,12,12
"188",1,"Jan",9,"2",0,0,0,"clear",0.1,0.0606,0.46,0.4627,0,11,11
"189",1,"Jan",9,"3",0,0,0,"clear",0.1,0.0758,0.46,0.4179,0,4,4
"190",1,"Jan",9,"4",0,0,0,"clear",0.08,0.0909,0.53,0.194,0,1,1
"191",1,"Jan",9,"5",0,0,0,"clear",0.08,0.0909,0.53,0.194,0,1,1
"192",1,"Jan",9,"6",0,0,0,"clear",0.1,0.0909,0.49,0.2836,0,1,1
"193",1,"Jan",9,"7",0,0,0,"clear",0.08,0.0909,0.53,0.194,1,5,6
"194",1,"Jan",9,"8",0,0,0,"clear",0.1,0.0909,0.49,0.2836,0,10,10
"195",1,"Jan",9,"9",0,0,0,"clear",0.12,0.0758,0.46,0.5224,0,19,19
"196",1,"Jan",9,"10",0,0,0,"clear",0.14,0.1061,0.43,0.3881,0,49,49
"197",1,"Jan",9,"11",0,0,0,"clear",0.16,0.1212,0.4,0.5224,2,47,49
"198",1,"Jan",9,"12",0,0,0,"clear",0.18,0.1364,0.37,0.4478,4,79,83
"199",1,"Jan",9,"13",0,0,0,"clear",0.2,0.1667,0.34,0.4478,6,69,75
"200",1,"Jan",9,"14",0,0,0,"clear",0.22,0.1818,0.32,0.4627,8,64,72
"201",1,"Jan",9,"15",0,0,0,"clear",0.22,0.197,0.35,0.3582,5,77,82
"202",1,"Jan",9,"16",0,0,0,"clear",0.2,0.1667,0.34,0.4478,13,79,92
"203",1,"Jan",9,"17",0,0,0,"clear",0.18,0.1515,0.37,0.3881,3,59,62
"204",1,"Jan",9,"18",0,0,0,"clear",0.16,0.1364,0.4,0.3284,4,44,48
"205",1,"Jan",9,"19",0,0,0,"clear",0.16,0.1364,0.43,0.3284,1,40,41
"206",1,"Jan",9,"20",0,0,0,"clear",0.14,0.1212,0.46,0.2537,0,38,38
"207",1,"Jan",9,"21",0,0,0,"clear",0.14,0.1061,0.46,0.4179,1,19,20
"208",1,"Jan",9,"22",0,0,0,"clear",0.14,0.1212,0.46,0.2985,5,10,15
"209",1,"Jan",9,"23",0,0,0,"clear",0.12,0.1364,0.5,0.194,0,6,6
"210",1,"Jan",10,"0",0,1,1,"clear",0.12,0.1212,0.5,0.2836,2,3,5
"211",1,"Jan",10,"1",0,1,1,"clear",0.12,0.1212,0.5,0.2836,1,0,1
"212",1,"Jan",10,"2",0,1,1,"clear",0.12,0.1212,0.5,0.2239,0,3,3
"213",1,"Jan",10,"3",0,1,1,"clear",0.12,0.1212,0.5,0.2239,0,1,1
"214",1,"Jan",10,"4",0,1,1,"clear",0.1,0.1212,0.54,0.1343,1,2,3
"215",1,"Jan",10,"5",0,1,1,"clear",0.1,0.1061,0.54,0.2537,0,3,3
"216",1,"Jan",10,"6",0,1,1,"clear",0.12,0.1212,0.5,0.2836,0,31,31
"217",1,"Jan",10,"7",0,1,1,"clear",0.12,0.1212,0.5,0.2239,2,75,77
"218",1,"Jan",10,"8",0,1,1,"cloudy/misty",0.12,0.1212,0.5,0.2836,4,184,188
"219",1,"Jan",10,"9",0,1,1,"cloudy/misty",0.14,0.1212,0.5,0.2537,2,92,94
"220",1,"Jan",10,"10",0,1,1,"cloudy/misty",0.14,0.1212,0.5,0.2985,0,31,31
"221",1,"Jan",10,"11",0,1,1,"cloudy/misty",0.16,0.1364,0.47,0.2836,2,28,30
"222",1,"Jan",10,"12",0,1,1,"cloudy/misty",0.2,0.1818,0.4,0.2836,5,47,52
"223",1,"Jan",10,"13",0,1,1,"cloudy/misty",0.2,0.1818,0.4,0.2836,4,50,54
"224",1,"Jan",10,"14",0,1,1,"cloudy/misty",0.2,0.197,0.4,0.2239,0,47,47
"225",1,"Jan",10,"15",0,1,1,"cloudy/misty",0.2,0.197,0.4,0.2239,2,43,45
"226",1,"Jan",10,"16",0,1,1,"clear",0.2,0.2121,0.4,0.1343,4,70,74
"227",1,"Jan",10,"17",0,1,1,"clear",0.2,0.2273,0.4,0.1045,4,174,178
"228",1,"Jan",10,"18",0,1,1,"clear",0.2,0.197,0.4,0.2239,1,154,155
"229",1,"Jan",10,"19",0,1,1,"clear",0.16,0.1667,0.47,0.1642,3,92,95
"230",1,"Jan",10,"20",0,1,1,"clear",0.16,0.1667,0.5,0.1642,1,73,74
"231",1,"Jan",10,"21",0,1,1,"clear",0.14,0.1364,0.59,0.194,1,37,38
"232",1,"Jan",10,"22",0,1,1,"clear",0.14,0.1515,0.59,0.1642,2,22,24
"233",1,"Jan",10,"23",0,1,1,"clear",0.14,0.1515,0.59,0.1642,0,18,18
"234",1,"Jan",11,"0",0,2,1,"clear",0.14,0.1667,0.59,0.1045,2,10,12
"235",1,"Jan",11,"1",0,2,1,"clear",0.14,0.1515,0.59,0.1642,0,3,3
"236",1,"Jan",11,"2",0,2,1,"cloudy/misty",0.16,0.1515,0.55,0.194,0,3,3
"237",1,"Jan",11,"5",0,2,1,"cloudy/misty",0.16,0.1818,0.55,0.1343,0,6,6
"238",1,"Jan",11,"6",0,2,1,"cloudy/misty",0.16,0.1818,0.55,0.1343,0,27,27
"239",1,"Jan",11,"7",0,2,1,"cloudy/misty",0.16,0.2273,0.55,0,2,97,99
"240",1,"Jan",11,"8",0,2,1,"cloudy/misty",0.18,0.2121,0.51,0.0896,3,214,217
"241",1,"Jan",11,"9",0,2,1,"cloudy/misty",0.18,0.197,0.51,0.1642,3,127,130
"242",1,"Jan",11,"10",0,2,1,"cloudy/misty",0.2,0.2121,0.51,0.1642,3,51,54
"243",1,"Jan",11,"11",0,2,1,"cloudy/misty",0.2,0.2121,0.47,0.1343,4,31,35
"244",1,"Jan",11,"12",0,2,1,"cloudy/misty",0.2,0.2273,0.51,0.1045,2,55,57
"245",1,"Jan",11,"13",0,2,1,"cloudy/misty",0.2,0.2273,0.59,0.0896,6,46,52
"246",1,"Jan",11,"14",0,2,1,"cloudy/misty",0.2,0.2273,0.59,0.0896,3,60,63
"247",1,"Jan",11,"15",0,2,1,"cloudy/misty",0.16,0.197,0.8,0.0896,2,45,47
"248",1,"Jan",11,"16",0,2,1,"cloudy/misty",0.16,0.1515,0.86,0.2239,4,72,76
"249",1,"Jan",11,"17",0,2,1,"cloudy/misty",0.16,0.1515,0.86,0.2239,6,130,136
"250",1,"Jan",11,"18",0,2,1,"light rain/snow",0.16,0.1818,0.93,0.1045,1,94,95
"251",1,"Jan",11,"19",0,2,1,"light rain/snow",0.16,0.2273,0.93,0,0,51,51
"252",1,"Jan",11,"20",0,2,1,"light rain/snow",0.16,0.1515,0.93,0.194,0,32,32
"253",1,"Jan",11,"21",0,2,1,"light rain/snow",0.16,0.197,0.86,0.0896,0,20,20
"254",1,"Jan",11,"22",0,2,1,"light rain/snow",0.16,0.1818,0.93,0.1045,1,28,29
"255",1,"Jan",11,"23",0,2,1,"light rain/snow",0.16,0.197,0.93,0.0896,1,18,19
"256",1,"Jan",12,"0",0,3,1,"cloudy/misty",0.16,0.197,0.86,0.0896,0,7,7
"257",1,"Jan",12,"1",0,3,1,"cloudy/misty",0.16,0.1818,0.86,0.1045,0,6,6
"258",1,"Jan",12,"2",0,3,1,"clear",0.14,0.1515,0.86,0.1343,0,1,1
"259",1,"Jan",12,"5",0,3,1,"clear",0.14,0.1515,0.86,0.1642,0,5,5
"260",1,"Jan",12,"6",0,3,1,"clear",0.12,0.1515,0.93,0.1343,0,16,16
"261",1,"Jan",12,"7",0,3,1,"clear",0.14,0.1515,0.69,0.1343,0,54,54
"262",1,"Jan",12,"8",0,3,1,"clear",0.16,0.1667,0.59,0.1642,3,125,128
"263",1,"Jan",12,"9",0,3,1,"clear",0.16,0.1364,0.59,0.3284,3,78,81
"264",1,"Jan",12,"10",0,3,1,"clear",0.18,0.1818,0.55,0.2239,0,39,39
"265",1,"Jan",12,"11",0,3,1,"clear",0.2,0.1818,0.51,0.3881,3,32,35
"266",1,"Jan",12,"12",0,3,1,"clear",0.2,0.1515,0.47,0.5821,3,52,55
"267",1,"Jan",12,"13",0,3,1,"clear",0.22,0.197,0.44,0.3582,0,49,49
"268",1,"Jan",12,"14",0,3,1,"clear",0.2,0.1818,0.47,0.3284,0,44,44
"269",1,"Jan",12,"15",0,3,1,"clear",0.2,0.1667,0.47,0.4179,1,48,49
"270",1,"Jan",12,"16",0,3,1,"clear",0.22,0.197,0.44,0.3284,5,63,68
"271",1,"Jan",12,"17",0,3,1,"clear",0.2,0.1818,0.47,0.3582,0,139,139
"272",1,"Jan",12,"18",0,3,1,"clear",0.2,0.1515,0.47,0.5224,2,135,137
"273",1,"Jan",12,"19",0,3,1,"clear",0.18,0.1515,0.47,0.4179,1,82,83
"274",1,"Jan",12,"20",0,3,1,"clear",0.16,0.1364,0.5,0.3284,2,54,56
"275",1,"Jan",12,"21",0,3,1,"clear",0.16,0.1364,0.55,0.3284,0,57,57
"276",1,"Jan",12,"22",0,3,1,"clear",0.16,0.1212,0.55,0.4478,1,32,33
"277",1,"Jan",12,"23",0,3,1,"clear",0.14,0.1061,0.59,0.4179,1,19,20
