Rank,FX,PH,SR,VT,PB,HB,AA,Nation,year,Name,round_final,round_qual
110.0,0.0,11.666,0.0,0.0,14.366,0.0,26.032,Britain,2021,55,False,True
111.0,0.0,0.0,13.366,0.0,12.633,0.0,25.999,Colombia,2021,213,False,True
112.0,0.0,0.0,0.0,0.0,14.566,11.333,25.899,Mexico,2021,195,False,True
113.0,0.0,13.133,0.0,0.0,0.0,12.666,25.799,Colombia,2021,177,False,True
114.0,0.0,13.033,12.366,0.0,0.0,0.0,25.399,Spain,2021,365,False,True
115.0,11.866,0.0,0.0,13.366,0.0,0.0,25.232,Colombia,2021,86,False,True
116.0,13.033,12.166,0.0,0.0,0.0,0.0,25.199,Greece,2021,29,False,True
117.0,11.466,0.0,0.0,13.666,0.0,0.0,25.132,Turkey,2021,265,False,True
118.0,0.0,12.8,0.0,0.0,12.2,0.0,25.0,Greece,2021,348,False,True
119.0,0.0,12.033,0.0,0.0,12.866,0.0,24.899,Hungary,2021,356,False,True
120.0,0.0,0.0,11.7,13.033,0.0,0.0,24.733,Mexico,2021,331,False,True
121.0,10.6,0.0,0.0,14.1,0.0,0.0,24.7,Bulgaria,2021,87,False,True
122.0,0.0,0.0,0.0,13.7,0.0,10.966,24.666,Azerbaijan,2021,166,False,True
123.0,0.0,12.5,11.8,0.0,0.0,0.0,24.3,Vietnam,2021,305,False,True
124.0,13.933,9.966,0.0,0.0,0.0,0.0,23.899,Kazakhstan,2021,160,False,True
125.0,0.0,11.6,0.0,0.0,12.066,0.0,23.666,Armenia,2021,127,False,True
126.0,11.033,0.0,0.0,0.0,0.0,11.975,23.008,Switzerland,2021,263,False,True
127.0,0.0,11.366,0.0,0.0,0.0,11.6,22.966,Egypt,2021,0,False,True
128.0,0.0,9.933,0.0,0.0,12.533,0.0,22.466,Syria,2021,397,False,True
129.0,0.0,0.0,7.166,14.7,0.0,0.0,21.866,Ukraine,2021,155,False,True
130.0,0.0,12.4,0.0,0.0,0.0,8.433,20.833,Mexico,2021,85,False,True
131.0,0.0,8.866,0.0,0.0,0.0,11.166,20.032,Turkey,2021,202,False,True
132.0,0.0,15.6,0.0,0.0,0.0,0.0,15.6,China,2021,390,False,True
133.0,0.0,15.366,0.0,0.0,0.0,0.0,15.366,States,2021,350,False,True
134.0,0.0,15.3,0.0,0.0,0.0,0.0,15.3,States,2021,15,False,True
135.0,0.0,0.0,15.266,0.0,0.0,0.0,15.266,China,2021,217,False,True
136.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,Kazakhstan,2021,267,False,True
137.0,14.966,0.0,0.0,0.0,0.0,0.0,14.966,Japan,2021,260,False,True
138.0,0.0,0.0,0.0,14.933,0.0,0.0,14.933,Japan,2021,400,False,True
139.0,0.0,0.0,0.0,14.933,0.0,0.0,14.933,Korea,2021,395,False,True
140.0,0.0,14.866,0.0,0.0,0.0,0.0,14.866,Croatia,2021,118,False,True
141.0,0.0,0.0,0.0,0.0,14.841,0.0,14.841,Switzerland,2021,68,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,Austria,2021,386,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,Russia,2021,134,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,Turkey,2021,153,False,True
145.0,0.0,14.666,0.0,0.0,0.0,0.0,14.666,Armenia,2021,140,False,True
145.0,0.0,0.0,14.666,0.0,0.0,0.0,14.666,Italy,2021,328,False,True
147.0,0.0,0.0,0.0,14.6,0.0,0.0,14.6,Israel,2021,26,False,True
147.0,0.0,0.0,14.6,0.0,0.0,0.0,14.6,Italy,2021,236,False,True
149.0,14.566,0.0,0.0,0.0,0.0,0.0,14.566,Britain,2021,142,False,True
149.0,0.0,0.0,0.0,14.566,0.0,0.0,14.566,Romania,2021,238,False,True
152.0,14.533,0.0,0.0,0.0,0.0,0.0,14.533,Finland,2021,103,False,True
153.0,0.0,0.0,0.0,0.0,0.0,14.366,14.366,States,2021,56,False,True
154.0,0.0,0.0,0.0,14.3,0.0,0.0,14.3,Japan,2021,35,False,True
154.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,Japan,2021,377,False,True
156.0,0.0,0.0,0.0,0.0,0.0,14.266,14.266,Italy,2021,62,False,True
157.0,0.0,0.0,14.233,0.0,0.0,0.0,14.233,Egypt,2021,20,False,True
158.0,0.0,14.133,0.0,0.0,0.0,0.0,14.133,Slovenia,2021,332,False,True
159.0,0.0,0.0,0.0,0.0,0.0,14.1,14.1,Germany,2021,21,False,True
159.0,0.0,0.0,0.0,14.1,0.0,0.0,14.1,Kong,2021,341,False,True
161.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,Kong,2021,272,False,True
162.0,0.0,0.0,13.966,0.0,0.0,0.0,13.966,Canada,2021,67,False,True
163.0,0.0,13.866,0.0,0.0,0.0,0.0,13.866,Croatia,2021,244,False,True
163.0,0.0,0.0,0.0,0.0,0.0,13.866,13.866,Hungary,2021,84,False,True
165.0,0.0,0.0,0.0,0.0,0.0,13.766,13.766,Brazil,2021,32,False,True
165.0,0.0,13.766,0.0,0.0,0.0,0.0,13.766,Croatia,2021,170,False,True
165.0,0.0,13.766,0.0,0.0,0.0,0.0,13.766,Ireland,2021,316,False,True
168.0,0.0,0.0,13.666,0.0,0.0,0.0,13.666,Greece,2021,347,False,True
169.0,0.0,0.0,0.0,13.6,0.0,0.0,13.6,Arabia,2021,168,False,True
170.0,13.5,0.0,0.0,0.0,0.0,0.0,13.5,Denmark,2021,310,False,True
171.0,0.0,13.466,0.0,0.0,0.0,0.0,13.466,Austria,2021,393,False,True
171.0,0.0,0.0,13.466,0.0,0.0,0.0,13.466,Iceland,2021,186,False,True
173.0,0.0,0.0,13.4,0.0,0.0,0.0,13.4,Greece,2021,211,False,True
174.0,0.0,0.0,0.0,0.0,13.366,0.0,13.366,Turkey,2021,336,False,True
174.0,0.0,0.0,13.366,0.0,0.0,0.0,13.366,States,2021,18,False,True
176.0,0.0,13.333,0.0,0.0,0.0,0.0,13.333,France,2021,78,False,True
177.0,0.0,0.0,0.0,13.233,0.0,0.0,13.233,China,2021,147,False,True
178.0,0.0,12.566,0.0,0.0,0.0,0.0,12.566,Republic,2021,308,False,True
179.0,0.0,0.0,0.0,0.0,0.0,12.466,12.466,Spain,2021,8,False,True
180.0,12.366,0.0,0.0,0.0,0.0,0.0,12.366,Croatia,2021,42,False,True
181.0,0.0,0.0,0.0,0.0,12.066,0.0,12.066,Kazakhstan,2021,156,False,True
182.0,0.0,11.9,0.0,0.0,0.0,0.0,11.9,Korea,2021,43,False,True
183.0,0.0,11.366,0.0,0.0,0.0,0.0,11.366,Finland,2021,101,False,True
184.0,0.0,11.333,0.0,0.0,0.0,0.0,11.333,Canada,2021,178,False,True
185.0,0.0,0.0,0.0,0.0,10.933,0.0,10.933,Arabia,2021,268,False,True
186.0,0.0,0.0,0.0,0.0,0.0,10.666,10.666,Switzerland,2021,357,False,True
187.0,10.566,0.0,0.0,0.0,0.0,0.0,10.566,Greece,2021,69,False,True
188.0,10.1,0.0,0.0,0.0,0.0,0.0,10.1,Croatia,2021,241,False,True
1.0,14.883,13.466,14.6,14.866,15.366,14.8,87.981,China,2021,411,True,False
2.0,14.833,14.166,13.966,14.8,15.066,15.133,87.964,Japan,2021,141,True,False
3.0,14.366,14.4,12.933,14.3,14.4,14.5,84.899,Ukraine,2021,159,True,False
4.0,14.5,14.866,12.466,14.333,14.9,13.3,84.365,States,2021,404,True,False
5.0,14.1,13.8,13.666,13.966,14.8,13.9,84.232,Turkey,2021,13,True,False
6.0,14.466,13.5,13.733,14.658,13.4,14.3,84.057,China,2021,342,True,False
7.0,14.133,13.766,13.2,14.0,14.666,13.6,83.365,Spain,2021,185,True,False
8.0,14.633,12.433,14.625,14.466,13.766,13.333,83.256,Canada,2021,391,True,False
9.0,13.7,15.0,12.833,14.366,13.966,13.366,83.231,Britain,2021,193,True,False
10.0,13.9,13.233,13.666,14.233,14.366,13.333,82.731,Spain,2021,271,True,False
11.0,14.4,12.733,14.466,14.7,12.6,13.8,82.699,Turkey,2021,7,True,False
12.0,13.7,13.7,13.4,14.058,13.9,13.933,82.691,Switzerland,2021,144,True,False
13.0,13.3,12.2,13.966,14.633,14.566,14.0,82.665,Brazil,2021,57,True,False
14.0,13.8,13.716,13.066,13.833,13.633,13.533,81.581,Hungary,2021,215,True,False
15.0,13.033,13.2,13.175,13.666,14.466,14.0,81.54,Lithuania,2021,324,True,False
16.0,13.666,12.933,12.833,14.533,13.5,13.8,81.265,Belgium,2021,232,True,False
17.0,13.733,12.466,13.366,14.116,13.4,13.566,80.647,Russia,2021,281,True,False
18.0,13.866,13.7,12.633,13.966,13.266,12.366,79.797,Finland,2021,322,True,False
19.0,12.733,12.633,13.308,14.033,13.666,13.366,79.739,Greece,2021,285,True,False
20.0,13.6,12.9,12.366,13.3,13.166,14.266,79.598,Belgium,2021,287,True,False
21.0,12.5,13.6,13.233,14.266,12.5,13.2,79.299,Norway,2021,344,True,False
22.0,13.566,13.333,12.5,13.666,13.7,11.466,78.231,Finland,2021,294,True,False
23.0,12.833,12.666,11.166,13.466,13.3,12.833,76.264,Israel,2021,111,True,False
24.0,12.333,11.2,12.666,13.633,13.0,11.333,74.165,Austria,2021,17,True,False
1.0,14.166,13.733,14.0,14.4,14.866,13.566,84.731,Japan,2022,361,False,True
2.0,14.466,11.666,14.0,14.7,14.733,15.1,84.665,Japan,2022,141,False,True
3.0,15.266,11.766,14.066,14.733,15.3,13.533,84.664,Philippines,2022,63,False,True
4.0,13.9,12.533,13.933,14.266,15.066,14.266,83.964,Britain,2022,183,False,True
5.0,14.5,14.0,12.033,13.6,14.9,14.733,83.766,China,2022,411,False,True
6.0,13.866,13.3,13.9,14.433,14.6,13.2,83.299,States,2022,37,False,True
7.0,13.5,12.9,13.3,14.6,14.666,13.833,82.799,Spain,2022,185,False,True
8.0,12.766,13.433,13.7,14.333,13.966,14.433,82.631,States,2022,56,False,True
9.0,13.8,13.5,13.933,14.333,13.966,13.033,82.565,Netherlands,2022,64,False,True
10.0,13.566,13.166,13.8,14.533,13.166,14.333,82.564,Brazil,2022,57,False,True
11.0,13.9,13.533,13.066,14.6,14.166,13.1,82.365,Britain,2022,169,False,True
12.0,13.466,13.566,13.066,14.1,14.1,13.966,82.264,Brazil,2022,88,False,True
13.0,14.466,13.033,13.366,13.666,13.766,13.633,81.93,Korea,2022,327,False,True
14.0,14.133,12.933,14.666,13.933,12.533,13.566,81.764,Turkey,2022,7,False,True
15.0,12.7,13.733,12.4,14.4,14.966,13.533,81.732,Ukraine,2022,159,False,True
16.0,13.666,13.966,13.0,13.6,13.7,13.6,81.532,Italy,2022,405,False,True
17.0,14.166,13.0,13.366,13.9,13.533,12.733,80.698,Taiwan,2022,359,False,True
18.0,13.666,12.233,13.133,13.866,15.4,12.133,80.431,Germany,2022,233,False,True
19.0,13.5,12.4,13.233,14.433,13.433,13.1,80.099,Norway,2022,344,False,True
20.0,13.166,12.3,12.8,13.166,14.533,14.1,80.065,Hungary,2022,214,False,True
21.0,12.933,13.3,12.066,13.033,15.166,13.4,79.898,Colombia,2022,194,False,True
22.0,13.7,11.733,12.8,14.5,14.333,12.733,79.799,Belgium,2022,232,False,True
23.0,13.266,12.466,13.2,14.8,13.5,12.566,79.798,Romania,2022,126,False,True
24.0,13.833,13.166,13.266,14.3,13.2,12.0,79.765,Italy,2022,227,False,True
25.0,13.4,12.766,12.566,13.5,14.3,13.166,79.698,Spain,2022,271,False,True
26.0,13.733,12.866,13.6,13.766,13.866,11.7,79.531,Egypt,2022,291,False,True
27.0,13.1,13.3,12.966,13.666,13.866,12.633,79.531,Egypt,2022,262,False,True
28.0,14.233,12.466,13.1,12.833,14.5,12.366,79.498,Hungary,2022,215,False,True
29.0,13.466,12.2,12.6,13.9,14.2,13.0,79.366,Norway,2022,138,False,True
30.0,13.166,14.3,11.966,13.9,13.533,12.433,79.298,Uzbekistan,2022,3,False,True
31.0,12.533,12.166,13.2,14.1,13.7,13.566,79.265,France,2022,300,False,True
32.0,13.066,12.933,13.3,13.166,13.966,12.633,79.064,France,2022,223,False,True
33.0,12.733,12.633,13.433,14.6,13.266,12.233,78.898,Korea,2022,222,False,True
34.0,13.4,11.9,11.766,14.533,13.766,13.266,78.631,Korea,2022,209,False,True
35.0,12.433,10.366,13.366,14.533,13.866,13.766,78.33,Canada,2022,114,False,True
36.0,13.466,13.033,13.2,12.8,13.266,12.533,78.298,Hungary,2022,46,False,True
37.0,12.833,12.166,13.166,13.766,13.2,13.1,78.231,Germany,2022,133,False,True
38.0,13.8,12.033,13.066,13.333,13.133,12.7,78.065,Ireland,2022,94,False,True
39.0,12.5,13.533,12.833,13.466,12.6,13.033,77.965,Switzerland,2022,289,False,True
40.0,12.8,12.133,12.633,13.8,13.566,13.0,77.932,Finland,2022,101,False,True
41.0,13.366,13.1,12.5,13.766,13.466,11.5,77.698,Kazakhstan,2022,160,False,True
42.0,12.066,12.466,12.866,14.0,13.466,12.566,77.43,Sweden,2022,82,False,True
43.0,13.1,10.966,11.733,14.3,13.866,13.4,77.365,Belgium,2022,287,False,True
44.0,13.566,11.733,12.566,13.566,13.533,11.966,76.93,Belgium,2022,358,False,True
45.0,12.7,13.6,12.6,13.7,12.833,11.466,76.899,Uzbekistan,2022,205,False,True
46.0,13.233,12.733,11.1,13.733,13.3,12.5,76.599,Argentina,2022,330,False,True
47.0,12.233,12.366,12.033,13.666,13.566,12.666,76.53,India,2022,399,False,True
48.0,13.5,11.133,13.2,12.2,13.5,12.966,76.499,Romania,2022,314,False,True
49.0,13.266,12.533,12.0,13.5,13.333,11.466,76.098,Syria,2022,216,False,True
50.0,12.7,10.3,12.7,14.433,12.6,13.266,75.999,Australia,2022,143,False,True
51.0,13.066,12.833,13.0,12.766,13.5,10.766,75.931,Belgium,2022,252,False,True
52.0,13.6,11.7,13.8,12.966,11.933,11.866,75.865,Turkey,2022,253,False,True
53.0,13.266,12.3,11.7,13.533,11.966,13.1,75.865,Austria,2022,17,False,True
54.0,12.6,12.6,12.166,13.566,12.3,12.566,75.798,Austria,2022,39,False,True
55.0,11.666,11.766,12.566,13.866,12.8,13.066,75.73,Cyprus,2022,130,False,True
56.0,13.266,11.433,11.233,13.8,12.6,13.366,75.698,Finland,2022,322,False,True
57.0,12.2,11.4,12.3,13.933,13.1,12.733,75.666,Australia,2022,70,False,True
58.0,11.166,11.5,12.633,14.366,13.866,12.1,75.631,Azerbaijan,2022,166,False,True
59.0,12.533,10.9,12.3,13.4,13.533,12.9,75.566,Lithuania,2022,372,False,True
60.0,12.8,12.266,11.966,13.533,12.4,12.5,75.465,Portugal,2022,190,False,True
61.0,11.6,11.8,13.4,14.166,13.966,10.5,75.432,Bulgaria,2022,81,False,True
62.0,12.8,11.7,12.3,12.566,13.5,11.9,74.766,India,2022,129,False,True
63.0,11.133,11.833,12.0,13.766,12.9,13.033,74.665,Colombia,2022,24,False,True
64.0,12.833,12.1,11.566,12.733,12.966,12.433,74.631,Colombia,2022,235,False,True
65.0,13.0,13.0,11.866,13.3,12.3,10.9,74.366,Armenia,2022,127,False,True
66.0,12.566,10.366,12.366,13.7,12.933,12.366,74.297,Chile,2022,184,False,True
67.0,12.9,12.066,12.766,12.633,11.466,12.133,73.964,Netherlands,2022,180,False,True
68.0,12.566,9.5,12.866,13.2,12.7,12.966,73.798,Bulgaria,2022,401,False,True
69.0,11.6,12.566,11.833,13.7,12.8,11.033,73.532,Peru,2022,99,False,True
70.0,13.233,11.866,12.566,12.6,12.3,10.866,73.431,Switzerland,2022,27,False,True
71.0,11.6,12.3,12.8,13.5,13.033,10.166,73.399,Israel,2022,378,False,True
72.0,12.466,11.066,12.033,13.7,11.633,12.033,72.931,Morocco,2022,1,False,True
73.0,10.566,12.166,12.566,12.766,12.733,12.133,72.93,Rico,2022,189,False,True
74.0,11.966,9.566,12.566,13.2,12.366,12.733,72.397,Austria,2022,339,False,True
75.0,12.633,10.033,11.9,13.5,12.466,11.766,72.298,Iceland,2022,187,False,True
76.0,12.5,10.966,11.666,12.9,11.8,12.2,72.032,Sweden,2022,182,False,True
77.0,11.2,10.866,12.433,13.533,12.1,11.866,71.998,Iceland,2022,383,False,True
78.0,12.9,10.233,12.4,12.9,12.2,10.9,71.533,Ukraine,2022,51,False,True
79.0,11.733,9.033,12.233,13.633,12.433,12.2,71.265,Lithuania,2022,136,False,True
,14.3,14.266,13.233,14.266,14.933,0.0,70.998,Japan,2022,360,False,True
80.0,12.366,12.4,10.5,12.666,11.7,11.1,70.732,Greece,2022,30,False,True
81.0,12.266,9.233,11.6,13.533,12.566,11.4,70.598,Republic,2022,219,False,True
82.0,12.8,9.433,11.8,12.233,12.466,11.766,70.498,Cyprus,2022,256,False,True
83.0,13.033,5.4,12.633,14.233,12.6,11.833,69.732,Portugal,2022,135,False,True
84.0,12.533,8.666,11.266,12.966,11.666,11.3,68.397,Latvia,2022,318,False,True
,14.433,12.266,12.833,14.6,14.1,0.0,68.232,Italy,2022,276,False,True
,13.233,0.0,12.866,13.833,14.533,13.5,67.965,Italy,2022,248,False,True
85.0,14.133,12.833,14.333,0.0,13.666,11.9,66.865,States,2022,96,False,True
,14.1,12.0,0.0,13.9,12.4,14.366,66.766,Brazil,2022,32,False,True
,10.433,0.0,13.566,14.6,14.866,13.2,66.665,States,2022,74,False,True
,13.833,0.0,12.6,14.0,13.833,12.133,66.399,Switzerland,2022,263,False,True
,14.166,14.033,13.466,0.0,12.766,11.633,66.064,Britain,2022,173,False,True
,13.1,0.0,13.433,13.9,12.733,12.833,65.999,Canada,2022,67,False,True
,13.333,12.3,0.0,14.3,12.933,12.3,65.166,Taiwan,2022,398,False,True
