Athlete,Name_encoded
shiao yu-jan taiwan,353
frank rijken netherlands,125
noe seifert switzerland,299
ondrej kalny czech republic,302
filip lidbeck sweden,122
thomas grasso italy,376
zachary clay canada,418
alexander myakinin israel,22
mukhammadzhon yakubov russia,273
vladislav poliashov russia,398
vladyslav hryko ukraine,399
felix dolci canada,118
maxime gentges belgium,260
lin guan-yi taiwan,232
tseng wei-sheng taiwan,385
dominick cunningham great britain,98
david rumbutis sweden,86
brinn bevan great britain,59
kristopher bohorquez colombia,220
josue juarez mexico,202
javier sandoval colombia,184
thierno diallo spain,375
dilan jimenez colombia,90
antonios tantalidis greece,32
mustafa arca turkey,274
stefanos tsolakidis greece,358
szabolcs batori hungary,366
santos martinez mexico,341
dimitar dimitrov bulgaria,91
ivan tikhonov azerbaijan,173
phan ngoc hung vietnam,315
ilyas azizov kazakhstan,167
gagik khachikyan armenia,133
moreno kratter switzerland,272
abdelrahman abdelhaleem egypt,0
yazan al souliman syria,407
igor radivilov ukraine,162
diego neumaier mexico,89
kerem sener turkey,209
weng hao china,400
stephen nedoroscik united states,360
alec yoder united states,17
lan xingyu china,224
nariman kurbanov kazakhstan,276
minami kazuki japan,269
yonekura hidenobu japan,410
yang hakseon south korea,405
filip ude croatia,123
christian baumann switzerland,72
vinzenz höck austria,396
grigoriy klimentev russia,140
ibrahim colak turkey,159
harutyun merdinyan armenia,146
salvatore maresca italy,338
andrey medvedev israel,29
marco lodadio italy,244
hayden skinner great britain,148
marian dragulescu romania,246
emil soravuo finland,107
brody malone united states,60
asato keisuke japan,38
uchimura kohei japan,387
carlo macchini italy,66
ali zahran egypt,23
saso bertoncelj slovenia,342
andreas bretschneider germany,24
shek wai hung hong kong,351
ng ka ki hong kong,281
chris kaji canada,71
mateo zugec croatia,252
david vecsernyes hungary,88
arthur mariano brazil,35
jakov vlahek croatia,177
rhys mcclenaghan ireland,326
stavros gkinis greece,357
jaffar saleh al sayigh saudi arabia,175
rani dalsgard denmark,320
xheni dyrmishi austria,403
jon gunnarsson iceland,193
konstantine konstantinidis greece,218
sercan demir turkey,346
alexander diab united states,21
cyril tommasone france,82
huang mingqi china,153
radomir sliz czech republic,317
adria vera spain,9
auren benovic croatia,46
ilfrat imarjanov kazakhstan,163
bae garam south korea,47
elias koski finland,105
jayson rampersad canada,185
nasser al samiri saudi arabia,277
taha serhani switzerland,367
christoforos konstantinidis greece,73
marko jovicic croatia,249
zhang boheng china,421
hashimoto daiki japan,147
illia kovtun ukraine,166
yul moldauer united states,414
ahmet önder turkey,14
shi cong china,352
joel plata spain,192
william emard canada,401
joshua nathan great britain,200
nestor abad spain,280
adem asil turkey,7
henji mboyo switzerland,150
caio souza brazil,61
krisztofer meszaros hungary,222
robert tvorogal lithuania,334
luka van den keybus belgium,240
nikita ignatyev russia,290
robert kirmes finland,332
nikolaos iliopoulos greece,294
noah kuavita belgium,296
sofus heggemsnes norway,354
oskar kirmes finland,304
eyal indig israel,115
alexander benda austria,20
tanigawa wataru japan,371
hashimoto daiki japan,147
carlos yulo philippines,67
joe fraser great britain,190
zhang boheng china,421
asher hong united states,41
joel plata spain,192
brody malone united states,60
casimir schmidt netherlands,68
caio souza brazil,61
jake jarman great britain,176
diogo soares brazil,92
ryu sunghyun south korea,337
adem asil turkey,7
illia kovtun ukraine,166
yumin abbadini italy,415
tang chia-hung taiwan,369
lukas dauser germany,241
sofus heggemsnes norway,354
krisztian balazs hungary,221
jossimar calvo colombia,201
luka van den keybus belgium,240
gabriel burtanete romania,132
lorenzo casali italy,235
nestor abad spain,280
omar mohamed egypt,301
mohamed afify egypt,271
krisztofer meszaros hungary,222
harald wibye norway,144
abdulla azimov uzbekistan,3
paul degouy france,310
leo saladino france,231
lee junho south korea,230
kim jaeho south korea,216
felix dolci canada,118
benedek tomcsanyi hungary,50
glenn trebing germany,139
dominick cunningham ireland,99
noe seifert switzerland,299
elias koski finland,105
ilyas azizov kazakhstan,167
david rumbutis sweden,86
noah kuavita belgium,296
takumi onoshima belgium,368
khabibullo ergashev uzbekistan,212
santiago mayol argentina,340
yogeshwar singh india,409
razvan-denis marc romania,324
lais najjar syria,223
heath thorpe australia,149
maxime gentges belgium,260
mehmet ayberk kosak turkey,261
alexander benda austria,20
askhab matiev austria,43
georgios angonas cyprus,136
robert kirmes finland,332
clay mason stephens australia,74
ivan tikhonov azerbaijan,173
tomas kuzmickas lithuania,382
jose nogueira portugal,197
david huddleston bulgaria,85
gaurav kumar india,135
andres martinez colombia,27
manuel martinez colombia,243
gagik khachikyan armenia,133
joel alvarez chile,191
jermain grünberg netherlands,187
yordan aleksandrov bulgaria,411
edward gonzales peru,103
andrin frey switzerland,30
uri zeidel israel,388
abderrazak nasser morocco,1
jose lopez puerto rico,196
severin kranzlmüller austria,349
jonas thorisson iceland,194
joakim lenberg sweden,189
valgard reinhardsson iceland,393
bohdan suprun ukraine,55
gytis chasazyrovas lithuania,142
tanigawa kakeru japan,370
apostolos kanellos greece,33
leandro peña dominican republic,227
michalis chari cyprus,265
guilherme campos portugal,141
ricards plate latvia,328
nicola bartolini italy,285
matteo levantesi italy,256
donnell whittenburg united states,100
arthur mariano brazil,35
colt walker united states,78
moreno kratter switzerland,272
james hall great britain,180
chris kaji canada,71
yeh cheng taiwan,408
ahmed abdelrahman egypt,11
nicolau mir spain,288
giarnni regini-moran great britain,137
emil akhmejanov kazakhstan,106
cameron-lie bernard france,64
jordi hagenaar netherlands,195
dmitriy patanin kazakhstan,96
robert burtanete romania,331
mykyta melnykov ukraine,275
doi ryosuke japan,97
ferhat arican turkey,120
milad karimi kazakhstan,268
nils dunkel germany,295
botond kardos hungary,56
andreas toba germany,25
you hao china,412
yang jiaxing china,406
andrei muntean romania,26
sun wei china,363
samuel zakutney canada,339
martijn de veer netherlands,250
hung yuan-hsi taiwan,155
pascal brendel germany,307
mathias philippe france,254
zachary clay canada,418
lin guan-yi taiwan,232
ricardo rudy austria,327
florian langenegger switzerland,124
lee junghyo south korea,229
lucas bitencourt brazil,237
abdelrahman abdelhaleem egypt,0
ahmet önder turkey,14
pantely kolodii ukraine,306
william fu-allen new zealand,402
kamoto yuya japan,206
loran de munck netherlands,234
benjamin osberger france,51
yuri guimarães brazil,417
artem dolgopyat israel,34
rayderley zapata spain,323
william emard canada,401
thierno diallo spain,375
taha serhani switzerland,367
tyson bull australia,386
mitchell morgans australia,270
yunus gündogdu turkey,416
toma modoianu-zseder romania,381
isaac nuñez mexico,168
james bacueti australia,178
zou jingyuan china,422
courtney tulloch great britain,80
kim hansol south korea,215
marios georgiou cyprus,248
igor radivilov ukraine,162
robert tvorogal lithuania,334
rasuljon abdurakhimov uzbekistan,321
carlo macchini italy,66
ilias georgiou cyprus,165
mikhail koudinov new zealand,267
balazs kiss hungary,48
utkirbek juraev uzbekistan,390
vinzenz höck austria,396
nikolaos iliopoulos greece,294
hillal metidji algeria,151
javier sandoval colombia,184
andrey medvedev israel,29
alexander myakinin israel,22
rhys mcclenaghan ireland,326
stephen nedoroscik united states,360
nariman kurbanov kazakhstan,276
artur davtyan armenia,37
harutyun merdinyan armenia,146
vahagn davtyan armenia,391
artur avetisyan armenia,36
filip ude croatia,123
ahmad abu al soud jordan,10
aurel benovic croatia,45
sokratis pilakouris cyprus,355
shek wai hung hong kong,351
ewan mcateer ireland,114
nikita simonov azerbaijan,291
ali zahran egypt,23
stefanos tsolakidis greece,358
niklas syverhuset norway,292
tin srbic croatia,378
konstantinos konstantinidis greece,219
tseng wei-sheng taiwan,385
eamon montgomery ireland,102
ilia liubimov israel,164
akseli karsikas finland,16
stavros gkinis greece,357
nikolaj bozic slovenia,293
hashimoto daiki japan,147
zhang boheng china,421
tanigawa wataru japan,371
brody malone united states,60
jake jarman great britain,176
asher hong united states,41
illia kovtun ukraine,166
carlos yulo philippines,67
tang chia-hung taiwan,369
caio souza brazil,61
lukas dauser germany,241
casimir schmidt netherlands,68
lorenzo casali italy,235
krisztofer meszaros hungary,222
krisztian balazs hungary,221
nestor abad spain,280
diogo soares brazil,92
joel plata spain,192
sofus heggemsnes norway,354
luka van den keybus belgium,240
yumin abbadini italy,415
joe fraser great britain,190
gabriel burtanete romania,132
jossimar calvo colombia,201
vitaliy guimaraes oklahoma,397
khoi young stanford,213
asher hong cypress academy,39
yul moldauer 5280 gymnastics,413
colt walker stanford,77
taylor burkhart stanford boys,372
ian lasic-ellis stanford,157
riley loos stanford,329
colin van wicklen oklahoma,76
zachary nunez oklahoma,419
fuzzy benas oklahoma,130
raydel gamboa oklahoma,322
ian gunther stanford,156
michael jaroh penn state,264
isaiah drake navy,169
nicolas kuebler stanford,287
evan davis iowa gym act,112
mike fletcher illinois,266
jeremy bischoff stanford,186
jack freeman oklahoma,174
mathew davis army,253
noah newfeld uc berkeley,298
toby liang roswell,379
garrett braunton air force,134
james friedman iowa gym act,179
landen blixt infinity,225
michael artlip penn state,263
fred richard mega,127
matt cormier penn state,255
ignacio yockers pride,161
kazuki hayashi ohio state,208
cole partridge usa gym world,75
evan hymanson stanford boys,113
caleb melton apollo,62
robert neff usoptc,333
curran phillips stanford,81
alex diab usoptc,19
blake sun stanford,54
chiba kenta japan,70
kaya kazuma japan,207
hashimoto daiki japan,147
jake jarman great britain,176
james hall great britain,180
fred richard united states,129
milad karimi kazakhstan,268
asher hong united states,41
artem dolgopyat israel,34
adem asil türkiye,8
yumin abbadini italy,415
noe seifert switzerland,299
lukas dauser germany,241
sun wei china,363
lorenzo casali italy,235
artur davtyan armenia,37
rene cournoyer canada,325
krisztofer meszaros hungary,222
illia kovtun ukraine,166
florian langenegger switzerland,124
casimir schmidt netherlands,68
mario macchiati italy,247
lee junho south korea,230
ilia liubimov israel,164
ahmet önder türkiye,15
diogo soares brazil,92
nestor abad spain,280
thierno diallo spain,375
luka van den keybus belgium,240
andrei muntean romania,26
khabibullo ergashev uzbekistan,212
ivan tikhonov azerbaijan,173
sofus heggemsnes norway,354
pascal brendel germany,307
patrick sampaio brazil,309
abdulla azimov uzbekistan,3
omar mohamed egypt,301
clay mason stephens australia,74
oskar kirmes finland,304
ilias georgiou cyprus,165
oleg verniaiev ukraine,300
jermain grünberg netherlands,187
utkirbek juraev uzbekistan,390
léo saladino france,242
lee chih-kai taiwan,228
harald wibye norway,144
uri zeidel israel,388
jose nogueira portugal,197
zachary clay canada,418
mohamed afify egypt,271
mikhail koudinov new zealand,267
gagik khachikyan armenia,133
benedek tomcsanyi hungary,50
william emard canada,401
askhab matiev austria,43
isaac nuñez mexico,168
nazar chepurnyi ukraine,278
andres martinez colombia,27
krisztian balazs hungary,221
jim zona france,188
nikolaos iliopoulos greece,294
james hardy australia,181
sebastian gawronski poland,343
santiago mayol argentina,340
elias koski finland,105
kevin penev bulgaria,211
robert tvorogal lithuania,334
diorges escobar cuba,93
robert burtanete romania,331
valgard reinhardsson iceland,393
petar vefic serbia,313
andres perez puerto rico,28
yeh cheng taiwan,408
van vi luong vietnam,394
ethan dick new zealand,111
diyas toishybek kazakhstan,94
hillal metidji algeria,151
marcus stenberg sweden,245
adam steele ireland,6
kacper garnczarek poland,204
gytis chasazyrovas lithuania,142
ricardo rudy austria,327
ilyas azizov kazakhstan,167
usukhbayar erkhembayar mongolia,389
manuel martinez colombia,243
michalis chari cyprus,265
joel alvarez chile,191
yogeshwar singh india,409
yordan aleksandrov bulgaria,411
rodrigo gomez mexico,335
félix dolci canada,131
nicolau mir spain,288
emre dodanli türkiye,109
noah kuavita belgium,296
arthur mariano brazil,35
carlos yulo philippines,67
lucas kochan germany,239
dmitriy patanin kazakhstan,96
kim jaeho south korea,216
jordi hagenaar netherlands,195
maxime gentges belgium,260
ryu sunghyun south korea,337
kevin carvalho france,210
nicholas tarca romania,283
dilan jimenez colombia,90
ahmed abdelrahman egypt,11
zaid khater egypt,420
hamza hossaini morocco,143
paul juda united states,311
khoi young united states,214
sugimoto kaito japan,362
yul moldauer united states,414
lucas desanges france,238
shi cong china,352
nils dunkel germany,295
christian baumann switzerland,72
seo jungwon south korea,345
nicola cuyle belgium,286
taha serhani switzerland,367
joel plata spain,192
ferhat arican türkiye,121
glen cuyle belgium,138
su weide china,361
bart deurloo netherlands,49
pavel gulidov israel,312
courtney tulloch great britain,80
radomyr stelmakh ukraine,319
bernardo miranda brazil,53
toma modoianu romania,380
harry hepworth great britain,145
max whitlock great britain,258
rayderley zapata spain,323
nicola bartolini italy,285
abdulaziz mirvaliev uzbekistan,2
yuri guimarães brazil,417
liu yang china,233
neofytos kyriakou cyprus,279
nick klessing germany,284
lee junghyo south korea,229
botond molnar hungary,57
loran de munck netherlands,234
benjamin osberger france,51
matteo levantesi italy,256
luca giubellini switzerland,236
you hao china,412
mehmet ayberk kosak türkiye,262
juan larrahondo colombia,203
balazs kiss hungary,48
emilian neagu romania,108
rasuljon abdurakhimov uzbekistan,321
fabian de luna mexico,116
sergio vargas colombia,348
igor radivilov ukraine,162
minami kazuki japan,269
audrys nin reyes dominican republic,44
sebastian sponevik norway,344
mitchell morgans australia,270
alexander myakinin israel,22
dominick cunningham ireland,99
ahmed elmaraghy egypt,12
enkhtuvshin damdindorj mongolia,110
ricards plate latvia,328
ahmed riadh aliouat algeria,13
rhys mcclenaghan ireland,326
ahmad abu al soud jordan,10
eleftherios petrounias greece,104
nikita simonov azerbaijan,291
shek wai hung hong kong,351
harutyun merdinyan armenia,146
vinzenz höck austria,396
artur avetisyan armenia,36
vahagn davtyan armenia,391
tin srbic croatia,378
vedant sawant australia,395
matvei petrov albania,257
tseng wei-sheng taiwan,385
lin guan-yi taiwan,232
nariman kurbanov kazakhstan,276
filip lidbeck sweden,122
tyson bull australia,386
radomir sliz czechia,318
dmitrijs mickevics latvia,95
jayson rampersad canada,185
ivan dejanovic serbia,171
guilherme campos portugal,141
shiao yu-jan taiwan,353
marios georgiou cyprus,248
filip ude croatia,123
quentin brandenburger luxembourg,316
sokratis pilakouris cyprus,355
stefanos tsolakidis greece,358
dagur olafsson iceland,83
kim wanström sweden,217
eamon montgomery ireland,102
ondrej kalny czechia,303
akseli karsikas finland,16
hashimoto daiki japan,147
illia kovtun ukraine,166
fred richard united states,129
chiba kenta japan,70
milad karimi kazakhstan,268
yumin abbadini italy,415
sun wei china,363
noe seifert switzerland,299
james hall great britain,180
diogo soares brazil,92
krisztofer meszaros hungary,222
rene cournoyer canada,325
jake jarman great britain,176
florian langenegger switzerland,124
mario macchiati italy,247
lukas dauser germany,241
casimir schmidt netherlands,68
ilia liubimov israel,164
asher hong united states,41
thierno diallo spain,375
luka van den keybus belgium,240
ahmet önder türkiye,15
lee junho south korea,230
khabibullo ergashev uzbekistan,212
yul moldauer 5280 gymnastics,413
fred richard michigan,128
asher hong stanford,40
ian lasic-ellis stanford,157
shane wiskus evo,350
riley loos stanford,329
joshua karnes penn state,199
ian gunther stanford,156
mike fletcher illinois,266
cameron bock michigan,63
landen blixt michigan,226
david shamah evo,87
michael jaroh penn state,264
taylor christopulos nebraska,373
jeremy bischoff stanford,186
kameron nelson ohio state,205
noah newfeld berkeley,297
maxim bereznev roswell,259
chase davenport-mills roswell,69
evan hymanson stanford boys,113
rithik puri michigan,330
matt cormier penn state,255
anthony koppie roswell,31
isaiah drake navy,169
garrett braunton air force,134
drake andrews evo,101
michael artlip penn state,263
alex diab evo,18
javier alfonso michigan,182
curran phillips stanford,81
blake sun stanford,54
connor mccool illinois,79
spencer goodell oklahoma,356
khoi young stanford,213
jack freeman oklahoma,174
stephen nedoroscik evo,359
patrick hoopes air force,308
ian skirkey illinois,158
ignacio yockers oklahoma,160
brandon dang west coast,58
vahe petrosyan gym olympica,392
troy lipis gym world,384
