Rank,Athlete,Nation,D,E,ND,Total,round,year
21,james hall,none,5.8,8.3,0.0,14.1,qual,2018
22,artur dalaloyan,RUS,5.9,8.2,0.0,14.1,qual,2018
23,wataru tanigawa,JPN,6.0,8.0,0.0,14.0,qual,2018
24,kazuma kaya,JPN,6.1,7.866,0.0,13.966,qual,2018
25,sun wei,CHN,5.9,8.033,0.0,13.933,qual,2018
26,nick klessing,none,5.6,8.3,0.0,13.9,qual,2018
27,andrea russo,ITA,5.7,8.2,0.0,13.9,qual,2018
28,kohei uchimura,JPN,5.9,8.0,0.0,13.9,qual,2018
29,artur davtyan,ARM,5.3,8.566,0.0,13.866,qual,2018
30,ahmet önder,TUR,6.0,7.866,0.0,13.866,qual,2018
31,andrei muntean,ROU,5.9,7.958,0.0,13.858,qual,2018
32,marco sarrugerio,ITA,5.5,8.333,0.0,13.833,qual,2018
33,lin chaopan,CHN,5.6,8.233,0.0,13.833,qual,2018
34,julien gobaux,FRA,5.4,8.4,0.0,13.8,qual,2018
35,akash modi,USA,5.6,8.166,0.0,13.766,qual,2018
36,park min-soo,SKR,5.7,8.066,0.0,13.766,qual,2018
37,federico molinari,ARG,5.9,7.866,0.0,13.766,qual,2018
38,didier lugo,COL,6.1,7.666,0.0,13.766,qual,2018
39,kenzo shirai,JPN,5.7,8.033,0.0,13.733,qual,2018
40,joe fraser,none,5.4,8.3,0.0,13.7,qual,2018
41,carlos edriel yulo,PHI,5.5,8.2,0.0,13.7,qual,2018
41,cristian bataga,ROU,5.5,8.2,0.0,13.7,qual,2018
43,nestor abad,ESP,5.2,8.466,0.0,13.666,qual,2018
44,brinn bevan,none,5.1,8.5,0.0,13.6,qual,2018
45,bart deurloo,NED,5.3,8.3,0.0,13.6,qual,2018
46,ruben lopez,ESP,5.5,8.033,0.0,13.533,qual,2018
46,david belyavskiy,RUS,5.5,8.033,0.0,13.533,qual,2018
48,mustafa arca,TUR,5.5,8.0,0.0,13.5,qual,2018
48,alec yoder,USA,5.5,8.0,0.0,13.5,qual,2018
50,daniel villafane,ARG,5.9,7.6,0.0,13.5,qual,2018
51,dominick cunningham,none,5.4,8.066,0.0,13.466,qual,2018
52,rayderley zapata,ESP,5.7,7.766,0.0,13.466,qual,2018
53,scott morgan,CAN,5.8,7.666,0.0,13.466,qual,2018
53,yu chao-wei,none,5.8,7.666,0.0,13.466,qual,2018
55,loris frasca,FRA,4.9,8.533,0.0,13.433,qual,2018
56,jonathan vrolix,BEL,5.2,8.233,0.0,13.433,qual,2018
57,casimir schmidt,NED,5.5,7.933,0.0,13.433,qual,2018
58,christian baumann,SUI,5.1,8.3,0.0,13.4,qual,2018
59,rene cournoyer,CAN,5.3,8.1,0.0,13.4,qual,2018
60,eddy yusof,SUI,5.5,7.9,0.0,13.4,qual,2018
61,oleg verniaiev,UKR,4.9,8.466,0.0,13.366,qual,2018
62,kiryl tsiareshchanka,BLR,5.1,8.266,0.0,13.366,qual,2018
63,devy dyson,NZL,5.3,8.066,0.0,13.366,qual,2018
64,pablo brägger,SUI,4.6,8.733,0.0,13.333,qual,2018
65,lukas dauser,none,5.0,8.333,0.0,13.333,qual,2018
66,nicolau mir,ESP,5.1,8.233,0.0,13.333,qual,2018
67,vladyslav hryko,UKR,5.5,7.833,0.0,13.333,qual,2018
68,marios georgiou,CYP,5.0,8.3,0.0,13.3,qual,2018
69,petro pakhniuk,UKR,5.1,8.166,0.0,13.266,qual,2018
70,nikolaos iliopoulos,GRE,4.7,8.533,0.0,13.233,qual,2018
71,reiss beckford,JAM,5.1,8.133,0.0,13.233,qual,2018
72,rafael szabo,ROU,5.2,8.033,0.0,13.233,qual,2018
73,yul moldauer,USA,5.7,7.533,0.0,13.233,qual,2018
74,han jong hyok,none,5.5,7.725,0.0,13.225,qual,2018
75,ilias georgiou,CYP,4.6,8.6,0.0,13.2,qual,2018
76,robert tvorogal,LTU,4.7,8.5,0.0,13.2,qual,2018
76,frank rijken,NED,4.7,8.5,0.0,13.2,qual,2018
78,ludovico edalli,ITA,4.8,8.4,0.0,13.2,qual,2018
79,william broman,SWE,4.9,8.3,0.0,13.2,qual,2018
80,ng kiu chung,HKG,6.1,7.1,0.0,13.2,qual,2018
81,lee jun-ho,SKR,4.8,8.366,0.0,13.166,qual,2018
82,christopher remkes,AUS,5.1,8.066,0.0,13.166,qual,2018
83,kim han-sol,SKR,5.4,7.766,0.0,13.166,qual,2018
84,oliver hegi,SUI,4.9,8.233,0.0,13.133,qual,2018
85,bae ga-ram,SKR,4.9,8.2,0.0,13.1,qual,2018
86,jossimar calvo,COL,5.1,7.966,0.0,13.066,qual,2018
87,rokas guscinas,LTU,5.2,7.866,0.0,13.066,qual,2018
88,elias koski,FIN,4.5,8.533,0.0,13.033,qual,2018
89,ri wi chol,none,5.1,7.933,0.0,13.033,qual,2018
90,le thanh tung,VIE,4.8,8.2,0.0,13.0,qual,2018
91,zachary clay,CAN,5.3,7.7,0.0,13.0,qual,2018
92,bernardo almeida,POR,4.9,8.066,0.0,12.966,qual,2018
93,ilyas azizov,KAZ,4.4,8.533,0.0,12.933,qual,2018
94,mitchell morgans,AUS,4.9,8.033,0.0,12.933,qual,2018
95,hsu ping-chien,none,5.6,7.333,0.0,12.933,qual,2018
96,oskar kirmes,FIN,4.7,8.166,0.0,12.866,qual,2018
97,maxime gentges,BEL,4.9,7.966,0.0,12.866,qual,2018
98,andrey medvedev,ISR,4.8,8.033,0.0,12.833,qual,2018
99,francisco barretto,BRA,4.9,7.933,0.0,12.833,qual,2018
100,michalis krasias,CYP,4.2,8.6,0.0,12.8,qual,2018
101,rasuljon abdurakhimov,UZB,4.7,8.1,0.0,12.8,qual,2018
102,petrix barbosa,POR,5.1,7.7,0.0,12.8,qual,2018
103,milad karimi,KAZ,4.5,8.266,0.0,12.766,qual,2018
103,akim mussayev,KAZ,4.5,8.266,0.0,12.766,qual,2018
105,cory patterson,CAN,4.7,8.066,0.0,12.766,qual,2018
106,lucas bitencourt,BRA,5.5,7.266,0.0,12.766,qual,2018
107,ri yong min,none,5.6,7.166,0.0,12.766,qual,2018
108,yordan aleksandrov,BUL,4.8,7.933,0.0,12.733,qual,2018
109,santiago mayol,ARG,5.0,7.733,0.0,12.733,qual,2018
110,david rumbutis,SWE,4.3,8.416,0.0,12.716,qual,2018
111,franz card,FIN,4.2,8.5,0.0,12.7,qual,2018
112,jon gunnarsson,ISL,4.6,8.1,0.0,12.7,qual,2018
113,saba abesadze,GEO,4.8,7.9,0.0,12.7,qual,2018
114,raman antropau,BLR,4.0,8.633,0.0,12.633,qual,2018
115,mikhail koudinov,NZL,4.6,8.033,0.0,12.633,qual,2018
116,harald wibye,NOR,4.1,8.5,0.0,12.6,qual,2018
117,andrey likhovitskiy,BLR,4.6,8.0,0.0,12.6,qual,2018
118,adam babos,HUN,4.9,7.7,0.0,12.6,qual,2018
119,georgios chatziefstathiou,GRE,4.4,8.166,0.0,12.566,qual,2018
120,vitalii arseniev,GEO,4.6,7.966,0.0,12.566,qual,2018
121,stian skjerahaug,NOR,4.5,8.033,0.0,12.533,qual,2018
122,antoine borello,FRA,4.6,7.933,0.0,12.533,qual,2018
122,ferhat arican,TUR,4.6,7.933,0.0,12.533,qual,2018
124,noah kuavita,BEL,4.7,7.833,0.0,12.533,qual,2018
124,sofus heggemsnes,NOR,4.7,7.833,0.0,12.533,qual,2018
126,antonios tantalidis,GRE,4.0,8.525,0.0,12.525,qual,2018
127,ryan sheppard,HUN,4.3,8.2,0.0,12.5,qual,2018
128,clay mason stephens,AUS,4.2,8.266,0.0,12.466,qual,2018
129,ivan tikhonov,AZE,5.0,7.466,0.0,12.466,qual,2018
130,isaac nuñez,MEX,4.5,7.933,0.0,12.433,qual,2018
131,julian jato,ARG,4.2,8.2,0.0,12.4,qual,2018
131,tyson bull,AUS,4.2,8.2,0.0,12.4,qual,2018
133,akobir khamrokulov,UZB,4.9,7.466,0.0,12.366,qual,2018
134,milos paunovic,SRB,5.1,7.266,0.0,12.366,qual,2018
135,caleb faulk,JAM,4.9,7.433,0.0,12.333,qual,2018
136,murad agharzayev,AZE,4.4,7.9,0.0,12.3,qual,2018
137,botond kardos,HUN,4.6,7.7,0.0,12.3,qual,2018
138,stephen lewis,JAM,4.5,7.766,0.0,12.266,qual,2018
139,kim vanström,SWE,4.3,7.933,0.0,12.233,qual,2018
140,ethan dick,NZL,3.8,8.4,0.0,12.2,qual,2018
141,slavomir michnak,SVK,3.9,8.3,0.0,12.2,qual,2018
142,michael sorokine,ISR,4.2,8.0,0.0,12.2,qual,2018
143,pham phuoc hung,VIE,4.6,7.566,0.0,12.166,qual,2018
144,frantisek cerny,CZE,4.1,8.033,0.0,12.133,qual,2018
144,daniel radovesnicky,CZE,4.1,8.033,0.0,12.133,qual,2018
146,shiao yu-jan,none,4.3,7.833,0.0,12.133,qual,2018
146,abdulla azimov,UZB,4.3,7.833,0.0,12.133,qual,2018
148,paul degouy,FRA,4.5,7.633,0.0,12.133,qual,2018
149,karl idesjö,SWE,4.6,7.533,0.0,12.133,qual,2018
150,henrik stiansen,NOR,4.7,7.408,0.0,12.108,qual,2018
151,lukas kranzlmüller,AUT,3.7,8.4,0.0,12.1,qual,2018
152,adam steele,IRL,4.2,7.9,0.0,12.1,qual,2018
152,valgard reinhardsson,ISL,4.2,7.9,0.0,12.1,qual,2018
154,matthias schwab,AUT,4.5,7.6,0.0,12.1,qual,2018
154,daniel aguero,PER,4.5,7.6,0.0,12.1,qual,2018
156,konstantin kuzovkov,GEO,4.6,7.5,0.0,12.1,qual,2018
157,dzianis sanuvonh,BLR,4.7,7.4,0.0,12.1,qual,2018
158,severin kranzlmüller,AUT,4.2,7.866,0.0,12.066,qual,2018
159,joshua valle,MEX,5.5,6.566,0.0,12.066,qual,2018
160,ilan korchak,ISR,4.2,7.833,0.0,12.033,qual,2018
161,nikola jurkovic,SRB,4.1,7.9,0.0,12.0,qual,2018
162,ahmed al dyani,QAT,4.3,7.7,0.0,12.0,qual,2018
163,randy leru,CUB,4.4,7.6,0.0,12.0,qual,2018
164,daniel ponizil,CZE,3.4,8.566,0.0,11.966,qual,2018
165,artem dolgopyat,ISR,4.3,7.666,0.0,11.966,qual,2018
166,simao almeida,POR,5.2,6.766,0.0,11.966,qual,2018
167,han chung hyo,none,5.3,6.666,0.0,11.966,qual,2018
168,tikumporn surintornta,THA,4.7,7.233,0.0,11.933,qual,2018
169,bobur toshpulatov,UZB,3.9,8.0,0.0,11.9,qual,2018
170,bram louwije,NED,3.7,8.1,0.0,11.8,qual,2018
171,jorden o’connell-inns,NZL,4.2,7.566,0.0,11.766,qual,2018
172,dmitrii govorov,GEO,4.4,7.333,0.0,11.733,qual,2018
173,petar vefic,SRB,4.2,7.366,0.0,11.566,qual,2018
174,wei an terry tay,SIN,4.2,7.333,0.0,11.533,qual,2018
175,tomas kuzmickas,LTU,4.9,6.6,0.0,11.5,qual,2018
176,andres martinez,COL,4.6,6.733,0.0,11.333,qual,2018
177,carlos calvo,COL,4.6,6.7,0.0,11.3,qual,2018
178,phan ngoc hung,VIE,3.3,7.966,0.0,11.266,qual,2018
179,timur bairamov,AZE,3.4,7.766,0.0,11.166,qual,2018
180,eythor baldursson,ISL,3.9,7.1,0.0,11.0,qual,2018
181,israel chiriboga,ECU,3.2,7.533,0.0,10.733,qual,2018
182,svjatoslav solovjev,CZE,2.8,8.166,-0.3,10.666,qual,2018
183,loo phay xing,MAS,3.8,6.6,0.0,10.4,qual,2018
184,arian leon,PER,2.7,7.566,0.0,10.266,qual,2018
185,saleem naghouj,JOR,3.7,6.866,-0.3,10.266,qual,2018
186,yerbol jantykov,KAZ,4.0,6.1,-0.3,9.8,qual,2018
187,ahmed mosa,QAT,3.7,6.1,0.0,9.8,qual,2018
188,petar velickovic,SRB,4.1,5.7,0.0,9.8,qual,2018
189,patricio razo,MEX,3.2,7.2,-4.0,6.4,qual,2018
190,filip ude,CRO,2.2,8.383,-4.3,6.283,qual,2018
191,leonardo kusan,CRO,2.5,7.633,-4.0,6.133,qual,2018
192,jamorn prommanee,THA,2.9,7.3,-4.3,5.9,qual,2018
193,lee chih-kai,none,3.6,6.3,-4.0,5.9,qual,2018
194,anton kovacevic,CRO,2.1,7.666,-4.3,5.466,qual,2018
