Rank,Athlete,Nation,D,E,ND,Total,round,year
136,igor radivilov,UKR,5.4,7.833,-0.6,12.633,qual,2018
137,ri se gwang,none,5.0,7.566,0.0,12.566,qual,2018
138,petar velickovic,SRB,5.2,7.366,0.0,12.566,qual,2018
139,yordan aleksandrov,BUL,4.7,7.833,0.0,12.533,qual,2018
140,abdulla azimov,UZB,5.2,7.733,-0.4,12.533,qual,2018
141,patricio razo,MEX,5.0,7.533,0.0,12.533,qual,2018
142,stephen lewis,JAM,5.1,7.4,0.0,12.5,qual,2018
143,david belyavskiy,RUS,5.7,6.8,0.0,12.5,qual,2018
144,michalis krasias,none,4.8,7.866,-0.2,12.466,qual,2018
145,le thanh tung,VIE,4.6,7.866,0.0,12.466,qual,2018
146,joshua valle,MEX,4.7,7.766,0.0,12.466,qual,2018
147,harald wibye,NOR,5.2,7.266,0.0,12.466,qual,2018
148,philipp herder,none,5.8,6.766,-0.1,12.466,qual,2018
149,carlos calvo,COL,5.2,7.533,-0.3,12.433,qual,2018
150,vahagn davtyan,ARM,4.0,8.708,-0.3,12.408,qual,2018
151,yazan al souliman,SYR,4.5,7.9,0.0,12.4,qual,2018
151,petar vefic,SRB,4.5,7.9,0.0,12.4,qual,2018
153,nikolaos kranitis,GRE,5.3,7.266,-0.2,12.366,qual,2018
154,simao almeida,POR,5.0,7.633,-0.3,12.333,qual,2018
155,filip ude,CRO,3.9,8.7,-0.3,12.3,qual,2018
156,andres martinez,COL,5.5,6.866,-0.1,12.266,qual,2018
157,andrew smith,IRL,4.8,7.733,-0.3,12.233,qual,2018
158,saleem naghouj,JOR,4.5,7.8,-0.1,12.2,qual,2018
159,rafael szabo,ROU,4.8,7.4,0.0,12.2,qual,2018
160,erick vargas,COL,5.0,7.2,0.0,12.2,qual,2018
161,akobir khamrokulov,UZB,4.6,7.666,-0.1,12.166,qual,2018
162,matthias schwab,AUT,5.2,6.866,0.0,12.066,qual,2018
163,adam steele,IRL,5.0,7.333,-0.3,12.033,qual,2018
164,michael sorokine,ISR,4.8,7.233,0.0,12.033,qual,2018
165,eleftherios petrounias,GRE,5.1,6.933,0.0,12.033,qual,2018
166,mustafa arca,TUR,5.4,6.633,0.0,12.033,qual,2018
167,caleb faulk,JAM,4.8,7.2,0.0,12.0,qual,2018
168,valgard reinhardsson,ISL,5.3,7.366,-0.7,11.966,qual,2018
169,luka van den keybus,BEL,5.4,6.566,0.0,11.966,qual,2018
170,bojan dejanovic,SRB,4.9,7.0,0.0,11.9,qual,2018
171,neofytos kyriakou,CYP,4.7,7.1,0.0,11.8,qual,2018
172,franz card,FIN,4.1,7.666,0.0,11.766,qual,2018
173,vitalii arseniev,GEO,4.0,7.741,0.0,11.741,qual,2018
174,ilias georgiou,CYP,4.8,7.2,-0.3,11.7,qual,2018
175,lukas kranzlmüller,AUT,4.2,7.466,0.0,11.666,qual,2018
176,phan ngoc hung,VIE,4.1,7.633,-0.1,11.633,qual,2018
177,frantisek cerny,CZE,5.3,6.4,-0.1,11.6,qual,2018
178,jorge vega,GUA,5.9,5.666,0.0,11.566,qual,2018
179,robert tvorogal,LTU,4.9,6.633,0.0,11.533,qual,2018
180,azeez al-delfi,IRQ,4.4,7.1,0.0,11.5,qual,2018
181,tin srbic,CRO,3.5,8.266,-0.3,11.466,qual,2018
182,arian leon,PER,3.9,7.566,0.0,11.466,qual,2018
183,lee hyeok-jung,SKR,5.3,6.166,0.0,11.466,qual,2018
184,vladyslav hryko,UKR,5.4,6.066,0.0,11.466,qual,2018
185,bernardo almeida,POR,4.8,6.933,-0.3,11.433,qual,2018
186,fabio sereinig,AUT,4.6,6.833,0.0,11.433,qual,2018
187,manrique larduet,CUB,4.9,6.9,-0.4,11.4,qual,2018
188,ri wi chol,none,5.3,6.333,-0.3,11.333,qual,2018
189,nick klessing,none,5.5,5.9,-0.1,11.3,qual,2018
190,eythor baldursson,ISL,4.9,6.366,0.0,11.266,qual,2018
191,jamorn prommanee,THA,4.5,6.533,0.0,11.033,qual,2018
192,ioane jimsheleishvili,GEO,4.7,6.566,-0.3,10.966,qual,2018
193,anton kovacevic,CRO,2.7,8.5,-0.3,10.9,qual,2018
194,ahmed al dyani,QAT,4.8,6.4,-0.4,10.8,qual,2018
195,murad agharzayev,AZE,5.3,5.666,-0.4,10.566,qual,2018
196,ahmed mosa,QAT,4.3,6.2,0.0,10.5,qual,2018
197,timur bairamov,AZE,3.9,6.533,0.0,10.433,qual,2018
198,han chung hyo,none,2.7,6.566,0.0,9.266,qual,2018
199,wei an terry tay,SIN,4.1,5.166,-0.2,9.066,qual,2018
200,abdullah al-dulaimi,IRQ,3.6,4.033,-0.2,7.433,qual,2018
