Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
25,Ludovico Edalli,Italy,13.833,13.566,13.166,14,13.9,13.233,81.698
26,Milad Karimi,Kazakhstan,14.433,11.8,13.1,14.366,14,13.9,81.599
27,Samuel Mikulak,United States,11.533,12.6,13.7,14.566,14.333,14.866,81.598
28,Loris Frasca,France,14.166,13.533,13.1,14.433,13.266,13.1,81.598
29,Robert Tvorogal,Lithuania,13.566,12.866,13.2,13.733,14.1,14.075,81.54
30,Alexander Shatilov,Israel,14.3,13.3,12.766,14.041,13.6,13.5,81.507
31,Akash Modi,United States,13.333,13.533,13.666,14.066,14.533,12.166,81.297
32,Akim Mussayev,Kazakhstan,13.8,14.133,12.9,14.2,13.6,12.6,81.233
33,Ferhat Arican,Turkey,13.3,13.833,12.533,13.3,14.933,13.333,81.232
34,Joel Plata,Spain,13.833,12.5,13.166,13.966,14.066,13.7,81.231
35,Ahmet Önder,Turkey,13.933,10.9,13.933,13.733,14.8,13.733,81.032
36,Artem Dolgopyat,Israel,15.033,13.933,12.766,14.533,13.666,11.1,81.031
37,Artur Davtyan,Armenia,13.666,13.466,13.8,14.533,12.633,12.8,80.898
38,Niccolo Mozzato,Italy,14,11.7,13,14.1,13.566,14.2,80.566
39,David Huddleston,Bulgaria,13.7,13.233,12.8,13.833,13.8,13.166,80.532
40,Kakeru Tanigawa,Japan,12.566,14.4,13.633,12.466,14.633,12.833,80.531
41,Bart Deurloo,Netherlands,14,13.166,13.233,12.8,13.566,13.766,80.531
42,Daniel Corral,Mexico,13.8,13.966,12.966,13.566,13.766,12.1,80.164
43,Rene Cournoyer,Canada,13.5,12.233,13.433,14.266,13.8,12.9,80.132
44,Giarnni Regini-Moran,Great Britain,14.316,11.866,13.033,14.533,13.066,13.266,80.08
45,Antoine Borello,France,13.433,13.4,12.716,13.733,13.233,13.516,80.031
46,Rasuljon Abdurakhimov,Uzbekistan,13.5,12,13.133,14.2,14.333,12.633,79.799
47,Marios Georgiou,Cyprus,12.333,14.1,13.1,13.733,13,13.533,79.799
48,Ivan Tikhonov,Azerbaijan,13.466,13.033,13.433,13.433,13.4,13,79.765
49,David Rumbutis,Sweden,13.966,12.733,12.6,14.533,13.1,12.766,79.698
50,Andrey Likhovitskiy,Belarus,13.266,12.7,12.933,13.066,14.266,13.466,79.697
51,Sofus Heggemsnes,Norway,13.433,12.2,13.166,14.158,13.433,13.233,79.623
52,David Jessen,Czech Republic,13.266,13.533,12.433,13.5,13.066,13.6,79.398
53,Philipp Herder,Germany,13.933,11.8,13.133,13.766,13.166,13.566,79.364
54,Casimir Schmidt,Netherlands,14.033,12.9,13.666,13.166,13.5,12,79.265
55,Tomas Gonzalez,Chile,14,11.666,12.533,14.266,13.4,13.266,79.131
56,Andrei Muntean,Romania,11.833,10.633,14.333,14.383,14.433,13.333,78.948
57,Karim Rida,Germany,13.666,12.966,13.1,13.533,12.233,13.4,78.898
58,Luka van den Keybus,Belgium,14.133,11.433,12.3,13.9,13.566,13.5,78.832
59,Le Thanh Tung,Vietnam,13.3,11.633,12.333,14.9,13.566,13.1,78.832
60,Santiago Mayol,Argentina,13.3,12.966,12.766,14.033,13.133,12.566,78.764
61,Vinzenz Höck,Austria,13,12.466,14.3,13.7,12.2,13.033,78.699
62,Cory Paterson,Canada,12.8,12.233,13.1,13.566,14,12.9,78.599
63,Jimmy Verbaeys,Belgium,13.566,13.2,12.566,12.366,13.333,13.533,78.564
64,Noah Kuavita,Belgium,12.966,10.933,12.733,14.4,13.866,13.566,78.464
65,Yordan Aleksandrov,Bulgaria,13.433,11.566,12.733,13.8,14.008,12.866,78.406
66,Audrys Nin Reyes,Dominican Republic,12.866,12.666,12.266,13.2,14.025,13.333,78.356
67,Isaac Nunez,Mexico,13.4,12.166,12.133,13.8,13.066,13.6,78.165
68,Andres Martinez,Colombia,13.533,12.666,11.9,13.6,13.266,13.116,78.081
69,Nikolaos Iliopoulos,Greece,12.5,11.8,12.866,13.8,13.9,13.166,78.032
70,Ryan Sheppard,Hungary,11.933,12.9,12.1,14.066,13.433,13.6,78.032
71,Krisztofer Meszaros,Hungary,13.066,13.066,12.9,13.5,12.766,12.5,77.798
72,Abdulla Azimov,Uzbekistan,13.4,14,12.666,12.733,12.266,12.5,77.565
73,Frank Rijken,Netherlands,12.533,12.633,12.7,12.566,13.766,13.366,77.564
74,Mitchell Morgans,Australia,13.308,11.333,12.791,13.866,13.466,12.766,77.53
75,Dinh Phuong Thanh,Vietnam,12.433,12.933,12.033,13.5,14.466,12.1,77.465
76,Adam Steele,Ireland,13.7,12.933,12.233,13.966,13.033,11.566,77.431
77,Oskar Kirmes,Finland,13.3,11.566,12.566,13.766,13.366,12.666,77.23
78,Julien Saleur,France,13.566,12.8,12.033,13.8,13.566,11.4,77.165
79,Elias Koski,Finland,13.066,12.966,11.566,13.733,12.933,12.8,77.064
80,Dzianis Sanuvonh,Belarus,13.933,10.966,11.5,14.4,13.366,12.866,77.031
81,Lucas Bitencourt,Brazil,13,12.666,11.433,14.3,13.466,12.133,76.998
82,Michael Tone,Australia,12.666,13.033,12.9,14.166,12.3,11.933,76.998
83,Alexander Benda,Austria,13.1,11.5,12.7,13.533,12.633,13.5,76.998
84,Robert Kirmes,Finland,13.633,11.933,12.166,13.833,12.933,12.4,76.898
85,Mikhail Koudinov,New Zealand,12.6,12.333,12.7,13.533,13.9,11.733,76.799
86,Carlos Calvo,Colombia,12,12.733,11.966,13.033,13.433,13.5,76.665
87,Loo Phay Xing,Malaysia,11.833,12.466,12.433,13.7,13.666,12.566,76.664
88,Hsu Ping Chien,Chinese Taipei,12.5,12.1,12.8,13.8,12.3,13.133,76.633
89,Petrix Barbosa,Portugal,12.266,12.566,13.5,13.733,12.658,11.866,76.589
90,Mohamed Afify,Egypt,12.533,12.233,12.333,13.7,12.8,12.7,76.299
91,Andres Perez,Puerto Rico,13.133,12.033,12.366,13.3,12.5,12.9,76.232
92,Yogeshwar Singh,India,12.866,12.7,12.266,13.733,11.766,12.766,76.097
93,Ilias Georgiou,Cyprus,11.7,10.133,13.166,13.733,14.1,13.2,76.032
94,Adickxon Trejo,Venezuela,12.566,12.466,11.166,13.8,13.266,12.633,75.897
95,Valgard Reinhardsson,Iceland,13.366,11.766,12.466,13.966,11.6,12.7,75.864
96,Ilyas Azizov,Kazakhstan,12,12.566,12.5,13.533,12.866,12.266,75.731
97,Matvei Petrov,Albania,11.433,12.1,13.158,12.866,13.533,12.566,75.656
98,Pietro Giachino,Norway,13.266,12.466,12.866,12.7,12.2,12.1,75.598
99,Stian Skjerahaug,Norway,14.1,10.566,11.233,13.966,12.966,12.633,75.464
100,Devy Dyson,New Zealand,12.4,11.166,13.3,12.9,12.533,13.033,75.332
101,Dawid Weglarz,Poland,13.2,12.366,11.5,13.466,12.933,11.733,75.198
102,Karl Idesjö,Sweden,13.6,9.466,12.866,13.366,13.733,12.166,75.197
103,Rafael Rosendi,Cuba,12.266,10.841,12.575,13.266,13.1,13.066,75.114
104,Isaac Cotto,Puerto Rico,12.066,12.6,12.766,13.933,13.35,10.366,75.081
105,Daniel Radovesnicky,Czech Republic,12.966,10.6,11.733,13.333,13.5,12.9,75.032
106,Ahmed Al Dyani,Qatar,12.366,13.133,12.1,13.4,12.366,11.666,75.031
107,Olegs Ivanovs,Latvia,12.833,10.3,12.266,13.866,12.966,12.733,74.964
108,Benedek Tomcsanyi,Hungary,12.533,10.633,12.533,13.766,12.833,12.666,74.964
109,Reiss Beckford,Jamaica,12.933,10.866,12.966,13.666,12.033,12.433,74.897
110,Fabian de Luna,Mexico,12.4,10.833,14.066,14,12.633,10.933,74.865
111,Daniel Villafañe,Argentina,12.3,11,13.266,13.975,12.133,12.133,74.807
112,Tomas Kuzmickas,Lithuania,13.033,10.933,11.933,13.366,13.666,11.733,74.664
113,Bernardo Almeida,Portugal,13.066,9.9,12.733,13.666,12.7,12.533,74.598
114,Bojan Dejanovic,Serbia,13,11.966,11.766,13.6,11.8,12.433,74.565
115,Hillal Metidji,Algeria,12.366,12.8,11.466,14,13.358,10.566,74.556
116,Khabibullo Ergashev,Uzbekistan,13.133,12.666,12.866,12.333,10.633,12.666,74.297
117,Murad Agharzayev,Azerbaijan,13.033,11.133,12.133,13.733,12.766,11.4,74.198
118,Konstantin Kuzovkov,Georgia,13.933,10.5,12.533,13.566,12.2,11.433,74.165
119,Matthias Schwab,Austria,13.133,9.533,12.066,13.6,13.033,12.7,74.065
120,Lukasz Borkowski,Poland,12.833,11.533,12.566,13.766,11.633,11.666,73.997
121,Filip Sasnal,Poland,12,11.533,12.566,12.666,12.9,12.2,73.865
122,Ashish Kumar,India,13.5,10.1,12.766,12.4,13.1,11.766,73.632
123,Rihards Trams,Latvia,12.866,11.5,11.833,13.633,11.366,12.366,73.564
124,Israel Chiriboga,Ecuador,12.633,12.2,12.2,12.1,13.233,11.166,73.532
125,Joel Alvarez,Chile,12.866,8.633,12.066,13.733,13.2,12.9,73.398
126,Razvan-Denis Marc,Romania,13,11.4,12.333,13.4,10.866,12.233,73.232
127,Jesus Moreto,Peru,12.6,11.8,11,13.416,13,11.333,73.149
128,Aditya Rana,India,13,10.533,12.766,12.133,13.066,11.6,73.098
129,Slavomir Michnak,Slovakia,11.3,12.366,12.133,12.133,12.6,12.5,73.032
130,Vlada Rakovic,Serbia,12.4,11.466,12.7,12.566,10.766,13.033,72.931
131,Vitalijs Kardasovs,Latvia,12.966,10.6,11.3,13.633,12.033,12.133,72.665
132,Bidzina Sitchinava,Georgia,12.7,11,11.933,12.933,12.166,11.833,72.565
133,Enkhtulga Altansukh,Mongolia,12.666,9.833,11.733,13.766,11.7,12.533,72.231
134,Joseph Fox,Trinidad & Tobago,11.866,11.166,12.2,12.766,12.066,12.133,72.197
135,Jamorn Prommanee,Thailand,12.7,10.9,11.4,12.766,13.333,11.066,72.165
136,Saleem Naghouj,Jordan,12.266,10.5,11.5,13.7,11.866,12.1,71.932
137,Manuel Martinez,Colombia,10.966,11.7,12.7,13.5,10.033,12.866,71.765
138,Ioane Jimsheleishvili,Georgia,13.3,8.966,11.6,13.7,12.1,12,71.666
139,Kevin Crovetto,Monaco,11.633,11.2,11.4,12.9,11.933,12.1,71.166
140,Toma Modoianu-Zseder,Romania,10.633,9.316,12.933,13.4,12.866,11.9,71.048
141,Jose Lopez,Puerto Rico,10.366,9.366,12.9,13.9,12.2,12.233,70.965
142,Frantisek Cerny,Czech Republic,13.266,10.133,12.266,12.5,10.566,12.166,70.897
—,Yuya Kamoto,Japan,13.866,——,14.283,13.966,14.7,14.033,70.848
143,Ri Wi Chol,North Korea,13.166,9.8,11.633,13.8,12.333,10.033,70.765
144,Victor Rostagno,Uruguay,13.2,9.066,12.633,12.266,11.166,12.066,70.397
—,Eddy Yusof,Switzerland,13.9,——,13.733,14.466,14.266,13.866,70.231
145,Tarik Soto,Costa Rica,11.866,10.975,10.508,13.033,12.166,11.166,69.714
—,Nicolau Mir,Spain,14.533,——,13.1,14.366,14.433,13.266,69.698
146,Petar Vefic,Serbia,13,9.5,11.066,13.433,10.033,12.566,69.598
147,Andres Valverde,Costa Rica,12.233,11.166,11.1,13.433,11.966,9.066,68.964
—,Arthur Mariano,Brazil,14.166,12.466,——,14.575,12.8,14.6,68.607
—,Lee Jun-ho,South Korea,14.366,12.8,——,14.366,13.325,13.333,68.19
148,Arian Leon Prado,Peru,12.766,7.733,11.8,13.133,11.933,10.433,67.798
—,Samuel Zakutney,Canada,13.433,12.333,——,14.266,13.866,13.5,67.398
149,Martin Gudmundsson,Iceland,11.666,5.333,11.5,13.4,12.166,12.2,66.265
—,Ilya Yakauleu,Belarus,12.366,——,13.141,14.366,13.233,12.866,65.972
150,Fabio Chicas,El Salvador,10.833,10.366,10.733,12.2,11.966,8.966,65.064
—,Yunus Gündogdu,Turkey,13.066,11.533,13.666,13.733,11.466,——,63.464
—,Eeli Mikkola,Finland,——,11.6,11.866,13,12.9,12.733,62.099
—,Yerbol Jantykov,Kazakhstan,13.5,——,11.933,12.7,9.566,13.6,61.299
151,Gerardo Cabrera,Uruguay,10.633,4.5,10.4,13.133,10.633,10.333,59.632
—,Daiki Hashimoto,Japan,14.433,14.883,——,14.766,——,14.366,58.448
152,Meshari Al Deriwish,Kuwait,9.7,8.166,9.2,10.433,10.166,10.066,57.731
153,Abellino Rubio,Guatemala,10.233,3.6,11.033,11.3,10.9,10.433,57.499
154,Nabil Zouhair,Morocco,11.766,2.4,10.633,12.7,9.266,9.033,55.798
155,Ali Al Jafar,Kuwait,11.766,7,9.233,11.8,4.133,10.633,54.565
—,Shane Wiskus,United States,13.466,12.866,——,——,14.033,14.166,54.531
—,Christian Baumann,Switzerland,——,12.733,13.533,——,14.566,13.333,54.165
—,Marco Lodadio,Italy,13.533,——,14.666,12.8,12.966,——,53.965
—,Park Min-soo,South Korea,——,12.966,13.766,——,13,13.9,53.632
—,Gabriel Swan,Australia,12.533,——,12.5,14.366,——,13.666,53.065
—,Adria Vera,Spain,——,13.033,12.9,14.433,——,12.5,52.866
—,Francisco Barretto,Brazil,——,13.733,12.933,——,13.6,12.433,52.699
—,Michel Bletterman,Netherlands,13.233,12.866,12.5,13.766,——,——,52.365
—,Vladyslav Hryko,Ukraine,13.633,13.166,——,——,13.8,11.133,51.732
—,Yahor Sharamkou,Belarus,12.433,12.433,11.666,14.166,——,——,50.698
—,Vlad Cotuna,Romania,——,10.533,13,——,13.633,13.466,50.632
—,Tikumporn Surintornta,Thailand,13.466,——,11.766,12.866,——,12,50.098
—,Jackson Payne,Canada,——,10.633,12.766,——,14.266,12.4,50.065
—,Mustafa Arca,Turkey,12.266,11.666,——,13.866,——,11.433,49.231
156,Sabah Al Subaiei,Kuwait,11.233,6,3.516,11.766,4.9,9.1,46.515
—,Zou Jingyuan,China,——,14.958,14.3,——,14.633,——,43.891
—,Lin Chaopan,China,14.933,——,——,14.1,——,14.433,43.466
—,Dominick Cunningham,Great Britain,14.6,——,13.833,14.766,——,——,43.199
—,Yang Hak-seon,South Korea,13.733,——,13.8,15.3,——,——,42.833
—,Max Whitlock,Great Britain,——,15.266,——,——,14,13.533,42.799
—,Arthur Zanetti,Brazil,13.7,——,14.7,13.966,——,——,42.366
—,David Belyavskiy,Russia,——,14.633,——,——,13.533,14.066,42.232
—,William Emard,Canada,14.233,——,13.8,14.066,——,——,42.099
—,Benjamin Gischard,Switzerland,14.033,13.633,——,14.333,——,——,41.999
—,Nick Klessing,Germany,14.066,——,14.566,13.1,——,——,41.732
—,Ibrahim Colak,Turkey,——,——,14.858,——,13.533,13.2,41.591
—,Shiao Yu-Jan,Chinese Taipei,13.333,14.683,——,13.441,——,——,41.457
—,Wataru Tanigawa,Japan,——,13.333,13.966,——,13.9,——,41.199
—,Cyril Tommasone,France,——,14.666,——,——,13.7,12.733,41.099
—,Lukas Dauser,Germany,——,12.266,——,——,15.033,13.7,40.999
—,Yu Chao Wei,Chinese Taipei,——,——,13.833,——,13.733,12.933,40.499
—,Nicola Bartolini,Italy,14.1,11.4,——,14.7,——,——,40.2
—,Carlo Macchini,Italy,——,13.1,——,——,12.766,14.2,40.066
—,David Vecsernyes,Hungary,——,13.433,——,——,12.8,13.7,39.933
—,James Bacueti,Australia,13.3,11.833,——,14.666,——,——,39.799
—,Daan Kenis,Belgium,13.433,——,——,14.166,——,12,39.599
—,Samir Aït Saïd,France,11.366,——,14.7,13.5,——,——,39.566
—,Thierno Diallo,Spain,13.166,12.866,——,——,13.5,——,39.532
—,Ahmed Anis Maoudj,Algeria,13.4,——,11.633,14.3,——,——,39.333
—,Maxime Gentges,Belgium,——,12.066,13.2,——,13.533,——,38.799
—,Theodor Gadderud,Norway,13.6,12.033,13.1,——,——,——,38.733
—,Aleh Tsiaselski,Belarus,——,12.066,——,——,13,13.033,38.099
—,Soma Laszlo Csorvasi,Hungary,12.433,——,12.366,13,——,——,37.799
—,Odin Kalvø,Norway,——,——,——,13.933,11.566,12.233,37.732
—,Kim Vanström,Sweden,13.4,11.366,——,——,——,12.233,36.999
—,Uche Eke,Nigeria,——,12.266,——,——,12.433,11.666,36.365
—,Mohamed Aziz Trabelsi,Tunisia,11.1,——,——,13.466,——,9.966,34.532
—,Nahel Clement Bouanane,Morocco,9,4.533,——,11.8,——,7.633,32.966
—,Igor Radivilov,Ukraine,——,——,14.533,14.833,——,——,29.366
—,Denis Abliazin,Russia,——,——,14.6,14.366,——,——,28.966
—,Marian Dragulescu,Romania,14.066,——,——,14.616,——,——,28.682
—,Trevor Howard,United States,——,——,14.033,13.933,——,——,27.966
—,Tyson Bull,Australia,——,——,——,——,13.5,14.366,27.866
—,Mohamed Abdeldjalil Bourguieg,Algeria,12.9,——,——,14.3,——,——,27.2
—,Randy Leru,Cuba,13.833,——,——,——,——,13.366,27.199
—,Jim Man Hin,Hong Kong,——,——,——,14.1,——,12.466,26.566
—,Jorge Vega,Guatemala,11.6,——,——,14.866,——,——,26.466
—,Epke Zonderland,Netherlands,——,——,——,——,14.333,11.766,26.099
—,Ri Se Gwang,North Korea,——,12.033,——,13.833,——,——,25.866
—,Michael Reid,Jamaica,——,13.1,——,——,12.633,——,25.733
—,Andrey Medvedev,Israel,9.433,——,——,14.066,——,——,23.499
—,Prosper Okosun,Nigeria,9.433,0.166,——,12.333,——,——,21.932
—,Caleb Faulk,Jamaica,——,10,11.875,——,——,——,21.875
—,Juan Abad Godoy,Ecuador,——,9.633,9.6,——,——,——,19.233
—,Rhys McClenaghan,Ireland,——,15.2,——,——,——,——,15.2
—,Shek Wai Hung,Hong Kong,——,——,——,14.966,——,——,14.966
—,Tin Srbic,Croatia,——,——,——,——,——,14.833,14.833
—,Eleftherios Petrounias,Greece,——,——,14.7,——,——,——,14.7
—,Artur Tovmasyan,Armenia,——,——,14.566,——,——,——,14.566
—,Federico Molinari,Argentina,——,——,14.5,——,——,——,14.5
—,Mahdi Ahmad Kohani,Iran,——,——,14.433,——,——,——,14.433
—,Ali Zahran,Egypt,——,——,14.4,——,——,——,14.4
—,Nariman Kurbanov,Kazakhstan,——,14.3,——,——,——,——,14.3
—,Emil Soravuo,Finland,14.166,——,——,——,——,——,14.166
—,Agus Prayoko,Indonesia,——,——,——,14.166,——,——,14.166
—,Harutyun Merdinyan,Armenia,——,14.133,——,——,——,——,14.133
—,Konstantinos Konstantinidis,Greece,——,——,14.133,——,——,——,14.133
—,Ng Kiu Chung,Hong Kong,——,——,14.133,——,——,——,14.133
—,Nikita Simonov,Azerbaijan,——,——,13.866,——,——,——,13.866
—,Tom Nicolaou,Cyprus,——,——,——,13.8,——,——,13.8
—,Rok Klavora,Slovenia,13.8,——,——,——,——,——,13.8
—,Majdi Al Hmood,Jordan,13.6,——,——,——,——,——,13.6
—,Christian Riisberg,Denmark,13.233,——,——,——,——,——,13.233
—,Luka Terbovsek,Slovenia,13.233,——,——,——,——,——,13.233
—,Mauro Nemcanin,Croatia,——,12.866,——,——,——,——,12.866
—,Jacob Buus,Denmark,——,——,——,——,——,12.833,12.833
—,Joao Fuglsig,Denmark,——,——,——,12.766,——,——,12.766
—,Saso Bertoncelj,Slovenia,——,12.033,——,——,——,——,12.033
—,Saeedreza Keikha,Iran,——,11.883,——,——,——,——,11.883
—,Robert Seligman,Croatia,——,11.333,——,——,——,——,11.333
—,Yazan Al Souliman,Syria,11,——,——,——,——,——,11
—,Ahmad Abu Al Soud,Jordan,——,10.5,——,——,——,——,10.5
