"x1","x2","y"
87,-32.03125,155.248916840105
88,-31.25,163.084819685582
89,-30.46875,363.604396485666
90,-29.6875,347.606659891485
91,-28.90625,455.271430420037
92,-28.125,116.50899815794
93,-27.34375,327.308582295093
94,-26.5625,470.09126580132
95,-25.78125,-0.268637095100786
96,-25,47.7278233194543
97,-24.21875,-4.33855408563136
98,-23.4375,-68.5684439024696
99,-22.65625,235.49279554175
100,-21.875,352.515867929838
0,-21.09375,-78.90625
0.5,-20.3125,-76.9865346244015
1,-19.53125,-75.3792478256645
1.5,-18.75,-79.7596259405195
2,-17.96875,-68.637322393309
2.5,-17.1875,-78.6463670437891
3,-16.40625,-73.9606671252636
3.5,-15.625,-76.830791173082
4,-14.84375,-74.1350513756398
4.5,-14.0625,-70.7437626894865
5,-13.28125,-70.5271404200299
5.5,-12.5,-71.2760180595414
6,-11.71875,-68.9843772646956
6.5,-10.9375,-75.8731580660067
7,-10.15625,-75.9027898296306
7.5,-9.375,-93.0414861987222
8,-8.59375,-73.5235896299811
8.5,-7.8125,-75.4025543839226
9,-7.03125,-17.3347119937936
9.5,-6.25,-91.1302083926047
10,-5.46875,-61.7861256288279
10.5,-4.6875,-95.1786264136421
11,-3.90625,-95.4433363116095
11.5,-3.125,-59.5068451174688
12,-2.34375,-85.5755892372169
12.5,-1.5625,-60.9830653576177
13,-0.78125,-71.3534809170712
13.5,0,-76.0691333741364
14,0.78125,-115.472229671735
14.5,1.5625,-93.5801905604396
15,2.34375,-51.9582567664619
15.5,3.125,-39.0287615728704
16,3.90625,-71.6783253137112
16.5,4.6875,-55.1854248258434
17,5.46875,-16.2905021250811
17.5,6.25,-3.35504899583335
18,7.03125,-92.5273456626096
18.5,7.8125,-56.6533237292565
19,8.59375,-5.93681076505136
19.5,9.375,-69.1944536420857
20,10.15625,-52.2550293975599
0,10.9375,-110.9375
0.4,11.71875,-110.58763583859
0.8,12.5,-111.52028642865
1.2,13.28125,-110.748491611723
1.6,14.0625,-109.356723613082
2,14.84375,-110.499225396232
2.4,15.625,-103.080747087833
2.8,16.40625,-110.699809913262
3.2,17.1875,-110.359781808645
3.6,17.96875,-102.151339448825
4,18.75,-115.200947305367
4.4,19.53125,-106.689396581331
4.8,20.3125,-120.807330294537
5.2,21.09375,-93.3551866879489
5.6,21.875,-108.13983185539
6,22.65625,-110.270393896067
6.4,23.4375,-120.087129798224
6.8,24.21875,-103.924313659372
7.2,25,-114.924063362504
7.6,25.78125,-111.090333415247
8,26.5625,-81.9596960706466
8.4,27.34375,-105.092584620068
8.8,28.125,-120.588369961052
9.2,28.90625,-98.3032433626002
9.6,29.6875,-107.852077580057
10,30.46875,-88.6684790402532
10,31.25,-72.6015614453802
12,32.03125,-119.855870266628
14,32.8125,-78.0822916677521
16,33.59375,-82.8770121222884
18,34.375,-48.1346390384764
20,35.15625,-84.3473755578507
22,35.9375,-33.126260987733
24,36.71875,-148.481431344161
26,37.5,28.3518639082954
28,38.28125,-5.85368320295964
30,39.0625,-58.1090593331449
32,39.84375,-136.580206328907
34,40.625,5.09959160285475
36,41.40625,1.38370819466327
38,42.1875,-28.6705276080255
40,42.96875,-10.852278571006
42,43.75,-66.8151535093835
44,44.53125,19.9237424714613
46,45.3125,19.7956992541954
48,46.09375,-28.9026498408872
50,46.875,-130.498665489315
52,47.65625,81.2216271177636
54,48.4375,73.4157352055956
56,49.21875,-74.8850883937585
58,50,-160.972226792724
60,50.78125,53.8137796705161
30,51.5625,-82.2677786783734
32,52.34375,-40.1766009846749
34,53.125,-139.11716765295
36,53.90625,-114.966521995386
38,54.6875,41.8313888796725
40,55.46875,-3.16675762274289
42,56.25,19.014953084421
44,57.03125,134.708853261548
46,57.8125,-7.96092856858075
48,58.59375,-206.682956822225
50,59.375,24.002719743357
52,60.15625,117.661563245315
54,60.9375,223.492738168325
56,61.71875,-147.927249002938
58,62.5,-121.999245612744
60,63.28125,-67.9798173712146
62,64.0625,-108.765416977572
64,64.84375,-55.4989465622389
66,65.625,7.90510826670155
68,66.40625,-125.772448900638
70,67.1875,327.988603377641
72,67.96875,63.5508132635187
74,68.75,40.8020011251741
76,69.53125,133.802935523898
78,70.3125,69.5242690344026
80,71.09375,47.7721640870544
82,71.875,316.318137462544
84,72.65625,42.8826747045266
86,73.4375,-136.217079103863
88,74.21875,157.658798718039
90,75,31.7276827647634
92,75.78125,4.20826882244647
94,76.5625,-95.371165729188
96,77.34375,192.902503427205
98,78.125,81.767426052309
100,78.90625,224.227295729606
40,79.6875,-78.4367221844737
41.5,80.46875,-110.624534343207
43,81.25,55.2703479507697
44.5,82.03125,-72.7182206449143
46,82.8125,42.399083620518
47.5,83.59375,-155.244080860349
49,84.375,-83.0543774447992
50.5,85.15625,-60.8607409104712
52,85.9375,-70.5979024456095
53.5,86.71875,118.092900283113
55,87.5,-25.0041171428254
56.5,88.28125,8.81627117468989
58,89.0625,-124.377618112215
59.5,89.84375,-98.1206059046394
61,90.625,114.139406843692
62.5,91.40625,153.403958074445
64,92.1875,159.667052167692
65.5,92.96875,-177.332203487818
67,93.75,281.944732947277
68.5,94.53125,150.280327682537
70,95.3125,10.9470550206439
71.5,96.09375,119.022162368151
73,96.875,-119.697243456172
74.5,97.65625,-137.48352999227
76,98.4375,37.0181685425148
77.5,99.21875,-152.485607766456
79,100,67.0230017724402
