Country,Name,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank
FRA,Laetitia Dugain,14.35,52.0,14.625,34.0,14.975,26.0,14.325,33.0,58.275,22.0
FRA,Pauline Morel,14.275,55.0,14.8,24.0,13.75,69.0,14.625,20.0,57.45,29.0
FRA,Katheleen Lindor,14.9,26.0,14.7,30.0,14.575,40.0,0.0,44.175,64.0,0.0
FRA,Rose-Eliandre Bellemare,14.725,41.0,14.4,43.0,0.0,14.225,39.0,43.35,70.0,0.0
FRA,Marine Debauve,0.0,0.0,14.625,35.0,14.1,49.0,28.725,87.0,0.0,0.0
BRA,Jade Barbosa,15.1,17.0,14.8,22.0,14.7,32.0,14.9,13.0,59.5,12.0
BRA,Ana Cláudia Silva,14.75,39.0,14.55,36.0,13.475,73.0,14.8,15.0,57.575,28.0
BRA,Ethiene Franco,14.175,61.0,14.1,55.0,14.4,42.0,14.275,35.0,56.95,36.0
BRA,Laís Souza,14.8,36.0,14.775,26.0,13.575,71.0,0.0,43.15,73.0,0.0
BRA,Daniele Hypólito,0.0,14.3,50.0,14.0,61.0,14.25,37.0,42.55,75.0,0.0
BRA,Daiane dos Santos,14.8,35.0,0.0,0.0,15.275,5.0,30.075,83.0,0.0,0.0
JPN,Koko Tsurumi,14.2,58.0,15.025,17.0,15.425,13.0,14.325,34.0,58.975,17.0
JPN,Kyoko Oshima,14.7,43.0,14.45,42.0,14.3,47.0,14.175,42.0,57.625,27.0
JPN,Miki Uemura,14.475,50.0,12.775,76.0,14.575,38.0,12.875,76.0,54.7,50.0
JPN,Yuko Shintake,14.675,48.0,0.0,15.05,23.0,14.175,41.0,43.9,67.0,0.0
JPN,Yu Minobe,14.05,68.0,14.525,37.0,0.0,13.825,59.0,42.4,76.0,0.0
JPN,Mayu Kuroda,0.0,14.725,28.0,14.85,28.0,0.0,29.575,84.0,0.0,0.0
GBR,Becky Downie,15.05,22.0,14.65,33.0,14.225,50.0,14.15,43.0,58.075,24.0
GBR,Imogen Cairns,14.85,30.0,13.475,68.0,14.175,51.0,14.55,23.0,57.05,33.0
GBR,Marissa King,14.875,28.0,13.475,69.0,14.325,46.0,13.75,62.0,56.425,42.0
GBR,Rebecca Wing,14.55,49.0,14.1,56.0,14.575,39.0,0.0,43.225,72.0,0.0
GBR,Hannah Whelan,13.5,79.0,0.0,14.325,45.0,14.125,46.0,41.95,77.0,0.0
GBR,Beth Tweddle,0.0,15.65,8.0,0.0,14.95,11.0,30.6,80.0,0.0,0.0
ITA,Vanessa Ferrari,14.825,34.0,14.05,58.0,14.775,31.0,14.65,18.0,58.3,21.0
ITA,Lia Parolari,14.075,67.0,14.375,45.0,15.175,18.0,14.575,22.0,58.2,23.0
ITA,Carlotta Giovannini,15.1,19.0,14.475,41.0,13.9,65.0,13.575,68.0,57.05,34.0
ITA,Francesca Benolli,15.075,21.0,14.475,40.0,13.85,66.0,13.6,66.0,57.0,35.0
ITA,Monica Bergamelli,13.9,71.0,0.0,14.35,44.0,0.0,28.25,89.0,0.0,0.0
ITA,Federica Macrì,0.0,13.55,66.0,0.0,13.8,60.0,27.35,91.0,0.0,0.0
UKR,Valentyna Holenkova,13.975,70.0,14.375,46.0,14.275,48.0,14.125,44.0,56.75,37.0
UKR,Alina Kozich,14.975,24.0,13.625,45.0,15.175,19.0,12.0,81.0,55.775,45.0
UKR,Iryna Krasnianska,14.2,59.0,14.25,52.0,15.025,25.0,0.0,43.475,69.0,0.0
UKR,Maryna Proskurina,14.85,31.0,0.0,14.625,34.0,13.675,65.0,43.15,74.0,0.0
UKR,Dariya Zgoba,0.0,15.675,7.0,14.875,27.0,0.0,30.55,81.0,0.0,0.0
UKR,Anastasiia Koval,0.0,16.325,3.0,0.0,13.0,74.0,29.325,85.0,0.0,0.0
GER,Oksana Chusovitina,15.8,4.0,14.725,27.0,14.4,43.0,14.45,30.0,59.375,14.0
GER,Katja Abel,14.25,56.0,14.65,32.0,14.075,58.0,13.475,69.0,56.45,40.0
GER,Daria Bijak,14.175,62.0,14.65,31.0,11.15,83.0,14.475,28.0,54.45,51.0
GER,Marie-Sophie Hindermann,14.925,25.0,13.125,74.0,13.425,74.0,12.4,79.0,53.875,55.0
GER,Joeline Möbius,13.675,76.0,0.0,13.925,64.0,14.275,36.0,41.875,78.0,0.0
GER,Anja Brinker,0.0,15.125,14.0,0.0,0.0,15.125,93.0,0.0,0.0,0.0
USA,Gabby Douglas,15.9,1.0,15.333,6.0,15.266,3.0,13.766,33.0,60.265,3.0
USA,Jordyn Wieber,15.833,3.0,14.833,12.0,14.7,12.0,14.666,6.0,60.032,4.0
USA,Aly Raisman,15.8,4.0,14.166,23.0,15.1,5.0,15.325,1.0,60.391,2.0
USA,Kyla Ross,0.0,14.866,11.0,15.075,6.0,13.733,34.0,0.0,0.0,0.0
USA,McKayla Maroney,15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,Viktoria Komova,15.633,5.0,15.833,3.0,15.266,2.0,13.9,28.0,60.632,1.0
RUS,Aliya Mustafina,15.133,8.0,15.7,5.0,14.7,12.0,14.433,8.0,59.966,5.0
RUS,Anastasia Grishina,14.333,32.0,14.033,28.0,14.9,9.0,14.066,21.0,57.332,12.0
RUS,Ksenia Afanasyeva,0.0,15.066,7.0,14.833,4.0,0.0,0.0,0.0,0.0,0.0
RUS,Maria Paseka,15.533,6.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,Huang Qiushuang,15.0,12.0,15.266,7.0,13.866,28.0,13.575,38.0,57.707,10.0
CHN,Deng Linlin,14.833,15.0,14.166,24.0,15.166,4.0,13.833,29.0,57.998,6.0
CHN,He Kexin,13.733,51.0,15.966,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,Sui Lu,0.0,15.4,1.0,14.233,13.0,0.0,0.0,0.0,0.0,0.0
CHN,Yao Jinnan,13.133,70.0,15.766,4.0,12.833,51.0,13.066,54.0,54.798,22.0
ROU,Cătălina Ponor,15.133,8.0,0.0,15.033,8.0,14.6,7.0,0.0,0.0,0.0
ROU,Larisa Iordache,15.1,10.0,14.1,26.0,14.8,11.0,13.8,32.0,57.8,9.0
ROU,Sandra Izbașa,15.5,7.0,12.366,67.0,14.6,14.0,15.066,2.0,57.532,11.0
ROU,Diana Bulimar,0.0,14.0,30.0,14.866,10.0,0.0,0.0,0.0,0.0,0.0
ROU,Diana Chelaru,14.666,21.0,13.733,34.0,0.0,14.333,10.0,0.0,0.0,0.0
GBR,Rebecca Tunney,14.4,29.0,14.825,13.0,13.166,39.0,14.0,23.0,56.391,15.0
GBR,Beth Tweddle,0.0,16.133,1.0,0.0,14.433,9.0,0.0,0.0,0.0,0.0
GBR,Hannah Whelan,14.5,26.0,14.2,22.0,13.066,43.0,13.933,25.0,55.699,17.0
GBR,Imogen Cairns,14.433,28.0,0.0,13.366,37.0,0.0,0.0,0.0,0.0,0.0
GBR,Jennifer Pinches,14.366,30.0,13.7,36.0,13.1,41.0,14.1,19.0,55.266,21.0
JPN,Asuka Teramoto,14.6,23.0,14.566,15.0,14.466,15.0,14.233,12.0,57.865,8.0
JPN,Yuko Shintake,13.633,57.0,0.0,14.166,22.0,13.633,36.0,0.0,0.0,0.0
JPN,Kōko Tsurumi,13.8,45.0,15.033,9.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,Rie Tanaka,13.0,71.0,14.633,14.0,13.4,36.0,13.3,46.0,54.333,27.0
JPN,Yu Minobe,0.0,13.066,53.0,14.133,24.0,12.966,57.0,0.0,0.0,0.0
ITA,Vanessa Ferrari,14.366,30.0,14.233,21.0,14.433,16.0,14.9,3.0,57.932,7.0
ITA,Carlotta Ferlito,14.1,37.0,13.075,52.0,14.425,17.0,13.9,26.0,55.5,20.0
ITA,Erika Fasana,14.0,41.0,13.666,37.0,12.266,62.0,14.033,22.0,53.965,30.0
ITA,Elisabetta Preziosa,13.733,51.0,0.0,13.266,38.0,13.3,45.0,0.0,0.0,0.0
ITA,Giorgia Campana,0.0,12.766,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,Ellie Black,14.8,16.0,0.0,13.966,26.0,14.233,15.0,0.0,0.0,0.0
CAN,Dominique Pegg,14.133,34.0,13.725,35.0,13.566,34.0,14.233,14.0,55.657,18.0
CAN,Brittany Rogers,14.666,21.0,14.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,Victoria Moors,0.0,13.833,33.0,11.266,79.0,14.1,20.0,0.0,0.0,0.0
CAN,Kristina Vaculik,14.1,37.0,14.366,18.0,11.3,78.0,13.8,30.0,53.566,32.0
GER,Elisabeth Seitz,14.8,16.0,15.166,8.0,12.7,54.0,13.8,31.0,56.466,14.0
GER,Oksana Chusovitina,15.033,11.0,0.0,13.7,31.0,0.0,0.0,0.0,0.0,0.0
GER,Kim Bui,0.0,14.3,19.0,12.433,56.0,13.6,37.0,0.0,0.0,0.0
GER,Janine Berger,14.133,34.0,12.866,57.0,0.0,13.3,47.0,0.0,0.0,0.0
GER,Nadine Jarosch,12.866,72.0,13.866,32.0,12.933,50.0,13.3,48.0,52.965,35.0
AUS,Lauren Mitchell,13.933,42.0,0.0,14.3,20.0,14.833,5.0,0.0,0.0,0.0
AUS,Emily Little,14.766,20.0,13.433,40.0,13.633,33.0,12.666,65.0,54.498,24.0
AUS,Larrissa Miller,0.0,14.025,29.0,0.0,13.466,42.0,0.0,0.0,0.0,0.0
AUS,Ashleigh Brennan,13.7,53.0,13.266,47.0,13.066,43.0,14.2,16.0,54.232,28.0
AUS,Georgia Bonora,13.8,45.0,13.1,51.0,13.066,43.0,0.0,0.0,0.0,0.0
FRA,Youna Dufournet,14.166,33.0,14.5,17.0,14.2,21.0,0.0,0.0,0.0,0.0
FRA,Anne Kuhm,14.466,27.0,13.533,38.0,12.566,55.0,13.533,39.0,54.098,29.0
FRA,Mira Boumejmajen,0.0,13.3,43.0,12.966,49.0,12.933,60.0,0.0,0.0,0.0
FRA,Aurélie Malaussena,14.033,40.0,13.3,44.0,13.7,32.0,13.366,44.0,54.399,25.0
FRA,Sophia Serseri,14.133,34.0,0.0,12.933,61.0,0.0,0.0,0.0,0.0,0.0
BRA,Daiane dos Santos,13.933,42.0,12.966,54.0,0.0,14.166,17.0,0.0,0.0,0.0
BRA,Daniele Hypólito,13.766,50.0,12.9,56.0,14.166,23.0,11.9,80.0,52.732,37.0
BRA,Bruna Leal,14.066,39.0,12.466,64.0,12.8,52.0,13.433,43.0,52.765,36.0
BRA,Ethiene Franco,13.566,60.0,12.933,55.0,13.0,48.0,13.166,50.0,52.665,38.0
BRA,Harumy de Freitas,0.0,12.033,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
