School	Public	Location	Earn	SAT	ACT	Price	Price_with_aid	need_fraction	merit_aided
Earlham College	0	"Richmond, IN"	45600	1250	29	56700	22400	0.64	0.11
Washington and Lee University	0	"Lexington, VA"	53900	1390	32	62500	22600	0.41	0.08
University of Washington-Seattle Campus	1	"Seattle, WA"	54000	1230	28	27800	11300	0.37	0.04
Brown University	0	"Providence, RI"	57500	1440	32	65200	23100	0.45	
University of Notre Dame	0	"Notre Dame, IN"	58700	1430	33	65000	29500	0.43	0.08
Dartmouth College	0	"Hanover, NH"	60200	1460	32	67800	23200	0.49	
Wellesley College	0	"Wellesley, MA"	49000	1410	31	63600	23100	0.62	
Georgia Institute of Technology-Main Campus	1	"Atlanta, GA"	63800	1360	30	25700	13300	0.39	0.24
College of William and Mary	1	"Williamsburg, VA"	47400	1370	30	32400	13500	0.28	0.06
Washington State University	1	"Pullman, WA"	49200	1030	22	29300	17900	0.49	0.11
University of Connecticut	1	"Storrs, CT"	52400	1230	28	29400	20800	0.41	0.11
Duke University	0	"Durham, NC"	61600	1460	32	66600	23700	0.41	0.03
Hamilton College	0	"Clinton, NY"	54800	1390	31	64300	24400	0.47	
University of California-Santa Cruz	1	"Santa Cruz, CA"	49600	1100	23	35600	16100	0.67	0.06
Virginia Military Institute	1	"Lexington, VA"	56400	1150	25	28100	17700	0.43	0.13
Massachusetts Maritime Academy	1	"Buzzards Bay, MA"	58400	1060	22	23600	14400	0.44	0.05
Bowdoin College	0	"Brunswick, ME"	48900	1440	32	64100	24300	0.45	0.03
University of North Carolina at Chapel Hill	1	"Chapel Hill, NC"	46500	1310	30	26700	11900	0.43	0.05
Davidson College	0	"Davidson, NC"	50000	1340	31	63400	24500	0.48	0.09
College of Saint Benedict	0	"Saint Joseph, MN"	41800	1060	26	53900	27900	0.69	0.24
Middlebury College	0	"Middlebury, VT"	49300	1380	32	63600	22800	0.42	
Williams College	0	"Williamstown, MA"	53100	1450	32	66600	22100	0.5	
The University of Texas at Austin	1	"Austin, TX"	53000	1260	28	27400	18300	0.35	0.01
Purdue University-Main Campus	1	"West Lafayette, IN"	56200	1200	27	23900	14300	0.3	0.12
Columbia University in the City of New York	0	"New York, NY"	61300	1480	33	69300	22700	0.48	
St Mary's University	0	"San Antonio, TX"	43100	1050	23	41100	18800	0.77	0.16
University of Delaware	1	"Newark, DE"	50700	1170	27	27300	16800	0.41	0.19
Michigan State University	1	"East Lansing, MI"	49600	1120	26	26400	16100	0.34	0.08
University of Georgia	1	"Athens, GA"	47000	1240	28	23600	14500	0.4	0.05
University of Illinois at Chicago	1	"Chicago, IL"	51000	1120	24	30700	12600	0.61	0.03
University of Minnesota-Twin Cities	1	"Minneapolis, MN"	50500	1300	28	26700	17000	0.42	0.07
Colgate University	0	"Hamilton, NY"	55800	1370	31	64900	23600	0.34	
University of North Carolina School of the Arts	1	"Winston-Salem, NC"	54800	1120	23	23100	13000	0.56	0.04
Bates College	0	"Lewiston, ME"	46700	1310	28	65300	24000	0.44	
Maine Maritime Academy	1	"Castine, ME"	66000	1030	22	26900	19700	0.61	0.04
University of Wisconsin-Madison	1	"Madison, WI"	50100	1280	28	25400	17600	0.3	0.07
Cornell University	0	"Ithaca, NY"	60700	1420	32	66200	31100	0.46	
Vassar College	0	"Poughkeepsie, NY"	44500	1390	32	66000	21400	0.58	
College of the Holy Cross	0	"Worcester, MA"	49500	1380	29	62100	28500	0.46	0.01
DePauw University	0	"Greencastle, IN"	47500	1200	27	58200	32200	0.55	0.42
Wesleyan University	0	"Middletown, CT"	47000	1390	31	66800	26300	0.44	0.01
Lafayette College	0	"Easton, PA"	57800	1280	29	64400	29500	0.36	0.09
Northwestern University	0	"Evanston, IL"	56400	1470	33	68200	31200	0.43	0.04
Claremont McKenna College	0	"Claremont, CA"	58800	1410	31	66800	26100	0.38	0.06
Bentley University	0	"Waltham, MA"	58400	1230	28	61200	34500	0.44	0.2
Siena College	0	"Loudonville, NY"	46700	1120	25	50800	27400	0.73	0.18
Gustavus Adolphus College	0	"Saint Peter, MN"	43900	1210	27	53600	27300	0.71	0.27
Wheaton College	0	"Wheaton, IL"	44100	1320	30	45500	27500	0.52	0.21
Colby College	0	"Waterville, ME"	48600	1350	30	63600	20100	0.38	0.01
Indiana University-Bloomington	1	"Bloomington, IN"	46600	1180	27	25400	12600	0.35	0.29
Saint Vincent College	0	"Latrobe, PA"	45200	1030	23	46100	21300	0.47	0.15
Harvey Mudd College	0	"Claremont, CA"	79700	1480	34	69300	36100	0.5	0.24
University of Vermont	1	"Burlington, VT"	45400	1190	27	30900	18600	0.56	0.27
Johns Hopkins University	0	"Baltimore, MD"	60300	1420	32	66100	27500	0.43	0.01
Bethel University	0	"Saint Paul, MN"	43800	1140	25	47700	29000	0.74	0.25
University of Chicago	0	"Chicago, IL"	52700	1520	34	70300	37400	0.45	
Georgetown University	0	"Washington, DC"	52900	1410	31	67100	28100	0.35	
Molloy College	0	"Rockville Centre, NY"	58900	1060	23	47300	25500	0.78	0.07
Citadel Military College of South Carolina	1	"Charleston, SC"	54100	1090	23	27400	19000	0.45	0.22
Washington University in St Louis	0	"Saint Louis, MO"	55900	1490	33	69100	36400	0.39	0.11
Muhlenberg College	0	"Allentown, PA"	48400	1240	28	59300	38800	0.5	0.37
Tufts University	0	"Medford, MA"	55000	1450	32	66000	28500	0.37	0.02
Michigan Technological University	1	"Houghton, MI"	63100	1220	27	28100	17000	0.5	0.26
The University of Texas at Dallas	1	"Richardson, TX"	50600	1260	28	26100	9900	0.48	0.21
University of California-Santa Barbara	1	"Santa Barbara, CA"	49700	1220	27	36200	16300	0.59	0.02
Wake Forest University	0	"Winston Salem, NC"	50600	1430	31	65100	28200	0.33	0.07
The College of New Jersey	1	"Ewing, NJ"	50500	1240	26	32000	20800	0.21	0.08
Martin Luther College	0	"New Ulm, MN"	33200	1220	25	24100	17600	0.76	0.15
St Lawrence University	0	"Canton, NY"	49800	1330	28	64100	33700	0.55	0.39
California State University-Chico	1	"Chico, CA"	48100	1020	22	23300	12800	0.5	
Union College-Schenectady	0	"Schenectady, NY"	51200	1310	30	64700	36900	0.5	0.29
University of Rochester	0	"Rochester, NY"	53000	1350	31	65800	36000	0.51	0.31
Swarthmore College	0	"Swarthmore, PA"	50000	1440	33	65000	24600	0.51	0.01
McDaniel College	0	"Westminster, MD"	43000	1110	24	52200	25000	0.75	0.22
University of Wisconsin-Eau Claire	1	"Eau Claire, WI"	45600	1120	24	19800	13600	0.43	0.05
Lehigh University	0	"Bethlehem, PA"	61600	1320	30	61200	30400	0.4	0.06
Trinity College	0	"Hartford, CT"	53400	1250	27	66900	27400	0.39	0.03
Rutgers University-New Brunswick	1	"New Brunswick, NJ"	51100	1210	25	31100	17300	0.38	0.02
California State University-Fresno	1	"Fresno, CA"	44800	930	19	21800	6100	0.65	0.03
University of Utah	1	"Salt Lake City, UT"	48400	1130	24	23700	12300	0.12	0.24
Stevens Institute of Technology	0	"Hoboken, NJ"	65200	1300	30	63900	34300	0.53	
University of New Hampshire-Main Campus	1	"Durham, NH"	47600	1100	22	32000	22400	0.47	0.15
Westfield State University	1	"Westfield, MA"	45300	1000	20	22600	16900	0.44	0.01
Babson College	0	"Wellesley, MA"	60000	1260	28	65000	29900	0.4	0.06
James Madison University	1	"Harrisonburg, VA"	49300	1150	25	25000	16100	0.18	0.01
SUNY at Binghamton	1	"Vestal, NY"	49400	1300	29	24600	17000	0.41	0.03
University of Richmond	0	"University of Richmond, VA"	50000	1310	30	62000	26200	0.4	0.17
Western Washington University	1	"Bellingham, WA"	46800	1110	25	24200	16600	0.38	0.02
Lawrence University	0	"Appleton, WI"	42500	1330	28	56000	30200	0.66	0.36
Gettysburg College	0	"Gettysburg, PA"	47400	1290	28	62800	36300	0.59	0.18
Gonzaga University	0	"Spokane, WA"	51000	1190	27	52500	34100	0.57	0.4
Missouri University of Science and Technology	1	"Rolla, MO"	63100	1250	28	22700	15700	0.53	0.11
Elmhurst College	0	"Elmhurst, IL"	43800	1020	24	49200	23800	0.72	0.18
Wofford College	0	"Spartanburg, SC"	45900	1170	27	53600	27000	0.62	0.25
SUNY College at Brockport	1	"Brockport, NY"	40900	1060	24	22500	15100	0.56	0.02
Wabash College	0	"Crawfordsville, IN"	52400	1240	25	51400	24900	0.78	0.22
Berea College	0	"Berea, KY"	33100	1130	24	34800	2200	1	
Manhattan College	0	"Riverdale, NY"	58000	1080	25	56300	32500	0.67	0.25
Stony Brook University	1	"Stony Brook, NY"	49800	1250	28	23800	14600	0.49	0.09
Southern Nazarene University	0	"Bethany, OK"	43000	1190	24	34800	19200		
North Carolina State University at Raleigh	1	"Raleigh, NC"	51100	1230	28	23900	14800	0.46	0.05
Juniata College	0	"Huntingdon, PA"	42600	1290	27	53300	28200	0.69	0.25
Ohio State University-Main Campus	1	"Columbus, OH"	50100	1270	29	26800	19900	0.4	0.19
California Polytechnic State University-San Luis Obispo	1	"San Luis Obispo, CA"	58100	1240	28	25700	18300	0.31	0.11
Iowa State University	1	"Ames, IA"	50200	1150	25	19800	15100	0.52	0.32
St Olaf College	0	"Northfield, MN"	45800	1300	29	55200	30500	0.66	0.22
Providence College	0	"Providence, RI"	50400	1160	26	61500	36900	0.52	0.18
Niagara University	0	"Niagara University, NY"	39700	1030	23	45300	20900	0.75	0.16
Stonehill College	0	"Easton, MA"	46400	1130	25	56400	33900	0.68	0.24
Mount Mercy University	0	"Cedar Rapids, IA"	42900	1070	22	41700	22000	0.74	0.21
Clarkson University	0	"Potsdam, NY"	61700	1190	26	62300	30900	0.84	0.15
Colorado School of Mines	1	"Golden, CO"	65600	1300	29	32700	27400	0.27	0.26
Saint Francis University	0	"Loretto, PA"	44300	1020	23	48700	25600	0.45	0.18
Denison University	0	"Granville, OH"	46100	1260	29	61100	32100	0.53	0.45
Worcester Polytechnic Institute	0	"Worcester, MA"	64100	1380	29	61900	40700	0.66	0.32
University of California-Riverside	1	"Riverside, CA"	46300	1090	23	34000	14300	0.76	0.02
Barnard College	0	"New York, NY"	48500	1340	30	65800	23800	0.4	
Wayne State College	1	"Wayne, NE"	37500	1230	25	16500	12300	0.46	0.07
Mount Holyoke College	0	"South Hadley, MA"	44300	1360	29	59400	29900	0.67	0.13
Messiah College	0	"Mechanicsburg, PA"	44900	1150	26	46000	28500	0.71	0.27
Emory University	0	"Atlanta, GA"	52300	1370	31	63800	30700	0.4	0.02
California State Polytechnic University-Pomona	1	"Pomona, CA"	50800	1070	23	24900	10700	0.54	
Boston College	0	"Chestnut Hill, MA"	55200	1360	32	65600	28700	0.37	0.02
University at Buffalo	1	"Buffalo, NY"	48000	1160	26	25900	15900	0.52	0.01
Kenyon College	0	"Gambier, OH"	45300	1320	30	64700	29100	0.39	0.12
Bucknell University	0	"Lewisburg, PA"	57900	1300	30	65600	36100	0.4	0.09
Arizona State University	1	"Tempe, AZ"	48900	1150	25	25600	13300	0.54	0.2
University of Southern California	0	"Los Angeles, CA"	54600	1380	31	67300	34000	0.37	0.18
Grinnell College	0	"Grinnell, IA"	41300	1380	30	61700	27100	0.7	0.19
Villanova University	0	"Villanova, PA"	57400	1310	30	63100	35600	0.45	0.06
Northwest University	0	"Kirkland, WA"	47000	1060	24	39200	22100	0.79	0.12
Colorado College	0	"Colorado Springs, CO"	42700	1330	30	62900	26300	0.35	0.08
Loyola University Maryland	0	"Baltimore, MD"	51900	1180	27	62300	36300	0.52	0.15
Cedar Crest College	0	"Allentown, PA"	44700	950	21	48700	19600	0.92	0.06
College of Our Lady of the Elms	0	"Chicopee, MA"	49700	930	19	47900	23800	0.85	0.08
Mount Saint Mary's University	0	"Los Angeles, CA"	45900	940	19	54700	29800	0.86	0.06
Trinity University	0	"San Antonio, TX"	43300	1260	29	52600	30400	0.44	0.5
Fresno Pacific University	0	"Fresno, CA"	42100	990	20	39600	17800	0.7	0.09
Franklin and Marshall College	0	"Lancaster, PA"	45200	1450	32	65800	25000	0.5	0.01
SUNY at Albany	1	"Albany, NY"	46300	1100	24	24000	15700	0.54	0.05
University of Wyoming	1	"Laramie, WY"	49000	1110	25	19400	12900	0.33	0.22
Carnegie Mellon University	0	"Pittsburgh, PA"	67100	1440	32	66400	36700	0.44	0.04
Bloomsburg University of Pennsylvania	1	"Bloomsburg, PA"	43700	990	21	23500	17200	0.41	0.02
La Salle University	0	"Philadelphia, PA"	47000	990	22	56600	27300	0.8	0.15
The University of Montana Western	1	"Dillon, MT"	33000	1220	25	16700	10400		0.01
University of Portland	0	"Portland, OR"	52200	1200	25	58500	34200	0.5	0.35
Case Western Reserve University	0	"Cleveland, OH"	58200	1380	31	62000	31800	0.48	0.33
Hobart & William Smith Colleges	0	"Geneva, NY"	50300	1310	28	64500	39100	0.65	0.27
Mills College	0	"Oakland, CA"	47500	1150	26	61700	29900	0.81	0.09
SUNY College of Environmental Science and Forestry	1	"Syracuse, NY"	45300	1160	25	25800	19900	0.65	0.15
California Maritime Academy	1	"Vallejo, CA"	57100	1080	24	22900	12200	0.39	
Albertus Magnus College	0	"New Haven, CT"	48000	830	15	50600	24200	0.77	0.01
New Jersey Institute of Technology	1	"Newark, NJ"	55700	1140	26	35000	16200	0.6	0.1
Hope College	0	"Holland, MI"	41600	1200	27	42900	28100	0.51	0.27
Bradley University	0	"Peoria, IL"	50300	1140	26	45400	29900	0.61	0.19
University of Wisconsin-Platteville	1	"Platteville, WI"	55100	1190	23	19000	14200	0.31	0.09
Kalamazoo College	0	"Kalamazoo, MI"	39400	1230	28	54800	28400	0.66	0.29
University of Maine	1	"Orono, ME"	48800	1090	24	24000	18000	0.61	0.08
Fairfield University	0	"Fairfield, CT"	54000	1280	27	62300	40600	0.43	0.35
Santa Clara University	0	"Santa Clara, CA"	60600	1290	29	64100	39900	0.33	0.27
CUNY Bernard M Baruch College	1	"New York, NY"	50700	1230	25	29700	8900	0.46	0.09
George Mason University	1	"Fairfax, VA"	51500	1150	26	27100	18900	0.42	0.05
Utah State University	1	"Logan, UT"	47800	1110	24	18800	13300	0.57	0.04
University of Arizona	1	"Tucson, AZ"	50500	1110	24	26200	17100	0.49	0.2
North Carolina A & T State University	1	"Greensboro, NC"	50300	900	19	17300	11100	0.64	0.03
Assumption College	0	"Worcester, MA"	49600	1230	25	51900	29200	0.77	0.2
University of St. Thomas	0	"Saint Paul, MN"	47600	1160	26	51600	33400	0.56	0.12
Southwestern University	0	"Georgetown, TX"	48100	1170	26	51100	27900	0.63	0.35
St Mary's College of Maryland	1	"St. Mary's City, MD"	44800	1220	28	29700	18700	0.37	0.24
Florida State University	1	"Tallahassee, FL"	42600	1200	27	22500	18200	0.35	0.11
University of Idaho	1	"Moscow, ID"	46400	1070	23	20400	15700	0.5	0.18
University of Nebraska at Kearney	1	"Kearney, NE"	39200	970	23	21400	15900	0.51	0.17
University of Iowa	1	"Iowa City, IA"	46800	1230	27	21700	15600	0.32	0.08
Edgewood College	0	"Madison, WI"	47600	1150	23	39800	24100	0.75	0.18
Skidmore College	0	"Saratoga Springs, NY"	45500	1240	28	65300	26500	0.44	0.01
Saint Anselm College	0	"Manchester, NH"	50000	1150	25	54200	33800	0.72	0.23
Saint Mary's College	0	"Notre Dame, IN"	45200	1100	26	51300	28900	0.57	0.33
Dordt College	0	"Sioux Center, IA"	45000	1100	25	41700	26400	0.7	0.24
Westminster College-New Wilmington	0	"New Wilmington, PA"	37900	1040	23	47700	23600	0.79	0.16
Auburn University	1	"Auburn University, AL"	49000	1170	27	30300	20200	0.28	0.2
Furman University	0	"Greenville, SC"	45000	1230	28	61400	33400	0.43	0.41
Texas Tech University	1	"Lubbock, TX"	51600	1110	25	23300	15200	0.43	0.1
Pepperdine University	0	"Malibu, CA"	48100	1240	26	66000	30100	0.54	0.21
University of Massachusetts Amherst	1	"Amherst, MA"	49400	1210	27	27900	20500	0.51	0.12
University of Evansville	0	"Evansville, IN"	47000	1110	26	47800	23100	0.64	0.23
Marquette University	0	"Milwaukee, WI"	51200	1180	27	52300	35900	0.56	0.39
Beloit College	0	"Beloit, WI"	37900	1230	27	54400	26400	0.68	0.29
Macalester College	0	"Saint Paul, MN"	42600	1340	31	62200	30500	0.69	0.1
Carleton College	0	"Northfield, MN"	44800	1430	31	65000	34900	0.55	0.06
Moravian College and Moravian Theological Seminary	0	"Bethlehem, PA"	47000	1130	22	53700	28600	0.83	0.2
San Jose State University	1	"San Jose, CA"	54600	1030	22	26300	11700	0.51	
Nebraska Wesleyan University	0	"Lincoln, NE"	41900	1100	24	42600	22900	0.7	0.27
Pennsylvania State University-Main Campus	1	"University Park, PA"	53500	1200	27	36000	26400	0.26	0.1
Rockhurst University	0	"Kansas City, MO"	47700	1150	26	49500	21500	0.47	0.16
Linfield College-McMinnville Campus	0	"McMinnville, OR"	43900	1090	24	51800	28100	0.61	0.2
University of Redlands	0	"Redlands, CA"	46100	1130	25	63300	33300		
Lewis University	0	"Romeoville, IL"	45800	1030	24	42300	20500	0.73	0.17
University of Wisconsin-Stevens Point	1	"Stevens Point, WI"	40800	1190	23	17700	12600	0.42	0.06
Calvin College	0	"Grand Rapids, MI"	44000	1180	26	44300	28300	0.61	0.31
North Dakota State University-Main Campus	1	"Fargo, ND"	49600	1130	24	20700	15500	0.33	0.16
Cedarville University	0	"Cedarville, OH"	44900	1180	27	36900	25500	0.59	0.26
Valparaiso University	0	"Valparaiso, IN"	47700	1110	26	49700	24000	0.73	0.19
Tennessee State University	1	"Nashville, TN"	44300	1020	20	19800	9700	0.68	0.04
Appalachian State University	1	"Boone, NC"	40600	1150	26	20200	12500	0.36	0.03
University of Minnesota-Morris	1	"Morris, MN"	38900	1200	26	24100	15700	0.6	0.12
Oregon State University	1	"Corvallis, OR"	48600	1100	24	25600	17900	0.43	0.13
Aurora University	0	"Aurora, IL"	41200	1020	22	35300	18700	0.66	0.19
Louisiana Tech University	1	"Ruston, LA"	47600	1070	24	19400	10100	0.35	0.22
Clark University	0	"Worcester, MA"	41800	1300	27	52300	26600	0.59	0.33
Illinois Institute of Technology	0	"Chicago, IL"	59000	1270	28	59500	24500	0.54	0.36
Ramapo College of New Jersey	1	"Mahwah, NJ"	42100	1100	23	30600	17200	0.3	0.04
Hamline University	0	"Saint Paul, MN"	43800	1110	24	49800	23800	0.83	0.15
Hanover College	0	"Hanover, IN"	42100	1100	26	47600	24000	0.76	0.22
Goshen College	0	"Goshen, IN"	35900	1100	26	43900	21400	0.71	0.24
Towson University	1	"Towson, MD"	44600	1080	23	24700	15100	0.35	0.07
Brandeis University	0	"Waltham, MA"	45300	1350	30	65800	28700	0.51	0.06
Illinois Wesleyan University	0	"Bloomington, IL"	46400	1220	28	54800	30500	0.64	0.32
Art Center College of Design	0	"Pasadena, CA"	62000	1210	25	64400	47000		
San Diego State University	1	"San Diego, CA"	47400	1090	24	27200	11000	0.43	0.05
University of Oklahoma Norman Campus	1	"Norman, OK"	48900	1160	26	24900	18300	0.3	0.13
University of Dallas	0	"Irving, TX"	45900	1210	27	52600	30000	0.6	0.36
Gordon College	0	"Wenham, MA"	42300	1150	26	48400	32100	0.7	0.3
Haverford College	0	"Haverford, PA"	45500	1400	32	66800	24400	0.49	
Colorado State University-Fort Collins	1	"Fort Collins, CO"	46200	1140	25	24500	15800	0.34	0.13
University of Mary Washington	1	"Fredericksburg, VA"	45400	1110	24	26100	18300	0.23	0.13
Knox College	0	"Galesburg, IL"	40700	1290	27	53200	25800	0.79	0.2
Franciscan University of Steubenville	0	"Steubenville, OH"	43600	1160	26	37000	27300	0.61	0.31
Occidental College	0	"Los Angeles, CA"	47700	1310	29	67400	35700	0.49	0.15
Whitworth University	0	"Spokane, WA"	42900	1280	27	52400	28400	0.69	0.27
University of Houston	1	"Houston, TX"	51500	1140	25	24000	13800	0.5	0.03
Reed College	0	"Portland, OR"	45200	1380	31	64400	20400	0.49	
Wells College	0	"Aurora, NY"	44200	1070	24	53100	23100	0.87	0.07
Houghton College	0	"Houghton, NY"	35200	1110	25	42300	24600	0.75	0.15
Lewis & Clark College	0	"Portland, OR"	42100	1280	29	60000	37000	0.59	0.28
Oklahoma State University-Main Campus	1	"Stillwater, OK"	46500	1120	25	22600	16100	0.4	0.29
Westmont College	0	"Santa Barbara, CA"	45100	1190	27	57800	35600	0.66	0.27
Gallaudet University	0	"Washington, DC"	39100	810	18	35700	15300	0.86	0.03
Tennessee Technological University	1	"Cookeville, TN"	51400	1090	23	25100	14900	0.41	0.25
Oberlin College	0	"Oberlin, OH"	43300	1360	30	67000	42400	0.48	0.36
University of Maryland-Baltimore County	1	"Baltimore, MD"	50800	1210	27	26300	15400	0.4	0.14
Rensselaer Polytechnic Institute	0	"Troy, NY"	63700	1390	29	66800	39600	0.63	0.28
Smith College	0	"Northampton, MA"	42100	1360	29	64800	27900	0.59	0.04
University of Pittsburgh-Pittsburgh Campus	1	"Pittsburgh, PA"	51600	1260	28	34300	25600	0.38	0.03
University of Maine at Presque Isle	1	"Presque Isle, ME"	35673	1180	24	19100	11300	0.75	0.05
Bryant University	0	"Smithfield, RI"	51700	1140	25	57600	38200	0.48	0.25
Illinois College	0	"Jacksonville, IL"	38900	970	22	42400	18400	0.84	0.16
Bethel College-Indiana	0	"Mishawaka, IN"	37000	1020	24	38200	19900	0.71	0.07
Centre College	0	"Danville, KY"	39600	1230	29	51400	27100	0.58	0.39
Mississippi State University	1	"Mississippi State, MS"	46100	1110	24	23500	16700	0.54	0.19
Seattle Pacific University	0	"Seattle, WA"	44900	1140	26	51600	29000	0.71	0.24
Simmons College	0	"Boston, MA"	48900	1150	26	56000	31400	0.77	0.2
Ursinus College	0	"Collegeville, PA"	44900	1170	27	63400	34300	0.72	0.23
Augsburg College	0	"Minneapolis, MN"	46500	1100	23	49100	20100	0.63	0.18
John Carroll University	0	"University Heights, OH"	45400	1090	25	52100	25200	0.72	0.18
Lake Forest College	0	"Lake Forest, IL"	46300	1130	26	55700	26700		
National University	1	"La Jolla, CA"	49200	1250	26	29000	24000	0.19	
The Evergreen State College	1	"Olympia, WA"	40100	1080	24	23700	14900	0.55	
Drake University	0	"Des Moines, IA"	44700	1200	28	48200	29500	0.58	0.34
Illinois State University	1	"Normal, IL"	43500	1190	24	28100	17800	0.39	0.05
Minnesota State University-Mankato	1	"Mankato, MN"	45000	1110	22	19600	13600	0.39	0.04
SUNY College at Geneseo	1	"Geneseo, NY"	41300	1290	28	23700	17300	0.39	0.05
The University of Tennessee	1	"Knoxville, TN"	45700	1170	27	30600	19500	0.53	0.12
SUNY at Fredonia	1	"Fredonia, NY"	38900	1050	24	23400	17200	0.52	0.07
Le Moyne College	0	"Syracuse, NY"	41900	1080	24	48100	24200	0.83	0.07
University of Scranton	0	"Scranton, PA"	48400	1120	25	58900	36400	0.71	0.18
Waynesburg University	1	"Waynesburg, PA"	45200	1000	23	33900	19700	0.82	0.13
Ripon College	0	"Ripon, WI"	41100	1160	25	46700	22400	0.81	0.15
Syracuse University	0	"Syracuse, NY"	50600	1160	26	61700	32300	0.52	0.11
Seattle University	0	"Seattle, WA"	51200	1160	27	56900	37500	0.53	0.04
Simpson College	0	"Indianola, IA"	42800	1220	24	46800	23100	0.82	0.2
Montclair State University	1	"Montclair, NJ"	43700	970	18	29500	16100	0.36	0.04
College of the Ozarks	0	"Point Lookout, MO"	36000	1030	23	29100	15400	0.92	0.07
Saint Michael's College	0	"Colchester, VT"	43800	1180	26	54300	31700	0.62	0.32
Agnes Scott College	0	"Decatur, GA"	41100	1210	25	50800	22200	0.78	0.22
Albion College	0	"Albion, MI"	45600	1100	25	51700	27100	0.73	0.28
Temple University	1	"Philadelphia, PA"	45200	1120	25	31900	21200	0.61	0.11
Slippery Rock University of Pennsylvania	1	"Slippery Rock, PA"	39800	1010	21	23500	16900	0.43	0.07
South Dakota School of Mines and Technology	1	"Rapid City, SD"	63600	1180	26	23100	19100	0.37	0.19
Northeastern University	0	"Boston, MA"	55600	1390	32	62700	33300	0.37	0.33
University of Wisconsin-La Crosse	1	"La Crosse, WI"	42500	1220	25	18800	13900	0.25	0.03
New York University	0	"New York, NY"	52400	1360	30	68700	38700	0.49	0.06
Gannon University	0	"Erie, PA"	43600	1040	23	44700	22800	0.78	0.16
Augustana College-Sioux Falls	0	"Sioux Falls, SD"	41000	1215	24	40500	21600	0.62	0.37
Butler University	0	"Indianapolis, IN"	45400	1170	28	53100	35700	0.62	0.32
Sewanee-The University of the South	0	"Sewanee, TN"	36400	1230	28	51700	27700	0.48	0.3
Pacific Lutheran University	0	"Tacoma, WA"	43000	1100	25	52300	27300	0.75	0.23
Susquehanna University	0	"Selinsgrove, PA"	43300	1130	25	55500	28900	0.75	0.23
Presbyterian College	0	"Clinton, SC"	39500	1110	25	49800	19000	0.79	0.19
University of South Carolina-Columbia	1	"Columbia, SC"	44400	1200	27	26600	19600	0.27	0.3
Creighton University	0	"Omaha, NE"	46200	1180	27	51300	31100	0.53	0.38
CUNY College of Staten Island	1	"Staten Island, NY"	44000	1000	19	30600	10400	0.62	0.01
Miami University-Oxford	1	"Oxford, OH"	50600	1230	28	30600	23700	0.26	0.31
Wisconsin Lutheran College	0	"Milwaukee, WI"	41200	1020	24	39200	20900	0.77	0.15
Pitzer College	0	"Claremont, CA"	48700	1520	34	66300	28400	0.34	0.01
Saint Peter's University	0	"Jersey City, NJ"	45800	920	19	51300	16300	0.85	0.09
